,12-Jun-2015
The Nifty witnessed an intraday movement of about 55.3 points.The closing index was 0.22 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 12622.83
, Traded Quantity (in Lakhs), 6815.11
, Number of Trades, 6153741
, Total Market Capitalisation (Rs. Crores), 9408959.23

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      7965.35,      7959.85,      7995.60,      7940.30,      7982.90,17.55
,CNX IT,     11227.15,     11222.80,     11267.00,     10930.45,     11049.35,-177.8
,CNX Nifty Junior,     18840.60,     18779.70,     18899.70,     18741.80,     18880.20,39.6
,BANK Nifty,     17304.40,     17298.45,     17551.35,     17174.70,     17523.55,219.15
,CNX Midcap,     12402.15,     12389.85,     12429.65,     12326.70,     12410.25,8.1
,CNX 500,      6568.50,      6562.05,      6584.30,      6543.55,      6577.40,8.9
,CNX 100,      8032.35,      8023.70,      8059.55,      8006.40,      8049.95,17.6
,Nifty Midcap 50,      3083.10,      3076.30,      3094.25,      3058.75,      3088.55,5.45
,CNX Realty,       174.85,       174.50,       175.45,       171.00,       174.55,-.3
,CNX Infra,      3142.95,      3137.40,      3155.65,      3122.70,      3147.85,4.9
,CNX Energy,      8311.00,      8312.45,      8391.80,      8312.45,      8374.10,63.1
,CNX FMCG,     18828.45,     18813.15,     18966.15,     18740.50,     18846.45,18
,CNX MNC,      9454.40,      9399.85,      9469.60,      9394.85,      9456.95,2.55
,CNX Pharma,     11308.15,     11346.05,     11347.65,     11233.95,     11328.45,20.3
,CNX PSE,      3451.15,      3445.55,      3457.50,      3434.15,      3452.55,1.4
,CNX PSU Bank,      3168.20,      3163.45,      3188.00,      3141.85,      3166.85,-1.35
,CNX Service,     10273.90,     10264.05,     10338.15,     10235.35,     10324.55,50.65
,India VIX,17.8050,17.8050,18.2075,16.0750,17.4775,-0.3275
,CNX AUTO,      7909.00,      7889.70,      7925.25,      7843.45,      7905.25,-3.75
,CNX Metal,      2281.80,      2276.00,      2276.00,      2239.80,      2247.20,-34.6
,CNX Media,      2068.60,      2074.75,      2088.80,      2056.65,      2072.95,4.35
,CNX Smallcap,      5092.30,      5084.15,      5099.05,      5046.45,      5093.90,1.6
,CNX 200,      4149.80,      4145.10,      4161.65,      4134.25,      4156.90,7.1
,CNX Dividend Oppt,      1930.35,      1922.20,      1937.65,      1922.15,      1930.10,-.25
,CNX Commodities,      2552.65,      2549.15,      2557.25,      2538.10,      2551.60,-1.05
,CNX Consumption,      3299.90,      3298.70,      3322.60,      3291.65,      3318.30,18.4
,CNX Finance,      7018.35,      7006.05,      7132.30,      6982.55,      7121.95,103.6
,Nifty Dividend,        31.94,        31.94,        31.94,        31.94,        31.94,0
,LIX 15,      3497.50,      3487.00,      3497.60,      3455.05,      3480.20,-17.3
,CPSE Index,      2375.40,      2374.65,      2385.45,      2364.40,      2381.70,6.3
,NI15,      4850.85,      4852.60,      4879.20,      4799.35,      4826.65,-24.2
,NIFTY PR 2X LEV,      3247.80,      3242.70,      3271.60,      3227.60,      3261.50,13.7
,NIFTY PR 1X INV,       480.05,       480.45,       481.60,       478.35,       479.10,-.95
,NIFTY TR 2X LEV,      3753.50,      3747.55,      3781.00,      3730.10,      3769.30,15.8
,NIFTY TR 1X INV,       446.40,       446.80,       447.85,       444.80,       445.50,-.9

,ADVANCES,601
,DECLINES,871
,UNCHANGED,71

,Total securities that have hit their price bands today,122

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,ICICIBANK,EQ,       288.50,       295.95,2.58,550.36
,INFY,EQ,      1997.65,      1975.05,-1.13,490.51
,TATAMOTORS,EQ,       430.20,       421.80,-1.95,458.85
,RELIANCE,EQ,       877.15,       889.85,1.45,437.28
,TCS,EQ,      2571.30,      2505.80,-2.55,324.87
,AXISBANK,EQ,       546.75,       551.45,0.86,302.08
,SBIN,EQ,       254.00,       253.95,-0.02,290.3
,HDFC,EQ,      1164.30,      1190.40,2.24,259.3
,YESBANK,EQ,       804.60,       805.45,0.11,243.56
,LT,EQ,      1676.15,      1657.45,-1.12,203.43
,SUNPHARMA,EQ,       819.55,       813.55,-0.73,195.19
,WOCKPHARMA,EQ,      1321.50,      1317.25,-0.32,188.92
,HCLTECH,EQ,       914.80,       896.35,-2.02,166.06
,ITC,EQ,       297.05,       297.55,0.17,165.65
,HDFCBANK,EQ,      1000.20,      1009.15,0.89,163.34
,ESSAROIL,EQ,       117.55,       139.65,18.8,159.77
,DISHTV,EQ,       102.25,       105.80,3.47,154.8
,HDIL,EQ,        90.65,        88.05,-2.87,143.19
,COALINDIA,EQ,       400.10,       396.10,-1,143.05
,BAJAJ-AUTO,EQ,      2213.55,      2286.30,3.29,130.58
,WIPRO,EQ,       546.05,       537.35,-1.59,119.54
,LUPIN,EQ,      1705.65,      1721.60,0.94,115.88
,TECHM,EQ,       557.55,       551.45,-1.09,108.96
,AUROPHARMA,EQ,      1266.55,      1278.45,0.94,107.72
,CIPLA,EQ,       574.35,       581.65,1.27,102.57

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TATAPOWER,EQ,        72.65,        70.00,3.79
,BAJAJ-AUTO,EQ,      2286.30,      2213.55,3.29
,ICICIBANK,EQ,       295.95,       288.50,2.58
,KOTAKBANK,EQ,      1311.10,      1280.90,2.36
,HDFC,EQ,      1190.40,      1164.30,2.24

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,NMDC,EQ,       115.10,       118.15,-2.58
,TCS,EQ,      2505.80,      2571.30,-2.55
,VEDL,EQ,       183.80,       188.00,-2.23
,HINDALCO,EQ,       116.75,       119.20,-2.06
,HCLTECH,EQ,       896.35,       914.80,-2.02

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        33.95,                   554480.35,16684
,3IINFOTECH,EQ,         4.45,                 46270382.75,10610349
,3MINDIA,EQ,      8204.65,                  4290230.65,521
,8KMILES,EQ,       648.20,                  3099657.95,4786
,A2ZINFRA,EQ,        12.45,                  3312006.45,266830
,AARTIDRUGS,EQ,       550.15,                  7953279.00,14509
,AARTIIND,EQ,       315.40,                  8893922.00,27965
,AARVEEDEN,EQ,        41.00,                    14310.20,354
,ABAN,EQ,       303.25,                178983766.90,590535
,ABB,EQ,      1263.35,                 18186593.10,14369
,ABBOTINDIA,EQ,      3904.25,                  3150072.60,814
,ABCIL,EQ,       204.65,                  1250401.25,6098
,ABGSHIP,EQ,       180.85,                631163543.10,3501669
,ACCELYA,EQ,       985.65,                  5254875.75,5370
,ACE,EQ,        39.45,                  5465559.90,138765
,ACROPETAL,EQ,         2.35,                    31588.35,13320
,ADANIENT,EQ,        93.95,                489532837.05,5172752
,ADANIPOWER,EQ,        29.20,                111237103.75,3822456
,ADFFOODS,EQ,        63.15,                   758220.00,11986
,ADHUNIK,EQ,        14.95,                   379321.65,25187
,ADI,EQ,       279.40,                    28773.40,105
,ADLABS,EQ,       137.45,                 10893936.40,79402
,ADORWELD,EQ,       215.40,                   528106.35,2437
,ADSL,EQ,        19.40,                   468268.90,24044
,ADVANIHOTR,EQ,        58.55,                   253645.00,4338
,ADVANTA,EQ,       411.15,                 30065381.95,72377
,AEGISCHEM,EQ,       734.25,                 33892884.55,46319
,AFL,EQ,        66.50,                   722965.50,10873
,AGARIND,EQ,        99.60,                   109616.65,1103
,AGCNET,EQ,       100.90,                  1104814.00,10938
,AGRODUTCH,BE,         3.95,                    52472.15,13183
,AHLEAST,EQ,       171.00,                   123135.20,714
,AHLUCONT,EQ,       198.65,                  5790374.35,29070
,AHLWEST,EQ,       112.15,                    76912.05,655
,AIAENG,EQ,       971.55,                 54108543.70,55641
,AIL,EQ,       711.45,                  4087605.60,5730
,AJANTPHARM,EQ,      1455.70,                252530844.95,173094
,AJMERA,EQ,       140.60,                 18407700.00,130158
,AKSHOPTFBR,EQ,        13.40,                  1189703.75,89584
,AKZOINDIA,EQ,      1279.10,                  9432438.60,7339
,ALBK,EQ,        92.35,                136026371.05,1492225
,ALCHEM,EQ,        22.80,                   524226.20,23463
,ALEMBICLTD,EQ,        31.20,                  9957036.65,322283
,ALICON,EQ,       255.10,                   739391.85,2873
,ALKALI,EQ,        36.50,                   512248.65,14076
,ALKYLAMINE,EQ,       260.00,                   596081.05,2278
,ALLCARGO,EQ,       319.45,                 11717599.05,36772
,ALLSEC,EQ,        22.60,                    19673.70,852
,ALMONDZ,EQ,        10.00,                    20505.00,2050
,ALOKTEXT,EQ,         5.80,                 19882430.70,3373164
,ALPA,BE,        12.00,                   187870.60,15981
,ALPHAGEO,EQ,       399.90,                  1211891.50,3074
,ALPSINDUS,EQ,         1.60,                     1980.00,1050
,ALSTOMT&D,EQ,       509.50,                  8077670.15,15838
,AMARAJABAT,EQ,       846.60,                157565475.90,185882
,AMBIKCO,EQ,       922.45,                  5458815.75,5897
,AMDIND,EQ,        20.75,                     9113.95,443
,AMRUTANJAN,EQ,       406.10,                  5131909.75,12686
,AMTEKAUTO,EQ,       147.65,                457403948.80,3171295
,AMTL,EQ,        15.50,                    39677.35,2626
,ANANTRAJ,EQ,        38.15,                 41873072.00,1097635
,ANDHRABANK,EQ,        68.70,                 90334215.50,1320588
,ANDHRACEMT,EQ,         6.80,                   369938.40,53188
,ANDHRSUGAR,EQ,        91.55,                   391731.65,4282
,ANGIND,EQ,        30.45,                  2703268.70,88577
,ANIKINDS,BE,        24.55,                     1227.50,50
,ANKITMETAL,EQ,         2.30,                    89194.45,39401
,ANSALAPI,EQ,        18.70,                  1860119.35,98535
,ANSALHSG,EQ,        23.65,                   402932.25,17038
,ANTGRAPHIC,BE,          .10,                     1136.70,7928
,APARINDS,EQ,       331.80,                  4955852.70,14983
,APCOTEXIND,EQ,       435.55,                  1156739.15,2659
,APLAPOLLO,EQ,       385.15,                   848375.50,2190
,APLLTD,EQ,       562.05,                 56672145.35,102514
,APOLLOTYRE,EQ,       164.20,                284375251.00,1740678
,APOLSINHOT,BE,       173.00,                    20265.00,117
,APTECHT,EQ,        52.15,                  2109455.40,40387
,ARCHIDPLY,EQ,        32.40,                   440941.50,13459
,ARCHIES,EQ,        17.95,                  1333189.10,73507
