,17-Jun-2015
The Nifty witnessed an intraday movement of about 87.9 points.The closing index was 0.55 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 16104.59
, Traded Quantity (in Lakhs), 7325.62
, Number of Trades, 7287365
, Total Market Capitalisation (Rs. Crores), 9553832.27

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      8047.30,      8084.20,      8136.85,      8048.95,      8091.55,44.25
,CNX IT,     11119.20,     11181.90,     11221.15,     11114.35,     11143.50,24.3
,CNX Nifty Junior,     19027.05,     19136.80,     19421.10,     19104.05,     19331.15,304.1
,BANK Nifty,     17602.45,     17681.20,     17692.55,     17533.45,     17584.05,-18.4
,CNX Midcap,     12476.85,     12547.30,     12718.15,     12522.50,     12670.20,193.35
,CNX 500,      6627.00,      6657.55,      6711.95,      6639.15,      6680.80,53.8
,CNX 100,      8114.50,      8153.20,      8215.75,      8122.40,      8172.20,57.7
,Nifty Midcap 50,      3119.25,      3132.80,      3167.75,      3116.95,      3148.70,29.45
,CNX Realty,       174.90,       175.95,       177.35,       175.15,       175.75,.85
,CNX Infra,      3165.10,      3175.45,      3206.30,      3157.30,      3190.10,25
,CNX Energy,      8452.20,      8457.80,      8597.10,      8385.65,      8537.15,84.95
,CNX FMCG,     18954.85,     18978.65,     19342.55,     18971.10,     19249.10,294.25
,CNX MNC,      9517.95,      9555.35,      9707.05,      9547.05,      9661.70,143.75
,CNX Pharma,     11473.70,     11548.40,     11731.30,     11532.00,     11678.95,205.25
,CNX PSE,      3460.60,      3466.95,      3470.10,      3448.20,      3450.60,-10
,CNX PSU Bank,      3168.10,      3186.80,      3193.85,      3153.65,      3168.65,.55
,CNX Service,     10381.60,     10435.95,     10454.65,     10365.15,     10385.05,3.45
,India VIX,17.1675,17.1675,17.1875,14.2975,16.7275,-0.4400
,CNX AUTO,      8090.85,      8130.15,      8204.70,      8066.65,      8160.95,70.1
,CNX Metal,      2238.80,      2254.60,      2275.95,      2235.95,      2256.70,17.9
,CNX Media,      2138.70,      2150.00,      2184.30,      2131.85,      2178.25,39.55
,CNX Smallcap,      5147.35,      5173.15,      5223.60,      5163.10,      5201.40,54.05
,CNX 200,      4189.75,      4209.70,      4243.70,      4195.30,      4222.40,32.65
,CNX Dividend Oppt,      1947.75,      1955.00,      1964.55,      1951.05,      1956.50,8.75
,CNX Commodities,      2554.15,      2562.70,      2585.80,      2545.35,      2573.00,18.85
,CNX Consumption,      3361.35,      3373.35,      3413.35,      3371.70,      3402.00,40.65
,CNX Finance,      7157.90,      7193.65,      7208.75,      7143.70,      7159.80,1.9
,Nifty Dividend,        41.11,        41.11,        41.11,        41.11,        41.11,0
,LIX 15,      3488.80,      3509.20,      3510.25,      3470.45,      3486.60,-2.2
,CPSE Index,      2392.55,      2400.45,      2408.05,      2394.70,      2397.40,4.85
,NI15,      4875.85,      4899.50,      4942.95,      4898.35,      4914.85,39
,NIFTY PR 2X LEV,      3311.90,      3341.60,      3384.25,      3313.25,      3347.65,35.75
,NIFTY PR 1X INV,       475.55,       473.50,       475.50,       470.40,       473.05,-2.5
,NIFTY TR 2X LEV,      3834.20,      3868.60,      3917.95,      3835.75,      3875.60,41.4
,NIFTY TR 1X INV,       441.85,       439.90,       441.80,       437.05,       439.50,-2.35

,ADVANCES,1033
,DECLINES,451
,UNCHANGED,83

,Total securities that have hit their price bands today,118

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,       903.95,       931.20,3.01,553.87
,ICICIBANK,EQ,       302.05,       301.35,-0.23,462.74
,LT,EQ,      1677.40,      1710.85,1.99,452.06
,DISHTV,EQ,       107.75,       114.15,5.94,367.78
,EICHERMOT,EQ,     18451.80,     19288.90,4.54,327.22
,INFY,EQ,       999.35,       995.70,-0.37,321.26
,SUNPHARMA,EQ,       840.10,       843.90,0.45,312.82
,TATAMOTORS,EQ,       432.80,       433.70,0.21,304.17
,HDFC,EQ,      1199.05,      1200.90,0.15,297.86
,GLENMARK,EQ,       922.70,       968.60,4.97,295.93
,SBIN,EQ,       254.60,       255.10,0.2,287.13
,TATASTEEL,EQ,       294.45,       305.05,3.6,254.2
,AXISBANK,EQ,       551.15,       549.25,-0.34,249.43
,TCS,EQ,      2512.00,      2513.80,0.07,248.55
,HDFCBANK,EQ,      1008.40,      1004.70,-0.37,243.54
,HINDUNILVR,EQ,       834.95,       862.05,3.25,221.38
,ITC,EQ,       298.95,       301.10,0.72,210.32
,CIPLA,EQ,       590.35,       612.90,3.82,197.12
,LUPIN,EQ,      1691.65,      1731.70,2.37,190.21
,COALINDIA,EQ,       397.35,       398.10,0.19,187.14
,BHARTIARTL,EQ,       414.30,       422.30,1.93,184.85
,WOCKPHARMA,EQ,      1352.85,      1379.25,1.95,184.24
,YESBANK,EQ,       815.50,       817.10,0.2,173.24
,ASIANPAINT,EQ,       704.95,       710.65,0.81,157.65
,CENTURYTEX,EQ,       661.60,       652.30,-1.41,157.28

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,CIPLA,EQ,       612.90,       590.35,3.82
,TATASTEEL,EQ,       305.05,       294.45,3.6
,HINDUNILVR,EQ,       862.05,       834.95,3.25
,HINDALCO,EQ,       118.55,       115.00,3.09
,RELIANCE,EQ,       931.20,       903.95,3.01

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,VEDL,EQ,       172.65,       178.50,-3.28
,BHEL,EQ,       240.80,       245.60,-1.95
,TATAPOWER,EQ,        72.75,        74.10,-1.82
,POWERGRID,EQ,       141.80,       144.10,-1.6
,CAIRN,EQ,       179.20,       181.90,-1.48

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        32.30,                  2173036.50,66146
,3IINFOTECH,EQ,         5.05,                  1037466.95,205439
,3MINDIA,EQ,      8197.45,                  3601804.50,436
,3RDROCK,IT,       180.00,                  1551780.00,8621
,8KMILES,EQ,       699.45,                 24266444.40,35101
,A2ZINFRA,EQ,        13.15,                  1474183.30,111572
,AARTIDRUGS,EQ,       605.85,                 30458229.90,50007
,AARTIIND,EQ,       319.65,                 10669161.30,32960
,AARVEEDEN,EQ,        40.85,                     7840.85,201
,ABAN,EQ,       311.55,                510165306.05,1622078
,ABB,EQ,      1315.35,                 56705433.80,43497
,ABBOTINDIA,EQ,      3822.00,                 42409695.50,11034
,ABCIL,EQ,       206.80,                  5687333.80,27397
,ABGSHIP,EQ,       172.35,                 52125252.40,297757
,ACCELYA,EQ,      1000.40,                  4071010.50,4070
,ACE,EQ,        42.90,                 24432415.20,558061
,ACROPETAL,EQ,         2.70,                   166108.50,61280
,ADANIENT,EQ,        99.25,                714317135.15,7204398
,ADANIPOWER,EQ,        29.40,                234994178.10,7976379
,ADFFOODS,EQ,        63.50,                  1534749.35,24081
,ADHUNIK,EQ,        14.70,                  1620331.30,111453
,ADI,EQ,       264.30,                  1941659.40,7624
,ADLABS,EQ,       149.50,                  7693357.75,50259
,ADORWELD,EQ,       231.60,                   910839.85,3893
,ADSL,EQ,        19.60,                  2956998.60,154914
,ADVANIHOTR,EQ,        52.50,                   141321.75,2679
,ADVANTA,EQ,       418.60,                 32164736.20,76301
,AEGISCHEM,EQ,       725.35,                 15108746.95,20743
,AFL,EQ,        69.00,                   124796.70,1808
,AGARIND,EQ,        99.75,                   386454.85,3892
,AGCNET,EQ,       102.00,                  1342384.25,12991
,AGRITECH,EQ,         5.50,                      646.50,121
,AGRODUTCH,BE,         3.80,                    25531.25,7046
,AHLEAST,EQ,       167.30,                   206728.75,1220
,AHLUCONT,EQ,       206.15,                 39212345.15,196663
,AHLWEST,EQ,       107.00,                   174263.20,1599
,AIAENG,EQ,       968.00,                150002953.85,155083
,AIL,EQ,       736.70,                 11195276.60,15205
,AJANTPHARM,EQ,      1445.20,                451301986.70,315412
,AJMERA,EQ,       139.35,                  8987532.95,63952
,AKSHOPTFBR,EQ,        13.80,                  1543460.55,112415
,AKZOINDIA,EQ,      1269.00,                  9830729.90,7763
,ALBK,EQ,        91.45,                 74440518.80,812887
,ALCHEM,EQ,        22.75,                   117562.45,5234
,ALEMBICLTD,EQ,        32.00,                  9423079.80,293275
,ALICON,EQ,       270.15,                   259840.50,966
,ALKALI,EQ,        47.95,                  1795122.95,37647
,ALKYLAMINE,EQ,       259.65,                   309767.30,1192
,ALLCARGO,EQ,       319.60,                 58886416.15,184732
,ALLSEC,EQ,        23.10,                      455.10,19
,ALMONDZ,EQ,        10.00,                    41177.50,4106
,ALOKTEXT,EQ,         6.00,                 12153879.30,2027486
,ALPA,BE,        12.50,                     2781.80,239
,ALPHAGEO,EQ,       392.65,                  2165785.70,5421
,ALPSINDUS,EQ,         2.15,                     2105.00,1000
,ALSTOMT&D,EQ,       521.05,                  8648019.95,16574
,AMARAJABAT,EQ,       872.50,                150006841.65,173195
,AMBIKCO,EQ,       895.25,                  5951920.75,6615
,AMDIND,EQ,        20.70,                    42233.25,2026
,AMRUTANJAN,EQ,       416.15,                 10585729.90,25043
,AMTEKAUTO,EQ,       152.65,                208359959.55,1357438
,AMTL,EQ,        15.00,                    82812.55,5519
,ANANTRAJ,EQ,        37.90,                 33682000.55,889033
,ANDHRABANK,EQ,        69.20,                 93012709.70,1343618
,ANDHRACEMT,EQ,         6.75,                   117972.20,17192
,ANDHRSUGAR,EQ,        93.70,                   349753.75,3769
,ANGIND,EQ,        30.90,                  3213753.20,103004
,ANKITMETAL,EQ,         2.40,                     4929.60,2054
,ANSALAPI,EQ,        18.40,                   961057.10,52463
,ANSALHSG,EQ,        23.90,                   222996.45,9319
,ANTGRAPHIC,BE,          .10,                     1227.60,11776
,APARINDS,EQ,       328.55,                   669416.35,2035
,APCOTEXIND,EQ,       444.35,                  1000384.20,2257
,APLAPOLLO,EQ,       411.15,                  3976386.60,9692
,APLLTD,EQ,       584.40,                186025454.25,317932
,APOLLOTYRE,EQ,       167.15,                345726116.20,2066797
,APOLSINHOT,BE,       167.20,                     3845.60,23
,APTECHT,EQ,        53.60,                  3724176.20,69706
,ARCHIDPLY,EQ,        32.95,                   621596.40,18641
