,19-Jun-2015
The Nifty witnessed an intraday movement of about 55.15 points.The closing index was 0.62 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 16554.14
, Traded Quantity (in Lakhs), 7180.29
, Number of Trades, 7159201
, Total Market Capitalisation (Rs. Crores), 9705160.8

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      8174.60,      8201.15,      8250.80,      8195.65,      8224.95,50.35
,CNX IT,     11215.35,     11260.90,     11353.25,     11222.25,     11243.65,28.3
,CNX Nifty Junior,     19415.75,     19502.95,     19609.65,     19473.45,     19524.60,108.85
,BANK Nifty,     17733.55,     17758.95,     17935.30,     17730.70,     17880.85,147.3
,CNX Midcap,     12762.30,     12816.00,     12883.75,     12802.60,     12847.00,84.7
,CNX 500,      6746.85,      6770.35,      6803.80,      6768.10,      6785.10,38.25
,CNX 100,      8248.65,      8277.00,      8324.35,      8272.30,      8298.70,50.05
,Nifty Midcap 50,      3172.45,      3189.80,      3209.20,      3182.30,      3203.95,31.5
,CNX Realty,       175.35,       176.00,       177.25,       173.20,       173.80,-1.55
,CNX Infra,      3211.75,      3223.75,      3236.85,      3205.30,      3213.10,1.35
,CNX Energy,      8792.40,      8823.00,      8927.30,      8821.80,      8879.85,87.45
,CNX FMCG,     19248.05,     19258.30,     19408.50,     19240.45,     19345.35,97.3
,CNX MNC,      9696.55,      9691.55,      9751.90,      9680.65,      9724.15,27.6
,CNX Pharma,     11836.15,     11887.10,     11905.45,     11789.90,     11810.00,-26.15
,CNX PSE,      3477.10,      3492.95,      3505.60,      3482.00,      3493.10,16
,CNX PSU Bank,      3181.35,      3203.90,      3230.25,      3181.50,      3214.20,32.85
,CNX Service,     10466.60,     10501.90,     10569.55,     10491.55,     10535.55,68.95
,India VIX,16.0150,16.0150,16.0150,14.9050,15.0850,-0.9300
,CNX AUTO,      8258.65,      8277.75,      8356.50,      8253.35,      8305.35,46.7
,CNX Metal,      2252.90,      2272.25,      2287.25,      2250.70,      2261.05,8.15
,CNX Media,      2170.75,      2177.90,      2189.20,      2154.40,      2158.25,-12.5
,CNX Smallcap,      5265.20,      5296.40,      5309.60,      5272.65,      5283.95,18.75
,CNX 200,      4263.00,      4278.10,      4301.50,      4276.10,      4288.65,25.65
,CNX Dividend Oppt,      1963.45,      1969.45,      1980.05,      1967.20,      1976.35,12.9
,CNX Commodities,      2602.35,      2615.20,      2631.25,      2613.60,      2623.25,20.9
,CNX Consumption,      3418.10,      3423.60,      3467.45,      3423.60,      3454.20,36.1
,CNX Finance,      7233.85,      7254.00,      7332.30,      7249.40,      7313.40,79.55
,Nifty Dividend,        41.24,        43.04,        43.04,        43.04,        43.04,1.8
,LIX 15,      3520.50,      3538.10,      3547.50,      3514.05,      3520.25,-.25
,CPSE Index,      2413.20,      2425.95,      2441.35,      2423.35,      2433.30,20.1
,NI15,      4960.00,      4974.60,      5011.20,      4966.80,      4987.50,27.5
,NIFTY PR 2X LEV,      3415.75,      3437.25,      3477.90,      3436.10,      3457.10,41.35
,NIFTY PR 1X INV,       468.30,       466.85,       466.95,       464.05,       465.50,-2.8
,NIFTY TR 2X LEV,      3954.50,      3980.75,      4027.80,      3979.40,      4003.75,49.25
,NIFTY TR 1X INV,       435.05,       433.65,       433.75,       431.10,       432.40,-2.65

,ADVANCES,818
,DECLINES,675
,UNCHANGED,84

,Total securities that have hit their price bands today,135

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,       978.95,       996.65,1.81,1039.1
,EICHERMOT,EQ,     19495.65,     19445.15,-0.26,761.79
,HDFC,EQ,      1213.30,      1236.85,1.94,494.59
,AXISBANK,EQ,       550.05,       551.55,0.27,374.08
,INFY,EQ,      1001.95,       995.35,-0.66,333.16
,SBIN,EQ,       258.10,       260.15,0.79,318.1
,SRTRANSFIN,EQ,       873.15,       885.10,1.37,309.06
,TATAMOTORS,EQ,       445.45,       433.05,-2.78,300.54
,WIPRO,EQ,       556.10,       561.55,0.98,292.43
,TCS,EQ,      2530.05,      2549.55,0.77,254.63
,ICICIBANK,EQ,       303.35,       304.55,0.4,250.9
,LT,EQ,      1717.15,      1716.10,-0.06,244.85
,M&M,EQ,      1253.95,      1305.55,4.11,244.83
,DISHTV,EQ,       109.70,       105.80,-3.56,231.22
,GLENMARK,EQ,       989.15,       988.30,-0.09,199.65
,SUNPHARMA,EQ,       856.05,       845.95,-1.18,198.56
,LICHSGFIN,EQ,       428.60,       439.75,2.6,186.57
,ITC,EQ,       301.90,       305.00,1.03,171.12
,TATASPONGE,EQ,       535.40,       591.45,10.47,168.37
,HCLTECH,EQ,       913.75,       918.20,0.49,164.57
,TATAELXSI,EQ,      1138.25,      1200.95,5.51,162.1
,LUPIN,EQ,      1794.85,      1816.80,1.22,161.82
,YESBANK,EQ,       824.65,       829.90,0.64,160.14
,BPCL,EQ,       833.80,       835.65,0.22,148.51
,BHARTIARTL,EQ,       426.45,       434.00,1.77,146.11

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,M&M,EQ,      1305.55,      1253.95,4.11
,BANKBARODA,EQ,       142.10,       138.65,2.49
,ONGC,EQ,       319.15,       312.85,2.01
,AMBUJACEM,EQ,       226.60,       222.15,2
,MARUTI,EQ,      3937.35,      3861.10,1.97

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TATAMOTORS,EQ,       433.05,       445.45,-2.78
,ZEEL,EQ,       340.10,       347.00,-1.99
,POWERGRID,EQ,       140.00,       141.95,-1.37
,SUNPHARMA,EQ,       845.95,       856.05,-1.18
,TATAPOWER,EQ,        72.30,        73.10,-1.09

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        32.90,                  1153855.80,35533
,3IINFOTECH,EQ,         5.55,                  2124528.90,382798
,3MINDIA,EQ,      8277.15,                  2645821.15,320
,8KMILES,EQ,       741.90,                 24622267.85,33196
,A2ZINFRA,EQ,        13.90,                  1198884.95,85964
,AARTIDRUGS,EQ,       645.00,                125266059.80,192957
,AARTIIND,EQ,       323.85,                  4602156.40,14145
,AARVEEDEN,EQ,        40.20,                    33602.55,835
,ABAN,EQ,       315.40,                302981374.50,948841
,ABB,EQ,      1327.10,                 54568502.95,41109
,ABBOTINDIA,EQ,      3868.05,                  2392519.30,618
,ABCIL,EQ,       206.15,                  1383859.95,6695
,ABGSHIP,EQ,       169.20,                 27170230.90,159478
,ACCELYA,EQ,       992.65,                   629167.05,633
,ACE,EQ,        43.75,                 17273328.25,386627
,ACROPETAL,EQ,         2.80,                    95650.70,34598
,ADANIENT,EQ,        96.90,                344742546.70,3503801
,ADANIPOWER,EQ,        27.50,                399965297.80,14496297
,ADFFOODS,EQ,        63.15,                  1723251.20,27101
,ADHUNIK,EQ,        14.85,                   236857.50,15888
,ADI,EQ,       258.10,                   667980.15,2627
,ADLABS,EQ,       170.80,                 76471345.00,455095
,ADORWELD,EQ,       235.35,                   476003.55,2024
,ADSL,EQ,        21.45,                  6338543.50,289527
,ADVANIHOTR,EQ,        49.20,                   293910.05,5666
,ADVANTA,EQ,       417.15,                 16067278.45,38122
,AEGISCHEM,EQ,       725.85,                 10767338.25,14747
,AFL,EQ,        70.00,                    54203.00,770
,AGARIND,EQ,       100.50,                   313369.10,3100
,AGCNET,EQ,       104.25,                  1319850.15,12713
,AGRITECH,EQ,         5.50,                    14751.00,2737
,AGRODUTCH,BE,         4.10,                    73452.40,17967
,AHLEAST,EQ,       171.00,                    86555.30,510
,AHLUCONT,EQ,       212.90,                  8594574.05,40349
,AHLWEST,EQ,       107.15,                    14268.75,133
,AIAENG,EQ,      1012.95,                374109978.35,373610
,AIL,EQ,       723.95,                 21864859.60,29486
,AJANTPHARM,EQ,      1503.50,                390928956.65,258886
,AJMERA,EQ,       143.35,                 42447728.10,291651
,AKSHOPTFBR,EQ,        14.00,                  1127635.00,80429
,AKZOINDIA,EQ,      1269.05,                 37776257.15,29429
,ALBK,EQ,        91.35,                122643657.15,1354303
,ALCHEM,EQ,        22.90,                    76454.15,3380
,ALEMBICLTD,EQ,        39.45,                118201671.30,3053720
,ALICON,EQ,       268.30,                   312856.75,1161
,ALKALI,EQ,        48.95,                   856032.05,16858
,ALKYLAMINE,EQ,       280.10,                   907221.10,3255
,ALLCARGO,EQ,       318.35,                  5415535.25,16966
,ALLSEC,EQ,        24.30,                    27221.50,1121
,ALMONDZ,EQ,        10.10,                    40028.00,3981
,ALOKTEXT,EQ,         6.25,                 17561189.65,2779884
,ALPA,BE,        12.55,                    76779.90,6328
,ALPHAGEO,EQ,       391.00,                   974383.85,2476
,ALPSINDUS,EQ,         1.85,                    10534.35,5651
,ALSTOMT&D,EQ,       530.80,                 10844794.85,20378
,AMARAJABAT,EQ,       878.00,                 63164188.60,71800
,AMBIKCO,EQ,       952.80,                 35636787.50,37518
,AMDIND,EQ,        21.20,                    77561.30,3615
,AMRUTANJAN,EQ,       420.20,                  6507874.65,15371
,AMTEKAUTO,EQ,       142.45,                866710654.70,6152228
,AMTL,EQ,        15.75,                   125941.75,7938
,ANANTRAJ,EQ,        37.65,                 14957645.10,394514
,ANDHRABANK,EQ,        70.90,                101497656.90,1442444
,ANDHRACEMT,EQ,         6.85,                   385330.70,56292
,ANDHRSUGAR,EQ,        95.10,                   250498.90,2648
,ANGIND,EQ,        30.10,                  2124331.95,69718
,ANKITMETAL,EQ,         2.60,                    10987.60,4226
,ANSALAPI,EQ,        19.05,                  1407353.10,73199
,ANSALHSG,EQ,        23.90,                   146037.85,6148
,ANTGRAPHIC,BE,          .10,                      981.40,9814
,APARINDS,EQ,       328.90,                  1516080.80,4642
,APCOTEXIND,EQ,       462.40,                  2102939.95,4578
,APLAPOLLO,EQ,       390.85,                  2585950.15,6578
,APLLTD,EQ,       662.75,                768486809.20,1168005
,APOLLOTYRE,EQ,       166.10,                237103018.65,1427495
,APOLSINHOT,BE,       176.00,                     8800.00,50
,APTECHT,EQ,        54.70,                  2329275.60,42611
,ARCHIDPLY,EQ,        35.40,                  1273989.25,36212
,ARCHIES,EQ,        18.95,                  1058626.55,55130
