,01-Jul-2015
The Nifty witnessed an intraday movement of about 111.45 points.The closing index was 1.01 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 15885.97
, Traded Quantity (in Lakhs), 7985.04
, Number of Trades, 7585097
, Total Market Capitalisation (Rs. Crores), 9958584.97

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      8368.50,      8376.25,      8481.60,      8370.15,      8453.05,84.55
,CNX IT,     11037.40,     11053.65,     11239.75,     11053.65,     11213.60,176.2
,CNX Nifty Junior,     19825.45,     19900.80,     20137.40,     19886.45,     20065.95,240.5
,BANK Nifty,     18296.10,     18275.60,     18629.15,     18261.90,     18581.60,285.5
,CNX Midcap,     13009.65,     13049.35,     13237.35,     13049.35,     13204.40,194.75
,CNX 500,      6897.20,      6908.60,      6987.70,      6908.60,      6972.30,75.1
,CNX 100,      8440.95,      8452.50,      8550.65,      8447.35,      8528.85,87.9
,Nifty Midcap 50,      3212.45,      3225.55,      3290.15,      3224.10,      3277.40,64.95
,CNX Realty,       180.95,       182.15,       184.40,       182.00,       182.60,1.65
,CNX Infra,      3254.40,      3260.10,      3316.45,      3258.95,      3305.40,51
,CNX Energy,      8892.95,      8894.50,      9001.90,      8894.50,      8970.65,77.7
,CNX FMCG,     20155.75,     20170.70,     20228.00,     20034.25,     20093.90,-61.85
,CNX MNC,      9983.95,      9991.20,     10105.15,      9981.05,     10048.85,64.9
,CNX Pharma,     12202.55,     12263.35,     12367.65,     12229.85,     12257.10,54.55
,CNX PSE,      3520.50,      3523.55,      3578.95,      3523.55,      3571.20,50.7
,CNX PSU Bank,      3228.20,      3232.45,      3326.85,      3225.25,      3307.30,79.1
,CNX Service,     10665.25,     10672.45,     10818.35,     10659.60,     10798.95,133.7
,India VIX,16.9275,16.9275,17.1000,15.7175,15.8450,-1.0825
,CNX AUTO,      8383.25,      8401.30,      8519.45,      8375.15,      8482.45,99.2
,CNX Metal,      2287.30,      2292.65,      2324.25,      2292.30,      2314.75,27.45
,CNX Media,      2237.85,      2242.65,      2249.90,      2225.50,      2229.10,-8.75
,CNX Smallcap,      5323.95,      5339.90,      5418.65,      5339.90,      5399.90,75.95
,CNX 200,      4357.05,      4363.85,      4415.05,      4362.35,      4403.75,46.7
,CNX Dividend Oppt,      2015.75,      2017.40,      2041.15,      2015.80,      2033.75,18
,CNX Commodities,      2657.40,      2661.45,      2700.30,      2661.45,      2693.30,35.9
,CNX Consumption,      3534.05,      3539.85,      3554.25,      3532.80,      3538.15,4.1
,CNX Finance,      7508.15,      7502.40,      7603.30,      7495.15,      7590.15,82
,Nifty Dividend,        44.29,        44.29,        44.29,        44.29,        44.29,0
,LIX 15,      3541.65,      3546.70,      3626.75,      3539.75,      3619.20,77.55
,CPSE Index,      2445.25,      2446.70,      2486.65,      2446.70,      2474.15,28.9
,NI15,      5081.50,      5091.90,      5134.60,      5089.85,      5119.20,37.7
,NIFTY PR 2X LEV,      3570.20,      3576.10,      3659.60,      3571.20,      3641.60,71.4
,NIFTY PR 1X INV,       458.25,       457.95,       458.25,       452.60,       453.75,-4.5
,NIFTY TR 2X LEV,      4135.65,      4142.45,      4239.25,      4136.80,      4218.35,82.7
,NIFTY TR 1X INV,       425.65,       425.35,       425.60,       420.35,       421.45,-4.2
,NV20,      3771.25,      3777.45,      3829.05,      3777.30,      3819.50,48.25

,ADVANCES,1136
,DECLINES,369
,UNCHANGED,75

,Total securities that have hit their price bands today,141

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,ICICIBANK,EQ,       308.00,       312.20,1.36,437.07
,AXISBANK,EQ,       558.95,       578.65,3.52,435.92
,IGL,EQ,       417.80,       455.30,8.98,389.41
,HDFC,EQ,      1296.45,      1292.70,-0.29,353.86
,INFY,EQ,       984.35,       997.40,1.33,342.36
,RELIANCE,EQ,      1000.10,      1005.65,0.55,341.05
,SBIN,EQ,       262.75,       267.75,1.9,321.88
,COALINDIA,EQ,       421.25,       425.50,1.01,308.9
,LT,EQ,      1782.80,      1811.70,1.62,298.03
,NBCC,EQ,       904.85,       988.40,9.23,289.09
,TATAMOTORS,EQ,       434.15,       444.50,2.38,266.68
,EICHERMOT,EQ,     19586.70,     20352.35,3.91,245.65
,TECHM,EQ,       477.80,       486.15,1.75,212.21
,SUNPHARMA,EQ,       874.60,       873.10,-0.17,197.79
,ITC,EQ,       315.15,       313.60,-0.49,178.52
,YESBANK,EQ,       843.85,       867.05,2.75,171.77
,TCS,EQ,      2550.95,      2593.10,1.65,165.36
,LUPIN,EQ,      1886.05,      1874.60,-0.61,165.2
,BPCL,EQ,       879.35,       887.95,0.98,156.37
,MARUTI,EQ,      4023.35,      4031.70,0.21,154.52
,SRTRANSFIN,EQ,       853.45,       890.65,4.36,143.14
,HINDUNILVR,EQ,       916.70,       918.30,0.17,134.06
,HDFCBANK,EQ,      1067.15,      1072.35,0.49,133.28
,KOTAKBANK,EQ,      1385.80,      1408.25,1.62,129.03
,AUROPHARMA,EQ,      1452.00,      1464.40,0.85,127.39

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BANKBARODA,EQ,       150.30,       144.15,4.27
,BHEL,EQ,       257.70,       247.90,3.95
,AMBUJACEM,EQ,       238.15,       229.90,3.59
,AXISBANK,EQ,       578.65,       558.95,3.52
,CIPLA,EQ,       634.90,       615.40,3.17

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ZEEL,EQ,       363.80,       367.90,-1.11
,BAJAJ-AUTO,EQ,      2526.25,      2541.95,-0.62
,LUPIN,EQ,      1874.60,      1886.05,-0.61
,GAIL,EQ,       390.15,       392.20,-0.52
,ITC,EQ,       313.60,       315.15,-0.49

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        31.95,                   958664.20,29363
,3IINFOTECH,EQ,         5.00,                  9203505.00,1840701
,3MINDIA,EQ,      8301.00,                  4950059.15,595
,8KMILES,EQ,       919.75,                180982183.45,197942
,A2ZINFRA,EQ,        15.25,                  1881149.25,123033
,AARTIDRUGS,EQ,       629.75,                 11043028.40,17458
,AARTIIND,EQ,       340.15,                 12580225.85,36933
,AARVEEDEN,EQ,        45.20,                   329047.95,7039
,ABAN,EQ,       304.20,                262853910.20,857624
,ABB,EQ,      1328.35,                 21414628.25,16095
,ABBOTINDIA,EQ,      3923.45,                  3173810.45,808
,ABCIL,EQ,       214.90,                  4930068.35,23194
,ABGSHIP,EQ,       191.20,                125972995.35,656734
,ACCELYA,EQ,      1004.25,                  9035176.05,9016
,ACE,EQ,        43.05,                 10346612.15,238696
,ACROPETAL,EQ,         2.50,                    51196.65,20713
,ADANIENT,EQ,        91.65,                409997117.00,4465812
,ADANIPOWER,EQ,        29.90,                221981084.55,7436755
,ADFFOODS,EQ,        66.45,                  3075988.25,46603
,ADHUNIK,EQ,        15.90,                   644421.25,40686
,ADI,EQ,       265.75,                    60197.00,225
,ADLABS,EQ,       156.50,                  4778431.90,30463
,ADORWELD,EQ,       282.80,                 42923250.75,148554
,ADSL,EQ,        20.60,                  1284093.80,61148
,ADVANIHOTR,EQ,        55.00,                    37239.05,677
,ADVANTA,EQ,       474.25,                 57409447.00,122556
,AEGISCHEM,EQ,       799.45,                 44384193.10,54968
,AFL,EQ,        74.10,                   782187.00,10524
,AGARIND,EQ,       101.25,                   144068.15,1440
,AGCNET,EQ,       103.25,                  1123790.60,10921
,AGRITECH,EQ,         5.00,                       20.00,4
,AGRODUTCH,BE,         4.95,                    35421.00,7105
,AHLEAST,EQ,       170.25,                   163266.80,959
,AHLUCONT,EQ,       223.10,                 39917963.95,182283
,AHLWEST,EQ,       106.30,                   129713.50,1223
,AIAENG,EQ,      1008.00,                 53260428.60,52862
,AIL,EQ,       735.80,                 13692934.30,18776
,AJANTPHARM,EQ,      1584.00,                406332313.40,254581
,AJMERA,EQ,       137.35,                  7657675.45,55479
,AKSHOPTFBR,EQ,        15.40,                 31614720.00,2010620
,AKZOINDIA,EQ,      1259.95,                 38506173.60,30563
,ALANKIT,EQ,       225.50,                 23263792.00,103133
,ALBK,EQ,        88.80,                202494236.05,2288412
,ALCHEM,EQ,        22.70,                    25218.35,1108
,ALEMBICLTD,EQ,        38.80,                 20208138.05,518501
,ALICON,EQ,       263.70,                   358929.75,1353
,ALKALI,EQ,        46.85,                   556773.10,11946
,ALKYLAMINE,EQ,       283.55,                   179763.80,631
,ALLCARGO,EQ,       316.80,                  9129975.65,28671
,ALLSEC,EQ,        30.70,                  3617066.30,119943
,ALMONDZ,EQ,        10.10,                    36783.10,3644
,ALOKTEXT,EQ,         7.15,                101269164.30,14423471
,ALPA,BE,        13.10,                    51094.65,3913
,ALPHAGEO,EQ,       385.05,                  1674166.45,4332
,ALPSINDUS,EQ,         2.55,                    78762.90,31148
,ALSTOMT&D,EQ,       546.55,                 65880954.60,120046
,AMARAJABAT,EQ,       882.40,                155242786.50,174848
,AMBIKCO,EQ,      1038.75,                 28653694.90,27052
,AMDIND,EQ,        22.30,                     7350.00,334
,AMRUTANJAN,EQ,       457.85,                 47407770.55,104281
,AMTEKAUTO,EQ,       158.55,                454927476.45,2830288
,AMTL,EQ,        15.35,                    18163.00,1191
,ANANTRAJ,EQ,        42.70,                 97542436.40,2267304
,ANDHRABANK,EQ,        69.95,                145989852.05,2096681
,ANDHRACEMT,EQ,         6.85,                   194215.90,28283
,ANDHRSUGAR,EQ,        94.15,                   171562.30,1834
,ANGIND,EQ,        32.40,                  1475581.20,45458
,ANIKINDS,BE,        28.00,                    12068.00,431
,ANKITMETAL,EQ,         2.60,                   214771.75,79370
,ANSALAPI,EQ,        17.05,                 19082436.15,1090398
,ANSALHSG,EQ,        24.20,                   168717.55,6941
,ANTGRAPHIC,BE,          .10,                      200.00,2000
,APARINDS,EQ,       384.50,                  4124707.90,10711
,APCOTEXIND,EQ,       479.15,                  4410277.85,9262
,APLAPOLLO,EQ,       393.80,                  2749156.40,7043
,APLLTD,EQ,       662.45,                 67639005.95,101720
,APOLLOTYRE,EQ,       172.90,                421401950.50,2445064
,APTECHT,EQ,        60.00,                 37200788.00,611904
,ARCHIDPLY,EQ,        34.60,                   766364.60,22075
,ARCHIES,EQ,        19.30,                   740593.80,38497
