,15-Jul-2015
The Nifty witnessed an intraday movement of about 68.45 points.The closing index was 0.82 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 14626.63
, Traded Quantity (in Lakhs), 8327.62
, Number of Trades, 7159669
, Total Market Capitalisation (Rs. Crores), 10109685.08

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      8454.10,      8463.40,      8531.40,      8462.95,      8523.80,69.7
,CNX IT,     11043.85,     11050.50,     11165.50,     11050.50,     11150.25,106.4
,CNX Nifty Junior,     20505.95,     20546.50,     20591.20,     20445.05,     20506.40,.45
,BANK Nifty,     18780.20,     18801.50,     18894.90,     18773.90,     18816.25,36.05
,CNX Midcap,     13469.75,     13503.30,     13567.20,     13484.55,     13513.35,43.6
,CNX 500,      7020.25,      7030.85,      7075.25,      7030.85,      7065.65,45.4
,CNX 100,      8558.55,      8569.10,      8625.85,      8569.10,      8618.05,59.5
,Nifty Midcap 50,      3384.30,      3392.80,      3403.55,      3376.55,      3385.85,1.55
,CNX Realty,       180.05,       181.15,       182.65,       180.45,       181.00,.95
,CNX Infra,      3351.05,      3356.90,      3377.85,      3356.50,      3365.60,14.55
,CNX Energy,      8797.75,      8813.25,      8888.70,      8813.25,      8850.95,53.2
,CNX FMCG,     20184.45,     20180.60,     20306.75,     20163.35,     20251.45,67
,CNX MNC,     10156.00,     10173.25,     10270.15,     10171.15,     10235.55,79.55
,CNX Pharma,     12786.60,     12815.05,     12928.70,     12792.10,     12912.35,125.75
,CNX PSE,      3564.05,      3576.90,      3584.30,      3561.15,      3565.05,1
,CNX PSU Bank,      3358.10,      3363.85,      3391.75,      3337.95,      3349.00,-9.1
,CNX Service,     10810.50,     10813.55,     10895.60,     10811.60,     10880.10,69.6
,India VIX,16.0100,16.0100,16.0300,14.1850,15.5675,-0.4425
,CNX AUTO,      8305.70,      8321.75,      8415.85,      8320.35,      8403.20,97.5
,CNX Metal,      2205.10,      2218.30,      2227.40,      2206.00,      2209.10,4
,CNX Media,      2299.75,      2306.95,      2346.40,      2300.30,      2309.55,9.8
,CNX Smallcap,      5574.85,      5591.95,      5639.55,      5591.95,      5602.75,27.9
,CNX 200,      4425.45,      4431.80,      4459.75,      4431.80,      4455.35,29.9
,CNX Dividend Oppt,      2041.55,      2045.85,      2056.70,      2044.50,      2048.50,6.95
,CNX Commodities,      2653.30,      2660.20,      2679.80,      2658.95,      2668.40,15.1
,CNX Consumption,      3580.30,      3583.25,      3610.95,      3583.25,      3604.45,24.15
,CNX Finance,      7691.60,      7697.85,      7748.25,      7694.15,      7729.25,37.65
,Nifty Dividend,        55.84,        61.63,        61.63,        61.63,        61.63,5.79
,LIX 15,      3531.95,      3536.00,      3555.50,      3529.40,      3541.90,9.95
,CPSE Index,      2458.90,      2473.10,      2478.95,      2460.70,      2463.50,4.6
,NI15,      5142.15,      5145.85,      5199.20,      5145.85,      5195.10,52.95
,NIFTY PR 2X LEV,      3631.65,      3638.95,      3696.75,      3638.95,      3690.80,59.15
,NIFTY PR 1X INV,       454.55,       454.15,       454.15,       450.55,       450.90,-3.65
,NIFTY TR 2X LEV,      4215.55,      4228.35,      4295.50,      4228.35,      4288.60,73.05
,NIFTY TR 1X INV,       421.75,       421.15,       421.15,       417.80,       418.15,-3.6
,NV20,      3782.30,      3787.00,      3818.40,      3785.70,      3809.05,26.75

,ADVANCES,845
,DECLINES,654
,UNCHANGED,68

,Total securities that have hit their price bands today,127

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,TATAMOTORS,EQ,       385.95,       394.30,2.16,607.25
,RELIANCE,EQ,       997.80,      1011.15,1.34,312.34
,ABAN,EQ,       321.80,       327.65,1.82,279.05
,HDFC,EQ,      1318.40,      1340.15,1.65,257.12
,TCS,EQ,      2499.50,      2545.75,1.85,253.92
,MARUTI,EQ,      4050.65,      4152.15,2.51,228.85
,SUNPHARMA,EQ,       919.40,       929.75,1.13,223.64
,YESBANK,EQ,       812.00,       804.30,-0.95,221.13
,LT,EQ,      1857.55,      1869.40,0.64,219.56
,ZEEL,EQ,       374.50,       375.60,0.29,217.24
,ICICIBANK,EQ,       313.45,       314.65,0.38,211.09
,INFY,EQ,       971.25,       984.00,1.31,202.48
,SBIN,EQ,       268.20,       268.05,-0.06,201.5
,AXISBANK,EQ,       583.90,       584.00,0.02,193.87
,COALINDIA,EQ,       434.15,       436.65,0.58,170.35
,AUROPHARMA,EQ,      1512.75,      1506.15,-0.44,140.51
,ASHOKLEY,EQ,        74.25,        74.45,0.27,124.21
,LUPIN,EQ,      1916.30,      1942.95,1.39,123.6
,ITC,EQ,       312.30,       314.00,0.54,114.55
,HCLTECH,EQ,       954.95,       948.15,-0.71,113.49
,HINDPETRO,EQ,       848.80,       849.00,0.02,110.39
,BPCL,EQ,       926.95,       917.65,-1,105.82
,HDFCBANK,EQ,      1091.85,      1096.70,0.44,105.61
,EROSMEDIA,EQ,       585.20,       616.60,5.37,104.48
,TATASTEEL,EQ,       281.15,       280.40,-0.27,103.73

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,MARUTI,EQ,      4152.15,      4050.65,2.51
,WIPRO,EQ,       577.75,       565.40,2.18
,TATAMOTORS,EQ,       394.30,       385.95,2.16
,ULTRACEMCO,EQ,      3200.05,      3138.00,1.98
,TCS,EQ,      2545.75,      2499.50,1.85

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,CAIRN,EQ,       167.90,       170.35,-1.44
,BPCL,EQ,       917.65,       926.95,-1
,YESBANK,EQ,       804.30,       812.00,-0.95
,PNB,EQ,       143.55,       144.70,-0.79
,HCLTECH,EQ,       948.15,       954.95,-0.71

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.75,                  1582699.20,50904
,3IINFOTECH,BE,         4.35,                  8183028.75,1927403
,3MINDIA,EQ,      8200.85,                  9676426.60,1179
,8KMILES,EQ,       897.35,                 42748144.55,47010
,A2ZINFRA,EQ,        25.30,                 19118912.65,755748
,AARTIDRUGS,EQ,       681.75,                 77643890.75,113338
,AARTIIND,EQ,       375.20,                 29314976.90,77155
,AARVEEDEN,EQ,        49.50,                   161337.80,3163
,ABAN,EQ,       327.65,               2790544595.55,8382407
,ABB,EQ,      1404.75,                199475202.15,142162
,ABBOTINDIA,EQ,      4028.35,                 16137824.65,4008
,ABCIL,EQ,       225.95,                  2271281.55,10088
,ABGSHIP,EQ,       185.75,                 66681166.45,353926
,ACCELYA,EQ,       996.25,                  2396875.30,2396
,ACE,EQ,        44.35,                  8392774.25,187570
,ACROPETAL,EQ,         3.00,                    86785.30,29078
,ADANIENT,EQ,        89.10,                302088924.95,3380001
,ADANIPOWER,EQ,        28.05,                205390307.15,7233942
,ADFFOODS,EQ,        75.50,                 15826991.95,206469
,ADHUNIK,EQ,        18.75,                 13644102.40,731688
,ADI,EQ,       257.90,                   720448.00,2787
,ADLABS,EQ,       157.95,                 22006307.90,138499
,ADORWELD,EQ,       308.95,                 30269511.60,97247
,ADSL,EQ,        29.95,                  7586603.90,246898
,ADVANIHOTR,EQ,        55.00,                    60108.60,1080
,ADVANTA,EQ,       486.20,                 35606252.85,73513
,AEGISCHEM,EQ,       861.00,                 39460429.60,45169
,AFL,EQ,       102.90,                  9974836.30,98551
,AGARIND,EQ,       103.10,                   431787.30,4121
,AGCNET,EQ,       115.75,                  1232920.25,10669
,AGRODUTCH,EQ,         4.15,                    20306.95,4951
,AHLEAST,EQ,       174.10,                   256981.25,1464
,AHLUCONT,EQ,       239.25,                212671223.40,878848
,AHLWEST,EQ,       108.00,                   132516.00,1227
,AIAENG,EQ,      1002.15,                 43956890.65,43841
,AIL,EQ,       768.50,                 13927826.85,18111
,AJANTPHARM,EQ,      1602.15,                206796773.35,128592
,AJMERA,EQ,       140.40,                  5477207.05,38706
,AKSHOPTFBR,EQ,        18.70,                 44052753.70,2327024
,AKZOINDIA,EQ,      1308.90,                  6197461.65,4718
,ALANKIT,EQ,       215.20,                 25734053.50,119484
,ALBK,EQ,        90.05,                107146333.65,1181127
,ALCHEM,EQ,        26.45,                   576055.60,21152
,ALEMBICLTD,EQ,        46.15,                 43471381.50,939078
,ALICON,EQ,       290.85,                   505565.35,1732
,ALKALI,EQ,        45.75,                   168064.85,3700
,ALKYLAMINE,EQ,       290.00,                   631153.50,2175
,ALLCARGO,EQ,       291.15,                 14226020.50,48460
,ALLSEC,EQ,        33.00,                   276169.65,8370
,ALMONDZ,EQ,        10.00,                    45845.00,4532
,ALOKTEXT,EQ,         7.10,                 29968017.35,4164761
,ALPA,BE,        15.45,                   267677.05,17674
,ALPHAGEO,EQ,       415.70,                  3169796.90,7504
,ALPSINDUS,EQ,         5.25,                    35285.25,6721
,ALSTOMT&D,EQ,       586.35,                 81158655.10,137684
,AMARAJABAT,EQ,       868.35,                126040794.45,143160
,AMBIKCO,EQ,      1054.70,                 39595826.40,37586
,AMDIND,EQ,        28.10,                   718296.30,24981
,AMRUTANJAN,EQ,       435.95,                  6140547.95,13923
,AMTEKAUTO,EQ,       168.65,                971079051.45,5828605
,AMTL,EQ,        28.75,                   136138.75,4737
,ANANTRAJ,EQ,        42.60,                151875166.10,3534723
,ANDHRABANK,EQ,        72.30,                 97378740.30,1342290
,ANDHRACEMT,EQ,         6.80,                  8280444.85,1179329
,ANDHRSUGAR,EQ,        94.75,                   685058.20,7190
,ANGIND,EQ,        42.60,                 34538271.65,807411
,ANIKINDS,BE,        29.00,                    21173.00,702
,ANKITMETAL,EQ,         2.75,                   209860.55,76683
,ANSALAPI,EQ,        18.70,                  3198806.60,170700
,ANSALHSG,EQ,        26.05,                   711474.55,27122
,ANTGRAPHIC,BE,          .15,                     8801.50,63015
,APARINDS,EQ,       372.95,                  2779271.90,7410
,APCOTEXIND,EQ,       510.95,                  3920738.80,7541
,APLAPOLLO,EQ,       433.20,                  7019691.00,15980
,APLLTD,EQ,       775.65,                226721405.80,289273
,APOLLOTYRE,EQ,       185.65,                301107316.40,1626114
,APOLSINHOT,BE,       196.50,                      786.00,4
,APTECHT,EQ,        68.80,                150858669.25,2170770
,ARCHIDPLY,EQ,        40.75,                  2712624.25,65290
,ARCHIES,EQ,        26.10,                  9112812.65,338417
,ARCOTECH,EQ,       342.40,                 14971641.30,43333
,ARIES,EQ,       115.45,                 10471047.40,90650
,ARIHANT,EQ,        38.60,                     7592.50,199
,AROGRANITE,EQ,        67.20,                  6911158.25,97777
,ARROWCOAT,EQ,       499.75,                 10167143.90,20475
,ARROWTEX,EQ,        27.80,                   838571.95,29533
,ARSHIYA,EQ,        38.60,                   944305.15,24290
,ARSSINFRA,EQ,        31.50,                  2021765.00,63408
,ARVIND,EQ,       291.05,                757333912.65,2585573
,ARVINDREM,EQ,        19.10,                 20164395.70,1033173
,ASAHIINDIA,EQ,       149.65,                  6313697.70,41750
,ASAHISONG,EQ,       142.05,                  2049413.65,14179
,ASAL,EQ,        41.80,                   251094.65,6025
,ASHAPURMIN,EQ,        63.05,                  6693718.30,104708
,ASHIANA,EQ,       234.35,                  3939870.65,16654
,ASHIMASYN,EQ,        12.40,                   214346.40,17135
,ASHOKA,EQ,       189.65,                 69663086.45,363203
,ASHOKLEY,EQ,        74.45,               1242118932.00,16647271
,ASIANHOTNR,EQ,       100.85,                   643295.10,6352
,ASIANTILES,EQ,       109.15,                 17468436.95,163572
,ASSAMCO,EQ,         3.75,                  2750581.45,724670
,ASTEC,EQ,       212.65,                231154447.00,1089516
