,17-Jul-2015
The Nifty witnessed an intraday movement of about 49.8 points.The closing index was 0.02 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 14983.44
, Traded Quantity (in Lakhs), 8053.99
, Number of Trades, 7040028
, Total Market Capitalisation (Rs. Crores), 10220921.18

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      8608.05,      8623.65,      8642.95,      8593.15,      8609.85,1.8
,CNX IT,     11191.60,     11239.70,     11306.40,     11227.40,     11269.20,77.6
,CNX Nifty Junior,     20761.90,     20851.05,     20916.95,     20728.65,     20880.25,118.35
,BANK Nifty,     19168.05,     19175.30,     19229.05,     19069.30,     19094.70,-73.35
,CNX Midcap,     13680.90,     13733.55,     13771.10,     13676.25,     13725.85,44.95
,CNX 500,      7136.80,      7154.25,      7166.95,      7132.60,      7148.05,11.25
,CNX 100,      8706.70,      8725.85,      8740.25,      8693.50,      8716.00,9.3
,Nifty Midcap 50,      3422.35,      3434.45,      3449.50,      3420.85,      3437.00,14.65
,CNX Realty,       180.95,       182.40,       182.50,       179.70,       180.10,-.85
,CNX Infra,      3384.20,      3390.60,      3419.55,      3389.05,      3407.55,23.35
,CNX Energy,      8938.50,      8958.60,      8991.80,      8926.10,      8950.90,12.4
,CNX FMCG,     20445.80,     20491.85,     20631.30,     20403.90,     20575.85,130.05
,CNX MNC,     10291.95,     10313.70,     10323.75,     10266.75,     10287.35,-4.6
,CNX Pharma,     13060.35,     13120.65,     13179.90,     13098.50,     13139.00,78.65
,CNX PSE,      3609.90,      3619.15,      3623.00,      3597.00,      3607.15,-2.75
,CNX PSU Bank,      3387.90,      3392.35,      3411.25,      3374.70,      3380.95,-6.95
,CNX Service,     11020.90,     11037.00,     11053.25,     10990.95,     11002.50,-18.4
,India VIX,14.7825,14.7825,15.1350,13.2850,14.8025,0.0200
,CNX AUTO,      8434.55,      8461.05,      8496.80,      8407.65,      8473.90,39.35
,CNX Metal,      2217.20,      2220.45,      2222.10,      2198.00,      2207.65,-9.55
,CNX Media,      2332.40,      2347.85,      2353.10,      2312.70,      2336.95,4.55
,CNX Smallcap,      5637.60,      5665.05,      5701.80,      5650.15,      5686.45,48.85
,CNX 200,      4501.25,      4511.90,      4519.60,      4495.45,      4506.10,4.85
,CNX Dividend Oppt,      2064.25,      2068.20,      2071.20,      2057.90,      2060.50,-3.75
,CNX Commodities,      2690.55,      2697.25,      2704.50,      2682.70,      2692.95,2.4
,CNX Consumption,      3624.85,      3634.65,      3641.50,      3623.80,      3632.15,7.3
,CNX Finance,      7870.80,      7876.60,      7879.40,      7798.90,      7807.75,-63.05
,Nifty Dividend,        63.19,        63.19,        63.19,        63.19,        63.19,0
,LIX 15,      3597.10,      3598.50,      3625.30,      3582.75,      3600.45,3.35
,CPSE Index,      2501.50,      2511.15,      2511.15,      2477.00,      2480.65,-20.85
,NI15,      5226.55,      5241.35,      5254.50,      5225.30,      5243.15,16.6
,NIFTY PR 2X LEV,      3763.05,      3775.90,      3791.25,      3749.50,      3763.90,.85
,NIFTY PR 1X INV,       446.55,       445.80,       447.40,       444.90,       446.55,0
,NIFTY TR 2X LEV,      4373.75,      4388.70,      4406.50,      4358.00,      4374.70,.95
,NIFTY TR 1X INV,       414.05,       413.40,       414.85,       412.55,       414.05,0
,NV20,      3841.00,      3847.60,      3861.15,      3839.25,      3845.80,4.8

,ADVANCES,749
,DECLINES,764
,UNCHANGED,74

,Total securities that have hit their price bands today,125

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,AXISBANK,EQ,       608.65,       602.10,-1.08,353.5
,YESBANK,EQ,       830.35,       824.55,-0.7,349.57
,LT,EQ,      1868.05,      1871.60,0.19,314.08
,ICICIBANK,EQ,       317.10,       317.45,0.11,270.75
,HDFC,EQ,      1359.70,      1326.65,-2.43,264.18
,TATAMOTORS,EQ,       395.25,       398.05,0.71,261.36
,TECHM,EQ,       491.80,       502.15,2.1,251.53
,RELIANCE,EQ,      1023.70,      1021.70,-0.2,239.03
,SUNPHARMA,EQ,       941.35,       947.65,0.67,214.01
,WOCKPHARMA,EQ,      1543.70,      1532.20,-0.74,208.24
,AUROPHARMA,EQ,      1517.25,      1515.70,-0.1,192.94
,TATASTEEL,EQ,       280.80,       284.05,1.16,183.1
,INFY,EQ,       989.05,      1001.85,1.29,171.96
,AMBUJACEM,EQ,       254.30,       250.60,-1.45,170.11
,SBIN,EQ,       272.20,       271.10,-0.4,151.54
,TCS,EQ,      2540.20,      2564.40,0.95,136.92
,RAJESHEXPO,EQ,       417.90,       447.10,6.99,136.83
,M&M,EQ,      1276.85,      1296.60,1.55,134.37
,BHARTIARTL,EQ,       424.65,       425.85,0.28,132.38
,RELCAPITAL,EQ,       371.25,       383.40,3.27,126.9
,ITC,EQ,       317.95,       322.30,1.37,126.32
,LUPIN,EQ,      1954.80,      1973.00,0.93,124.41
,NIITLTD,EQ,        52.15,        58.15,11.51,123.8
,SPARC,EQ,       430.85,       442.30,2.66,116.75
,CROMPGREAV,EQ,       192.90,       198.05,2.67,115.57

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BHEL,EQ,       286.55,       280.20,2.27
,TECHM,EQ,       502.15,       491.80,2.1
,M&M,EQ,      1296.60,      1276.85,1.55
,ULTRACEMCO,EQ,      3223.60,      3175.05,1.53
,ITC,EQ,       322.30,       317.95,1.37

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ASIANPAINT,EQ,       825.40,       848.05,-2.67
,HDFC,EQ,      1326.65,      1359.70,-2.43
,COALINDIA,EQ,       430.15,       438.30,-1.86
,AMBUJACEM,EQ,       250.60,       254.30,-1.45
,HINDUNILVR,EQ,       924.30,       936.85,-1.34

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.45,                   625988.05,20451
,3IINFOTECH,BE,         4.20,                  4816377.15,1158416
,3MINDIA,EQ,      8280.45,                 33118828.00,3990
,8KMILES,EQ,       883.05,                 15894493.90,17830
,A2ZINFRA,EQ,        27.70,                 44684086.35,1634952
,AARTIDRUGS,EQ,       677.05,                 17632336.15,25822
,AARTIIND,EQ,       376.45,                 16460762.45,43651
,AARVEEDEN,EQ,        52.10,                   190605.10,3634
,ABAN,EQ,       308.20,                807792209.20,2575278
,ABB,EQ,      1412.25,                 68678229.65,47996
,ABBOTINDIA,EQ,      4109.70,                 12274126.50,3018
,ABCIL,EQ,       226.00,                  5102417.35,22524
,ABGSHIP,EQ,       182.90,                 23066425.75,125326
,ACCELYA,EQ,       992.55,                  2483419.00,2502
,ACE,EQ,        43.90,                  5214292.90,118828
,ACROPETAL,EQ,         2.95,                    54071.60,18475
,ADANIENT,EQ,        88.60,                147136794.20,1652076
,ADANIPOWER,EQ,        30.05,                662807725.45,22065409
,ADFFOODS,EQ,        73.90,                  4536803.30,61350
,ADHUNIK,EQ,        24.75,                  9897212.90,403789
,ADI,EQ,       254.85,                   543085.80,2139
,ADLABS,EQ,       161.50,                  8041735.00,49661
,ADORWELD,EQ,       307.70,                  3141424.20,10157
,ADSL,EQ,        28.40,                  3801817.20,130745
,ADVANIHOTR,EQ,        53.85,                    16948.40,317
,ADVANTA,EQ,       485.45,                  7289714.50,14881
,AEGISCHEM,EQ,       837.55,                 11930369.85,14145
,AFL,EQ,       100.85,                  5480466.30,53881
,AGARIND,EQ,        99.85,                   328438.05,3277
,AGCNET,EQ,       129.50,                  5743441.80,43870
,AGRITECH,EQ,         5.15,                      721.00,140
,AGRODUTCH,EQ,         4.25,                    24818.70,6045
,AHLEAST,EQ,       174.45,                   264498.50,1513
,AHLUCONT,EQ,       234.35,                 24656339.70,104791
,AHLWEST,EQ,       109.30,                   135920.00,1250
,AIAENG,EQ,      1003.65,                 34379947.75,34271
,AIL,EQ,       776.35,                  7260336.25,9348
,AJANTPHARM,EQ,      1673.00,                744048927.15,447737
,AJMERA,EQ,       147.05,                 13352065.40,90441
,AKSHOPTFBR,EQ,        17.75,                 40079955.95,2235307
,AKZOINDIA,EQ,      1315.55,                 10827779.65,8247
,ALANKIT,EQ,       215.85,                 27853766.20,129208
,ALBK,EQ,        91.30,                 78403876.00,857941
,ALCHEM,EQ,        26.65,                    80899.35,3085
,ALEMBICLTD,EQ,        45.65,                 36480535.40,797525
,ALICON,EQ,       344.20,                 31234653.95,91448
,ALKALI,EQ,        45.70,                   202627.80,4414
,ALKYLAMINE,EQ,       284.95,                   278584.50,978
,ALLCARGO,EQ,       289.90,                 14577796.10,50017
,ALLSEC,EQ,        33.90,                   992484.45,29095
,ALMONDZ,EQ,        10.10,                     4075.30,401
,ALOKTEXT,EQ,         7.10,                 29399841.15,4101633
,ALPA,BE,        15.55,                   193895.70,12970
,ALPHAGEO,EQ,       427.50,                  6195766.95,14443
,ALPSINDUS,EQ,         5.75,                    53590.00,9320
,ALSTOMT&D,EQ,       587.70,                  8883501.50,15029
,AMARAJABAT,EQ,       869.70,                100917861.85,116012
,AMBIKCO,EQ,      1065.45,                 12463632.00,11706
,AMDIND,EQ,        26.25,                    66762.45,2531
,AMRUTANJAN,EQ,       440.95,                  4098066.75,9234
,AMTEKAUTO,EQ,       170.05,                505424918.40,2958250
,AMTL,EQ,        31.60,                  6539264.80,208951
,ANANTRAJ,EQ,        40.85,                 32573211.80,790098
,ANDHRABANK,EQ,        72.55,                 51706172.05,711985
,ANDHRACEMT,EQ,         6.75,                  1323603.30,194154
,ANDHRSUGAR,EQ,        98.30,                  1325010.20,13580
,ANGIND,EQ,        44.50,                  6162367.90,135880
,ANIKINDS,BE,        30.00,                   119599.25,4034
,ANKITMETAL,EQ,         2.60,                   155481.40,58937
,ANSALAPI,EQ,        18.30,                  1869351.20,101699
,ANSALHSG,EQ,        26.00,                   211465.75,8084
,ANTGRAPHIC,BE,          .15,                    15055.95,100559
,APARINDS,EQ,       371.70,                  4232041.40,11360
,APCOTEXIND,EQ,       516.70,                   814714.40,1586
,APLAPOLLO,EQ,       458.60,                 12728874.80,27572
,APLLTD,EQ,       758.50,                108845902.50,142174
,APOLLOTYRE,EQ,       189.10,                425389646.40,2245704
,APOLSINHOT,BE,       195.20,                    11195.20,57
,APTECHT,EQ,        70.15,                105817049.55,1519947
,ARCHIDPLY,EQ,        40.00,                  2924780.25,72623
