,20-Jul-2015
The Nifty witnessed an intraday movement of about 65.1 points.The closing index was 0.07 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 13822.82
, Traded Quantity (in Lakhs), 7577.98
, Number of Trades, 6833063
, Total Market Capitalisation (Rs. Crores), 10235378.52

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      8609.85,      8623.90,      8624.10,      8559.00,      8603.45,-6.4
,CNX IT,     11269.20,     11270.40,     11307.90,     11197.85,     11266.95,-2.25
,CNX Nifty Junior,     20880.25,     20911.15,     20931.60,     20823.00,     20889.00,8.75
,BANK Nifty,     19094.70,     19126.10,     19149.05,     18852.70,     19032.70,-62
,CNX Midcap,     13725.85,     13769.95,     13781.45,     13711.90,     13759.80,33.95
,CNX 500,      7148.05,      7161.50,      7161.50,      7121.15,      7148.50,.45
,CNX 100,      8716.00,      8730.00,      8730.00,      8673.85,      8711.10,-4.9
,Nifty Midcap 50,      3437.00,      3445.10,      3453.60,      3428.90,      3448.90,11.9
,CNX Realty,       180.10,       181.50,       181.55,       175.85,       176.45,-3.65
,CNX Infra,      3407.55,      3407.05,      3414.45,      3389.95,      3403.10,-4.45
,CNX Energy,      8950.90,      8981.85,      8981.85,      8920.90,      8960.75,9.85
,CNX FMCG,     20575.85,     20584.65,     20635.45,     20476.45,     20511.40,-64.45
,CNX MNC,     10287.35,     10309.65,     10321.95,     10241.00,     10260.70,-26.65
,CNX Pharma,     13139.00,     13184.75,     13201.25,     13130.20,     13175.65,36.65
,CNX PSE,      3607.15,      3617.20,      3617.70,      3588.60,      3600.75,-6.4
,CNX PSU Bank,      3380.95,      3388.60,      3388.60,      3304.80,      3320.40,-60.55
,CNX Service,     11002.50,     11015.45,     11015.45,     10920.00,     10977.05,-25.45
,India VIX,14.8025,14.8025,15.6175,12.7325,14.9600,0.1575
,CNX AUTO,      8473.90,      8509.10,      8512.10,      8461.90,      8476.35,2.45
,CNX Metal,      2207.65,      2214.30,      2215.05,      2191.50,      2194.55,-13.1
,CNX Media,      2336.95,      2343.20,      2372.95,      2323.50,      2366.50,29.55
,CNX Smallcap,      5686.45,      5705.70,      5715.95,      5674.35,      5705.95,19.5
,CNX 200,      4506.10,      4514.35,      4514.35,      4486.05,      4503.85,-2.25
,CNX Dividend Oppt,      2060.50,      2061.05,      2063.40,      2044.55,      2050.05,-10.45
,CNX Commodities,      2692.95,      2693.65,      2707.95,      2678.00,      2704.40,11.45
,CNX Consumption,      3632.15,      3639.10,      3647.45,      3633.50,      3641.90,9.75
,CNX Finance,      7807.75,      7834.55,      7834.55,      7726.45,      7778.50,-29.25
,Nifty Dividend,        63.19,        65.95,        65.95,        65.95,        65.95,2.76
,LIX 15,      3600.45,      3605.10,      3605.10,      3564.45,      3576.25,-24.2
,CPSE Index,      2480.65,      2488.00,      2490.00,      2467.50,      2473.00,-7.65
,NI15,      5243.15,      5247.65,      5264.35,      5226.70,      5251.80,8.65
,NIFTY PR 2X LEV,      3763.90,      3773.90,      3773.90,      3717.65,      3756.05,-7.85
,NIFTY PR 1X INV,       446.55,       446.05,       449.40,       446.05,       447.15,.6
,NIFTY TR 2X LEV,      4374.70,      4388.45,      4388.45,      4323.10,      4367.70,-7
,NIFTY TR 1X INV,       414.05,       413.50,       416.60,       413.50,       414.50,.45
,NV20,      3845.80,      3854.25,      3854.25,      3822.15,      3838.55,-7.25

,ADVANCES,797
,DECLINES,718
,UNCHANGED,62

,Total securities that have hit their price bands today,131

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,ULTRACEMCO,EQ,      3223.60,      3353.85,4.04,372.51
,HDFC,EQ,      1326.65,      1315.35,-0.85,302.79
,AXISBANK,EQ,       602.10,       599.90,-0.37,279.57
,ICICIBANK,EQ,       317.45,       315.80,-0.52,270.07
,TATAMOTORS,EQ,       398.05,       390.75,-1.83,227.26
,INFY,EQ,      1001.85,      1001.25,-0.06,218.63
,LT,EQ,      1871.60,      1867.30,-0.23,205.61
,BPCL,EQ,       939.65,       963.40,2.53,198.47
,YESBANK,EQ,       824.55,       817.95,-0.8,175.85
,SBIN,EQ,       271.10,       267.45,-1.35,172
,FEDERALBNK,EQ,        75.80,        70.70,-6.73,170.58
,NIITLTD,EQ,        58.15,        67.00,15.22,163.43
,TECHM,EQ,       502.15,       500.80,-0.27,150.48
,RELIANCE,EQ,      1021.70,      1024.75,0.3,148.63
,COALINDIA,EQ,       430.15,       425.45,-1.09,142.76
,WOCKPHARMA,EQ,      1532.20,      1556.30,1.57,139.76
,LICHSGFIN,EQ,       475.05,       476.80,0.37,136.62
,JUSTDIAL,EQ,      1095.50,      1099.30,0.35,135.73
,SUNPHARMA,EQ,       947.65,       948.00,0.04,130.82
,HDFCBANK,EQ,      1110.55,      1115.25,0.42,126.58
,RAJESHEXPO,EQ,       447.10,       466.10,4.25,124.53
,ASHOKLEY,EQ,        75.15,        77.65,3.33,122.69
,ASIANPAINT,EQ,       825.40,       852.30,3.26,121.36
,RELCAPITAL,EQ,       383.40,       392.30,2.32,114.06
,TATACHEM,EQ,       484.70,       502.15,3.6,110.42

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ULTRACEMCO,EQ,      3353.85,      3223.60,4.04
,ASIANPAINT,EQ,       852.30,       825.40,3.26
,BPCL,EQ,       963.40,       939.65,2.53
,HINDALCO,EQ,       109.40,       107.20,2.05
,GRASIM,EQ,      3769.10,      3696.90,1.95

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,PNB,EQ,       141.30,       144.80,-2.42
,BANKBARODA,EQ,       152.95,       156.25,-2.11
,ACC,EQ,      1455.10,      1486.00,-2.08
,CAIRN,EQ,       167.50,       170.75,-1.9
,TATAPOWER,EQ,        74.50,        75.90,-1.84

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.40,                   594746.95,19392
,3IINFOTECH,BE,         4.00,                  8017748.50,1976482
,3MINDIA,EQ,      8262.65,                 54781615.40,6583
,3RDROCK,IT,       189.30,                  4895865.90,25863
,8KMILES,EQ,       876.60,                 19848031.45,22319
,A2ZINFRA,EQ,        30.45,                 14242109.05,475941
,AARTIDRUGS,EQ,       677.45,                 14103973.45,20722
,AARTIIND,EQ,       383.15,                 15666990.75,40914
,AARVEEDEN,EQ,        51.75,                    71683.40,1394
,ABAN,EQ,       298.35,                520054901.00,1720143
,ABB,EQ,      1394.25,                 35801875.65,25549
,ABBOTINDIA,EQ,      4303.85,                 48410105.60,11381
,ABCIL,EQ,       230.75,                  5883582.75,26194
,ABGSHIP,EQ,       183.70,                 16321659.90,88252
,ACCELYA,EQ,       988.05,                  1470099.90,1485
,ACE,EQ,        43.95,                  6577638.55,149291
,ACROPETAL,EQ,         2.95,                   111057.95,37278
,ADANIENT,EQ,        87.95,                156599757.45,1778558
,ADANIPOWER,EQ,        29.10,                375770135.80,12837038
,ADFFOODS,EQ,        71.35,                  3655065.70,50586
,ADHUNIK,EQ,        22.65,                 26835165.70,1154515
,ADI,EQ,       247.80,                  4955437.60,19842
,ADLABS,EQ,       165.15,                 13483787.45,81624
,ADORWELD,EQ,       299.50,                  1909388.20,6278
,ADSL,EQ,        31.20,                 21723013.70,705012
,ADVANIHOTR,EQ,        59.50,                   655886.10,11670
,ADVANTA,EQ,       494.85,                 10264976.00,20931
,AEGISCHEM,EQ,       866.65,                 54384084.20,62748
,AFL,EQ,       100.90,                  3150404.85,31092
,AFTEK,BZ,         3.15,                      110.25,35
,AGARIND,EQ,       100.50,                    12925.75,129
,AGCNET,EQ,       133.20,                  7294900.90,53855
,AGRODUTCH,EQ,         4.15,                    39955.15,9631
,AHLEAST,EQ,       174.85,                   394561.35,2260
,AHLUCONT,EQ,       243.85,                 60937778.50,250762
,AHLWEST,EQ,       111.70,                    57794.85,507
,AIAENG,EQ,       993.70,                161231149.85,161563
,AIL,EQ,       782.45,                 45348963.45,57378
,AJANTPHARM,EQ,      1668.70,                315164781.15,188129
,AJMERA,EQ,       148.55,                 14617783.95,98414
,AKSHOPTFBR,EQ,        17.70,                 31573893.95,1763427
,AKZOINDIA,EQ,      1318.85,                 19456635.15,14753
,ALANKIT,EQ,       217.40,                 27234581.90,125981
,ALBK,EQ,        88.85,                135337298.05,1514954
,ALCHEM,EQ,        27.00,                   204551.55,7587
,ALEMBICLTD,EQ,        44.85,                 38356108.60,843420
,ALICON,EQ,       329.90,                  6510717.05,19419
,ALKALI,EQ,        44.60,                   169232.55,3817
,ALKYLAMINE,EQ,       273.70,                  3897611.70,14202
,ALLCARGO,EQ,       292.60,                 32480346.45,110819
,ALLSEC,EQ,        34.00,                   830135.15,24576
,ALMONDZ,EQ,        10.00,                    52600.00,5200
,ALOKTEXT,EQ,         7.00,                 20234283.45,2876006
,ALPA,BE,        15.65,                    10994.80,721
,ALPHAGEO,EQ,       428.45,                  3798847.40,8714
,ALPSINDUS,EQ,         6.00,                    29328.00,4888
,ALSTOMT&D,EQ,       592.55,                 16558282.10,28052
,AMARAJABAT,EQ,       867.00,                125064538.00,143920
,AMBIKCO,EQ,      1049.45,                 13529416.65,12818
,AMDIND,EQ,        26.70,                   156498.70,5870
,AMRUTANJAN,EQ,       447.00,                  5083425.40,11431
,AMTEKAUTO,EQ,       169.25,                255004652.95,1501632
,AMTL,EQ,        32.60,                  1097563.80,33632
,ANANTRAJ,EQ,        40.80,                 21804188.20,533557
,ANDHRABANK,EQ,        70.35,                 87420960.10,1234202
,ANDHRACEMT,EQ,         6.70,                  2568445.80,380403
,ANDHRSUGAR,EQ,        97.80,                   504358.85,5125
,ANGIND,EQ,        44.70,                  8653362.00,191684
,ANIKINDS,BE,        28.65,                    22511.25,775
,ANKITMETAL,EQ,         2.50,                   252524.25,99130
,ANSALAPI,EQ,        18.25,                  2187567.15,118442
,ANSALHSG,EQ,        25.85,                   399292.90,15293
,APARINDS,EQ,       374.30,                  3195471.10,8461
,APCOTEXIND,EQ,       530.75,                  7629863.50,14389
,APLAPOLLO,EQ,       465.10,                 23978384.30,51255
,APLLTD,EQ,       759.80,                 74610975.00,98061
,APOLLOTYRE,EQ,       194.70,                430807423.70,2243459
,APOLSINHOT,BE,       195.00,                     1147.00,6
,APTECHT,EQ,        71.85,                 91269070.25,1272838
,ARCHIDPLY,EQ,        40.75,                  3213011.20,77468
,ARCHIES,EQ,        28.85,                 65842018.15,2295081
