,27-Jul-2015
The Nifty witnessed an intraday movement of about 140.65 points.The closing index was 1.88 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 16417.44
, Traded Quantity (in Lakhs), 7533.52
, Number of Trades, 7796694
, Total Market Capitalisation (Rs. Crores), 9955241.67

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      8521.55,      8492.10,      8492.20,      8351.55,      8361.00,-160.55
,CNX IT,     11464.15,     11437.55,     11438.00,     11342.50,     11362.45,-101.7
,CNX Nifty Junior,     20636.70,     20578.95,     20578.95,     20353.55,     20378.05,-258.65
,BANK Nifty,     18635.85,     18566.55,     18566.55,     18187.45,     18213.05,-422.8
,CNX Midcap,     13584.55,     13570.10,     13570.10,     13402.15,     13411.55,-173
,CNX 500,      7074.95,      7055.70,      7055.70,      6950.80,      6955.35,-119.6
,CNX 100,      8624.65,      8595.75,      8595.75,      8462.90,      8470.65,-154
,Nifty Midcap 50,      3419.45,      3408.90,      3408.90,      3348.70,      3353.10,-66.35
,CNX Realty,       171.55,       171.20,       171.50,       166.55,       167.05,-4.5
,CNX Infra,      3341.15,      3327.45,      3327.45,      3235.85,      3241.35,-99.8
,CNX Energy,      8936.75,      8925.05,      8937.35,      8726.70,      8747.00,-189.75
,CNX FMCG,     20303.75,     20208.70,     20250.50,     20107.30,     20151.30,-152.45
,CNX MNC,     10194.65,     10179.30,     10179.30,     10055.40,     10064.60,-130.05
,CNX Pharma,     12226.05,     12219.25,     12247.10,     12048.25,     12056.90,-169.15
,CNX PSE,      3573.10,      3572.05,      3572.05,      3504.45,      3508.00,-65.1
,CNX PSU Bank,      3274.25,      3265.95,      3265.95,      3192.95,      3199.00,-75.25
,CNX Service,     11010.00,     10971.95,     10971.95,     10780.35,     10798.45,-211.55
,India VIX,15.4575,15.4575,17.0525,12.9250,16.3700,0.9125
,CNX AUTO,      8472.05,      8433.00,      8433.00,      8294.20,      8305.65,-166.4
,CNX Metal,      2151.65,      2144.95,      2144.95,      2094.45,      2103.85,-47.8
,CNX Media,      2362.55,      2385.40,      2407.30,      2370.95,      2385.40,22.85
,CNX Smallcap,      5622.65,      5618.40,      5618.40,      5543.45,      5550.35,-72.3
,CNX 200,      4456.80,      4443.75,      4443.75,      4374.20,      4378.45,-78.35
,CNX Dividend Oppt,      2041.20,      2035.75,      2035.85,      2002.05,      2004.55,-36.65
,CNX Commodities,      2662.10,      2655.75,      2655.75,      2603.05,      2608.65,-53.45
,CNX Consumption,      3638.50,      3629.70,      3629.70,      3589.15,      3593.00,-45.5
,CNX Finance,      7699.40,      7668.90,      7668.90,      7523.80,      7537.00,-162.4
,Nifty Dividend,        68.77,        68.77,        68.77,        68.77,        68.77,0
,LIX 15,      3535.60,      3520.65,      3520.65,      3424.50,      3428.10,-107.5
,CPSE Index,      2421.65,      2426.55,      2426.55,      2377.40,      2380.35,-41.3
,NI15,      5228.95,      5213.40,      5213.40,      5156.30,      5161.50,-67.45
,NIFTY PR 2X LEV,      3680.75,      3653.40,      3653.40,      3533.20,      3540.15,-140.6
,NIFTY PR 1X INV,       451.65,       453.45,       460.80,       453.45,       460.40,8.75
,NIFTY TR 2X LEV,      4282.30,      4250.45,      4250.45,      4110.60,      4118.65,-163.65
,NIFTY TR 1X INV,       418.60,       420.25,       427.10,       420.25,       426.70,8.1
,NV20,      3834.90,      3826.15,      3826.15,      3747.90,      3753.80,-81.1

,ADVANCES,441
,DECLINES,1085
,UNCHANGED,65

,Total securities that have hit their price bands today,119

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,AXISBANK,EQ,       580.45,       555.80,-4.25,553.54
,LUPIN,EQ,      1672.10,      1617.55,-3.26,498.95
,RELIANCE,EQ,      1025.05,      1005.35,-1.92,467.22
,TATAELXSI,EQ,      1591.60,      1672.50,5.08,436.78
,LT,EQ,      1802.35,      1743.35,-3.27,416.29
,INFY,EQ,      1087.60,      1065.30,-2.05,362.37
,TATAMOTORS,EQ,       390.25,       377.45,-3.28,319.62
,ICICIBANK,EQ,       300.60,       291.10,-3.16,298.8
,SUNPHARMA,EQ,       836.20,       823.70,-1.49,298.15
,HDFC,EQ,      1358.75,      1336.00,-1.67,290.71
,COALINDIA,EQ,       426.05,       423.60,-0.58,263.48
,MRF,EQ,     38531.55,     38986.10,1.18,260.89
,YESBANK,EQ,       808.15,       785.30,-2.83,254.27
,TCS,EQ,      2505.15,      2497.05,-0.32,250.16
,EICHERMOT,EQ,     20113.85,     19347.95,-3.81,227.28
,TECHM,EQ,       511.05,       519.55,1.66,218.53
,ONGC,EQ,       282.85,       271.50,-4.01,201.93
,TATASTEEL,EQ,       265.05,       250.75,-5.4,194.77
,HINDPETRO,EQ,       913.30,       920.45,0.78,181.06
,SBIN,EQ,       263.25,       258.45,-1.82,176.56
,CENTURYTEX,EQ,       719.40,       693.05,-3.66,175.65
,IBULHSGFIN,EQ,       728.05,       745.75,2.43,164.21
,HCLTECH,EQ,       952.65,       937.10,-1.63,156.83
,BEL,EQ,      3671.35,      3681.50,0.28,152.07
,IDFC,EQ,       157.20,       153.35,-2.45,132.96

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TECHM,EQ,       519.55,       511.05,1.66
,ZEEL,EQ,       393.00,       391.05,.5
,ASIANPAINT,EQ,       853.15,       849.00,.49
,BAJAJ-AUTO,EQ,      2509.00,      2497.35,.47
,GRASIM,EQ,      3681.75,      3672.90,.24

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TATASTEEL,EQ,       250.75,       265.05,-5.4
,HEROMOTOCO,EQ,      2605.05,      2740.40,-4.94
,HINDALCO,EQ,       104.40,       109.35,-4.53
,AXISBANK,EQ,       555.80,       580.45,-4.25
,ONGC,EQ,       271.50,       282.85,-4.01

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        29.65,                   537980.25,18026
,3IINFOTECH,BE,         4.00,                  5931023.85,1480859
,3MINDIA,EQ,      8221.20,                  3723424.10,451
,8KMILES,EQ,       818.70,                 11389749.30,13706
,A2ZINFRA,EQ,        28.40,                 11165838.90,388634
,AARTIDRUGS,EQ,       674.30,                 18050375.40,26536
,AARTIIND,EQ,       391.90,                 12869732.90,32971
,AARVEEDEN,EQ,        56.25,                  1419721.80,24825
,ABAN,EQ,       301.80,                578024187.75,1905873
,ABB,EQ,      1313.65,                 63288381.20,46989
,ABBOTINDIA,EQ,      4298.40,                 33949941.65,7876
,ABCIL,EQ,       224.10,                  3205949.00,14227
,ABGSHIP,EQ,       184.60,                 58278526.35,311533
,ACCELYA,EQ,      1011.15,                  6787009.25,6737
,ACE,EQ,        44.55,                 41425456.70,913721
,ACROPETAL,EQ,         2.85,                    28052.45,9971
,ADANIENT,EQ,        81.05,                282592998.55,3445054
,ADANIPOWER,EQ,        27.05,                321103129.70,11769076
,ADFFOODS,EQ,        69.20,                  1417611.05,20453
,ADHUNIK,EQ,        22.40,                  4097693.75,180759
,ADI,EQ,       246.00,                  1195246.40,4848
,ADLABS,EQ,       156.75,                  3546620.00,22507
,ADORWELD,EQ,       288.20,                  1314820.65,4547
,ADSL,EQ,        34.95,                  2979531.30,85061
,ADVANIHOTR,EQ,        54.05,                    49180.15,907
,ADVANTA,EQ,       501.00,                  9081052.70,18121
,AEGISCHEM,EQ,       860.90,                 22026969.55,25530
,AFL,EQ,       110.70,                  9080681.65,81325
,AFTEK,BZ,         3.00,                    30300.00,10100
,AGARIND,EQ,        98.15,                   326906.05,3278
,AGCNET,EQ,       144.40,                 25731521.60,172601
,AGRODUTCH,EQ,         3.80,                    40500.00,10625
,AHLEAST,EQ,       171.00,                   805731.80,4706
,AHLUCONT,EQ,       230.55,                 12357751.05,53085
,AHLWEST,EQ,       115.00,                   317318.50,2720
,AIAENG,EQ,       980.70,                 23071806.70,23486
,AIL,EQ,       818.75,                 24043636.50,29816
,AJANTPHARM,EQ,      1571.15,                283328131.95,180271
,AJMERA,EQ,       140.80,                  5427041.10,38254
,AKSHOPTFBR,EQ,        16.55,                 14633631.75,873145
,AKZOINDIA,EQ,      1301.05,                  7533576.05,5777
,ALANKIT,EQ,       216.60,                 30745322.85,141284
,ALBK,EQ,        83.65,                149029720.25,1748357
,ALCHEM,EQ,        25.60,                    54509.95,2147
,ALEMBICLTD,EQ,        43.60,                 19563666.60,444622
,ALICON,EQ,       302.80,                  1653289.30,5462
,ALKALI,EQ,        53.30,                  4532760.80,84115
,ALKYLAMINE,EQ,       283.40,                   369163.70,1301
,ALLCARGO,EQ,       288.50,                 19544847.35,67204
,ALLSEC,EQ,        33.95,                  2186507.65,65722
,ALMONDZ,EQ,        10.00,                    20490.00,2050
,ALOKTEXT,EQ,         6.25,                 25910381.80,4087184
,ALPA,BE,        17.40,                   189466.00,10924
,ALPHAGEO,EQ,       415.85,                  1985276.70,4738
,ALPSINDUS,EQ,         6.30,                   161217.00,25590
,ALSTOMT&D,EQ,       538.55,                 73623225.25,135107
,AMARAJABAT,EQ,       844.45,                 61958264.35,72791
,AMBIKCO,EQ,      1007.80,                  7097598.25,7029
,AMDIND,EQ,        26.90,                   110460.00,4129
,AMRUTANJAN,EQ,       451.15,                  8226613.90,18172
,AMTEKAUTO,EQ,       163.95,                170470418.55,1035798
,AMTL,EQ,        25.50,                  1829360.25,70850
,ANANTRAJ,EQ,        39.60,                 19395632.40,487237
,ANDHRABANK,EQ,        70.50,                382059193.40,5325211
,ANDHRACEMT,EQ,         5.90,                   537267.75,90121
,ANDHRSUGAR,EQ,        95.65,                   845457.50,8791
,ANGIND,EQ,        39.25,                  2572835.45,63539
,ANIKINDS,BE,        29.05,                    84911.00,2909
,ANKITMETAL,EQ,         2.20,                   281355.15,126321
,ANSALAPI,EQ,        17.65,                   846428.40,47705
,ANSALHSG,EQ,        24.85,                   494646.00,19786
,APARINDS,EQ,       396.70,                 18519703.80,45870
,APCOTEXIND,EQ,       599.00,                 42177167.95,70719
,APLAPOLLO,EQ,       452.60,                  2356740.15,5210
,APLLTD,EQ,       739.35,                 62762198.55,84571
,APOLLOTYRE,EQ,       191.45,                465101372.10,2417645
,APOLSINHOT,BE,       198.00,                      198.00,1
,APTECHT,EQ,        66.25,                 20118665.75,298965
,ARCHIDPLY,EQ,        46.15,                 11453960.10,246285
,ARCHIES,EQ,        31.70,                 41768465.40,1299074
,ARCOTECH,EQ,       355.15,                 64151793.90,180372
