,11-Aug-2015
The Nifty witnessed an intraday movement of about 114.95 points.The closing index was 0.74 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 17477.7
, Traded Quantity (in Lakhs), 9001.55
, Number of Trades, 8285982
, Total Market Capitalisation (Rs. Crores), 10168252.27

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      8525.60,      8548.45,      8556.25,      8441.30,      8462.35,-63.25
,CNX IT,     11573.90,     11637.25,     11740.85,     11605.90,     11711.15,137.25
,CNX Nifty Junior,     21524.50,     21613.70,     21617.60,     21234.55,     21393.60,-130.9
,BANK Nifty,     18875.00,     18918.55,     18918.55,     18555.50,     18616.90,-258.1
,CNX Midcap,     14100.75,     14154.30,     14165.80,     13919.60,     14007.75,-93
,CNX 500,      7157.55,      7179.20,      7179.20,      7079.15,      7101.10,-56.45
,CNX 100,      8686.25,      8711.65,      8711.65,      8596.35,      8623.70,-62.55
,Nifty Midcap 50,      3508.60,      3515.55,      3516.65,      3427.85,      3455.00,-53.6
,CNX Realty,       183.65,       184.20,       185.35,       180.35,       181.55,-2.1
,CNX Infra,      3294.10,      3302.25,      3302.25,      3237.50,      3255.35,-38.75
,CNX Energy,      8537.25,      8566.40,      8566.40,      8444.00,      8475.10,-62.15
,CNX FMCG,     20789.55,     20809.15,     20809.15,     20583.10,     20663.10,-126.45
,CNX MNC,     10555.60,     10583.10,     10584.45,     10415.60,     10479.20,-76.4
,CNX Pharma,     12638.60,     12691.40,     12691.40,     12570.40,     12636.90,-1.7
,CNX PSE,      3477.90,      3492.25,      3492.25,      3420.00,      3425.45,-52.45
,CNX PSU Bank,      3576.30,      3605.30,      3637.60,      3430.65,      3442.95,-133.35
,CNX Service,     10995.35,     11034.85,     11034.85,     10909.10,     10944.50,-50.85
,India VIX,15.4650,15.4650,16.0925,13.5525,15.8925,0.4275
,CNX AUTO,      8745.60,      8765.30,      8765.30,      8574.95,      8619.25,-126.35
,CNX Metal,      2109.80,      2116.80,      2116.80,      2030.05,      2035.40,-74.4
,CNX Media,      2492.95,      2483.70,      2513.00,      2474.85,      2499.25,6.3
,CNX Smallcap,      5848.70,      5880.60,      5883.65,      5745.95,      5767.20,-81.5
,CNX 200,      4494.50,      4507.80,      4507.80,      4445.65,      4459.60,-34.9
,CNX Dividend Oppt,      2053.90,      2058.45,      2059.05,      2022.60,      2025.20,-28.7
,CNX Commodities,      2612.35,      2619.10,      2620.30,      2563.70,      2568.20,-44.15
,CNX Consumption,      3697.15,      3704.40,      3708.35,      3649.35,      3665.25,-31.9
,CNX Finance,      7700.60,      7716.05,      7721.80,      7580.90,      7600.55,-100.05
,Nifty Dividend,        70.45,        70.74,        70.74,        70.74,        70.74,.29
,LIX 15,      3572.25,      3589.30,      3589.30,      3476.45,      3482.35,-89.9
,CPSE Index,      2347.70,      2355.00,      2356.45,      2305.15,      2310.45,-37.25
,NI15,      5337.45,      5354.65,      5356.35,      5313.85,      5341.40,3.95
,NIFTY PR 2X LEV,      3669.75,      3688.70,      3690.40,      3597.05,      3614.60,-55.15
,NIFTY PR 1X INV,       452.60,       451.45,       457.10,       451.35,       456.05,3.45
,NIFTY TR 2X LEV,      4270.75,      4293.00,      4295.00,      4186.35,      4206.75,-64
,NIFTY TR 1X INV,       419.40,       418.35,       423.60,       418.25,       422.60,3.2
,NV20,      3839.90,      3855.25,      3856.95,      3801.50,      3806.65,-33.25

,ADVANCES,389
,DECLINES,1133
,UNCHANGED,51

,Total securities that have hit their price bands today,128

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SBIN,EQ,       282.75,       268.80,-4.93,1088.02
,SYNGENE,EQ,       250.00,       310.55,24.22,568.93
,CHENNPETRO,EQ,       205.10,       241.40,17.7,473.88
,INFY,EQ,      1086.00,      1109.15,2.13,418.69
,TATAMOTORS,EQ,       385.70,       369.15,-4.29,374.67
,COALINDIA,EQ,       407.95,       392.70,-3.74,343.73
,ICICIBANK,EQ,       309.60,       302.25,-2.37,288.31
,TCS,EQ,      2572.10,      2604.20,1.25,285.55
,HDFC,EQ,      1305.50,      1290.65,-1.14,284.32
,APOLLOTYRE,EQ,       209.15,       183.10,-12.46,259.48
,HINDPETRO,EQ,       963.80,       954.00,-1.02,240.52
,TATASTEEL,EQ,       261.15,       246.80,-5.49,222.01
,YESBANK,EQ,       816.75,       798.65,-2.22,203.07
,LT,EQ,      1820.75,      1801.15,-1.08,198.75
,WOCKPHARMA,EQ,      1652.40,      1652.35,0,198.61
,BOSCHLTD,EQ,     26027.35,     26580.35,2.12,194
,RELIANCE,EQ,       968.90,       966.00,-0.3,193.53
,HEROMOTOCO,EQ,      2703.95,      2688.40,-0.58,184.07
,AXISBANK,EQ,       575.90,       571.25,-0.81,182.17
,SUNPHARMA,EQ,       840.70,       841.75,0.12,179.11
,BRITANNIA,EQ,      3314.05,      3366.90,1.59,148.74
,SUNTV,EQ,       341.20,       342.40,0.35,148.54
,UPL,EQ,       562.85,       562.35,-0.09,144.02
,BPCL,EQ,       946.70,       925.25,-2.27,138.91
,JINDALSTEL,EQ,        82.10,        81.55,-0.67,138.48

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,INFY,EQ,      1109.15,      1086.00,2.13
,BOSCHLTD,EQ,     26580.35,     26027.35,2.12
,TECHM,EQ,       540.65,       530.95,1.83
,ZEEL,EQ,       414.80,       409.60,1.27
,TCS,EQ,      2604.20,      2572.10,1.25

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TATASTEEL,EQ,       246.80,       261.15,-5.49
,SBIN,EQ,       268.80,       282.75,-4.93
,TATAMOTORS,EQ,       369.15,       385.70,-4.29
,HINDALCO,EQ,       103.25,       107.80,-4.22
,COALINDIA,EQ,       392.70,       407.95,-3.74

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        28.40,                  3549416.15,122349
,3IINFOTECH,EQ,         3.80,                  6928580.85,1797929
,3MINDIA,EQ,     10547.65,                 11437259.80,1078
,3RDROCK,IT,       205.50,                  5271741.50,25863
,8KMILES,EQ,       869.50,                  8147375.15,9271
,A2ZINFRA,EQ,        27.15,                 15987914.65,586191
,AARTIDRUGS,EQ,       654.25,                 15395863.70,23455
,AARTIIND,EQ,       442.00,                123459175.70,278295
,AARVEEDEN,EQ,        69.55,                   920723.45,13101
,ABAN,EQ,       297.40,                231532150.95,775356
,ABB,EQ,      1352.55,                 15625605.95,11488
,ABBOTINDIA,EQ,      4487.80,                 24343088.25,5380
,ABCIL,EQ,       228.35,                  2184640.85,9486
,ABGSHIP,EQ,       173.35,                 11710701.70,67067
,ACCELYA,EQ,      1037.50,                  2584989.70,2494
,ACE,EQ,        47.65,                 14994740.95,309441
,ACROPETAL,EQ,         3.35,                   247852.05,74864
,ADANIENT,EQ,        92.45,                863663470.95,9266414
,ADANIPOWER,EQ,        27.05,                243238447.10,8906711
,ADANITRANS,BE,        37.45,                 56348874.00,1558964
,ADFFOODS,EQ,        72.20,                  6583609.80,90044
,ADHUNIK,EQ,        18.80,                  1953565.35,102438
,ADI,EQ,       181.15,                  1601113.70,8623
,ADLABS,EQ,       151.95,                  3112868.55,20281
,ADORWELD,EQ,       269.95,                  1943607.70,7177
,ADSL,EQ,        35.45,                  8098061.25,222576
,ADVANIHOTR,EQ,        52.00,                     6643.45,127
,ADVANTA,EQ,       540.05,                 17634173.25,32721
,AEGISCHEM,EQ,       845.05,                171267542.50,204311
,AFL,EQ,        81.50,                  5193395.05,63168
,AGARIND,EQ,       120.05,                  1536740.85,13045
,AGCNET,EQ,       110.20,                  1415104.50,12550
,AGRITECH,EQ,         6.65,                      695.15,109
,AGRODUTCH,EQ,         3.90,                    52392.40,13260
,AHLEAST,EQ,       175.60,                    78589.85,451
,AHLUCONT,EQ,       242.95,                 10493494.85,43172
,AHLWEST,EQ,       116.00,                    40602.00,350
,AIAENG,EQ,       997.80,                 46446947.45,46706
,AIL,EQ,       819.50,                  5931866.55,7191
,AJANTPHARM,EQ,      1710.50,                522019359.30,307833
,AJMERA,EQ,       130.40,                  5597830.85,42465
,AKSHOPTFBR,EQ,        18.45,                 27276738.45,1453261
,AKZOINDIA,EQ,      1453.30,                 14877231.05,10148
,ALANKIT,EQ,       219.60,                 37806306.10,170640
,ALBK,EQ,        89.75,                129476395.15,1431785
,ALCHEM,EQ,        26.25,                   240084.85,8843
,ALEMBICLTD,EQ,        46.25,                 34098185.45,727270
,ALICON,EQ,       385.40,                 17557416.70,45967
,ALKALI,EQ,        49.40,                  1633891.45,32891
,ALKYLAMINE,EQ,       276.55,                  1210877.75,4373
,ALLCARGO,EQ,       336.70,                130616222.20,387245
,ALLSEC,EQ,        46.05,                  2232043.50,48470
,ALMONDZ,EQ,         8.35,                    64818.65,7580
,ALOKTEXT,EQ,         7.70,                 75680911.55,9741612
,ALPA,BE,        18.05,                    21696.10,1202
,ALPHAGEO,EQ,       358.45,                  4571076.90,12689
,ALPSINDUS,EQ,         5.30,                    23150.00,4400
,ALSTOMT&D,EQ,       520.55,                 17785649.80,34103
,AMARAJABAT,EQ,       954.65,                109050411.75,113184
,AMBIKCO,EQ,       950.20,                 41231360.00,42977
,AMDIND,EQ,        29.25,                  1154783.95,39768
,AMRUTANJAN,EQ,       495.55,                 19507834.55,38907
,AMTEKAUTO,EQ,       155.40,                319418969.20,2022487
,AMTL,EQ,        20.60,                   237758.70,11316
,ANANTRAJ,EQ,        46.15,                163472761.95,3529611
,ANDHRABANK,EQ,        73.05,                104993594.35,1425197
,ANDHRACEMT,EQ,         6.50,                  1520788.40,228830
,ANDHRSUGAR,EQ,       100.10,                  1589745.10,15688
,ANGIND,EQ,        43.15,                  2551494.65,59934
,ANIKINDS,BE,        30.00,                    51524.75,1708
,ANKITMETAL,EQ,         2.70,                  7811521.05,2907769
,ANSALAPI,EQ,        19.15,                  1606880.80,82973
,ANSALHSG,EQ,        24.55,                   326553.15,13259
,ANTGRAPHIC,BE,          .10,                      940.00,6900
,APARINDS,EQ,       414.55,                 15170433.95,36658
,APCOTEXIND,EQ,       580.30,                  5021882.65,8649
,APLAPOLLO,EQ,       440.80,                  2744189.30,6146
,APLLTD,EQ,       671.60,                145683240.00,216335
,APOLLOTYRE,EQ,       183.10,               2594799637.75,13375624
,APOLSINHOT,BE,       190.00,                   133420.00,701
,APTECHT,EQ,        67.15,                 21607376.45,320928
