,12-Aug-2015
The Nifty witnessed an intraday movement of about 109 points.The closing index was 1.33 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 19361
, Traded Quantity (in Lakhs), 9772.15
, Number of Trades, 8459282
, Total Market Capitalisation (Rs. Crores), 9991226.6

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      8462.35,      8445.70,      8446.95,      8337.95,      8349.45,-112.9
,CNX IT,     11711.15,     11731.70,     12026.05,     11731.70,     12006.80,295.65
,CNX Nifty Junior,     21393.60,     21327.15,     21327.15,     20836.65,     20877.20,-516.4
,BANK Nifty,     18616.90,     18515.20,     18515.20,     18034.75,     18059.75,-557.15
,CNX Midcap,     14007.75,     13971.70,     13971.70,     13655.95,     13684.90,-322.85
,CNX 500,      7101.10,      7086.75,      7086.75,      6979.60,      6986.45,-114.65
,CNX 100,      8623.70,      8605.10,      8605.10,      8483.30,      8493.25,-130.45
,Nifty Midcap 50,      3455.00,      3442.90,      3443.95,      3351.90,      3362.35,-92.65
,CNX Realty,       181.55,       180.15,       180.15,       170.90,       171.40,-10.15
,CNX Infra,      3255.35,      3240.00,      3242.05,      3168.10,      3184.95,-70.4
,CNX Energy,      8475.10,      8457.15,      8457.15,      8262.55,      8275.55,-199.55
,CNX FMCG,     20663.10,     20662.50,     20662.50,     20267.35,     20329.80,-333.3
,CNX MNC,     10479.20,     10468.50,     10468.50,     10229.35,     10256.75,-222.45
,CNX Pharma,     12636.90,     12661.50,     12908.20,     12661.50,     12771.75,134.85
,CNX PSE,      3425.45,      3419.85,      3419.85,      3298.25,      3313.45,-112
,CNX PSU Bank,      3442.95,      3420.25,      3433.45,      3300.50,      3310.35,-132.6
,CNX Service,     10944.50,     10912.30,     10934.85,     10811.10,     10821.70,-122.8
,India VIX,15.8925,15.8925,17.7175,14.7850,17.4450,1.5525
,CNX AUTO,      8619.25,      8576.85,      8576.85,      8391.55,      8407.15,-212.1
,CNX Metal,      2035.40,      2042.65,      2042.65,      1930.25,      1947.55,-87.85
,CNX Media,      2499.25,      2489.70,      2507.70,      2427.40,      2432.10,-67.15
,CNX Smallcap,      5767.20,      5750.90,      5750.90,      5615.65,      5623.85,-143.35
,CNX 200,      4459.60,      4450.05,      4450.05,      4384.75,      4389.65,-69.95
,CNX Dividend Oppt,      2025.20,      2021.20,      2021.75,      1966.35,      1969.20,-56
,CNX Commodities,      2568.20,      2568.55,      2569.45,      2487.85,      2491.75,-76.45
,CNX Consumption,      3665.25,      3661.95,      3661.95,      3587.80,      3594.95,-70.3
,CNX Finance,      7600.55,      7560.65,      7560.65,      7376.80,      7387.75,-212.8
,Nifty Dividend,        70.74,        70.74,        70.74,        70.74,        70.74,0
,LIX 15,      3482.35,      3469.20,      3469.20,      3381.65,      3387.30,-95.05
,CPSE Index,      2310.45,      2312.65,      2314.75,      2218.75,      2236.25,-74.2
,NI15,      5341.40,      5342.95,      5383.55,      5332.45,      5369.30,27.9
,NIFTY PR 2X LEV,      3614.60,      3599.60,      3599.60,      3507.90,      3517.40,-97.2
,NIFTY PR 1X INV,       456.05,       457.05,       462.80,       457.05,       462.20,6.15
,NIFTY TR 2X LEV,      4206.75,      4189.35,      4189.35,      4082.60,      4093.65,-113.1
,NIFTY TR 1X INV,       422.60,       423.50,       428.90,       423.50,       428.30,5.7
,NV20,      3806.65,      3802.20,      3803.10,      3758.30,      3762.70,-43.95

,ADVANCES,230
,DECLINES,1296
,UNCHANGED,53

,Total securities that have hit their price bands today,135

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SBIN,EQ,       268.80,       256.35,-4.63,775.57
,INFY,EQ,      1109.15,      1144.40,3.18,578.15
,COALINDIA,EQ,       392.70,       371.40,-5.42,540.07
,TCS,EQ,      2604.20,      2671.70,2.59,462.55
,SUNPHARMA,EQ,       841.75,       866.15,2.9,459.26
,HINDPETRO,EQ,       954.00,       882.05,-7.54,458.52
,TATAMOTORS,EQ,       369.15,       355.20,-3.78,397.27
,TATASTEEL,EQ,       246.80,       249.05,0.91,382.27
,CHENNPETRO,EQ,       241.40,       233.30,-3.36,332.04
,ASHOKLEY,EQ,        86.75,        88.10,1.56,309.81
,LT,EQ,      1801.15,      1762.50,-2.15,292.57
,ICICIBANK,EQ,       302.25,       291.65,-3.51,275.72
,AXISBANK,EQ,       571.25,       557.85,-2.35,269.17
,ITC,EQ,       320.10,       316.75,-1.05,252.15
,YESBANK,EQ,       798.65,       770.00,-3.59,241.19
,BPCL,EQ,       925.25,       870.00,-5.97,231.62
,LUPIN,EQ,      1698.15,      1722.15,1.41,218.79
,RELIANCE,EQ,       966.00,       942.90,-2.39,210.46
,VOLTAS,EQ,       305.25,       298.55,-2.19,209.93
,JUBILANT,EQ,       313.35,       311.60,-0.56,204.3
,TECHM,EQ,       540.65,       557.55,3.13,203.28
,HDFC,EQ,      1290.65,      1261.95,-2.22,202.98
,HCLTECH,EQ,       940.40,       970.80,3.23,201.93
,WOCKPHARMA,EQ,      1652.35,      1629.15,-1.4,190.87
,UNIONBANK,EQ,       203.90,       196.70,-3.53,166.84

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HCLTECH,EQ,       970.80,       940.40,3.23
,INFY,EQ,      1144.40,      1109.15,3.18
,TECHM,EQ,       557.55,       540.65,3.13
,SUNPHARMA,EQ,       866.15,       841.75,2.9
,TCS,EQ,      2671.70,      2604.20,2.59

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,VEDL,EQ,       113.85,       123.55,-7.85
,HINDALCO,EQ,        95.90,       103.25,-7.12
,BPCL,EQ,       870.00,       925.25,-5.97
,COALINDIA,EQ,       371.40,       392.70,-5.42
,SBIN,EQ,       256.35,       268.80,-4.63

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        28.20,                  1117573.65,39296
,3IINFOTECH,EQ,         3.65,                  2283043.55,625065
,3MINDIA,EQ,     10074.70,                 17899363.15,1769
,3RDROCK,IT,       204.00,                  3517368.00,17242
,8KMILES,EQ,       840.80,                  8997883.65,10504
,A2ZINFRA,EQ,        25.30,                  6086510.95,234237
,AARTIDRUGS,EQ,       643.10,                 17329225.50,26837
,AARTIIND,EQ,       422.75,                 57269966.30,135069
,AARVEEDEN,EQ,        65.45,                   818649.90,12333
,ABAN,EQ,       288.90,                234062690.00,805318
,ABB,EQ,      1327.80,                 60851178.15,45762
,ABBOTINDIA,EQ,      4534.15,                 14996159.05,3317
,ABCIL,EQ,       222.50,                  1782833.25,7932
,ABGSHIP,EQ,       170.50,                 15440714.25,89360
,ACCELYA,EQ,      1033.65,                  4473780.10,4331
,ACE,EQ,        45.55,                 13840795.45,297064
,ACROPETAL,EQ,         3.25,                   165529.40,49695
,ADANIENT,EQ,        88.25,                409818364.40,4512973
,ADANIPOWER,EQ,        25.95,                199770300.20,7564942
,ADANITRANS,BE,        35.60,                 31037384.75,864261
,ADFFOODS,EQ,        72.30,                  7174246.35,100244
,ADHUNIK,EQ,        18.00,                  1622264.35,88570
,ADI,EQ,       190.90,                  1303253.40,7093
,ADLABS,EQ,       145.85,                  4024340.75,27128
,ADORWELD,EQ,       265.15,                  1449887.70,5457
,ADSL,EQ,        33.95,                  4401192.95,126058
,ADVANIHOTR,EQ,        54.20,                    11155.90,207
,ADVANTA,EQ,       529.25,                 29396131.45,55312
,AEGISCHEM,EQ,       822.40,                 78504019.50,92011
,AFL,EQ,        77.85,                  9924871.50,126665
,AGARIND,EQ,       117.10,                   434238.15,3694
,AGCNET,EQ,       105.15,                  2789649.80,26042
,AGRITECH,EQ,         6.35,                     1276.65,201
,AGRODUTCH,EQ,         3.75,                    71411.85,18870
,AHLEAST,EQ,       169.45,                   432000.35,2520
,AHLUCONT,EQ,       237.05,                  7374783.80,31004
,AHLWEST,EQ,       116.35,                    30032.30,255
,AIAENG,EQ,       980.40,                191517366.15,194087
,AIL,EQ,       806.60,                  6881888.30,8543
,AJANTPHARM,EQ,      1667.65,                407985803.45,241593
,AJMERA,EQ,       126.40,                  5559344.50,43692
,AKSHOPTFBR,EQ,        19.60,                189627480.50,9380969
,AKZOINDIA,EQ,      1420.25,                 13508166.60,9352
,ALANKIT,EQ,       216.90,                 38746163.75,177931
,ALBK,EQ,        87.15,                128610522.50,1460727
,ALCHEM,EQ,        25.55,                   113790.85,4404
,ALEMBICLTD,EQ,        43.90,                 42925207.45,943522
,ALICON,EQ,       375.50,                  7606167.20,19798
,ALKALI,EQ,        48.05,                   236480.65,4939
,ALKYLAMINE,EQ,       264.10,                   839499.75,3138
,ALLCARGO,EQ,       329.95,                 63485447.35,189025
,ALLSEC,EQ,        48.30,                  6023832.15,125354
,ALMONDZ,EQ,         7.30,                   178290.95,24469
,ALOKTEXT,EQ,         7.25,                 41868349.20,5675192
,ALPA,BE,        17.65,                   608751.60,33107
,ALPHAGEO,EQ,       344.65,                  5769274.00,16493
,ALPSINDUS,EQ,         5.05,                    61357.50,12150
,ALSTOMT&D,EQ,       524.00,                125322437.85,239546
,AMARAJABAT,EQ,       911.95,                184063288.30,197047
,AMBIKCO,EQ,       895.70,                 30930779.40,33711
,AMDIND,EQ,        28.50,                   921327.95,31904
,AMRUTANJAN,EQ,       476.90,                 11548870.10,23929
,AMTEKAUTO,EQ,       152.00,                227500132.80,1499003
,AMTL,EQ,        19.15,                   161568.70,8427
,ANANTRAJ,EQ,        42.75,                 72668090.05,1655441
,ANDHRABANK,EQ,        71.45,                198549020.70,2773145
,ANDHRACEMT,EQ,         6.25,                  2712025.45,428283
,ANDHRSUGAR,EQ,        98.35,                  1862753.10,18557
,ANGIND,EQ,        40.40,                  3289792.75,79820
,ANIKINDS,BE,        29.95,                    68145.10,2360
,ANKITMETAL,EQ,         2.80,                  2135801.15,763054
,ANSALAPI,EQ,        17.75,                  4630923.30,255327
,ANSALHSG,EQ,        24.30,                   189780.90,7879
,ANTGRAPHIC,BE,          .15,                      150.25,1002
,APARINDS,EQ,       415.40,                 14002099.10,33483
,APCOTEXIND,EQ,       565.45,                  3378031.20,5941
,APLAPOLLO,EQ,       420.35,                  2573119.25,6105
,APLLTD,EQ,       671.80,                 67219016.45,100220
,APOLLOTYRE,EQ,       188.35,               1567960828.75,8419224
,APTECHT,EQ,        64.55,                 14270793.90,216881
,ARCHIDPLY,EQ,        50.95,                  9384216.60,181526
