,31-Aug-2015
The Nifty witnessed an intraday movement of about 95.65 points.The closing index was 0.38 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 22109.78
, Traded Quantity (in Lakhs), 8144.91
, Number of Trades, 8307928
, Total Market Capitalisation (Rs. Crores), 9529069.87

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      8001.95,      8009.25,      8043.60,      7947.95,      7971.30,-30.65
,CNX IT,     11588.25,     11691.65,     11691.65,     11537.65,     11605.70,17.45
,CNX Nifty Junior,     20215.35,     20224.75,     20419.35,     20032.30,     20095.75,-119.6
,BANK Nifty,     17211.95,     17137.25,     17353.30,     17028.90,     17146.55,-65.4
,CNX Midcap,     13134.30,     13128.55,     13201.20,     13006.90,     13059.10,-75.2
,CNX 500,      6694.45,      6700.10,      6730.05,      6649.65,      6669.35,-25.1
,CNX 100,      8153.55,      8160.40,      8197.60,      8097.00,      8119.55,-34
,Nifty Midcap 50,      3147.05,      3144.50,      3178.45,      3122.05,      3136.85,-10.2
,CNX Realty,       163.65,       162.80,       165.35,       160.60,       161.35,-2.3
,CNX Infra,      2991.95,      2994.30,      2997.30,      2944.60,      2952.60,-39.35
,CNX Energy,      7727.85,      7744.30,      7770.60,      7628.60,      7645.50,-82.35
,CNX FMCG,     20173.90,     20141.40,     20277.10,     20038.40,     20111.50,-62.4
,CNX MNC,      9704.10,      9720.20,      9758.00,      9659.00,      9676.35,-27.75
,CNX Pharma,     12940.75,     12970.80,     13251.50,     12893.65,     13213.20,272.45
,CNX PSE,      3126.05,      3124.35,      3162.05,      3100.65,      3121.95,-4.1
,CNX PSU Bank,      3203.40,      3199.55,      3255.90,      3167.70,      3200.30,-3.1
,CNX Service,     10360.65,     10383.70,     10411.55,     10259.65,     10299.75,-60.9
,India VIX,23.3300,23.3300,24.7375,22.6775,24.5950,1.2650
,CNX AUTO,      8023.30,      8005.35,      8033.00,      7930.70,      7948.55,-74.75
,CNX Metal,      1820.15,      1811.30,      1847.45,      1791.45,      1833.15,13
,CNX Media,      2331.95,      2333.15,      2338.20,      2302.80,      2328.35,-3.6
,CNX Smallcap,      5145.85,      5141.20,      5193.90,      5126.85,      5167.25,21.4
,CNX 200,      4209.25,      4212.40,      4232.00,      4180.10,      4191.80,-17.45
,CNX Dividend Oppt,      1890.15,      1889.25,      1907.35,      1877.75,      1893.25,3.1
,CNX Commodities,      2349.90,      2350.25,      2363.40,      2333.25,      2339.50,-10.4
,CNX Consumption,      3446.45,      3449.60,      3453.80,      3418.70,      3424.40,-22.05
,CNX Finance,      7047.10,      7025.15,      7098.80,      6959.50,      6997.90,-49.2
,Nifty Dividend,        75.06,        75.06,        75.06,        75.06,        75.06,0
,LIX 15,      3230.40,      3227.75,      3266.00,      3212.40,      3231.60,1.2
,CPSE Index,      2088.55,      2092.95,      2128.70,      2078.50,      2097.05,8.5
,NI15,      5265.55,      5292.35,      5293.45,      5243.45,      5267.60,2.05
,NIFTY PR 2X LEV,      3203.35,      3207.55,      3234.20,      3159.60,      3177.15,-26.2
,NIFTY PR 1X INV,       481.45,       481.25,       484.85,       479.25,       483.55,2.1
,NIFTY TR 2X LEV,      3731.15,      3736.05,      3767.05,      3680.20,      3700.65,-30.5
,NIFTY TR 1X INV,       445.95,       445.80,       449.15,       443.95,       447.90,1.95
,NV20,      3589.35,      3604.15,      3604.15,      3560.45,      3564.20,-25.15

,ADVANCES,668
,DECLINES,837
,UNCHANGED,68

,Total securities that have hit their price bands today,126

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,GLENMARK,EQ,      1174.75,      1154.80,-1.7,1706.05
,IBULHSGFIN,EQ,       777.15,       755.05,-2.84,1655.86
,SUNPHARMA,EQ,       886.45,       898.95,1.41,1216.18
,ADANIPORTS,EQ,       362.65,       355.45,-1.99,1072.78
,INFY,EQ,      1111.05,      1094.40,-1.5,544.5
,SBIN,EQ,       248.95,       247.35,-0.64,536.95
,TCS,EQ,      2570.85,      2564.05,-0.26,473.69
,HDFC,EQ,      1201.90,      1186.15,-1.31,414.65
,RELIANCE,EQ,       872.40,       855.90,-1.89,407.17
,ICICIBANK,EQ,       283.70,       277.90,-2.04,384.36
,CONCOR,EQ,      1431.90,      1425.05,-0.48,364.38
,LUPIN,EQ,      1860.85,      1935.55,4.01,350.74
,AXISBANK,EQ,       508.15,       507.75,-0.08,312.05
,EICHERMOT,EQ,     18919.25,     19014.80,0.51,285.36
,LT,EQ,      1616.45,      1602.90,-0.84,273.62
,BHARTIARTL,EQ,       362.50,       354.30,-2.26,267.81
,JINDALSTEL,EQ,        67.60,        67.55,-0.07,264.45
,HCLTECH,EQ,       952.20,       971.05,1.98,264.07
,TATAMOTORS,EQ,       340.05,       340.15,0.03,246.31
,M&M,EQ,      1233.95,      1220.90,-1.06,229.33
,AUROPHARMA,EQ,       756.40,       753.00,-0.45,225.03
,BPCL,EQ,       860.95,       883.20,2.58,221.5
,ITC,EQ,       327.00,       325.15,-0.57,209.07
,YESBANK,EQ,       676.70,       689.45,1.88,204.48
,DRREDDY,EQ,      4180.75,      4302.65,2.92,197.67

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,LUPIN,EQ,      1935.55,      1860.85,4.01
,CIPLA,EQ,       682.15,       659.85,3.38
,DRREDDY,EQ,      4302.65,      4180.75,2.92
,BPCL,EQ,       883.20,       860.95,2.58
,COALINDIA,EQ,       366.35,       357.55,2.46

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BHEL,EQ,       226.45,       234.60,-3.47
,POWERGRID,EQ,       130.65,       135.15,-3.33
,BHARTIARTL,EQ,       354.30,       362.50,-2.26
,BAJAJ-AUTO,EQ,      2232.70,      2279.55,-2.06
,ACC,EQ,      1334.85,      1362.80,-2.05

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        26.25,                   633158.80,24392
,3IINFOTECH,EQ,         3.20,                  4330280.55,1396004
,3MINDIA,EQ,     10788.95,                  6635169.25,609
,3RDROCK,IT,       213.00,                 10718760.00,52000
,8KMILES,EQ,      1194.95,                 41954370.85,34684
,A2ZINFRA,EQ,        22.90,                  2143098.80,93706
,AARTIDRUGS,EQ,       568.10,                  6069365.75,10652
,AARTIIND,EQ,       423.85,                 11428427.75,26745
,AARVEEDEN,EQ,        55.40,                   236295.50,4137
,ABAN,EQ,       247.70,                360357253.50,1410688
,ABB,EQ,      1227.55,                 41073618.20,33317
,ABBOTINDIA,EQ,      4801.30,                300328435.40,62568
,ABCIL,EQ,       211.50,                  4050335.20,19158
,ABGSHIP,EQ,       139.10,                 23592283.65,167928
,ACCELYA,EQ,      1007.85,                  1483794.10,1471
,ACE,EQ,        40.70,                  8177099.15,197527
,ACROPETAL,EQ,         2.90,                    19713.00,6870
,ADANIENT,EQ,        75.15,                252437414.65,3313017
,ADANIPOWER,EQ,        22.50,                123405372.85,5448679
,ADANITRANS,EQ,        31.15,                 32286993.45,1032304
,ADFFOODS,EQ,        74.55,                  3075869.85,41524
,ADHUNIK,EQ,        16.60,                   455972.80,27533
,ADI,EQ,       196.90,                   623989.80,3206
,ADLABS,EQ,       125.30,                  8233174.70,65825
,ADORWELD,EQ,       248.20,                   262278.35,1047
,ADSL,EQ,        27.85,                  1336197.10,46947
,ADVANIHOTR,EQ,        49.70,                    33602.50,675
,ADVANTA,EQ,       564.40,                 95854764.70,172412
,AEGISCHEM,EQ,       800.85,                 12798579.65,15995
,AFL,EQ,        69.20,                   311889.00,4524
,AFTEK,BZ,         2.65,                     5300.00,2000
,AGARIND,EQ,       109.00,                   935095.35,8556
,AGCNET,EQ,       102.40,                  1024456.15,10045
,AGRITECH,EQ,         6.30,                     6300.00,1000
,AGRODUTCH,EQ,         3.40,                    12588.15,3787
,AHLEAST,EQ,       152.50,                    47314.10,317
,AHLUCONT,EQ,       241.80,                 10384087.15,42513
,AHLWEST,EQ,       114.05,                    25907.15,227
,AIAENG,EQ,       917.15,                 18469352.15,20207
,AIL,EQ,       671.70,                 14414948.45,21651
,AJANTPHARM,EQ,      1499.80,                514113385.35,350277
,AJMERA,EQ,        98.65,                  1653252.85,16644
,AKSHOPTFBR,EQ,        18.40,                 29819180.40,1609280
,AKZOINDIA,EQ,      1296.95,                 11331766.70,8760
,ALANKIT,EQ,       217.80,                 23962820.10,109917
,ALBK,EQ,        83.05,                232407597.90,2759266
,ALCHEM,EQ,        25.10,                   151201.85,5992
,ALEMBICLTD,EQ,        40.60,                 18894855.95,459239
,ALICON,EQ,       363.15,                  1659499.10,4518
,ALKALI,EQ,        39.25,                   429316.50,10988
,ALKYLAMINE,EQ,       300.35,                  1181979.80,3914
,ALLCARGO,EQ,       306.25,                 14156378.90,45826
,ALLSEC,EQ,        44.20,                   221230.50,4962
,ALMONDZ,EQ,         9.50,                    14793.20,1561
,ALOKTEXT,EQ,         6.05,                 23817114.25,3938874
,ALPA,BE,        18.65,                   100143.00,5245
,ALPHAGEO,EQ,       401.40,                 21450778.05,56568
,ALPSINDUS,EQ,         3.40,                     3665.00,1100
,ALSTOMT&D,EQ,       527.70,                 22107062.80,41934
,AMARAJABAT,EQ,      1008.05,                331025493.80,325981
,AMBIKCO,EQ,       755.45,                  3717612.80,4900
,AMDIND,EQ,        25.60,                   337984.70,13049
,AMRUTANJAN,EQ,       421.90,                  2526091.75,5942
,AMTEKAUTO,EQ,        51.40,                159149370.25,3065733
,AMTL,EQ,        17.50,                   182932.90,10300
,ANANTRAJ,EQ,        33.45,                 16471519.95,489209
,ANDHRABANK,EQ,        67.45,                170904773.60,2534670
,ANDHRACEMT,EQ,         4.00,                  8365847.05,1998364
,ANDHRSUGAR,EQ,        92.00,                   181464.00,1967
,ANGIND,EQ,        37.60,                   825245.50,21723
,ANIKINDS,BE,        28.05,                    12617.50,450
,ANKITMETAL,EQ,         2.85,                    64390.05,22593
,ANSALAPI,EQ,        16.45,                  1340091.05,81185
,ANSALHSG,EQ,        20.35,                    54855.35,2733
,APARINDS,EQ,       419.00,                  5424000.05,12921
,APCOTEXIND,EQ,       530.10,                  2375803.30,4495
,APLAPOLLO,EQ,       431.60,                 15779900.80,36687
,APLLTD,EQ,       714.95,                 53253046.10,75311
,APOLLOTYRE,EQ,       180.00,                400880167.10,2207090
,APOLSINHOT,BE,       195.00,                     5995.00,30
,APTECHT,EQ,        58.00,                  2364862.05,40726
