,03-Sep-2015
The Nifty witnessed an intraday movement of about 91.55 points.The closing index was 1.37 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 15059.88
, Traded Quantity (in Lakhs), 7268.37
, Number of Trades, 7174856
, Total Market Capitalisation (Rs. Crores), 9387823.03

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      7717.00,      7774.45,      7845.60,      7754.05,      7823.00,106
,CNX IT,     11604.70,     11679.50,     11722.80,     11565.10,     11672.85,68.15
,CNX Nifty Junior,     19588.55,     19728.45,     19901.55,     19716.75,     19795.75,207.2
,BANK Nifty,     16252.70,     16404.95,     16607.40,     16320.55,     16555.40,302.7
,CNX Midcap,     12735.20,     12836.60,     12925.40,     12819.00,     12876.80,141.6
,CNX 500,      6475.65,      6523.45,      6580.75,      6515.45,      6560.05,84.4
,CNX 100,      7869.40,      7927.65,      7999.35,      7910.50,      7973.40,104
,Nifty Midcap 50,      3027.00,      3050.70,      3082.80,      3043.30,      3067.85,40.85
,CNX Realty,       157.10,       159.00,       166.05,       159.00,       164.50,7.4
,CNX Infra,      2821.50,      2838.55,      2876.90,      2838.55,      2869.50,48
,CNX Energy,      7441.50,      7483.10,      7533.15,      7443.35,      7510.60,69.1
,CNX FMCG,     19855.75,     19882.20,     20051.70,     19858.75,     19906.40,50.65
,CNX MNC,      9438.30,      9486.15,      9587.50,      9455.35,      9534.00,95.7
,CNX Pharma,     12840.35,     12953.95,     12971.95,     12790.15,     12817.40,-22.95
,CNX PSE,      2983.25,      2999.15,      3031.15,      2982.85,      3012.90,29.65
,CNX PSU Bank,      2961.75,      2995.30,      3042.50,      2975.80,      3001.80,40.05
,CNX Service,      9955.75,     10041.10,     10134.75,      9999.55,     10118.45,162.7
,India VIX,26.6500,26.6500,26.6500,23.7175,24.1150,-2.5350
,CNX AUTO,      7638.70,      7698.35,      7787.65,      7676.30,      7738.60,99.9
,CNX Metal,      1745.50,      1759.60,      1801.55,      1751.70,      1787.90,42.4
,CNX Media,      2244.40,      2270.15,      2295.35,      2255.80,      2277.45,33.05
,CNX Smallcap,      5041.85,      5082.70,      5134.80,      5082.70,      5108.20,66.35
,CNX 200,      4065.30,      4095.75,      4132.15,      4088.65,      4118.85,53.55
,CNX Dividend Oppt,      1819.55,      1829.80,      1851.00,      1826.65,      1839.30,19.75
,CNX Commodities,      2276.05,      2291.50,      2325.65,      2291.50,      2318.10,42.05
,CNX Consumption,      3331.65,      3348.25,      3370.75,      3339.85,      3357.30,25.65
,CNX Finance,      6652.85,      6719.20,      6828.85,      6683.50,      6809.85,157
,Nifty Dividend,        78.82,        80.16,        80.16,        80.16,        80.16,1.34
,LIX 15,      3059.95,      3089.40,      3136.85,      3084.10,      3123.85,63.9
,CPSE Index,      2017.80,      2029.15,      2046.75,      2014.35,      2032.25,14.45
,NI15,      5187.50,      5217.20,      5232.20,      5191.05,      5220.60,33.1
,NIFTY PR 2X LEV,      2974.50,      3018.20,      3072.90,      3003.70,      3055.60,81.1
,NIFTY PR 1X INV,       499.35,       495.75,       496.95,       491.15,       492.60,-6.75
,NIFTY TR 2X LEV,      3467.10,      3519.00,      3582.75,      3502.05,      3562.60,95.5
,NIFTY TR 1X INV,       462.40,       459.00,       460.15,       454.75,       456.10,-6.3
,NV20,      3456.30,      3484.45,      3495.60,      3457.40,      3486.65,30.35

,ADVANCES,1099
,DECLINES,406
,UNCHANGED,66

,Total securities that have hit their price bands today,142

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,INFY,EQ,      1099.45,      1099.35,-0.01,472.88
,AXISBANK,EQ,       466.60,       486.90,4.35,415.37
,ICICIBANK,EQ,       264.85,       266.85,0.76,401.16
,LT,EQ,      1527.65,      1568.80,2.69,364.68
,HDFC,EQ,      1123.15,      1172.05,4.35,351.12
,SBIN,EQ,       230.55,       232.25,0.74,341.97
,INFRATEL,EQ,       396.25,       405.05,2.22,333.14
,DLF,EQ,       109.70,       120.60,9.94,305.33
,TCS,EQ,      2591.80,      2605.60,0.53,293.87
,TATAMOTORS,EQ,       324.45,       333.55,2.8,272.28
,RELIANCE,EQ,       849.55,       853.85,0.51,227.19
,CIPLA,EQ,       648.30,       655.65,1.13,221.55
,ITC,EQ,       320.10,       320.00,-0.03,216.04
,MARUTI,EQ,      4030.00,      4143.25,2.81,211.92
,SUNPHARMA,EQ,       890.15,       884.95,-0.58,205.45
,YESBANK,EQ,       659.25,       671.70,1.89,201.62
,LUPIN,EQ,      1880.40,      1862.35,-0.96,189.68
,IBULHSGFIN,EQ,       711.10,       710.65,-0.06,176.57
,HDFCBANK,EQ,       995.15,      1010.30,1.52,164.01
,TATASTEEL,EQ,       219.50,       229.75,4.67,161.73
,AMTEKAUTO,EQ,        48.45,        31.50,-34.98,155.9
,M&M,EQ,      1134.55,      1140.65,0.54,154.96
,UPL,EQ,       531.05,       548.00,3.19,147.13
,GLENMARK,EQ,      1079.55,      1062.10,-1.62,135.64
,HDIL,EQ,        58.55,        61.70,5.38,130.01

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,CAIRN,EQ,       149.30,       141.00,5.89
,TATASTEEL,EQ,       229.75,       219.50,4.67
,VEDL,EQ,        98.25,        94.10,4.41
,HDFC,EQ,      1172.05,      1123.15,4.35
,AXISBANK,EQ,       486.90,       466.60,4.35

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,IDEA,EQ,       149.40,       154.50,-3.3
,BPCL,EQ,       837.95,       849.10,-1.31
,BOSCHLTD,EQ,     22157.75,     22427.55,-1.2
,LUPIN,EQ,      1862.35,      1880.40,-0.96
,HEROMOTOCO,EQ,      2322.35,      2338.70,-0.7

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        25.75,                  1327392.10,50875
,3IINFOTECH,EQ,         3.05,                  2383758.60,788562
,3MINDIA,EQ,     11044.50,                 16748956.10,1508
,3RDROCK,IT,       213.90,                 10016500.00,46800
,8KMILES,EQ,      1282.85,                114689802.55,89286
,A2ZINFRA,EQ,        22.00,                  5564881.20,251285
,AARTIDRUGS,EQ,       555.40,                  6331071.65,11360
,AARTIIND,EQ,       419.80,                 10552544.70,25270
,AARVEEDEN,EQ,        55.70,                   123504.65,2222
,ABAN,EQ,       250.95,                263075385.50,1046465
,ABB,EQ,      1191.95,                 35825899.35,30280
,ABBOTINDIA,EQ,      5109.65,                 80571872.35,15781
,ABCIL,EQ,       212.15,                  1809409.80,8570
,ABGSHIP,EQ,       139.30,                  7910703.80,56808
,ACCELYA,EQ,      1005.80,                 12580494.75,12630
,ACE,EQ,        38.75,                  7174832.65,183515
,ACROPETAL,EQ,         2.90,                    52673.55,18469
,ADANIENT,EQ,        73.00,                248804181.70,3392960
,ADANIPOWER,EQ,        21.95,                 93716207.20,4305438
,ADANITRANS,EQ,        29.15,                 22077974.85,747965
,ADFFOODS,EQ,        77.80,                  3008092.30,38049
,ADHUNIK,EQ,        15.75,                   566804.15,35770
,ADI,EQ,       195.90,                  2442667.60,12447
,ADLABS,EQ,       126.10,                  5766831.20,45789
,ADORWELD,EQ,       242.35,                   528257.35,2183
,ADSL,EQ,        26.85,                  1752225.90,64574
,ADVANIHOTR,EQ,        48.60,                    61561.00,1269
,ADVANTA,EQ,       560.25,                  7988142.90,14123
,AEGISCHEM,EQ,       782.60,                 20182998.55,25413
,AFL,EQ,        66.85,                  2040987.65,29769
,AGARIND,EQ,       103.00,                   413885.75,4010
,AGCNET,EQ,        98.70,                   840904.50,8540
,AGRODUTCH,EQ,         3.00,                    15976.95,5184
,AHLEAST,EQ,       151.90,                   148179.25,988
,AHLUCONT,EQ,       238.90,                  7071746.30,29452
,AHLWEST,EQ,       114.50,                    73932.50,650
,AIAENG,EQ,       920.05,                 63672812.40,69039
,AIL,EQ,       639.90,                 27305475.15,42857
,AJANTPHARM,EQ,      1501.45,                167919469.55,111069
,AJMERA,EQ,       104.95,                 39369029.35,376107
,AKSHOPTFBR,EQ,        17.25,                 15276260.15,880681
,AKZOINDIA,EQ,      1286.80,                  9201401.55,7108
,ALANKIT,EQ,       218.55,                 28768754.20,132974
,ALBK,EQ,        80.00,                148431981.15,1853062
,ALCHEM,EQ,        22.35,                    78512.35,3403
,ALEMBICLTD,EQ,        39.50,                 17005926.00,426450
,ALICON,EQ,       358.65,                   792935.65,2227
,ALKALI,EQ,        37.35,                    80447.05,2148
,ALKYLAMINE,EQ,       302.65,                   873609.95,2906
,ALLCARGO,EQ,       297.00,                 14849200.95,50234
,ALLSEC,EQ,        43.85,                   828907.50,18920
,ALMONDZ,EQ,         9.95,                   158884.90,16014
,ALOKTEXT,EQ,         5.95,                 17818010.95,2979649
,ALPA,BE,        18.45,                    45840.40,2504
,ALPHAGEO,EQ,       408.50,                  3925123.00,9463
,ALPSINDUS,EQ,         3.40,                     3284.00,1010
,ALSTOMT&D,EQ,       524.70,                 12801864.25,24560
,AMARAJABAT,EQ,       974.20,                372835381.65,380272
,AMBIKCO,EQ,       766.00,                  6521124.20,8601
,AMDIND,EQ,        25.45,                   466618.40,18691
,AMRUTANJAN,EQ,       410.70,                  2217504.35,5376
,AMTEKAUTO,EQ,        31.50,               1559022029.45,42929233
,AMTL,EQ,        20.20,                   209847.30,10425
,ANANTRAJ,EQ,        32.35,                 25717389.40,793088
,ANDHRABANK,EQ,        64.20,                106848926.20,1661019
,ANDHRACEMT,EQ,         3.70,                  3748705.45,999631
,ANDHRSUGAR,EQ,        93.75,                   392463.85,4161
,ANGIND,EQ,        36.45,                   367485.25,10185
,ANIKINDS,BE,        27.20,                     6852.50,250
,ANKITMETAL,EQ,         2.55,                    22955.10,9002
,ANSALAPI,EQ,        16.00,                   880267.70,54846
,ANSALHSG,EQ,        19.85,                   166808.40,8294
,ANTGRAPHIC,BE,          .10,                      225.30,2253
,APARINDS,EQ,       429.60,                 23091784.40,53967
,APCOTEXIND,EQ,       547.05,                  7101852.65,13298
,APLAPOLLO,EQ,       496.75,                 57271401.30,117016
,APLLTD,EQ,       696.45,                 83069527.60,117720
,APOLLOTYRE,EQ,       172.00,                351192331.35,2011862
,APTECHT,EQ,        63.00,                152802408.90,2403015
