,07-Sep-2015
The Nifty witnessed an intraday movement of about 159.15 points.The closing index was 1.26 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 12317.81
, Traded Quantity (in Lakhs), 7324.16
, Number of Trades, 6542842
, Total Market Capitalisation (Rs. Crores), 9055476.57

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      7655.05,      7685.85,      7705.05,      7545.90,      7558.80,-96.25
,CNX IT,     11413.60,     11445.35,     11451.10,     11264.70,     11318.30,-95.3
,CNX Nifty Junior,     19407.60,     19467.35,     19514.95,     18919.05,     18946.80,-460.8
,BANK Nifty,     16129.10,     16222.20,     16273.35,     15762.20,     15790.10,-339
,CNX Midcap,     12591.80,     12631.40,     12658.65,     12308.80,     12319.10,-272.7
,CNX 500,      6421.05,      6444.80,      6458.60,      6316.70,      6323.40,-97.65
,CNX 100,      7804.70,      7834.90,      7853.10,      7681.20,      7692.10,-112.6
,Nifty Midcap 50,      2982.75,      2993.90,      3010.55,      2931.70,      2937.20,-45.55
,CNX Realty,       158.55,       158.85,       161.00,       154.90,       155.35,-3.2
,CNX Infra,      2815.45,      2823.30,      2827.35,      2758.10,      2764.65,-50.8
,CNX Energy,      7360.90,      7371.70,      7391.45,      7287.45,      7299.15,-61.75
,CNX FMCG,     19671.85,     19665.45,     19713.75,     19292.10,     19356.20,-315.65
,CNX MNC,      9391.70,      9402.60,      9422.20,      9225.20,      9245.75,-145.95
,CNX Pharma,     12521.55,     12592.45,     12622.35,     12209.95,     12240.00,-281.55
,CNX PSE,      2954.65,      2961.50,      2961.50,      2899.05,      2904.40,-50.25
,CNX PSU Bank,      2923.35,      2942.90,      2963.65,      2858.40,      2866.60,-56.75
,CNX Service,      9881.10,      9925.10,      9948.40,      9735.55,      9750.65,-130.45
,India VIX,26.4225,26.4225,26.8250,24.5075,26.3500,-0.0725
,CNX AUTO,      7559.45,      7592.55,      7617.65,      7449.45,      7464.30,-95.15
,CNX Metal,      1748.50,      1762.20,      1762.20,      1701.90,      1704.30,-44.2
,CNX Media,      2242.70,      2245.45,      2270.10,      2222.15,      2226.90,-15.8
,CNX Smallcap,      4964.80,      4981.70,      4996.35,      4847.95,      4854.90,-109.9
,CNX 200,      4032.00,      4047.35,      4056.05,      3966.90,      3971.95,-60.05
,CNX Dividend Oppt,      1810.50,      1817.10,      1820.00,      1783.25,      1786.15,-24.35
,CNX Commodities,      2269.00,      2278.65,      2280.95,      2234.45,      2237.30,-31.7
,CNX Consumption,      3312.35,      3317.00,      3318.85,      3265.20,      3269.75,-42.6
,CNX Finance,      6627.45,      6656.65,      6704.90,      6515.50,      6531.20,-96.25
,Nifty Dividend,        80.16,        81.60,        81.60,        81.60,        81.60,1.44
,LIX 15,      3043.85,      3060.30,      3077.55,      2973.65,      2981.95,-61.9
,CPSE Index,      1988.85,      1999.10,      2003.80,      1952.25,      1957.10,-31.75
,NI15,      5130.90,      5147.10,      5149.40,      5051.75,      5059.45,-71.45
,NIFTY PR 2X LEV,      2923.85,      2945.55,      2959.00,      2839.25,      2848.45,-75.4
,NIFTY PR 1X INV,       503.25,       501.55,       510.70,       500.40,       509.90,6.65
,NIFTY TR 2X LEV,      3408.95,      3435.20,      3450.95,      3311.30,      3322.05,-86.9
,NIFTY TR 1X INV,       465.95,       464.30,       472.80,       463.25,       472.05,6.1
,NV20,      3407.05,      3424.90,      3427.65,      3347.40,      3352.90,-54.15

,ADVANCES,295
,DECLINES,1234
,UNCHANGED,57

,Total securities that have hit their price bands today,130

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,ICICIBANK,EQ,       257.75,       249.10,-3.36,501.61
,AXISBANK,EQ,       468.00,       449.85,-3.88,447.51
,HDFC,EQ,      1141.60,      1155.05,1.18,346.38
,SBIN,EQ,       225.15,       221.10,-1.8,345.69
,INFY,EQ,      1073.95,      1058.75,-1.42,275.92
,TCS,EQ,      2547.45,      2539.75,-0.3,223.99
,IBULHSGFIN,EQ,       721.75,       724.45,0.37,223.28
,SUNPHARMA,EQ,       857.70,       836.50,-2.47,210.53
,RELIANCE,EQ,       835.90,       833.20,-0.32,194.96
,LT,EQ,      1533.85,      1509.50,-1.59,186.16
,ASHOKLEY,EQ,        85.00,        81.95,-3.59,176.72
,TATAMOTORS,EQ,       322.90,       322.85,-0.02,174.88
,YESBANK,EQ,       647.20,       650.70,0.54,174.83
,ITC,EQ,       317.10,       313.45,-1.15,150.18
,WOCKPHARMA,EQ,      1259.90,      1182.50,-6.14,148.48
,HDFCBANK,EQ,       996.05,       984.45,-1.16,133.6
,DLF,EQ,       116.75,       112.70,-3.47,133.48
,LUPIN,EQ,      1859.60,      1804.90,-2.94,131.36
,EICHERMOT,EQ,     18177.70,     17442.95,-4.04,130.01
,BANKBARODA,EQ,       174.25,       169.80,-2.55,129.97
,TATAELXSI,EQ,      1769.10,      1723.90,-2.55,124.08
,MARUTI,EQ,      4063.30,      4069.60,0.16,122.75
,CIPLA,EQ,       649.55,       649.55,0,120.79
,AUROPHARMA,EQ,       723.05,       705.55,-2.42,120.03
,COALINDIA,EQ,       347.50,       337.45,-2.89,117.43

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TECHM,EQ,       538.00,       529.30,1.64
,HDFC,EQ,      1155.05,      1141.60,1.18
,YESBANK,EQ,       650.70,       647.20,.54
,GRASIM,EQ,      3388.70,      3374.70,.41
,CAIRN,EQ,       147.35,       146.80,.37

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,NMDC,EQ,        93.85,        98.25,-4.48
,AXISBANK,EQ,       449.85,       468.00,-3.88
,VEDL,EQ,        89.85,        93.25,-3.65
,ICICIBANK,EQ,       249.10,       257.75,-3.36
,HINDALCO,EQ,        71.55,        73.90,-3.18

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        25.10,                   739853.30,29188
,3IINFOTECH,EQ,         2.90,                  3850972.50,1325530
,3MINDIA,EQ,     10317.60,                  7908295.60,755
,3RDROCK,IT,       214.50,                  6662500.00,31200
,8KMILES,EQ,      1261.60,                 65430715.30,51340
,A2ZINFRA,EQ,        19.35,                  5841166.80,294937
,AARTIDRUGS,EQ,       504.85,                 34066267.95,65610
,AARTIIND,EQ,       405.95,                 32109162.95,79179
,AARVEEDEN,EQ,        49.00,                   584962.70,11807
,ABAN,EQ,       229.00,                220251622.75,943986
,ABB,EQ,      1161.65,                 13489495.30,11482
,ABBOTINDIA,EQ,      5347.75,                 60697561.55,11443
,ABCIL,EQ,       208.50,                   493511.40,2368
,ABGSHIP,EQ,       135.05,                 15708126.80,116580
,ACCELYA,EQ,       968.75,                  1578153.85,1623
,ACE,EQ,        35.70,                  6592066.25,180482
,ACROPETAL,EQ,         2.65,                    27925.55,10267
,ADANIENT,EQ,        67.30,                245672742.90,3586067
,ADANIPOWER,EQ,        20.75,                216551438.85,10415186
,ADANITRANS,EQ,        27.00,                 24154357.70,892334
,ADFFOODS,EQ,        71.00,                  1166692.25,16016
,ADHUNIK,EQ,        14.65,                   804183.20,54137
,ADI,EQ,       191.50,                   240033.60,1256
,ADLABS,EQ,       114.85,                  6486853.50,54703
,ADORWELD,EQ,       230.40,                   653795.75,2758
,ADSL,EQ,        25.00,                   927224.20,36664
,ADVANIHOTR,EQ,        46.00,                    15711.00,341
,ADVANTA,EQ,       556.35,                 10424499.60,18642
,AEGISCHEM,EQ,       782.05,                 21505504.35,27843
,AFL,EQ,        61.20,                  1598982.60,25836
,AGARIND,EQ,       103.20,                  1639138.20,15307
,AGCNET,EQ,        87.60,                   431841.05,4796
,AGRITECH,EQ,         5.75,                      575.00,100
,AGRODUTCH,EQ,         2.80,                     7553.00,2701
,AHLEAST,EQ,       146.00,                     5840.00,40
,AHLUCONT,EQ,       220.00,                  7440606.25,33432
,AHLWEST,EQ,       108.05,                    33536.60,305
,AIAENG,EQ,       911.20,                 10485492.20,11477
,AICHAMP,BE,        14.80,                     2960.00,200
,AIL,EQ,       608.10,                  4373275.95,7109
,AJANTPHARM,EQ,      1374.10,                372812109.55,270948
,AJMERA,EQ,        92.40,                  7873030.60,83294
,AKSHOPTFBR,EQ,        15.20,                 20169215.75,1279046
,AKZOINDIA,EQ,      1235.40,                  5440288.85,4360
,ALANKIT,EQ,       209.40,                 28342399.70,133560
,ALBK,EQ,        75.20,                145518943.15,1905934
,ALCHEM,EQ,        22.00,                    40354.70,1859
,ALEMBICLTD,EQ,        36.55,                 11963496.75,319141
,ALICON,EQ,       323.70,                   630610.90,1902
,ALKALI,EQ,        37.00,                   123110.70,3360
,ALKYLAMINE,EQ,       295.45,                   838549.15,2816
,ALLCARGO,EQ,       284.65,                  8488027.90,29565
,ALLSEC,EQ,        41.65,                   208526.50,4952
,ALMONDZ,EQ,         9.00,                    62840.90,6981
,ALOKTEXT,EQ,         5.85,                 16139687.40,2733826
,ALPA,BE,        17.65,                   106346.25,5916
,ALPHAGEO,EQ,       384.80,                  7111894.10,17901
,ALPSINDUS,EQ,         3.40,                      495.00,150
,ALSTOMT&D,EQ,       523.00,                 32851769.60,63104
,AMARAJABAT,EQ,       926.40,                250916142.80,268066
,AMBIKCO,EQ,       720.65,                  7895116.70,10865
,AMDIND,EQ,        23.50,                   276782.40,11558
,AMRUTANJAN,EQ,       402.85,                  5090255.80,12604
,AMTEKAUTO,EQ,        29.00,                869497991.60,28952448
,AMTL,EQ,        20.10,                   111410.35,5389
,ANANTRAJ,EQ,        32.00,                 16587620.45,515639
,ANDHRABANK,EQ,        60.15,                124131448.00,2024542
,ANDHRACEMT,EQ,         3.50,                  2507539.20,697991
,ANDHRSUGAR,EQ,        89.95,                  1433241.55,15745
,ANGIND,EQ,        32.75,                   938425.90,28255
,ANIKINDS,BE,        25.65,                    16053.75,625
,ANKITMETAL,EQ,         2.35,                     5795.10,2466
,ANSALAPI,EQ,        15.95,                  2859753.35,178663
,ANSALHSG,EQ,        20.90,                  1300046.80,61663
,ANTGRAPHIC,BE,          .10,                      613.50,6135
,APARINDS,EQ,       395.65,                  6950369.55,17106
,APCOTEXIND,EQ,       501.20,                  5435301.55,10588
,APLAPOLLO,EQ,       479.40,                  2472681.20,5159
,APLLTD,EQ,       655.85,                 40126090.55,60368
,APOLLOTYRE,EQ,       168.70,                236744352.30,1393563
,APOLSINHOT,BE,       178.55,                      715.60,4
,APTECHT,EQ,        54.45,                 14527138.45,261081
