,11-Sep-2015
The Nifty witnessed an intraday movement of about 104.95 points.The closing index was 0.02 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 14352.13
, Traded Quantity (in Lakhs), 7556.71
, Number of Trades, 6884755
, Total Market Capitalisation (Rs. Crores), 9295179.28

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      7788.10,      7833.80,      7864.85,      7759.90,      7789.30,1.2
,CNX IT,     11396.95,     11445.65,     11519.75,     11381.35,     11432.25,35.3
,CNX Nifty Junior,     19501.75,     19644.65,     19720.65,     19436.80,     19504.60,2.85
,BANK Nifty,     16597.65,     16682.25,     16781.15,     16518.80,     16612.60,14.95
,CNX Midcap,     12670.00,     12761.70,     12832.05,     12668.20,     12709.20,39.2
,CNX 500,      6504.50,      6544.70,      6566.25,      6491.65,      6511.55,7.05
,CNX 100,      7924.10,      7972.50,      8000.20,      7896.95,      7925.30,1.2
,Nifty Midcap 50,      3062.15,      3087.30,      3102.25,      3051.25,      3062.75,.6
,CNX Realty,       163.45,       165.10,       167.05,       164.25,       165.10,1.65
,CNX Infra,      2904.95,      2920.35,      2926.40,      2877.90,      2888.55,-16.4
,CNX Energy,      7536.85,      7579.10,      7625.90,      7491.75,      7511.40,-25.45
,CNX FMCG,     19306.75,     19410.45,     19505.80,     19345.50,     19412.05,105.3
,CNX MNC,      9431.05,      9489.20,      9508.05,      9433.95,      9459.85,28.8
,CNX Pharma,     12315.00,     12391.05,     12457.65,     12282.80,     12341.85,26.85
,CNX PSE,      3001.60,      3019.80,      3032.75,      2979.95,      2989.10,-12.5
,CNX PSU Bank,      2965.10,      3007.00,      3036.00,      2967.65,      2994.55,29.45
,CNX Service,     10058.45,     10118.95,     10163.70,     10047.35,     10086.20,27.75
,India VIX,24.7450,24.7450,25.2600,23.2600,24.9750,0.2300
,CNX AUTO,      7875.85,      7932.35,      7968.10,      7832.15,      7857.45,-18.4
,CNX Metal,      1794.55,      1808.45,      1812.40,      1760.15,      1767.35,-27.2
,CNX Media,      2333.70,      2347.40,      2373.45,      2330.15,      2341.15,7.45
,CNX Smallcap,      5013.20,      5047.60,      5099.55,      5034.75,      5052.95,39.75
,CNX 200,      4088.85,      4114.75,      4128.80,      4077.00,      4091.15,2.3
,CNX Dividend Oppt,      1822.30,      1834.35,      1840.90,      1817.70,      1824.20,1.9
,CNX Commodities,      2309.95,      2323.10,      2331.65,      2290.65,      2298.50,-11.45
,CNX Consumption,      3344.05,      3363.45,      3378.80,      3344.05,      3353.55,9.5
,CNX Finance,      6792.35,      6832.35,      6865.45,      6778.75,      6807.30,14.95
,Nifty Dividend,        81.60,        81.60,        81.60,        81.60,        81.60,0
,LIX 15,      3143.20,      3168.30,      3182.90,      3110.05,      3125.30,-17.9
,CPSE Index,      2015.25,      2029.65,      2037.00,      1998.40,      2003.25,-12
,NI15,      5115.05,      5143.15,      5164.55,      5123.45,      5142.40,27.35
,NIFTY PR 2X LEV,      3020.40,      3055.20,      3079.10,      2998.65,      3020.70,.3
,NIFTY PR 1X INV,       494.90,       492.10,       496.75,       490.15,       494.90,0
,NIFTY TR 2X LEV,      3522.50,      3563.15,      3591.00,      3497.20,      3522.90,.4
,NIFTY TR 1X INV,       458.15,       455.55,       459.85,       453.75,       458.20,.05
,NV20,      3460.10,      3481.75,      3496.05,      3453.25,      3465.45,5.35

,ADVANCES,898
,DECLINES,594
,UNCHANGED,79

,Total securities that have hit their price bands today,121

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,INFY,EQ,      1080.45,      1090.75,0.95,541.23
,AMTEKAUTO,EQ,        30.50,        46.95,53.93,382.22
,ICICIBANK,EQ,       267.40,       267.55,0.06,360.71
,AXISBANK,EQ,       482.60,       481.25,-0.28,349.26
,WOCKPHARMA,EQ,      1316.25,      1385.40,5.25,342.98
,SBIN,EQ,       227.45,       230.10,1.17,315.06
,TATAMOTORS,EQ,       354.10,       344.60,-2.68,300.02
,LT,EQ,      1615.35,      1602.95,-0.77,254.17
,HDFC,EQ,      1162.75,      1176.35,1.17,236.88
,CEATLTD,EQ,      1220.25,      1216.10,-0.34,233.06
,SUNPHARMA,EQ,       839.70,       846.05,0.76,229.27
,TATAELXSI,EQ,      1927.80,      1972.35,2.31,226.71
,YESBANK,EQ,       713.00,       710.95,-0.29,216.71
,RELIANCE,EQ,       867.00,       860.95,-0.7,209.83
,TCS,EQ,      2545.40,      2552.00,0.26,203.35
,BEL,EQ,      3401.95,      3343.15,-1.73,187.83
,ASHOKLEY,EQ,        87.25,        87.70,0.52,183.41
,BANKBARODA,EQ,       178.95,       181.30,1.31,177.41
,EICHERMOT,EQ,     18496.90,     18882.05,2.08,170.24
,DRREDDY,EQ,      3973.55,      4014.20,1.02,158.54
,DLF,EQ,       123.90,       124.80,0.73,144.43
,ITC,EQ,       313.35,       313.75,0.13,140.92
,TATASTEEL,EQ,       240.20,       232.95,-3.02,139.77
,INDUSINDBK,EQ,       866.90,       868.70,0.21,123.26
,MARUTI,EQ,      4301.45,      4317.75,0.38,121.88

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BANKBARODA,EQ,       181.30,       178.95,1.31
,BPCL,EQ,       850.55,       839.70,1.29
,WIPRO,EQ,       559.10,       552.10,1.27
,HDFC,EQ,      1176.35,      1162.75,1.17
,SBIN,EQ,       230.10,       227.45,1.17

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,CAIRN,EQ,       145.65,       151.50,-3.86
,TATASTEEL,EQ,       232.95,       240.20,-3.02
,BHEL,EQ,       210.70,       217.05,-2.93
,VEDL,EQ,        97.00,        99.75,-2.76
,TATAMOTORS,EQ,       344.60,       354.10,-2.68

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        25.35,                  1324363.30,51863
,3IINFOTECH,EQ,         2.95,                  1144734.20,389151
,3MINDIA,EQ,     10918.55,                 14495345.75,1320
,3RDROCK,IT,       214.85,                 15649400.00,72800
,8KMILES,EQ,      1361.50,                 71321497.30,51350
,A2ZINFRA,EQ,        21.80,                  2603433.05,117904
,AARTIDRUGS,EQ,       550.65,                 15330555.05,27645
,AARTIIND,EQ,       414.85,                 56682303.40,136350
,AARVEEDEN,EQ,        49.65,                   306274.10,6068
,ABAN,EQ,       231.70,                201330521.90,866083
,ABB,EQ,      1150.20,                175248184.70,151328
,ABBOTINDIA,EQ,      5385.65,                 38500040.50,7066
,ABCIL,EQ,       216.00,                  2791634.80,12899
,ABGSHIP,EQ,       148.15,                 17285836.40,116284
,ACCELYA,EQ,       967.00,                  2261191.95,2334
,ACE,EQ,        37.75,                  7552815.80,197102
,ACROPETAL,EQ,         2.70,                    42122.15,15631
,ADANIENT,EQ,        69.40,                209071123.70,2989235
,ADANIPOWER,EQ,        22.35,                116152270.45,5222058
,ADANITRANS,EQ,        27.70,                 22875164.50,834240
,ADFFOODS,EQ,        75.95,                  3183633.70,41356
,ADHUNIK,EQ,        15.75,                   685593.65,43076
,ADI,EQ,       197.50,                   280746.25,1436
,ADLABS,EQ,       119.75,                 10627928.65,88459
,ADORWELD,EQ,       259.50,                  1665739.25,6302
,ADSL,EQ,        25.80,                   589754.15,22521
,ADVANIHOTR,EQ,        45.30,                   162115.00,3501
,ADVANTA,EQ,       528.70,                  2883624.10,5374
,AEGISCHEM,EQ,       807.80,                 26761207.60,32776
,AFL,EQ,        67.30,                  8159907.40,123547
,AGARIND,EQ,       104.15,                   232138.30,2243
,AGCNET,EQ,        99.75,                   238475.30,2378
,AGRITECH,EQ,         5.70,                      114.00,20
,AGRODUTCH,EQ,         3.00,                    16190.35,5404
,AHLEAST,EQ,       147.80,                     7616.60,52
,AHLUCONT,EQ,       230.90,                  8041483.20,35028
,AHLWEST,EQ,       107.40,                     4615.85,44
,AIAENG,EQ,       961.80,                 26929039.20,28146
,AIL,EQ,       623.15,                 10678009.95,17026
,AJANTPHARM,EQ,      1409.95,                275723174.60,193206
,AJMERA,EQ,        95.55,                  5305596.25,55271
,AKSHOPTFBR,EQ,        15.35,                 13200647.75,852295
,AKZOINDIA,EQ,      1249.45,                 22846871.45,18111
,ALANKIT,EQ,       211.10,                 34700362.90,164081
,ALBK,EQ,        75.20,                151008860.05,1989720
,ALCHEM,EQ,        22.35,                   116969.60,5253
,ALEMBICLTD,EQ,        37.40,                 10413131.25,277171
,ALICON,EQ,       368.40,                  2717678.30,7454
,ALKALI,EQ,        37.65,                   223922.45,5902
,ALKYLAMINE,EQ,       307.00,                   139538.40,454
,ALLCARGO,EQ,       309.40,                 34722761.95,111447
,ALLSEC,EQ,        47.80,                   640585.95,14043
,ALMONDZ,EQ,         8.85,                     1770.00,200
,ALOKTEXT,EQ,         5.90,                 10315888.15,1732227
,ALPA,BE,        19.25,                   354768.70,18812
,ALPHAGEO,EQ,       441.65,                 15742497.00,35884
,ALPSINDUS,EQ,         3.70,                   331118.00,90590
,ALSTOMT&D,EQ,       530.80,                  9025847.30,16939
,AMARAJABAT,EQ,       929.85,                198065588.15,211336
,AMBIKCO,EQ,       750.30,                  8506809.65,11484
,AMDIND,EQ,        25.00,                    42607.85,1684
,AMRUTANJAN,EQ,       410.85,                  3576408.25,8624
,AMTEKAUTO,EQ,        46.95,               3822226628.25,91755082
,AMTL,EQ,        20.00,                    90317.85,4377
,ANANTRAJ,EQ,        33.20,                 35469440.60,1070488
,ANDHRABANK,EQ,        61.00,                106579828.00,1747324
,ANDHRACEMT,EQ,         3.45,                  2088772.55,605925
,ANDHRSUGAR,EQ,        93.55,                   987437.50,10524
,ANGIND,EQ,        33.75,                   136950.00,4023
,ANIKINDS,BE,        25.15,                     1257.50,50
,ANKITMETAL,EQ,         2.15,                  1456609.65,684179
,ANSALAPI,EQ,        16.10,                  1011424.50,62784
,ANSALHSG,EQ,        21.20,                   194385.25,9112
,ANTGRAPHIC,BE,          .10,                        1.80,18
,APARINDS,EQ,       440.15,                 16248061.85,37201
,APCOTEXIND,EQ,       516.05,                  2237730.20,4321
,APLAPOLLO,EQ,       465.25,                  1349961.15,2882
,APLLTD,EQ,       668.50,                 48195254.05,71150
,APOLLOTYRE,EQ,       185.40,                470388011.05,2531572
,APOLSINHOT,BE,       169.70,                    15952.30,94
,APTECHT,EQ,        55.60,                  7242312.30,129057
