,16-Sep-2015
The Nifty witnessed an intraday movement of about 60.6 points.The closing index was 0.89 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 13901.85
, Traded Quantity (in Lakhs), 6252.1
, Number of Trades, 6401901
, Total Market Capitalisation (Rs. Crores), 9391068.45

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      7829.10,      7886.85,      7913.90,      7853.30,      7899.15,70.05
,CNX IT,     11536.35,     11614.70,     11659.00,     11563.75,     11606.65,70.3
,CNX Nifty Junior,     19638.30,     19776.70,     19785.10,     19425.40,     19485.10,-153.2
,BANK Nifty,     16739.55,     16885.20,     17015.75,     16780.15,     16964.85,225.3
,CNX Midcap,     12785.15,     12872.40,     12874.30,     12673.25,     12695.00,-90.15
,CNX 500,      6543.25,      6589.70,      6590.15,      6549.20,      6571.60,28.35
,CNX 100,      7968.05,      8026.45,      8036.05,      7979.80,      8017.45,49.4
,Nifty Midcap 50,      3096.50,      3121.30,      3127.30,      3081.85,      3092.85,-3.65
,CNX Realty,       167.60,       169.00,       170.30,       166.35,       167.15,-.45
,CNX Infra,      2894.40,      2914.35,      2916.20,      2880.55,      2906.60,12.2
,CNX Energy,      7633.60,      7681.65,      7685.00,      7611.70,      7667.10,33.5
,CNX FMCG,     19681.95,     19786.20,     19812.80,     19663.65,     19727.10,45.15
,CNX MNC,      9526.30,      9606.30,      9608.75,      9508.70,      9538.75,12.45
,CNX Pharma,     12478.80,     12583.05,     12663.80,     12557.50,     12623.80,145
,CNX PSE,      3036.95,      3057.40,      3057.40,      3017.75,      3030.80,-6.15
,CNX PSU Bank,      3038.35,      3071.65,      3081.75,      3045.65,      3068.55,30.2
,CNX Service,     10171.10,     10247.00,     10297.40,     10208.10,     10280.10,109
,India VIX,23.7425,23.7425,23.7425,21.6025,21.9975,-1.7450
,CNX AUTO,      7766.20,      7820.25,      7835.45,      7764.55,      7799.10,32.9
,CNX Metal,      1772.10,      1792.40,      1795.35,      1770.65,      1779.30,7.2
,CNX Media,      2348.70,      2354.55,      2364.70,      2343.60,      2350.85,2.15
,CNX Smallcap,      5062.00,      5096.50,      5109.35,      5012.15,      5020.65,-41.35
,CNX 200,      4113.25,      4143.50,      4145.80,      4117.80,      4134.55,21.3
,CNX Dividend Oppt,      1842.80,      1855.90,      1856.65,      1845.05,      1850.05,7.25
,CNX Commodities,      2314.40,      2331.65,      2332.50,      2308.30,      2315.15,.75
,CNX Consumption,      3372.55,      3393.25,      3396.85,      3379.45,      3388.05,15.5
,CNX Finance,      6846.25,      6906.80,      6944.40,      6867.75,      6928.10,81.85
,Nifty Dividend,        81.75,        81.75,        81.75,        81.75,        81.75,0
,LIX 15,      3135.25,      3168.25,      3184.00,      3148.90,      3173.55,38.3
,CPSE Index,      2012.95,      2030.80,      2030.80,      2004.55,      2009.20,-3.75
,NI15,      5167.35,      5200.30,      5208.45,      5177.45,      5192.35,25
,NIFTY PR 2X LEV,      3048.85,      3093.20,      3114.10,      3067.25,      3102.80,53.95
,NIFTY PR 1X INV,       492.70,       489.20,       491.30,       487.50,       488.40,-4.3
,NIFTY TR 2X LEV,      3555.80,      3607.60,      3631.95,      3577.25,      3618.75,62.95
,NIFTY TR 1X INV,       456.15,       452.90,       454.80,       451.30,       452.15,-4
,NV20,      3487.50,      3514.65,      3523.95,      3498.45,      3515.15,27.65

,ADVANCES,717
,DECLINES,779
,UNCHANGED,73

,Total securities that have hit their price bands today,121

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SUNPHARMA,EQ,       866.60,       887.20,2.38,502.61
,INFY,EQ,      1099.20,      1101.65,0.22,412.38
,YESBANK,EQ,       729.00,       758.45,4.04,407.62
,LT,EQ,      1558.15,      1548.70,-0.61,389.72
,AXISBANK,EQ,       482.75,       494.25,2.38,359.03
,ICICIBANK,EQ,       268.90,       272.85,1.47,331.17
,COALINDIA,EQ,       338.05,       337.45,-0.18,277.04
,WOCKPHARMA,EQ,      1429.80,      1408.00,-1.52,268.07
,RELIANCE,EQ,       868.15,       872.55,0.51,267.62
,SBIN,EQ,       234.00,       236.80,1.2,266.46
,HDFC,EQ,      1179.85,      1196.35,1.4,236.68
,IBULHSGFIN,EQ,       749.80,       730.60,-2.56,224.78
,TCS,EQ,      2547.60,      2550.35,0.11,224.33
,EICHERMOT,EQ,     18576.30,     17937.00,-3.44,207.99
,TATAMOTORS,EQ,       334.10,       338.05,1.18,192.62
,MARUTI,EQ,      4337.20,      4355.60,0.42,182.19
,TATAELXSI,EQ,      1913.10,      1861.60,-2.69,180.27
,AMTEKAUTO,EQ,        52.40,        49.85,-4.87,177.47
,TATASTEEL,EQ,       229.15,       230.50,0.59,165.75
,BHARATFORG,EQ,       963.10,       940.15,-2.38,163.05
,DIVISLAB,EQ,      2184.75,      2211.60,1.23,144.26
,SADBHIN,EQ,       103.00,       106.20,3.11,142.68
,DRREDDY,EQ,      4005.50,      4010.40,0.12,138.57
,BPCL,EQ,       879.60,       862.35,-1.96,122.31
,AUROPHARMA,EQ,       698.80,       693.20,-0.8,121.45

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,YESBANK,EQ,       758.45,       729.00,4.04
,AMBUJACEM,EQ,       210.45,       204.40,2.96
,HEROMOTOCO,EQ,      2368.35,      2310.55,2.5
,BHARTIARTL,EQ,       359.50,       351.00,2.42
,AXISBANK,EQ,       494.25,       482.75,2.38

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BPCL,EQ,       862.35,       879.60,-1.96
,NMDC,EQ,       100.35,       102.15,-1.76
,BOSCHLTD,EQ,     21741.70,     22021.05,-1.27
,ASIANPAINT,EQ,       823.95,       831.10,-0.86
,BHEL,EQ,       210.35,       211.90,-0.73

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        25.40,                  1237855.75,48708
,3IINFOTECH,EQ,         3.25,                  8710028.60,2611748
,3MINDIA,EQ,     10957.15,                  5649864.05,514
,3RDROCK,IT,       215.00,                  1118000.00,5200
,8KMILES,EQ,      1393.40,                 45343418.10,32173
,A2ZINFRA,EQ,        21.50,                  2259984.80,104808
,AARTIDRUGS,EQ,       564.05,                  6386511.55,11273
,AARTIIND,EQ,       426.85,                 30718734.60,72097
,AARVEEDEN,EQ,        53.35,                   587193.35,11076
,ABAN,EQ,       230.55,                195611166.90,841090
,ABB,EQ,      1097.30,                 46480309.95,41812
,ABBOTINDIA,EQ,      5289.20,                 16588200.15,3118
,ABCIL,EQ,       213.10,                   807464.50,3799
,ABGSHIP,EQ,       145.35,                167915511.45,1091107
,ACCELYA,EQ,       986.20,                  5666463.10,5716
,ACE,EQ,        39.00,                  4639718.00,119719
,ACROPETAL,EQ,         2.85,                    16237.75,5885
,ADANIENT,EQ,        74.65,                407698474.15,5464283
,ADANIPOWER,EQ,        23.45,                137419100.85,5903824
,ADANITRANS,EQ,        27.85,                 11476978.55,416405
,ADFFOODS,EQ,        78.50,                  1863505.00,23410
,ADHUNIK,EQ,        15.60,                   326101.75,20719
,ADI,EQ,       195.05,                    64532.50,328
,ADLABS,EQ,       112.90,                  9016698.85,78154
,ADORWELD,EQ,       256.45,                   181455.65,707
,ADSL,EQ,        27.85,                  3337186.85,119974
,ADVANIHOTR,EQ,        46.00,                    31287.05,679
,ADVANTA,EQ,       538.75,                  7311470.70,13750
,AEGISCHEM,EQ,        80.60,                 10060072.30,124901
,AFL,EQ,        67.55,                   537451.95,7948
,AGARIND,EQ,        95.15,                  4792911.20,49488
,AGCNET,EQ,       101.50,                   253545.15,2512
,AGRITECH,EQ,         5.15,                      103.00,20
,AGRODUTCH,EQ,         2.80,                    23240.35,8351
,AHLEAST,EQ,       148.55,                   228142.50,1525
,AHLUCONT,EQ,       231.95,                  1212473.70,5207
,AHLWEST,EQ,       110.00,                    18741.00,170
,AIAENG,EQ,       970.35,                 24724515.70,25937
,AIL,EQ,       616.80,                  7861695.15,12713
,AJANTPHARM,EQ,      1437.90,                255555193.45,175576
,AJMERA,EQ,        92.60,                  3571323.20,38523
,AKSHOPTFBR,EQ,        15.40,                 16931926.50,1098436
,AKZOINDIA,EQ,      1285.65,                  6664258.20,5184
,ALANKIT,EQ,       212.90,                 30392809.45,144293
,ALBK,EQ,        75.45,                115861760.75,1530181
,ALCHEM,EQ,        22.80,                    21672.55,953
,ALEMBICLTD,EQ,        38.35,                 11251080.35,294250
,ALICON,EQ,       377.55,                   318813.30,843
,ALKALI,EQ,        38.10,                    41229.75,1078
,ALKYLAMINE,EQ,       295.05,                   506007.95,1691
,ALLCARGO,EQ,       295.55,                  7891007.90,26561
,ALLSEC,EQ,        48.45,                   150219.35,3122
,ALMONDZ,EQ,         8.85,                     7080.00,800
,ALOKTEXT,EQ,         6.10,                 18358906.20,2968145
,ALPA,BE,        22.25,                   494216.80,22256
,ALPHAGEO,EQ,       424.85,                  1181700.30,2757
,ALPSINDUS,EQ,         4.20,                   134643.60,32058
,ALSTOMT&D,EQ,       519.80,                 15888242.65,30586
,AMARAJABAT,EQ,       958.65,                405330160.95,416843
,AMBIKCO,EQ,       789.40,                  2626841.35,3313
,AMDIND,EQ,        25.60,                   197951.55,7666
,AMRUTANJAN,EQ,       403.70,                  1248739.45,3079
,AMTEKAUTO,EQ,        49.85,               1774687320.75,36319204
,AMTL,EQ,        19.05,                    46021.05,2359
,ANANTRAJ,EQ,        32.35,                 19183926.75,587866
,ANDHRABANK,EQ,        62.40,                131673023.80,2108710
,ANDHRACEMT,EQ,         3.40,                  1857303.80,561687
,ANDHRSUGAR,EQ,        89.35,                   405823.00,4508
,ANGIND,EQ,        33.25,                   842735.40,25084
,ANIKINDS,BE,        26.00,                    41605.90,1600
,ANKITMETAL,EQ,         2.00,                  1055210.15,527683
,ANSALAPI,EQ,        16.10,                   342237.70,21229
,ANSALHSG,EQ,        21.55,                   109662.00,5137
,ANTGRAPHIC,BE,          .10,                      210.20,1402
,APARINDS,EQ,       419.50,                  3383671.00,7903
,APCOTEXIND,EQ,       546.80,                  6980425.70,12645
,APLAPOLLO,EQ,       474.75,                  4616786.80,9798
,APLLTD,EQ,       653.70,                 99306023.10,152097
,APOLLOTYRE,EQ,       184.60,                294027279.85,1587411
,APOLSINHOT,BE,       166.05,                      830.25,5
,APTECHT,EQ,        56.60,                  9807472.85,174629
