,10-Nov-2015
The Nifty witnessed an intraday movement of about 112.25 points.The closing index was 1.67 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 17286.65
, Traded Quantity (in Lakhs), 8347.36
, Number of Trades, 6988466
, Total Market Capitalisation (Rs. Crores), 9443769.22

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      7915.20,      7877.60,      7885.10,      7772.85,      7783.35,-131.85
,Nifty IT,     11412.15,     11385.70,     11387.85,     11191.90,     11214.20,-197.95
,Nifty Next 50,     19679.95,     19629.05,     19661.35,     19273.55,     19311.30,-368.65
,Nifty Bank,     17003.00,     16895.20,     17047.30,     16805.05,     16836.00,-167
,Nifty Midcap 100,     13073.80,     13058.05,     13091.35,     12840.30,     12851.25,-222.55
,Nifty 500,      6641.40,      6618.00,      6624.70,      6528.95,      6536.45,-104.95
,Nifty 100,      8044.45,      8009.10,      8017.40,      7896.70,      7907.65,-136.8
,Nifty Midcap 50,      3253.25,      3246.25,      3267.05,      3199.95,      3205.15,-48.1
,Nifty Realty,       168.80,       169.20,       169.60,       163.80,       164.35,-4.45
,Nifty Infra,      2740.60,      2733.65,      2738.05,      2686.40,      2689.95,-50.65
,Nifty Energy,      8175.25,      8131.45,      8145.90,      7865.15,      7885.60,-289.65
,Nifty FMCG,     20496.15,     20409.60,     20532.15,     20149.80,     20215.80,-280.35
,Nifty MNC,      9613.75,      9607.95,      9608.55,      9531.30,      9546.75,-67
,Nifty Pharma,     11989.05,     11949.85,     12010.20,     11605.95,     11618.30,-370.75
,Nifty PSE,      3069.00,      3049.60,      3054.50,      2974.30,      2980.25,-88.75
,Nifty PSU Bank,      3147.70,      3125.85,      3175.75,      3083.15,      3107.10,-40.6
,Nifty Serv Sector,     10222.80,     10172.10,     10195.75,     10054.70,     10072.05,-150.75
,India VIX,17.0400,17.0400,17.0625,15.2975,16.8250,-0.2150
,Nifty Auto,      8246.20,      8230.55,      8305.00,      8217.95,      8257.70,11.5
,Nifty Metal,      1723.65,      1709.05,      1710.95,      1677.50,      1681.45,-42.2
,Nifty Media,      2315.30,      2303.40,      2349.35,      2285.35,      2295.85,-19.45
,Nifty Small 100,      5277.00,      5270.40,      5310.05,      5197.55,      5206.70,-70.3
,Nifty 200,      4164.65,      4147.75,      4153.05,      4090.55,      4096.00,-68.65
,Nifty Div Opps 50,      1901.55,      1891.35,      1896.85,      1866.40,      1869.95,-31.6
,Nifty Commodities,      2374.15,      2361.85,      2362.10,      2300.35,      2303.80,-70.35
,Nifty Consumption,      3506.40,      3498.85,      3507.85,      3479.20,      3483.95,-22.45
,Nifty Fin Service,      6967.90,      6933.15,      6977.60,      6883.75,      6896.55,-71.35
,Nifty50 Div Point,        92.97,        95.23,        95.23,        95.23,        95.23,2.26
,Nifty100 Liq 15,      3167.35,      3149.35,      3173.35,      3108.95,      3114.50,-52.85
,Nifty CPSE,      2060.80,      2045.95,      2046.15,      1991.70,      1997.55,-63.25
,Nifty GrowSect 15,      5229.75,      5215.95,      5218.10,      5148.30,      5155.30,-74.45
,Nifty50 PR 2x Lev,      3077.95,      3048.10,      3053.20,      2966.95,      2974.75,-103.2
,Nifty50 PR 1x Inv,       491.40,       493.85,       500.30,       493.40,       499.70,8.3
,Nifty50 TR 2x Lev,      3597.15,      3563.80,      3569.80,      3468.95,      3478.10,-119.05
,Nifty50 TR 1x Inv,       454.50,       456.65,       462.60,       456.25,       462.05,7.55
,Nifty50 Value 20,      3562.10,      3545.10,      3551.90,      3501.35,      3507.00,-55.1

,ADVANCES,493
,DECLINES,1009
,UNCHANGED,72

,Total securities that have hit their price bands today,100

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,INDIGO,EQ,       765.00,       877.25,14.67,2407.46
,DRREDDY,EQ,      3501.15,      3330.70,-4.87,639.21
,TATAMOTORS,EQ,       411.75,       407.45,-1.04,521.65
,SUNPHARMA,EQ,       756.95,       731.95,-3.3,518.68
,MARUTI,EQ,      4628.20,      4712.70,1.83,426.68
,JETAIRWAYS,EQ,       440.65,       421.80,-4.28,353.6
,AXISBANK,EQ,       464.95,       468.35,0.73,330.29
,LT,EQ,      1359.05,      1348.40,-0.78,320.39
,SBIN,EQ,       246.10,       241.20,-1.99,286.14
,INFY,EQ,      1134.60,      1103.85,-2.71,260.73
,RELIANCE,EQ,       961.25,       922.75,-4.01,245.08
,HINDPETRO,EQ,       795.20,       734.00,-7.7,212.33
,ICICIBANK,EQ,       263.15,       262.80,-0.13,207.68
,YESBANK,EQ,       761.95,       739.65,-2.93,179.53
,NMDC,EQ,        92.95,        90.75,-2.37,179.25
,TCS,EQ,      2471.35,      2458.15,-0.53,167.74
,BANKBARODA,EQ,       171.45,       172.95,0.87,165.6
,ITC,EQ,       343.05,       336.75,-1.84,163.63
,AUROPHARMA,EQ,       856.65,       831.30,-2.96,157.98
,BANKINDIA,EQ,       133.55,       131.90,-1.24,156.7
,MOTHERSUMI,EQ,       284.20,       265.35,-6.63,156.17
,RAJESHEXPO,EQ,       689.20,       688.80,-0.06,154.88
,HDFC,EQ,      1190.75,      1171.35,-1.63,148.28
,HINDALCO,EQ,        79.95,        79.25,-0.88,144.35
,LUPIN,EQ,      1868.70,      1790.40,-4.19,143.3

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BAJAJ-AUTO,EQ,      2457.45,      2409.10,2.01
,HEROMOTOCO,EQ,      2663.70,      2614.10,1.9
,MARUTI,EQ,      4712.70,      4628.20,1.83
,M&M,EQ,      1261.15,      1249.10,.96
,BANKBARODA,EQ,       172.95,       171.45,.87

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ONGC,EQ,       236.70,       249.30,-5.05
,DRREDDY,EQ,      3330.70,      3501.15,-4.87
,CAIRN,EQ,       137.90,       144.90,-4.83
,LUPIN,EQ,      1790.40,      1868.70,-4.19
,AMBUJACEM,EQ,       196.70,       205.00,-4.05

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        29.90,                  3996929.80,131338
,3IINFOTECH,EQ,         4.05,                 16467196.45,4077601
,3MINDIA,EQ,     11559.15,                  7705132.25,664
,8KMILES,EQ,      1806.15,                 86283461.60,47135
,A2ZINFRA,EQ,        24.45,                  4301324.40,176404
,AARTIDRUGS,EQ,       524.50,                  8709929.05,16560
,AARTIIND,EQ,       506.70,                 10734038.40,20893
,AARVEEDEN,EQ,        50.10,                    24083.00,470
,ABAN,EQ,       211.45,                136606201.50,640957
,ABB,EQ,      1199.65,                 39711836.10,32698
,ABBOTINDIA,EQ,      5054.40,                 23292621.75,4539
,ABCIL,EQ,       221.60,                   118609.45,537
,ABGSHIP,EQ,        88.65,                 19402759.85,216310
,ABIRLANUVO,EQ,      1950.10,                258493593.55,131643
,ACCELYA,EQ,       914.45,                  1363623.05,1493
,ACE,EQ,        42.95,                  7221764.75,165849
,ACROPETAL,EQ,         2.75,                    20953.35,7460
,ADANIENT,EQ,        76.30,                198397672.20,2560600
,ADANIPOWER,EQ,        26.95,                190603376.85,7004897
,ADANITRANS,EQ,        33.80,                 23199619.45,675385
,ADFFOODS,EQ,        87.60,                  2474498.05,28016
,ADHUNIK,EQ,        14.65,                   430331.80,29258
,ADI,EQ,       222.85,                  2628120.45,11782
,ADLABS,EQ,       103.55,                  4177562.50,39953
,ADORWELD,EQ,       257.80,                   349542.40,1352
,ADSL,EQ,        37.60,                 10205715.45,261755
,ADVANIHOTR,EQ,        45.20,                   165574.05,3572
,ADVANTA,EQ,       508.10,                  1500566.40,2938
,AEGISCHEM,EQ,        93.10,                 30335513.65,321222
,AFL,EQ,        70.20,                  1644799.70,23233
,AGARIND,EQ,       143.05,                  6160452.65,42150
,AGCNET,EQ,        85.90,                   444721.15,5173
,AGRITECH,EQ,         5.90,                     1003.00,170
,AGRODUTCH,EQ,         3.60,                    99571.50,28400
,AHLEAST,EQ,       140.10,                    12053.50,85
,AHLUCONT,EQ,       240.90,                  4693214.85,19172
,AHLWEST,EQ,       114.25,                    42063.65,349
,AIAENG,EQ,       933.80,                 19479715.85,20910
,AIL,EQ,       584.25,                 34997273.50,57700
,AJANTPHARM,EQ,      1420.05,                105496746.25,73880
,AJMERA,EQ,       128.25,                 17056647.40,134354
,AKSHOPTFBR,EQ,        17.60,                 18007109.10,1010622
,AKZOINDIA,EQ,      1328.35,                  4078388.80,3070
,ALANKIT,EQ,        48.50,                 17621546.70,356739
,ALBK,EQ,        76.60,                165511439.10,2126955
,ALCHEM,EQ,        20.25,                    94689.20,4677
,ALEMBICLTD,EQ,        41.50,                  8551954.10,203603
,ALICON,EQ,       331.10,                   250806.20,755
,ALKALI,EQ,        41.95,                    90582.20,2161
,ALKYLAMINE,EQ,       298.85,                   835538.55,2753
,ALLCARGO,EQ,       339.30,                 44987103.50,130703
,ALLSEC,EQ,        98.25,                 12298549.85,126003
,ALMONDZ,EQ,        10.00,                    10008.25,1057
,ALOKTEXT,EQ,         6.60,                  7319890.55,1101517
,ALPA,BE,        35.50,                   181227.50,5105
,ALPHAGEO,EQ,       535.05,                  3965315.60,7387
,ALPSINDUS,EQ,         4.30,                   202586.60,45895
,ALSTOMT&D,EQ,       495.60,                 21843891.10,43789
,AMARAJABAT,EQ,       888.80,                144609944.15,161640
,AMBIKCO,EQ,       842.45,                  3302787.50,3911
,AMDIND,EQ,        22.20,                   284174.10,12801
,AMRUTANJAN,EQ,       459.85,                 12651940.00,27288
,AMTEKAUTO,EQ,        41.50,                 76506186.85,1825074
,AMTL,EQ,        25.00,                   278781.20,11056
,ANANTRAJ,EQ,        34.50,                  9047791.20,259807
,ANDHRABANK,EQ,        67.65,                163261002.75,2375945
,ANDHRACEMT,EQ,         5.85,                   558823.05,95905
,ANDHRSUGAR,EQ,       127.35,                  2490411.20,19606
,ANGIND,EQ,        43.95,                  5902249.45,130977
,ANIKINDS,BE,        28.00,                      700.00,25
,ANKITMETAL,EQ,         1.70,                    90523.05,52925
,ANSALAPI,EQ,        18.05,                  1527483.50,82688
,ANSALHSG,EQ,        23.15,                   333591.55,14194
,ANTGRAPHIC,BE,          .15,                    15675.90,84506
,APARINDS,EQ,       429.00,                  2858128.80,6668
,APCOTEXIND,EQ,       225.05,                   435701.65,1930
,APLAPOLLO,EQ,       519.30,                  1367860.90,2615
,APLLTD,EQ,       665.75,                 47306774.60,70652
,APOLLOTYRE,EQ,       156.45,                274447790.20,1731105
,APTECHT,EQ,        58.80,                 29106514.85,480766
,ARCHIDPLY,EQ,        50.05,                  3668119.25,71886
,ARCHIES,EQ,        26.75,                  7846397.75,285069
,ARCOTECH,EQ,       366.85,                 50544798.10,137026
