,24-Nov-2015
The Nifty witnessed an intraday movement of about 57.7 points.The closing index was 0.22 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 15851.82
, Traded Quantity (in Lakhs), 9022.86
, Number of Trades, 7146151
, Total Market Capitalisation (Rs. Crores), 9580885.55

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      7849.25,      7837.00,      7870.35,      7812.65,      7831.60,-17.65
,Nifty IT,     11121.20,     11096.40,     11122.05,     11036.05,     11057.35,-63.85
,Nifty Next 50,     19577.20,     19600.30,     19678.60,     19574.65,     19607.90,30.7
,Nifty Bank,     17060.25,     17012.85,     17108.40,     16964.90,     16988.65,-71.6
,Nifty Midcap 100,     13116.10,     13120.45,     13174.85,     13111.15,     13128.60,12.5
,Nifty 500,      6615.50,      6610.15,      6636.25,      6602.00,      6609.10,-6.4
,Nifty 100,      7981.55,      7972.65,      8006.10,      7953.25,      7968.60,-12.95
,Nifty Midcap 50,      3323.40,      3324.15,      3339.90,      3318.10,      3325.35,1.95
,Nifty Realty,       165.30,       165.65,       168.65,       165.65,       167.05,1.75
,Nifty Infra,      2749.10,      2742.95,      2747.55,      2724.55,      2729.40,-19.7
,Nifty Energy,      8149.75,      8144.55,      8263.15,      8128.00,      8206.70,56.95
,Nifty FMCG,     20166.50,     20244.45,     20295.55,     20032.10,     20184.00,17.5
,Nifty MNC,      9504.05,      9495.60,      9516.40,      9447.05,      9463.50,-40.55
,Nifty Pharma,     11717.15,     11711.90,     11738.65,     11603.90,     11637.85,-79.3
,Nifty PSE,      3040.65,      3041.10,      3072.10,      3033.80,      3044.20,3.55
,Nifty PSU Bank,      3111.30,      3107.80,      3129.45,      3084.35,      3090.75,-20.55
,Nifty Serv Sector,     10123.85,     10101.80,     10159.60,     10081.10,     10113.30,-10.55
,India VIX,17.0750,17.0750,17.0750,15.6525,16.2450,-0.8300
,Nifty Auto,      8395.35,      8368.90,      8396.75,      8323.25,      8332.90,-62.45
,Nifty Metal,      1698.30,      1693.95,      1708.75,      1691.50,      1697.25,-1.05
,Nifty Media,      2398.90,      2396.55,      2408.95,      2370.75,      2376.00,-22.9
,Nifty Small 100,      5397.85,      5402.15,      5442.80,      5398.90,      5418.05,20.2
,Nifty 200,      4140.50,      4136.40,      4153.40,      4127.10,      4134.70,-5.8
,Nifty Div Opps 50,      1879.25,      1880.60,      1894.70,      1876.25,      1881.05,1.8
,Nifty Commodities,      2337.65,      2336.05,      2360.80,      2332.20,      2343.15,5.5
,Nifty Consumption,      3544.45,      3548.15,      3551.55,      3533.65,      3541.45,-3
,Nifty Fin Service,      6979.10,      6964.90,      7032.10,      6954.70,      6997.95,18.85
,Nifty50 Div Point,        95.23,        95.23,        95.23,        95.23,        95.23,0
,Nifty100 Liq 15,      3125.90,      3118.85,      3140.40,      3116.90,      3126.65,.75
,Nifty CPSE,      2037.10,      2039.85,      2069.85,      2031.95,      2044.75,7.65
,Nifty GrowSect 15,      5152.45,      5150.80,      5155.20,      5123.35,      5129.50,-22.95
,Nifty50 PR 2x Lev,      3016.50,      3006.45,      3032.05,      2989.45,      3002.30,-14.2
,Nifty50 PR 1x Inv,       496.40,       497.30,       498.70,       495.20,       497.65,1.25
,Nifty50 TR 2x Lev,      3526.90,      3515.15,      3545.10,      3495.30,      3510.30,-16.6
,Nifty50 TR 1x Inv,       459.05,       459.85,       461.15,       457.90,       460.15,1.1
,Nifty50 Value 20,      3517.55,      3509.20,      3530.60,      3496.35,      3510.60,-6.95

,ADVANCES,847
,DECLINES,678
,UNCHANGED,75

,Total securities that have hit their price bands today,144

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SUNPHARMA,EQ,       717.10,       706.20,-1.52,699.04
,MARUTI,EQ,      4736.25,      4639.90,-2.03,599.47
,HDFC,EQ,      1191.15,      1218.95,2.33,456.49
,RELIANCE,EQ,       953.75,       967.70,1.46,326.31
,JETAIRWAYS,EQ,       467.35,       473.40,1.29,306.51
,ITC,EQ,       337.25,       335.90,-0.4,293.04
,ICICIBANK,EQ,       265.95,       263.35,-0.98,282.27
,AXISBANK,EQ,       462.70,       463.85,0.25,250.41
,LT,EQ,      1368.90,      1341.55,-2,235.43
,INFY,EQ,      1053.70,      1041.15,-1.19,225.68
,TATAMOTORS,EQ,       402.10,       400.95,-0.29,225.62
,INDIGO,EQ,      1046.85,      1089.80,4.1,223.06
,MOTHERSUMI,EQ,       285.40,       292.95,2.65,198.61
,YESBANK,EQ,       740.65,       744.15,0.47,186.05
,DLF,EQ,       103.15,       107.15,3.88,170.27
,RCOM,EQ,        65.10,        71.15,9.29,165.65
,M&M,EQ,      1323.50,      1319.55,-0.3,163.85
,IBULHSGFIN,EQ,       679.20,       692.50,1.96,161.71
,SBIN,EQ,       242.70,       241.40,-0.54,161.28
,JUSTDIAL,EQ,       899.85,       930.60,3.42,160.61
,LUPIN,EQ,      1842.60,      1860.90,0.99,154.57
,WOCKPHARMA,EQ,      1609.90,      1623.95,0.87,148.39
,RELCAPITAL,EQ,       408.30,       424.00,3.85,141.11
,PETRONET,EQ,       233.05,       233.40,0.15,140.5
,COALINDIA,EQ,       332.20,       332.40,0.06,133.9

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HINDUNILVR,EQ,       811.95,       791.20,2.62
,HDFC,EQ,      1218.95,      1191.15,2.33
,RELIANCE,EQ,       967.70,       953.75,1.46
,LUPIN,EQ,      1860.90,      1842.60,.99
,AMBUJACEM,EQ,       202.60,       200.70,.95

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BOSCHLTD,EQ,     18435.75,     19014.05,-3.04
,ADANIPORTS,EQ,       270.25,       276.50,-2.26
,MARUTI,EQ,      4639.90,      4736.25,-2.03
,LT,EQ,      1341.55,      1368.90,-2
,BAJAJ-AUTO,EQ,      2476.80,      2522.75,-1.82

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        27.30,                   672314.40,24446
,3IINFOTECH,EQ,         4.05,                  4622661.05,1151146
,3MINDIA,EQ,     11398.95,                 10202513.00,890
,8KMILES,EQ,      1828.05,                 29001263.75,15840
,A2ZINFRA,EQ,        27.40,                 16748304.80,600931
,AARTIDRUGS,EQ,       590.55,                 54199081.45,90211
,AARTIIND,EQ,       510.40,                 10175087.80,19729
,AARVEEDEN,EQ,        68.65,                  1422109.00,20878
,ABAN,EQ,       224.90,                610944318.30,2720516
,ABB,EQ,      1160.10,                163042307.50,139316
,ABBOTINDIA,EQ,      5288.45,                 44082953.05,8319
,ABCIL,EQ,       231.15,                183984551.85,795241
,ABGSHIP,EQ,        73.50,                 73493128.90,972245
,ABIRLANUVO,EQ,      2052.60,                145099271.35,70295
,ACCELYA,EQ,       937.30,                  3757012.80,4005
,ACE,EQ,        43.05,                 12661803.10,289541
,ACROPETAL,EQ,         2.70,                    45792.60,16999
,ADANIENT,EQ,        79.60,                312998266.35,3913611
,ADANIPOWER,EQ,        29.10,                 96905418.50,3306334
,ADANITRANS,EQ,        38.65,                122686485.25,3133797
,ADFFOODS,EQ,        91.35,                 54430303.65,585187
,ADHUNIK,EQ,        14.75,                   753041.45,50965
,ADI,EQ,       224.85,                  9212554.95,40198
,ADLABS,EQ,       118.35,                 42941956.00,362114
,ADORWELD,EQ,       278.95,                   745577.00,2663
,ADSL,EQ,        41.90,                  5168920.95,121663
,ADVANIHOTR,EQ,        53.00,                  1907781.50,35866
,ADVANTA,EQ,       469.45,                 33169864.30,70420
,AEGISCHEM,EQ,       101.90,                 42458777.35,414105
,AFL,EQ,        77.75,                  4626687.40,59268
,AGARIND,EQ,       153.55,                 10108154.60,66646
,AGCNET,EQ,        92.30,                  1001625.60,10682
,AGRITECH,EQ,         5.45,                      113.00,20
,AGRODUTCH,EQ,         3.20,                    16969.30,5232
,AHLEAST,EQ,       142.10,                    33709.25,237
,AHLUCONT,EQ,       266.50,                  4001835.10,14901
,AHLWEST,EQ,       115.00,                    54159.00,463
,AIAENG,EQ,       907.55,                291500529.20,318049
,AIL,EQ,       578.75,                  4598396.00,7890
,AJANTPHARM,EQ,      1343.70,                169534252.65,126400
,AJMERA,EQ,       141.60,                  7275800.25,50388
,AKSHOPTFBR,EQ,        17.65,                 39146047.60,2240700
,AKZOINDIA,EQ,      1309.20,                  4616873.85,3517
,ALANKIT,EQ,        47.65,                 22566046.45,468767
,ALBK,EQ,        73.65,                 86923306.10,1178496
,ALCHEM,EQ,        20.50,                    48736.00,2371
,ALEMBICLTD,EQ,        44.20,                 39596843.95,894496
,ALICON,EQ,       330.85,                   667793.95,2023
,ALKALI,EQ,        56.05,                  2664808.15,47730
,ALKYLAMINE,EQ,       327.40,                  1024201.35,3135
,ALLCARGO,EQ,       381.00,                 59320407.40,155175
,ALLSEC,EQ,       132.50,                 14540638.35,110049
,ALMONDZ,EQ,        10.20,                    82394.30,8077
,ALOKTEXT,EQ,         7.15,                 34802698.25,4823388
,ALPA,BE,        54.90,                  2985626.70,54383
,ALPHAGEO,EQ,       636.95,                 10174887.25,15949
,ALPSINDUS,EQ,         4.30,                   178932.25,42639
,ALSTOMT&D,EQ,       479.95,                 19852746.80,41363
,AMARAJABAT,EQ,       883.25,                475325056.50,543705
,AMBIKCO,EQ,       873.55,                  5705744.15,6532
,AMDIND,EQ,        24.00,                   124956.80,5227
,AMRUTANJAN,EQ,       497.00,                 17479653.35,34910
,AMTEKAUTO,EQ,        43.10,                 68755643.80,1582268
,AMTL,EQ,        26.55,                  2861423.95,104186
,ANANTRAJ,EQ,        35.65,                 22996086.60,646138
,ANDHRABANK,EQ,        67.70,                 52272220.30,769820
,ANDHRACEMT,EQ,         6.00,                  2332824.10,401391
,ANDHRSUGAR,EQ,       136.05,                 10496771.45,77250
,ANGIND,EQ,        54.85,                 19443191.60,347417
,ANIKINDS,BE,        30.00,                    28780.00,1006
,ANKITMETAL,EQ,         1.75,                    99579.05,55701
,ANSALAPI,EQ,        24.10,                  7894711.85,336910
,ANSALHSG,EQ,        25.30,                   426647.45,16902
,ANTGRAPHIC,BE,          .15,                      619.80,4132
,APARINDS,EQ,       449.80,                  3797610.00,8405
,APCOTEXIND,EQ,       228.05,                  1233563.05,5337
,APLAPOLLO,EQ,       550.95,                  3646495.40,6667
,APLLTD,EQ,       677.90,                 36470016.30,53686
,APOLLOTYRE,EQ,       162.00,                337442222.90,2070483
,APOLSINHOT,BE,       206.15,                    17935.05,87
,APTECHT,EQ,        59.75,                 15595012.90,261869
,ARCHIDPLY,EQ,        53.05,                 12517144.00,235432
,ARCHIES,EQ,        27.70,                  2760232.90,99375
,ARCOTECH,EQ,       372.35,                 47613551.70,127883
,ARIES,EQ,        94.45,                  1761079.75,18513
,ARIHANT,EQ,        35.30,                     8132.75,215
,AROGRANITE,EQ,        56.85,                  1099208.95,19439
,ARROWCOAT,EQ,       733.20,                  4426242.85,5982
,ARROWTEX,EQ,        27.95,                   830647.10,29414
,ARSHIYA,EQ,        42.40,                 33871746.50,792892
,ARSSINFRA,EQ,        32.00,                  1770289.00,54921
,ARVIND,EQ,       298.25,                507032366.70,1683909
,ARVINDREM,BZ,         6.95,                  2076020.60,303301
,ARVINFRA,EQ,        85.95,                  7477322.65,87685
,ASAHIINDIA,EQ,       157.65,                  4718775.45,30494
,ASAHISONG,EQ,       134.25,                  1726452.70,12913
,ASAL,EQ,        37.60,                   165286.55,4409
,ASHAPURMIN,EQ,        60.20,                  1385895.05,22771
,ASHIANA,EQ,       167.20,                  1700522.60,10098
,ASHIMASYN,EQ,        10.80,                  1226816.05,112132
,ASHOKA,EQ,       179.10,                 18144275.25,99335
,ASIANHOTNR,EQ,       130.00,                   522891.20,3990
,ASIANTILES,EQ,       182.95,                  7258240.30,39411
,ASSAMCO,EQ,         4.20,                  2922074.65,694447
,ASTEC,EQ,       243.85,                  9126052.05,37402
,ASTRAL,EQ,       414.40,                  3534412.20,8534
,ASTRAMICRO,EQ,       142.70,                 32321019.85,225189
,ASTRAZEN,EQ,      1106.55,                  7456419.20,6735
,ATFL,EQ,       569.95,                  3069234.20,5396
,ATLANTA,EQ,        30.35,                   777995.05,25614
,ATLASCYCLE,EQ,       201.65,                  1256053.90,6208
,ATNINTER,EQ,          .20,                      600.00,3000
,ATUL,EQ,      1651.65,                 14220398.25,8557
,ATULAUTO,EQ,       519.60,                121822739.80,236508
,AURIONPRO,EQ,       226.30,                 20892002.20,91395
,AUSOMENT,EQ,        24.75,                     3445.85,147
,AUSTRAL,EQ,          .40,                    66513.00,165157
,AUTOAXLES,EQ,       691.85,                  2084352.55,3036
,AUTOIND,EQ,        42.65,                  1966216.80,45899
,AUTOLITIND,EQ,        54.35,                   180104.85,3323
,AVANTIFEED,EQ,      2636.50,                 24303602.60,9126
,AVTNPL,EQ,        33.15,                  1505197.40,45094
,AXISCADES,EQ,       359.85,                230867225.30,640745
,AXISGOLD,EQ,      2288.70,                   210665.90,92
,BAFNAPHARM,EQ,        36.95,                  4506985.65,120053
,BAGFILMS,EQ,         2.70,                   134108.50,48745
,BAJAJCORP,EQ,       452.20,                 47029117.85,105006
,BAJAJELEC,EQ,       224.70,                 26392604.55,117164
,BAJAJHIND,EQ,        19.60,                121946206.75,6222574
,BAJFINANCE,EQ,      5544.80,                347568452.65,62548
,BALAJITELE,EQ,       138.60,                 70432468.00,499488
,BALAMINES,EQ,       135.05,                  1474806.85,10821
