,04-Dec-2015
The Nifty witnessed an intraday movement of about 45.7 points.The closing index was 1.05 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 16883.23
, Traded Quantity (in Lakhs), 11194.25
, Number of Trades, 7285697
, Total Market Capitalisation (Rs. Crores), 9579325.83

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      7864.15,      7817.60,      7821.40,      7775.70,      7781.90,-82.25
,Nifty IT,     11081.90,     11034.65,     11037.95,     10940.30,     10969.05,-112.85
,Nifty Next 50,     19698.05,     19594.00,     19666.90,     19513.20,     19540.00,-158.05
,Nifty Bank,     17110.10,     17009.45,     17009.45,     16880.35,     16897.30,-212.8
,Nifty Midcap 100,     13287.40,     13215.85,     13276.80,     13174.45,     13190.90,-96.5
,Nifty 500,      6649.50,      6612.80,      6618.10,      6581.90,      6584.90,-64.6
,Nifty 100,      8002.30,      7955.80,      7960.60,      7916.80,      7921.80,-80.5
,Nifty Midcap 50,      3391.00,      3374.95,      3395.85,      3349.85,      3356.00,-35
,Nifty Realty,       174.70,       173.15,       173.95,       171.85,       172.15,-2.55
,Nifty Infra,      2729.25,      2712.85,      2726.15,      2694.05,      2697.40,-31.85
,Nifty Energy,      8278.25,      8232.75,      8262.15,      8164.85,      8171.70,-106.55
,Nifty FMCG,     20346.60,     20235.55,     20249.25,     20053.65,     20087.85,-258.75
,Nifty MNC,      9425.10,      9395.10,      9433.15,      9372.00,      9383.75,-41.35
,Nifty Pharma,     11587.30,     11524.70,     11812.70,     11489.75,     11645.05,57.75
,Nifty PSE,      3076.35,      3059.10,      3073.20,      3039.95,      3043.85,-32.5
,Nifty PSU Bank,      3110.65,      3093.10,      3095.65,      3064.50,      3085.15,-25.5
,Nifty Serv Sector,     10138.50,     10075.50,     10075.50,      9994.00,     10002.70,-135.8
,India VIX,16.0550,16.0550,16.5500,15.5625,16.0850,0.0300
,Nifty Auto,      8334.65,      8286.10,      8309.35,      8228.85,      8240.70,-93.95
,Nifty Metal,      1779.55,      1768.85,      1791.10,      1763.85,      1776.95,-2.6
,Nifty Media,      2457.95,      2446.40,      2448.80,      2390.55,      2394.90,-63.05
,Nifty Small 100,      5569.90,      5548.55,      5551.10,      5465.90,      5474.00,-95.9
,Nifty 200,      4156.15,      4132.15,      4135.35,      4111.55,      4113.95,-42.2
,Nifty Div Opps 50,      1898.90,      1888.55,      1893.10,      1879.50,      1880.80,-18.1
,Nifty Commodities,      2380.70,      2367.20,      2379.30,      2360.65,      2362.45,-18.25
,Nifty Consumption,      3543.50,      3524.90,      3527.45,      3504.00,      3508.00,-35.5
,Nifty Fin Service,      7005.10,      6962.80,      6962.80,      6890.85,      6899.10,-106
,Nifty50 Div Point,        95.23,        95.23,        95.23,        95.23,        95.23,0
,Nifty100 Liq 15,      3142.35,      3124.85,      3135.05,      3108.50,      3112.95,-29.4
,Nifty CPSE,      2061.20,      2047.55,      2063.65,      2044.65,      2047.45,-13.75
,Nifty GrowSect 15,      5126.15,      5097.80,      5098.65,      5066.10,      5072.10,-54.05
,Nifty50 PR 2x Lev,      3021.65,      2985.35,      2988.15,      2953.75,      2957.90,-63.75
,Nifty50 PR 1x Inv,       496.30,       499.35,       501.95,       499.10,       501.60,5.3
,Nifty50 TR 2x Lev,      3532.95,      3490.50,      3493.75,      3453.50,      3458.40,-74.55
,Nifty50 TR 1x Inv,       458.95,       461.75,       464.15,       461.55,       463.85,4.9
,Nifty50 Value 20,      3530.65,      3508.15,      3511.35,      3486.45,      3495.55,-35.1

,ADVANCES,532
,DECLINES,996
,UNCHANGED,63

,Total securities that have hit their price bands today,121

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SUNPHARMA,EQ,       726.90,       755.40,3.92,1856.78
,RCOM,EQ,        83.60,        80.95,-3.17,515.48
,INFY,EQ,      1057.75,      1049.05,-0.82,438.59
,TATAMOTORS,EQ,       405.60,       399.95,-1.39,343.07
,HDFC,EQ,      1200.20,      1171.60,-2.38,341.2
,JETAIRWAYS,EQ,       568.90,       555.85,-2.29,336.54
,AXISBANK,EQ,       462.50,       460.50,-0.43,321.88
,ITC,EQ,       343.35,       335.95,-2.16,307.35
,RELIANCE,EQ,       977.20,       965.45,-1.2,297.29
,MARUTI,EQ,      4627.05,      4600.35,-0.58,267.31
,SBIN,EQ,       241.10,       241.10,0,267.06
,MOTHERSUMI,EQ,       282.85,       280.25,-0.92,248.42
,ICICIBANK,EQ,       265.80,       261.45,-1.64,216.46
,LT,EQ,      1347.85,      1339.85,-0.59,197.18
,GMRINFRA,EQ,        18.10,        15.45,-14.64,195.35
,LUPIN,EQ,      1821.65,      1804.75,-0.93,172.94
,MANINFRA,EQ,        45.75,        47.45,3.72,165.35
,HCLTECH,EQ,       851.15,       836.00,-1.78,158.3
,HDFCBANK,EQ,      1076.75,      1058.90,-1.66,155.6
,ASHOKLEY,EQ,        91.95,        90.25,-1.85,151.79
,TCS,EQ,      2350.75,      2328.40,-0.95,145.17
,TATASTEEL,EQ,       240.15,       240.25,0.04,133.67
,AUROPHARMA,EQ,       820.75,       806.90,-1.69,126.29
,INDUSINDBK,EQ,       946.70,       942.95,-0.4,125.44
,TATAELXSI,EQ,      1996.80,      1976.15,-1.03,122.38

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,SUNPHARMA,EQ,       755.40,       726.90,3.92
,CAIRN,EQ,       139.35,       136.50,2.09
,BHARTIARTL,EQ,       321.30,       319.55,.55
,ULTRACEMCO,EQ,      2867.10,      2859.35,.27
,COALINDIA,EQ,       335.25,       334.80,.13

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ZEEL,EQ,       395.65,       409.60,-3.41
,BANKBARODA,EQ,       166.90,       171.25,-2.54
,HDFC,EQ,      1171.60,      1200.20,-2.38
,NTPC,EQ,       130.40,       133.50,-2.32
,POWERGRID,EQ,       130.75,       133.80,-2.28

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        28.75,                  1421432.20,48937
,3IINFOTECH,EQ,         5.15,                 81105043.75,16790313
,3MINDIA,EQ,     11174.25,                  7096578.70,633
,8KMILES,EQ,      1870.30,                 15537636.35,8284
,A2ZINFRA,EQ,        25.20,                  6296508.15,245209
,AARTIDRUGS,EQ,       555.70,                 11847979.85,21321
,AARTIIND,EQ,       498.00,                 10604944.35,21199
,AARVEEDEN,EQ,        61.65,                   366041.05,5922
,ABAN,EQ,       226.30,                289488928.40,1264006
,ABB,EQ,      1153.80,                 46389567.95,40153
,ABBOTINDIA,EQ,      5171.80,                  5199583.60,1006
,ABCIL,EQ,       234.25,                  1353003.85,5769
,ABGSHIP,EQ,        69.35,                 37799574.25,538990
,ABIRLANUVO,EQ,      2077.50,                378174008.45,181853
,ACCELYA,EQ,       948.80,                  5329632.45,5656
,ACE,EQ,        43.70,                 11710233.65,260247
,ACROPETAL,EQ,         2.75,                    43938.80,15730
,ADANIENT,EQ,        79.00,                204159975.55,2526335
,ADANIPOWER,EQ,        30.25,                370063630.20,11901245
,ADANITRANS,EQ,        37.40,                 40157258.45,1060666
,ADFFOODS,EQ,        94.10,                  7355016.80,77227
,ADHUNIK,EQ,        16.25,                  1759579.65,107560
,ADI,EQ,       232.90,                   709620.30,3043
,ADLABS,EQ,       124.25,                  6082799.30,48432
,ADORWELD,EQ,       334.70,                 14162990.70,41868
,ADSL,EQ,        49.85,                 24825695.05,490605
,ADVANIHOTR,EQ,        54.10,                   265195.55,4844
,ADVANTA,EQ,       433.45,                  6813169.30,15613
,AEGISCHEM,EQ,       110.85,                116315434.85,1038646
,AFL,EQ,        75.20,                  2193073.35,28804
,AGARIND,EQ,       182.30,                  4452502.75,24383
,AGCNET,EQ,        93.10,                   218904.20,2352
,AGRITECH,EQ,         5.65,                       56.50,10
,AGRODUTCH,EQ,         3.35,                    41088.10,12051
,AHLEAST,EQ,       162.85,                  1352817.00,8340
,AHLUCONT,EQ,       264.00,                  1689069.10,6370
,AHLWEST,EQ,       120.25,                    19902.80,165
,AIAENG,EQ,       900.20,                 10040582.35,11135
,AICHAMP,BE,        22.20,                       22.20,1
,AIFL,EQ,       269.90,                  7594720.90,27785
,AIL,EQ,       588.40,                 90496306.80,153908
,AJANTPHARM,EQ,      1335.05,                159349657.00,118563
,AJMERA,EQ,       156.70,                 20350679.35,128044
,AKSHOPTFBR,EQ,        18.45,                 40910129.95,2180822
,AKZOINDIA,EQ,      1307.30,                 24452433.85,18818
,ALANKIT,EQ,        47.50,                 30806254.10,648401
,ALBK,EQ,        73.10,                113054417.20,1531907
,ALCHEM,EQ,        25.55,                   697469.05,26917
,ALEMBICLTD,EQ,        45.45,                 24182451.25,524633
,ALICON,EQ,       354.10,                  1294005.90,3638
,ALKALI,EQ,        54.20,                   331289.60,6033
,ALKYLAMINE,EQ,       313.75,                   688429.55,2190
,ALLCARGO,EQ,       378.00,                 44153083.90,116480
,ALLSEC,EQ,       152.85,                 16390127.35,107719
,ALMONDZ,EQ,        10.20,                    75249.05,7238
,ALOKTEXT,EQ,         7.00,                 29799049.20,4208340
,ALPA,BE,        77.00,                  1270192.00,16496
,ALPHAGEO,EQ,       659.60,                  3149464.35,4760
,ALPSINDUS,EQ,         5.75,                    93132.75,16197
,ALSTOMT&D,EQ,       490.00,                 19684113.25,40187
,AMARAJABAT,EQ,       844.05,                491225947.20,583130
,AMBIKCO,EQ,       855.05,                  1555688.10,1814
,AMDIND,EQ,        29.55,                  4563625.90,148711
,AMRUTANJAN,EQ,       485.80,                 14199985.75,28973
,AMTEKAUTO,EQ,        45.70,                398055039.00,8447153
,AMTL,EQ,        26.00,                   215067.05,8311
,ANANTRAJ,EQ,        37.15,                 16380273.70,436584
,ANDHRABANK,EQ,        66.10,                 95299467.55,1429015
,ANDHRACEMT,EQ,         6.40,                  1203702.45,185233
,ANDHRSUGAR,EQ,       132.05,                   924140.45,7024
,ANGIND,EQ,        53.45,                  7111432.60,131223
,ANIKINDS,BE,        29.35,                    39364.00,1351
,ANKITMETAL,EQ,         2.00,                    97842.60,49589
,ANSALAPI,EQ,        21.45,                  8757374.30,401809
,ANSALHSG,EQ,        25.45,                  1074043.15,42068
,APARINDS,EQ,       460.15,                  4238400.25,9204
,APCOTEXIND,EQ,       242.35,                  4215118.10,17224
,APLAPOLLO,EQ,       597.35,                  9647591.65,16012
,APLLTD,EQ,       681.35,                 24616726.05,36006
,APOLLOTYRE,EQ,       155.20,                278942052.15,1789734
,APOLSINHOT,BE,       194.00,                     2041.00,10
,APTECHT,EQ,        62.70,                 29640717.75,465928
,ARCHIDPLY,EQ,        55.45,                  3515364.45,62890
