,09-Dec-2015
The Nifty witnessed an intraday movement of about 95.95 points.The closing index was 1.16 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 14890.3
, Traded Quantity (in Lakhs), 9114.77
, Number of Trades, 6837970
, Total Market Capitalisation (Rs. Crores), 9325996.43

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      7701.70,      7695.50,      7702.85,      7606.90,      7612.50,-89.2
,Nifty IT,     10981.85,     10978.25,     11027.30,     10916.25,     10930.05,-51.8
,Nifty Next 50,     19365.20,     19334.75,     19359.30,     18991.15,     19009.20,-356
,Nifty Bank,     16801.15,     16762.15,     16868.60,     16626.55,     16660.75,-140.4
,Nifty Midcap 100,     13022.65,     13009.95,     13021.65,     12763.20,     12792.85,-229.8
,Nifty 500,      6515.15,      6510.00,      6511.95,      6420.95,      6425.35,-89.8
,Nifty 100,      7842.00,      7834.70,      7839.15,      7736.90,      7742.25,-99.75
,Nifty Midcap 50,      3291.75,      3285.20,      3292.35,      3206.10,      3221.25,-70.5
,Nifty Realty,       166.10,       166.35,       166.35,       161.80,       164.05,-2.05
,Nifty Infra,      2659.80,      2655.25,      2656.05,      2617.70,      2621.05,-38.75
,Nifty Energy,      7990.80,      7971.05,      7988.45,      7837.35,      7849.45,-141.35
,Nifty FMCG,     19518.60,     19672.65,     19672.65,     19426.15,     19448.45,-70.15
,Nifty MNC,      9366.50,      9356.25,      9369.40,      9190.80,      9205.50,-161
,Nifty Pharma,     11610.35,     11560.45,     11592.40,     11351.45,     11372.05,-238.3
,Nifty PSE,      2967.30,      2962.70,      2963.45,      2928.35,      2931.05,-36.25
,Nifty PSU Bank,      3011.45,      3004.05,      3036.85,      2975.45,      2982.10,-29.35
,Nifty Serv Sector,      9957.00,      9940.25,      9968.20,      9857.90,      9863.05,-93.95
,India VIX,15.9725,15.9725,16.9175,15.3700,16.7250,0.7525
,Nifty Auto,      8210.35,      8199.25,      8212.80,      8059.95,      8067.90,-142.45
,Nifty Metal,      1713.30,      1704.75,      1707.30,      1651.30,      1658.80,-54.5
,Nifty Media,      2395.85,      2398.80,      2408.85,      2350.90,      2360.75,-35.1
,Nifty Small 100,      5380.70,      5379.70,      5383.20,      5231.30,      5256.50,-124.2
,Nifty 200,      4071.20,      4067.65,      4069.20,      4014.55,      4017.45,-53.75
,Nifty Div Opps 50,      1844.45,      1846.60,      1847.00,      1824.40,      1826.85,-17.6
,Nifty Commodities,      2309.45,      2302.90,      2303.40,      2256.05,      2259.20,-50.25
,Nifty Consumption,      3483.55,      3491.30,      3491.30,      3432.75,      3436.55,-47
,Nifty Fin Service,      6864.90,      6845.75,      6879.05,      6795.25,      6803.40,-61.5
,Nifty50 Div Point,        95.23,        95.23,        95.23,        95.23,        95.23,0
,Nifty100 Liq 15,      3094.60,      3089.60,      3098.00,      3033.85,      3038.15,-56.45
,Nifty CPSE,      1968.45,      1962.95,      1965.25,      1933.90,      1938.95,-29.5
,Nifty GrowSect 15,      5019.10,      5024.15,      5024.15,      4972.75,      4976.25,-42.85
,Nifty50 PR 2x Lev,      2894.95,      2889.75,      2895.00,      2823.35,      2827.30,-67.65
,Nifty50 PR 1x Inv,       507.15,       507.65,       513.50,       507.20,       513.15,6
,Nifty50 TR 2x Lev,      3384.75,      3378.70,      3384.85,      3301.05,      3305.70,-79.05
,Nifty50 TR 1x Inv,       468.95,       469.45,       474.80,       469.00,       474.50,5.55
,Nifty50 Value 20,      3461.65,      3455.60,      3462.45,      3415.90,      3419.40,-42.25

,ADVANCES,188
,DECLINES,1375
,UNCHANGED,43

,Total securities that have hit their price bands today,153

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,TCS,EQ,      2329.00,      2367.65,1.66,623.7
,AXISBANK,EQ,       458.80,       450.60,-1.79,395.28
,SUNPHARMA,EQ,       770.90,       759.15,-1.52,374.32
,INFY,EQ,      1044.40,      1028.20,-1.55,353.25
,JETAIRWAYS,EQ,       573.05,       560.40,-2.21,327.68
,ITC,EQ,       314.75,       317.40,0.84,319.23
,DRREDDY,EQ,      3063.20,      2995.20,-2.22,311.27
,LT,EQ,      1322.10,      1300.70,-1.62,290.22
,MARUTI,EQ,      4542.55,      4479.10,-1.4,273.13
,TATAMOTORS,EQ,       402.40,       393.95,-2.1,242.6
,GLENMARK,EQ,       929.70,       882.40,-5.09,202.94
,HDFC,EQ,      1171.55,      1153.25,-1.56,197.67
,WOCKPHARMA,EQ,      1639.10,      1563.90,-4.59,195.47
,RELIANCE,EQ,       940.90,       915.90,-2.66,193.93
,BHARATFORG,EQ,       827.70,       793.40,-4.14,193.9
,ICICIBANK,EQ,       261.45,       259.45,-0.76,191.93
,SBIN,EQ,       235.95,       234.40,-0.66,174.7
,LUPIN,EQ,      1804.35,      1759.95,-2.46,162.41
,YESBANK,EQ,       725.75,       716.70,-1.25,149.17
,M&M,EQ,      1314.25,      1312.10,-0.16,148.56
,HAVELLS,EQ,       291.80,       283.05,-3,145.94
,BHARTIARTL,EQ,       317.85,       310.85,-2.2,145.32
,INFRATEL,EQ,       402.90,       397.15,-1.43,139.7
,DLF,EQ,       110.40,       110.45,0.05,139.27
,RELCAPITAL,EQ,       412.20,       400.60,-2.81,125.3

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BHEL,EQ,       168.90,       164.70,2.55
,TCS,EQ,      2367.65,      2329.00,1.66
,ITC,EQ,       317.40,       314.75,.84
,ONGC,EQ,       217.10,       215.75,.63
,NTPC,EQ,       130.15,       130.05,.08

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,VEDL,EQ,        82.25,        87.15,-5.62
,TATASTEEL,EQ,       226.85,       234.75,-3.37
,COALINDIA,EQ,       307.60,       318.00,-3.27
,BPCL,EQ,       882.25,       912.00,-3.26
,BAJAJ-AUTO,EQ,      2389.30,      2462.65,-2.98

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        27.45,                   863734.05,31132
,3IINFOTECH,EQ,         5.15,                 56626777.25,10604617
,3MINDIA,EQ,     10623.00,                 11257259.45,1042
,8KMILES,EQ,      1721.55,                 49902431.65,28191
,A2ZINFRA,EQ,        24.30,                  3428834.85,139509
,AARTIDRUGS,EQ,       527.70,                 12971341.75,24508
,AARTIIND,EQ,       486.75,                  8235301.50,16785
,AARVEEDEN,EQ,        56.00,                   421085.85,7283
,ABAN,EQ,       209.80,                168973813.25,797519
,ABB,EQ,      1132.25,                 17165158.85,15175
,ABBOTINDIA,EQ,      5300.55,                  9174143.30,1732
,ABCIL,EQ,       232.10,                  2629053.75,11314
,ABGSHIP,EQ,        62.75,                 33630669.20,518811
,ABIRLANUVO,EQ,      1932.25,                321028790.60,164126
,ACCELYA,EQ,       921.25,                  1990526.20,2151
,ACE,EQ,        40.45,                  6696203.30,162608
,ACROPETAL,EQ,         2.85,                    66772.05,23316
,ADANIENT,EQ,        75.30,                243358492.10,3218816
,ADANIPOWER,EQ,        26.35,                221465579.40,8262419
,ADANITRANS,EQ,        33.55,                121676493.45,3502960
,ADFFOODS,EQ,        85.95,                  7424662.85,84037
,ADHUNIK,EQ,        14.90,                  1162969.20,77213
,ADI,EQ,       223.30,                   906458.05,4093
,ADLABS,EQ,       114.00,                  3056872.20,26436
,ADORWELD,EQ,       309.55,                  6341321.25,20518
,ADSL,EQ,        45.00,                 26631994.75,570733
,ADVANIHOTR,EQ,        52.85,                   861712.75,16622
,ADVANTA,EQ,       401.10,                  6693102.55,16525
,AEGISCHEM,EQ,       100.25,                 42170834.75,414084
,AFL,EQ,        68.85,                  2307735.10,32918
,AGARIND,EQ,       173.60,                  1657549.15,9485
,AGCNET,EQ,        87.90,                   495309.10,5539
,AGRITECH,EQ,         6.45,                     2257.50,350
,AGRODUTCH,EQ,         3.10,                    95210.10,30124
,AHLEAST,EQ,       162.10,                   300275.80,1843
,AHLUCONT,EQ,       248.35,                  3346744.00,13404
,AHLWEST,EQ,       115.00,                     7363.00,62
,AIAENG,EQ,       867.00,                 25715872.50,29659
,AICHAMP,BE,        25.65,                       25.65,1
,AIFL,EQ,       251.20,                  9698842.20,37763
,AIL,EQ,       585.10,                  4823968.45,8218
,AJANTPHARM,EQ,      1260.90,                261143714.00,203439
,AJMERA,EQ,       143.10,                 25747524.95,176464
,AKSHOPTFBR,EQ,        16.45,                 25961826.90,1533084
,AKZOINDIA,EQ,      1307.60,                 14543740.90,11180
,ALANKIT,EQ,        46.55,                 21661369.60,463358
,ALBK,EQ,        69.45,                 95934449.95,1369149
,ALCHEM,EQ,        23.65,                   321714.50,13291
,ALEMBICLTD,EQ,        41.80,                 20961852.65,495461
,ALICON,EQ,       326.55,                  1168137.45,3571
,ALKALI,EQ,        53.80,                   622037.75,11403
,ALKYLAMINE,EQ,       307.05,                  1026078.80,3305
,ALLCARGO,EQ,       351.05,                 53307751.75,149629
,ALLSEC,EQ,       132.10,                  1406132.55,10644
,ALMONDZ,EQ,         9.85,                    45247.95,4547
,ALOKTEXT,EQ,         6.60,                 32758228.20,4879780
,ALPA,BE,        66.05,                   757461.40,11468
,ALPHAGEO,EQ,       651.70,                 10585013.35,15947
,ALPSINDUS,EQ,         6.00,                   816133.50,129792
,ALSTOMT&D,EQ,       481.30,                 14413197.20,30117
,AMARAJABAT,EQ,       838.10,                391418924.15,465914
,AMBIKCO,EQ,       840.00,                 18423300.90,21752
,AMDIND,EQ,        24.25,                  1239165.45,49504
,AMRUTANJAN,EQ,       463.65,                  8957578.65,19130
,AMTEKAUTO,EQ,        49.00,                666971256.95,13218018
,AMTL,EQ,        22.70,                  3724812.30,165360
,ANANDAMRUB,BE,        16.50,                     1650.00,100
,ANANTRAJ,EQ,        34.90,                 18640383.10,526423
,ANDHRABANK,EQ,        63.15,                 74045752.25,1162568
,ANDHRACEMT,EQ,         6.50,                  3763312.90,557379
,ANDHRSUGAR,EQ,       125.85,                  2008470.45,15799
,ANGIND,EQ,        45.30,                  9417855.20,201533
,ANIKINDS,BE,        27.80,                     2809.80,101
,ANKITMETAL,EQ,         2.00,                    70918.25,35776
,ANSALAPI,EQ,        23.70,                 30975377.60,1238943
,ANSALHSG,EQ,        25.15,                  1824762.35,71218
,ANTGRAPHIC,BE,          .25,                    59793.50,235518
,APARINDS,EQ,       468.65,                 11497775.50,24283
,APCOTEXIND,EQ,       224.00,                  1870106.05,8294
,APLAPOLLO,EQ,       583.20,                 78356469.05,135186
,APLLTD,EQ,       670.95,                 34040954.60,50149
,APOLLOTYRE,EQ,       151.10,                255111304.00,1671180
,APTECHT,EQ,        60.40,                 33453018.90,542890
