,28-Dec-2015
The Nifty witnessed an intraday movement of about 74.2 points.The closing index was 0.82 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 14251.41
, Traded Quantity (in Lakhs), 7827.87
, Number of Trades, 5875134
, Total Market Capitalisation (Rs. Crores), 9794118.46

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      7861.05,      7863.20,      7937.20,      7863.00,      7925.15,64.1
,Nifty IT,     11184.90,     11152.70,     11303.05,     11146.85,     11271.80,86.9
,Nifty Next 50,     19785.15,     19813.95,     19889.55,     19813.50,     19850.10,64.95
,Nifty Bank,     16811.00,     16843.40,     17019.00,     16843.40,     16979.15,168.15
,Nifty Midcap 100,     13337.35,     13368.50,     13381.85,     13330.40,     13345.25,7.9
,Nifty 500,      6656.75,      6663.45,      6707.25,      6663.45,      6700.70,43.95
,Nifty 100,      8005.55,      8009.30,      8074.35,      8009.30,      8064.30,58.75
,Nifty Midcap 50,      3366.70,      3374.20,      3386.05,      3367.85,      3376.10,9.4
,Nifty Realty,       170.90,       171.15,       172.25,       170.70,       171.80,.9
,Nifty Infra,      2745.90,      2751.00,      2756.00,      2740.60,      2752.65,6.75
,Nifty Energy,      8454.90,      8462.15,      8568.70,      8462.15,      8552.70,97.8
,Nifty FMCG,     20057.80,     20037.85,     20184.60,     20037.85,     20152.75,94.95
,Nifty MNC,      9557.55,      9561.90,      9599.15,      9561.35,      9579.25,21.7
,Nifty Pharma,     11795.75,     11816.35,     12036.40,     11816.35,     12009.00,213.25
,Nifty PSE,      3089.00,      3094.20,      3122.90,      3094.20,      3116.95,27.95
,Nifty PSU Bank,      2909.45,      2919.10,      2933.10,      2912.60,      2921.50,12.05
,Nifty Serv Sector,     10186.45,     10185.15,     10282.25,     10185.15,     10259.75,73.3
,India VIX,13.7450,13.7450,14.5250,10.3750,14.4025,0.6575
,Nifty Auto,      8136.60,      8157.60,      8234.85,      8156.80,      8228.40,91.8
,Nifty Metal,      1835.85,      1841.60,      1844.45,      1805.90,      1815.95,-19.9
,Nifty Media,      2522.15,      2529.85,      2553.85,      2528.90,      2535.60,13.45
,Nifty Small 100,      5603.15,      5619.65,      5645.90,      5617.80,      5621.15,18
,Nifty 200,      4159.35,      4162.35,      4192.60,      4162.35,      4187.65,28.3
,Nifty Div Opps 50,      1895.95,      1896.85,      1911.05,      1896.85,      1909.45,13.5
,Nifty Commodities,      2405.65,      2409.55,      2418.80,      2408.10,      2415.70,10.05
,Nifty Consumption,      3572.10,      3575.75,      3584.15,      3566.75,      3573.25,1.15
,Nifty Fin Service,      6968.30,      6978.40,      7028.50,      6978.40,      7014.15,45.85
,Nifty50 Div Point,        95.23,        95.23,        95.23,        95.23,        95.23,0
,Nifty100 Liq 15,      3081.75,      3087.65,      3111.15,      3086.35,      3108.20,26.45
,Nifty CPSE,      2040.30,      2044.00,      2064.30,      2044.00,      2057.45,17.15
,Nifty GrowSect 15,      5151.15,      5144.65,      5207.00,      5144.65,      5199.95,48.8
,Nifty50 PR 2x Lev,      3004.40,      3003.75,      3059.95,      3003.75,      3051.10,46.7
,Nifty50 PR 1x Inv,       497.90,       498.15,       498.15,       493.50,       494.20,-3.7
,Nifty50 TR 2x Lev,      3512.70,      3512.00,      3577.65,      3512.00,      3567.35,54.65
,Nifty50 TR 1x Inv,       460.40,       460.60,       460.60,       456.30,       457.00,-3.4
,Nifty50 Value 20,      3554.95,      3555.00,      3594.20,      3555.00,      3587.20,32.25

,ADVANCES,875
,DECLINES,677
,UNCHANGED,67

,Total securities that have hit their price bands today,153

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,TCS,EQ,      2434.25,      2462.70,1.17,454.69
,SUNPHARMA,EQ,       790.85,       811.60,2.62,345.08
,JETAIRWAYS,EQ,       609.45,       638.00,4.68,343.36
,INFY,EQ,      1096.35,      1104.75,0.77,305.5
,ALKEM,EQ,      1523.75,      1468.40,-3.63,301.07
,RELIANCE,EQ,      1000.55,      1010.40,0.98,297.27
,LALPATHLAB,EQ,       896.05,       835.35,-6.77,291.68
,ICICIBANK,EQ,       257.95,       264.05,2.36,288.6
,TATAMOTORS,EQ,       382.40,       394.00,3.03,280.59
,PIPAVAVDOC,EQ,       100.25,        98.20,-2.04,279.08
,AXISBANK,EQ,       450.75,       455.35,1.02,268.12
,DRREDDY,EQ,      3010.00,      3120.70,3.68,232.27
,HDFCBANK,EQ,      1074.00,      1077.25,0.3,208.61
,INDIGO,EQ,      1164.45,      1194.15,2.55,207.44
,HDFC,EQ,      1229.55,      1227.65,-0.15,203.51
,LT,EQ,      1294.50,      1295.15,0.05,203.38
,SBIN,EQ,       228.30,       228.90,0.26,200.52
,ITC,EQ,       323.70,       326.20,0.77,197.26
,RELINFRA,EQ,       493.20,       491.20,-0.41,193.38
,KSCL,EQ,       346.90,       368.95,6.36,172.37
,BHARATFORG,EQ,       860.25,       904.70,5.17,155.21
,TATASTEEL,EQ,       263.35,       254.10,-3.51,136.47
,BFUTILITIE,EQ,       669.35,       679.65,1.54,127.72
,MARUTI,EQ,      4598.40,      4640.00,0.9,125.84
,LUPIN,EQ,      1803.90,      1840.95,2.05,124.56

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,DRREDDY,EQ,      3120.70,      3010.00,3.68
,NTPC,EQ,       143.95,       139.30,3.34
,TATAMOTORS,EQ,       394.00,       382.40,3.03
,ONGC,EQ,       240.20,       233.85,2.72
,SUNPHARMA,EQ,       811.60,       790.85,2.62

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TATASTEEL,EQ,       254.10,       263.35,-3.51
,BHARTIARTL,EQ,       331.75,       338.45,-1.98
,IDEA,EQ,       139.80,       141.20,-0.99
,ACC,EQ,      1330.85,      1344.15,-0.99
,BHEL,EQ,       171.45,       172.70,-0.72

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        33.10,                  8559729.70,252941
,3IINFOTECH,EQ,         4.90,                  9459759.00,1902730
,3MINDIA,EQ,     10595.60,                 10652748.65,1009
,8KMILES,EQ,      2060.50,                 71694344.00,34646
,A2ZINFRA,EQ,        27.25,                 10936310.75,391066
,AARTIDRUGS,EQ,       566.25,                  6020279.25,10617
,AARTIIND,EQ,       517.60,                 64154875.05,123851
,AARVEEDEN,EQ,        62.45,                   181266.45,2873
,ABAN,EQ,       219.75,                165426097.30,751017
,ABB,EQ,      1118.90,                 22254041.45,19844
,ABBOTINDIA,EQ,      5700.40,                  9676055.60,1698
,ABCIL,EQ,       232.15,                  1869348.00,8017
,ABGSHIP,EQ,        66.40,                 36505736.55,546512
,ABIRLANUVO,EQ,      2088.50,                241361233.50,116540
,ACCELYA,EQ,       933.25,                 46767145.05,50120
,ACE,EQ,        46.70,                 33921206.95,722099
,ACROPETAL,EQ,         3.15,                   210466.40,64780
,ADANIENT,EQ,        84.00,                179128031.40,2132077
,ADANIPOWER,EQ,        30.20,                116339381.80,3855945
,ADANITRANS,EQ,        36.80,                 32513956.95,876915
,ADFFOODS,EQ,        96.75,                 36847747.95,380668
,ADHUNIK,EQ,        15.40,                  1532104.90,98695
,ADI,EQ,       243.05,                  2934401.00,12102
,ADLABS,EQ,       139.30,                 57869843.10,419941
,ADORWELD,EQ,       331.75,                  3044458.90,9120
,ADSL,EQ,        53.85,                 17994101.25,331962
,ADVANIHOTR,EQ,        51.50,                    53202.35,1034
,ADVANTA,EQ,       438.80,                  1801238.60,4093
,AEGISCHEM,EQ,       104.10,                 17839341.95,171537
,AFL,EQ,        88.30,                  1603826.70,17855
,AGARIND,EQ,       196.60,                  4770209.55,24016
,AGCNET,EQ,        98.95,                   599747.15,5964
,AGRITECH,EQ,         8.00,                    12190.00,1490
,AGRODUTCH,EQ,         4.20,                   116236.25,27361
,AHLEAST,EQ,       161.05,                   170289.65,1055
,AHLUCONT,EQ,       280.30,                  2481214.70,8866
,AHLWEST,EQ,       122.55,                    80576.10,660
,AIAENG,EQ,       892.85,                 35322193.30,39416
,AICHAMP,BE,        39.00,                    67302.35,1740
,AIFL,EQ,       289.90,                 13434905.00,46971
,AIL,EQ,       663.75,                 22094922.55,33736
,AJANTPHARM,EQ,      1346.90,                221039996.20,164391
,AJMERA,EQ,       184.80,                172443424.05,942811
,AKSHOPTFBR,EQ,        18.00,                 37797488.50,2073613
,AKZOINDIA,EQ,      1380.05,                  8240670.35,5967
,ALANKIT,EQ,        56.10,                 34588843.15,622065
,ALBK,EQ,        71.15,                 60558660.50,851933
,ALCHEM,EQ,        32.65,                  1138264.05,34522
,ALEMBICLTD,EQ,        49.85,                 50579581.20,999676
,ALICON,EQ,       339.60,                   804793.55,2358
,ALKALI,EQ,        63.70,                  1229495.20,19206
,ALKEM,EQ,      1468.40,               3010662779.00,2046162
,ALKYLAMINE,EQ,       377.05,                  1235843.75,3268
,ALLCARGO,EQ,       415.80,                221832791.95,534787
,ALLSEC,EQ,       134.15,                  9958917.20,74276
,ALMONDZ,EQ,        10.10,                    10985.20,1107
,ALOKTEXT,EQ,         6.25,                 21164859.15,3380309
,ALPA,BE,        80.50,                  9042596.65,114188
,ALPHAGEO,EQ,       582.80,                 12187142.20,21174
,ALPSINDUS,EQ,         5.85,                    50102.65,8632
,ALSTOMT&D,EQ,       471.35,                 16755991.40,35535
,AMARAJABAT,EQ,       860.70,                112879470.00,131114
,AMBIKCO,EQ,       934.50,                 24239721.35,25697
,AMDIND,EQ,        34.85,                 15352136.15,450308
,AMRUTANJAN,EQ,       492.05,                  5360876.95,10841
,AMTEKAUTO,EQ,        51.90,                147463220.35,2819651
,AMTL,EQ,        32.65,                  1288814.35,37608
,ANANDAMRUB,EQ,        29.80,                    41616.55,1396
,ANANTRAJ,EQ,        42.00,                 43568018.30,1028418
,ANDHRABANK,EQ,        64.05,                 34009483.00,530382
,ANDHRACEMT,EQ,         8.80,                  4016473.10,449875
,ANDHRSUGAR,EQ,       138.95,                  8269695.15,59770
,ANGIND,EQ,        49.95,                  5013259.20,98980
,ANIKINDS,BE,        30.00,                    20787.50,700
,ANKITMETAL,EQ,         1.95,                    94267.50,47694
,ANSALAPI,EQ,        23.95,                  4054404.15,168249
,ANSALHSG,EQ,        28.50,                  3390039.20,120860
,ANTGRAPHIC,BE,          .65,                    62244.00,95760
,APARINDS,EQ,       515.45,                  5025432.00,9721
,APCOTEXIND,EQ,       237.80,                  5137969.55,21359
,APLAPOLLO,EQ,       765.25,                 17685993.30,23196
,APLLTD,EQ,       704.40,                105338621.70,150101
