,29-Dec-2015
The Nifty witnessed an intraday movement of about 39.4 points.The closing index was 0.05 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 14483.75
, Traded Quantity (in Lakhs), 8653.98
, Number of Trades, 6445994
, Total Market Capitalisation (Rs. Crores), 9796841.92

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      7925.15,      7929.20,      7942.15,      7902.75,      7928.95,3.8
,Nifty IT,     11271.80,     11257.05,     11287.50,     11206.60,     11253.45,-18.35
,Nifty Next 50,     19850.10,     19886.25,     19940.75,     19856.20,     19912.50,62.4
,Nifty Bank,     16979.15,     16988.30,     17045.55,     16921.15,     16991.45,12.3
,Nifty Midcap 100,     13345.25,     13390.50,     13404.90,     13340.00,     13373.50,28.25
,Nifty 500,      6700.70,      6707.65,      6717.25,      6685.45,      6705.25,4.55
,Nifty 100,      8064.30,      8070.20,      8082.95,      8046.45,      8071.75,7.45
,Nifty Midcap 50,      3376.10,      3388.00,      3393.10,      3370.30,      3388.90,12.8
,Nifty Realty,       171.80,       171.95,       173.00,       169.40,       169.60,-2.2
,Nifty Infra,      2752.65,      2761.80,      2767.05,      2744.60,      2754.25,1.6
,Nifty Energy,      8552.70,      8562.50,      8600.25,      8532.70,      8568.40,15.7
,Nifty FMCG,     20152.75,     20175.75,     20232.85,     20018.15,     20053.80,-98.95
,Nifty MNC,      9579.25,      9584.60,      9588.15,      9538.25,      9558.05,-21.2
,Nifty Pharma,     12009.00,     12050.85,     12091.50,     11984.00,     12022.35,13.35
,Nifty PSE,      3116.95,      3125.05,      3130.60,      3104.20,      3109.20,-7.75
,Nifty PSU Bank,      2921.50,      2925.25,      2933.45,      2899.60,      2908.95,-12.55
,Nifty Serv Sector,     10259.75,     10259.10,     10293.15,     10238.95,     10277.55,17.8
,India VIX,14.4025,14.4025,14.7100,13.3325,14.2350,-0.1675
,Nifty Auto,      8228.40,      8232.75,      8285.15,      8232.75,      8268.80,40.4
,Nifty Metal,      1815.95,      1822.85,      1827.95,      1809.60,      1811.95,-4
,Nifty Media,      2535.60,      2538.25,      2554.80,      2532.00,      2547.90,12.3
,Nifty Small 100,      5621.15,      5640.20,      5645.60,      5574.85,      5607.75,-13.4
,Nifty 200,      4187.65,      4191.75,      4198.15,      4179.30,      4192.45,4.8
,Nifty Div Opps 50,      1909.45,      1911.00,      1913.75,      1905.25,      1909.60,.15
,Nifty Commodities,      2415.70,      2420.55,      2425.20,      2411.40,      2419.65,3.95
,Nifty Consumption,      3573.25,      3578.20,      3586.20,      3571.05,      3583.50,10.25
,Nifty Fin Service,      7014.15,      7017.00,      7044.60,      7003.80,      7032.00,17.85
,Nifty50 Div Point,        95.23,        95.23,        95.23,        95.23,        95.23,0
,Nifty100 Liq 15,      3108.20,      3112.75,      3117.15,      3096.00,      3106.90,-1.3
,Nifty CPSE,      2057.45,      2060.35,      2065.40,      2048.25,      2054.20,-3.25
,Nifty GrowSect 15,      5199.95,      5199.80,      5206.20,      5179.75,      5194.55,-5.4
,Nifty50 PR 2x Lev,      3051.10,      3053.65,      3063.55,      3033.35,      3053.45,2.35
,Nifty50 PR 1x Inv,       494.20,       494.05,       495.70,       493.25,       494.10,-.1
,Nifty50 TR 2x Lev,      3567.35,      3570.30,      3581.85,      3546.60,      3570.10,2.75
,Nifty50 TR 1x Inv,       457.00,       456.85,       458.35,       456.10,       456.85,-.15
,Nifty50 Value 20,      3587.20,      3586.30,      3597.15,      3574.70,      3590.20,3

,ADVANCES,650
,DECLINES,916
,UNCHANGED,51

,Total securities that have hit their price bands today,146

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELINFRA,EQ,       491.20,       508.50,3.52,353.88
,RELIANCE,EQ,      1010.40,      1015.40,0.49,345.75
,JETAIRWAYS,EQ,       638.00,       647.60,1.5,343.35
,TATAMOTORS,EQ,       394.00,       391.85,-0.55,289.2
,AXISBANK,EQ,       455.35,       458.35,0.66,273.16
,RIIL,EQ,       478.75,       508.25,6.16,268.49
,SUNPHARMA,EQ,       811.60,       811.35,-0.03,219.94
,LALPATHLAB,EQ,       835.35,       811.00,-2.91,217.98
,ICICIBANK,EQ,       264.05,       264.75,0.27,217.63
,HDFC,EQ,      1227.65,      1234.30,0.54,211.52
,TCS,EQ,      2462.70,      2455.80,-0.28,209.49
,LT,EQ,      1295.15,      1289.55,-0.43,196.49
,ALKEM,EQ,      1468.40,      1465.55,-0.19,195.87
,DRREDDY,EQ,      3120.70,      3100.50,-0.65,194.56
,PIPAVAVDOC,EQ,        98.20,        88.90,-9.47,189.79
,INFY,EQ,      1104.75,      1104.70,0,184.67
,SBIN,EQ,       228.90,       228.20,-0.31,166.1
,SREINFRA,EQ,        51.60,        58.80,13.95,151.21
,NTPC,EQ,       143.95,       144.80,0.59,143.72
,TATAELXSI,EQ,      2246.55,      2257.20,0.47,142.66
,BANKBEES,EQ,      1704.33,      1705.81,0.09,138.76
,RELCAPITAL,EQ,       419.45,       432.55,3.12,137.08
,TIDEWATER,EQ,     24166.25,     28270.30,16.98,136.53
,AUROPHARMA,EQ,       871.75,       887.40,1.8,135.2
,INDIGO,EQ,      1194.15,      1186.45,-0.64,125.48

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BAJAJ-AUTO,EQ,      2530.45,      2492.55,1.52
,ACC,EQ,      1350.45,      1330.85,1.47
,AMBUJACEM,EQ,       205.55,       202.70,1.41
,GRASIM,EQ,      3742.40,      3695.20,1.28
,M&M,EQ,      1264.60,      1249.40,1.22

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BHEL,EQ,       168.55,       171.45,-1.69
,HCLTECH,EQ,       854.50,       867.70,-1.52
,COALINDIA,EQ,       321.75,       325.50,-1.15
,HINDUNILVR,EQ,       857.90,       865.85,-0.92
,POWERGRID,EQ,       140.95,       142.15,-0.84

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        33.00,                  3540079.05,106334
,3IINFOTECH,EQ,         4.80,                  5538566.35,1143934
,3MINDIA,EQ,     11215.10,                 20482526.25,1824
,8KMILES,EQ,      2075.55,                 67861261.50,32542
,A2ZINFRA,EQ,        27.20,                  7985758.25,287833
,AARTIDRUGS,EQ,       584.05,                 16613392.95,28567
,AARTIIND,EQ,       518.30,                 32418258.00,62567
,AARVEEDEN,EQ,        62.70,                   340405.00,5426
,ABAN,EQ,       228.50,                693361750.90,3064338
,ABB,EQ,      1116.60,                 51520776.70,46028
,ABBOTINDIA,EQ,      5701.75,                  7353205.35,1288
,ABCIL,EQ,       233.20,                  3197840.40,13785
,ABGSHIP,EQ,        70.60,                113221039.45,1614272
,ABIRLANUVO,EQ,      2083.95,                217184747.35,104164
,ACCELYA,EQ,       947.95,                  2272690.35,2405
,ACE,EQ,        46.20,                 10311913.75,222027
,ACROPETAL,EQ,         3.10,                    80770.30,26706
,ADANIENT,EQ,        83.80,                196378792.15,2338544
,ADANIPOWER,EQ,        30.45,                104009942.40,3423261
,ADANITRANS,EQ,        35.90,                 42489411.80,1174493
,ADFFOODS,EQ,        93.65,                 11283355.30,118730
,ADHUNIK,EQ,        15.20,                  1598449.40,104717
,ADI,EQ,       251.45,                  4085783.00,16283
,ADLABS,EQ,       134.10,                 21776554.35,159276
,ADORWELD,EQ,       335.70,                  2544589.90,7620
,ADSL,EQ,        53.30,                 13694431.40,255762
,ADVANIHOTR,EQ,        51.00,                    16680.95,330
,ADVANTA,EQ,       436.05,                  3691771.10,8444
,AEGISCHEM,EQ,       109.05,                 38813876.55,360750
,AFL,EQ,        86.55,                  4104181.80,47390
,AGARIND,EQ,       193.20,                  7597747.85,38848
,AGCNET,EQ,        94.90,                   210872.35,2189
,AGRITECH,EQ,         7.70,                     1300.00,160
,AGRODUTCH,EQ,         4.00,                   166282.65,39856
,AHLEAST,EQ,       160.55,                   115664.15,719
,AHLUCONT,EQ,       277.15,                  1770897.75,6373
,AHLWEST,EQ,       123.00,                    68917.15,560
,AIAENG,EQ,       886.30,                 18002993.15,20222
,AICHAMP,BE,        40.75,                     6740.00,170
,AIFL,EQ,       301.15,                 30179030.10,99811
,AIL,EQ,       667.45,                 16490534.95,24808
,AJANTPHARM,EQ,      1344.60,                162354086.30,121165
,AJMERA,EQ,       182.05,                108908557.90,582315
,AKSHOPTFBR,EQ,        18.25,                 71825003.85,3930988
,AKZOINDIA,EQ,      1380.65,                  8889035.20,6448
,ALANKIT,EQ,        56.85,                 34530696.75,614074
,ALBK,EQ,        69.50,                117385068.10,1683069
,ALCHEM,EQ,        32.15,                   878227.35,27020
,ALEMBICLTD,EQ,        48.55,                 43768937.20,900612
,ALICON,EQ,       363.50,                  5793579.65,16163
,ALKALI,EQ,        63.75,                  1286472.55,20373
,ALKEM,EQ,      1465.55,               1958715338.80,1333944
,ALKYLAMINE,EQ,       378.20,                  1477284.70,3919
,ALLCARGO,EQ,       424.90,                153148287.05,362457
,ALLSEC,EQ,       140.75,                  7946490.70,57632
,ALMONDZ,EQ,        12.10,                   333938.00,28198
,ALOKTEXT,EQ,         6.20,                 16413741.20,2643369
,ALPA,BE,        76.95,                  7055516.50,89384
,ALPHAGEO,EQ,       588.95,                  7652997.50,12924
,ALPSINDUS,EQ,         5.75,                    91967.00,15870
,ALSTOMT&D,EQ,       476.00,                126835796.70,266330
,AMARAJABAT,EQ,       863.60,                164238642.40,189856
,AMBIKCO,EQ,       909.70,                  7687909.05,8376
,AMDIND,EQ,        31.80,                  8478804.85,251840
,AMRUTANJAN,EQ,       481.65,                  4669008.40,9615
,AMTEKAUTO,EQ,        51.25,                126203393.05,2441591
,AMTL,EQ,        32.00,                   965218.40,30434
,ANANDAMRUB,EQ,        28.35,                   356501.25,12575
,ANANTRAJ,EQ,        40.90,                 26849117.05,652350
,ANDHRABANK,EQ,        63.45,                 49567339.55,778984
,ANDHRACEMT,EQ,         8.60,                  2055244.75,236529
,ANDHRSUGAR,EQ,       137.10,                  1357432.00,9822
,ANGIND,EQ,        49.20,                  4232229.45,84926
,ANIKINDS,BE,        29.40,                    73884.15,2491
,ANKITMETAL,EQ,         1.90,                   160597.60,83329
,ANSALAPI,EQ,        23.60,                  3240961.75,136333
,ANSALHSG,EQ,        28.60,                  2698857.00,95212
,ANTGRAPHIC,BE,          .60,                    17008.80,28348
,APARINDS,EQ,       511.90,                  5575356.25,10815
,APCOTEXIND,EQ,       241.60,                  3845893.20,16035
,APLAPOLLO,EQ,       760.95,                 28819837.55,37605
,APLLTD,EQ,       706.30,                 42587400.10,60203
