,13-Jan-2016
The Nifty witnessed an intraday movement of about 165.15 points.The closing index was 0.69 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 22575.92
, Traded Quantity (in Lakhs), 14442.94
, Number of Trades, 9318253
, Total Market Capitalisation (Rs. Crores), 9397885.42

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      7510.30,      7557.90,      7590.95,      7425.80,      7562.40,52.1
,Nifty IT,     10790.35,     10807.85,     10860.40,     10646.55,     10839.85,49.5
,Nifty Next 50,     19263.85,     19378.65,     19435.50,     18819.40,     19197.20,-66.65
,Nifty Bank,     15734.80,     15835.05,     15956.25,     15532.25,     15871.85,137.05
,Nifty Midcap 100,     13087.70,     13176.00,     13218.75,     12711.95,     12993.90,-93.8
,Nifty 500,      6405.45,      6445.65,      6467.00,      6294.30,      6415.95,10.5
,Nifty 100,      7672.70,      7720.85,      7747.95,      7571.50,      7712.45,39.75
,Nifty Midcap 50,      3302.70,      3332.95,      3341.00,      3161.15,      3246.00,-56.7
,Nifty Realty,       166.75,       168.50,       170.05,       160.95,       165.10,-1.65
,Nifty Infra,      2608.70,      2635.75,      2635.95,      2505.95,      2563.25,-45.45
,Nifty Energy,      8616.40,      8675.45,      8780.30,      8540.75,      8734.65,118.25
,Nifty FMCG,     19340.55,     19433.80,     19547.05,     19214.50,     19414.70,74.15
,Nifty MNC,      9084.80,      9122.55,      9153.10,      8971.40,      9101.90,17.1
,Nifty Pharma,     11341.60,     11420.00,     11471.85,     11121.60,     11321.40,-20.2
,Nifty PSE,      3038.40,      3058.75,      3063.15,      2975.30,      3030.65,-7.75
,Nifty PSU Bank,      2520.65,      2546.75,      2557.25,      2441.45,      2512.65,-8
,Nifty Serv Sector,      9673.55,      9723.80,      9777.10,      9545.75,      9740.60,67.05
,India VIX,18.7125,18.7125,19.6625,17.5225,18.3525,-0.3600
,Nifty Auto,      7721.05,      7784.10,      7832.25,      7653.30,      7795.50,74.45
,Nifty Metal,      1725.15,      1739.90,      1750.25,      1672.50,      1712.70,-12.45
,Nifty Media,      2496.00,      2508.30,      2542.30,      2439.90,      2503.55,7.55
,Nifty Small 100,      5453.15,      5500.95,      5513.20,      5151.30,      5309.40,-143.75
,Nifty 200,      3991.55,      4017.50,      4031.30,      3931.55,      4006.60,15.05
,Nifty Div Opps 50,      1818.45,      1828.05,      1832.15,      1787.90,      1815.40,-3.05
,Nifty Commodities,      2362.75,      2381.40,      2387.70,      2317.95,      2362.65,-.1
,Nifty Consumption,      3412.55,      3432.85,      3446.35,      3360.25,      3416.65,4.1
,Nifty Fin Service,      6579.70,      6617.55,      6662.75,      6495.30,      6632.00,52.3
,Nifty50 Div Point,        95.23,        95.23,        95.23,        95.23,        95.23,0
,Nifty100 Liq 15,      2838.65,      2865.30,      2871.65,      2781.80,      2851.15,12.5
,Nifty CPSE,      1989.65,      2004.25,      2007.45,      1952.80,      1986.05,-3.6
,Nifty GrowSect 15,      4935.60,      4957.05,      4966.95,      4874.25,      4950.45,14.85
,Nifty50 PR 2x Lev,      2729.10,      2763.20,      2786.70,      2667.45,      2766.45,37.35
,Nifty50 PR 1x Inv,       522.35,       519.15,       528.30,       516.90,       518.80,-3.55
,Nifty50 TR 2x Lev,      3190.85,      3230.70,      3258.20,      3118.80,      3234.55,43.7
,Nifty50 TR 1x Inv,       483.00,       480.00,       488.50,       477.95,       479.75,-3.25
,Nifty50 Value 20,      3392.30,      3411.35,      3441.15,      3351.60,      3426.30,34

,ADVANCES,298
,DECLINES,1293
,UNCHANGED,44

,Total securities that have hit their price bands today,252

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      1045.45,      1076.85,3,1741.28
,JETAIRWAYS,EQ,       773.20,       775.80,0.34,844.96
,AXISBANK,EQ,       406.10,       406.70,0.15,638.98
,TCS,EQ,      2327.05,      2279.20,-2.06,542
,TATAMOTORS,EQ,       355.00,       364.60,2.7,514.64
,RELINFRA,EQ,       572.50,       545.60,-4.7,504.32
,SBIN,EQ,       199.40,       200.90,0.75,473.48
,INFY,EQ,      1049.95,      1083.40,3.19,469.76
,LT,EQ,      1179.15,      1156.75,-1.9,431.79
,ICICIBANK,EQ,       236.75,       239.50,1.16,392.39
,INDUSINDBK,EQ,       913.25,       936.40,2.53,362.18
,YESBANK,EQ,       672.95,       682.70,1.45,335.81
,RELCAPITAL,EQ,       423.30,       415.05,-1.95,311.58
,INDIGO,EQ,      1250.65,      1228.80,-1.75,295.65
,SUNPHARMA,EQ,       788.15,       796.60,1.07,274.11
,WOCKPHARMA,EQ,      1619.35,      1571.70,-2.94,264.11
,NILKAMAL,EQ,      1547.45,      1415.85,-8.5,224.31
,ABIRLANUVO,EQ,      2178.35,      2179.80,0.07,222.51
,DLF,EQ,       109.50,       110.10,0.55,212.81
,HDFC,EQ,      1151.85,      1167.65,1.37,211.82
,MARUTI,EQ,      4266.70,      4291.25,0.58,184.38
,TATASTEEL,EQ,       245.75,       246.60,0.35,183.17
,LUPIN,EQ,      1700.10,      1666.15,-2,163.95
,HDIL,EQ,        78.95,        79.00,0.06,162.36
,TATAELXSI,EQ,      2018.30,      1932.60,-4.25,150.11

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,INFY,EQ,      1083.40,      1049.95,3.19
,RELIANCE,EQ,      1076.85,      1045.45,3
,TATAMOTORS,EQ,       364.60,       355.00,2.7
,INDUSINDBK,EQ,       936.40,       913.25,2.53
,HCLTECH,EQ,       826.40,       810.05,2.02

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,VEDL,EQ,        80.95,        84.25,-3.92
,IDEA,EQ,       121.10,       125.85,-3.77
,ADANIPORTS,EQ,       230.20,       236.60,-2.7
,BHARTIARTL,EQ,       308.60,       315.40,-2.16
,TCS,EQ,      2279.20,      2327.05,-2.06

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        33.50,                  7222293.00,216155
,3IINFOTECH,EQ,         5.30,                 40426846.25,7656788
,3MINDIA,EQ,     10514.30,                  5310124.60,504
,8KMILES,EQ,      2483.70,                647253561.55,276077
,A2ZINFRA,EQ,        26.15,                 17740824.15,684432
,AARTIDRUGS,EQ,       557.90,                 14780720.05,26560
,AARTIIND,EQ,       505.10,                 18637556.10,36854
,AARVEEDEN,EQ,        59.30,                   428466.35,7241
,ABAN,EQ,       201.90,                229355760.80,1129664
,ABB,EQ,      1019.85,                 48546690.40,47513
,ABBOTINDIA,EQ,      5443.80,                 30947873.30,5679
,ABCIL,EQ,       225.25,                  3574592.95,15923
,ABGSHIP,EQ,        63.35,                 19173496.40,301485
,ABIRLANUVO,EQ,      2179.80,               2225076897.15,1019480
,ACCELYA,EQ,       941.05,                  4146297.05,4415
,ACE,EQ,        42.75,                  9084693.55,212804
,ACROPETAL,EQ,         3.65,                   219475.90,61131
,ADANIENT,EQ,        80.85,                659679496.35,8071984
,ADANIPOWER,EQ,        32.25,                307698836.00,9565557
,ADANITRANS,EQ,        35.55,                105283298.20,2976513
,ADFFOODS,EQ,        87.30,                  5729707.60,65709
,ADHUNIK,EQ,        14.65,                  1651179.30,112346
,ADI,EQ,       249.00,                  1872916.95,7465
,ADLABS,EQ,       132.80,                 16523701.80,124564
,ADORWELD,EQ,       298.15,                  1959253.10,6639
,ADSL,EQ,        49.15,                 48737974.95,988708
,ADVANIHOTR,EQ,        49.75,                    81859.10,1673
,ADVANTA,EQ,       418.75,                 11821892.95,28127
,AEGISCHEM,EQ,        93.25,                 42820087.70,451783
,AFL,EQ,        80.80,                  4662846.25,57618
,AGARIND,EQ,       161.90,                  5015110.55,30650
,AGCNET,EQ,        89.75,                   701446.85,7815
,AGRITECH,BE,         9.25,                    22338.75,2415
,AGRODUTCH,EQ,         3.80,                    70675.20,18240
,AHLEAST,EQ,       152.85,                  1179313.80,7334
,AHLUCONT,EQ,       264.00,                168694820.10,603034
,AHLWEST,EQ,       126.65,                    30485.60,240
,AIAENG,EQ,       801.85,                 64118150.45,80014
,AIFL,EQ,       292.75,                 29308063.05,99921
,AIL,EQ,       641.00,                 23276375.25,36360
,AJANTPHARM,EQ,      1232.25,                232314024.50,188768
,AJMERA,EQ,       165.80,                 38205736.20,229433
,AKSHOPTFBR,EQ,        16.35,                 64315902.60,3939675
,AKZOINDIA,EQ,      1370.75,                 18717238.05,13839
,ALANKIT,EQ,        75.05,                 51126429.85,702532
,ALBK,EQ,        60.10,                126790570.50,2097499
,ALCHEM,EQ,        28.45,                   819032.75,28987
,ALEMBICLTD,EQ,        44.35,                 49473933.15,1117003
,ALICON,EQ,       320.20,                  2459660.85,7718
,ALKALI,EQ,        61.40,                   206666.40,3334
,ALKEM,EQ,      1415.75,                501680916.65,353619
,ALKYLAMINE,EQ,       350.20,                  2709957.65,7966
,ALLCARGO,EQ,       188.80,                186859774.70,961321
,ALLSEC,EQ,       127.40,                  4466673.50,34563
,ALMONDZ,EQ,        12.85,                    67666.15,5338
,ALOKTEXT,EQ,         6.05,                 45049606.20,7427348
,ALPA,BE,        74.05,                  2647266.00,34915
,ALPHAGEO,EQ,       478.75,                  7996006.70,16939
,ALPSINDUS,EQ,         8.05,                  2224591.05,265039
,ALSTOMT&D,EQ,       443.30,                 57395714.55,130489
,AMARAJABAT,EQ,       835.05,                179524166.15,216552
,AMBIKCO,EQ,       876.65,                 10454738.45,11905
,AMDIND,EQ,        31.40,                  1891211.05,60203
,AMRUTANJAN,EQ,       452.45,                  7101834.90,15754
,AMTEKAUTO,EQ,        41.65,                187448755.90,4435321
,AMTL,EQ,        30.10,                   366010.95,12409
,ANANDAMRUB,EQ,        27.90,                    38421.00,1445
,ANANTRAJ,EQ,        39.30,                 42176647.90,1065882
,ANDHRABANK,EQ,        57.70,                110750874.75,1902602
,ANDHRACEMT,EQ,         9.50,                  7438788.60,782989
,ANDHRSUGAR,EQ,       139.80,                 10729466.00,77550
,ANGIND,EQ,        51.15,                 27346963.35,530315
,ANIKINDS,BE,        32.05,                    49120.00,1503
,ANKITMETAL,EQ,         2.60,                   863634.55,322854
,ANSALAPI,EQ,        21.70,                  8919670.20,412580
,ANSALHSG,EQ,        25.45,                  1565211.20,60974
,ANTGRAPHIC,BE,          .80,                   465226.20,617143
,APARINDS,EQ,       487.55,                 12037988.85,24628
,APCOTEXIND,EQ,       217.85,                  2044839.10,9334
,APLAPOLLO,EQ,       771.05,                 83573516.75,109418
,APLLTD,EQ,       658.75,                123822164.80,184512
,APOLLOTYRE,EQ,       148.60,                439098743.10,2942194
