,15-Jan-2016
The Nifty witnessed an intraday movement of about 139.2 points.The closing index was 1.31 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 17547.65
, Traded Quantity (in Lakhs), 9905.16
, Number of Trades, 7435337
, Total Market Capitalisation (Rs. Crores), 9141855.24

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      7536.80,      7561.65,      7566.50,      7427.30,      7437.80,-99
,Nifty IT,     10980.45,     11050.65,     11057.70,     10949.95,     10994.95,14.5
,Nifty Next 50,     19031.10,     19104.60,     19131.20,     18505.80,     18535.45,-495.65
,Nifty Bank,     15609.80,     15621.85,     15650.70,     15154.35,     15206.30,-403.5
,Nifty Midcap 100,     12838.25,     12901.55,     12926.40,     12466.15,     12480.60,-357.65
,Nifty 500,      6378.20,      6400.90,      6403.05,      6257.25,      6262.40,-115.8
,Nifty 100,      7679.50,      7705.55,      7706.95,      7552.40,      7562.10,-117.4
,Nifty Midcap 50,      3187.95,      3203.60,      3215.45,      3039.95,      3047.25,-140.7
,Nifty Realty,       162.45,       163.35,       164.05,       154.30,       155.10,-7.35
,Nifty Infra,      2530.25,      2543.30,      2546.50,      2435.70,      2444.20,-86.05
,Nifty Energy,      8671.70,      8717.95,      8758.35,      8573.30,      8607.55,-64.15
,Nifty FMCG,     19438.15,     19397.45,     19427.00,     19044.50,     19095.45,-342.7
,Nifty MNC,      9045.30,      9065.20,      9102.15,      8855.60,      8891.90,-153.4
,Nifty Pharma,     11369.40,     11430.00,     11436.65,     11234.30,     11259.75,-109.65
,Nifty PSE,      3018.25,      3030.20,      3030.80,      2947.50,      2953.05,-65.2
,Nifty PSU Bank,      2455.80,      2473.80,      2473.80,      2288.00,      2312.90,-142.9
,Nifty Serv Sector,      9717.40,      9754.10,      9756.65,      9536.60,      9553.80,-163.6
,India VIX,18.6050,18.6050,19.6900,15.6725,19.4150,0.8100
,Nifty Auto,      7684.65,      7701.75,      7715.20,      7527.50,      7544.20,-140.45
,Nifty Metal,      1684.15,      1699.30,      1700.45,      1620.50,      1624.60,-59.55
,Nifty Media,      2495.05,      2516.90,      2520.15,      2377.10,      2403.60,-91.45
,Nifty Small 100,      5248.60,      5280.90,      5308.25,      4996.05,      5007.65,-240.95
,Nifty 200,      3985.35,      3999.45,      4001.70,      3912.10,      3916.55,-68.8
,Nifty Div Opps 50,      1807.40,      1812.20,      1812.30,      1768.85,      1771.95,-35.45
,Nifty Commodities,      2341.70,      2353.90,      2354.15,      2298.25,      2301.70,-40
,Nifty Consumption,      3405.80,      3418.65,      3420.45,      3340.45,      3344.85,-60.95
,Nifty Fin Service,      6539.80,      6541.70,      6546.70,      6363.75,      6380.15,-159.65
,Nifty50 Div Point,        95.23,        95.23,        95.23,        95.23,        95.23,0
,Nifty100 Liq 15,      2816.00,      2828.40,      2828.40,      2736.80,      2747.35,-68.65
,Nifty CPSE,      1973.70,      1983.05,      1983.70,      1926.35,      1930.80,-42.9
,Nifty GrowSect 15,      4997.30,      5012.50,      5017.95,      4956.90,      4962.30,-35
,Nifty50 PR 2x Lev,      2747.20,      2764.80,      2767.55,      2667.10,      2674.50,-72.7
,Nifty50 PR 1x Inv,       520.70,       519.05,       528.30,       518.80,       527.60,6.9
,Nifty50 TR 2x Lev,      3212.00,      3232.55,      3235.80,      3118.35,      3127.00,-85
,Nifty50 TR 1x Inv,       481.45,       479.95,       488.50,       479.70,       487.85,6.4
,Nifty50 Value 20,      3420.40,      3439.75,      3440.10,      3363.45,      3370.90,-49.5

,ADVANCES,143
,DECLINES,1450
,UNCHANGED,27

,Total securities that have hit their price bands today,189

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,INFY,EQ,      1133.00,      1139.90,0.61,748.19
,RELIANCE,EQ,      1061.65,      1073.30,1.1,710.44
,WOCKPHARMA,EQ,      1514.90,      1287.00,-15.04,688.03
,SBIN,EQ,       196.05,       184.30,-5.99,551.41
,AXISBANK,EQ,       390.60,       374.25,-4.19,505.11
,ICICIBANK,EQ,       235.75,       224.45,-4.79,463.33
,RELINFRA,EQ,       532.25,       492.90,-7.39,409.76
,JETAIRWAYS,EQ,       753.20,       707.90,-6.01,381.17
,TCS,EQ,      2278.80,      2261.10,-0.78,370.71
,LT,EQ,      1134.65,      1107.90,-2.36,296.91
,BPCL,EQ,       909.40,       932.55,2.55,278.48
,HINDUNILVR,EQ,       827.25,       804.25,-2.78,262.11
,MARUTI,EQ,      4248.25,      4273.35,0.59,254.52
,YESBANK,EQ,       674.20,       663.70,-1.56,244.67
,ZEEL,EQ,       416.05,       402.40,-3.28,230.69
,TATAMOTORS,EQ,       354.30,       341.30,-3.67,227.78
,HDFC,EQ,      1159.30,      1149.80,-0.82,218.45
,RELCAPITAL,EQ,       410.90,       373.25,-9.16,200.29
,HCLTECH,EQ,       828.85,       838.05,1.11,189.96
,SUNPHARMA,EQ,       791.85,       787.10,-0.6,186.89
,ABIRLANUVO,EQ,      2053.75,      2015.25,-1.87,184.95
,MARKSANS,EQ,        78.00,        62.40,-20,167.78
,ITC,EQ,       317.25,       313.90,-1.06,167.39
,DLF,EQ,       105.85,        99.65,-5.86,149.38
,HDFCBANK,EQ,      1049.75,      1042.15,-0.72,141.88

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BPCL,EQ,       932.55,       909.40,2.55
,TECHM,EQ,       520.55,       514.00,1.27
,HCLTECH,EQ,       838.05,       828.85,1.11
,RELIANCE,EQ,      1073.30,      1061.65,1.1
,DRREDDY,EQ,      2935.90,      2915.00,.72

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,VEDL,EQ,        72.85,        79.35,-8.19
,GAIL,EQ,       335.85,       357.55,-6.07
,SBIN,EQ,       184.30,       196.05,-5.99
,PNB,EQ,        92.20,        97.80,-5.73
,CAIRN,EQ,       119.60,       126.70,-5.6

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        31.00,                  1752127.75,54109
,3IINFOTECH,EQ,         4.85,                 16299624.60,3265011
,3MINDIA,EQ,     10209.75,                  4402428.20,427
,8KMILES,EQ,      2303.40,                185320811.05,76969
,A2ZINFRA,EQ,        23.40,                  9529200.35,391305
,AARTIDRUGS,EQ,       540.45,                 13471077.00,24697
,AARTIIND,EQ,       498.90,                 15951075.90,31843
,AARVEEDEN,EQ,        56.60,                    69272.25,1230
,ABAN,EQ,       195.25,                399289913.55,1971019
,ABB,EQ,      1013.65,                 27553369.20,27082
,ABBOTINDIA,EQ,      5412.95,                  7587887.15,1397
,ABGSHIP,EQ,        62.40,                 23669035.90,375796
,ABIRLANUVO,EQ,      2015.25,               1849490683.25,912366
,ACCELYA,EQ,       903.15,                  6259742.20,6832
,ACE,EQ,        39.40,                  9836622.20,241390
,ACROPETAL,EQ,         3.40,                   104900.00,29813
,ADANIENT,EQ,        74.40,                256923065.25,3358140
,ADANIPOWER,EQ,        29.45,                159302156.35,5189549
,ADANITRANS,EQ,        34.35,                 51370577.60,1465571
,ADFFOODS,EQ,        85.55,                  6318394.80,72307
,ADHUNIK,EQ,        14.00,                  1111426.80,78106
,ADI,EQ,       240.35,                  1814127.90,7478
,ADLABS,EQ,       127.15,                  3584737.50,27636
,ADORWELD,EQ,       270.40,                  2884555.05,10474
,ADSL,EQ,        43.55,                 13924005.30,301036
,ADVANTA,EQ,       394.45,                 11136757.50,27535
,AEGISCHEM,EQ,        89.60,                 15500999.55,163974
,AFL,EQ,        76.05,                  2228325.80,28216
,AGARIND,EQ,       159.15,                  3827081.25,23707
,AGCNET,EQ,        86.20,                   128966.90,1475
,AGRITECH,BE,        10.15,                     3024.70,298
,AGRODUTCH,EQ,         3.80,                    31544.30,8364
,AHLEAST,EQ,       151.30,                     7565.00,50
,AHLUCONT,EQ,       260.25,                  9371599.05,35885
,AHLWEST,EQ,       124.55,                   429651.65,3432
,AIAENG,EQ,       790.25,                229312933.40,286700
,AIFL,EQ,       273.00,                 18208557.75,64104
,AIL,EQ,       627.50,                 18504224.45,29073
,AJANTPHARM,EQ,      1169.85,                304636490.90,253765
,AJMERA,EQ,       151.30,                 29008626.65,182124
,AKSHOPTFBR,EQ,        15.10,                 27038978.00,1719982
,AKZOINDIA,EQ,      1342.15,                  7592371.90,5654
,ALANKIT,EQ,        72.10,                 42452163.90,581657
,ALBK,EQ,        52.90,                184150077.65,3354463
,ALCHEM,EQ,        26.00,                   309908.85,11440
,ALEMBICLTD,EQ,        41.45,                 15775607.55,372672
,ALICON,EQ,       304.20,                  1142369.10,3713
,ALKALI,EQ,        56.00,                   786574.30,13722
,ALKEM,EQ,      1431.65,                373094242.40,257237
,ALKYLAMINE,EQ,       330.15,                  2321501.00,6819
,ALLCARGO,EQ,       185.35,                 46150033.50,242879
,ALLSEC,EQ,       117.15,                  3445104.05,28817
,ALMONDZ,EQ,        12.10,                    74090.00,6100
,ALOKTEXT,EQ,         5.75,                 32589136.80,5583558
,ALPA,BE,        66.85,                  2451712.90,36490
,ALPHAGEO,EQ,       437.50,                  2708716.85,5910
,ALPSINDUS,EQ,         7.30,                   705907.70,95554
,ALSTOMT&D,EQ,       420.35,                 18220215.50,42306
,AMARAJABAT,EQ,       813.65,                120212614.25,147296
,AMBIKCO,EQ,       821.40,                  3942457.00,4709
,AMDIND,EQ,        28.95,                   815415.35,26766
,AMRUTANJAN,EQ,       428.00,                  5493885.85,12466
,AMTEKAUTO,EQ,        39.90,                 81692516.85,2000931
,AMTL,EQ,        27.20,                   504988.00,18260
,ANANDAMRUB,EQ,        25.25,                     8534.50,338
,ANANTRAJ,EQ,        36.45,                 29418882.65,797030
,ANDHRABANK,EQ,        52.60,                132458861.55,2462537
,ANDHRACEMT,EQ,         8.35,                  3112980.80,364199
,ANDHRSUGAR,EQ,       130.10,                  6001431.70,44351
,ANGIND,EQ,        47.50,                  6918135.40,138336
,ANIKINDS,BE,        29.45,                    57752.80,1960
,ANKITMETAL,EQ,         2.25,                   387641.25,165684
,ANSALAPI,EQ,        19.95,                  3061647.10,149097
,ANSALHSG,EQ,        24.00,                   487089.80,19648
,ANTGRAPHIC,BE,          .75,                    21049.75,26803
,APARINDS,EQ,       485.10,                  5728010.10,11560
,APCOTEXIND,EQ,       210.20,                  2046695.30,9683
,APLAPOLLO,EQ,       733.55,                 52902131.95,69387
,APLLTD,EQ,       620.00,                 55038799.25,85937
,APOLLOTYRE,EQ,       139.30,                472915154.85,3319165
,APTECHT,EQ,        61.60,                 31421681.00,492183
,ARCHIDPLY,EQ,        49.45,                  3805128.80,74416
,ARCHIES,EQ,        25.60,                  3778096.65,144457
