,05-Feb-2016
The Nifty witnessed an intraday movement of about 96.5 points.The closing index was 1.15 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 17835.72
, Traded Quantity (in Lakhs), 8924.48
, Number of Trades, 7828286
, Total Market Capitalisation (Rs. Crores), 9111903.81

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      7404.00,      7418.25,      7503.15,      7406.65,      7489.10,85.1
,Nifty IT,     11213.65,     11222.20,     11285.10,     11188.45,     11227.55,13.9
,Nifty Next 50,     17858.15,     17931.85,     18316.90,     17886.55,     18269.55,411.4
,Nifty Bank,     14869.15,     14928.25,     15211.90,     14890.90,     15162.05,292.9
,Nifty Midcap 100,     12154.50,     12207.15,     12407.00,     12154.55,     12382.80,228.3
,Nifty 500,      6186.25,      6201.45,      6280.15,      6191.30,      6270.50,84.25
,Nifty 100,      7487.75,      7504.85,      7600.75,      7492.95,      7587.70,99.95
,Nifty Midcap 50,      2941.70,      2954.65,      3033.30,      2941.05,      3023.25,81.55
,Nifty Realty,       145.60,       145.90,       147.95,       145.00,       147.35,1.75
,Nifty Infra,      2394.35,      2401.35,      2415.40,      2389.40,      2408.95,14.6
,Nifty Energy,      8063.10,      8093.70,      8106.40,      8008.25,      8057.50,-5.6
,Nifty FMCG,     19275.40,     19295.45,     19514.60,     19294.35,     19465.40,190
,Nifty MNC,      8611.10,      8607.00,      8712.45,      8595.25,      8654.90,43.8
,Nifty Pharma,     11215.50,     11250.20,     11686.40,     11145.90,     11652.40,436.9
,Nifty PSE,      2852.00,      2857.55,      2882.85,      2835.60,      2872.80,20.8
,Nifty PSU Bank,      2124.30,      2134.85,      2213.80,      2119.15,      2201.40,77.1
,Nifty Serv Sector,      9550.20,      9561.45,      9663.60,      9557.05,      9645.55,95.35
,India VIX,18.2075,18.2075,18.3275,16.5425,18.1150,-0.0925
,Nifty Auto,      7377.55,      7413.90,      7521.40,      7375.90,      7495.95,118.4
,Nifty Metal,      1584.10,      1578.20,      1651.20,      1578.20,      1643.25,59.15
,Nifty Media,      2337.70,      2340.60,      2392.35,      2314.55,      2384.80,47.1
,Nifty Small 100,      4766.95,      4785.90,      4874.75,      4766.00,      4856.70,89.75
,Nifty 200,      3877.25,      3886.80,      3937.95,      3880.30,      3931.15,53.9
,Nifty Div Opps 50,      1754.55,      1756.00,      1784.95,      1756.00,      1781.10,26.55
,Nifty Commodities,      2226.25,      2230.60,      2263.95,      2222.95,      2258.20,31.95
,Nifty Consumption,      3294.30,      3295.95,      3342.05,      3291.85,      3338.00,43.7
,Nifty Fin Service,      6267.90,      6289.20,      6404.30,      6284.00,      6389.25,121.35
,Nifty50 Div Point,        99.26,       100.19,       100.19,       100.19,       100.19,.93
,Nifty100 Liq 15,      2675.05,      2686.80,      2768.90,      2675.65,      2759.15,84.1
,Nifty CPSE,      1897.50,      1900.55,      1920.95,      1883.15,      1910.90,13.4
,Nifty GrowSect 15,      5049.70,      5048.15,      5117.50,      5045.65,      5108.40,58.7
,Nifty50 PR 2x Lev,      2636.05,      2645.70,      2704.75,      2638.15,      2696.15,60.1
,Nifty50 PR 1x Inv,       531.05,       530.15,       530.90,       524.20,       525.05,-6
,Nifty50 TR 2x Lev,      3084.60,      3096.50,      3165.60,      3087.65,      3155.50,70.9
,Nifty50 TR 1x Inv,       490.90,       490.00,       490.70,       484.50,       485.30,-5.6
,Nifty50 Value 20,      3320.80,      3322.70,      3360.95,      3317.85,      3351.10,30.3

,ADVANCES,1060
,DECLINES,492
,UNCHANGED,58

,Total securities that have hit their price bands today,127

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,LUPIN,EQ,      1652.80,      1802.85,9.08,744.39
,ICICIBANK,EQ,       203.95,       209.40,2.67,681.69
,TATASTEEL,EQ,       225.95,       233.85,3.5,582.43
,JETAIRWAYS,EQ,       528.95,       569.50,7.67,579.33
,RELIANCE,EQ,       973.05,       970.90,-0.22,465.82
,MARUTI,EQ,      3794.65,      3723.40,-1.88,464.71
,AXISBANK,EQ,       382.75,       399.55,4.39,460.67
,EICHERMOT,EQ,     16894.35,     18119.15,7.25,388.36
,SBIN,EQ,       162.85,       168.20,3.29,378.07
,WOCKPHARMA,EQ,      1019.05,      1043.80,2.43,352.67
,TATAMOTORS,EQ,       325.50,       337.10,3.56,308.17
,LT,EQ,      1135.70,      1139.90,0.37,303.4
,VEDL,EQ,        67.75,        73.90,9.08,298.74
,RELINFRA,EQ,       408.75,       437.20,6.96,293.09
,CROMPGREAV,EQ,       134.55,       126.90,-5.69,284.24
,ABFRL,EQ,       176.55,       183.50,3.94,263.55
,AUROPHARMA,EQ,       740.45,       763.20,3.07,247.33
,YESBANK,EQ,       759.35,       777.05,2.33,246.79
,INFY,EQ,      1179.75,      1174.70,-0.43,234.79
,TATAELXSI,EQ,      2075.80,      2118.60,2.06,222.84
,COALINDIA,EQ,       322.50,       326.25,1.16,203.88
,HDFCBANK,EQ,      1049.20,      1055.25,0.58,198.63
,INDIGO,EQ,       805.35,       836.95,3.92,195.91
,SUNPHARMA,EQ,       835.60,       857.55,2.63,191.16
,BOSCHLTD,EQ,     16978.85,     16089.10,-5.24,179.63

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,LUPIN,EQ,      1802.85,      1652.80,9.08
,VEDL,EQ,        73.90,        67.75,9.08
,AXISBANK,EQ,       399.55,       382.75,4.39
,PNB,EQ,        94.70,        90.90,4.18
,HINDALCO,EQ,        71.25,        68.70,3.71

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BOSCHLTD,EQ,     16089.10,     16978.85,-5.24
,GAIL,EQ,       342.55,       355.00,-3.51
,ADANIPORTS,EQ,       211.10,       215.70,-2.13
,MARUTI,EQ,      3723.40,      3794.65,-1.88
,POWERGRID,EQ,       145.25,       146.80,-1.06

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        26.50,                   245443.40,9291
,3IINFOTECH,EQ,         4.85,                  8776641.15,1812469
,3MINDIA,EQ,     10135.75,                 12405375.45,1246
,8KMILES,EQ,      2013.05,                 30780794.35,15307
,A2ZINFRA,EQ,        22.25,                  2242777.25,100510
,AARTIDRUGS,EQ,       498.15,                 10397095.70,20662
,AARTIIND,EQ,       481.65,                 91758930.70,189060
,AARVEEDEN,EQ,        59.30,                   353399.25,5784
,ABAN,EQ,       174.20,                 74093320.65,426967
,ABB,EQ,      1133.90,                289560924.50,255185
,ABBOTINDIA,EQ,      4986.10,                  7186846.00,1453
,ABFRL,EQ,       183.50,               2635495816.75,14744550
,ABGSHIP,EQ,        52.55,                  7429868.25,141215
,ABIRLANUVO,EQ,       840.95,                280047451.15,334675
,ACCELYA,EQ,       913.25,                  5034386.70,5508
,ACE,EQ,        38.15,                  1470059.25,38417
,ACROPETAL,EQ,         3.10,                    20125.00,6500
,ADANIENT,EQ,        73.70,                181789730.35,2486680
,ADANIPOWER,EQ,        26.10,                170775195.80,6666472
,ADANITRANS,EQ,        33.25,                 17735613.85,535910
,ADFFOODS,EQ,        84.00,                   895129.20,10619
,ADHUNIK,EQ,        12.50,                   465550.85,37200
,ADI,EQ,       221.70,                   581868.40,2630
,ADLABS,EQ,       104.40,                  4454906.45,42583
,ADORWELD,EQ,       288.85,                  1852026.10,6592
,ADSL,EQ,        44.95,                  9310149.40,213884
,ADVANIHOTR,EQ,        47.95,                       47.95,1
,ADVANTA,EQ,       417.80,                  6026486.65,14543
,AEGISCHEM,EQ,        95.20,                 10467461.40,111201
,AFL,EQ,        68.70,                   805431.65,11864
,AGARIND,EQ,       150.00,                  1892107.95,12605
,AGCNET,EQ,        76.95,                   177856.65,2282
,AGRITECH,BE,         9.90,                     9382.30,957
,AGRODUTCH,EQ,         3.15,                    46575.95,14052
,AHLEAST,EQ,       146.00,                    23910.50,167
,AHLUCONT,EQ,       269.45,                 14584511.80,54647
,AHLWEST,EQ,       111.85,                     6720.90,60
,AIAENG,EQ,       812.15,                  7299324.70,8968
,AICHAMP,BE,        30.30,                      484.80,16
,AIFL,EQ,       269.30,                 10720536.25,40105
,AIL,EQ,       632.10,                 64635953.10,102830
,AJANTPHARM,EQ,      1306.60,                115296797.75,89204
,AJMERA,EQ,       132.05,                  8700657.90,66534
,AKSHOPTFBR,EQ,        14.30,                 13959885.25,985941
,AKZOINDIA,EQ,      1260.15,                 21469851.80,16889
,ALANKIT,EQ,        84.30,                 53431450.40,635004
,ALBK,EQ,        52.00,                101759489.70,1984893
,ALCHEM,EQ,        25.25,                    43246.90,1703
,ALEMBICLTD,EQ,        37.60,                 15674784.80,425892
,ALICON,EQ,       286.00,                  1957603.85,7078
,ALKALI,EQ,        44.50,                   529757.40,11913
,ALKEM,EQ,      1338.05,                 41678691.05,31085
,ALKYLAMINE,EQ,       317.00,                   475501.55,1500
,ALLCARGO,EQ,       184.70,                 19679915.35,107737
,ALLSEC,EQ,       114.05,                   987688.35,8665
,ALMONDZ,EQ,        10.55,                    34427.95,3174
,ALOKTEXT,EQ,         5.00,                  9465601.85,1915650
,ALPA,BE,        52.55,                  1377606.95,25881
,ALPHAGEO,EQ,       591.65,                 10606237.35,18239
,ALPSINDUS,EQ,         5.30,                   297501.20,55954
,ALSTOMT&D,EQ,       445.15,                 29519708.40,66421
,AMARAJABAT,EQ,       883.30,                290938202.00,333025
,AMBIKCO,EQ,       827.10,                  2850234.55,3468
,AMDIND,EQ,        28.05,                   561872.75,20243
,AMRUTANJAN,EQ,       412.20,                  5784839.35,14122
,AMTEKAUTO,EQ,        34.40,                 59519956.30,1759174
,AMTL,EQ,        24.10,                    19041.50,784
,ANANDAMRUB,EQ,        21.05,                    17611.90,818
,ANANTRAJ,EQ,        36.15,                  7583290.05,210196
,ANDHRABANK,EQ,        51.90,                 83861055.85,1635568
,ANDHRACEMT,EQ,         7.30,                  4225204.90,599221
,ANDHRSUGAR,EQ,       127.30,                  2973593.35,23673
,ANGIND,EQ,        43.10,                  1202181.65,27896
,ANIKINDS,BE,        28.85,                   165204.35,6032
,ANKITMETAL,EQ,         2.05,                   223294.70,113635
,ANSALAPI,EQ,        17.40,                  1308111.90,75207
,ANSALHSG,EQ,        23.20,                   250595.80,10934
,ANTGRAPHIC,BE,         1.10,                   263389.30,255192
,APARINDS,EQ,       496.45,                  5182932.90,10552
,APCOTEXIND,EQ,       204.15,                  1045382.85,5174
,APLAPOLLO,EQ,       682.40,                  4986294.15,7334
,APLLTD,EQ,       593.20,                441074536.00,768578
