,12-Feb-2016
The Nifty witnessed an intraday movement of about 165.8 points.The closing index was 0.07 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 22454.39
, Traded Quantity (in Lakhs), 13899.61
, Number of Trades, 10732312
, Total Market Capitalisation (Rs. Crores), 8442989.86

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      6976.35,      7023.65,      7034.80,      6869.00,      6980.95,4.6
,Nifty IT,     10312.95,     10404.60,     10462.90,     10157.10,     10324.45,11.5
,Nifty Next 50,     17028.45,     17151.45,     17153.05,     16607.80,     17031.95,3.5
,Nifty Bank,     14028.55,     14088.60,     14154.55,     13810.60,     13971.50,-57.05
,Nifty Midcap 100,     11593.00,     11661.05,     11661.05,     11190.35,     11485.80,-107.2
,Nifty 500,      5843.20,      5878.80,      5878.80,      5722.80,      5833.40,-9.8
,Nifty 100,      7068.85,      7117.30,      7119.60,      6950.40,      7073.00,4.15
,Nifty Midcap 50,      2749.85,      2766.25,      2767.55,      2633.10,      2723.45,-26.4
,Nifty Realty,       131.50,       132.70,       132.70,       124.75,       129.20,-2.3
,Nifty Infra,      2287.20,      2297.40,      2297.40,      2204.05,      2275.55,-11.65
,Nifty Energy,      7634.50,      7675.55,      7675.55,      7378.10,      7513.25,-121.25
,Nifty FMCG,     18227.25,     18259.25,     18433.75,     18205.90,     18328.35,101.1
,Nifty MNC,      8209.00,      8238.20,      8240.20,      8087.85,      8211.05,2.05
,Nifty Pharma,     11100.10,     11226.70,     11283.35,     10810.15,     11081.05,-19.05
,Nifty PSE,      2688.95,      2691.65,      2691.65,      2596.80,      2635.90,-53.05
,Nifty PSU Bank,      1983.90,      2001.60,      2001.85,      1894.00,      1968.00,-15.9
,Nifty Serv Sector,      8900.85,      8967.35,      8985.20,      8793.60,      8931.50,30.65
,India VIX,25.9650,25.9650,25.9700,24.0075,24.6725,-1.2925
,Nifty Auto,      6949.45,      7003.10,      7136.85,      6859.40,      7074.50,125.05
,Nifty Metal,      1519.85,      1536.25,      1538.10,      1450.40,      1495.60,-24.25
,Nifty Media,      2177.45,      2179.15,      2194.05,      2116.15,      2177.25,-.2
,Nifty Small 100,      4416.70,      4423.30,      4444.25,      4205.75,      4354.25,-62.45
,Nifty 200,      3661.20,      3684.75,      3684.75,      3591.45,      3658.95,-2.25
,Nifty Div Opps 50,      1664.85,      1668.95,      1668.95,      1631.90,      1658.05,-6.8
,Nifty Commodities,      2136.55,      2146.90,      2146.90,      2073.55,      2114.90,-21.65
,Nifty Consumption,      3155.35,      3169.30,      3192.60,      3116.80,      3188.05,32.7
,Nifty Fin Service,      5886.25,      5921.70,      5949.30,      5811.90,      5884.20,-2.05
,Nifty50 Div Point,       100.19,       100.19,       100.19,       100.19,       100.19,0
,Nifty100 Liq 15,      2543.40,      2580.15,      2584.10,      2494.35,      2558.60,15.2
,Nifty CPSE,      1776.90,      1779.65,      1779.65,      1703.70,      1736.50,-40.4
,Nifty GrowSect 15,      4766.20,      4797.35,      4813.60,      4717.25,      4783.60,17.4
,Nifty50 PR 2x Lev,      2332.95,      2364.10,      2371.20,      2261.50,      2335.55,2.6
,Nifty50 PR 1x Inv,       563.40,       559.70,       572.10,       558.85,       563.15,-.25
,Nifty50 TR 2x Lev,      2730.40,      2766.90,      2775.20,      2646.80,      2733.50,3.1
,Nifty50 TR 1x Inv,       520.75,       517.30,       528.75,       516.50,       520.50,-.25
,Nifty50 Value 20,      3146.70,      3167.55,      3167.55,      3081.30,      3137.25,-9.45

,ADVANCES,493
,DECLINES,1076
,UNCHANGED,64

,Total securities that have hit their price bands today,216

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,AXISBANK,EQ,       377.20,       391.10,3.69,1100.88
,ICICIBANK,EQ,       199.25,       193.55,-2.86,735.38
,SBIN,EQ,       154.25,       154.80,0.36,626.91
,TATAMOTORS,EQ,       276.35,       298.35,7.96,623.54
,RELIANCE,EQ,       924.55,       906.55,-1.95,608.54
,JETAIRWAYS,EQ,       524.45,       543.95,3.72,606.59
,TEAMLEASE,EQ,       850.00,      1022.85,20.34,521.76
,WOCKPHARMA,EQ,       877.10,       762.10,-13.11,474.87
,SUNPHARMA,EQ,       830.40,       847.35,2.04,444.21
,AUROPHARMA,EQ,       639.15,       661.95,3.57,436.03
,LT,EQ,      1092.40,      1053.65,-3.55,432.16
,MARUTI,EQ,      3541.45,      3549.65,0.23,427.51
,INFY,EQ,      1078.65,      1084.65,0.56,401.44
,HDFC,EQ,      1066.65,      1083.75,1.6,378.63
,JUSTDIAL,EQ,       474.90,       415.35,-12.54,321.96
,YESBANK,EQ,       714.45,       728.45,1.96,316.93
,INDUSINDBK,EQ,       811.15,       811.95,0.1,307.52
,HDFCBANK,EQ,       975.30,       971.40,-0.4,306.5
,M&M,EQ,      1126.60,      1165.25,3.43,278.72
,ITC,EQ,       298.55,       300.10,0.52,265.53
,TCS,EQ,      2197.95,      2226.60,1.3,240.55
,ADANIPORTS,EQ,       186.85,       178.05,-4.71,217.98
,BHEL,EQ,       120.25,       104.45,-13.14,217.53
,TATASTEEL,EQ,       224.50,       217.50,-3.12,203.56
,RELINFRA,EQ,       402.95,       402.85,-0.02,199.11

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,IDEA,EQ,       109.65,       101.15,8.4
,TATAMOTORS,EQ,       298.35,       276.35,7.96
,BHARTIARTL,EQ,       324.55,       308.70,5.13
,CAIRN,EQ,       118.95,       114.30,4.07
,AXISBANK,EQ,       391.10,       377.20,3.69

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BHEL,EQ,       104.45,       120.25,-13.14
,BPCL,EQ,       772.80,       817.75,-5.5
,ONGC,EQ,       193.25,       203.15,-4.87
,ADANIPORTS,EQ,       178.05,       186.85,-4.71
,PNB,EQ,        73.65,        77.05,-4.41

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        26.40,                   676985.50,25738
,3IINFOTECH,EQ,         4.10,                 11757520.70,2893548
,3MINDIA,EQ,     10623.40,                 17404777.30,1676
,8KMILES,EQ,      1503.90,                235101840.00,165799
,A2ZINFRA,EQ,        18.90,                  4721714.90,265357
,AARTIDRUGS,EQ,       476.75,                  8278997.45,17708
,AARTIIND,EQ,       446.20,                 22745111.25,50495
,AARVEEDEN,EQ,        48.65,                   276390.75,5671
,ABAN,EQ,       147.35,                111295475.25,757882
,ABB,EQ,      1039.40,                 83868963.50,79398
,ABBOTINDIA,EQ,      4797.60,                 17602272.20,3722
,ABFRL,EQ,       147.90,                427269230.90,2790187
,ABGSHIP,EQ,        42.45,                 11693149.60,282390
,ABIRLANUVO,EQ,       746.10,                321893743.95,425751
,ACCELYA,EQ,       860.25,                  2192442.75,2523
,ACE,EQ,        34.10,                  4829060.85,145194
,ACROPETAL,EQ,         2.90,                    47063.20,16633
,ADANIENT,EQ,        64.20,                289297451.70,4493848
,ADANIPOWER,EQ,        24.75,                361679960.60,15031416
,ADANITRANS,EQ,        28.75,                 42917211.65,1504398
,ADFFOODS,EQ,        74.90,                  2210752.80,29848
,ADHUNIK,EQ,        10.65,                   514730.40,48783
,ADI,EQ,       201.30,                  8082876.55,44840
,ADLABS,EQ,        79.65,                 12035167.25,150292
,ADORWELD,EQ,       244.80,                   675531.80,2766
,ADSL,EQ,        38.00,                 10762028.65,285160
,ADVANIHOTR,EQ,        45.50,                    58627.00,1271
,ADVANTA,EQ,       386.10,                  7781604.30,20228
,AEGISCHEM,EQ,        88.15,                 18264676.65,215956
,AFL,EQ,        42.15,                   754300.55,17534
,AGARIND,EQ,       157.00,                  5564233.10,35694
,AGCNET,EQ,        68.25,                   438278.10,6394
,AGRITECH,BE,         9.10,                     1964.20,218
,AGRODUTCH,EQ,         3.00,                    60777.50,20281
,AHLEAST,EQ,       131.00,                     5543.80,42
,AHLUCONT,EQ,       227.20,                 12433577.50,55049
,AHLWEST,EQ,       115.05,                    39891.15,350
,AIAENG,EQ,       767.15,                 16928698.95,22323
,AIFL,EQ,       237.25,                 23537418.85,96922
,AIL,EQ,       599.85,                  6110883.00,10219
,AJANTPHARM,EQ,      1311.65,                309595792.00,240925
,AJMERA,EQ,       115.40,                  8419320.35,74208
,AKSHOPTFBR,EQ,        13.20,                 14761852.85,1135170
,AKZOINDIA,EQ,      1252.50,                  9316886.25,7528
,ALANKIT,EQ,        77.30,                 44539137.55,584095
,ALBK,EQ,        41.30,                263500218.90,6425807
,ALCHEM,EQ,        21.20,                   121078.50,5746
,ALEMBICLTD,EQ,        33.75,                  8121995.10,244557
,ALICON,EQ,       251.55,                  1233163.70,4927
,ALKALI,EQ,        38.15,                   194115.05,5089
,ALKEM,EQ,      1319.75,                686904979.30,518016
,ALKYLAMINE,EQ,       306.70,                  1103017.25,3664
,ALLCARGO,EQ,       160.80,                 14679358.30,93319
,ALLSEC,EQ,       102.35,                  1556831.80,15331
,ALMONDZ,EQ,         9.95,                    10453.10,1162
,ALOKTEXT,EQ,         4.05,                 33637925.95,8376562
,ALPA,BE,        45.50,                   649726.90,14277
,ALPHAGEO,EQ,       521.70,                 10392186.85,20288
,ALPSINDUS,EQ,         4.55,                    92842.75,20405
,ALSTOMT&D,EQ,       395.85,                 56333213.55,142843
,AMARAJABAT,EQ,       824.05,                314563692.80,382313
,AMBIKCO,EQ,       758.50,                  4670201.20,6167
,AMDIND,EQ,        25.10,                   323665.25,13361
,AMRUTANJAN,EQ,       391.10,                  5067136.25,12846
,AMTEKAUTO,EQ,        27.60,                 86586716.70,3121682
,AMTL,EQ,        22.60,                    97646.10,4908
,ANANDAMRUB,EQ,        17.45,                     9126.00,501
,ANANTRAJ,EQ,        30.40,                 15441918.70,510579
,ANDHRABANK,EQ,        43.35,                196626253.05,4566690
,ANDHRACEMT,EQ,         5.95,                  1705073.60,291372
,ANDHRSUGAR,EQ,       105.40,                   893767.15,8614
,ANGIND,EQ,        37.30,                  1947816.40,53844
,ANIKINDS,BE,        26.65,                    17327.45,654
,ANKITMETAL,EQ,         1.95,                   202135.10,104522
,ANSALAPI,EQ,        15.25,                  4033770.15,269012
,ANSALHSG,EQ,        18.65,                   818154.75,44762
,ANTGRAPHIC,BE,         1.35,                   534028.25,406162
,APARINDS,EQ,       443.20,                  4548095.55,10419
,APCOTEXIND,EQ,       185.30,                   951237.05,5181
,APLAPOLLO,EQ,       658.35,                 19398251.70,30362
,APLLTD,EQ,       589.45,                 55297496.60,93723
,APOLLOTYRE,EQ,       148.05,               1114952619.35,7522145
,APOLSINHOT,BE,       231.80,                      231.80,1
