,26-Feb-2016
The Nifty witnessed an intraday movement of about 67.8 points.The closing index was 0.85 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 14088.48
, Traded Quantity (in Lakhs), 7484.54
, Number of Trades, 6743815
, Total Market Capitalisation (Rs. Crores), 8477925.74

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      6970.60,      7039.30,      7052.90,      6985.10,      7029.75,59.15
,Nifty IT,     10403.50,     10488.45,     10567.95,     10419.00,     10463.35,59.85
,Nifty Next 50,     16952.20,     17120.55,     17173.65,     16953.55,     17074.65,122.45
,Nifty Bank,     13555.70,     13715.10,     13889.25,     13595.20,     13791.45,235.75
,Nifty Midcap 100,     11538.45,     11638.20,     11653.65,     11477.25,     11518.20,-20.25
,Nifty 500,      5816.50,      5870.55,      5878.90,      5818.50,      5852.90,36.4
,Nifty 100,      7058.85,      7128.50,      7141.75,      7071.80,      7117.30,58.45
,Nifty Midcap 50,      2707.40,      2735.90,      2741.30,      2688.70,      2714.40,7
,Nifty Realty,       128.25,       129.35,       130.65,       127.65,       130.10,1.85
,Nifty Infra,      2282.85,      2302.30,      2319.45,      2281.70,      2305.55,22.7
,Nifty Energy,      7652.10,      7727.30,      7745.55,      7654.25,      7713.10,61
,Nifty FMCG,     18094.75,     18258.75,     18369.90,     18087.05,     18306.60,211.85
,Nifty MNC,      8266.25,      8347.65,      8378.15,      8246.10,      8315.80,49.55
,Nifty Pharma,     11177.10,     11283.05,     11317.35,     11144.50,     11164.25,-12.85
,Nifty PSE,      2631.55,      2657.20,      2667.45,      2632.85,      2661.95,30.4
,Nifty PSU Bank,      1983.80,      2029.05,      2043.40,      1989.65,      2020.65,36.85
,Nifty Serv Sector,      8800.15,      8892.95,      8929.55,      8834.75,      8900.10,99.95
,India VIX,22.7450,22.7450,23.1450,21.1900,21.8650,-0.8800
,Nifty Auto,      7175.75,      7248.80,      7271.40,      7124.75,      7164.85,-10.9
,Nifty Metal,      1612.40,      1626.45,      1636.30,      1603.75,      1629.55,17.15
,Nifty Media,      2186.95,      2214.90,      2224.80,      2174.45,      2197.35,10.4
,Nifty Small 100,      4386.35,      4425.10,      4435.65,      4341.20,      4371.45,-14.9
,Nifty 200,      3648.15,      3684.15,      3690.90,      3652.00,      3675.25,27.1
,Nifty Div Opps 50,      1655.45,      1670.45,      1674.35,      1651.50,      1664.85,9.4
,Nifty Commodities,      2158.60,      2178.75,      2182.20,      2154.70,      2173.00,14.4
,Nifty Consumption,      3194.75,      3222.55,      3231.75,      3179.15,      3198.65,3.9
,Nifty Fin Service,      5689.90,      5755.50,      5810.80,      5706.60,      5775.15,85.25
,Nifty50 Div Point,       100.93,       100.93,       100.93,       100.93,       100.93,0
,Nifty100 Liq 15,      2583.30,      2619.35,      2624.20,      2584.35,      2604.70,21.4
,Nifty CPSE,      1772.40,      1786.80,      1794.90,      1771.75,      1788.05,15.65
,Nifty GrowSect 15,      4794.15,      4834.60,      4851.95,      4778.75,      4807.30,13.15
,Nifty50 PR 2x Lev,      2319.25,      2364.55,      2372.75,      2329.05,      2358.15,38.9
,Nifty50 PR 1x Inv,       564.45,       558.95,       563.30,       557.95,       559.75,-4.7
,Nifty50 TR 2x Lev,      2714.85,      2767.85,      2777.45,      2726.30,      2760.40,45.55
,Nifty50 TR 1x Inv,       521.60,       516.60,       520.55,       515.65,       517.30,-4.3
,Nifty50 Value 20,      3168.65,      3198.80,      3199.85,      3170.80,      3189.80,21.15

,ADVANCES,586
,DECLINES,926
,UNCHANGED,70

,Total securities that have hit their price bands today,129

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,HDFC,EQ,      1042.65,      1053.70,1.06,512.29
,SBIN,EQ,       151.80,       155.90,2.7,468.13
,ICICIBANK,EQ,       183.00,       184.80,0.98,410.87
,MCDOWELL-N,EQ,      2665.60,      2729.55,2.4,374.52
,AXISBANK,EQ,       378.20,       386.35,2.15,370.78
,JETAIRWAYS,EQ,       504.70,       505.40,0.14,348.9
,MARUTI,EQ,      3414.15,      3409.20,-0.14,283.06
,YESBANK,EQ,       670.50,       686.55,2.39,280.78
,TATAMOTORS,EQ,       298.20,       301.80,1.21,276.62
,TATAELXSI,EQ,      1770.45,      1682.35,-4.98,261.19
,AUROPHARMA,EQ,       588.85,       615.85,4.59,247.29
,INFY,EQ,      1110.30,      1121.15,0.98,237.53
,ITC,EQ,       286.20,       290.95,1.66,230.97
,SUNPHARMA,EQ,       875.35,       871.90,-0.39,211.66
,BHARTIARTL,EQ,       322.55,       317.95,-1.43,203.19
,BANKBARODA,EQ,       130.10,       132.75,2.04,201.11
,COALINDIA,EQ,       299.40,       311.45,4.02,195.46
,RELIANCE,EQ,       944.10,       950.35,0.66,181.63
,TCS,EQ,      2212.85,      2210.50,-0.11,170.52
,LT,EQ,      1086.45,      1110.65,2.23,168.29
,LUPIN,EQ,      1760.10,      1726.75,-1.89,149.87
,HDFCBANK,EQ,       942.65,       961.00,1.95,149.16
,ULTRACEMCO,EQ,      2779.10,      2770.95,-0.29,134.94
,TATASTEEL,EQ,       248.15,       248.45,0.12,132.04
,IBULHSGFIN,EQ,       560.20,       575.50,2.73,122.17

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,COALINDIA,EQ,       311.45,       299.40,4.02
,HINDALCO,EQ,        69.45,        67.15,3.43
,VEDL,EQ,        71.80,        69.60,3.16
,SBIN,EQ,       155.90,       151.80,2.7
,CAIRN,EQ,       123.80,       120.65,2.61

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BAJAJ-AUTO,EQ,      2238.10,      2322.00,-3.61
,HEROMOTOCO,EQ,      2555.40,      2621.35,-2.52
,LUPIN,EQ,      1726.75,      1760.10,-1.89
,BHARTIARTL,EQ,       317.95,       322.55,-1.43
,ACC,EQ,      1190.90,      1199.85,-0.75

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        26.40,                   192730.40,7345
,3IINFOTECH,EQ,         3.95,                  3235238.00,812539
,3MINDIA,EQ,     10350.00,                  6742737.90,654
,8KMILES,EQ,      1542.50,                 23127692.90,14735
,A2ZINFRA,EQ,        17.65,                  2638573.60,149203
,AARTIDRUGS,EQ,       464.65,                  2083243.80,4469
,AARTIIND,EQ,       426.15,                  5225061.30,12317
,AARVEEDEN,EQ,        50.40,                    50148.35,986
,ABAN,EQ,       160.30,                143954577.00,898331
,ABB,EQ,      1024.90,                 73423365.05,71891
,ABBOTINDIA,EQ,      4800.40,                192289558.90,40352
,ABFRL,EQ,       135.20,                280620751.15,2022192
,ABGSHIP,EQ,        51.50,                 10210604.05,193258
,ABIRLANUVO,EQ,       707.25,                165689596.25,234107
,ACCELYA,EQ,       882.05,                  1077734.85,1233
,ACE,EQ,        35.60,                  2202475.75,61232
,ACROPETAL,EQ,         2.80,                    54997.50,19261
,ADANIENT,EQ,        60.50,                156441419.50,2582455
,ADANIPOWER,EQ,        28.30,                202023979.65,7204325
,ADANITRANS,EQ,        28.25,                 16154234.00,566645
,ADFFOODS,EQ,        66.20,                  1399393.65,21003
,ADHUNIK,EQ,        10.10,                   228676.60,22465
,ADI,EQ,       210.35,                   303399.85,1443
,ADLABS,EQ,        69.60,                  3427041.25,49060
,ADORWELD,EQ,       244.40,                  2529206.80,10374
,ADSL,EQ,        33.40,                  5295224.00,155166
,ADVANIHOTR,EQ,        46.20,                    65650.20,1421
,ADVANTA,EQ,       386.20,                  1966783.30,5046
,AEGISCHEM,EQ,        82.15,                  7384429.75,89152
,AFL,EQ,        40.70,                   228393.75,5614
,AGARIND,EQ,       151.50,                  1672474.40,11055
,AGCNET,EQ,        60.15,                   145367.15,2464
,AGRODUTCH,EQ,         2.80,                     9842.85,3512
,AHLEAST,EQ,       127.55,                    21258.10,167
,AHLUCONT,EQ,       216.80,                   756575.20,3496
,AHLWEST,EQ,       125.00,                   128841.05,1033
,AIAENG,EQ,       770.45,                 36118705.35,46525
,AIFL,EQ,       242.55,                  4954918.70,20263
,AIL,EQ,       563.50,                  2038191.05,3592
,AJANTPHARM,EQ,      1287.10,                174686028.20,135943
,AJMERA,EQ,       108.40,                  3478483.05,31785
,AKSHOPTFBR,EQ,        12.35,                  6649304.60,536732
,AKZOINDIA,EQ,      1308.75,                  9456133.65,7250
,ALANKIT,EQ,        90.55,                 40600154.35,452973
,ALBK,EQ,        44.05,                118856084.30,2714190
,ALCHEM,EQ,        20.10,                    32809.55,1610
,ALEMBICLTD,EQ,        34.15,                  2512833.00,73361
,ALICON,EQ,       254.80,                  1554913.50,6075
,ALKALI,EQ,        36.80,                   147630.90,4081
,ALKEM,EQ,      1279.55,                 52137607.65,41075
,ALKYLAMINE,EQ,       290.25,                  1102320.50,3813
,ALLCARGO,EQ,       142.40,                 17945733.55,124025
,ALLSEC,EQ,        95.05,                   770320.65,8209
,ALMONDZ,EQ,         9.00,                    10980.60,1204
,ALOKTEXT,EQ,         3.90,                  7322208.05,1867581
,ALPA,BE,        33.20,                  6389608.65,206871
,ALPHAGEO,EQ,       512.30,                  2450728.85,4760
,ALPSINDUS,EQ,         4.10,                    57928.60,13941
,ALSTOMT&D,EQ,       359.95,                  5539925.45,15348
,AMARAJABAT,EQ,       858.70,                249324380.10,290327
,AMBIKCO,EQ,       767.95,                  1676469.70,2192
,AMDIND,EQ,        25.35,                   221527.00,8696
,AMRUTANJAN,EQ,       386.90,                  1480036.55,3808
,AMTEKAUTO,EQ,        28.75,                 32584895.20,1120564
,AMTL,EQ,        22.00,                    33733.50,1521
,ANANDAMRUB,EQ,        14.65,                     4729.30,327
,ANANTRAJ,EQ,        28.10,                 14373070.00,511551
,ANDHRABANK,EQ,        46.85,                 64387830.40,1371248
,ANDHRACEMT,EQ,         6.30,                  1022597.20,154810
,ANDHRSUGAR,EQ,       111.75,                   528429.75,4711
,ANGIND,EQ,        35.35,                  1725219.40,48224
,ANIKINDS,BE,        22.80,                       91.20,4
,ANKITMETAL,EQ,         1.60,                    65991.70,40154
,ANSALAPI,EQ,        15.85,                   918953.15,57416
,ANSALHSG,EQ,        19.05,                    84594.45,4461
,ANTGRAPHIC,BE,         1.80,                   994826.35,549692
,APARINDS,EQ,       418.65,                  1599489.95,3802
,APCOTEXIND,EQ,       189.85,                   361403.10,1900
,APLAPOLLO,EQ,       565.80,                 23060498.70,40228
,APLLTD,EQ,       608.35,                 16419057.45,26935
,APOLLOTYRE,EQ,       154.95,                271465623.85,1746099
,APTECHT,EQ,        53.80,                  4875449.70,90362
