,09-Mar-2016
The Nifty witnessed an intraday movement of about 114.7 points.The closing index was 0.62 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 18248.94
, Traded Quantity (in Lakhs), 9546.76
, Number of Trades, 7678377
, Total Market Capitalisation (Rs. Crores), 9042770.86

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      7485.30,      7436.10,      7539.00,      7424.30,      7531.80,46.5
,Nifty IT,     10914.20,     10815.05,     10947.70,     10733.20,     10925.80,11.6
,Nifty Next 50,     18208.65,     18132.40,     18263.35,     18058.25,     18253.30,44.65
,Nifty Bank,     15146.50,     15022.35,     15331.25,     14989.40,     15279.05,132.55
,Nifty Midcap 100,     12325.30,     12270.50,     12360.30,     12211.40,     12353.80,28.5
,Nifty 500,      6243.65,      6208.20,      6279.50,      6193.45,      6275.10,31.45
,Nifty 100,      7580.35,      7533.50,      7629.50,      7518.85,      7622.90,42.55
,Nifty Midcap 50,      2992.60,      2970.40,      3028.00,      2954.90,      3025.35,32.75
,Nifty Realty,       149.05,       148.80,       152.50,       148.50,       151.40,2.35
,Nifty Infra,      2448.40,      2437.35,      2480.75,      2427.80,      2476.65,28.25
,Nifty Energy,      8177.60,      8130.70,      8235.95,      8130.50,      8225.35,47.75
,Nifty FMCG,     19214.00,     19085.65,     19279.70,     18960.50,     19248.55,34.55
,Nifty MNC,      8464.15,      8427.85,      8584.15,      8412.50,      8564.10,99.95
,Nifty Pharma,     11570.35,     11580.35,     11614.20,     11416.55,     11601.00,30.65
,Nifty PSE,      2798.55,      2788.60,      2799.70,      2780.95,      2794.80,-3.75
,Nifty PSU Bank,      2327.40,      2288.25,      2340.00,      2278.85,      2334.70,7.3
,Nifty Serv Sector,      9556.30,      9483.25,      9615.25,      9467.10,      9603.50,47.2
,India VIX,18.4650,18.4650,18.6750,17.3150,17.5050,-0.9600
,Nifty Auto,      7596.65,      7556.30,      7704.60,      7540.25,      7689.80,93.15
,Nifty Metal,      1871.30,      1829.35,      1856.90,      1816.05,      1854.75,-16.55
,Nifty Media,      2298.25,      2280.20,      2325.00,      2273.05,      2319.60,21.35
,Nifty Small 100,      4793.25,      4767.80,      4816.60,      4751.45,      4812.90,19.65
,Nifty 200,      3919.65,      3896.00,      3943.35,      3887.15,      3940.25,20.6
,Nifty Div Opps 50,      1754.45,      1746.45,      1757.45,      1740.70,      1755.80,1.35
,Nifty Commodities,      2329.20,      2312.45,      2335.65,      2310.05,      2334.00,4.8
,Nifty Consumption,      3294.40,      3279.90,      3323.70,      3277.15,      3320.10,25.7
,Nifty Fin Service,      6314.50,      6276.30,      6344.10,      6224.65,      6331.70,17.2
,Nifty50 Div Point,       101.18,       101.18,       101.18,       101.18,       101.18,0
,Nifty100 Liq 15,      2852.85,      2823.80,      2871.40,      2812.80,      2868.15,15.3
,Nifty CPSE,      1846.05,      1844.05,      1854.20,      1839.85,      1847.15,1.1
,Nifty GrowSect 15,      5036.65,      5010.00,      5070.15,      5002.50,      5062.90,26.25
,Nifty50 PR 2x Lev,      2663.55,      2628.05,      2701.15,      2619.90,      2696.15,32.6
,Nifty50 PR 1x Inv,       525.85,       529.40,       530.20,       522.20,       522.70,-3.15
,Nifty50 TR 2x Lev,      3118.00,      3076.45,      3162.00,      3066.90,      3156.20,38.2
,Nifty50 TR 1x Inv,       485.95,       489.25,       490.00,       482.60,       483.05,-2.9
,Nifty50 Value 20,      3399.75,      3370.15,      3422.50,      3366.95,      3419.10,19.35

,ADVANCES,853
,DECLINES,687
,UNCHANGED,71

,Total securities that have hit their price bands today,108

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,JUSTDIAL,EQ,       650.00,       655.80,0.89,982.66
,SBIN,EQ,       183.35,       183.40,0.03,535.21
,HCLTECH,EQ,       815.25,       815.65,0.05,492.48
,YESBANK,EQ,       759.55,       790.60,4.09,471.96
,CROMPGREAV,EQ,       139.45,       151.85,8.89,468.04
,HDFC,EQ,      1146.45,      1128.65,-1.55,444.69
,ITC,EQ,       320.25,       319.90,-0.11,423.3
,RELINFRA,EQ,       483.65,       515.40,6.56,370.89
,INFY,EQ,      1163.45,      1178.50,1.29,368.33
,AXISBANK,EQ,       411.75,       416.85,1.24,350.43
,ICICIBANK,EQ,       216.85,       216.35,-0.23,336.66
,TATASTEEL,EQ,       291.80,       295.40,1.23,292.29
,RELIANCE,EQ,      1027.00,      1041.70,1.43,280.11
,SUNPHARMA,EQ,       858.60,       860.90,0.27,266.48
,MARUTI,EQ,      3462.65,      3576.40,3.29,265.68
,BANKBARODA,EQ,       141.90,       143.05,0.81,263.95
,LT,EQ,      1187.45,      1212.85,2.14,250.46
,WOCKPHARMA,EQ,       965.95,       979.10,1.36,247.56
,TCS,EQ,      2354.30,      2357.25,0.13,234.74
,CIPLA,EQ,       532.35,       529.30,-0.57,230.52
,TATAELXSI,EQ,      1874.75,      1960.75,4.59,220.84
,TATAMOTORS,EQ,       346.05,       347.70,0.48,219.18
,COALINDIA,EQ,       324.05,       322.50,-0.48,213.88
,VEDL,EQ,        90.35,        87.85,-2.77,213.14
,JETAIRWAYS,EQ,       526.65,       540.05,2.54,201.65

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,YESBANK,EQ,       790.60,       759.55,4.09
,TECHM,EQ,       464.15,       448.85,3.41
,MARUTI,EQ,      3576.40,      3462.65,3.29
,GRASIM,EQ,      3631.90,      3529.35,2.91
,BOSCHLTD,EQ,     17932.95,     17441.25,2.82

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,VEDL,EQ,        87.85,        90.35,-2.77
,BPCL,EQ,       799.35,       820.90,-2.63
,HINDALCO,EQ,        81.10,        83.15,-2.47
,HDFC,EQ,      1128.65,      1146.45,-1.55
,ADANIPORTS,EQ,       226.00,       228.25,-0.99

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        26.85,                   262890.80,9749
,3IINFOTECH,EQ,         4.40,                  5292708.85,1201997
,3MINDIA,EQ,     10779.70,                  6270579.15,583
,8KMILES,EQ,      1847.50,                 56122698.60,30510
,A2ZINFRA,EQ,        20.10,                  3399326.95,170505
,AARTIDRUGS,EQ,       494.65,                  2358306.80,4798
,AARTIIND,EQ,       471.30,                 11384648.10,24006
,AARVEEDEN,EQ,        52.70,                    98358.75,1857
,ABAN,EQ,       182.15,                196515894.15,1080819
,ABB,EQ,      1176.55,                 82872995.90,71256
,ABBOTINDIA,EQ,      4925.90,                  6377678.50,1290
,ABFRL,EQ,       148.50,                162248907.55,1083496
,ABGSHIP,EQ,        58.50,                 30624559.10,520669
,ABIRLANUVO,EQ,       772.30,                156655864.65,205540
,ACCELYA,EQ,       878.55,                   782897.00,890
,ACE,EQ,        37.85,                  2359142.70,62407
,ACROPETAL,EQ,         2.85,                     9005.90,3076
,ADANIENT,EQ,        66.40,                261584221.05,4012710
,ADANIPOWER,EQ,        30.25,                142761223.50,4772765
,ADANITRANS,EQ,        31.05,                  8443618.70,273653
,ADFFOODS,EQ,        81.70,                  6885063.95,86146
,ADHUNIK,EQ,        11.90,                   369508.70,30973
,ADI,EQ,       279.50,                 20951167.85,77334
,ADLABS,EQ,        85.75,                  5841242.90,68192
,ADORWELD,EQ,       267.90,                   437020.95,1624
,ADSL,EQ,        42.25,                 24498793.60,593944
,ADVANTA,EQ,       442.60,                  7277818.10,16434
,AEGISCHEM,EQ,       103.40,                 26234157.95,252789
,AFL,EQ,        57.85,                  2528701.50,44831
,AGARIND,EQ,       151.80,                  2147209.25,14078
,AGCNET,EQ,        76.95,                  1143311.50,14889
,AGRITECH,EQ,         8.80,                     2024.00,230
,AGRODUTCH,EQ,         3.05,                    10146.00,3325
,AHLEAST,EQ,       137.20,                   205612.80,1514
,AHLUCONT,EQ,       238.55,                  2645111.15,10968
,AHLWEST,EQ,       120.00,                   404561.00,3370
,AIAENG,EQ,       829.50,                 11817786.10,14249
,AIFL,EQ,       243.75,                  4034457.20,16711
,AIL,EQ,       580.05,                 15361946.65,26523
,AJANTPHARM,EQ,      1425.80,                133090463.10,93867
,AJMERA,EQ,       130.80,                  6971368.80,53239
,AKSHOPTFBR,EQ,        13.55,                  6632228.95,492583
,AKZOINDIA,EQ,      1296.20,                  4499714.40,3473
,ALANKIT,EQ,        97.40,                 61568772.15,638544
,ALBK,EQ,        51.95,                164845463.50,3218862
,ALCHEM,EQ,        22.20,                    28251.60,1281
,ALEMBICLTD,EQ,        38.00,                  6031739.80,160570
,ALICON,EQ,       262.95,                   548749.50,2084
,ALKALI,EQ,        44.50,                    80734.10,1828
,ALKEM,EQ,      1345.75,                 53752385.55,40059
,ALKYLAMINE,EQ,       317.55,                  1429486.45,4514
,ALLCARGO,EQ,       158.20,                 13600958.00,85729
,ALLSEC,EQ,       110.50,                   936414.65,8673
,ALMONDZ,EQ,         9.50,                     6545.00,700
,ALOKTEXT,EQ,         4.35,                 13766394.20,3137356
,ALPA,BE,        35.55,                   122754.15,3453
,ALPHAGEO,EQ,       538.65,                  2830024.05,5356
,ALPSINDUS,EQ,         4.50,                    57738.30,12795
,ALSTOMT&D,EQ,       390.80,                 14307251.95,36686
,AMARAJABAT,EQ,       903.40,                697176486.65,769864
,AMBIKCO,EQ,       810.15,                   918312.45,1139
,AMDIND,EQ,        27.90,                   337880.45,12226
,AMRUTANJAN,EQ,       403.45,                  2349975.10,5844
,AMTEKAUTO,EQ,        31.65,                 68201098.00,2154938
,AMTL,EQ,        22.65,                   114413.45,4963
,ANANDAMRUB,EQ,        12.95,                      129.50,10
,ANANTRAJ,EQ,        32.70,                 13628684.80,416473
,ANDHRABANK,EQ,        53.90,                 75924786.50,1427275
,ANDHRACEMT,EQ,         7.55,                  1846465.80,245701
,ANDHRSUGAR,EQ,       127.55,                  5427363.45,42130
,ANGIND,EQ,        40.00,                  1891136.65,47264
,ANIKINDS,BE,        27.60,                     2787.60,101
,ANKITMETAL,EQ,         1.75,                    73659.20,41616
,ANSALAPI,EQ,        18.10,                  1679543.25,92736
,ANSALHSG,EQ,        21.00,                   449293.00,21206
,ANTGRAPHIC,BE,         1.45,                     1689.25,1165
,APARINDS,EQ,       459.85,                  1818888.80,3996
,APCOTEXIND,EQ,       203.60,                   489248.55,2423
,APLAPOLLO,EQ,       652.20,                 12206472.85,18655
,APLLTD,EQ,       629.25,                 26715809.15,42492
,APOLLOTYRE,EQ,       171.50,                424570440.95,2510975
,APTECHT,EQ,        57.70,                 13501678.40,234605
