,23-Mar-2016
The Nifty witnessed an intraday movement of about 56.25 points.The closing index was 0.02 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 15928.46
, Traded Quantity (in Lakhs), 7916.11
, Number of Trades, 7045674
, Total Market Capitalisation (Rs. Crores), 9252171.24

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      7714.90,      7717.45,      7726.85,      7670.60,      7716.50,1.6
,Nifty IT,     11206.60,     11219.70,     11246.00,     11125.10,     11228.15,21.55
,Nifty Next 50,     18621.30,     18635.20,     18672.20,     18561.75,     18648.40,27.1
,Nifty Bank,     15936.00,     15884.25,     15919.60,     15799.95,     15887.75,-48.25
,Nifty Midcap 100,     12595.65,     12603.85,     12652.35,     12573.65,     12636.75,41.1
,Nifty 500,      6418.30,      6421.20,      6430.00,      6389.50,      6423.70,5.4
,Nifty 100,      7803.10,      7806.20,      7815.65,      7762.05,      7806.30,3.2
,Nifty Midcap 50,      3125.70,      3126.20,      3143.05,      3121.35,      3134.65,8.95
,Nifty Realty,       156.65,       156.60,       158.10,       156.00,       156.45,-.2
,Nifty Infra,      2538.20,      2543.20,      2561.05,      2537.60,      2549.50,11.3
,Nifty Energy,      8406.25,      8412.70,      8412.70,      8289.95,      8309.30,-96.95
,Nifty FMCG,     19609.00,     19662.45,     19662.65,     19463.05,     19629.65,20.65
,Nifty MNC,      8974.55,      8980.05,      9021.85,      8930.40,      9008.85,34.3
,Nifty Pharma,     11217.50,     11213.75,     11237.40,     11134.85,     11198.30,-19.2
,Nifty PSE,      2838.35,      2842.65,      2846.50,      2825.35,      2832.85,-5.5
,Nifty PSU Bank,      2472.60,      2462.15,      2466.75,      2443.05,      2454.65,-17.95
,Nifty Serv Sector,      9906.30,      9892.75,      9924.20,      9838.50,      9908.85,2.55
,India VIX,16.4300,16.4300,16.8700,13.9475,16.3450,-0.0850
,Nifty Auto,      7947.15,      7964.60,      8004.05,      7932.30,      7990.75,43.6
,Nifty Metal,      1908.90,      1917.10,      1951.90,      1917.10,      1948.60,39.7
,Nifty Media,      2321.00,      2322.20,      2341.15,      2312.80,      2321.30,.3
,Nifty Small 100,      4891.85,      4895.35,      4902.80,      4865.70,      4874.05,-17.8
,Nifty 200,      4032.45,      4034.00,      4038.05,      4012.75,      4033.95,1.5
,Nifty Div Opps 50,      1798.90,      1803.05,      1803.05,      1791.35,      1800.50,1.6
,Nifty Commodities,      2419.70,      2427.95,      2434.25,      2413.60,      2425.20,5.5
,Nifty Consumption,      3388.25,      3394.50,      3406.55,      3385.40,      3401.50,13.25
,Nifty Fin Service,      6595.45,      6572.05,      6588.70,      6523.30,      6576.30,-19.15
,Nifty50 Div Point,       119.69,       119.69,       119.69,       119.69,       119.69,0
,Nifty100 Liq 15,      2969.55,      2971.10,      2973.55,      2955.45,      2964.20,-5.35
,Nifty CPSE,      1851.90,      1857.60,      1860.90,      1841.65,      1852.15,.25
,Nifty GrowSect 15,      5085.80,      5097.25,      5108.30,      5068.70,      5104.55,18.75
,Nifty50 PR 2x Lev,      2820.70,      2822.00,      2828.60,      2787.95,      2821.30,.6
,Nifty50 PR 1x Inv,       511.25,       511.15,       514.25,       510.55,       511.20,-.05
,Nifty50 TR 2x Lev,      3314.15,      3315.70,      3323.45,      3275.70,      3314.85,.7
,Nifty50 TR 1x Inv,       471.60,       471.50,       474.35,       470.95,       471.55,-.05
,Nifty50 Value 20,      3526.75,      3525.05,      3532.20,      3501.60,      3528.10,1.35
,Nifty Mid Liq 15,      2557.50,      2560.90,      2566.35,      2535.10,      2541.30,-16.2
,Nifty Pvt Bank,      8932.90,      8901.90,      8935.85,      8868.00,      8915.00,-17.9
,Nifty Quality 30,      2023.55,      2027.40,      2028.60,      2013.10,      2026.60,3.05

,ADVANCES,759
,DECLINES,783
,UNCHANGED,86

,Total securities that have hit their price bands today,121

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,JUSTDIAL,EQ,       703.05,       741.60,5.48,537.88
,RELIANCE,EQ,      1047.85,      1029.20,-1.78,396.26
,INFY,EQ,      1189.95,      1207.80,1.5,378.69
,ICICIBANK,EQ,       233.60,       234.20,0.26,359.76
,YESBANK,EQ,       832.20,       849.25,2.05,354.18
,JETAIRWAYS,EQ,       540.30,       554.15,2.56,342.6
,ITC,EQ,       323.15,       324.25,0.34,332.64
,TCS,EQ,      2473.10,      2473.80,0.03,281.73
,LUPIN,EQ,      1549.05,      1524.15,-1.61,270.4
,SBIN,EQ,       197.50,       196.60,-0.46,262.43
,INDIGO,EQ,       843.65,       898.50,6.5,245.55
,HDFC,EQ,      1168.10,      1162.75,-0.46,244.41
,HDFCBANK,EQ,      1053.85,      1049.35,-0.43,221.35
,AXISBANK,EQ,       441.25,       437.50,-0.85,219.57
,MARUTI,EQ,      3699.55,      3736.00,0.99,218.08
,TATAMOTORS,EQ,       377.20,       377.00,-0.05,217.24
,KOTAKBANK,EQ,       666.30,       659.95,-0.95,216.48
,HINDALCO,EQ,        87.00,        91.30,4.94,205.59
,HCLTECH,EQ,       828.45,       817.70,-1.3,205.16
,LT,EQ,      1237.30,      1242.55,0.42,201.71
,TATASTEEL,EQ,       309.80,       317.20,2.39,200.23
,SUNPHARMA,EQ,       844.60,       846.20,0.19,196.98
,VEDL,EQ,        96.20,        96.85,0.68,190.19
,RELINFRA,EQ,       535.95,       536.60,0.12,189.21
,ASHOKLEY,EQ,       103.50,       106.00,2.42,170.89

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HINDALCO,EQ,        91.30,        87.00,4.94
,IDEA,EQ,       104.95,       102.05,2.84
,TATASTEEL,EQ,       317.20,       309.80,2.39
,BHARTIARTL,EQ,       358.20,       350.90,2.08
,YESBANK,EQ,       849.25,       832.20,2.05

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,RELIANCE,EQ,      1029.20,      1047.85,-1.78
,BANKBARODA,EQ,       144.00,       146.50,-1.71
,LUPIN,EQ,      1524.15,      1549.05,-1.61
,PNB,EQ,        84.70,        85.95,-1.45
,GAIL,EQ,       356.10,       361.05,-1.37

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        28.45,                    82143.80,2890
,3IINFOTECH,EQ,         4.45,                  4729217.10,1055428
,3MINDIA,EQ,     10799.55,                  4366724.35,404
,8KMILES,EQ,      2064.85,                135303118.30,63287
,A2ZINFRA,EQ,        20.65,                 15615740.95,767393
,AARTIDRUGS,EQ,       473.70,                  2334651.70,4897
,AARTIIND,EQ,       466.65,                  5520690.15,11785
,AARVEEDEN,EQ,        53.00,                    20360.75,385
,ABAN,EQ,       184.35,                201190741.95,1084969
,ABB,EQ,      1206.45,                127579968.60,105061
,ABBOTINDIA,EQ,      4737.15,                 15056091.60,3154
,ABFRL,EQ,       140.00,                 78443588.95,555721
,ABGSHIP,EQ,        71.55,                 39344910.55,545883
,ABIRLANUVO,EQ,       833.65,                450360415.65,551338
,ACCELYA,EQ,       889.50,                  2448282.75,2778
,ACE,EQ,        38.95,                 12934207.90,334052
,ACROPETAL,EQ,         2.75,                    26486.85,9819
,ADANIENT,EQ,        71.20,                358271377.80,5032482
,ADANIPOWER,EQ,        31.80,                101932883.55,3209287
,ADANITRANS,EQ,        34.15,                 26050729.55,757650
,ADFFOODS,EQ,        78.75,                   605224.85,7660
,ADHUNIK,EQ,        11.55,                   252698.95,21687
,ADI,EQ,       258.15,                   442026.25,1708
,ADLABS,EQ,        88.45,                  5860921.95,66176
,ADORWELD,EQ,       258.80,                  2801947.35,10803
,ADSL,EQ,        37.80,                  4252872.20,111880
,ADVANIHOTR,EQ,        46.75,                   201569.50,4285
,ADVANTA,EQ,       465.20,                  7810787.05,16970
,AEGISCHEM,EQ,        95.20,                 15964378.10,164988
,AFL,EQ,        48.65,                  1392322.00,28569
,AGARIND,EQ,       134.45,                  3809247.30,28490
,AGCNET,EQ,        67.60,                   196356.10,2870
,AGRITECH,EQ,         8.45,                      380.25,45
,AGRODUTCH,EQ,         3.00,                    14070.00,4800
,AHLEAST,EQ,       138.95,                    19432.40,147
,AHLUCONT,EQ,       270.75,                  6722754.95,25279
,AHLWEST,EQ,       120.00,                    11160.00,93
,AIAENG,EQ,       938.15,                 32358032.20,34102
,AIFL,EQ,       246.85,                 17155360.40,70824
,AIL,EQ,       588.35,                  5545207.45,9419
,AJANTPHARM,EQ,      1404.05,                176950299.40,125542
,AJMERA,EQ,       134.05,                  3774926.65,28052
,AKSHOPTFBR,EQ,        13.05,                  4913468.55,375473
,AKZOINDIA,EQ,      1271.95,                210692350.90,165644
,ALANKIT,EQ,       103.90,                 96634618.15,936819
,ALBK,EQ,        52.90,                 69208896.75,1306895
,ALCHEM,EQ,        21.00,                   128480.65,6145
,ALEMBICLTD,EQ,        36.70,                  5135032.15,139363
,ALICON,EQ,       291.55,                  1335337.05,4585
,ALKALI,EQ,        41.90,                   105867.75,2530
,ALKEM,EQ,      1355.80,                 83615169.90,61753
,ALKYLAMINE,EQ,       315.10,                   214437.55,678
,ALLCARGO,EQ,       155.90,                  9088924.95,58124
,ALLSEC,EQ,       108.35,                  1060628.05,9805
,ALMONDZ,EQ,         9.35,                       93.50,10
,ALOKTEXT,EQ,         4.75,                 34251661.90,7193067
,ALPA,BE,        39.65,                 58816416.55,1483604
,ALPHAGEO,EQ,       548.00,                 39333019.05,72413
,ALPSINDUS,EQ,         4.20,                    60443.25,14593
,ALSTOMT&D,EQ,       400.25,                 27173740.90,68517
,AMARAJABAT,EQ,       904.70,                 44678696.75,49414
,AMBIKCO,EQ,       825.60,                  2099673.95,2567
,AMDIND,EQ,        35.40,                  5291277.15,145303
,AMRUTANJAN,EQ,       425.65,                  3996458.30,9341
,AMTEKAUTO,EQ,        31.50,                 31348302.75,991824
,AMTL,EQ,        25.95,                   168361.50,6495
,ANANDAMRUB,EQ,        13.10,                       13.10,1
,ANANTRAJ,EQ,        32.85,                 11145728.85,338776
,ANDHRABANK,EQ,        50.75,                 90821439.40,1793622
,ANDHRACEMT,EQ,         7.60,                   627688.95,82450
,ANDHRSUGAR,EQ,       139.75,                 13352461.00,94766
,ANGIND,EQ,        37.80,                  4361771.30,115585
,ANIKINDS,BE,        32.00,                   411350.00,12500
,ANKITMETAL,EQ,         1.60,                   162895.90,100369
,ANSALAPI,EQ,        17.85,                  1003707.40,56131
,ANSALHSG,EQ,        20.00,                   187845.25,9357
,ANTGRAPHIC,BE,          .95,                     1805.00,1900
,APARINDS,EQ,       486.55,                  7695826.20,15903
,APCOTEXIND,EQ,       227.55,                 10260098.05,46356
,APLAPOLLO,EQ,       683.80,                  6943205.05,10259
,APLLTD,EQ,       608.65,                101401496.10,166128
,APOLLOTYRE,EQ,       175.20,                392221772.40,2239435
,APOLSINHOT,EQ,       200.75,                    10187.00,51
,APTECHT,EQ,        59.40,                 22925715.80,382821
,ARCHIDPLY,EQ,        47.75,                  1574982.75,32769
,ARCHIES,EQ,        20.55,                   817419.60,39729
,ARCOTECH,EQ,       358.85,                 88221870.70,247819
