,29-Mar-2016
The Nifty witnessed an intraday movement of about 70.65 points.The closing index was 0.24 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 18061.45
, Traded Quantity (in Lakhs), 8771.56
, Number of Trades, 6861862
, Total Market Capitalisation (Rs. Crores), 9117043.55

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      7615.10,      7606.55,      7652.90,      7582.25,      7597.00,-18.1
,Nifty IT,     11168.70,     11172.80,     11188.65,     11089.00,     11114.70,-54
,Nifty Next 50,     18376.45,     18349.45,     18435.45,     18210.45,     18369.60,-6.85
,Nifty Bank,     15604.90,     15583.10,     15774.10,     15580.80,     15666.25,61.35
,Nifty Midcap 100,     12438.70,     12434.30,     12462.85,     12334.10,     12401.05,-37.65
,Nifty 500,      6334.70,      6329.20,      6359.30,      6302.05,      6323.00,-11.7
,Nifty 100,      7701.90,      7692.80,      7737.80,      7664.95,      7686.05,-15.85
,Nifty Midcap 50,      3086.65,      3090.00,      3103.15,      3063.75,      3082.55,-4.1
,Nifty Realty,       149.25,       149.65,       151.00,       148.90,       149.85,.6
,Nifty Infra,      2505.15,      2505.55,      2521.55,      2492.15,      2497.75,-7.4
,Nifty Energy,      8286.00,      8315.55,      8376.15,      8298.60,      8323.05,37.05
,Nifty FMCG,     19462.80,     19392.05,     19634.15,     19352.00,     19375.45,-87.35
,Nifty MNC,      8871.45,      8849.50,      8937.95,      8848.55,      8888.75,17.3
,Nifty Pharma,     10960.05,     10940.30,     10940.30,     10353.90,     10665.25,-294.8
,Nifty PSE,      2820.45,      2829.30,      2834.45,      2800.35,      2805.00,-15.45
,Nifty PSU Bank,      2359.70,      2361.90,      2392.55,      2346.10,      2371.95,12.25
,Nifty Serv Sector,      9799.35,      9783.00,      9855.10,      9763.30,      9776.20,-23.15
,India VIX,17.4850,17.4850,18.0400,16.8050,17.6375,0.1525
,Nifty Auto,      7876.70,      7880.95,      8011.60,      7876.90,      7955.00,78.3
,Nifty Metal,      1853.20,      1855.45,      1881.80,      1848.20,      1860.40,7.2
,Nifty Media,      2296.00,      2294.10,      2296.70,      2270.45,      2281.40,-14.6
,Nifty Small 100,      4777.80,      4784.90,      4800.95,      4749.15,      4771.25,-6.55
,Nifty 200,      3978.45,      3974.45,      3995.80,      3957.55,      3970.15,-8.3
,Nifty Div Opps 50,      1785.50,      1785.50,      1794.05,      1779.05,      1782.00,-3.5
,Nifty Commodities,      2391.40,      2395.35,      2408.35,      2390.05,      2393.55,2.15
,Nifty Consumption,      3358.70,      3350.70,      3378.15,      3350.70,      3363.35,4.65
,Nifty Fin Service,      6463.45,      6444.60,      6500.10,      6441.60,      6453.95,-9.5
,Nifty50 Div Point,       119.69,       119.69,       119.69,       119.69,       119.69,0
,Nifty100 Liq 15,      2886.75,      2891.25,      2918.40,      2867.95,      2895.25,8.5
,Nifty CPSE,      1837.75,      1843.55,      1843.65,      1819.90,      1825.80,-11.95
,Nifty GrowSect 15,      5070.60,      5064.80,      5082.00,      5023.55,      5044.60,-26
,Nifty50 PR 2x Lev,      2744.40,      2737.70,      2770.30,      2721.00,      2730.85,-13.55
,Nifty50 PR 1x Inv,       518.45,       519.10,       520.70,       516.05,       519.75,1.3
,Nifty50 TR 2x Lev,      3224.50,      3216.65,      3254.95,      3197.00,      3208.55,-15.95
,Nifty50 TR 1x Inv,       478.25,       478.85,       480.30,       476.00,       479.45,1.2
,Nifty50 Value 20,      3479.85,      3477.45,      3509.15,      3473.60,      3483.00,3.15
,Nifty Mid Liq 15,      2508.10,      2506.30,      2516.25,      2485.90,      2492.40,-15.7
,Nifty Pvt Bank,      8766.90,      8752.65,      8859.25,      8752.65,      8799.15,32.25
,Nifty Quality 30,      1999.25,      1997.80,      2003.95,      1981.25,      1991.50,-7.75

,ADVANCES,623
,DECLINES,942
,UNCHANGED,71

,Total securities that have hit their price bands today,120

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,LUPIN,EQ,      1495.10,      1401.55,-6.26,2580.23
,SUNPHARMA,EQ,       809.25,       794.35,-1.84,589.32
,HDFC,EQ,      1143.35,      1125.75,-1.54,424.24
,INFY,EQ,      1204.90,      1197.25,-0.63,421.64
,ICICIBANK,EQ,       225.45,       223.40,-0.91,417.75
,ITC,EQ,       322.45,       320.00,-0.76,386.71
,RELIANCE,EQ,      1020.40,      1036.25,1.55,375.24
,TATAMOTORS,EQ,       363.30,       372.45,2.52,348.4
,CIPLA,EQ,       524.20,       503.50,-3.95,330.15
,SBIN,EQ,       188.30,       189.50,0.64,318.46
,AXISBANK,EQ,       422.90,       429.45,1.55,286.08
,MARUTI,EQ,      3638.95,      3729.95,2.5,255.38
,AUROPHARMA,EQ,       745.75,       736.50,-1.24,239.82
,TCS,EQ,      2473.40,      2469.40,-0.16,227.32
,JUSTDIAL,EQ,       754.30,       729.20,-3.33,225.41
,LT,EQ,      1206.35,      1193.95,-1.03,216
,HCLTECH,EQ,       810.65,       806.80,-0.47,204.25
,WOCKPHARMA,EQ,       940.85,       947.50,0.71,200.56
,TATASTEEL,EQ,       299.15,       303.85,1.57,180.88
,HDFCBANK,EQ,      1047.50,      1053.80,0.6,177.6
,VEDL,EQ,        87.95,        87.70,-0.28,171.44
,ASHOKLEY,EQ,       104.75,       106.65,1.81,167.55
,YESBANK,EQ,       842.25,       846.35,0.49,166.96
,DRREDDY,EQ,      3035.65,      2941.30,-3.11,149.66
,RELINFRA,EQ,       522.60,       520.90,-0.33,143.29

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TATAMOTORS,EQ,       372.45,       363.30,2.52
,MARUTI,EQ,      3729.95,      3638.95,2.5
,IDEA,EQ,       107.35,       105.35,1.9
,TATASTEEL,EQ,       303.85,       299.15,1.57
,RELIANCE,EQ,      1036.25,      1020.40,1.55

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,LUPIN,EQ,      1401.55,      1495.10,-6.26
,CIPLA,EQ,       503.50,       524.20,-3.95
,DRREDDY,EQ,      2941.30,      3035.65,-3.11
,GAIL,EQ,       347.80,       357.75,-2.78
,BHEL,EQ,       110.95,       113.15,-1.94

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        27.30,                  2283316.35,82651
,3IINFOTECH,EQ,         4.05,                  6564624.90,1600903
,3MINDIA,EQ,     10703.10,                  9660369.15,909
,8KMILES,EQ,      1956.00,                 81616365.20,41639
,A2ZINFRA,EQ,        19.35,                  2846331.75,144834
,AARTIDRUGS,EQ,       451.40,                  4546033.25,10002
,AARTIIND,EQ,       505.10,                 38690288.30,77882
,AARVEEDEN,EQ,        51.60,                     4538.35,88
,ABAN,EQ,       171.90,                111668138.05,647156
,ABB,EQ,      1209.05,                 70208175.40,57124
,ABBOTINDIA,EQ,      4636.35,                  7433803.00,1603
,ABFRL,EQ,       138.15,                 57964411.10,417015
,ABGSHIP,EQ,        51.75,                139153085.15,2606466
,ABIRLANUVO,EQ,       830.75,                272670869.05,328036
,ACCELYA,EQ,       867.75,                  1342011.00,1540
,ACE,EQ,        36.70,                  2396697.45,64475
,ACROPETAL,EQ,         2.70,                    18275.45,6762
,ADANIENT,EQ,        67.65,                109336109.30,1609883
,ADANIPOWER,EQ,        29.40,                133041726.70,4520063
,ADANITRANS,EQ,        33.05,                 22127674.05,672619
,ADFFOODS,EQ,        85.20,                 25058013.25,299768
,ADHUNIK,EQ,        11.00,                   386759.30,35113
,ADI,EQ,       255.35,                  4404730.85,17310
,ADLABS,EQ,        85.65,                  2895237.80,33559
,ADORWELD,EQ,       281.00,                  1863228.05,6702
,ADSL,EQ,        36.05,                  3501740.30,95824
,ADVANIHOTR,EQ,        47.15,                    10137.25,215
,ADVANTA,EQ,       458.35,                  3137774.25,6792
,AEGISCHEM,EQ,        97.90,                 16621912.75,172732
,AFL,EQ,        51.20,                  4912919.80,100014
,AGARIND,EQ,       124.80,                  5112756.40,40150
,AGCNET,EQ,        66.30,                   340533.60,5125
,AGRITECH,EQ,         8.10,                    15919.05,1874
,AGRODUTCH,EQ,         2.70,                    51015.05,18738
,AHLEAST,EQ,       135.50,                    14756.00,110
,AHLUCONT,EQ,       267.95,                 27036636.50,101492
,AHLWEST,EQ,       115.00,                    45091.30,395
,AIAENG,EQ,       962.45,                 56899664.90,58838
,AICHAMP,BE,        23.70,                       47.40,2
,AIFL,EQ,       242.55,                 11311785.65,46258
,AIL,EQ,       582.65,                  3033950.05,5199
,AJANTPHARM,EQ,      1336.30,                240971121.20,179434
,AJMERA,EQ,       123.55,                  7835193.10,62934
,AKSHOPTFBR,EQ,        12.65,                  9029577.45,709952
,AKZOINDIA,EQ,      1305.20,                 33730249.10,26079
,ALANKIT,EQ,       100.30,                 73873863.25,733153
,ALBK,EQ,        52.65,                144036753.70,2742272
,ALCHEM,EQ,        19.70,                   138090.70,7088
,ALEMBICLTD,EQ,        34.80,                 10961958.75,316360
,ALICON,EQ,       297.10,                  1119559.40,3827
,ALKALI,EQ,        40.65,                    83134.70,2038
,ALKEM,EQ,      1410.35,                313629525.85,226373
,ALKYLAMINE,EQ,       304.90,                  1185912.50,3888
,ALLCARGO,EQ,       153.35,                  8911206.45,58225
,ALLSEC,EQ,       107.70,                   959404.95,8923
,ALMONDZ,EQ,         9.85,                     1153.90,124
,ALOKTEXT,EQ,         4.50,                 29179907.35,6476018
,ALPA,BE,        41.85,                  2125450.75,51017
,ALPHAGEO,EQ,       512.50,                  6861128.15,13313
,ALPSINDUS,EQ,         4.00,                   356825.20,89722
,ALSTOMT&D,EQ,       400.75,                 62369661.90,154282
,AMARAJABAT,EQ,       886.00,                122289725.30,138901
,AMBIKCO,EQ,       798.40,                  3416946.30,4255
,AMDIND,EQ,        29.25,                  2304587.85,80613
,AMRUTANJAN,EQ,       410.40,                  4329049.90,10573
,AMTEKAUTO,EQ,        30.20,                 50912606.60,1675464
,AMTL,EQ,        26.70,                  1164858.20,46812
,ANANTRAJ,EQ,        32.20,                 29575756.30,933295
,ANDHRABANK,EQ,        50.05,                 48139863.70,960776
,ANDHRACEMT,EQ,         7.25,                   890105.65,121526
,ANDHRSUGAR,EQ,       130.75,                  4950680.35,37321
,ANGIND,EQ,        34.85,                  3954160.55,114970
,ANIKINDS,BE,        31.95,                   115940.50,3620
,ANKITMETAL,EQ,         1.65,                    82479.45,51744
,ANSALAPI,EQ,        17.15,                  1115773.15,64799
,ANSALHSG,EQ,        19.95,                   445499.85,22529
,ANTGRAPHIC,BE,          .85,                    60222.50,70850
,APARINDS,EQ,       462.80,                  4981026.20,10710
,APCOTEXIND,EQ,       214.90,                  1027710.45,4762
,APLAPOLLO,EQ,       642.65,                 24096011.45,37080
,APLLTD,EQ,       593.70,                304564655.70,517972
,APOLLOTYRE,EQ,       170.25,                359020378.60,2093617
,APOLSINHOT,EQ,       209.00,                     1045.00,5
,APTECHT,EQ,        56.65,                  6301930.80,110431
,ARCHIDPLY,EQ,        45.05,                  5974380.05,133941
,ARCHIES,EQ,        19.90,                  1579685.60,79183
,ARCOTECH,EQ,       362.30,                102372867.05,280752
,ARIES,EQ,        86.80,                  2453205.10,28275
