,06-Apr-2016
The Nifty witnessed an intraday movement of about 46.9 points.The closing index was 0.15 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 14644.16
, Traded Quantity (in Lakhs), 8368.39
, Number of Trades, 6658729
, Total Market Capitalisation (Rs. Crores), 9223369.75

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      7603.20,      7636.05,      7638.65,      7591.75,      7614.35,11.15
,Nifty IT,     11274.95,     11325.10,     11325.10,     11165.25,     11224.95,-50
,Nifty Next 50,     18530.00,     18563.95,     18678.85,     18462.10,     18643.35,113.35
,Nifty Bank,     15695.00,     15750.15,     15768.55,     15578.55,     15636.95,-58.05
,Nifty MID100 Free,     12647.10,     12682.80,     12771.20,     12653.10,     12761.80,114.7
,Nifty 500,      6358.35,      6381.95,      6383.25,      6352.10,      6378.00,19.65
,Nifty 100,      7701.70,      7732.10,      7732.80,      7690.45,      7718.45,16.75
,Nifty Midcap 50,      3144.45,      3151.50,      3174.50,      3137.60,      3169.30,24.85
,Nifty Realty,       155.50,       155.95,       158.10,       155.75,       157.55,2.05
,Nifty Infra,      2492.10,      2504.75,      2515.65,      2490.00,      2511.05,18.95
,Nifty Energy,      8294.85,      8343.20,      8353.10,      8263.80,      8340.20,45.35
,Nifty FMCG,     19635.40,     19662.80,     19725.90,     19605.35,     19657.55,22.15
,Nifty MNC,      8804.05,      8818.55,      8840.15,      8775.25,      8834.40,30.35
,Nifty Pharma,     10876.90,     10905.00,     10928.45,     10814.65,     10905.55,28.65
,Nifty PSE,      2786.50,      2803.95,      2809.25,      2781.35,      2803.40,16.9
,Nifty PSU Bank,      2355.80,      2360.35,      2367.00,      2329.05,      2342.20,-13.6
,Nifty Serv Sector,      9781.15,      9827.45,      9827.45,      9719.80,      9749.95,-31.2
,India VIX,17.8300,17.8300,17.9225,16.1250,17.3450,-0.4850
,Nifty Auto,      7883.10,      7902.35,      7954.60,      7891.65,      7919.95,36.85
,Nifty Metal,      1861.65,      1871.90,      1924.85,      1870.50,      1912.50,50.85
,Nifty Media,      2288.65,      2294.60,      2314.40,      2292.70,      2309.65,21
,Nifty SML100 Free,      4910.70,      4929.90,      4988.95,      4916.35,      4982.25,71.55
,Nifty 200,      3986.00,      4001.15,      4002.30,      3980.45,      3996.15,10.15
,Nifty Div Opps 50,      1785.50,      1790.60,      1794.80,      1783.35,      1793.15,7.65
,Nifty Commodities,      2388.75,      2400.65,      2426.45,      2389.65,      2422.55,33.8
,Nifty Consumption,      3373.95,      3381.20,      3398.35,      3379.95,      3388.65,14.7
,Nifty Fin Service,      6435.15,      6464.55,      6464.55,      6394.80,      6417.25,-17.9
,Nifty50 Div Point,          .00,          .00,          .00,          .00,          .00,0
,Nifty100 Liq 15,      2909.65,      2923.40,      2933.50,      2908.80,      2921.80,12.15
,Nifty CPSE,      1787.65,      1796.90,      1804.70,      1783.50,      1798.15,10.5
,Nifty GrowSect 15,      5110.70,      5125.15,      5134.20,      5099.40,      5110.85,.15
,Nifty50 PR 2x Lev,      2729.85,      2752.95,      2753.70,      2721.50,      2737.35,7.5
,Nifty50 PR 1x Inv,       519.60,       517.45,       520.40,       517.35,       518.90,-.7
,Nifty50 TR 2x Lev,      3208.25,      3235.35,      3236.30,      3198.45,      3217.05,8.8
,Nifty50 TR 1x Inv,       479.20,       477.25,       480.00,       477.15,       478.60,-.6
,Nifty50 Value 20,      3484.50,      3500.55,      3500.55,      3465.60,      3478.10,-6.4
,Nifty Mid Liq 15,      2525.30,      2523.70,      2540.50,      2506.25,      2533.50,8.2
,Nifty Pvt Bank,      8850.35,      8882.40,      8889.35,      8771.50,      8807.80,-42.55
,Nifty Quality 30,      2006.20,      2012.50,      2015.15,      2003.95,      2011.15,4.95
,Nifty GS 8 13Yr,      1497.95,      1498.27,      1499.83,      1497.78,      1499.74,1.79
,Nifty GS 10Yr,      1439.08,      1439.38,      1440.57,      1437.83,      1440.18,1.1
,Nifty GS 10Yr Cln,       944.40,       944.40,       945.20,       943.37,       944.94,.54
,Nifty GS 4 8Yr,      1559.80,      1560.14,      1562.62,      1560.14,      1562.34,2.54
,Nifty GS 11 15Yr,      1550.98,      1551.31,      1553.43,      1551.31,      1553.25,2.27
,Nifty GS 15YrPlus,      1624.80,      1625.15,      1625.15,      1625.15,      1625.15,.35
,Nifty GS Compsite,      1537.26,      1537.58,      1539.58,      1537.58,      1539.49,2.23

,ADVANCES,1077
,DECLINES,472
,UNCHANGED,63

,Total securities that have hit their price bands today,111

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,TATASTEEL,EQ,       312.30,       328.55,5.2,474.79
,JETAIRWAYS,EQ,       594.45,       628.95,5.8,397.58
,ICICIBANK,EQ,       225.60,       222.55,-1.35,389.05
,HDFC,EQ,      1103.45,      1102.05,-0.13,320.39
,AXISBANK,EQ,       432.60,       424.65,-1.84,318.74
,SBIN,EQ,       184.35,       183.85,-0.27,300.92
,INFY,EQ,      1219.80,      1200.70,-1.57,298.04
,TATAMOTORS,EQ,       370.50,       376.70,1.67,276.82
,YESBANK,EQ,       829.20,       834.05,0.58,275.46
,MARUTI,EQ,      3554.85,      3573.05,0.51,237.59
,TCS,EQ,      2462.75,      2481.90,0.78,218.43
,LT,EQ,      1195.15,      1211.85,1.4,206.58
,CENTURYTEX,EQ,       529.45,       581.15,9.76,201.06
,LUPIN,EQ,      1463.70,      1485.10,1.46,184.51
,COALINDIA,EQ,       275.25,       275.60,0.13,180.35
,RELIANCE,EQ,      1026.95,      1033.75,0.66,164.58
,BPCL,EQ,       890.40,       890.15,-0.03,158.39
,BHARATFORG,EQ,       830.20,       788.15,-5.07,151.38
,SUNPHARMA,EQ,       800.80,       809.55,1.09,145.67
,ITC,EQ,       326.45,       325.90,-0.17,144.75
,JSWSTEEL,EQ,      1259.45,      1292.70,2.64,143.31
,ADANIPORTS,EQ,       226.25,       224.35,-0.84,140.54
,DLF,EQ,       113.40,       114.45,0.93,139.87
,INDIGO,EQ,       973.45,       993.55,2.06,138.21
,VEDL,EQ,        85.85,        87.55,1.98,136.1

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TATASTEEL,EQ,       328.55,       312.30,5.2
,HINDALCO,EQ,        88.95,        84.90,4.77
,ULTRACEMCO,EQ,      3188.60,      3100.40,2.84
,ACC,EQ,      1427.70,      1390.75,2.66
,EICHERMOT,EQ,     19179.85,     18735.50,2.37

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BOSCHLTD,EQ,     19237.95,     19814.10,-2.91
,TECHM,EQ,       453.00,       462.25,-2
,AXISBANK,EQ,       424.65,       432.60,-1.84
,INFY,EQ,      1200.70,      1219.80,-1.57
,ICICIBANK,EQ,       222.55,       225.60,-1.35

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        29.95,                   640111.55,21527
,3IINFOTECH,EQ,         4.30,                  4848992.55,1120806
,3MINDIA,EQ,     10699.80,                 24313238.35,2272
,8KMILES,EQ,      1980.80,                 51504969.85,26084
,A2ZINFRA,EQ,        24.80,                 23694550.90,991888
,AARTIDRUGS,EQ,       453.05,                  4451300.75,9805
,AARTIIND,EQ,       514.45,                 20541810.15,39260
,AARVEEDEN,EQ,        55.00,                   454422.15,8301
,ABAN,EQ,       173.85,                109747792.15,632913
,ABBOTINDIA,EQ,      4587.15,                 82784120.85,17996
,ABFRL,EQ,       145.80,                123627486.85,869763
,ABGSHIP,EQ,        47.15,                 72116378.90,1484779
,ABIRLANUVO,EQ,       828.30,                221085834.95,268991
,ACCELYA,EQ,       896.95,                   511060.05,573
,ACE,EQ,        37.95,                  2054010.60,53428
,ACROPETAL,EQ,         2.80,                    42506.65,15780
,ADANIENT,EQ,        75.50,                340411221.10,4516196
,ADANIPOWER,EQ,        34.20,                279096784.05,8286632
,ADANITRANS,EQ,        34.15,                 21089918.60,621540
,ADFFOODS,EQ,        78.85,                  3964534.75,49653
,ADHUNIK,EQ,        11.15,                   194498.15,17340
,ADI,EQ,       296.85,                  6117042.00,21120
,ADLABS,EQ,        89.90,                  4609592.35,51365
,ADORWELD,EQ,       283.65,                   417539.55,1477
,ADSL,EQ,        40.75,                  2911629.45,70999
,ADVANIHOTR,EQ,        48.45,                    96257.55,2001
,ADVANTA,EQ,       463.70,                  1994204.25,4318
,AEGISCHEM,EQ,        97.25,                  7176303.55,74154
,AFL,EQ,        49.65,                   458847.35,9213
,AGARIND,EQ,       133.50,                  1195457.20,9028
,AGCNET,EQ,        67.95,                   626327.90,9376
,AGRITECH,EQ,         7.50,                      406.35,54
,AGRODUTCH,EQ,         2.90,                     9370.40,3236
,AHLEAST,EQ,       140.80,                    82842.60,589
,AHLUCONT,EQ,       286.05,                   704975.45,2447
,AHLWEST,EQ,       117.00,                     5497.70,47
,AIAENG,EQ,       951.50,                 10226135.50,10759
,AICHAMP,BE,        28.65,                     3438.00,120
,AIFL,EQ,       271.05,                  4244951.20,15620
,AIL,EQ,       631.70,                 31628389.35,50202
,AJANTPHARM,EQ,      1399.90,                235312740.30,167377
,AJMERA,EQ,       142.05,                  5294560.90,37790
,AKSHOPTFBR,EQ,        14.65,                 26954007.15,1870337
,AKZOINDIA,EQ,      1325.65,                  9456969.85,7111
,ALANKIT,EQ,       101.10,                 56083318.60,554361
,ALBK,EQ,        53.75,                115542907.60,2141777
,ALCHEM,EQ,        20.05,                    70844.15,3516
,ALEMBICLTD,EQ,        35.85,                  4837860.75,134433
,ALICON,EQ,       287.40,                   215738.50,756
,ALKALI,EQ,        43.35,                   130917.40,3043
,ALKEM,EQ,      1313.40,                 53355641.30,40140
,ALKYLAMINE,EQ,       322.00,                   560299.75,1753
,ALLCARGO,EQ,       150.60,                 11258099.00,74119
,ALLSEC,EQ,       127.95,                  1535643.40,12176
,ALMONDZ,EQ,         9.95,                    57972.70,6166
,ALOKTEXT,EQ,         4.85,                 28054813.90,5896613
,ALPA,BE,        37.15,                   824860.10,22607
,ALPHAGEO,EQ,       518.35,                  1207152.40,2342
,ALPSINDUS,EQ,         5.30,                   277717.95,51866
,ALSTOMT&D,EQ,       422.70,                  6219445.45,14622
,AMARAJABAT,EQ,       877.70,                144770442.40,164456
,AMBIKCO,EQ,       809.60,                  1591482.25,1960
,AMDIND,EQ,        32.50,                  1908851.85,60336
,AMRUTANJAN,EQ,       430.60,                  3071891.70,7125
,AMTEKAUTO,EQ,        30.15,                 35215905.15,1169957
,AMTL,EQ,        25.90,                    30612.95,1189
,ANANDAMRUB,EQ,        12.00,                     5112.00,426
,ANANTRAJ,EQ,        32.95,                  7759943.25,235734
,ANDHRABANK,EQ,        52.00,                 85414699.40,1637299
,ANDHRACEMT,EQ,         7.65,                  1902914.90,246977
,ANDHRSUGAR,EQ,       142.65,                 11656921.45,82336
,ANGIND,EQ,        34.70,                  2145024.60,61803
,ANIKINDS,BE,        31.50,                    50164.00,1590
,ANKITMETAL,EQ,         1.65,                    39754.20,24762
,ANSALAPI,EQ,        19.60,                  1579907.60,80847
,ANSALHSG,EQ,        20.10,                   314872.30,15632
,ANTGRAPHIC,BE,          .55,                    25917.65,47123
,APARINDS,EQ,       459.90,                  8805486.30,19003
,APCOTEXIND,EQ,       216.55,                  1656086.15,7703
,APLAPOLLO,EQ,       698.25,                 31079265.05,44382
,APLLTD,EQ,       589.80,                 56372401.10,95730
,APOLLOTYRE,EQ,       172.60,                537698329.20,3151470
,APOLSINHOT,EQ,       215.00,                      215.00,1
,APTECHT,EQ,        61.00,                  9473775.30,156104
,ARCHIDPLY,EQ,        48.35,                  1665758.40,34569
,ARCHIES,EQ,        21.15,                  1476581.80,70626
,ARCOTECH,EQ,       385.35,                 78362953.10,204027
,ARIES,EQ,        91.25,                  2587501.00,28259
,ARIHANT,EQ,        42.00,                     4950.10,105
,AROGRANITE,EQ,        43.00,                    30522.00,714
,ARROWCOAT,EQ,       551.20,                  2770150.90,5030
,ARROWTEX,EQ,        33.75,                  1347761.00,39849
,ARSHIYA,EQ,        31.05,                  2354818.95,75301
,ARSSINFRA,EQ,        33.85,                  3119202.90,91641
,ARVIND,EQ,       267.15,                506408783.75,1926477
,ARVINFRA,EQ,        90.95,                  5050771.85,55749
,ASAHIINDIA,EQ,       157.00,                  7314218.30,46923
,ASAHISONG,EQ,       153.95,                 17054411.90,110790
