,25-Apr-2016
The Nifty witnessed an intraday movement of about 84 points.The closing index was 0.56 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 14787.11
, Traded Quantity (in Lakhs), 7512.3
, Number of Trades, 6603499
, Total Market Capitalisation (Rs. Crores), 9523443.63

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      7899.30,      7894.80,      7911.00,      7827.00,      7855.05,-44.25
,Nifty IT,     11304.05,     11288.70,     11380.55,     11267.10,     11315.45,11.4
,Nifty Next 50,     19417.75,     19404.10,     19427.00,     19250.80,     19295.45,-122.3
,Nifty Bank,     16703.40,     16746.95,     16767.90,     16605.00,     16678.65,-24.75
,Nifty MID100 Free,     13245.85,     13268.75,     13278.55,     13130.40,     13167.25,-78.6
,Nifty 500,      6627.95,      6627.00,      6635.40,      6573.90,      6593.45,-34.5
,Nifty 100,      8012.15,      8007.40,      8020.85,      7940.15,      7966.40,-45.75
,Nifty Midcap 50,      3348.10,      3360.50,      3365.80,      3330.65,      3346.25,-1.85
,Nifty Realty,       168.40,       168.60,       170.05,       166.90,       167.45,-.95
,Nifty Infra,      2649.15,      2654.80,      2663.50,      2625.20,      2637.75,-11.4
,Nifty Energy,      8659.00,      8668.40,      8668.40,      8479.95,      8523.45,-135.55
,Nifty FMCG,     19876.50,     19711.85,     19860.70,     19652.55,     19715.65,-160.85
,Nifty MNC,      9091.60,      9084.70,      9123.65,      8997.85,      9035.40,-56.2
,Nifty Pharma,     11286.75,     11296.05,     11302.20,     11154.05,     11185.25,-101.5
,Nifty PSE,      2979.45,      2977.40,      2978.60,      2942.30,      2953.80,-25.65
,Nifty PSU Bank,      2563.40,      2572.35,      2587.40,      2502.55,      2519.55,-43.85
,Nifty Serv Sector,     10153.40,     10151.25,     10182.80,     10090.40,     10133.70,-19.7
,India VIX,16.3800,16.3800,17.0300,16.1275,16.5725,0.1925
,Nifty Auto,      8401.40,      8392.05,      8409.50,      8304.45,      8322.40,-79
,Nifty Metal,      2061.95,      2062.45,      2063.50,      2018.60,      2035.85,-26.1
,Nifty Media,      2378.10,      2377.75,      2386.40,      2363.20,      2379.50,1.4
,Nifty SML100 Free,      5212.15,      5215.85,      5232.55,      5169.35,      5182.90,-29.25
,Nifty 200,      4150.50,      4149.50,      4155.95,      4115.05,      4128.30,-22.2
,Nifty Div Opps 50,      1855.30,      1850.10,      1857.80,      1838.95,      1844.90,-10.4
,Nifty Commodities,      2548.60,      2549.40,      2549.45,      2515.85,      2532.00,-16.6
,Nifty Consumption,      3505.85,      3498.70,      3517.30,      3480.65,      3491.30,-14.55
,Nifty Fin Service,      6781.55,      6783.45,      6794.00,      6730.20,      6754.15,-27.4
,Nifty50 Div Point,          .00,          .00,          .00,          .00,          .00,0
,Nifty100 Liq 15,      3138.95,      3137.75,      3143.80,      3099.85,      3111.05,-27.9
,Nifty CPSE,      1886.55,      1888.35,      1890.90,      1869.45,      1871.60,-14.95
,Nifty GrowSect 15,      5180.35,      5162.15,      5195.45,      5141.60,      5161.15,-19.2
,Nifty50 PR 2x Lev,      2935.65,      2930.70,      2941.85,      2880.50,      2901.15,-34.5
,Nifty50 PR 1x Inv,       501.25,       501.80,       506.10,       500.85,       504.35,3.1
,Nifty50 TR 2x Lev,      3450.10,      3444.30,      3457.40,      3385.30,      3409.55,-40.55
,Nifty50 TR 1x Inv,       462.30,       462.80,       466.80,       461.95,       465.15,2.85
,Nifty50 Value 20,      3625.50,      3626.80,      3637.05,      3596.45,      3612.05,-13.45
,Nifty Mid Liq 15,      2710.85,      2730.20,      2738.05,      2700.60,      2716.80,5.95
,Nifty Pvt Bank,      9407.65,      9420.95,      9443.45,      9370.35,      9416.30,8.65
,Nifty Quality 30,      2063.60,      2059.35,      2068.20,      2047.95,      2053.95,-9.65
,Nifty GS 8 13Yr,      1507.26,      1507.58,      1508.61,      1507.02,      1507.04,-.22
,Nifty GS 10Yr,      1445.26,      1445.55,      1446.99,      1445.41,      1445.55,.29
,Nifty GS 10Yr Cln,       944.78,       944.78,       945.73,       944.68,       944.78,0
,Nifty GS 4 8Yr,      1568.25,      1568.59,      1569.17,      1568.15,      1568.15,-.1
,Nifty GS 11 15Yr,      1563.46,      1563.79,      1564.86,      1563.10,      1563.10,-.36
,Nifty GS 15YrPlus,      1642.69,      1643.03,      1643.03,      1643.03,      1643.03,.34
,Nifty GS Compsite,      1546.81,      1547.14,      1548.06,      1546.58,      1546.58,-.23

,ADVANCES,564
,DECLINES,1007
,UNCHANGED,64

,Total securities that have hit their price bands today,107

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      1038.95,      1016.90,-2.12,1425.7
,SBIN,EQ,       200.15,       197.05,-1.55,475.24
,ICICIBANK,EQ,       252.00,       252.95,0.38,417
,M&MFIN,EQ,       275.70,       297.65,7.96,374.88
,AXISBANK,EQ,       475.85,       469.90,-1.25,350.85
,INFY,EQ,      1211.25,      1215.85,0.38,324.91
,MARUTI,EQ,      3816.05,      3727.95,-2.31,315.15
,SUNPHARMA,EQ,       820.20,       808.85,-1.38,294.68
,TCS,EQ,      2417.05,      2451.25,1.41,276.84
,IBULHSGFIN,EQ,       673.95,       663.65,-1.53,255.12
,ULTRACEMCO,EQ,      3271.10,      3276.20,0.16,233.52
,TATASTEEL,EQ,       353.65,       347.45,-1.75,213.97
,HDFC,EQ,      1131.90,      1112.00,-1.76,207.24
,LT,EQ,      1265.10,      1265.50,0.03,179.68
,RELINFRA,EQ,       554.00,       546.35,-1.38,176.3
,HDFCBANK,EQ,      1092.15,      1093.25,0.1,151.67
,TATAMOTORS,EQ,       417.00,       412.20,-1.15,135.1
,VEDL,EQ,       104.90,       102.00,-2.76,133.19
,YESBANK,EQ,       875.75,       878.65,0.33,132.92
,ITC,EQ,       325.80,       320.95,-1.49,130.94
,JETAIRWAYS,EQ,       615.90,       626.05,1.65,121.26
,RELCAPITAL,EQ,       400.85,       401.35,0.12,115.65
,BANKBARODA,EQ,       161.95,       157.85,-2.53,114.77
,BHARTIARTL,EQ,       353.10,       358.95,1.66,111.28
,JUSTDIAL,EQ,       873.30,       882.45,1.05,110.26

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BHARTIARTL,EQ,       358.95,       353.10,1.66
,TCS,EQ,      2451.25,      2417.05,1.41
,BPCL,EQ,       978.30,       965.90,1.28
,AMBUJACEM,EQ,       223.35,       220.90,1.11
,BAJAJ-AUTO,EQ,      2543.75,      2522.15,.86

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HINDALCO,EQ,        98.40,       101.10,-2.67
,BANKBARODA,EQ,       157.85,       161.95,-2.53
,TATAMTRDVR,EQ,       296.15,       303.55,-2.44
,MARUTI,EQ,      3727.95,      3816.05,-2.31
,NTPC,EQ,       140.35,       143.65,-2.3

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        32.25,                   584973.15,18081
,3IINFOTECH,EQ,         4.25,                  3304799.40,772675
,3MINDIA,EQ,     13673.45,                 14306451.85,1051
,549,MF,         8.00,                        8.00,1
,8KMILES,EQ,      1942.70,                 31035127.60,15901
,A2ZINFRA,EQ,        26.55,                  2631633.35,98606
,AARTIDRUGS,EQ,       472.05,                  4696283.60,9934
,AARTIIND,EQ,       524.35,                  8213617.85,15470
,AARVEEDEN,EQ,        53.40,                   339239.00,6397
,ABAN,EQ,       186.50,                190308938.65,1018694
,ABBOTINDIA,EQ,      4692.20,                 10320845.05,2196
,ABFRL,EQ,       148.95,                 20045848.90,133405
,ABGSHIP,EQ,        45.50,                 13893642.55,304302
,ABIRLANUVO,EQ,       848.60,                148065053.90,173917
,ACCELYA,EQ,       924.05,                  3666702.55,3916
,ACE,EQ,        38.70,                  2010500.50,51477
,ACROPETAL,EQ,         2.85,                    26475.25,9265
,ADANIENT,EQ,        82.85,                198139652.95,2405474
,ADANIPOWER,EQ,        32.95,                239227651.15,7218851
,ADANITRANS,EQ,        33.10,                123199455.95,3729851
,ADFFOODS,EQ,        81.90,                  1994102.45,24026
,ADHUNIK,EQ,        11.90,                   509375.75,42195
,ADI,EQ,       300.30,                  4209405.10,13972
,ADLABS,EQ,        85.35,                  5566794.45,64147
,ADORWELD,EQ,       300.80,                   269126.45,899
,ADSL,EQ,        43.90,                  6034581.95,135693
,ADVANIHOTR,EQ,        48.50,                     7250.00,150
,ADVANTA,EQ,       527.50,                  5566138.40,10633
,AEGISCHEM,EQ,       112.45,                180820783.95,1647221
,AFL,EQ,        61.20,                  1251074.35,20635
,AGARIND,EQ,       140.50,                  1491101.50,10385
,AGCNET,EQ,        70.00,                    40752.50,585
,AGRITECH,EQ,         7.50,                     4732.50,631
,AGRODUTCH,EQ,         2.70,                    53693.90,19498
,AHLEAST,EQ,       145.05,                    20639.25,141
,AHLUCONT,EQ,       293.30,                  2167530.65,7301
,AHLWEST,EQ,       124.00,                    34327.00,276
,AIAENG,EQ,       987.30,                  6645893.75,6722
,AIFL,EQ,       260.10,                  4065484.10,15558
,AIL,EQ,       621.35,                  1858753.70,2997
,AJANTPHARM,EQ,      1485.00,                107689599.65,72327
,AJMERA,EQ,       153.10,                  4831942.75,31367
,AKSHOPTFBR,EQ,        14.60,                 60867450.20,4141182
,AKZOINDIA,EQ,      1309.85,                  8668149.20,6607
,ALANKIT,EQ,       101.35,                 62947226.35,611876
,ALBK,EQ,        58.60,                179710589.25,3050114
,ALCHEM,EQ,        29.75,                  7612796.95,258943
,ALEMBICLTD,EQ,        38.70,                  6577188.05,168672
,ALICON,EQ,       326.15,                   895300.90,2733
,ALKALI,EQ,        52.85,                   241388.75,4652
,ALKEM,EQ,      1226.70,                 42965924.05,34850
,ALKYLAMINE,EQ,       310.00,                  1074682.95,3415
,ALLCARGO,EQ,       157.70,                  5186478.35,32798
,ALLSEC,EQ,       136.55,                  1121541.65,8238
,ALMONDZ,EQ,        13.25,                   218765.75,16836
,ALOKTEXT,EQ,         4.65,                  8304786.45,1779770
,ALPA,BE,        35.35,                   602989.70,16981
,ALPHAGEO,EQ,       575.05,                  1967989.85,3393
,ALPSINDUS,EQ,         4.65,                    31858.65,6848
,ALSTOMT&D,EQ,       387.75,                 27923455.20,70999
,AMARAJABAT,EQ,       930.00,                108584584.80,116333
,AMBIKCO,EQ,       871.20,                  3757507.20,4280
,AMDIND,EQ,        30.00,                   335894.30,11139
,AMRUTANJAN,EQ,       427.55,                  2873817.70,6706
,AMTEKAUTO,EQ,        42.00,                289149985.25,6903625
,AMTL,EQ,        28.05,                    59786.60,2120
,ANANTRAJ,EQ,        34.65,                  9943046.90,283907
,ANDHRABANK,EQ,        55.35,                 96089467.95,1714338
,ANDHRACEMT,EQ,         8.10,                  1132525.30,141117
,ANDHRSUGAR,EQ,       140.05,                  8007081.00,56939
,ANGIND,EQ,        22.90,                 19117611.95,810039
,ANIKINDS,BE,        33.50,                    76051.00,2200
,ANKITMETAL,EQ,         1.90,                   130627.05,69646
,ANSALAPI,EQ,        18.80,                  1222783.80,65397
,ANSALHSG,EQ,        20.75,                   127668.10,6100
,ANTGRAPHIC,BE,         1.00,                   303730.75,302390
,APARINDS,EQ,       481.90,                  1399348.65,2901
,APCOTEXIND,EQ,       270.50,                  8176824.40,30447
,APLAPOLLO,EQ,       823.85,                 85148254.60,101833
,APLLTD,EQ,       615.95,                 25600205.20,41483
,APOLLOTYRE,EQ,       161.55,                334674689.15,2075010
,APOLSINHOT,EQ,       215.50,                    54412.00,253
,APTECHT,EQ,        62.60,                  6381673.65,102608
,ARCHIDPLY,EQ,        47.80,                  1268753.55,26434
,ARCHIES,EQ,        23.90,                  1729543.30,72448
,ARCOTECH,EQ,       376.70,                 77076595.90,204242
,ARIES,EQ,       110.55,                  6436590.25,58408
,ARIHANT,EQ,        41.00,                      205.00,5
,AROGRANITE,EQ,        45.35,                   125842.30,2728
,ARROWCOAT,EQ,       611.50,                  5152621.40,8497
,ARROWTEX,EQ,        32.45,                   519839.45,15993
,ARSHIYA,EQ,        28.25,                  1146454.50,40181
,ARSSINFRA,EQ,        39.00,                  3899239.45,99893
,ARVIND,EQ,       279.55,                724752400.65,2573145
,ARVINDREM,BZ,         4.50,                    62525.50,13899
,ARVINFRA,EQ,        93.30,                  3608794.85,39077
,ASAHIINDIA,EQ,       160.90,                   941459.85,5818
,ASAHISONG,EQ,       147.45,                  1012140.65,6813
,ASAL,EQ,        37.00,                     8658.00,234
,ASHAPURMIN,EQ,        73.95,                  7275576.05,97957
,ASHIANA,EQ,       160.00,                  5749150.65,35679
,ASHIMASYN,EQ,        12.50,                   502427.35,40182
,ASHOKA,EQ,       142.25,                 22677939.45,158333
,ASIANHOTNR,EQ,       108.80,                    56134.30,519
,ASIANTILES,EQ,       156.20,                  4215079.10,26976
,ASSAMCO,EQ,         6.50,                 12256885.25,1889638
,ASTEC,EQ,       224.85,                  2032287.15,9116
,ASTRAL,EQ,       431.40,                 12868023.90,29989
,ASTRAMICRO,EQ,       120.85,                 57529250.85,474276
,ASTRAZEN,EQ,      1175.20,                  5901208.25,5014
,ATFL,EQ,       479.20,                  1918799.65,3998
,ATLANTA,EQ,        32.85,                   295098.05,8934
,ATLASCYCLE,EQ,       200.85,                  1193428.70,5913
,ATNINTER,EQ,          .50,                       75.00,150
,ATUL,EQ,      1753.55,                  7248236.55,4127
,ATULAUTO,EQ,       535.00,                 13974662.00,26038
,AURIONPRO,EQ,       143.25,                  1700015.50,11747
,AUSOMENT,EQ,        22.15,                     2638.05,121
,AUSTRAL,EQ,          .30,                    34284.55,97446
,AUTOAXLES,EQ,       636.85,                  1641193.60,2605
,AUTOIND,EQ,        42.60,                  2835297.40,65018
,AUTOLITIND,EQ,        48.80,                   142894.55,2934
,AVANTIFEED,EQ,       450.45,                 12221251.35,26937
,AVTNPL,EQ,        33.90,                  1602158.10,47477
,AXISCADES,EQ,       293.30,                 75398681.55,254425
,AXISGOLD,EQ,      2689.00,                   257909.05,96
,AYMSYNTEX,EQ,       105.40,                  2535807.20,23855
,BAFNAPHARM,EQ,        33.30,                  2527134.75,75347
,BAGFILMS,EQ,         4.35,                   428854.60,99226
,BAJAJCORP,EQ,       389.70,                 10513349.75,26945
,BAJAJELEC,EQ,       221.20,                 29010921.50,130442
,BAJAJHIND,EQ,        19.60,                 38574644.80,1963177
,BAJAJHLDNG,EQ,      1477.45,                  1925768.75,1301
,BALAJITELE,EQ,       108.70,                 16572097.60,150907
,BALAMINES,EQ,       203.80,                 24354842.85,118776
,BALKRISIND,EQ,       657.95,                  8660847.15,13283
,BALLARPUR,EQ,        17.10,                  9978055.35,583584
,BALMLAWRIE,EQ,       571.50,                  4764102.75,8319
,BALPHARMA,EQ,        98.70,                  5085368.95,51035
,BALRAMCHIN,EQ,       105.95,                119722000.60,1131663
,BANARBEADS,EQ,        46.15,                    59322.50,1300
,BANARISUG,EQ,      1751.45,                  1221602.50,696
,BANCOINDIA,EQ,       134.65,                  5151482.95,37966
,BANG,EQ,        16.60,                      132.80,8
,BANKBEES,EQ,      1671.52,                  2813242.84,1680
,BANKINDIA,EQ,        96.50,                319388536.60,3301797
,BANSWRAS,EQ,       108.15,                  1855526.35,17417
,BARTRONICS,EQ,         9.10,                   251094.05,27664
,BASF,EQ,       889.95,                  5567547.45,6265
,BASML,EQ,       219.15,                  1290888.65,5876
,BATAINDIA,EQ,       559.05,                162646422.05,292361
,BAYERCROP,EQ,      3673.80,                  9026043.40,2452
,BBL,EQ,       970.50,                 22941076.20,23833
,BBTC,EQ,       397.20,                  3823418.60,9591
,BEARDSELL,EQ,        73.05,                      292.20,4
,BEDMUTHA,EQ,        12.20,                   101671.65,8227
,BEML,EQ,       918.10,                208203211.30,224306
,BEPL,EQ,        19.30,                   290905.20,15123
,BERGEPAINT,EQ,       257.65,                 87801595.10,341406
,BFINVEST,EQ,       119.45,                  2304152.35,19208
,BFUTILITIE,EQ,       578.10,                183640101.10,316950
