,28-Apr-2016
The Nifty witnessed an intraday movement of about 157.55 points.The closing index was 1.66 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 25613.43
, Traded Quantity (in Lakhs), 12027.58
, Number of Trades, 9046067
, Total Market Capitalisation (Rs. Crores), 9520152.32

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      7979.90,      7967.40,      7992.00,      7834.45,      7847.25,-132.65
,Nifty IT,     11453.00,     11350.15,     11428.65,     11265.70,     11287.15,-165.85
,Nifty Next 50,     19470.85,     19494.50,     19531.05,     19222.80,     19240.40,-230.45
,Nifty Bank,     16872.95,     16885.80,     17023.35,     16692.70,     16716.90,-156.05
,Nifty MID100 Free,     13305.55,     13324.30,     13348.85,     13154.40,     13163.45,-142.1
,Nifty 500,      6684.30,      6680.00,      6695.20,      6575.45,      6583.15,-101.15
,Nifty 100,      8084.75,      8075.50,      8098.55,      7945.20,      7956.20,-128.55
,Nifty Midcap 50,      3387.00,      3390.05,      3396.95,      3315.10,      3319.70,-67.3
,Nifty Realty,       169.95,       171.20,       175.70,       171.20,       172.80,2.85
,Nifty Infra,      2685.50,      2697.25,      2697.25,      2639.30,      2644.50,-41
,Nifty Energy,      8609.35,      8591.15,      8613.25,      8386.10,      8410.80,-198.55
,Nifty FMCG,     20141.55,     20058.95,     20088.30,     19629.60,     19667.60,-473.95
,Nifty MNC,      9176.90,      9166.10,      9189.55,      8985.80,      8999.25,-177.65
,Nifty Pharma,     11270.55,     11285.85,     11326.30,     11167.95,     11179.40,-91.15
,Nifty PSE,      3002.90,      3005.40,      3011.10,      2932.90,      2940.10,-62.8
,Nifty PSU Bank,      2525.40,      2530.35,      2546.15,      2474.80,      2482.70,-42.7
,Nifty Serv Sector,     10292.20,     10280.05,     10327.35,     10127.90,     10142.45,-149.75
,India VIX,16.3525,16.3525,16.7700,15.3075,16.5975,0.2450
,Nifty Auto,      8479.65,      8480.10,      8496.30,      8302.05,      8317.65,-162
,Nifty Metal,      2080.30,      2081.90,      2086.70,      2026.55,      2031.85,-48.45
,Nifty Media,      2402.15,      2406.40,      2415.45,      2376.05,      2385.00,-17.15
,Nifty SML100 Free,      5244.60,      5254.95,      5273.20,      5181.70,      5191.10,-53.5
,Nifty 200,      4189.00,      4185.30,      4196.40,      4117.50,      4123.05,-65.95
,Nifty Div Opps 50,      1877.15,      1875.25,      1879.45,      1844.30,      1846.90,-30.25
,Nifty Commodities,      2557.95,      2557.60,      2564.95,      2505.30,      2510.45,-47.5
,Nifty Consumption,      3561.20,      3566.20,      3566.20,      3495.30,      3500.15,-61.05
,Nifty Fin Service,      6806.15,      6810.20,      6851.60,      6686.10,      6697.45,-108.7
,Nifty50 Div Point,          .00,          .00,          .00,          .00,          .00,0
,Nifty100 Liq 15,      3141.35,      3128.35,      3152.70,      3098.65,      3103.45,-37.9
,Nifty CPSE,      1924.10,      1927.85,      1934.30,      1879.50,      1885.10,-39
,Nifty GrowSect 15,      5258.20,      5225.50,      5243.75,      5160.20,      5167.90,-90.3
,Nifty50 PR 2x Lev,      2992.50,      2982.60,      3000.85,      2884.10,      2892.45,-100.05
,Nifty50 PR 1x Inv,       496.55,       497.40,       505.55,       495.90,       504.85,8.3
,Nifty50 TR 2x Lev,      3516.90,      3505.25,      3526.70,      3389.55,      3399.35,-117.55
,Nifty50 TR 1x Inv,       457.95,       458.75,       466.30,       457.35,       465.65,7.7
,Nifty50 Value 20,      3634.65,      3626.50,      3643.40,      3568.10,      3574.55,-60.1
,Nifty Mid Liq 15,      2765.40,      2773.45,      2777.95,      2707.90,      2713.05,-52.35
,Nifty Pvt Bank,      9520.20,      9525.45,      9602.60,      9434.15,      9447.25,-72.95
,Nifty Quality 30,      2087.20,      2080.15,      2084.95,      2048.40,      2051.45,-35.75
,Nifty GS 8 13Yr,      1507.22,      1507.54,      1509.17,      1507.54,      1507.86,.64
,Nifty GS 10Yr,      1445.65,      1445.95,      1448.54,      1445.95,      1446.86,1.21
,Nifty GS 10Yr Cln,       944.45,       944.45,       946.18,       944.45,       945.06,.61
,Nifty GS 4 8Yr,      1567.60,      1567.94,      1568.79,      1567.78,      1567.81,.21
,Nifty GS 11 15Yr,      1563.00,      1563.34,      1565.57,      1563.23,      1563.63,.63
,Nifty GS 15YrPlus,      1636.96,      1637.31,      1637.31,      1637.31,      1637.31,.35
,Nifty GS Compsite,      1546.62,      1546.94,      1548.44,      1546.94,      1547.14,.52

,ADVANCES,408
,DECLINES,1129
,UNCHANGED,83

,Total securities that have hit their price bands today,91

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      1019.40,       996.70,-2.23,1423.78
,YESBANK,EQ,       915.50,       945.55,3.28,1255.52
,ICICIBANK,EQ,       244.60,       240.10,-1.84,910.19
,AXISBANK,EQ,       465.50,       468.05,0.55,768.43
,INFY,EQ,      1240.15,      1209.15,-2.5,738.15
,HCLTECH,EQ,       837.55,       799.90,-4.5,719.89
,MARUTI,EQ,      3859.40,      3747.95,-2.89,691.9
,HDFC,EQ,      1121.50,      1085.55,-3.21,634.87
,TCS,EQ,      2511.10,      2527.75,0.66,630.6
,JUBLFOOD,EQ,      1332.35,      1190.65,-10.64,531.1
,SBIN,EQ,       196.15,       192.05,-2.09,477.6
,ITC,EQ,       333.55,       322.90,-3.19,422.77
,SUNPHARMA,EQ,       813.95,       801.95,-1.47,389.52
,TATAELXSI,EQ,      2041.25,      1911.10,-6.38,364.93
,TATASTEEL,EQ,       356.75,       347.60,-2.56,356.43
,BHARTIARTL,EQ,       373.05,       372.70,-0.09,339.93
,IBREALEST,EQ,        56.85,        63.50,11.7,336.05
,TATAMOTORS,EQ,       418.55,       411.35,-1.72,312.24
,LUPIN,EQ,      1569.90,      1576.30,0.41,282.38
,M&M,EQ,      1384.75,      1344.50,-2.91,270.87
,HDIL,EQ,        82.90,        86.05,3.8,255.89
,HINDUNILVR,EQ,       892.20,       876.25,-1.79,238.7
,DLF,EQ,       123.30,       125.50,1.78,237.65
,LT,EQ,      1276.45,      1259.55,-1.32,235.65
,HDFCBANK,EQ,      1124.20,      1113.95,-0.91,227.24

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,YESBANK,EQ,       945.55,       915.50,3.28
,IDEA,EQ,       126.50,       125.00,1.2
,EICHERMOT,EQ,     20292.95,     20114.30,.89
,TCS,EQ,      2527.75,      2511.10,.66
,ACC,EQ,      1437.85,      1429.55,.58

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HINDALCO,EQ,        96.90,       101.75,-4.77
,HCLTECH,EQ,       799.90,       837.55,-4.5
,HDFC,EQ,      1085.55,      1121.50,-3.21
,ITC,EQ,       322.90,       333.55,-3.19
,M&M,EQ,      1344.50,      1384.75,-2.91

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        31.95,                   579451.55,17759
,3IINFOTECH,EQ,         4.30,                  3661893.85,848510
,3MINDIA,EQ,     13499.10,                 14102998.05,1044
,8KMILES,EQ,      2089.45,                137381151.75,63922
,A2ZINFRA,EQ,        26.10,                  5388706.30,202801
,AARTIDRUGS,EQ,       468.05,                  3425034.55,7297
,AARTIIND,EQ,       535.80,                 11353119.20,21258
,AARVEEDEN,EQ,        55.75,                    77398.20,1390
,ABAN,EQ,       212.55,               1103736652.00,5100577
,ABBOTINDIA,EQ,      4638.85,                  2699955.15,579
,ABFRL,EQ,       145.25,                 36063466.25,245237
,ABGSHIP,EQ,        45.00,                 18367245.40,403965
,ABIRLANUVO,EQ,       854.95,                154455380.10,178210
,ACCELYA,EQ,       915.00,                  2423569.30,2646
,ACE,EQ,        39.15,                  2986444.30,75952
,ACROPETAL,EQ,         2.85,                    28233.90,9728
,ADANIENT,EQ,        83.85,                727136638.00,8585859
,ADANIPOWER,EQ,        32.20,                485730010.05,15106664
,ADANITRANS,EQ,        32.25,                 28874532.25,886684
,ADFFOODS,EQ,        88.75,                 32479399.10,357648
,ADHUNIK,EQ,        11.80,                   638671.75,53413
,ADI,EQ,       301.35,                  2049489.25,6789
,ADLABS,EQ,        86.05,                  4021286.40,46479
,ADORWELD,EQ,       298.10,                   583954.65,1936
,ADSL,EQ,        43.15,                  3946066.20,90977
,ADVANIHOTR,EQ,        48.20,                     9832.80,204
,ADVANTA,EQ,       521.70,                  7072021.55,13573
,AEGISCHEM,EQ,       114.25,                 76213883.30,659953
,AFL,EQ,        60.05,                  1990196.30,33131
,AGARIND,EQ,       134.50,                  1102637.50,7931
,AGCNET,EQ,        69.90,                    81475.70,1164
,AGRODUTCH,EQ,         2.80,                     3548.80,1301
,AHLEAST,EQ,       141.60,                    75312.60,522
,AHLUCONT,EQ,       285.55,                  3487181.75,12129
,AHLWEST,EQ,       122.00,                    97659.00,801
,AIAENG,EQ,      1023.80,                 27896736.70,27466
,AIFL,EQ,       256.20,                  3064893.20,11833
,AIL,EQ,       619.05,                 20732545.55,33258
,AJANTPHARM,EQ,      1539.10,                282095095.15,183751
,AJMERA,EQ,       168.35,                 50140356.70,294121
,AKSHOPTFBR,EQ,        14.05,                  9184406.75,644337
,AKZOINDIA,EQ,      1322.70,                 36751873.75,27310
,ALANKIT,EQ,       107.15,                 44931383.80,417739
,ALBK,EQ,        58.85,                129662112.45,2184611
,ALCHEM,EQ,        25.00,                   877170.35,34208
,ALEMBICLTD,EQ,        37.65,                  5690418.50,150270
,ALICON,EQ,       336.30,                  1682075.95,4937
,ALKALI,EQ,        52.80,                  1185798.45,22227
,ALKEM,EQ,      1192.10,                 89793288.05,74937
,ALKYLAMINE,EQ,       315.45,                   215059.00,689
,ALLCARGO,EQ,       153.05,                  9093436.20,58702
,ALLSEC,EQ,       141.35,                 11584080.15,78739
,ALMONDZ,EQ,        12.30,                   134589.50,11594
,ALOKTEXT,EQ,         4.60,                 10250522.15,2216250
,ALPA,BE,        31.70,                   421004.55,13088
,ALPHAGEO,EQ,       601.70,                  8504944.00,13841
,ALPSINDUS,EQ,         4.90,                   142361.50,29252
,ALSTOMT&D,EQ,       379.05,                 10045459.80,26557
,AMARAJABAT,EQ,       938.15,                350208907.05,369069
,AMBIKCO,EQ,       847.65,                  2165689.05,2535
,AMDIND,EQ,        30.35,                    94927.20,3086
,AMRUTANJAN,EQ,       436.90,                  4309442.55,9848
,AMTEKAUTO,EQ,        41.45,                 94431594.20,2242195
,AMTL,EQ,        28.50,                    69875.15,2450
,ANANDAMRUB,EQ,        16.80,                      168.00,10
,ANANTRAJ,EQ,        37.05,                 78219602.70,2065421
,ANDHRABANK,EQ,        55.90,                 78846144.25,1408056
,ANDHRACEMT,EQ,         7.60,                   812596.35,105186
,ANDHRSUGAR,EQ,       136.50,                  3420992.90,24755
,ANGIND,EQ,        22.40,                  7669752.50,342847
,ANKITMETAL,EQ,         1.80,                    67312.80,36926
,ANSALAPI,EQ,        19.20,                  3016949.25,154168
,ANSALHSG,EQ,        21.15,                   489854.60,23079
,ANTGRAPHIC,BE,         1.00,                    24628.75,25702
,APARINDS,EQ,       480.00,                  1900623.45,3958
,APCOTEXIND,EQ,       283.40,                 19335718.90,67156
,APLAPOLLO,EQ,       793.80,                 21243309.35,26622
,APLLTD,EQ,       611.05,                349102727.00,580098
,APOLLOTYRE,EQ,       164.45,                262844311.00,1590539
,APOLSINHOT,EQ,       215.00,                    26875.00,125
,APTECHT,EQ,        61.60,                  8604631.50,138090
,ARCHIDPLY,EQ,        48.20,                  2612388.80,53147
,ARCHIES,EQ,        24.65,                  1562128.10,62808
,ARCOTECH,EQ,       372.25,                 87860826.60,235682
,ARIES,EQ,       113.90,                  7819733.90,68890
,ARIHANT,EQ,        43.00,                   120517.60,2750
,AROGRANITE,EQ,        41.85,                   739835.75,17463
,ARROWCOAT,EQ,       616.60,                  5424685.80,8587
,ARROWTEX,EQ,        33.75,                   767040.30,22565
,ARSHIYA,EQ,        28.25,                  7838218.40,266624
,ARSSINFRA,EQ,        40.30,                  6437162.65,159598
,ARVIND,EQ,       283.95,                367687846.75,1270995
,ARVINFRA,EQ,        88.35,                  2950069.25,32937
,ASAHIINDIA,EQ,       162.10,                   478715.75,2950
,ASAHISONG,EQ,       143.35,                  1529581.25,10633
,ASAL,EQ,        38.20,                    25941.00,680
,ASHAPURMIN,EQ,        74.00,                  9904039.45,131993
,ASHIANA,EQ,       165.20,                  4660908.25,27986
,ASHIMASYN,EQ,        11.25,                   829402.60,72726
