,03-May-2016
The Nifty witnessed an intraday movement of about 155.1 points.The closing index was 0.75 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 18409.63
, Traded Quantity (in Lakhs), 9254.77
, Number of Trades, 7644066
, Total Market Capitalisation (Rs. Crores), 9456783.36

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      7805.90,      7824.80,      7890.25,      7735.15,      7747.00,-58.9
,Nifty IT,     11117.70,     11129.90,     11167.90,     10909.95,     10925.70,-192
,Nifty Next 50,     19630.20,     19699.25,     19764.95,     19399.35,     19433.50,-196.7
,Nifty Bank,     16543.00,     16570.75,     16719.40,     16358.40,     16388.70,-154.3
,Nifty MID100 Free,     13271.30,     13311.90,     13381.75,     13136.55,     13156.05,-115.25
,Nifty 500,      6580.15,      6597.15,      6642.85,      6527.85,      6533.55,-46.6
,Nifty 100,      7945.25,      7965.90,      8024.80,      7872.10,      7882.25,-63
,Nifty Midcap 50,      3341.10,      3353.20,      3377.95,      3294.20,      3302.55,-38.55
,Nifty Realty,       173.80,       174.50,       176.95,       173.50,       173.85,.05
,Nifty Infra,      2629.75,      2639.20,      2687.20,      2638.00,      2645.45,15.7
,Nifty Energy,      8419.10,      8435.00,      8483.10,      8324.95,      8341.90,-77.2
,Nifty FMCG,     19728.40,     19755.75,     19810.20,     19403.60,     19478.35,-250.05
,Nifty MNC,      9061.70,      9082.30,      9146.20,      8991.15,      9011.60,-50.1
,Nifty Pharma,     11271.90,     11277.10,     11341.65,     11119.05,     11148.15,-123.75
,Nifty PSE,      2966.40,      2974.10,      2986.70,      2927.40,      2932.40,-34
,Nifty PSU Bank,      2403.40,      2416.45,      2445.60,      2366.40,      2371.90,-31.5
,Nifty Serv Sector,     10073.30,     10093.40,     10180.40,      9979.95,      9992.55,-80.75
,India VIX,17.0925,17.0925,18.0825,15.6050,17.4625,0.3700
,Nifty Auto,      8299.05,      8346.50,      8440.50,      8246.10,      8263.05,-36
,Nifty Metal,      2065.35,      2077.85,      2086.70,      2037.95,      2041.90,-23.45
,Nifty Media,      2429.65,      2428.25,      2455.20,      2426.40,      2440.80,11.15
,Nifty SML100 Free,      5225.90,      5253.15,      5286.85,      5202.35,      5207.50,-18.4
,Nifty 200,      4119.85,      4130.60,      4160.75,      4082.90,      4087.55,-32.3
,Nifty Div Opps 50,      1846.15,      1852.00,      1860.30,      1821.50,      1824.35,-21.8
,Nifty Commodities,      2538.95,      2547.90,      2563.50,      2511.90,      2516.75,-22.2
,Nifty Consumption,      3497.50,      3508.80,      3532.55,      3474.20,      3491.10,-6.4
,Nifty Fin Service,      6676.15,      6694.70,      6760.45,      6626.75,      6635.80,-40.35
,Nifty50 Div Point,          .00,          .00,          .00,          .00,          .00,0
,Nifty100 Liq 15,      3074.05,      3091.55,      3116.00,      3051.90,      3057.65,-16.4
,Nifty CPSE,      1900.15,      1903.35,      1907.25,      1866.15,      1871.30,-28.85
,Nifty GrowSect 15,      5141.85,      5154.85,      5174.75,      5066.50,      5078.15,-63.7
,Nifty50 PR 2x Lev,      2859.95,      2873.30,      2920.75,      2807.80,      2816.30,-43.65
,Nifty50 PR 1x Inv,       507.90,       506.75,       512.55,       502.55,       511.80,3.9
,Nifty50 TR 2x Lev,      3361.10,      3376.80,      3432.60,      3299.85,      3309.80,-51.3
,Nifty50 TR 1x Inv,       468.45,       467.40,       472.75,       463.50,       472.05,3.6
,Nifty50 Value 20,      3522.00,      3527.85,      3548.30,      3471.40,      3475.30,-46.7
,Nifty Mid Liq 15,      2709.35,      2721.75,      2747.75,      2657.15,      2665.65,-43.7
,Nifty Pvt Bank,      9369.20,      9376.35,      9454.05,      9259.05,      9275.40,-93.8
,Nifty Quality 30,      2047.50,      2050.75,      2060.55,      2016.40,      2019.55,-27.95
,Nifty GS 8 13Yr,      1511.74,      1512.06,      1512.61,      1511.03,      1511.15,-.59
,Nifty GS 10Yr,      1449.16,      1449.46,      1451.84,      1448.93,      1449.04,-.12
,Nifty GS 10Yr Cln,       945.81,       945.81,       947.40,       945.45,       945.52,-.29
,Nifty GS 4 8Yr,      1570.30,      1570.64,      1570.96,      1570.22,      1570.37,.07
,Nifty GS 11 15Yr,      1568.97,      1569.31,      1569.41,      1566.63,      1567.24,-1.73
,Nifty GS 15YrPlus,      1641.70,      1642.05,      1642.05,      1642.05,      1642.05,.35
,Nifty GS Compsite,      1550.28,      1550.61,      1550.92,      1549.44,      1549.63,-.65

,ADVANCES,667
,DECLINES,892
,UNCHANGED,74

,Total securities that have hit their price bands today,89

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,ICICIBANK,EQ,       226.75,       221.10,-2.49,601.98
,SUNPHARMA,EQ,       811.80,       798.25,-1.67,464.17
,TVSMOTOR,EQ,       318.95,       287.45,-9.88,420.89
,INFY,EQ,      1201.05,      1177.80,-1.94,406.11
,TATAMOTORS,EQ,       407.70,       409.65,0.48,399.79
,RELIANCE,EQ,       986.95,       975.80,-1.13,394.76
,AXISBANK,EQ,       471.80,       470.55,-0.26,381.61
,HDFC,EQ,      1091.90,      1099.60,0.71,372.61
,VEDL,EQ,       110.70,       110.00,-0.63,368.14
,MCDOWELL-N,EQ,      2359.60,      2448.00,3.75,339.7
,MARUTI,EQ,      3830.85,      3819.95,-0.28,305.57
,SBIN,EQ,       186.00,       184.05,-1.05,303.12
,AUROPHARMA,EQ,       769.85,       803.25,4.34,302.14
,SRTRANSFIN,EQ,      1083.00,      1042.65,-3.73,279.68
,YESBANK,EQ,       944.95,       931.20,-1.46,274.82
,TCS,EQ,      2526.70,      2478.10,-1.92,268.73
,HCLTECH,EQ,       742.20,       728.40,-1.86,257.6
,ITC,EQ,       321.15,       316.05,-1.59,227.23
,TATASTEEL,EQ,       346.95,       348.90,0.56,223.86
,LT,EQ,      1250.75,      1251.40,0.05,213.31
,LUPIN,EQ,      1619.05,      1575.60,-2.68,202.64
,UPL,EQ,       594.90,       579.45,-2.6,193.94
,SKSMICRO,EQ,       616.00,       614.50,-0.24,184.15
,RELCAPITAL,EQ,       402.55,       396.65,-1.47,171.89
,RELINFRA,EQ,       542.40,       535.85,-1.21,155.62

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,AUROPHARMA,EQ,       803.25,       769.85,4.34
,BHARTIARTL,EQ,       368.35,       357.80,2.95
,INFRATEL,EQ,       383.65,       375.65,2.13
,IDEA,EQ,       119.90,       117.70,1.87
,GRASIM,EQ,      4142.45,      4070.75,1.76

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,COALINDIA,EQ,       279.15,       288.65,-3.29
,LUPIN,EQ,      1575.60,      1619.05,-2.68
,BHEL,EQ,       124.45,       127.70,-2.55
,ICICIBANK,EQ,       221.10,       226.75,-2.49
,AMBUJACEM,EQ,       218.60,       223.80,-2.32

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        32.60,                  1448913.00,43985
,3IINFOTECH,EQ,         4.15,                  3392900.35,807701
,3MINDIA,EQ,     13365.30,                 11208053.70,831
,8KMILES,EQ,      2245.40,                 94585826.65,41956
,A2ZINFRA,EQ,        25.80,                  3167757.10,121901
,AARTIDRUGS,EQ,       469.40,                  3683009.80,7878
,AARTIIND,EQ,       532.05,                 27603341.55,51216
,AARVEEDEN,EQ,        53.10,                   110470.00,2045
,ABAN,EQ,       217.25,                486581419.45,2191052
,ABBOTINDIA,EQ,      4653.70,                 10293706.60,2222
,ABFRL,EQ,       141.90,                 52204580.00,359189
,ABGSHIP,EQ,        45.35,                 55969027.15,1201310
,ABIRLANUVO,EQ,       855.65,                116241390.50,135030
,ACCELYA,EQ,       928.10,                  2302123.50,2464
,ACE,EQ,        39.80,                  3556289.10,87846
,ACROPETAL,EQ,         2.80,                    38727.50,13350
,ADANIENT,EQ,        85.90,                151756455.50,1749315
,ADANIPOWER,EQ,        31.65,                288006486.55,8920429
,ADANITRANS,EQ,        32.45,                 41513783.75,1279536
,ADFFOODS,EQ,        91.80,                103971651.00,1098308
,ADHUNIK,EQ,        11.65,                  2026756.30,170332
,ADI,EQ,       275.50,                  5676449.95,20124
,ADLABS,EQ,        86.85,                  9234993.95,104274
,ADORWELD,EQ,       306.75,                  1931114.00,6255
,ADSL,EQ,        42.60,                  4913732.65,112978
,ADVANIHOTR,EQ,        49.10,                    14114.25,288
,ADVANTA,EQ,       586.85,                 79278120.30,132150
,AEGISCHEM,EQ,       113.90,                 32437677.60,280478
,AFL,EQ,        68.55,                  1552848.05,22688
,AGARIND,EQ,       135.40,                   353663.20,2612
,AGCNET,EQ,        68.40,                    51001.65,733
,AGRITECH,EQ,         8.25,                      123.75,15
,AGRODUTCH,EQ,         2.80,                    28551.45,10499
,AHLEAST,EQ,       147.05,                    17705.55,116
,AHLUCONT,EQ,       281.55,                  2284178.55,8054
,AHLWEST,EQ,       121.65,                    48618.90,394
,AIAENG,EQ,      1004.55,                 13004490.20,12918
,AIFL,EQ,       258.25,                 24953710.85,95621
,AIL,EQ,       615.90,                  2666142.30,4282
,AJANTPHARM,EQ,      1490.60,                180607752.60,119955
,AJMERA,EQ,       167.95,                 19128229.35,112427
,AKSHOPTFBR,EQ,        13.90,                  7576060.25,539447
,AKZOINDIA,EQ,      1324.05,                  4390152.00,3297
,ALANKIT,EQ,       106.30,                 34803360.40,322390
,ALBK,EQ,        56.30,                136904411.55,2401721
,ALCHEM,EQ,        24.85,                   266158.85,10615
,ALEMBICLTD,EQ,        37.20,                  6728339.90,178861
,ALICON,EQ,       344.40,                  4286185.20,12412
,ALKALI,EQ,        49.35,                   932988.05,18578
,ALKEM,EQ,      1228.50,                 36797673.90,29703
,ALKYLAMINE,EQ,       311.15,                   221298.50,709
,ALLCARGO,EQ,       153.60,                  7394566.55,47963
,ALLSEC,EQ,       140.45,                  5377101.00,37484
,ALMONDZ,EQ,        11.25,                    63856.65,5642
,ALOKTEXT,EQ,         4.50,                 10271465.90,2245446
,ALPA,BE,        33.70,                   564397.90,16571
,ALPHAGEO,EQ,       619.30,                  5013138.60,8083
,ALPSINDUS,EQ,         4.65,                   176209.80,37568
,ALSTOMT&D,EQ,       378.55,                107523247.90,280003
,AMARAJABAT,EQ,       956.95,                263786859.00,274708
,AMBIKCO,EQ,       858.45,                  1670400.15,1933
,AMDIND,EQ,        30.20,                   411032.10,13474
,AMRUTANJAN,EQ,       448.65,                  9570877.60,21269
,AMTEKAUTO,EQ,        36.70,                125594854.40,3325777
,AMTL,EQ,        27.80,                   201939.00,7267
,ANANDAMRUB,EQ,        19.35,                     3386.25,175
,ANANTRAJ,EQ,        42.10,                232655480.70,5736265
,ANDHRABANK,EQ,        53.65,                 66766223.25,1218605
,ANDHRACEMT,EQ,         8.65,                 21141197.05,2375258
,ANDHRSUGAR,EQ,       137.35,                  3820734.70,27589
,ANGIND,EQ,        22.40,                  4783387.95,211568
,ANIKINDS,BE,        32.40,                     7905.60,244
,ANKITMETAL,EQ,         1.85,                    80117.30,43621
,ANSALAPI,EQ,        19.20,                  1855901.80,96301
,ANSALHSG,EQ,        21.05,                   673875.60,32135
,ANTGRAPHIC,BE,          .85,                    30360.30,35718
,APARINDS,EQ,       474.50,                 26185275.45,54618
,APCOTEXIND,EQ,       282.95,                  4139154.90,14601
,APLAPOLLO,EQ,       808.25,                  7987276.70,9896
,APLLTD,EQ,       597.80,                 69485685.75,115983
,APOLLOTYRE,EQ,       158.50,                175834037.10,1095169
,APOLSINHOT,EQ,       235.90,                     4933.00,21
,APTECHT,EQ,        60.35,                  8924138.75,146085
,ARCHIDPLY,EQ,        50.65,                  7935581.75,155969
,ARCHIES,EQ,        24.30,                   998666.70,40506
,ARCOTECH,EQ,       368.10,                 68189051.25,183871
,ARIES,EQ,       126.60,                 56227986.15,437977
,ARIHANT,EQ,        41.00,                       82.00,2
,AROGRANITE,EQ,        44.85,                    86895.05,1923
,ARROWCOAT,EQ,       585.40,                  1432743.15,2436
,ARROWTEX,EQ,        35.15,                  1042091.75,28825
,ARSHIYA,EQ,        28.45,                   625233.95,21837
,ARSSINFRA,EQ,        44.05,                 64825807.40,1440389
,ARVIND,EQ,       280.25,                548928098.35,1913801
,ARVINFRA,EQ,        85.70,                  3181571.70,36615
,ASAHIINDIA,EQ,       160.00,                  1358830.80,8464
,ASAHISONG,EQ,       142.65,                   722251.00,4978
,ASAL,EQ,        39.30,                   193605.55,4835
,ASHAPURMIN,EQ,        78.65,                 94113508.15,1210018
