,19-May-2016
The Nifty witnessed an intraday movement of about 109.4 points.The closing index was 1.1 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 16693.53
, Traded Quantity (in Lakhs), 9056.58
, Number of Trades, 7214043
, Total Market Capitalisation (Rs. Crores), 9447276.1

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      7870.15,      7875.50,      7876.20,      7766.80,      7783.40,-86.75
,Nifty IT,     11120.05,     11124.80,     11136.70,     11067.20,     11094.60,-25.45
,Nifty Next 50,     19450.05,     19468.30,     19502.90,     19199.20,     19222.85,-227.2
,Nifty Bank,     16728.95,     16725.45,     16726.15,     16535.75,     16565.25,-163.7
,Nifty MID100 Free,     13198.50,     13210.30,     13244.05,     13017.75,     13039.00,-159.5
,Nifty 500,      6621.55,      6626.25,      6626.25,      6537.40,      6546.50,-75.05
,Nifty 100,      7989.05,      7994.80,      7994.80,      7885.00,      7900.20,-88.85
,Nifty Midcap 50,      3345.00,      3345.55,      3354.45,      3276.85,      3283.15,-61.85
,Nifty Realty,       179.80,       179.90,       183.95,       177.90,       178.25,-1.55
,Nifty Infra,      2611.95,      2610.55,      2610.55,      2558.05,      2563.10,-48.85
,Nifty Energy,      8287.00,      8283.20,      8288.85,      8162.10,      8186.35,-100.65
,Nifty FMCG,     19963.90,     20023.90,     20023.90,     19565.40,     19612.85,-351.05
,Nifty MNC,      8969.30,      8965.20,      8988.60,      8865.45,      8895.25,-74.05
,Nifty Pharma,     11271.30,     11315.60,     11334.05,     11230.35,     11246.00,-25.3
,Nifty PSE,      2908.45,      2907.50,      2910.90,      2879.25,      2883.55,-24.9
,Nifty PSU Bank,      2281.35,      2285.25,      2285.25,      2187.90,      2195.65,-85.7
,Nifty Serv Sector,     10229.60,     10231.80,     10231.80,     10104.45,     10119.35,-110.25
,India VIX,16.4550,16.4550,17.4175,15.4175,17.0625,0.6075
,Nifty Auto,      8145.35,      8154.45,      8186.70,      8070.95,      8104.75,-40.6
,Nifty Metal,      1948.35,      1947.75,      1973.15,      1913.20,      1917.25,-31.1
,Nifty Media,      2534.15,      2541.25,      2541.25,      2482.50,      2488.85,-45.3
,Nifty SML100 Free,      5283.25,      5292.60,      5319.75,      5213.75,      5220.45,-62.8
,Nifty 200,      4140.95,      4143.60,      4143.60,      4085.50,      4093.20,-47.75
,Nifty Div Opps 50,      1830.90,      1831.65,      1831.65,      1807.40,      1809.30,-21.6
,Nifty Commodities,      2490.25,      2488.50,      2498.75,      2458.90,      2465.00,-25.25
,Nifty Consumption,      3521.20,      3527.00,      3527.00,      3473.55,      3479.55,-41.65
,Nifty Fin Service,      6888.30,      6891.55,      6891.55,      6783.60,      6794.15,-94.15
,Nifty50 Div Point,          .93,          .93,          .93,          .93,          .93,0
,Nifty100 Liq 15,      3008.10,      3013.55,      3028.65,      2957.65,      2967.55,-40.55
,Nifty CPSE,      1871.20,      1870.65,      1870.65,      1841.60,      1844.45,-26.75
,Nifty GrowSect 15,      5188.15,      5198.75,      5198.75,      5141.95,      5153.10,-35.05
,Nifty50 PR 2x Lev,      2897.20,      2900.65,      2900.65,      2821.65,      2832.80,-64.4
,Nifty50 PR 1x Inv,       504.85,       504.60,       511.45,       504.60,       510.50,5.65
,Nifty50 TR 2x Lev,      3405.70,      3409.75,      3409.75,      3316.95,      3330.05,-75.65
,Nifty50 TR 1x Inv,       465.60,       465.35,       471.70,       465.35,       470.80,5.2
,Nifty50 Value 20,      3501.00,      3501.80,      3501.80,      3455.80,      3463.50,-37.5
,Nifty Mid Liq 15,      2750.55,      2757.30,      2757.30,      2673.70,      2681.50,-69.05
,Nifty Pvt Bank,      9556.20,      9551.50,      9569.00,      9476.15,      9490.80,-65.4
,Nifty Quality 30,      2051.70,      2055.70,      2055.70,      2036.50,      2040.95,-10.75
,Nifty GS 8 13Yr,      1513.36,      1513.68,      1513.74,      1512.10,      1513.72,.36
,Nifty GS 10Yr,      1450.46,      1450.75,      1451.04,      1448.37,      1450.97,.51
,Nifty GS 10Yr Cln,       943.51,       943.51,       943.70,       941.92,       943.65,.14
,Nifty GS 4 8Yr,      1576.29,      1576.62,      1576.62,      1575.19,      1576.51,.22
,Nifty GS 11 15Yr,      1568.84,      1569.18,      1569.55,      1566.68,      1569.55,.71
,Nifty GS 15YrPlus,      1644.96,      1645.31,      1645.31,      1642.99,      1644.41,-.55
,Nifty GS Compsite,      1553.77,      1554.09,      1554.20,      1552.35,      1554.19,.42

,ADVANCES,436
,DECLINES,1105
,UNCHANGED,74

,Total securities that have hit their price bands today,94

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,LUPIN,EQ,      1638.15,      1655.45,1.06,584.74
,IBREALEST,EQ,        92.95,        93.40,0.48,482.5
,PARAGMILK,EQ,       215.00,       247.00,14.88,459.74
,SBIN,EQ,       179.95,       172.70,-4.03,448
,TATAMOTORS,EQ,       384.85,       386.90,0.53,428.18
,SUNTV,EQ,       427.45,       371.00,-13.21,412.23
,ICICIBANK,EQ,       226.45,       225.55,-0.4,338.08
,CASTROLIND,EQ,       385.25,       375.30,-2.58,322.74
,YESBANK,EQ,       971.25,       966.90,-0.45,301.99
,AXISBANK,EQ,       501.10,       490.50,-2.12,296.34
,HDIL,EQ,        91.45,        92.00,0.6,294.1
,HDFC,EQ,      1208.20,      1175.85,-2.68,290.74
,MARUTI,EQ,      3914.90,      3926.60,0.3,266.12
,SUNPHARMA,EQ,       795.30,       792.50,-0.35,246.68
,INFY,EQ,      1209.85,      1205.75,-0.34,238.93
,ADANIPORTS,EQ,       183.20,       171.55,-6.36,238.83
,TATASTEEL,EQ,       329.05,       326.25,-0.85,216.17
,IBULHSGFIN,EQ,       729.00,       693.00,-4.94,206.88
,RELIANCE,EQ,       970.55,       951.20,-1.99,200.6
,ITC,EQ,       332.70,       324.85,-2.36,186.37
,KSCL,EQ,       439.40,       437.30,-0.48,172.76
,LT,EQ,      1309.85,      1266.10,-3.34,171.96
,DLF,EQ,       127.45,       124.05,-2.67,153.77
,HINDUNILVR,EQ,       825.50,       815.10,-1.26,153.17
,BANKBARODA,EQ,       142.40,       137.20,-3.65,139.61

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BPCL,EQ,       943.25,       933.10,1.09
,LUPIN,EQ,      1655.45,      1638.15,1.06
,POWERGRID,EQ,       144.40,       143.05,.94
,WIPRO,EQ,       542.95,       539.55,.63
,ZEEL,EQ,       438.15,       435.75,.55

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ADANIPORTS,EQ,       171.55,       183.20,-6.36
,SBIN,EQ,       172.70,       179.95,-4.03
,BANKBARODA,EQ,       137.20,       142.40,-3.65
,LT,EQ,      1266.10,      1309.85,-3.34
,EICHERMOT,EQ,     18200.70,     18720.00,-2.77

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        32.60,                   712936.15,21953
,3IINFOTECH,EQ,         4.20,                  1480915.20,350463
,3MINDIA,EQ,     12655.80,                 15432501.35,1202
,8KMILES,EQ,      1582.50,                112019909.65,69977
,A2ZINFRA,EQ,        25.05,                  4224882.90,168992
,AARTIDRUGS,EQ,       477.15,                  4398830.15,9068
,AARTIIND,EQ,       512.15,                  7228842.30,14116
,AARVEEDEN,EQ,        60.85,                  1937060.65,30940
,ABAN,EQ,       205.70,                137906264.40,661840
,ABBOTINDIA,EQ,      4659.20,                  2050279.80,438
,ABFRL,EQ,       154.55,                 33241658.75,215109
,ABGSHIP,EQ,        28.60,                 13979625.60,486355
,ABIRLANUVO,EQ,      1038.65,               1170695339.80,1124785
,ACCELYA,EQ,      1094.90,                  6590626.60,5999
,ACE,EQ,        42.75,                  6061357.10,139638
,ACROPETAL,EQ,         2.70,                     3207.90,1183
,ADANIENT,EQ,        71.50,                165024974.65,2260593
,ADANIPOWER,EQ,        28.95,                117075794.90,3973665
,ADANITRANS,EQ,        28.90,                  5847923.15,199836
,ADFFOODS,EQ,        87.45,                  2501950.00,28472
,ADHUNIK,EQ,         7.90,                   762986.80,93846
,ADI,EQ,       281.00,                   848298.45,3024
,ADLABS,EQ,        80.80,                  8759444.70,107476
,ADORWELD,EQ,       284.50,                   510297.90,1794
,ADSL,EQ,        40.60,                  4170176.70,100382
,ADVANIHOTR,EQ,        52.65,                   732441.75,13768
,ADVANTA,EQ,       573.50,                  6848287.60,11799
,AEGISCHEM,EQ,       110.75,                 64099691.95,562018
,AFL,EQ,        60.30,                   136058.65,2248
,AGARIND,EQ,       120.75,                   426855.60,3463
,AGCNET,EQ,        68.35,                   326694.20,4719
,AGRODUTCH,EQ,         2.55,                     8545.05,3283
,AHLEAST,EQ,       146.10,                    23494.75,160
,AHLUCONT,EQ,       271.50,                  1258386.75,4601
,AHLWEST,EQ,       133.20,                   298748.35,2277
,AIAENG,EQ,       958.75,                  8498344.75,8921
,AIFL,EQ,       255.65,                  7081318.15,27578
,AIL,EQ,       610.10,                  3640930.75,5917
,AJANTPHARM,EQ,      1578.00,                 92543009.50,58799
,AJMERA,EQ,       167.35,                 55642534.25,317988
,AKSHOPTFBR,EQ,        15.85,                 38228732.10,2360280
,AKZOINDIA,EQ,      1435.50,                 12355026.10,8574
,ALANKIT,EQ,       111.10,                 44974349.20,406089
,ALBK,EQ,        51.50,                113497650.30,2165265
,ALCHEM,EQ,        22.65,                   260338.50,11337
,ALEMBICLTD,EQ,        35.80,                  2086943.55,57710
,ALICON,EQ,       349.90,                  1270488.35,3554
,ALKALI,EQ,        43.65,                    89726.85,2049
,ALKEM,EQ,      1227.05,                 30908756.15,25302
,ALKYLAMINE,EQ,       315.50,                  2473907.20,7678
,ALLCARGO,EQ,       152.70,                101212979.15,645544
,ALLSEC,EQ,       187.75,                  3408673.60,18183
,ALMONDZ,EQ,        11.00,                    57250.20,5210
,ALOKTEXT,EQ,         3.95,                  5408873.60,1374769
,ALPA,BE,        32.95,                   461529.40,14007
,ALPHAGEO,EQ,       487.80,                  6125791.05,12272
,ALPSINDUS,EQ,         5.05,                  1346600.05,253433
,ALSTOMT&D,EQ,       348.80,                  7121530.35,20373
,AMARAJABAT,EQ,       941.95,                161771187.10,169645
,AMBIKCO,EQ,       859.45,                  2005797.60,2332
,AMDIND,EQ,        29.80,                   130430.50,4375
,AMRUTANJAN,EQ,       407.35,                  1860879.55,4544
,AMTEKAUTO,EQ,        34.00,                 39223840.95,1126853
,AMTL,EQ,        30.35,                   382715.45,12133
,ANANDAMRUB,BE,        16.80,                     9593.50,550
,ANANTRAJ,EQ,        40.55,                 47058826.35,1143289
,ANDHRABANK,EQ,        48.85,                122589632.60,2464891
,ANDHRACEMT,EQ,         8.15,                  2951969.65,360463
,ANDHRSUGAR,EQ,       189.05,                 38152028.35,197475
,ANGIND,EQ,        19.00,                  1528733.55,79132
,ANIKINDS,BE,        32.05,                      318.50,10
,ANKITMETAL,EQ,         1.75,                    19052.40,11008
,ANSALAPI,EQ,        18.80,                  2113174.60,110208
,ANSALHSG,EQ,        20.25,                   204123.80,10024
,ANTGRAPHIC,BE,          .75,                    18030.10,25377
,APARINDS,EQ,       491.70,                  5857995.65,11739
,APCOTEXIND,EQ,       286.95,                  3025484.35,10412
,APLAPOLLO,EQ,       852.50,                 24880379.45,28876
,APLLTD,EQ,       555.95,                 29812835.95,52913
,APOLLOTYRE,EQ,       150.80,                331461568.10,2172570
,APOLSINHOT,EQ,       235.00,                    35250.00,150
,APTECHT,EQ,        62.30,                  7830503.05,123929
,ARCHIDPLY,EQ,        48.85,                  2910088.80,57377
,ARCHIES,EQ,        23.70,                   627044.30,26370
,ARCOTECH,EQ,       361.90,                 57025092.30,156168
,ARIES,EQ,       126.95,                 16279944.75,123421
,ARIHANT,EQ,        41.95,                   396315.15,9494
,AROGRANITE,EQ,        44.50,                   203698.20,4505
,ARROWGREEN,EQ,       513.90,                  3770008.10,7130
,ARROWTEX,EQ,        42.30,                  4842830.30,111990
,ARSHIYA,EQ,        24.00,                  2080006.15,84639
,ARSSINFRA,EQ,        40.75,                  4076860.85,99406
,ARVIND,EQ,       303.65,                810858846.15,2651593
,ARVINFRA,EQ,        89.75,                 12716166.15,138346
,ASAHIINDIA,EQ,       148.95,                  1704986.70,11426
,ASAHISONG,EQ,       141.80,                   437662.25,3075
,ASAL,EQ,        41.10,                   113090.85,2701
,ASHAPURMIN,EQ,        75.00,                  7620450.65,100727
,ASHIANA,EQ,       153.45,                  3228604.55,21087
