,27-May-2016
The Nifty witnessed an intraday movement of about 87.15 points.The closing index was 1.08 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 21169.2
, Traded Quantity (in Lakhs), 10019.91
, Number of Trades, 8251314
, Total Market Capitalisation (Rs. Crores), 9731870.84

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      8069.65,      8081.95,      8164.20,      8077.05,      8156.65,87
,Nifty IT,     11337.15,     11325.70,     11462.05,     11325.70,     11420.85,83.7
,Nifty Next 50,     19429.15,     19490.80,     19784.10,     19471.50,     19716.15,287
,Nifty Bank,     17359.30,     17348.35,     17543.30,     17327.65,     17511.80,152.5
,Nifty MID100 Free,     13105.45,     13145.85,     13286.15,     13144.95,     13270.05,164.6
,Nifty 500,      6725.20,      6739.20,      6801.80,      6739.20,      6797.00,71.8
,Nifty 100,      8159.05,      8173.50,      8260.70,      8173.50,      8251.90,92.85
,Nifty Midcap 50,      3332.75,      3344.55,      3388.20,      3341.40,      3370.90,38.15
,Nifty Realty,       180.60,       181.90,       185.20,       181.60,       183.35,2.75
,Nifty Infra,      2748.10,      2751.10,      2764.95,      2740.80,      2755.65,7.55
,Nifty Energy,      8280.85,      8331.85,      8498.60,      8331.85,      8454.00,173.15
,Nifty FMCG,     20920.65,     20934.35,     21022.40,     20764.50,     20907.55,-13.1
,Nifty MNC,      9125.95,      9132.90,      9208.25,      9132.90,      9194.40,68.45
,Nifty Pharma,     10882.20,     10981.10,     11247.50,     10973.25,     11206.80,324.6
,Nifty PSE,      2934.55,      2956.60,      2999.60,      2956.10,      2977.85,43.3
,Nifty PSU Bank,      2289.35,      2293.25,      2457.95,      2271.45,      2399.85,110.5
,Nifty Serv Sector,     10492.55,     10492.55,     10611.20,     10492.55,     10597.35,104.8
,India VIX,15.3250,15.3250,15.8575,14.9375,15.2600,-0.0650
,Nifty Auto,      8312.65,      8327.70,      8409.80,      8327.70,      8393.95,81.3
,Nifty Metal,      1941.90,      1949.00,      1972.80,      1945.85,      1968.80,26.9
,Nifty Media,      2513.15,      2528.65,      2556.85,      2514.20,      2546.00,32.85
,Nifty SML100 Free,      5178.65,      5197.70,      5237.45,      5190.20,      5223.05,44.4
,Nifty 200,      4217.70,      4225.75,      4269.25,      4225.75,      4265.05,47.35
,Nifty Div Opps 50,      1853.35,      1861.75,      1880.30,      1861.75,      1875.00,21.65
,Nifty Commodities,      2515.80,      2530.35,      2565.80,      2530.35,      2557.65,41.85
,Nifty Consumption,      3598.55,      3599.80,      3630.45,      3598.10,      3619.95,21.4
,Nifty Fin Service,      7099.75,      7101.30,      7194.50,      7099.30,      7189.45,89.7
,Nifty50 Div Point,          .93,          .93,          .93,          .93,          .93,0
,Nifty100 Liq 15,      3020.75,      3034.70,      3102.35,      3034.70,      3088.85,68.1
,Nifty CPSE,      1857.20,      1869.75,      1889.00,      1858.00,      1863.15,5.95
,Nifty GrowSect 15,      5298.15,      5303.20,      5360.95,      5303.20,      5341.20,43.05
,Nifty50 PR 2x Lev,      3038.60,      3047.30,      3109.00,      3047.30,      3103.55,64.95
,Nifty50 PR 1x Inv,       492.55,       491.90,       491.90,       486.90,       487.35,-5.2
,Nifty50 TR 2x Lev,      3571.90,      3582.15,      3654.70,      3582.15,      3648.30,76.4
,Nifty50 TR 1x Inv,       454.25,       453.65,       453.65,       449.05,       449.45,-4.8
,Nifty50 Value 20,      3548.45,      3550.60,      3602.80,      3550.60,      3597.40,48.95
,Nifty Mid Liq 15,      2774.60,      2783.80,      2815.10,      2781.20,      2801.50,26.9
,Nifty Pvt Bank,      9959.35,      9950.80,     10049.30,      9950.80,      9996.80,37.45
,Nifty Quality 30,      2085.90,      2092.55,      2116.55,      2092.55,      2112.45,26.55
,Nifty GS 8 13Yr,      1515.70,      1516.02,      1516.59,      1515.59,      1515.65,-.05
,Nifty GS 10Yr,      1453.39,      1453.68,      1454.24,      1453.23,      1453.40,.01
,Nifty GS 10Yr Cln,       943.89,       943.89,       944.26,       943.58,       943.70,-.19
,Nifty GS 4 8Yr,      1579.05,      1579.38,      1580.06,      1579.26,      1579.26,.21
,Nifty GS 11 15Yr,      1571.73,      1572.07,      1572.74,      1571.62,      1571.62,-.11
,Nifty GS 15YrPlus,      1648.57,      1648.92,      1649.11,      1647.25,      1647.25,-1.32
,Nifty GS Compsite,      1556.44,      1556.77,      1557.50,      1556.56,      1556.56,.12

,ADVANCES,919
,DECLINES,630
,UNCHANGED,79

,Total securities that have hit their price bands today,114

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SBIN,EQ,       184.15,       195.90,6.38,1620.84
,BPCL,EQ,       926.80,      1012.00,9.19,590.28
,ICICIBANK,EQ,       241.15,       243.15,0.83,590.26
,HINDPETRO,EQ,       849.65,       931.65,9.65,577.24
,LT,EQ,      1474.15,      1474.90,0.05,576.63
,LUPIN,EQ,      1469.95,      1480.10,0.69,469.38
,HDFC,EQ,      1228.25,      1255.55,2.22,404.29
,AXISBANK,EQ,       519.00,       512.40,-1.27,397.39
,INFY,EQ,      1234.15,      1247.50,1.08,386.16
,YESBANK,EQ,      1021.05,      1025.50,0.44,380.77
,MARUTI,EQ,      4118.00,      4146.60,0.69,364.43
,TATAMOTORS,EQ,       399.25,       403.90,1.16,362.39
,IOC,EQ,       402.15,       412.95,2.69,342.6
,JETAIRWAYS,EQ,       606.25,       604.10,-0.35,327.97
,SUNPHARMA,EQ,       779.35,       824.95,5.85,299.81
,RELIANCE,EQ,       946.85,       974.70,2.94,296.17
,RELINFRA,EQ,       516.65,       541.70,4.85,261.94
,IBREALEST,EQ,        99.05,       103.55,4.54,256.75
,ITC,EQ,       362.45,       359.30,-0.87,252.24
,HCLTECH,EQ,       740.90,       757.60,2.25,229.36
,CUMMINSIND,EQ,       807.65,       783.90,-2.94,212.79
,MCDOWELL-N,EQ,      2464.65,      2481.15,0.67,206.78
,RELCAPITAL,EQ,       401.55,       414.00,3.1,189.39
,ASHOKLEY,EQ,       104.20,       106.80,2.5,185.14
,HDIL,EQ,        99.70,        98.60,-1.1,177.96

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BPCL,EQ,      1012.00,       926.80,9.19
,SBIN,EQ,       195.90,       184.15,6.38
,SUNPHARMA,EQ,       824.95,       779.35,5.85
,ADANIPORTS,EQ,       191.70,       184.80,3.73
,RELIANCE,EQ,       974.70,       946.85,2.94

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TATAPOWER,EQ,        72.60,        73.65,-1.43
,ONGC,EQ,       213.00,       216.05,-1.41
,AXISBANK,EQ,       512.40,       519.00,-1.27
,TECHM,EQ,       535.90,       542.30,-1.18
,ITC,EQ,       359.30,       362.45,-0.87

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        28.25,                   895229.90,31468
,3IINFOTECH,EQ,         3.95,                  8912062.65,2209977
,3MINDIA,EQ,     12699.00,                 71771349.05,5511
,8KMILES,EQ,      1710.45,                 58065929.45,33558
,A2ZINFRA,EQ,        25.15,                  2575596.90,102189
,AARTIDRUGS,EQ,       468.95,                  5216424.20,11140
,AARTIIND,EQ,       516.20,                  6772085.75,13101
,AARVEEDEN,EQ,        58.55,                   200096.80,3436
,ABAN,EQ,       199.55,                200060984.35,999288
,ABBOTINDIA,EQ,      4751.70,                 12563064.65,2663
,ABFRL,EQ,       134.50,                 73900018.90,541872
,ABGSHIP,EQ,        25.30,                 13279371.10,529920
,ABIRLANUVO,EQ,      1045.80,                305707436.45,289720
,ACCELYA,EQ,      1083.05,                  1756213.90,1620
,ACE,EQ,        40.75,                  5642915.15,138744
,ACROPETAL,BE,         2.50,                     5924.95,2368
,ADANIENT,EQ,        73.35,                139065916.70,1881069
,ADANIPOWER,EQ,        30.05,                474014703.60,15700631
,ADANITRANS,EQ,        30.55,                 97416698.05,3194830
,ADFFOODS,EQ,        90.10,                 10089354.25,109614
,ADHUNIK,EQ,         7.85,                   602443.20,77353
,ADI,EQ,       290.00,                   268580.85,927
,ADLABS,EQ,        81.95,                  3148579.20,38539
,ADORWELD,EQ,       280.60,                   356752.85,1265
,ADSL,EQ,        33.30,                  4657796.10,140691
,ADVANIHOTR,EQ,        50.05,                   211046.05,4199
,ADVANTA,EQ,       608.60,                  4570644.10,7476
,AEGISCHEM,EQ,       112.00,                 17785941.90,158129
,AFL,EQ,        52.20,                  1431754.65,26831
,AGARIND,EQ,       113.30,                   145351.90,1298
,AGCNET,EQ,        61.50,                   124608.50,2025
,AGRITECH,EQ,         7.20,                     1173.60,163
,AGRODUTCH,EQ,         2.40,                    22008.95,9278
,AHLEAST,EQ,       183.85,                   325252.25,1823
,AHLUCONT,EQ,       274.40,                  3184773.60,11592
,AHLWEST,EQ,       131.00,                   287519.45,2194
,AIAENG,EQ,       937.90,                 54060499.65,57272
,AIFL,EQ,       268.50,                 11537898.60,43575
,AIL,EQ,       614.65,                  2700154.10,4397
,AJANTPHARM,EQ,      1530.20,                130059594.00,84904
,AJMERA,EQ,       157.80,                  8766605.90,55227
,AKSHOPTFBR,EQ,        14.65,                  9739847.85,662727
,AKZOINDIA,EQ,      1445.90,                  7215779.80,4991
,ALANKIT,EQ,       111.95,                 42510833.55,379092
,ALBK,EQ,        52.70,                149557508.40,2881247
,ALCHEM,EQ,        21.35,                   251930.45,11630
,ALEMBICLTD,EQ,        35.50,                  6531490.70,185489
,ALICON,EQ,       342.00,                   411968.60,1199
,ALKALI,EQ,        43.30,                   261023.55,6068
,ALKEM,EQ,      1248.90,                115571038.40,92226
,ALKYLAMINE,EQ,       309.90,                  1739197.60,5571
,ALLCARGO,EQ,       155.95,                  9700684.20,61810
,ALLSEC,EQ,       184.10,                  7338324.90,38920
,ALMONDZ,EQ,        14.00,                   859512.70,59181
,ALOKTEXT,EQ,         3.95,                  9012983.10,2273633
,ALPA,BE,        33.10,                  1148591.35,34423
,ALPHAGEO,EQ,       490.65,                  4014081.70,8150
,ALPSINDUS,EQ,         4.85,                   197100.20,40982
,ALSTOMT&D,EQ,       338.85,                 12664387.85,37427
,AMARAJABAT,EQ,       861.20,                289653760.00,334057
,AMBIKCO,EQ,       853.35,                  2522817.85,2979
,AMDIND,EQ,        27.00,                   785490.95,28294
,AMRUTANJAN,EQ,       398.80,                  5925423.55,14925
,AMTEKAUTO,EQ,        34.35,                 35125779.55,1017116
,AMTL,EQ,        31.05,                   313724.60,10556
,ANANDAMRUB,BE,        16.25,                     1625.00,100
,ANANTRAJ,EQ,        39.75,                 32146178.80,808056
,ANDHRABANK,EQ,        48.45,                130762361.80,2723574
,ANDHRACEMT,EQ,         7.75,                   909292.10,115577
,ANDHRSUGAR,EQ,       190.95,                 34885099.00,179960
,ANGIND,EQ,        19.50,                  2335724.90,122167
,ANKITMETAL,EQ,         1.65,                   309885.85,186282
,ANSALAPI,EQ,        19.30,                  1222208.20,63166
,ANSALHSG,EQ,        20.60,                   153552.90,7467
,ANTGRAPHIC,BE,          .75,                    16124.15,22655
,APARINDS,EQ,       488.70,                  9703734.45,19542
,APCOTEXIND,EQ,       283.60,                  3472742.25,12341
,APLAPOLLO,EQ,       882.00,                 13389587.75,15257
,APLLTD,EQ,       540.85,                 54279693.05,99811
,APOLLOTYRE,EQ,       156.85,                192888960.40,1236710
,APTECHT,EQ,        66.65,                 25220700.45,375269
,ARCHIDPLY,EQ,        47.75,                  1782923.90,37249
,ARCHIES,EQ,        21.75,                  1128129.70,52231
,ARCOTECH,EQ,       380.90,                 61147853.85,168280
,ARIES,EQ,       125.85,                  4760904.30,37589
,ARIHANT,EQ,        40.00,                     4603.00,115
,AROGRANITE,EQ,        43.95,                   135545.80,3149
,ARROWGREEN,EQ,       529.25,                  5036505.35,9639
,ARROWTEX,EQ,        37.85,                  1148684.75,30324
,ARSHIYA,EQ,        22.90,                   606528.30,26503
,ARSSINFRA,EQ,        40.55,                  6557316.40,161538
,ARVIND,EQ,       315.35,                347253318.40,1101223
,ARVINFRA,EQ,        86.40,                  9986855.45,114106
,ASAHIINDIA,EQ,       153.60,                  2048192.15,13178
,ASAHISONG,EQ,       150.90,                  1529997.20,10125
,ASAL,EQ,        38.40,                    47522.65,1237
,ASHAPURMIN,EQ,        71.90,                 29503930.55,407037
,ASHIANA,EQ,       159.75,                  4242195.80,26482
