,31-May-2016
The Nifty witnessed an intraday movement of about 79.3 points.The closing index was 0.22 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 35855.79
, Traded Quantity (in Lakhs), 14509.31
, Number of Trades, 10464729
, Total Market Capitalisation (Rs. Crores), 9740551.15

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      8178.50,      8209.85,      8213.60,      8134.30,      8160.10,-18.4
,Nifty IT,     11547.50,     11554.65,     11559.45,     11374.85,     11395.85,-151.65
,Nifty Next 50,     19801.80,     19840.30,     19856.00,     19665.75,     19715.35,-86.45
,Nifty Bank,     17520.65,     17615.10,     17648.25,     17462.20,     17620.90,100.25
,Nifty MID100 Free,     13335.35,     13366.60,     13366.60,     13242.25,     13292.65,-42.7
,Nifty 500,      6820.30,      6842.65,      6842.65,      6782.50,      6804.00,-16.3
,Nifty 100,      8276.10,      8305.45,      8305.45,      8230.05,      8254.80,-21.3
,Nifty Midcap 50,      3387.80,      3391.70,      3393.70,      3350.85,      3376.30,-11.5
,Nifty Realty,       181.65,       182.20,       184.65,       179.70,       183.15,1.5
,Nifty Infra,      2778.35,      2781.70,      2781.70,      2749.55,      2753.55,-24.8
,Nifty Energy,      8450.95,      8460.95,      8476.00,      8360.20,      8373.20,-77.75
,Nifty FMCG,     20807.05,     20810.45,     20884.55,     20458.45,     20521.65,-285.4
,Nifty MNC,      9186.85,      9193.45,      9257.15,      9172.55,      9215.20,28.35
,Nifty Pharma,     11175.00,     11123.70,     11123.70,     10946.55,     10995.45,-179.55
,Nifty PSE,      2991.90,      2997.90,      3000.25,      2966.30,      2973.05,-18.85
,Nifty PSU Bank,      2424.35,      2424.05,      2503.35,      2395.80,      2494.75,70.4
,Nifty Serv Sector,     10640.75,     10669.00,     10669.95,     10545.50,     10601.70,-39.05
,India VIX,15.9750,15.9750,16.3625,14.3025,16.0450,0.0700
,Nifty Auto,      8497.00,      8669.75,      8741.40,      8616.65,      8720.40,223.4
,Nifty Metal,      2008.05,      2010.80,      2044.25,      1988.35,      2031.85,23.8
,Nifty Media,      2533.20,      2543.40,      2544.55,      2512.05,      2533.80,.6
,Nifty SML100 Free,      5239.55,      5247.95,      5249.65,      5185.60,      5217.40,-22.15
,Nifty 200,      4278.75,      4293.45,      4293.45,      4254.95,      4268.40,-10.35
,Nifty Div Opps 50,      1887.20,      1890.20,      1893.60,      1875.85,      1877.95,-9.25
,Nifty Commodities,      2570.40,      2573.70,      2584.30,      2564.40,      2570.45,.05
,Nifty Consumption,      3623.15,      3634.05,      3639.35,      3601.90,      3605.50,-17.65
,Nifty Fin Service,      7171.90,      7203.55,      7207.15,      7136.75,      7193.25,21.35
,Nifty50 Div Point,        14.91,        14.91,        14.91,        14.91,        14.91,0
,Nifty100 Liq 15,      3113.10,      3160.30,      3190.35,      3140.85,      3185.10,72
,Nifty CPSE,      1886.85,      1892.20,      1893.00,      1873.50,      1877.65,-9.2
,Nifty GrowSect 15,      5365.25,      5371.70,      5378.70,      5315.20,      5323.50,-41.75
,Nifty50 PR 2x Lev,      3118.70,      3142.05,      3142.05,      3084.95,      3104.10,-14.6
,Nifty50 PR 1x Inv,       486.25,       484.50,       488.95,       484.50,       487.45,1.2
,Nifty50 TR 2x Lev,      3678.60,      3706.15,      3706.15,      3638.80,      3661.40,-17.2
,Nifty50 TR 1x Inv,       447.70,       446.05,       450.15,       446.05,       448.80,1.1
,Nifty50 Value 20,      3628.40,      3639.70,      3639.70,      3592.55,      3605.35,-23.05
,Nifty Mid Liq 15,      2812.70,      2811.50,      2814.15,      2774.75,      2798.50,-14.2
,Nifty Pvt Bank,      9996.45,     10057.10,     10057.10,      9964.30,     10018.00,21.55
,Nifty Quality 30,      2125.95,      2136.20,      2137.25,      2112.90,      2115.55,-10.4
,Nifty GS 8 13Yr,      1517.24,      1517.24,      1517.33,      1516.87,      1516.97,-.27
,Nifty GS 10Yr,      1455.41,      1455.41,      1455.48,      1454.36,      1454.50,-.91
,Nifty GS 10Yr Cln,       944.45,       944.45,       944.49,       943.75,       943.84,-.61
,Nifty GS 4 8Yr,      1580.76,      1580.76,      1580.97,      1580.37,      1580.37,-.39
,Nifty GS 11 15Yr,      1573.44,      1573.44,      1573.69,      1573.00,      1573.20,-.24
,Nifty GS 15YrPlus,      1652.26,      1652.26,      1652.36,      1651.16,      1651.16,-1.1
,Nifty GS Compsite,      1558.43,      1558.43,      1558.64,      1558.03,      1558.10,-.33

,ADVANCES,590
,DECLINES,970
,UNCHANGED,72

,Total securities that have hit their price bands today,111

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,TATAMOTORS,EQ,       421.25,       459.65,9.12,5062.94
,SUNPHARMA,EQ,       812.10,       762.75,-6.08,1208.59
,YESBANK,EQ,      1026.95,      1033.00,0.59,1188.73
,BAJFINANCE,EQ,      7643.45,      7588.80,-0.71,1173.94
,HCLTECH,EQ,       747.55,       739.80,-1.04,1114.1
,HINDUNILVR,EQ,       854.35,       848.20,-0.72,1029.7
,TITAN,EQ,       363.55,       360.50,-0.84,977.11
,INFY,EQ,      1267.60,      1248.65,-1.49,860.05
,HAVELLS,EQ,       372.45,       364.50,-2.13,839.35
,SBIN,EQ,       198.85,       204.95,3.07,795.24
,BHARTIARTL,EQ,       355.90,       351.40,-1.26,769.37
,HDFC,EQ,      1233.95,      1237.70,0.3,636.93
,NTPC,EQ,       143.60,       143.15,-0.31,594.65
,RCOM,EQ,        48.85,        46.95,-3.89,586.83
,RECLTD,EQ,       160.60,       160.10,-0.31,523.17
,UBL,EQ,       717.25,       725.60,1.16,517.96
,RELIANCE,EQ,       968.70,       957.85,-1.12,512
,TATAMTRDVR,EQ,       281.45,       314.50,11.74,498.11
,TCS,EQ,      2636.40,      2569.40,-2.54,480.47
,ICICIBANK,EQ,       244.50,       244.65,0.06,405.76
,HINDALCO,EQ,       102.95,       105.25,2.23,385.31
,LT,EQ,      1487.10,      1473.55,-0.91,374.53
,LUPIN,EQ,      1467.85,      1474.75,0.47,372.34
,ITC,EQ,       356.50,       351.05,-1.53,341.3
,TATASTEEL,EQ,       322.35,       334.35,3.72,332.18

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TATAMTRDVR,EQ,       314.50,       281.45,11.74
,TATAMOTORS,EQ,       459.65,       421.25,9.12
,AUROPHARMA,EQ,       785.30,       754.45,4.09
,TATASTEEL,EQ,       334.35,       322.35,3.72
,BANKBARODA,EQ,       142.80,       138.40,3.18

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,SUNPHARMA,EQ,       762.75,       812.10,-6.08
,INFRATEL,EQ,       374.55,       386.05,-2.98
,TCS,EQ,      2569.40,      2636.40,-2.54
,GAIL,EQ,       370.45,       379.85,-2.47
,BPCL,EQ,       980.50,       999.45,-1.9

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        28.55,                   604274.45,21378
,3IINFOTECH,EQ,         3.80,                  5694890.85,1475976
,3MINDIA,EQ,     12415.15,                 14772559.55,1191
,8KMILES,EQ,      1692.55,                 49827575.15,29495
,A2ZINFRA,EQ,        24.90,                  3948999.40,157413
,AARTIDRUGS,EQ,       463.10,                  2263835.55,4884
,AARTIIND,EQ,       519.35,                  5052633.10,9748
,AARVEEDEN,EQ,        58.10,                   262980.45,4540
,ABAN,EQ,       196.60,                105539437.50,536085
,ABBOTINDIA,EQ,      4705.05,                  2568285.50,543
,ABFRL,EQ,       131.75,                417515967.30,3100153
,ABGSHIP,EQ,        24.55,                 15309136.50,629890
,ABIRLANUVO,EQ,      1045.95,                297347289.25,283375
,ACCELYA,EQ,      1093.25,                  3519804.35,3197
,ACE,EQ,        40.15,                  1470298.30,36429
,ACROPETAL,BE,         2.40,                    21062.20,8689
,ADANIENT,EQ,        72.85,                251742829.40,3439525
,ADANIPOWER,EQ,        29.80,                137960786.15,4604628
,ADANITRANS,EQ,        31.90,                103214713.75,3253179
,ADFFOODS,EQ,        85.30,                  2562103.20,29929
,ADHUNIK,EQ,         7.60,                   376050.45,48616
,ADI,EQ,       281.15,                   455421.85,1608
,ADLABS,EQ,        83.20,                  5022703.90,60293
,ADORWELD,EQ,       289.40,                  1653018.30,5706
,ADSL,EQ,        30.40,                  4400175.90,142988
,ADVANIHOTR,EQ,        50.00,                    88991.35,1777
,ADVANTA,EQ,       655.95,                164021274.75,252591
,AEGISCHEM,EQ,       114.60,                106150010.50,930680
,AFL,EQ,        50.30,                   322350.20,6367
,AGARIND,EQ,       113.00,                   456265.55,4011
,AGCNET,EQ,        60.85,                   111441.75,1843
,AGRITECH,EQ,         7.55,                     3941.10,522
,AGRODUTCH,EQ,         2.40,                     4426.00,1865
,AHLEAST,EQ,       179.15,                   115672.00,646
,AHLUCONT,EQ,       273.00,                   828954.60,3019
,AHLWEST,EQ,       133.55,                    56334.25,428
,AIAENG,EQ,       941.20,                 32704301.35,34745
,AIFL,EQ,       261.35,                 14191651.80,54158
,AIL,EQ,       613.30,                  4662110.00,7603
,AJANTPHARM,EQ,      1518.75,                 93004856.55,61080
,AJMERA,EQ,       160.40,                 23261905.15,146060
,AKSHOPTFBR,EQ,        14.20,                  8457968.15,592910
,AKZOINDIA,EQ,      1536.00,                 47602715.55,31299
,ALANKIT,EQ,       117.25,                 28179276.20,237474
,ALBK,EQ,        53.15,                191438814.85,3665744
,ALCHEM,EQ,        21.15,                    72515.75,3446
,ALEMBICLTD,EQ,        35.40,                  1823491.45,51397
,ALICON,EQ,       342.00,                   438217.95,1282
,ALKALI,EQ,        42.95,                   720892.50,16746
,ALKEM,EQ,      1263.40,                 28384345.90,22541
,ALKYLAMINE,EQ,       310.05,                   267916.85,865
,ALLCARGO,EQ,       161.15,                 36572947.75,226617
,ALLSEC,EQ,       186.95,                  3574975.65,19139
,ALMONDZ,EQ,        13.50,                    69950.10,5289
,ALOKTEXT,EQ,         3.70,                 10668651.60,2890237
,ALPA,BE,        30.60,                   990054.70,32788
,ALPHAGEO,EQ,       482.80,                  2901159.10,5974
,ALPSINDUS,EQ,         5.30,                   698693.60,125030
,ALSTOMT&D,EQ,       331.90,                  9709284.20,29133
,AMARAJABAT,EQ,       839.60,                244652957.55,289086
,AMBIKCO,EQ,       808.55,                  6168997.20,7619
,AMDIND,EQ,        25.95,                    40075.55,1542
,AMRUTANJAN,EQ,       401.30,                  1235111.85,3074
,AMTEKAUTO,EQ,        32.40,                 79765316.15,2438419
,AMTL,EQ,        31.85,                   118533.30,3705
,ANANTRAJ,EQ,        39.75,                 29543557.55,753930
,ANDHRABANK,EQ,        50.25,                147379562.05,3004166
,ANDHRACEMT,EQ,         7.40,                   972806.10,130726
,ANDHRSUGAR,EQ,       188.40,                 31468335.00,165180
,ANGIND,EQ,        17.65,                   574666.35,32559
,ANKITMETAL,EQ,         1.55,                   381128.85,245571
,ANSALAPI,EQ,        19.10,                   977255.35,51292
,ANSALHSG,EQ,        20.10,                   423631.85,20709
,ANTGRAPHIC,BE,          .70,                    58027.50,83850
,APARINDS,EQ,       486.90,                  6273046.80,12838
,APCOTEXIND,EQ,       327.45,                 53057598.85,165403
,APLAPOLLO,EQ,       882.50,                 43425856.90,49369
,APLLTD,EQ,       532.55,                 77010375.90,145534
,APOLLOTYRE,EQ,       156.45,                176331716.90,1125847
,APTECHT,EQ,        64.15,                 12571718.15,196151
,ARCHIDPLY,EQ,        46.60,                  1131668.70,24122
,ARCHIES,EQ,        21.75,                   743902.25,33960
,ARCOTECH,EQ,       369.45,                 73989753.00,200458
,ARIES,EQ,       108.65,                 26889198.35,249212
,ARIHANT,EQ,        41.85,                      492.90,12
,AROGRANITE,EQ,        42.40,                   167031.40,3889
,ARROWGREEN,EQ,       532.00,                   780192.15,1456
,ARROWTEX,EQ,        35.95,                   928338.15,25705
,ARSHIYA,EQ,        20.60,                  1073602.90,50808
,ARSSINFRA,EQ,        41.70,                  4417736.55,105025
,ARVIND,EQ,       319.45,                421006988.45,1318102
,ARVINFRA,EQ,        87.00,                  2431024.90,27968
,ASAHIINDIA,EQ,       149.25,                  2996403.00,20096
,ASAHISONG,EQ,       148.75,                  1491635.00,10090
,ASAL,EQ,        38.60,                    60629.80,1569
,ASHAPURMIN,EQ,        72.35,                  8197729.35,112825
,ASHIANA,EQ,       162.65,                  1829924.60,11240
,ASHIMASYN,EQ,        14.45,                  1092915.55,75581
,ASHOKA,EQ,       138.25,                 68152364.35,492672
