,20-Jul-2016
The Nifty witnessed an intraday movement of about 57.35 points.The closing index was 0.44 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 19180.48
, Traded Quantity (in Lakhs), 10302.44
, Number of Trades, 7705912
, Total Market Capitalisation (Rs. Crores), 10462683.98

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      8528.55,      8515.45,      8569.90,      8512.55,      8565.85,37.3
,Nifty IT,     10766.30,     10600.75,     10775.80,     10600.75,     10764.70,-1.6
,Nifty Next 50,     21503.85,     21541.50,     21688.90,     21541.50,     21673.75,169.9
,Nifty Bank,     18905.15,     18896.80,     19016.25,     18886.30,     18968.20,63.05
,Nifty MID100 Free,     14213.55,     14231.30,     14379.45,     14231.30,     14369.60,156.05
,Nifty 500,      7178.20,      7174.00,      7222.75,      7174.00,      7221.30,43.1
,Nifty 100,      8684.35,      8675.45,      8730.65,      8675.45,      8727.10,42.75
,Nifty Midcap 50,      3509.40,      3513.35,      3567.50,      3513.35,      3561.55,52.15
,Nifty Realty,       201.20,       201.65,       207.30,       201.50,       206.60,5.4
,Nifty Infra,      2910.00,      2912.15,      2929.50,      2911.40,      2926.45,16.45
,Nifty Energy,      9104.00,      9120.15,      9223.20,      9120.15,      9199.70,95.7
,Nifty FMCG,     21838.45,     21868.35,     22021.95,     21815.50,     21957.35,118.9
,Nifty MNC,      9880.30,      9892.60,      9958.50,      9891.20,      9949.10,68.8
,Nifty Pharma,     11647.00,     11706.00,     11937.80,     11706.00,     11925.35,278.35
,Nifty PSE,      3301.30,      3306.30,      3356.90,      3306.30,      3353.25,51.95
,Nifty PSU Bank,      2907.80,      2919.70,      2931.85,      2897.85,      2913.95,6.15
,Nifty Serv Sector,     10864.60,     10823.05,     10893.45,     10823.05,     10885.55,20.95
,India VIX,15.7950,15.7950,16.2125,14.1375,15.9900,0.1950
,Nifty Auto,      9260.05,      9258.35,      9312.85,      9258.35,      9279.80,19.75
,Nifty Metal,      2399.85,      2407.90,      2417.25,      2396.85,      2406.65,6.8
,Nifty Media,      2658.25,      2660.50,      2675.90,      2639.05,      2654.10,-4.15
,Nifty SML100 Free,      5906.00,      5919.65,      5971.85,      5919.65,      5965.25,59.25
,Nifty 200,      4490.00,      4486.45,      4516.95,      4486.45,      4515.45,25.45
,Nifty Div Opps 50,      2019.20,      2020.25,      2044.55,      2020.25,      2042.30,23.1
,Nifty Commodities,      2849.25,      2855.00,      2882.00,      2854.95,      2878.30,29.05
,Nifty Consumption,      3791.95,      3797.20,      3814.10,      3796.30,      3811.75,19.8
,Nifty Fin Service,      7744.20,      7744.75,      7778.50,      7735.45,      7755.60,11.4
,Nifty50 Div Point,        56.34,        56.34,        56.34,        56.34,        56.34,0
,Nifty100 Liq 15,      3510.45,      3511.75,      3521.00,      3503.55,      3511.25,.8
,Nifty CPSE,      2051.80,      2058.00,      2101.80,      2056.85,      2098.85,47.05
,Nifty GrowSect 15,      5406.40,      5380.95,      5441.05,      5380.95,      5437.35,30.95
,Nifty50 PR 2x Lev,      3356.90,      3345.95,      3388.20,      3345.95,      3385.65,28.75
,Nifty50 PR 1x Inv,       469.50,       470.30,       470.30,       467.35,       467.50,-2
,Nifty50 TR 2x Lev,      3999.55,      3986.55,      4036.90,      3986.55,      4033.85,34.3
,Nifty50 TR 1x Inv,       430.10,       430.85,       430.85,       428.10,       428.30,-1.8
,Nifty50 Value 20,      3725.80,      3709.05,      3738.65,      3708.80,      3735.80,10
,Nifty Mid Liq 15,      2928.55,      2934.40,      2971.35,      2934.40,      2966.90,38.35
,Nifty Pvt Bank,     10699.30,     10677.35,     10738.20,     10675.25,     10718.80,19.5
,Nifty Quality 30,      2185.70,      2177.55,      2198.60,      2177.45,      2197.75,12.05
,Nifty GS 8 13Yr,      1559.17,      1559.49,      1562.24,      1559.49,      1561.15,1.98
,Nifty GS 10Yr,      1487.53,      1487.83,      1490.16,      1487.83,      1488.93,1.4
,Nifty GS 10Yr Cln,       955.92,       955.92,       957.42,       955.92,       956.62,.7
,Nifty GS 4 8Yr,      1622.97,      1623.30,      1625.84,      1623.30,      1624.86,1.89
,Nifty GS 11 15Yr,      1626.84,      1627.17,      1631.76,      1627.17,      1630.58,3.74
,Nifty GS 15YrPlus,      1716.05,      1716.41,      1721.12,      1716.41,      1719.92,3.87
,Nifty GS Compsite,      1600.77,      1601.10,      1604.04,      1601.10,      1603.08,2.31

,ADVANCES,1074
,DECLINES,519
,UNCHANGED,81

,Total securities that have hit their price bands today,111

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,INFY,EQ,      1086.95,      1083.10,-0.35,531.34
,WIPRO,EQ,       549.25,       538.85,-1.89,505.9
,SBIN,EQ,       229.60,       231.15,0.68,417.57
,WOCKPHARMA,EQ,       921.95,      1037.10,12.49,416.81
,SUNPHARMA,EQ,       782.40,       797.25,1.9,362.91
,IOC,EQ,       493.55,       512.85,3.91,361.02
,HDFC,EQ,      1338.55,      1334.45,-0.31,356.29
,TCS,EQ,      2466.20,      2494.95,1.17,350.27
,TATASPONGE,EQ,       615.90,       670.20,8.82,299.01
,AXISBANK,EQ,       565.45,       558.25,-1.27,295
,TATAMETALI,EQ,       355.65,       426.75,19.99,288.25
,RELIANCE,EQ,      1017.80,      1023.00,0.51,286.62
,TATAMOTORS,EQ,       499.25,       493.90,-1.07,282.24
,AUROPHARMA,EQ,       760.70,       798.05,4.91,247.6
,VEDL,EQ,       160.20,       161.70,0.94,234.08
,ITC,EQ,       249.05,       250.25,0.48,233.21
,PNB,EQ,       131.15,       129.40,-1.33,227.38
,TATASTEEL,EQ,       370.25,       368.45,-0.49,218.12
,LUPIN,EQ,      1693.90,      1715.15,1.25,209.45
,ICICIBANK,EQ,       269.15,       267.50,-0.61,191.67
,LT,EQ,      1572.80,      1570.85,-0.12,187.96
,CIPLA,EQ,       505.80,       517.85,2.38,182.85
,M&MFIN,EQ,       321.70,       316.10,-1.74,177.81
,MFSL,EQ,       511.45,       559.95,9.48,177.61
,INDUSINDBK,EQ,      1107.15,      1118.50,1.03,175.15

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,AUROPHARMA,EQ,       798.05,       760.70,4.91
,COALINDIA,EQ,       329.25,       318.95,3.23
,BHEL,EQ,       144.15,       139.80,3.11
,TATAPOWER,EQ,        72.35,        70.40,2.77
,DRREDDY,EQ,      3676.65,      3585.90,2.53

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,WIPRO,EQ,       538.85,       549.25,-1.89
,HINDALCO,EQ,       135.90,       138.00,-1.52
,AXISBANK,EQ,       558.25,       565.45,-1.27
,TATAMOTORS,EQ,       493.90,       499.25,-1.07
,IDEA,EQ,       105.35,       106.30,-0.89

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        28.60,                   813454.90,28749
,3IINFOTECH,EQ,         5.00,                  7179814.50,1426765
,3MINDIA,EQ,     13479.05,                  4370593.20,325
,8KMILES,EQ,      1908.50,                 95585528.45,49844
,A2ZINFRA,EQ,        44.20,                160773748.75,3750193
,AARTIDRUGS,EQ,       514.95,                 16311397.45,32052
,AARTIIND,EQ,       530.45,                 41927825.40,79794
,AARVEEDEN,EQ,        73.15,                  1478586.35,19853
,ABAN,EQ,       223.35,                180717979.00,807879
,ABBOTINDIA,EQ,      4713.20,                  9654482.75,2056
,ABFRL,EQ,       141.20,                 48285500.90,341348
,ABGSHIP,EQ,        30.45,                  6204850.90,203560
,ABIRLANUVO,EQ,      1308.40,                793867938.30,619916
,ACCELYA,EQ,      1205.00,                  3298120.30,2720
,ACE,EQ,        46.15,                 19798776.85,432484
,ACROPETAL,BE,         2.55,                     8252.00,3260
,ADANIENT,EQ,        82.95,                325708183.80,3949699
,ADANIPOWER,EQ,        28.70,                 79356400.40,2771106
,ADANITRANS,EQ,        37.55,                 59209598.00,1553573
,ADFFOODS,EQ,        92.40,                 18692088.25,202449
,ADHUNIK,EQ,         8.45,                   609597.75,73327
,ADHUNIKIND,EQ,        92.00,                  2912191.35,30829
,ADI,EQ,       358.65,                  5115693.60,14239
,ADLABS,EQ,        82.95,                  9005944.15,109336
,ADORWELD,EQ,       289.95,                   477218.00,1652
,ADSL,EQ,        36.15,                 15967760.00,440650
,ADVANIHOTR,EQ,        54.80,                    58637.35,1060
,ADVANTA,EQ,       578.20,                  8381544.30,14512
,AEGISCHEM,EQ,       121.30,                 49831442.85,411349
,AFL,EQ,        56.90,                   436623.50,7774
,AGARIND,EQ,       135.55,                  8178521.20,60108
,AGCNET,EQ,        62.05,                   277231.55,4448
,AGRITECH,EQ,        17.10,                    11491.20,672
,AGRODUTCH,EQ,         2.45,                    21406.20,8611
,AHLEAST,EQ,       205.05,                   128363.10,622
,AHLUCONT,EQ,       280.85,                  1833965.80,6541
,AHLWEST,EQ,       159.95,                   312673.80,1927
,AIAENG,EQ,      1024.10,                 57157737.75,55730
,AIFL,EQ,       292.10,                 26639973.25,91096
,AIL,EQ,       638.70,                 27175461.80,42559
,AJANTPHARM,EQ,      1631.75,                136289754.75,83710
,AJMERA,EQ,       154.45,                  5823886.30,37813
,AKSHOPTFBR,EQ,        16.75,                 13221573.25,793498
,AKZOINDIA,EQ,      1550.15,                  8791032.45,5688
,ALANKIT,EQ,       136.70,                 23014900.95,168048
,ALBERTDAVD,EQ,       318.10,                   294184.90,932
,ALBK,EQ,        76.55,                242141487.60,3169614
,ALCHEM,EQ,        27.35,                   556586.20,20781
,ALEMBICLTD,EQ,        38.35,                  6793004.60,177883
,ALICON,EQ,       293.75,                  1067226.80,3644
,ALKALI,EQ,        58.90,                   146278.10,2493
,ALKEM,EQ,      1538.30,                389098021.15,252956
,ALKYLAMINE,EQ,       372.50,                  3593564.75,9747
,ALLCARGO,EQ,       187.10,                 29245234.50,156209
,ALLSEC,EQ,       277.60,                 24878442.40,89454
,ALMONDZ,EQ,        12.70,                    61290.20,4889
,ALOKTEXT,EQ,         4.10,                 12471354.45,3014376
,ALPA,BE,        29.00,                   287745.00,9965
,ALPHAGEO,EQ,       728.85,                 10990285.80,14945
,ALPSINDUS,EQ,         7.10,                  1383055.40,190846
,ALSTOMT&D,EQ,       359.75,                 13937550.30,38429
,AMARAJABAT,EQ,       874.10,                 97812927.25,112004
,AMBIKCO,EQ,       811.85,                  1841568.25,2270
,AMDIND,EQ,        26.45,                   267455.10,10196
,AMRUTANJAN,EQ,       425.70,                  1377766.25,3232
,AMTEKAUTO,EQ,        42.65,                 78338202.20,1832097
,AMTL,EQ,        28.35,                    52442.90,1852
,ANANDAMRUB,BE,        20.95,                     1414.25,65
,ANANTRAJ,EQ,        56.50,                817872577.80,15050844
,ANDHRABANK,EQ,        59.80,                190438397.80,3196894
,ANDHRACEMT,EQ,         7.95,                   881275.45,110368
,ANDHRSUGAR,EQ,       245.25,                 50103835.10,202974
,ANGIND,EQ,        15.60,                   534496.20,34308
,ANIKINDS,BE,        27.45,                     8039.70,305
,ANKITMETAL,EQ,         1.85,                    82218.35,43521
,ANSALAPI,EQ,        21.90,                  3117580.45,142854
,ANSALHSG,EQ,        30.15,                  1230704.70,41233
,ANTGRAPHIC,BE,          .90,                   219690.15,255286
,APARINDS,EQ,       531.35,                  8683478.70,16395
,APCOTEXIND,EQ,       363.05,                  1248892.80,3447
,APLAPOLLO,EQ,       940.10,                 28100388.70,29747
,APLLTD,EQ,       588.90,                 32683361.95,55843
,APOLLOTYRE,EQ,       158.95,                211266190.30,1321839
,APTECHT,EQ,        73.75,                 25276165.40,345118
,ARCHIDPLY,EQ,        52.55,                  4380258.65,83537
,ARCHIES,EQ,        22.60,                   456151.70,20165
,ARCOTECH,EQ,       378.90,                 52394182.65,137986
,ARIES,EQ,       113.05,                  1027793.50,9023
,ARIHANT,EQ,        39.00,                    24400.50,621
,ARMANFIN,EQ,       258.45,                  3335161.95,12862
,AROGRANITE,EQ,        80.35,                 24499409.35,305374
,ARROWGREEN,EQ,       478.30,                   881937.50,1843
,ARROWTEX,EQ,        41.15,                   719563.95,17390
,ARSHIYA,EQ,        28.60,                 13214422.95,462442
,ARSSINFRA,EQ,        97.15,                169580699.25,1781982
,ARVIND,EQ,       316.35,                578867717.95,1824851
,ARVINFRA,EQ,        89.75,                  3808656.00,42190
,ASAHIINDIA,EQ,       165.00,                 17174861.00,104011
