,04-Aug-2016
The Nifty witnessed an intraday movement of about 83.25 points.The closing index was 0.07 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 19124.43
, Traded Quantity (in Lakhs), 9499.83
, Number of Trades, 7770160
, Total Market Capitalisation (Rs. Crores), 10571590.02

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      8544.85,      8599.95,      8601.40,      8518.15,      8551.10,6.25
,Nifty IT,     11181.40,     11226.45,     11229.05,     11128.65,     11148.45,-32.95
,Nifty Next 50,     21972.60,     22130.65,     22178.85,     21892.40,     22107.55,134.95
,Nifty Bank,     18602.00,     18724.90,     18724.90,     18443.65,     18571.70,-30.3
,Nifty MID100 Free,     14519.70,     14638.60,     14659.55,     14490.50,     14594.65,74.95
,Nifty 500,      7232.80,      7281.70,      7281.70,      7215.40,      7248.55,15.75
,Nifty 100,      8727.95,      8785.25,      8787.35,      8701.90,      8741.85,13.9
,Nifty Midcap 50,      3612.25,      3643.80,      3649.10,      3599.25,      3635.45,23.2
,Nifty Realty,       202.05,       203.45,       208.25,       200.80,       206.85,4.8
,Nifty Infra,      2877.75,      2899.55,      2899.55,      2867.05,      2888.70,10.95
,Nifty Energy,      9167.15,      9220.65,      9224.60,      9119.95,      9179.00,11.85
,Nifty FMCG,     22084.55,     22225.35,     22272.90,     21987.05,     22072.35,-12.2
,Nifty MNC,     10011.20,     10107.40,     10107.40,      9991.85,     10061.35,50.15
,Nifty Pharma,     11553.20,     11593.60,     11691.75,     11538.25,     11591.00,37.8
,Nifty PSE,      3380.40,      3403.75,      3406.60,      3361.35,      3382.25,1.85
,Nifty PSU Bank,      2824.30,      2851.40,      2856.85,      2803.40,      2843.95,19.65
,Nifty Serv Sector,     10904.00,     10960.55,     10960.55,     10839.55,     10890.45,-13.55
,India VIX,16.2375,16.2375,16.2375,14.1025,15.1400,-1.0975
,Nifty Auto,      9301.75,      9426.50,      9479.65,      9362.70,      9439.75,138
,Nifty Metal,      2411.15,      2430.70,      2457.90,      2412.30,      2451.90,40.75
,Nifty Media,      2793.85,      2815.45,      2815.45,      2765.50,      2778.80,-15.05
,Nifty SML100 Free,      5969.10,      6027.15,      6037.75,      5951.80,      6011.20,42.1
,Nifty 200,      4518.50,      4548.95,      4550.05,      4505.25,      4527.65,9.15
,Nifty Div Opps 50,      2068.60,      2082.75,      2083.80,      2064.10,      2077.85,9.25
,Nifty Commodities,      2898.60,      2917.80,      2921.30,      2893.85,      2913.25,14.65
,Nifty Consumption,      3863.80,      3892.35,      3893.70,      3852.15,      3868.30,4.5
,Nifty Fin Service,      7637.95,      7687.45,      7687.45,      7582.40,      7627.50,-10.45
,Nifty50 Div Point,        63.76,        63.76,        63.76,        63.76,        63.76,0
,Nifty100 Liq 15,      3507.20,      3537.40,      3552.40,      3501.85,      3542.25,35.05
,Nifty CPSE,      2104.60,      2125.25,      2125.25,      2084.50,      2095.90,-8.7
,Nifty GrowSect 15,      5532.45,      5565.65,      5565.65,      5508.25,      5523.85,-8.6
,Nifty50 PR 2x Lev,      3359.80,      3402.50,      3402.50,      3338.35,      3364.10,4.3
,Nifty50 PR 1x Inv,       469.65,       466.70,       471.15,       466.70,       469.35,-.3
,Nifty50 TR 2x Lev,      4009.90,      4060.90,      4060.90,      3984.30,      4015.05,5.15
,Nifty50 TR 1x Inv,       429.85,       427.15,       431.25,       427.15,       429.60,-.25
,Nifty50 Value 20,      3695.40,      3718.60,      3718.60,      3676.80,      3695.75,.35
,Nifty Mid Liq 15,      2997.70,      3028.25,      3040.90,      2991.95,      3030.35,32.65
,Nifty Pvt Bank,     10480.10,     10546.20,     10546.20,     10382.95,     10449.55,-30.55
,Nifty Quality 30,      2228.30,      2244.20,      2244.20,      2228.50,      2236.80,8.5
,Nifty GS 8 13Yr,      1577.03,      1577.36,      1580.10,      1577.36,      1578.70,1.67
,Nifty GS 10Yr,      1500.19,      1500.49,      1503.47,      1500.49,      1501.58,1.39
,Nifty GS 10Yr Cln,       961.30,       961.30,       963.22,       961.30,       962.00,.7
,Nifty GS 4 8Yr,      1633.71,      1634.05,      1636.49,      1634.05,      1635.30,1.59
,Nifty GS 11 15Yr,      1652.36,      1652.69,      1656.51,      1652.69,      1654.31,1.95
,Nifty GS 15YrPlus,      1757.91,      1758.27,      1762.82,      1758.27,      1759.62,1.71
,Nifty GS Compsite,      1616.48,      1616.81,      1619.52,      1616.81,      1618.03,1.55

,ADVANCES,856
,DECLINES,752
,UNCHANGED,64

,Total securities that have hit their price bands today,115

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,ICICIBANK,EQ,       242.10,       240.35,-0.72,651.91
,TATAMOTORS,EQ,       478.40,       500.00,4.52,471.02
,SBIN,EQ,       226.65,       225.65,-0.44,402.08
,BAJFINANCE,EQ,     10005.60,      9969.70,-0.36,377.25
,MARUTI,EQ,      4873.85,      4889.65,0.32,356.73
,TATASTEEL,EQ,       358.05,       373.80,4.4,355.38
,AXISBANK,EQ,       549.35,       547.50,-0.34,317.14
,HDFC,EQ,      1325.45,      1320.15,-0.4,293.36
,INDIANB,EQ,       180.10,       197.80,9.83,234.91
,BHARATFIN,EQ,       802.25,       789.80,-1.55,234.4
,HINDPETRO,EQ,      1219.60,      1206.00,-1.12,233.08
,RELIANCE,EQ,       993.95,       993.00,-0.1,230.62
,INFY,EQ,      1084.90,      1071.80,-1.21,227.73
,YESBANK,EQ,      1235.55,      1231.55,-0.32,226.47
,SUNPHARMA,EQ,       839.60,       848.55,1.07,221.67
,LT,EQ,      1478.60,      1469.15,-0.64,221.45
,ITC,EQ,       252.70,       252.10,-0.24,218.01
,CADILAHC,EQ,       347.70,       368.75,6.05,207.89
,MOTHERSUMI,EQ,       329.40,       348.40,5.77,200.44
,MCDOWELL-N,EQ,      2316.15,      2201.15,-4.97,195.96
,TCS,EQ,      2656.30,      2652.00,-0.16,187.98
,BANKBARODA,EQ,       148.85,       155.75,4.64,181.68
,VEDL,EQ,       157.20,       161.65,2.83,176.36
,JINDALSTEL,EQ,        80.55,        81.80,1.55,174.97
,ARVIND,EQ,       293.35,       304.15,3.68,171.31

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BANKBARODA,EQ,       155.75,       148.85,4.64
,TATAMOTORS,EQ,       500.00,       478.40,4.52
,TATASTEEL,EQ,       373.80,       358.05,4.4
,TATAMTRDVR,EQ,       322.00,       313.40,2.74
,ADANIPORTS,EQ,       227.90,       222.85,2.27

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ASIANPAINT,EQ,      1127.30,      1143.40,-1.41
,LUPIN,EQ,      1657.65,      1679.85,-1.32
,INFY,EQ,      1071.80,      1084.90,-1.21
,ZEEL,EQ,       487.50,       492.85,-1.09
,INDUSINDBK,EQ,      1166.30,      1178.40,-1.03

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        29.90,                   655997.55,21803
,3IINFOTECH,EQ,         4.95,                 11291734.85,2251404
,3MINDIA,EQ,     13632.75,                 36891642.90,2696
,8KMILES,EQ,      1819.75,                 14225981.15,7778
,A2ZINFRA,EQ,        40.30,                 31028736.05,773876
,AARTIDRUGS,EQ,       498.55,                  5220670.65,10461
,AARTIIND,EQ,       558.70,                 48650003.05,85949
,AARVEEDEN,EQ,        67.50,                   536026.15,7912
,ABAN,EQ,       213.75,                145315862.25,682848
,ABBOTINDIA,EQ,      4649.95,                  2112638.65,455
,ABFRL,EQ,       144.20,                 43136242.70,300236
,ABGSHIP,EQ,        29.20,                  3035208.40,103902
,ABIRLANUVO,EQ,      1503.00,                707275317.70,471183
,ACCELYA,EQ,      1220.15,                  4897441.85,4008
,ACE,EQ,        46.35,                  3099556.20,66855
,ACROPETAL,BE,         2.55,                     2565.30,1006
,ADANIENT,EQ,        76.55,                180479432.85,2377424
,ADANIPOWER,EQ,        26.30,                112389239.60,4244962
,ADANITRANS,EQ,        37.70,                 35543337.55,942511
,ADFFOODS,EQ,       110.70,                 13489319.65,121886
,ADHUNIK,EQ,         8.10,                   372972.10,45579
,ADHUNIKIND,EQ,       111.40,                    79537.95,715
,ADI,EQ,       379.80,                  7471791.75,19951
,ADLABS,EQ,        83.25,                  5753554.70,69289
,ADORWELD,EQ,       261.25,                   856740.40,3269
,ADSL,EQ,        32.60,                  3449511.80,104317
,ADVANIHOTR,EQ,        54.20,                   433074.65,7875
,ADVENZYMES,EQ,      1366.45,                875874808.50,637748
,AEGISCHEM,EQ,       122.50,                141133927.85,1146428
,AFL,EQ,        50.40,                  1411910.70,27459
,AGARIND,EQ,       133.90,                  1123112.95,8324
,AGCNET,EQ,        62.40,                   129489.90,2093
,AGRITECH,EQ,        28.80,                  1007395.20,34979
,AGRODUTCH,EQ,         2.30,                    30392.40,12696
,AHLEAST,EQ,       195.50,                    62620.00,316
,AHLUCONT,EQ,       287.85,                  1619898.70,5713
,AHLWEST,EQ,       170.60,                    79044.75,464
,AIAENG,EQ,      1051.05,                 55080678.85,52460
,AICHAMP,BE,        22.80,                     6705.40,294
,AIFL,EQ,       298.80,                 18330262.70,62048
,AIL,EQ,       612.55,                  5409266.45,8833
,AJANTPHARM,EQ,      1810.35,                175363911.20,96313
,AJMERA,EQ,       145.05,                  4665280.10,32034
,AKSHOPTFBR,EQ,        15.25,                 10782697.30,705240
,AKZOINDIA,EQ,      1621.70,                  5500377.95,3399
,ALANKIT,EQ,       124.25,                 22460608.30,181394
,ALBERTDAVD,EQ,       315.05,                   385743.50,1225
,ALBK,EQ,        77.80,                384056778.25,5009531
,ALCHEM,EQ,        23.40,                   131845.25,5665
,ALEMBICLTD,EQ,        37.60,                  4597294.50,121746
,ALICON,EQ,       294.85,                  1147647.65,3847
,ALKALI,EQ,        56.25,                   174114.65,3069
,ALKEM,EQ,      1493.35,                 65867641.75,43889
,ALKYLAMINE,EQ,       320.30,                  1128041.55,3514
,ALLCARGO,EQ,       189.90,                215122067.70,1091100
,ALLSEC,EQ,       273.45,                 11682856.95,42261
,ALMONDZ,EQ,        12.25,                     3062.50,250
,ALOKTEXT,EQ,         3.65,                 16033482.80,4344276
,ALPA,BE,        31.20,                   245276.15,8075
,ALPHAGEO,EQ,       755.55,                 19846372.20,26055
,ALPSINDUS,EQ,         6.05,                   251446.45,41713
,ALSTOMT&D,EQ,       341.95,                 17352026.20,50740
,AMARAJABAT,EQ,       877.40,                616599929.00,679619
,AMBIKCO,EQ,       835.75,                  3082884.70,3704
,AMDIND,EQ,        26.35,                    92572.45,3546
,AMRUTANJAN,EQ,       442.40,                  3305857.95,7465
,AMTEKAUTO,EQ,        47.95,                131687330.50,2738150
,AMTL,EQ,        32.90,                   312818.25,9416
,ANANTRAJ,EQ,        57.60,                110253383.20,1935498
,ANDHRABANK,EQ,        60.75,                213108089.75,3541724
,ANDHRACEMT,EQ,         8.00,                  1369816.90,171667
,ANDHRSUGAR,EQ,       246.80,                 42862871.50,173458
,ANGIND,EQ,        14.75,                   467771.80,31489
,ANIKINDS,BE,        26.00,                   241096.85,9155
,ANKITMETAL,EQ,         1.95,                    97044.50,50120
,ANSALAPI,EQ,        19.50,                  1610238.10,82408
,ANSALHSG,EQ,        25.65,                   462404.60,18142
,ANTGRAPHIC,BE,          .90,                    22185.00,24650
,APARINDS,EQ,       589.85,                  7720668.15,13043
,APCOTEXIND,EQ,       391.75,                  2068609.75,5231
,APLAPOLLO,EQ,       931.05,                  6607878.90,7155
,APLLTD,EQ,       633.95,                 65921644.80,104284
,APOLLOTYRE,EQ,       161.05,                422407608.85,2653327
,APTECHT,EQ,        75.85,                 79925642.85,1066765
,ARCHIDPLY,EQ,        51.10,                  2208714.30,43478
,ARCHIES,EQ,        23.25,                  2524785.80,109339
,ARCOTECH,EQ,       396.40,                 52995473.85,139393
,ARIES,EQ,       110.45,                  1888043.85,16981
,ARIHANT,EQ,        39.65,                   153540.00,3962
,ARMANFIN,EQ,       259.80,                  4829652.35,18584
,AROGRANITE,EQ,        69.30,                  2818128.85,40888
,ARROWGREEN,EQ,       462.75,                  1002866.75,2157
,ARROWTEX,EQ,        39.70,                   592193.40,14793
,ARSHIYA,EQ,        30.50,                  2096409.50,68055
,ARSSINFRA,EQ,        89.50,                221020230.05,2530506
,ARVIND,EQ,       304.15,               1713120805.75,5760770
,ARVINFRA,EQ,        85.35,                  2850741.05,33219
,ASAHIINDIA,EQ,       182.10,                 20472188.75,112845
