,19-Aug-2016
The Nifty witnessed an intraday movement of about 49.5 points.The closing index was 0.07 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 20316.6
, Traded Quantity (in Lakhs), 10641.45
, Number of Trades, 7868571
, Total Market Capitalisation (Rs. Crores), 10788998.99

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      8673.25,      8694.30,      8696.60,      8647.10,      8666.90,-6.35
,Nifty IT,     10783.50,     10807.30,     10873.15,     10721.90,     10727.60,-55.9
,Nifty Next 50,     22868.70,     22931.10,     22988.15,     22833.55,     22925.20,56.5
,Nifty Bank,     19352.80,     19419.00,     19457.40,     19327.20,     19414.70,61.9
,Nifty MID100 Free,     15098.30,     15136.65,     15239.00,     15130.10,     15188.15,89.85
,Nifty 500,      7390.20,      7408.15,      7413.30,      7378.95,      7397.80,7.6
,Nifty 100,      8894.85,      8916.90,      8916.90,      8871.25,      8893.00,-1.85
,Nifty Midcap 50,      3739.75,      3749.10,      3789.80,      3749.05,      3784.00,44.25
,Nifty Realty,       211.35,       211.60,       213.05,       209.80,       210.15,-1.2
,Nifty Infra,      2938.25,      2947.55,      2951.15,      2928.80,      2946.60,8.35
,Nifty Energy,      9508.35,      9526.35,      9541.50,      9452.85,      9522.90,14.55
,Nifty FMCG,     22262.10,     22289.05,     22318.55,     22174.35,     22234.75,-27.35
,Nifty MNC,     10237.20,     10254.15,     10294.45,     10225.75,     10271.15,33.95
,Nifty Pharma,     11565.30,     11599.25,     11626.10,     11562.00,     11587.40,22.1
,Nifty PSE,      3521.45,      3533.15,      3533.85,      3503.25,      3522.95,1.5
,Nifty PSU Bank,      3028.60,      3087.85,      3144.60,      3084.40,      3135.65,107.05
,Nifty Serv Sector,     11095.30,     11127.85,     11127.90,     11053.75,     11083.00,-12.3
,India VIX,14.5500,14.5500,14.9050,12.1050,14.5375,-0.0125
,Nifty Auto,      9678.60,      9695.55,      9705.90,      9623.35,      9638.55,-40.05
,Nifty Metal,      2595.05,      2611.55,      2635.30,      2591.30,      2629.80,34.75
,Nifty Media,      2840.75,      2853.05,      2853.05,      2829.75,      2843.20,2.45
,Nifty SML100 Free,      6066.40,      6086.10,      6118.65,      6072.00,      6103.35,36.95
,Nifty 200,      4615.40,      4626.80,      4628.60,      4606.20,      4618.50,3.1
,Nifty Div Opps 50,      2139.55,      2144.05,      2145.65,      2134.55,      2144.20,4.65
,Nifty Commodities,      3038.50,      3048.50,      3063.70,      3035.15,      3059.65,21.15
,Nifty Consumption,      3906.65,      3911.00,      3919.05,      3899.75,      3910.00,3.35
,Nifty Fin Service,      7947.00,      7967.90,      7969.50,      7919.10,      7948.25,1.25
,Nifty50 Div Point,        69.70,        69.70,        69.70,        69.70,        69.70,0
,Nifty100 Liq 15,      3711.10,      3734.70,      3745.05,      3714.65,      3739.50,28.4
,Nifty CPSE,      2193.20,      2198.85,      2199.70,      2174.95,      2184.40,-8.8
,Nifty GrowSect 15,      5485.45,      5492.40,      5497.85,      5457.05,      5460.45,-25
,Nifty50 PR 2x Lev,      3450.30,      3466.50,      3466.50,      3429.20,      3444.65,-5.65
,Nifty50 PR 1x Inv,       463.65,       462.60,       465.15,       462.60,       464.10,.45
,Nifty50 TR 2x Lev,      4123.60,      4142.95,      4142.95,      4098.35,      4116.85,-6.75
,Nifty50 TR 1x Inv,       424.10,       423.15,       425.45,       423.15,       424.50,.4
,Nifty50 Value 20,      3770.95,      3785.35,      3788.50,      3762.90,      3771.65,.7
,Nifty Mid Liq 15,      3102.90,      3113.85,      3149.55,      3112.40,      3140.85,37.95
,Nifty Pvt Bank,     10892.00,     10906.10,     10919.40,     10853.55,     10880.45,-11.55
,Nifty Quality 30,      2228.55,      2232.65,      2234.25,      2220.40,      2222.30,-6.25
,Nifty GS 8 13Yr,      1591.12,      1591.44,      1593.87,      1588.79,      1593.87,2.75
,Nifty GS 10Yr,      1510.02,      1510.33,      1513.13,      1508.22,      1513.13,3.11
,Nifty GS 10Yr Cln,       964.67,       964.67,       966.48,       963.31,       966.48,1.81
,Nifty GS 4 8Yr,      1642.99,      1643.33,      1644.57,      1641.58,      1644.50,1.51
,Nifty GS 11 15Yr,      1668.89,      1669.22,      1673.37,      1665.12,      1673.37,4.48
,Nifty GS 15YrPlus,      1783.18,      1783.54,      1785.95,      1780.13,      1785.76,2.58
,Nifty GS Compsite,      1628.28,      1628.61,      1631.11,      1626.17,      1631.11,2.83

,ADVANCES,898
,DECLINES,698
,UNCHANGED,81

,Total securities that have hit their price bands today,106

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SBIN,EQ,       248.40,       258.50,4.07,1022.49
,AXISBANK,EQ,       593.15,       588.55,-0.78,544.16
,HDFC,EQ,      1374.30,      1369.40,-0.36,399.27
,TATASTEEL,EQ,       387.20,       392.15,1.28,348.52
,JUBILANT,EQ,       489.90,       506.40,3.37,346.27
,ICICIBANK,EQ,       252.90,       253.90,0.4,335.31
,COALINDIA,EQ,       339.05,       334.15,-1.45,325.82
,TCS,EQ,      2638.55,      2603.50,-1.33,315.4
,VEDL,EQ,       172.90,       179.30,3.7,298.45
,INFY,EQ,      1023.40,      1021.30,-0.21,291.92
,DHFL,NC,      1000.00,      1004.48,0.45,271.64
,SUNPHARMA,EQ,       788.80,       783.80,-0.63,252.87
,TATAMOTORS,EQ,       512.05,       510.00,-0.4,233.5
,BANKBARODA,EQ,       154.50,       161.65,4.63,227.14
,YESBANK,EQ,      1320.65,      1335.95,1.16,221.44
,HINDALCO,EQ,       154.35,       158.95,2.98,215.33
,JINDALSTEL,EQ,        85.40,        87.85,2.87,211.69
,MARUTI,EQ,      4915.85,      4900.10,-0.32,209.3
,HEROMOTOCO,EQ,      3368.45,      3357.75,-0.32,190.76
,RELIANCE,EQ,      1018.05,      1014.90,-0.31,189.83
,TECHM,EQ,       469.50,       473.20,0.79,173.3
,POWERGRID,EQ,       182.00,       180.95,-0.58,168.14
,RELCAPITAL,EQ,       465.95,       468.00,0.44,165.59
,KSL,EQ,       313.70,       376.40,19.99,158.11
,INDIACEM,EQ,       125.70,       132.05,5.05,155.55

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BANKBARODA,EQ,       161.65,       154.50,4.63
,SBIN,EQ,       258.50,       248.40,4.07
,HINDALCO,EQ,       158.95,       154.35,2.98
,AMBUJACEM,EQ,       276.45,       272.10,1.6
,AUROPHARMA,EQ,       765.05,       753.65,1.51

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,EICHERMOT,EQ,     21777.30,     22174.80,-1.79
,INFRATEL,EQ,       342.35,       347.85,-1.58
,COALINDIA,EQ,       334.15,       339.05,-1.45
,TCS,EQ,      2603.50,      2638.55,-1.33
,WIPRO,EQ,       520.10,       525.10,-0.95

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        39.25,                  7492925.70,190821
,3IINFOTECH,EQ,         5.50,                 27530736.55,5046565
,3MINDIA,EQ,     13187.70,                  6531144.10,494
,8KMILES,EQ,      2008.00,                 27395199.00,13627
,A2ZINFRA,EQ,        40.10,                 72168216.10,1827994
,AARTIDRUGS,EQ,       492.15,                  5054989.65,10235
,AARTIIND,EQ,       594.05,                 13766361.50,23007
,AARVEEDEN,EQ,        74.40,                   989089.55,13108
,ABAN,EQ,       222.70,                721348577.15,3219214
,ABBOTINDIA,EQ,      4679.05,                  1393199.90,298
,ABFRL,EQ,       164.85,                216857198.60,1315699
,ABGSHIP,EQ,        28.55,                  4617554.25,161179
,ABIRLANUVO,EQ,      1303.85,               1427876360.60,1094723
,ACCELYA,EQ,      1268.00,                  5732425.40,4585
,ACE,EQ,        43.65,                  4793629.95,109994
,ACROPETAL,BE,         2.35,                    17170.00,7300
,ADANIENT,EQ,        76.95,                550068729.90,7164709
,ADANIPOWER,EQ,        28.00,                126533791.80,4525020
,ADANITRANS,EQ,        38.65,                 22259347.75,578824
,ADFFOODS,EQ,       119.75,                 13851272.90,115543
,ADHUNIK,EQ,         8.10,                   365972.10,45725
,ADHUNIKIND,EQ,       151.95,                  5085519.30,33186
,ADI,EQ,       388.05,                  3154657.35,8224
,ADLABS,EQ,        83.10,                  4451634.65,53181
,ADORWELD,EQ,       276.50,                  1894339.75,6910
,ADSL,EQ,        31.10,                  3385984.75,108378
,ADVANIHOTR,EQ,        54.50,                   802883.35,14741
,ADVENZYMES,EQ,      1390.55,                141048140.40,101210
,AEGISCHEM,EQ,       118.10,                 21320022.65,180749
,AFL,EQ,        57.35,                  6386224.10,111387
,AGARIND,EQ,       138.25,                  1858525.95,13513
,AGCNET,EQ,        77.05,                  1181942.30,15024
,AGRITECH,BE,        43.25,                  3390841.85,78030
,AGRODUTCH,EQ,         2.55,                    28782.30,11249
,AHLEAST,EQ,       203.85,                   420568.05,2072
,AHLUCONT,EQ,       301.65,                 42013104.30,139374
,AHLWEST,EQ,       172.55,                   305866.60,1742
,AIAENG,EQ,      1274.70,                 96413489.55,75156
,AICHAMP,BE,        26.40,                       26.40,1
,AIFL,EQ,       308.70,                 36111058.25,118987
,AIL,EQ,       607.45,                  3568220.90,5823
,AJANTPHARM,EQ,      1970.00,                241571937.80,122045
,AJMERA,EQ,       146.70,                  7405356.65,51011
,AKSHOPTFBR,EQ,        15.15,                  6342091.25,415213
,AKZOINDIA,EQ,      1623.40,                 12692679.40,7729
,ALANKIT,EQ,       126.80,                 20671107.30,160466
,ALBERTDAVD,EQ,       291.05,                   513219.70,1773
,ALBK,EQ,        79.05,                341342417.55,4363153
,ALCHEM,EQ,        23.55,                   415139.60,17533
,ALEMBICLTD,EQ,        37.50,                  6415387.60,169538
,ALICON,EQ,       300.35,                  1652086.40,5434
,ALKALI,EQ,        56.65,                   319271.45,5669
,ALKEM,EQ,      1538.25,                 25053143.45,16254
,ALKYLAMINE,EQ,       324.25,                   554011.85,1707
,ALLCARGO,EQ,       191.05,                 38800174.30,205324
,ALLSEC,EQ,       267.40,                  9150306.70,33601
,ALMONDZ,EQ,        10.65,                    38189.90,3582
,ALOKTEXT,EQ,         3.25,                 16318812.35,4936239
,ALPA,BE,        34.20,                   523529.65,15685
,ALPHAGEO,EQ,       836.55,                173788981.50,207952
,ALPSINDUS,EQ,         5.00,                   744026.45,153577
,ALSTOMT&D,EQ,       326.00,                 15425751.50,47398
,AMARAJABAT,EQ,       920.70,                158975191.10,171855
,AMBIKCO,EQ,       815.15,                  2692186.75,3300
,AMDIND,EQ,        27.25,                    93503.95,3416
,AMRUTANJAN,EQ,       451.10,                  3683334.10,8148
,AMTEKAUTO,EQ,        47.80,                188597232.35,3928941
,AMTL,EQ,        33.90,                   406829.40,11630
,ANANTRAJ,EQ,        58.45,                127816360.65,2190984
,ANDHRABANK,EQ,        59.50,                170967542.90,2890718
,ANDHRACEMT,EQ,         7.90,                   867188.00,109538
,ANDHRSUGAR,EQ,       229.20,                 65190585.20,280002
,ANGIND,EQ,        12.85,                   739520.05,56706
,ANIKINDS,BE,        28.75,                   147327.95,5129
,ANKITMETAL,EQ,         1.90,                    77863.60,41473
,ANSALAPI,EQ,        19.20,                   973888.50,50521
,ANSALHSG,EQ,        24.30,                   396228.65,16279
,ANTGRAPHIC,BE,          .90,                     3060.00,3400
,APARINDS,EQ,       557.60,                 13762248.95,24569
,APCOTEXIND,EQ,       399.75,                 26996517.20,67071
,APLAPOLLO,EQ,       980.10,                  8079203.25,8170
,APLLTD,EQ,       645.75,                 24419950.00,37904
,APOLLOTYRE,EQ,       175.50,                235687607.65,1333543
,APOLSINHOT,EQ,       250.00,                    23804.40,98
,APTECHT,EQ,       115.15,                587030661.05,5188639
,ARCHIDPLY,EQ,        46.60,                  1314632.90,27972
,ARCHIES,EQ,        21.90,                  1087477.10,49870
,ARCOTECH,EQ,       399.35,                 51545407.90,129308
,ARIES,EQ,       103.70,                  1484558.40,14194
,ARMANFIN,EQ,       260.05,                  5961008.40,22750
,AROGRANITE,EQ,        69.90,                  1868889.35,26681
,ARROWGREEN,EQ,       418.30,                  4144601.65,9888
,ARROWTEX,EQ,        34.50,                  1271517.30,36817
,ARSHIYA,EQ,        29.20,                  3904659.10,133603
,ARSSINFRA,EQ,        77.75,                 43779083.25,564314
,ARVIND,EQ,       316.50,                666366231.35,2098036
,ARVINFRA,EQ,        82.65,                  3387736.50,40893
,ASAHIINDIA,EQ,       194.55,                  8074346.75,41816
