,30-Aug-2016
The Nifty witnessed an intraday movement of about 108.35 points.The closing index was 1.59 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 19707.12
, Traded Quantity (in Lakhs), 9236.58
, Number of Trades, 7716265
, Total Market Capitalisation (Rs. Crores), 10883023.81

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      8607.45,      8646.75,      8750.60,      8642.25,      8744.35,136.9
,Nifty IT,     10385.35,     10422.65,     10585.10,     10411.75,     10572.30,186.95
,Nifty Next 50,     22818.05,     22902.05,     23000.45,     22893.25,     22973.85,155.8
,Nifty Bank,     19217.00,     19306.50,     19546.35,     19306.50,     19531.55,314.55
,Nifty MID100 Free,     15186.90,     15249.95,     15340.85,     15249.95,     15328.25,141.35
,Nifty 500,      7361.00,      7393.00,      7465.55,      7393.00,      7461.95,100.95
,Nifty 100,      8835.15,      8874.20,      8967.15,      8873.40,      8962.55,127.4
,Nifty Midcap 50,      3820.45,      3837.90,      3872.20,      3837.90,      3869.35,48.9
,Nifty Realty,       206.25,       206.60,       209.45,       206.10,       208.00,1.75
,Nifty Infra,      2899.45,      2910.55,      2915.15,      2891.65,      2912.45,13
,Nifty Energy,      9608.30,      9656.50,      9732.25,      9616.30,      9720.45,112.15
,Nifty FMCG,     22192.80,     22254.10,     22580.45,     22254.10,     22546.95,354.15
,Nifty MNC,     10207.40,     10233.85,     10422.40,     10233.85,     10404.25,196.85
,Nifty Pharma,     11382.35,     11443.10,     11582.75,     11435.35,     11552.75,170.4
,Nifty PSE,      3492.25,      3509.60,      3531.20,      3503.90,      3527.70,35.45
,Nifty PSU Bank,      3045.45,      3059.70,      3117.20,      3058.85,      3109.30,63.85
,Nifty Serv Sector,     10964.15,     11015.60,     11125.40,     11008.20,     11116.70,152.55
,India VIX,13.1650,13.1650,13.1650,12.2925,13.0200,-0.1450
,Nifty Auto,      9697.00,      9742.75,      9873.35,      9742.75,      9866.05,169.05
,Nifty Metal,      2579.85,      2594.25,      2611.60,      2588.55,      2606.90,27.05
,Nifty Media,      2918.00,      2932.25,      2936.20,      2901.90,      2930.65,12.65
,Nifty SML100 Free,      6069.20,      6093.35,      6149.70,      6093.35,      6144.75,75.55
,Nifty 200,      4591.85,      4612.25,      4660.00,      4611.60,      4657.40,65.55
,Nifty Div Opps 50,      2116.55,      2127.05,      2151.40,      2126.85,      2149.90,33.35
,Nifty Commodities,      3019.75,      3035.15,      3065.65,      3033.75,      3062.90,43.15
,Nifty Consumption,      3896.10,      3909.95,      3951.40,      3909.60,      3949.60,53.5
,Nifty Fin Service,      7917.85,      7952.95,      8040.95,      7952.40,      8034.15,116.3
,Nifty50 Div Point,        69.70,        69.70,        69.70,        69.70,        69.70,0
,Nifty100 Liq 15,      3705.55,      3723.00,      3751.90,      3723.00,      3748.70,43.15
,Nifty CPSE,      2184.05,      2196.95,      2204.40,      2188.25,      2201.75,17.7
,Nifty GrowSect 15,      5400.25,      5424.40,      5518.30,      5422.50,      5513.80,113.55
,Nifty50 PR 2x Lev,      3391.20,      3421.60,      3502.50,      3421.30,      3498.45,107.25
,Nifty50 PR 1x Inv,       468.10,       466.05,       466.05,       460.45,       460.70,-7.4
,Nifty50 TR 2x Lev,      4053.00,      4089.25,      4186.00,      4088.90,      4181.20,128.2
,Nifty50 TR 1x Inv,       428.15,       426.25,       426.30,       421.15,       421.40,-6.75
,Nifty50 Value 20,      3733.90,      3752.55,      3790.90,      3752.20,      3787.70,53.8
,Nifty Mid Liq 15,      3162.20,      3184.95,      3224.15,      3182.55,      3220.60,58.4
,Nifty Pvt Bank,     10798.15,     10846.50,     10962.65,     10846.50,     10955.85,157.7
,Nifty Quality 30,      2197.85,      2207.60,      2239.70,      2207.60,      2238.05,40.2
,Nifty GS 8 13Yr,      1598.35,      1598.68,      1600.92,      1598.68,      1600.60,2.25
,Nifty GS 10Yr,      1515.18,      1515.49,      1517.92,      1515.49,      1517.27,2.09
,Nifty GS 10Yr Cln,       965.82,       965.82,       967.39,       965.82,       966.97,1.15
,Nifty GS 4 8Yr,      1649.37,      1649.70,      1652.07,      1649.70,      1650.90,1.53
,Nifty GS 11 15Yr,      1679.87,      1680.20,      1683.98,      1680.20,      1682.69,2.82
,Nifty GS 15YrPlus,      1792.44,      1792.80,      1800.01,      1792.80,      1797.66,5.22
,Nifty GS Compsite,      1635.92,      1636.25,      1638.79,      1636.25,      1637.83,1.91

,ADVANCES,1009
,DECLINES,578
,UNCHANGED,95

,Total securities that have hit their price bands today,106

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,AXISBANK,EQ,       589.15,       591.15,0.34,701.95
,MARUTI,EQ,      4927.40,      5067.65,2.85,504.13
,YESBANK,EQ,      1338.65,      1355.20,1.24,444.13
,RELIANCE,EQ,      1057.45,      1066.40,0.85,441.49
,SBIN,EQ,       249.05,       252.25,1.28,385.69
,ICICIBANK,EQ,       250.50,       256.25,2.3,353.85
,TATAMOTORS,EQ,       525.30,       529.00,0.7,348.58
,HDFCBANK,EQ,      1238.10,      1268.65,2.47,310.85
,HDFC,EQ,      1375.50,      1392.10,1.21,282.51
,RELCAPITAL,EQ,       530.25,       528.50,-0.33,276.73
,ABIRLANUVO,EQ,      1299.35,      1360.75,4.73,267
,LT,EQ,      1459.50,      1475.65,1.11,254.45
,INFY,EQ,      1022.80,      1040.40,1.72,226.48
,IOC,EQ,       571.75,       573.55,0.31,222.82
,WIPRO,EQ,       478.80,       489.45,2.22,219.15
,DLF,EQ,       158.30,       162.15,2.43,204.76
,ITC,EQ,       252.80,       257.30,1.78,196.72
,M&M,EQ,      1422.40,      1436.00,0.96,194.81
,JUBILANT,EQ,       509.15,       543.80,6.81,194.35
,INDUSINDBK,EQ,      1155.55,      1160.10,0.39,187.14
,TCS,EQ,      2500.55,      2544.15,1.74,182.42
,BPCL,EQ,       598.80,       608.25,1.58,181.2
,INDIACEM,EQ,       143.25,       151.40,5.69,178.63
,HCLTECH,EQ,       755.10,       773.90,2.49,166.56
,ZEEL,EQ,       530.10,       529.20,-0.17,164.29

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,AMBUJACEM,EQ,       275.05,       264.20,4.11
,BOSCHLTD,EQ,     24734.25,     23764.15,4.08
,GRASIM,EQ,      4683.20,      4523.85,3.52
,EICHERMOT,EQ,     23043.10,     22308.05,3.29
,ACC,EQ,      1688.60,      1634.95,3.28

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BHARTIARTL,EQ,       331.85,       342.60,-3.14
,IDEA,EQ,        93.80,        94.45,-0.69
,BHEL,EQ,       140.55,       140.95,-0.28
,ZEEL,EQ,       529.20,       530.10,-0.17

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        38.05,                  2219201.40,58395
,3IINFOTECH,EQ,         5.20,                  5843600.55,1125922
,3MINDIA,EQ,     12949.10,                 15045945.10,1162
,8KMILES,EQ,      2004.50,                121237522.35,61416
,A2ZINFRA,EQ,        38.05,                 14886177.95,388653
,AARTIDRUGS,EQ,       489.90,                  4101482.00,8335
,AARTIIND,EQ,       627.75,                 49413106.00,78610
,AARVEEDEN,EQ,        73.30,                   717971.95,9743
,ABAN,EQ,       217.75,                138044554.40,632571
,ABBOTINDIA,EQ,      4680.00,                  5884876.55,1251
,ABFRL,EQ,       165.75,                 97525688.25,583918
,ABGSHIP,EQ,        27.65,                  4700535.50,169706
,ABIRLANUVO,EQ,      1360.75,               2670036270.05,1970314
,ABMINTLTD,BE,       105.45,                     2636.25,25
,ACCELYA,EQ,      1237.30,                  2531067.70,2060
,ACE,EQ,        43.40,                  3705639.85,85017
,ACROPETAL,BE,         2.20,                     3835.60,1721
,ADANIENT,EQ,        73.35,                176750125.95,2411488
,ADANIPOWER,EQ,        27.55,                 64899293.50,2361839
,ADANITRANS,EQ,        40.15,                 51760500.60,1285169
,ADFFOODS,EQ,       130.50,                 56182185.65,423661
,ADHUNIK,EQ,         7.90,                   516451.25,64396
,ADHUNIKIND,EQ,       124.95,                  2252069.05,17722
,ADI,EQ,       386.80,                  9188964.45,23282
,ADLABS,EQ,        78.80,                 17576649.80,220383
,ADORWELD,EQ,       287.45,                  1351064.70,4695
,ADSL,EQ,        31.20,                  4310310.35,137309
,ADVANIHOTR,EQ,        53.95,                   141414.05,2604
,ADVENZYMES,EQ,      1399.90,                725439924.75,524607
,AEGISCHEM,EQ,       130.85,                359008320.05,2742286
,AFL,EQ,        71.75,                  3069380.80,42147
,AGARIND,EQ,       166.95,                   154141.75,922
,AGCNET,EQ,        80.90,                  1718555.35,21398
,AGRITECH,BE,        30.30,                   122078.70,4029
,AGRODUTCH,EQ,         2.50,                    55388.50,23100
,AHLEAST,EQ,       193.75,                   223272.25,1137
,AHLUCONT,EQ,       307.85,                  2750599.00,8905
,AHLWEST,EQ,       167.50,                   143344.30,860
,AIAENG,EQ,      1284.95,                 71739779.45,55931
,AICHAMP,BE,        25.90,                     2545.90,101
,AIFL,EQ,       356.05,                 15083847.35,42153
,AIL,EQ,       607.20,                 11411343.90,18600
,AJANTPHARM,EQ,      1932.20,                444495764.25,228349
,AJMERA,EQ,       142.00,                  3692145.45,26128
,AKSHOPTFBR,EQ,        14.30,                  7719456.25,535711
,AKZOINDIA,EQ,      1698.90,                 39557999.40,23495
,ALANKIT,EQ,       142.10,                 22928529.55,159342
,ALBERTDAVD,EQ,       305.80,                  1570746.85,5102
,ALBK,EQ,        84.00,                658882626.75,8059345
,ALCHEM,EQ,        23.85,                   164140.85,6963
,ALEMBICLTD,EQ,        38.25,                  9029114.95,238093
,ALICON,EQ,       303.15,                   529778.75,1758
,ALKALI,EQ,        56.60,                  1048006.55,18402
,ALKEM,EQ,      1557.20,                 46533681.35,29959
,ALKYLAMINE,EQ,       318.00,                  2623696.30,8193
,ALLCARGO,EQ,       187.30,                 18177209.10,96714
,ALLSEC,EQ,       270.10,                  6894594.45,25568
,ALMONDZ,EQ,        10.70,                    58564.25,5262
,ALOKTEXT,EQ,         3.00,                 13934156.00,4597065
,ALPA,BE,        31.55,                   270565.20,8537
,ALPHAGEO,EQ,       934.95,                 40877594.60,43363
,ALPSINDUS,EQ,         4.90,                   124297.05,24928
,ALSTOMT&D,EQ,       322.95,                 76782142.50,238984
,AMARAJABAT,EQ,       926.05,                313782585.45,340041
,AMBIKCO,EQ,       819.35,                  2589309.85,3150
,AMDIND,EQ,        27.00,                    83651.50,3119
,AMRUTANJAN,EQ,       447.45,                 13785760.20,30758
,AMTEKAUTO,EQ,        44.90,                 91699859.45,2035852
,AMTL,EQ,        33.85,                   238839.95,7227
,ANANDAMRUB,EQ,        16.30,                   197010.00,12050
,ANANTRAJ,EQ,        56.20,                 47711594.30,843597
,ANDHRABANK,EQ,        60.80,                226403805.95,3803466
,ANDHRACEMT,EQ,         9.00,                  9243479.45,1027368
,ANDHRSUGAR,EQ,       216.70,                 16199499.70,74308
,ANGIND,EQ,        12.65,                   404586.05,31859
,ANIKINDS,BE,        26.25,                    87696.10,3353
,ANKITMETAL,EQ,         1.70,                   225669.05,133717
,ANSALAPI,EQ,        19.50,                   937331.40,47945
,ANSALHSG,EQ,        24.10,                   301605.95,12494
,ANTGRAPHIC,BE,          .75,                    68799.90,91718
,APARINDS,EQ,       558.25,                 21145258.55,37691
,APCOTEXIND,EQ,       386.45,                  2446754.05,6280
,APLAPOLLO,EQ,       960.90,                  6071993.75,6265
,APLLTD,EQ,       631.35,                 34281167.55,54071
,APOLLOTYRE,EQ,       185.00,                441071866.05,2381932
,APTECHT,EQ,       129.05,                207089683.20,1590186
,ARCHIDPLY,EQ,        49.05,                  3540111.00,73077
,ARCHIES,EQ,        21.90,                  1352582.05,62161
,ARCOTECH,EQ,       380.15,                 49653201.45,127131
,ARIES,EQ,       106.70,                   943589.10,8873
,ARIHANT,EQ,        44.55,                    28459.20,629
,ARMANFIN,EQ,       269.95,                  4637990.15,17509
,AROGRANITE,EQ,        74.75,                  6338067.95,83362
,ARROWGREEN,EQ,       442.10,                  1515286.25,3416
,ARROWTEX,EQ,        38.35,                  1471781.70,38183
,ARSHIYA,EQ,        29.30,                  2276620.55,77314
,ARSSINFRA,EQ,        80.20,                 23891975.25,299177
,ARVIND,EQ,       314.75,                305608169.20,971157
