,31-Aug-2016
The Nifty witnessed an intraday movement of about 65.15 points.The closing index was 0.48 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 37944.36
, Traded Quantity (in Lakhs), 14872.44
, Number of Trades, 10811456
, Total Market Capitalisation (Rs. Crores), 10910696.32

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      8744.35,      8754.05,      8819.20,      8754.05,      8786.20,41.85
,Nifty IT,     10572.30,     10593.75,     10654.20,     10496.30,     10546.10,-26.2
,Nifty Next 50,     22973.85,     23043.95,     23159.50,     22961.15,     23005.65,31.8
,Nifty Bank,     19531.55,     19595.90,     19823.40,     19595.90,     19787.60,256.05
,Nifty MID100 Free,     15328.25,     15373.95,     15452.40,     15348.45,     15370.85,42.6
,Nifty 500,      7461.95,      7473.90,      7520.45,      7473.90,      7490.65,28.7
,Nifty 100,      8962.55,      8975.35,      9037.30,      8975.35,      9000.50,37.95
,Nifty Midcap 50,      3869.35,      3879.75,      3914.20,      3876.40,      3889.35,20
,Nifty Realty,       208.00,       209.45,       210.60,       204.85,       205.55,-2.45
,Nifty Infra,      2912.45,      2910.65,      2944.10,      2910.15,      2934.90,22.45
,Nifty Energy,      9720.45,      9703.30,      9745.25,      9621.15,      9663.65,-56.8
,Nifty FMCG,     22546.95,     22589.70,     22667.20,     22505.80,     22609.30,62.35
,Nifty MNC,     10404.25,     10411.60,     10438.90,     10335.15,     10359.55,-44.7
,Nifty Pharma,     11552.75,     11590.90,     11654.45,     11456.70,     11489.15,-63.6
,Nifty PSE,      3527.70,      3521.45,      3539.45,      3514.55,      3524.40,-3.3
,Nifty PSU Bank,      3109.30,      3121.70,      3153.10,      3096.95,      3110.40,1.1
,Nifty Serv Sector,     11116.70,     11127.65,     11220.80,     11127.65,     11184.20,67.5
,India VIX,13.0200,13.0200,13.5425,12.2450,13.2425,0.2225
,Nifty Auto,      9866.05,      9878.90,     10000.30,      9875.60,      9897.30,31.25
,Nifty Metal,      2606.90,      2605.15,      2623.60,      2558.15,      2566.75,-40.15
,Nifty Media,      2930.65,      2911.30,      2984.35,      2911.30,      2965.95,35.3
,Nifty SML100 Free,      6144.75,      6173.75,      6198.45,      6162.80,      6171.80,27.05
,Nifty 200,      4657.40,      4664.45,      4695.80,      4664.45,      4676.15,18.75
,Nifty Div Opps 50,      2149.90,      2151.55,      2160.45,      2143.40,      2148.60,-1.3
,Nifty Commodities,      3062.90,      3063.05,      3079.70,      3047.60,      3053.45,-9.45
,Nifty Consumption,      3949.60,      3956.50,      3978.25,      3952.40,      3959.05,9.45
,Nifty Fin Service,      8034.15,      8052.20,      8149.90,      8052.20,      8139.20,105.05
,Nifty50 Div Point,        69.70,        72.56,        72.56,        72.56,        72.56,2.86
,Nifty100 Liq 15,      3748.70,      3754.75,      3783.65,      3742.65,      3751.55,2.85
,Nifty CPSE,      2201.75,      2197.55,      2212.50,      2197.25,      2203.80,2.05
,Nifty GrowSect 15,      5513.80,      5523.55,      5545.80,      5494.15,      5506.20,-7.6
,Nifty50 PR 2x Lev,      3498.45,      3505.60,      3557.20,      3505.60,      3531.35,32.9
,Nifty50 PR 1x Inv,       460.70,       460.30,       460.30,       456.90,       458.60,-2.1
,Nifty50 TR 2x Lev,      4181.20,      4192.40,      4254.15,      4192.40,      4223.20,42
,Nifty50 TR 1x Inv,       421.40,       420.90,       420.90,       417.80,       419.35,-2.05
,Nifty50 Value 20,      3787.70,      3787.80,      3803.20,      3766.95,      3777.05,-10.65
,Nifty Mid Liq 15,      3220.60,      3226.85,      3249.05,      3210.00,      3216.40,-4.2
,Nifty Pvt Bank,     10955.85,     10997.00,     11129.30,     10997.00,     11109.45,153.6
,Nifty Quality 30,      2238.05,      2240.80,      2253.90,      2234.95,      2239.85,1.8
,Nifty GS 8 13Yr,      1600.25,      1600.25,      1601.50,      1600.14,      1601.03,.78
,Nifty GS 10Yr,      1516.90,      1516.90,      1518.50,      1516.69,      1517.67,.77
,Nifty GS 10Yr Cln,       966.73,       966.73,       967.76,       966.59,       967.22,.49
,Nifty GS 4 8Yr,      1650.29,      1650.29,      1651.57,      1650.22,      1651.36,1.07
,Nifty GS 11 15Yr,      1681.87,      1681.87,      1683.35,      1681.76,      1682.59,.72
,Nifty GS 15YrPlus,      1796.85,      1796.85,      1798.77,      1793.06,      1798.75,1.9
,Nifty GS Compsite,      1637.27,      1637.27,      1638.51,      1637.21,      1638.01,.74

,ADVANCES,757
,DECLINES,855
,UNCHANGED,68

,Total securities that have hit their price bands today,125

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,AXISBANK,EQ,       591.15,       596.85,0.96,7179.55
,YESBANK,EQ,      1355.20,      1366.10,0.8,3159.18
,RBLBANK,EQ,       225.00,       299.40,33.07,2289.45
,TATAMOTORS,EQ,       529.00,       537.70,1.64,850.64
,HDFC,EQ,      1392.10,      1405.45,0.96,801.19
,BPCL,EQ,       608.25,       602.60,-0.93,598.76
,INFY,EQ,      1040.40,      1035.85,-0.44,577.77
,RELIANCE,EQ,      1066.40,      1060.00,-0.6,566.53
,LT,EQ,      1475.65,      1512.95,2.53,415.97
,MARUTI,EQ,      5067.65,      5053.65,-0.28,408
,TCS,EQ,      2544.15,      2511.30,-1.29,407.24
,ICICIBANK,EQ,       256.25,       258.00,0.68,397.73
,SBIN,EQ,       252.25,       252.50,0.1,395.99
,HDFCBANK,EQ,      1268.65,      1291.20,1.78,357.43
,ITC,EQ,       257.30,       260.05,1.07,331.07
,EICHERMOT,EQ,     23043.10,     22750.95,-1.27,329.44
,ZEEL,EQ,       529.20,       539.50,1.95,315.08
,INDUSINDBK,EQ,      1160.10,      1186.20,2.25,295.25
,KOTAKBANK,EQ,       786.15,       806.90,2.64,269.66
,SUNPHARMA,EQ,       774.85,       775.65,0.1,264.77
,IBULHSGFIN,EQ,       830.80,       819.20,-1.4,264.23
,HINDALCO,EQ,       162.75,       159.25,-2.15,246.26
,DLF,EQ,       162.15,       154.85,-4.5,238.99
,AMBUJACEM,EQ,       275.05,       277.95,1.05,235.77
,HEROMOTOCO,EQ,      3477.50,      3541.35,1.84,230.56

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ULTRACEMCO,EQ,      4028.70,      3891.85,3.52
,KOTAKBANK,EQ,       806.90,       786.15,2.64
,LT,EQ,      1512.95,      1475.65,2.53
,INDUSINDBK,EQ,      1186.20,      1160.10,2.25
,ZEEL,EQ,       539.50,       529.20,1.95

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BOSCHLTD,EQ,     24167.80,     24734.25,-2.29
,ONGC,EQ,       236.30,       241.70,-2.23
,HINDALCO,EQ,       159.25,       162.75,-2.15
,TATASTEEL,EQ,       370.10,       377.75,-2.03
,LUPIN,EQ,      1482.20,      1508.70,-1.76

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        38.20,                  4797257.80,124786
,3IINFOTECH,EQ,         5.25,                  8870749.80,1697634
,3MINDIA,EQ,     12880.80,                 21937640.60,1701
,8KMILES,EQ,      1993.70,                 70647049.00,35047
,A2ZINFRA,EQ,        38.60,                 56302858.25,1440759
,AARTIDRUGS,EQ,       487.30,                  5979055.55,12192
,AARTIIND,EQ,       619.50,                 19272317.45,30878
,AARVEEDEN,EQ,        73.30,                   241055.40,3280
,ABAN,EQ,       216.25,                195950131.90,897133
,ABBOTINDIA,EQ,      4660.80,                 16653517.50,3576
,ABFRL,EQ,       155.70,                284485606.60,1766845
,ABGSHIP,EQ,        27.30,                  5509908.90,201180
,ABIRLANUVO,EQ,      1375.20,               1671370091.15,1204012
,ACCELYA,EQ,      1242.65,                  3801277.10,3076
,ACE,EQ,        45.65,                 28805091.50,637857
,ACROPETAL,BE,         2.30,                     5590.00,2600
,ADANIENT,EQ,        72.80,                154643629.75,2112304
,ADANIPOWER,EQ,        27.65,                145921308.35,5261945
,ADANITRANS,EQ,        39.75,                 23854872.00,596189
,ADFFOODS,EQ,       126.95,                 18009223.40,139878
,ADHUNIK,EQ,         7.85,                   227180.35,28815
,ADHUNIKIND,EQ,       122.75,                  1798407.90,14504
,ADI,EQ,       385.60,                  1088890.40,2826
,ADLABS,EQ,        79.40,                 10290161.00,128532
,ADORWELD,EQ,       293.40,                  4370535.70,14906
,ADSL,EQ,        31.00,                  3577765.60,114795
,ADVANIHOTR,EQ,        53.10,                   420467.65,7833
,ADVENZYMES,EQ,      1366.50,                257573101.25,185539
,AEGISCHEM,EQ,       131.50,                129022793.95,984502
,AFL,EQ,        69.85,                  2393297.65,33562
,AGARIND,EQ,       166.10,                   860643.35,5166
,AGCNET,EQ,        80.70,                   318897.80,3940
,AGRITECH,BE,        28.80,                   164991.20,5724
,AGRODUTCH,EQ,         2.45,                     4159.80,1682
,AHLEAST,EQ,       190.05,                   115584.95,607
,AHLUCONT,EQ,       305.30,                  4070686.85,13234
,AHLWEST,EQ,       167.00,                    28734.50,172
,AIAENG,EQ,      1281.55,                 28072942.30,21927
,AIFL,EQ,       371.50,                 46739398.10,129098
,AIL,EQ,       613.80,                  6436245.35,10511
,AJANTPHARM,EQ,      1901.30,                437558208.55,229660
,AJMERA,EQ,       141.30,                  3840596.65,26961
,AKSHOPTFBR,EQ,        14.45,                  6058805.60,419661
,AKZOINDIA,EQ,      1720.00,                 40650064.85,23858
,ALANKIT,EQ,       142.25,                 33680395.70,234333
,ALBERTDAVD,EQ,       306.10,                   669112.85,2169
,ALBK,EQ,        84.15,                757238665.55,8863857
,ALCHEM,EQ,        23.80,                   111900.60,4652
,ALEMBICLTD,EQ,        38.30,                  8167716.75,212891
,ALICON,EQ,       296.70,                   425963.65,1434
,ALKALI,EQ,        57.35,                   271675.75,4778
,ALKEM,EQ,      1547.75,                 30107533.55,19368
,ALKYLAMINE,EQ,       316.10,                   903353.60,2841
,ALLCARGO,EQ,       184.80,                 15496271.85,83326
,ALLSEC,EQ,       266.50,                  8955175.25,33042
,ALMONDZ,EQ,        11.00,                    11627.20,1080
,ALOKTEXT,EQ,         2.95,                 22191182.90,7491021
,ALPA,BE,        31.25,                   279775.35,8787
,ALPHAGEO,EQ,       930.05,                 27829879.30,29774
,ALPSINDUS,EQ,         4.95,                   217133.70,43202
,ALSTOMT&D,EQ,       319.55,                 28764645.65,89919
,AMARAJABAT,EQ,       956.35,               1005417066.20,1056310
,AMBIKCO,EQ,       823.05,                  3122121.20,3807
,AMDIND,EQ,        26.75,                   181303.35,6720
,AMRUTANJAN,EQ,       442.55,                  5050510.90,11368
,AMTEKAUTO,EQ,        44.70,                 49823268.70,1110114
,AMTL,EQ,        33.80,                   163077.45,4851
,ANANDAMRUB,EQ,        17.00,                    38245.50,2321
,ANANTRAJ,EQ,        57.60,                 96322917.35,1662066
,ANDHRABANK,EQ,        60.35,                242560703.75,3993527
,ANDHRACEMT,EQ,         9.20,                  9873542.25,1046905
,ANDHRSUGAR,EQ,       222.20,                 88294092.20,389834
,ANGIND,EQ,        12.75,                   194438.75,15368
,ANIKINDS,BE,        26.05,                    34988.15,1302
,ANKITMETAL,EQ,         1.65,                    90597.00,54825
,ANSALAPI,EQ,        19.70,                  3226819.25,161969
,ANSALHSG,EQ,        24.85,                  1905951.10,76056
,ANTGRAPHIC,BE,          .75,                    70902.00,99552
,APARINDS,EQ,       554.80,                  5046671.20,9063
,APCOTEXIND,EQ,       382.85,                  2621338.70,6794
,APLAPOLLO,EQ,       972.50,                 10073313.00,10374
,APLLTD,EQ,       628.55,                 27161555.80,43124
,APOLLOTYRE,EQ,       183.05,                382348815.85,2079953
,APOLSINHOT,EQ,       288.00,                    14597.90,51
,APTECHT,EQ,       124.60,                141770415.80,1125236
,ARCHIDPLY,EQ,        47.65,                  2097286.40,43033
,ARCHIES,EQ,        21.95,                  1146102.65,51985
,ARCOTECH,EQ,       373.50,                 41773184.20,109548
,ARIES,EQ,       106.25,                  1100496.80,10340
,ARIHANT,EQ,        44.00,                    27835.00,621
,ARMANFIN,EQ,       264.10,                  5548073.45,21049
,AROGRANITE,EQ,        74.95,                  3210377.45,42514
,ARROWGREEN,EQ,       442.15,                  3702650.85,8411
,ARROWTEX,EQ,        36.95,                  1129412.15,29999
,ARSHIYA,EQ,        28.55,                  1098646.85,38067
,ARSSINFRA,EQ,        90.70,                273290900.70,3079697
,ARVIND,EQ,       311.30,                239197964.85,760771
,ARVINFRA,EQ,        82.60,                  5447984.80,65174
