,19-Sep-2016
The Nifty witnessed an intraday movement of about 50.1 points.The closing index was 0.33 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 19226.37
, Traded Quantity (in Lakhs), 9450.58
, Number of Trades, 7498517
, Total Market Capitalisation (Rs. Crores), 10939291.84

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      8779.85,      8788.45,      8824.30,      8774.20,      8808.40,28.55
,Nifty IT,     10399.25,     10386.20,     10531.60,     10353.65,     10463.40,64.15
,Nifty Next 50,     22866.70,     22933.35,     22980.80,     22857.65,     22933.45,66.75
,Nifty Bank,     19855.45,     19892.20,     20014.40,     19849.65,     19906.85,51.4
,Nifty MID100 Free,     15336.30,     15388.10,     15458.60,     15355.70,     15441.35,105.05
,Nifty 500,      7487.20,      7500.10,      7525.90,      7486.05,      7513.80,26.6
,Nifty 100,      8986.25,      8997.90,      9029.65,      8980.90,      9015.05,28.8
,Nifty Midcap 50,      3921.40,      3936.75,      3966.95,      3929.05,      3962.55,41.15
,Nifty Realty,       205.55,       206.65,       209.15,       204.15,       208.60,3.05
,Nifty Infra,      2864.65,      2868.30,      2887.95,      2857.10,      2885.10,20.45
,Nifty Energy,      9644.85,      9646.00,      9741.90,      9640.20,      9727.15,82.3
,Nifty FMCG,     22762.50,     22841.70,     22904.30,     22619.50,     22668.35,-94.15
,Nifty MNC,     10445.10,     10461.60,     10462.95,     10398.30,     10419.40,-25.7
,Nifty Pharma,     11725.50,     11737.10,     11802.35,     11711.50,     11766.65,41.15
,Nifty PSE,      3470.85,      3479.50,      3509.40,      3477.45,      3506.90,36.05
,Nifty PSU Bank,      3154.45,      3180.30,      3203.90,      3166.55,      3173.55,19.1
,Nifty Serv Sector,     11109.60,     11108.05,     11172.30,     11094.15,     11149.30,39.7
,India VIX,14.5800,14.5800,15.2025,13.6425,14.9400,0.3600
,Nifty Auto,     10117.95,     10162.85,     10167.05,     10108.85,     10146.35,28.4
,Nifty Metal,      2450.90,      2456.35,      2488.90,      2447.85,      2485.55,34.65
,Nifty Media,      2902.50,      2909.35,      2935.85,      2899.25,      2925.45,22.95
,Nifty SML100 Free,      6240.15,      6277.60,      6305.25,      6253.40,      6293.75,53.6
,Nifty 200,      4671.95,      4678.80,      4695.75,      4669.90,      4688.05,16.1
,Nifty Div Opps 50,      2129.65,      2135.60,      2143.95,      2132.85,      2138.45,8.8
,Nifty Commodities,      3013.55,      3020.70,      3043.85,      3019.30,      3040.80,27.25
,Nifty Consumption,      3972.45,      3981.75,      3987.00,      3963.95,      3967.60,-4.85
,Nifty Fin Service,      8164.95,      8181.05,      8213.70,      8153.10,      8162.10,-2.85
,Nifty50 Div Point,        78.18,        78.18,        78.18,        78.18,        78.18,0
,Nifty100 Liq 15,      3711.05,      3726.90,      3739.05,      3712.55,      3734.10,23.05
,Nifty CPSE,      2203.75,      2208.70,      2229.80,      2208.20,      2225.80,22.05
,Nifty GrowSect 15,      5537.20,      5536.95,      5575.65,      5527.65,      5546.60,9.4
,Nifty50 PR 2x Lev,      3513.80,      3518.80,      3547.50,      3508.05,      3534.80,21
,Nifty50 PR 1x Inv,       459.95,       459.70,       460.45,       457.85,       458.70,-1.25
,Nifty50 TR 2x Lev,      4207.50,      4213.55,      4247.85,      4200.65,      4232.65,25.15
,Nifty50 TR 1x Inv,       420.30,       420.10,       420.75,       418.40,       419.15,-1.15
,Nifty50 Value 20,      3788.60,      3787.00,      3821.55,      3786.50,      3809.85,21.25
,Nifty Mid Liq 15,      3244.15,      3259.40,      3273.30,      3241.95,      3266.95,22.8
,Nifty Pvt Bank,     11115.90,     11130.35,     11198.60,     11109.35,     11152.90,37
,Nifty Quality 30,      2247.95,      2250.45,      2262.45,      2248.70,      2255.55,7.6
,Nifty GS 8 13Yr,      1608.33,      1608.66,      1609.09,      1608.25,      1608.38,.05
,Nifty GS 10Yr,      1527.88,      1528.19,      1528.91,      1527.60,      1528.04,.16
,Nifty GS 10Yr Cln,       970.24,       970.24,       970.71,       969.87,       970.15,-.09
,Nifty GS 4 8Yr,      1661.76,      1662.10,      1662.66,      1661.80,      1661.80,.04
,Nifty GS 11 15Yr,      1686.87,      1665.59,      1666.02,      1664.74,      1664.74,-22.13
,Nifty GS 15YrPlus,      1805.79,      1806.16,      1806.16,      1806.16,      1806.16,.37
,Nifty GS Compsite,      1645.78,      1638.62,      1639.08,      1638.15,      1638.21,-7.57

,ADVANCES,856
,DECLINES,755
,UNCHANGED,88

,Total securities that have hit their price bands today,105

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,YESBANK,EQ,      1169.80,      1177.35,0.65,864.94
,RELIANCE,EQ,      1075.55,      1082.40,0.64,412.1
,TATAMOTORS,EQ,       548.70,       554.45,1.05,385.73
,ICICIBANK,EQ,       267.35,       271.60,1.59,373.39
,MARUTI,EQ,      5573.30,      5491.90,-1.46,348.53
,TCS,EQ,      2361.70,      2411.45,2.11,337.15
,HDIL,EQ,        88.90,        87.85,-1.18,326.47
,AXISBANK,EQ,       602.20,       594.35,-1.3,317.48
,INFY,EQ,      1060.15,      1061.20,0.1,308.35
,SBIN,EQ,       254.30,       255.65,0.53,293.03
,WOCKPHARMA,EQ,       909.65,       890.65,-2.09,290.59
,CEATLTD,EQ,      1065.00,      1128.90,6,253.17
,RELCAPITAL,EQ,       553.95,       569.75,2.85,243.59
,CENTURYTEX,EQ,       865.10,       893.95,3.33,230.32
,BFUTILITIE,EQ,       581.50,       598.35,2.9,226.18
,HDFC,EQ,      1397.35,      1392.80,-0.33,210.89
,RELINFRA,EQ,       590.00,       594.70,0.8,192.7
,HDFCBANK,EQ,      1297.85,      1290.15,-0.59,190.53
,TATASTEEL,EQ,       358.85,       361.65,0.78,184.87
,KOTAKBANK,EQ,       806.60,       802.85,-0.46,181.52
,IBREALEST,EQ,        86.65,        92.60,6.87,181.04
,DLF,EQ,       146.30,       152.00,3.9,180.54
,ITC,EQ,       260.35,       258.85,-0.58,168.35
,RECLTD,EQ,       232.70,       236.05,1.44,161.73
,UBL,EQ,       828.75,       876.50,5.76,159.47

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,INDUSINDBK,EQ,      1205.10,      1169.65,3.03
,AUROPHARMA,EQ,       804.85,       785.15,2.51
,TCS,EQ,      2411.45,      2361.70,2.11
,TATAPOWER,EQ,        76.85,        75.45,1.86
,ADANIPORTS,EQ,       276.15,       271.15,1.84

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,MARUTI,EQ,      5491.90,      5573.30,-1.46
,AXISBANK,EQ,       594.35,       602.20,-1.3
,BAJAJ-AUTO,EQ,      2945.85,      2981.60,-1.2
,INFRATEL,EQ,       348.75,       351.55,-0.8
,HEROMOTOCO,EQ,      3564.05,      3588.70,-0.69

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        36.85,                  5636001.60,151567
,3IINFOTECH,EQ,         5.95,                 17632212.95,2930741
,3MINDIA,EQ,     13161.95,                  6361934.40,482
,8KMILES,EQ,      1897.20,                 45824514.50,24037
,A2ZINFRA,EQ,        38.10,                 13109413.55,344924
,AARTIDRUGS,EQ,       534.90,                 21788423.75,41053
,AARTIIND,EQ,       597.20,                  9873644.05,16578
,AARVEEDEN,EQ,        78.50,                  9268296.95,119172
,ABAN,EQ,       208.75,                129070325.15,620295
,ABBOTINDIA,EQ,      4681.40,                 32371812.85,6922
,ABFRL,EQ,       144.35,                 59153221.80,409961
,ABGSHIP,EQ,        30.65,                  8745092.30,282701
,ABIRLANUVO,EQ,      1381.95,                414436906.55,298689
,ACCELYA,EQ,      1311.85,                 10714754.30,8204
,ACE,EQ,        43.55,                  4292579.35,99087
,ADANIENT,EQ,        70.00,                108934153.15,1556246
,ADANIPOWER,EQ,        27.65,                 69199505.70,2503703
,ADANITRANS,EQ,        41.50,                 70303975.25,1677686
,ADFFOODS,EQ,       131.85,                 93410613.95,692831
,ADHUNIK,EQ,         7.90,                   253276.00,31766
,ADHUNIKIND,EQ,       107.80,                  2829085.95,26217
,ADI,EQ,       414.60,                  3716849.60,8928
,ADLABS,EQ,        77.85,                  9524182.20,121911
,ADORWELD,EQ,       284.35,                  1260255.55,4397
,ADSL,EQ,        31.20,                  5074203.70,161907
,ADVANIHOTR,EQ,        53.30,                     8767.30,165
,ADVENZYMES,EQ,      1635.85,                374455287.05,227427
,AEGISCHEM,EQ,       163.80,                134009806.50,824695
,AFL,EQ,        64.60,                   394496.00,6065
,AGARIND,EQ,       185.75,                  2685492.65,14352
,AGCNET,EQ,        83.50,                   378345.65,4516
,AGRITECH,BE,        28.65,                   230712.50,8152
,AGRODUTCH,EQ,         2.65,                    79644.50,30079
,AHIMSA,SM,        25.00,                   150000.00,6000
,AHLEAST,EQ,       199.80,                    21213.95,108
,AHLUCONT,EQ,       290.55,                  3561821.35,12299
,AHLWEST,EQ,       172.00,                   298683.10,1714
,AIAENG,EQ,      1175.45,                  9177549.60,7773
,AIFL,EQ,       365.80,                 16628580.35,44585
,AJANTPHARM,EQ,      1977.05,                110988250.80,56113
,AJMERA,EQ,       144.15,                  4753152.20,32911
,AKSHOPTFBR,EQ,        20.80,                127115924.60,6047111
,AKZOINDIA,EQ,      1652.40,                 33254495.05,20202
,ALANKIT,EQ,       138.70,                 27401678.15,196238
,ALBERTDAVD,EQ,       308.95,                   891204.15,2899
,ALBK,EQ,        81.15,                245403238.60,3014945
,ALCHEM,EQ,        23.65,                   151189.85,6347
,ALEMBICLTD,EQ,        38.85,                  8381710.30,216800
,ALICON,EQ,       341.25,                  1029108.85,2975
,ALKALI,EQ,        59.65,                   466848.60,7699
,ALKEM,EQ,      1729.70,                345602486.00,195331
,ALKYLAMINE,EQ,       330.90,                 11629831.75,34835
,ALLCARGO,EQ,       192.85,                 13711096.15,70941
,ALLSEC,EQ,       265.10,                  2331193.05,8797
,ALMONDZ,EQ,        11.40,                    40259.75,3664
,ALOKTEXT,EQ,         3.55,                 27791641.55,7860626
,ALPA,BE,        31.95,                   247693.85,7821
,ALPHAGEO,EQ,       938.40,                 40581636.20,42825
,ALPSINDUS,EQ,         5.75,                   645499.15,111690
,AMARAJABAT,EQ,      1003.40,                288973837.10,286641
,AMBIKCO,EQ,       801.10,                  5910347.75,7336
,AMDIND,EQ,        27.00,                   598009.95,22088
,AMRUTANJAN,EQ,       438.05,                  8491932.25,19345
,AMTEKAUTO,EQ,        42.30,                 50698697.50,1194606
,AMTL,EQ,        30.55,                    62732.45,2053
,ANANDAMRUB,EQ,        15.85,                     9240.00,600
,ANANTRAJ,EQ,        57.20,                 61392800.80,1069004
,ANDHRABANK,EQ,        59.50,                151795186.35,2559664
,ANDHRACEMT,EQ,         8.25,                  1379151.90,165623
,ANDHRSUGAR,EQ,       228.90,                 42695275.65,185606
,ANGIND,EQ,        11.75,                   339782.20,28630
,ANIKINDS,BE,        28.00,                   264452.50,9450
,ANKITMETAL,EQ,         1.70,                   268502.10,157307
,ANSALAPI,EQ,        19.65,                  1229407.80,61895
,ANSALHSG,EQ,        24.90,                   184327.70,7397
,ANTGRAPHIC,BE,          .80,                   243910.75,306531
,APARINDS,EQ,       559.40,                  5031842.85,8958
,APCOTEXIND,EQ,       375.75,                  1926972.75,5086
,APLAPOLLO,EQ,       926.90,                  3454983.50,3736
,APLLTD,EQ,       647.95,                 53881624.10,82292
,APOLLOTYRE,EQ,       221.35,               1259891627.80,5757699
,APOLSINHOT,EQ,       276.00,                     7304.75,26
,APTECHT,EQ,       162.50,                131448431.60,800886
,ARCHIDPLY,EQ,        49.85,                  1262574.80,25282
,ARCHIES,EQ,        23.75,                  3630423.65,152545
,ARCOTECH,EQ,       365.80,                 40417006.50,114545
,ARIES,EQ,       100.30,                  1290855.65,12920
,ARIHANT,EQ,        42.80,                    39378.00,927
,ARMANFIN,EQ,       260.45,                  3370447.40,12945
,AROGRANITE,EQ,        76.20,                 13912241.25,183414
,ARROWGREEN,EQ,       458.10,                  2499298.65,5402
,ARROWTEX,EQ,        38.15,                  1060574.25,27546
,ARSHIYA,EQ,        34.45,                 34416599.65,989655
,ARSSINFRA,EQ,        86.05,                 32995767.95,384302
,ARVIND,EQ,       335.15,                756721208.55,2251691
,ARVINFRA,EQ,        81.25,                  4434168.15,54574
,ASAHIINDIA,EQ,       190.40,                  2636763.30,13787
