,20-Sep-2016
The Nifty witnessed an intraday movement of about 57.15 points.The closing index was 0.37 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 19327.55
, Traded Quantity (in Lakhs), 9443.35
, Number of Trades, 7767387
, Total Market Capitalisation (Rs. Crores), 10912693.31

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      8808.40,      8816.10,      8816.45,      8759.30,      8775.90,-32.5
,Nifty IT,     10463.40,     10469.20,     10469.20,     10387.25,     10426.70,-36.7
,Nifty Next 50,     22933.45,     22962.20,     23004.30,     22893.95,     22936.20,2.75
,Nifty Bank,     19906.85,     19957.35,     19964.30,     19797.50,     19852.30,-54.55
,Nifty MID100 Free,     15441.35,     15457.40,     15485.95,     15394.65,     15411.65,-29.7
,Nifty 500,      7513.80,      7522.90,      7523.85,      7478.10,      7490.30,-23.5
,Nifty 100,      9015.05,      9023.45,      9024.90,      8970.65,      8987.30,-27.75
,Nifty Midcap 50,      3962.55,      3970.35,      3970.85,      3927.05,      3933.70,-28.85
,Nifty Realty,       208.60,       209.10,       209.15,       203.05,       205.50,-3.1
,Nifty Infra,      2885.10,      2887.35,      2888.55,      2864.75,      2867.40,-17.7
,Nifty Energy,      9727.15,      9740.90,      9755.15,      9668.20,      9694.35,-32.8
,Nifty FMCG,     22668.35,     22687.50,     22693.35,     22419.45,     22487.20,-181.15
,Nifty MNC,     10419.40,     10448.95,     10478.50,     10401.25,     10411.50,-7.9
,Nifty Pharma,     11766.65,     11791.90,     11851.25,     11730.90,     11746.40,-20.25
,Nifty PSE,      3506.90,      3510.75,      3529.35,      3503.50,      3510.10,3.2
,Nifty PSU Bank,      3173.55,      3184.55,      3186.65,      3153.00,      3161.30,-12.25
,Nifty Serv Sector,     11149.30,     11153.50,     11153.75,     11080.10,     11108.95,-40.35
,India VIX,14.9400,14.9400,15.1500,13.7700,14.7800,-0.1600
,Nifty Auto,     10146.35,     10168.15,     10175.60,     10045.00,     10075.00,-71.35
,Nifty Metal,      2485.55,      2491.05,      2513.85,      2473.85,      2495.10,9.55
,Nifty Media,      2925.45,      2916.75,      2940.15,      2912.80,      2920.20,-5.25
,Nifty SML100 Free,      6293.75,      6312.10,      6321.85,      6270.60,      6291.45,-2.3
,Nifty 200,      4688.05,      4693.15,      4693.85,      4664.85,      4672.65,-15.4
,Nifty Div Opps 50,      2138.45,      2140.00,      2140.30,      2124.85,      2129.85,-8.6
,Nifty Commodities,      3040.80,      3047.50,      3055.15,      3031.10,      3038.95,-1.85
,Nifty Consumption,      3967.60,      3971.40,      3972.30,      3934.75,      3938.75,-28.85
,Nifty Fin Service,      8162.10,      8167.75,      8168.70,      8119.65,      8152.80,-9.3
,Nifty50 Div Point,        78.18,        78.18,        78.18,        78.18,        78.18,0
,Nifty100 Liq 15,      3734.10,      3746.60,      3748.30,      3715.85,      3729.35,-4.75
,Nifty CPSE,      2225.80,      2228.60,      2247.40,      2225.70,      2235.60,9.8
,Nifty GrowSect 15,      5546.60,      5546.00,      5546.70,      5507.60,      5518.70,-27.9
,Nifty50 PR 2x Lev,      3534.80,      3540.30,      3540.30,      3495.00,      3508.05,-26.75
,Nifty50 PR 1x Inv,       458.70,       458.35,       461.30,       458.35,       460.45,1.75
,Nifty50 TR 2x Lev,      4232.65,      4239.30,      4239.30,      4185.00,      4200.65,-32
,Nifty50 TR 1x Inv,       419.15,       418.85,       421.55,       418.85,       420.80,1.65
,Nifty50 Value 20,      3809.85,      3810.85,      3811.00,      3783.65,      3790.65,-19.2
,Nifty Mid Liq 15,      3266.95,      3277.55,      3281.70,      3239.70,      3245.45,-21.5
,Nifty Pvt Bank,     11152.90,     11180.25,     11184.65,     11089.90,     11122.75,-30.15
,Nifty Quality 30,      2255.55,      2256.85,      2257.25,      2242.25,      2245.80,-9.75
,Nifty GS 8 13Yr,      1608.51,      1593.15,      1593.15,      1591.51,      1591.88,-16.63
,Nifty GS 10Yr,      1528.04,      1528.35,      1528.35,      1526.78,      1527.18,-.86
,Nifty GS 10Yr Cln,       970.15,       970.15,       970.15,       969.14,       969.40,-.75
,Nifty GS 4 8Yr,      1661.88,      1662.21,      1662.21,      1660.84,      1661.19,-.69
,Nifty GS 11 15Yr,      1686.60,      1682.75,      1682.75,      1680.71,      1681.28,-5.32
,Nifty GS 15YrPlus,      1802.88,      1803.24,      1803.29,      1802.98,      1802.98,.1
,Nifty GS Compsite,      1645.80,      1643.97,      1643.97,      1642.34,      1642.75,-3.05

,ADVANCES,614
,DECLINES,996
,UNCHANGED,80

,Total securities that have hit their price bands today,103

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,CASTROLIND,EQ,       422.55,       462.45,9.44,935.84
,YESBANK,EQ,      1177.35,      1207.05,2.52,569.23
,JUBLFOOD,EQ,      1005.60,       943.75,-6.15,501.7
,TATAMOTORS,EQ,       554.45,       548.45,-1.08,377.56
,WOCKPHARMA,EQ,       890.65,       911.35,2.32,315.74
,HDFC,EQ,      1392.80,      1393.10,0.02,295.08
,RELIANCE,EQ,      1082.40,      1074.20,-0.76,283.65
,ICICIBANK,EQ,       271.60,       272.10,0.18,272.42
,AXISBANK,EQ,       594.35,       592.95,-0.24,268.93
,SBIN,EQ,       255.65,       254.45,-0.47,252.66
,MARUTI,EQ,      5491.90,      5514.85,0.42,233.8
,ONGC,EQ,       254.15,       257.75,1.42,221.67
,INFY,EQ,      1061.20,      1050.15,-1.04,221.06
,LIQUIDBEES,EQ,      1000.00,      1000.00,0,218.76
,TATASTEEL,EQ,       361.65,       365.60,1.09,208.07
,ESCORTS,EQ,       348.75,       366.85,5.19,200.65
,CEATLTD,EQ,      1128.90,      1139.35,0.93,197.01
,BIOCON,EQ,       933.15,       959.50,2.82,193.5
,HEROMOTOCO,EQ,      3564.05,      3466.40,-2.74,175.66
,DELTACORP,EQ,       157.15,       168.20,7.03,174.89
,RELINFRA,EQ,       594.70,       594.00,-0.12,174.28
,RELCAPITAL,EQ,       569.75,       560.40,-1.64,171.73
,ITC,EQ,       258.85,       256.95,-0.73,171.54
,AUROPHARMA,EQ,       804.85,       805.95,0.14,163.8
,SUNPHARMA,EQ,       782.50,       778.75,-0.48,162.33

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,YESBANK,EQ,      1207.05,      1177.35,2.52
,INFRATEL,EQ,       355.95,       348.75,2.06
,ONGC,EQ,       257.75,       254.15,1.42
,EICHERMOT,EQ,     23427.80,     23129.25,1.29
,HINDALCO,EQ,       145.60,       143.95,1.15

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HEROMOTOCO,EQ,      3466.40,      3564.05,-2.74
,ADANIPORTS,EQ,       270.10,       276.15,-2.19
,BAJAJ-AUTO,EQ,      2886.95,      2945.85,-2
,INDUSINDBK,EQ,      1184.30,      1205.10,-1.73
,BHARTIARTL,EQ,       319.20,       324.15,-1.53

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        37.00,                  6928949.55,191700
,3IINFOTECH,EQ,         5.90,                 12489394.25,2103927
,3MINDIA,EQ,     13211.05,                  4984199.95,377
,8KMILES,EQ,      1876.20,                 19982648.10,10590
,A2ZINFRA,EQ,        38.90,                 22517648.20,586547
,AARTIDRUGS,EQ,       536.20,                 14452694.75,27078
,AARTIIND,EQ,       619.70,                 58899771.60,96029
,AARVEEDEN,EQ,        76.95,                   802217.55,10379
,ABAN,EQ,       206.55,                 81959196.85,394264
,ABBOTINDIA,EQ,      4635.00,                  3990200.85,859
,ABFRL,EQ,       142.50,                291238714.20,2005694
,ABGSHIP,EQ,        30.05,                  3892249.30,128620
,ABIRLANUVO,EQ,      1389.40,                514197666.35,370007
,ACCELYA,EQ,      1389.70,                 17147269.40,12527
,ACE,EQ,        43.50,                  3844023.95,87964
,ACROPETAL,BZ,         2.15,                    15893.85,7439
,ADANIENT,EQ,        70.50,                183910371.70,2598567
,ADANIPOWER,EQ,        27.85,                 92264942.60,3299753
,ADANITRANS,EQ,        40.60,                 26826444.35,657662
,ADFFOODS,EQ,       127.00,                 16913136.95,131889
,ADHUNIK,EQ,         7.80,                   679396.90,86616
,ADHUNIKIND,EQ,       107.65,                  3247938.30,30039
,ADI,EQ,       417.00,                  5422242.95,12943
,ADLABS,EQ,        77.05,                  6299511.80,81321
,ADORWELD,EQ,       284.95,                   416035.15,1468
,ADSL,EQ,        31.05,                  2915717.50,94348
,ADVANIHOTR,EQ,        54.35,                   236921.90,4389
,ADVENZYMES,EQ,      1641.25,                387106062.60,236199
,AEGISCHEM,EQ,       166.15,                240016939.45,1449818
,AFL,EQ,        63.35,                   315261.20,4968
,AGARIND,EQ,       185.25,                  1899609.15,10230
,AGCNET,EQ,        81.85,                   212411.00,2549
,AGRITECH,BE,        27.60,                    62592.25,2260
,AGRODUTCH,EQ,         2.55,                    59380.50,23016
,AHLEAST,EQ,       197.60,                    32011.20,162
,AHLUCONT,EQ,       300.35,                  8719805.50,28740
,AHLWEST,EQ,       170.00,                    66733.75,390
,AIAENG,EQ,      1158.20,                  8898178.70,7621
,AIFL,EQ,       355.15,                 20180020.65,56270
,AJANTPHARM,EQ,      1973.60,                250581144.05,126687
,AJMERA,EQ,       143.55,                  2072934.20,14365
,AKSHOPTFBR,EQ,        20.65,                 97500014.20,4745420
,AKZOINDIA,EQ,      1640.70,                  6428818.30,3913
,ALANKIT,EQ,       136.95,                 10300631.70,74964
,ALBERTDAVD,EQ,       305.05,                   992035.20,3209
,ALBK,EQ,        80.10,                312014851.95,3883048
,ALCHEM,EQ,        24.15,                   131416.60,5487
,ALEMBICLTD,EQ,        38.40,                  5510987.40,143047
,ALICON,EQ,       334.30,                   749065.55,2233
,ALKALI,EQ,        59.85,                   292973.75,4878
,ALKEM,EQ,      1697.70,                 84704674.60,49338
,ALKYLAMINE,EQ,       334.80,                  5900117.00,17597
,ALLCARGO,EQ,       192.70,                 13470816.05,69912
,ALLSEC,EQ,       264.15,                  9033325.75,33980
,ALMONDZ,EQ,        10.70,                   180357.45,16563
,ALOKTEXT,EQ,         3.50,                  7709153.40,2213573
,ALPA,BE,        31.85,                   313141.85,9854
,ALPHAGEO,EQ,       937.45,                 23790389.40,25385
,ALPSINDUS,EQ,         6.00,                   337892.50,56839
,AMARAJABAT,EQ,       991.60,                245005246.70,245695
,AMBIKCO,EQ,       808.60,                  3748972.10,4650
,AMDIND,EQ,        28.40,                   946860.70,33722
,AMRUTANJAN,EQ,       430.55,                  2817875.90,6505
,AMTEKAUTO,EQ,        42.80,                 65211239.00,1521329
,AMTL,EQ,        30.50,                   123496.00,4051
,ANANDAMRUB,EQ,        16.60,                     8300.00,500
,ANANTRAJ,EQ,        56.15,                 33204682.95,586964
,ANDHRABANK,EQ,        60.10,                146172872.50,2435031
,ANDHRACEMT,EQ,         8.20,                  1181180.00,142892
,ANDHRSUGAR,EQ,       225.40,                 26319558.20,115057
,ANGIND,EQ,        11.85,                   208626.65,17558
,ANIKINDS,BE,        28.00,                    82964.00,2963
,ANKITMETAL,EQ,         1.80,                   232261.00,131808
,ANSALAPI,EQ,        19.55,                   916925.55,46679
,ANSALHSG,EQ,        24.90,                   238092.20,9640
,ANTGRAPHIC,BE,          .85,                   167911.20,203959
,APARINDS,EQ,       565.60,                  4011666.90,7146
,APCOTEXIND,EQ,       396.85,                 45252945.75,112171
,APLAPOLLO,EQ,       920.10,                  3648596.95,3951
,APLLTD,EQ,       653.25,                 53321389.90,81425
,APOLLOTYRE,EQ,       217.25,               1233985273.75,5620605
,APTECHT,EQ,       170.60,                182793187.95,1092804
,ARCHIDPLY,EQ,        49.90,                  2040376.05,40483
,ARCHIES,EQ,        23.75,                  1491437.15,63017
,ARCOTECH,EQ,       371.90,                 39325319.85,106904
,ARIES,EQ,       101.75,                  3576353.40,35494
,ARIHANT,EQ,        43.15,                    80795.90,1869
,ARMANFIN,EQ,       259.50,                  5274039.00,20306
,AROGRANITE,EQ,        73.55,                  2556396.45,33759
,ARROWGREEN,EQ,       451.10,                  1742068.15,3868
,ARROWTEX,EQ,        37.15,                   744301.85,19844
,ARSHIYA,EQ,        31.80,                  7390090.40,228362
,ARSSINFRA,EQ,        85.35,                 15491093.25,180842
,ARVIND,EQ,       331.75,                432375654.60,1301563
,ARVINFRA,EQ,        81.45,                  3625691.35,44544
,ASAHIINDIA,EQ,       188.95,                  1553126.35,8169
,ASAHISONG,EQ,       214.45,                 13765785.80,63495
,ASAL,EQ,        60.10,                   251226.35,4166
,ASHAPURMIN,EQ,        62.00,                  3516555.75,56253
