,26-Sep-2016
The Nifty witnessed an intraday movement of about 94.45 points.The closing index was 1.23 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 19961.44
, Traded Quantity (in Lakhs), 9125.65
, Number of Trades, 7457748
, Total Market Capitalisation (Rs. Crores), 10938405.81

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      8831.55,      8807.90,      8809.55,      8715.10,      8723.05,-108.5
,Nifty IT,     10391.05,     10382.00,     10390.15,     10314.60,     10330.00,-61.05
,Nifty Next 50,     23246.95,     23240.95,     23314.25,     23094.60,     23165.20,-81.75
,Nifty Bank,     19901.80,     19792.20,     19794.15,     19568.35,     19591.75,-310.05
,Nifty MID100 Free,     15672.90,     15665.15,     15691.70,     15550.30,     15579.60,-93.3
,Nifty 500,      7554.90,      7540.95,      7541.15,      7472.15,      7479.75,-75.15
,Nifty 100,      9054.75,      9034.05,      9034.85,      8947.60,      8956.40,-98.35
,Nifty Midcap 50,      4000.50,      3993.25,      4013.70,      3969.20,      3974.70,-25.8
,Nifty Realty,       210.55,       209.60,       210.50,       205.00,       205.55,-5
,Nifty Infra,      2902.65,      2893.05,      2910.00,      2849.00,      2854.00,-48.65
,Nifty Energy,      9886.05,      9873.20,     10017.80,      9840.60,      9860.65,-25.4
,Nifty FMCG,     22315.75,     22303.60,     22316.40,     21953.45,     21977.10,-338.65
,Nifty MNC,     10478.30,     10459.30,     10491.65,     10347.05,     10363.45,-114.85
,Nifty Pharma,     11798.65,     11802.80,     11831.75,     11688.85,     11708.70,-89.95
,Nifty PSE,      3554.95,      3549.15,      3577.20,      3523.55,      3535.50,-19.45
,Nifty PSU Bank,      3176.00,      3163.95,      3176.95,      3133.90,      3143.20,-32.8
,Nifty Serv Sector,     11160.60,     11119.20,     11127.55,     11023.25,     11032.85,-127.75
,India VIX,13.2475,13.2475,14.7850,12.8125,14.5650,1.3175
,Nifty Auto,     10224.95,     10196.65,     10197.05,     10034.55,     10048.65,-176.3
,Nifty Metal,      2542.00,      2539.20,      2557.95,      2529.50,      2539.45,-2.55
,Nifty Media,      2931.25,      2926.55,      2949.65,      2918.85,      2935.30,4.05
,Nifty SML100 Free,      6336.65,      6321.00,      6344.60,      6274.85,      6286.35,-50.3
,Nifty 200,      4712.05,      4702.00,      4702.10,      4658.45,      4663.10,-48.95
,Nifty Div Opps 50,      2153.15,      2148.60,      2151.60,      2129.95,      2134.25,-18.9
,Nifty Commodities,      3081.45,      3076.90,      3096.10,      3056.60,      3063.65,-17.8
,Nifty Consumption,      3965.70,      3963.20,      3963.90,      3914.30,      3921.20,-44.5
,Nifty Fin Service,      8216.65,      8181.70,      8188.45,      8089.30,      8100.00,-116.65
,Nifty50 Div Point,        78.39,        78.39,        78.39,        78.39,        78.39,0
,Nifty100 Liq 15,      3727.85,      3721.95,      3722.35,      3677.90,      3689.00,-38.85
,Nifty CPSE,      2259.05,      2257.35,      2271.75,      2234.25,      2240.45,-18.6
,Nifty GrowSect 15,      5534.50,      5531.80,      5533.80,      5479.65,      5487.95,-46.55
,Nifty50 PR 2x Lev,      3550.35,      3529.45,      3529.45,      3455.25,      3461.20,-89.15
,Nifty50 PR 1x Inv,       457.75,       459.20,       464.00,       459.20,       463.60,5.85
,Nifty50 TR 2x Lev,      4251.50,      4226.45,      4226.45,      4137.60,      4144.75,-106.75
,Nifty50 TR 1x Inv,       418.30,       419.65,       424.00,       419.65,       423.65,5.35
,Nifty50 Value 20,      3798.35,      3790.95,      3794.05,      3753.75,      3756.95,-41.4
,Nifty Mid Liq 15,      3284.00,      3272.45,      3297.90,      3262.30,      3271.35,-12.65
,Nifty Pvt Bank,     11117.35,     11053.30,     11058.35,     10918.65,     10931.55,-185.8
,Nifty Quality 30,      2246.40,      2245.15,      2245.70,      2223.85,      2226.45,-19.95
,Nifty GS 8 13Yr,      1619.58,      1619.91,      1624.65,      1619.91,      1624.50,4.92
,Nifty GS 10Yr,      1538.46,      1538.77,      1542.26,      1538.77,      1542.12,3.66
,Nifty GS 10Yr Cln,       975.67,       975.67,       977.92,       975.67,       977.83,2.16
,Nifty GS 4 8Yr,      1670.08,      1670.41,      1674.53,      1670.41,      1674.09,4.01
,Nifty GS 11 15Yr,      1698.95,      1699.29,      1705.28,      1699.29,      1705.13,6.18
,Nifty GS 15YrPlus,      1821.69,      1822.06,      1830.70,      1822.06,      1828.81,7.12
,Nifty GS Compsite,      1655.85,      1656.18,      1660.50,      1656.18,      1660.31,4.46

,ADVANCES,524
,DECLINES,1100
,UNCHANGED,58

,Total securities that have hit their price bands today,92

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      1102.80,      1107.20,0.4,977.12
,AXISBANK,EQ,       557.45,       547.40,-1.8,819.93
,ICICIBANK,EQ,       271.25,       262.55,-3.21,381.14
,TATAMOTORS,EQ,       553.05,       535.30,-3.21,369.9
,INFY,EQ,      1042.55,      1035.90,-0.64,330.05
,YESBANK,EQ,      1233.15,      1235.35,0.18,295.82
,HDFC,EQ,      1425.10,      1412.45,-0.89,281.67
,WOCKPHARMA,EQ,       883.95,       910.05,2.95,266.23
,RELCAPITAL,EQ,       581.70,       565.55,-2.78,256.21
,LUPIN,EQ,      1489.45,      1494.50,0.34,242.54
,ITC,EQ,       253.45,       248.05,-2.13,241.46
,CENTURYTEX,EQ,       908.35,       925.60,1.9,235.6
,ONGC,EQ,       260.55,       249.55,-4.22,234.42
,MARUTI,EQ,      5601.80,      5568.90,-0.59,233.48
,SBIN,EQ,       254.55,       251.65,-1.14,222.1
,RELINFRA,EQ,       608.95,       594.95,-2.3,217.69
,IOC,EQ,       583.30,       592.20,1.53,214.59
,BHARATFIN,EQ,       847.20,       849.80,0.31,212.93
,TCS,EQ,      2398.10,      2401.10,0.13,211.1
,LT,EQ,      1497.00,      1465.70,-2.09,209.62
,BPCL,EQ,       604.65,       622.45,2.94,194.4
,JETAIRWAYS,EQ,       547.55,       541.05,-1.19,182.31
,HDFCBANK,EQ,      1312.70,      1296.15,-1.26,181.16
,HINDPETRO,EQ,       418.40,       428.95,2.52,180.24
,SUNPHARMA,EQ,       780.05,       766.15,-1.78,178.1

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BPCL,EQ,       622.45,       604.65,2.94
,COALINDIA,EQ,       332.45,       328.40,1.23
,ZEEL,EQ,       530.65,       524.60,1.15
,DRREDDY,EQ,      3199.65,      3182.20,.55
,RELIANCE,EQ,      1107.20,      1102.80,.4

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ONGC,EQ,       249.55,       260.55,-4.22
,TATAMOTORS,EQ,       535.30,       553.05,-3.21
,ICICIBANK,EQ,       262.55,       271.25,-3.21
,NTPC,EQ,       152.15,       156.90,-3.03
,IDEA,EQ,        80.30,        82.50,-2.67

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        38.15,                  7325288.75,190339
,3IINFOTECH,EQ,         5.70,                 12589063.90,2203459
,3MINDIA,EQ,     12922.50,                  5170910.30,398
,8KMILES,EQ,      1903.35,                 22872377.25,12061
,A2ZINFRA,EQ,        38.25,                 14716954.35,384604
,AARTIDRUGS,EQ,       625.90,                 56633176.55,90090
,AARTIIND,EQ,       626.05,                 24219017.90,38575
,AARVEEDEN,EQ,        76.55,                   761054.45,9841
,ABAN,EQ,       205.45,                109726758.10,532351
,ABBOTINDIA,EQ,      4759.20,                  9570752.85,2017
,ABFRL,EQ,       141.45,                 57381096.80,404956
,ABGSHIP,EQ,        31.30,                 22728643.90,721853
,ABIRLANUVO,EQ,      1385.80,                344035106.60,246690
,ACCELYA,EQ,      1423.30,                  4579557.05,3211
,ACE,EQ,        43.45,                  5718212.65,130447
,ACROPETAL,BZ,         2.10,                     1717.10,818
,ADANIENT,EQ,        70.25,                138724494.65,1955410
,ADANIPOWER,EQ,        27.50,                 55615968.90,2005120
,ADANITRANS,EQ,        39.85,                 19134859.95,477487
,ADFFOODS,EQ,       126.20,                 14744874.85,115674
,ADHUNIK,EQ,         7.65,                   333624.35,43067
,ADHUNIKIND,EQ,       102.15,                  3479668.20,33819
,ADI,EQ,       436.30,                 14515431.90,33392
,ADLABS,EQ,       112.25,               1644279518.25,14739970
,ADORWELD,EQ,       281.10,                   251521.35,891
,ADSL,EQ,        31.40,                  3508002.15,111496
,ADVANIHOTR,EQ,        55.80,                   193259.50,3366
,ADVENZYMES,EQ,      1711.60,                275769342.65,161733
,AEGISCHEM,EQ,       161.65,                 80173714.35,490078
,AFL,EQ,        61.80,                   941197.35,14914
,AGARIND,EQ,       233.65,                  9984210.40,42299
,AGCNET,EQ,        82.15,                   486013.10,5852
,AGRITECH,BE,        27.65,                   120638.65,4344
,AGRODUTCH,EQ,         2.50,                    25912.80,10264
,AHLEAST,EQ,       200.70,                   741665.85,3650
,AHLUCONT,EQ,       295.05,                  5214647.00,17613
,AHLWEST,EQ,       175.00,                   299818.95,1715
,AIAENG,EQ,      1202.80,                 55569112.20,46164
,AICHAMP,BE,        28.25,                       28.25,1
,AIFL,EQ,       361.45,                 11219035.65,30832
,AJANTPHARM,EQ,      2044.00,                334352761.40,163474
,AJMERA,EQ,       143.00,                  2574140.80,17947
,AKSHOPTFBR,EQ,        20.75,                 58243861.95,2798084
,AKZOINDIA,EQ,      1676.50,                 45533710.30,27262
,ALANKIT,EQ,       141.70,                  8315250.95,58027
,ALBERTDAVD,EQ,       314.90,                   978087.75,3091
,ALBK,EQ,        80.75,                216520859.35,2669529
,ALCHEM,EQ,        23.90,                    99612.10,4150
,ALEMBICLTD,EQ,        37.40,                  8396918.95,222212
,ALICON,EQ,       355.20,                  2254692.30,6355
,ALKALI,EQ,        59.45,                   337179.85,5665
,ALKEM,EQ,      1829.00,                317030810.00,174164
,ALKYLAMINE,EQ,       330.95,                  4349485.35,13031
,ALLCARGO,EQ,       191.10,                  6283603.90,32836
,ALLSEC,EQ,       264.45,                  2696608.80,10182
,ALMONDZ,EQ,        12.00,                   167770.15,13562
,ALOKTEXT,EQ,         3.45,                  8848294.50,2544126
,ALPA,BE,        35.15,                  1683055.55,47809
,ALPHAGEO,EQ,       976.55,                 56288702.85,57696
,ALPSINDUS,EQ,         6.20,                   396678.70,61628
,AMARAJABAT,EQ,      1017.20,                525625142.55,510037
,AMBIKCO,EQ,       811.50,                  2959049.60,3634
,AMDIND,EQ,        29.45,                   194961.05,6517
,AMRUTANJAN,EQ,       441.70,                  3126743.60,7063
,AMTEKAUTO,EQ,        48.10,                182284501.00,3768490
,AMTL,EQ,        29.60,                   490495.10,16274
,ANANDAMRUB,EQ,        18.10,                     7692.50,425
,ANANTRAJ,EQ,        57.30,                 45188155.25,785428
,ANDHRABANK,EQ,        59.60,                158249075.85,2632396
,ANDHRACEMT,EQ,         8.00,                  1696695.45,211136
,ANDHRSUGAR,EQ,       220.20,                  7928838.15,35754
,ANGIND,EQ,        11.95,                   269224.20,22273
,ANIKINDS,BE,        28.00,                    69001.95,2464
,ANKITMETAL,EQ,         1.70,                   219644.55,130541
,ANSALAPI,EQ,        19.25,                  1400521.30,72204
,ANSALHSG,EQ,        24.60,                    75539.10,3060
,ANTGRAPHIC,BE,          .80,                     9400.80,11751
,APARINDS,EQ,       563.40,                  7120419.05,12556
,APCOTEXIND,EQ,       379.90,                  3989423.75,10451
,APLAPOLLO,EQ,       885.50,                 32348954.55,37004
,APLLTD,EQ,       683.45,                110377869.10,160810
,APOLLOTYRE,EQ,       216.25,                479154780.70,2195480
,APOLSINHOT,EQ,       308.00,                    78479.15,261
,APTECHT,EQ,       163.80,                 84109825.15,507693
,ARCHIDPLY,EQ,        53.60,                  3167035.90,58198
,ARCHIES,EQ,        24.15,                  1507062.95,62396
,ARCOTECH,EQ,       361.20,                 40757740.65,112915
,ARIES,EQ,       116.00,                  3945538.50,33851
,ARIHANT,EQ,        43.00,                     5755.00,135
,ARMANFIN,EQ,       260.30,                  2480059.85,9470
,AROGRANITE,EQ,        72.65,                  1649624.60,22619
,ARROWGREEN,EQ,       472.65,                  1220262.75,2571
,ARROWTEX,EQ,        36.60,                   542040.20,14803
,ARSHIYA,EQ,        32.05,                  1948851.35,59471
,ARSSINFRA,EQ,        84.75,                 15508341.35,182801
,ARVIND,EQ,       339.50,                869192306.75,2542542
,ARVINFRA,EQ,        82.85,                  4494148.60,53774
,ASAHIINDIA,EQ,       198.40,                  7164667.80,35768
,ASAHISONG,EQ,       236.05,                 32938629.05,139126
,ASAL,EQ,        66.00,                   840102.25,12610
