,27-Sep-2016
The Nifty witnessed an intraday movement of about 78 points.The closing index was 0.19 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 19095.04
, Traded Quantity (in Lakhs), 9614.45
, Number of Trades, 7862769
, Total Market Capitalisation (Rs. Crores), 10930567.03

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      8723.05,      8748.90,      8768.50,      8690.50,      8706.40,-16.65
,Nifty IT,     10330.00,     10324.70,     10425.50,     10322.50,     10397.00,67
,Nifty Next 50,     23165.20,     23245.10,     23298.60,     23081.90,     23139.85,-25.35
,Nifty Bank,     19591.75,     19652.95,     19696.45,     19479.15,     19518.70,-73.05
,Nifty MID100 Free,     15579.60,     15636.95,     15681.80,     15526.95,     15560.55,-19.05
,Nifty 500,      7479.75,      7503.50,      7520.50,      7456.00,      7469.95,-9.8
,Nifty 100,      8956.40,      8983.65,      9003.30,      8923.55,      8940.50,-15.9
,Nifty Midcap 50,      3974.70,      3990.25,      4005.90,      3957.70,      3967.30,-7.4
,Nifty Realty,       205.55,       206.65,       207.70,       204.80,       206.10,.55
,Nifty Infra,      2854.00,      2863.65,      2869.70,      2819.00,      2823.95,-30.05
,Nifty Energy,      9860.65,      9920.35,      9948.90,      9806.65,      9831.85,-28.8
,Nifty FMCG,     21977.10,     22027.65,     22074.45,     21843.25,     21913.15,-63.95
,Nifty MNC,     10363.45,     10400.40,     10408.70,     10337.45,     10361.70,-1.75
,Nifty Pharma,     11708.70,     11729.35,     11830.85,     11722.40,     11782.60,73.9
,Nifty PSE,      3535.50,      3551.20,      3556.90,      3507.90,      3517.05,-18.45
,Nifty PSU Bank,      3143.20,      3160.95,      3169.80,      3104.65,      3111.60,-31.6
,Nifty Serv Sector,     11032.85,     11056.10,     11092.75,     11007.45,     11030.95,-1.9
,India VIX,14.5650,14.5650,14.5650,13.7725,14.2500,-0.3150
,Nifty Auto,     10048.65,     10095.25,     10123.35,      9978.55,      9992.50,-56.15
,Nifty Metal,      2539.45,      2552.75,      2559.70,      2519.35,      2523.60,-15.85
,Nifty Media,      2935.30,      2948.55,      2985.90,      2927.20,      2937.90,2.6
,Nifty SML100 Free,      6286.35,      6315.95,      6329.15,      6263.05,      6276.80,-9.55
,Nifty 200,      4663.10,      4677.80,      4688.35,      4646.85,      4655.65,-7.45
,Nifty Div Opps 50,      2134.25,      2142.60,      2147.95,      2123.00,      2128.15,-6.1
,Nifty Commodities,      3063.65,      3077.50,      3083.20,      3043.10,      3050.25,-13.4
,Nifty Consumption,      3921.20,      3934.10,      3939.30,      3910.90,      3915.00,-6.2
,Nifty Fin Service,      8100.00,      8124.10,      8139.30,      8056.90,      8074.00,-26
,Nifty50 Div Point,        78.39,        78.39,        78.39,        78.39,        78.39,0
,Nifty100 Liq 15,      3689.00,      3710.85,      3716.30,      3664.10,      3673.90,-15.1
,Nifty CPSE,      2240.45,      2249.70,      2255.50,      2223.90,      2228.65,-11.8
,Nifty GrowSect 15,      5487.95,      5500.45,      5530.20,      5487.50,      5502.10,14.15
,Nifty50 PR 2x Lev,      3461.20,      3481.10,      3495.70,      3435.00,      3447.40,-13.8
,Nifty50 PR 1x Inv,       463.60,       462.35,       465.40,       461.35,       464.60,1
,Nifty50 TR 2x Lev,      4144.75,      4168.55,      4186.05,      4113.35,      4128.20,-16.55
,Nifty50 TR 1x Inv,       423.65,       422.50,       425.30,       421.60,       424.55,.9
,Nifty50 Value 20,      3756.95,      3772.30,      3781.65,      3741.80,      3751.90,-5.05
,Nifty Mid Liq 15,      3271.35,      3283.20,      3294.50,      3255.80,      3260.80,-10.55
,Nifty Pvt Bank,     10931.55,     10962.05,     10987.15,     10870.90,     10894.90,-36.65
,Nifty Quality 30,      2226.45,      2231.00,      2240.95,      2223.60,      2228.85,2.4
,Nifty GS 8 13Yr,      1624.47,      1624.80,      1628.50,      1624.80,      1626.19,1.72
,Nifty GS 10Yr,      1541.90,      1542.20,      1544.90,      1542.13,      1542.13,.23
,Nifty GS 10Yr Cln,       977.69,       977.69,       979.42,       977.64,       977.64,-.05
,Nifty GS 4 8Yr,      1674.25,      1674.58,      1677.34,      1674.58,      1675.32,1.07
,Nifty GS 11 15Yr,      1705.50,      1705.84,      1711.39,      1705.84,      1708.71,3.21
,Nifty GS 15YrPlus,      1827.68,      1828.04,      1832.69,      1828.04,      1830.60,2.92
,Nifty GS Compsite,      1660.40,      1660.74,      1664.30,      1660.74,      1662.13,1.73

,ADVANCES,687
,DECLINES,928
,UNCHANGED,78

,Total securities that have hit their price bands today,102

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,AXISBANK,EQ,       547.40,       541.00,-1.17,497.1
,RELIANCE,EQ,      1107.20,      1110.50,0.3,493.95
,ICICIBANK,EQ,       262.55,       260.00,-0.97,411.64
,YESBANK,EQ,      1235.35,      1246.90,0.93,365.96
,MCX,EQ,      1069.80,      1150.25,7.52,342.1
,INFY,EQ,      1035.90,      1039.75,0.37,340.17
,SBIN,EQ,       251.65,       249.00,-1.05,284.45
,AUROPHARMA,EQ,       838.70,       860.55,2.61,278.23
,LT,EQ,      1465.70,      1436.40,-2,272.21
,RELCAPITAL,EQ,       565.55,       556.70,-1.56,266.52
,TATAMOTORS,EQ,       535.30,       531.95,-0.63,263.33
,TCS,EQ,      2401.10,      2436.10,1.46,248.18
,MARUTI,EQ,      5568.90,      5511.40,-1.03,237.19
,BHARATFIN,EQ,       849.80,       856.85,0.83,222.18
,RECLTD,EQ,       249.25,       244.25,-2.01,213.82
,IRB,EQ,       256.80,       258.15,0.53,188.39
,HDFC,EQ,      1412.45,      1418.90,0.46,182.48
,ONGC,EQ,       249.55,       247.55,-0.8,180.97
,BPCL,EQ,       622.45,       610.75,-1.88,171.05
,RELINFRA,EQ,       594.95,       590.85,-0.69,168.77
,LUPIN,EQ,      1494.50,      1512.20,1.18,165.4
,ITC,EQ,       248.05,       245.85,-0.89,164.01
,TATASTEEL,EQ,       369.75,       367.95,-0.49,162.86
,CENTURYTEX,EQ,       925.60,       932.35,0.73,159.69
,WOCKPHARMA,EQ,       910.05,       903.50,-0.72,153.46

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,AUROPHARMA,EQ,       860.55,       838.70,2.61
,TCS,EQ,      2436.10,      2401.10,1.46
,AMBUJACEM,EQ,       258.15,       254.85,1.29
,LUPIN,EQ,      1512.20,      1494.50,1.18
,WIPRO,EQ,       484.20,       479.30,1.02

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HINDALCO,EQ,       150.05,       153.60,-2.31
,ADANIPORTS,EQ,       264.70,       270.40,-2.11
,LT,EQ,      1436.40,      1465.70,-2
,BPCL,EQ,       610.75,       622.45,-1.88
,INFRATEL,EQ,       358.50,       365.35,-1.87

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        38.30,                  1807427.35,46735
,3IINFOTECH,EQ,         5.60,                  7545351.60,1331437
,3MINDIA,EQ,     13101.65,                  8237482.20,631
,8KMILES,EQ,      1954.75,                 95819392.80,48823
,A2ZINFRA,EQ,        38.05,                 10203036.45,267128
,AARTIDRUGS,EQ,       606.65,                 23820517.15,38518
,AARTIIND,EQ,       610.00,                 33709897.30,54585
,AARVEEDEN,EQ,        75.25,                   321992.35,4228
,ABAN,EQ,       205.70,                 94129910.75,457136
,ABBOTINDIA,EQ,      4734.55,                 12495568.95,2638
,ABFRL,EQ,       139.35,                 37438782.35,266581
,ABGSHIP,EQ,        30.70,                  8355613.50,271048
,ABIRLANUVO,EQ,      1371.70,                394150841.00,285425
,ACCELYA,EQ,      1386.70,                  6509950.30,4661
,ACE,EQ,        45.75,                 17004915.85,377214
,ACROPETAL,BZ,         2.00,                    16262.00,8131
,ADANIENT,EQ,        70.50,                129795932.35,1832541
,ADANIPOWER,EQ,        27.35,                 64628536.70,2352067
,ADANITRANS,EQ,        39.45,                 17148422.20,433179
,ADFFOODS,EQ,       125.05,                  9678836.25,76800
,ADHUNIK,EQ,         7.75,                   136388.50,17579
,ADHUNIKIND,EQ,        99.20,                  2632344.15,26037
,ADI,EQ,       428.00,                  4867436.10,11322
,ADLABS,EQ,       109.05,                530692833.75,4851893
,ADORWELD,EQ,       280.30,                   650322.00,2320
,ADSL,EQ,        31.05,                  3354223.55,106583
,ADVANIHOTR,EQ,        55.05,                   123077.25,2194
,ADVENZYMES,EQ,      1722.90,                267026880.55,155518
,AEGISCHEM,EQ,       160.85,                 59410300.10,370465
,AFL,EQ,        61.40,                   869445.85,13950
,AGARIND,EQ,       235.10,                 16180722.65,68425
,AGCNET,EQ,        82.65,                   329572.20,3985
,AGRITECH,BE,        26.50,                    55603.35,2041
,AHLEAST,EQ,       200.00,                   162947.35,818
,AHLUCONT,EQ,       301.05,                  4910784.25,16353
,AHLWEST,EQ,       175.00,                   156793.65,897
,AIAENG,EQ,      1247.60,                 57381908.10,46437
,AICHAMP,BE,        29.65,                       29.65,1
,AIFL,EQ,       361.40,                 15004556.35,41402
,AJANTPHARM,EQ,      2064.15,                448873478.45,216312
,AJMERA,EQ,       144.10,                  5428403.00,37333
,AKSHOPTFBR,EQ,        20.50,                 42596175.35,2065340
,AKZOINDIA,EQ,      1699.80,                 57358997.15,33852
,ALANKIT,EQ,       145.90,                 40975105.45,284155
,ALBERTDAVD,EQ,       312.35,                   790317.80,2523
,ALBK,EQ,        79.60,                287755193.95,3586786
,ALCHEM,EQ,        24.55,                   594591.80,24059
,ALEMBICLTD,EQ,        37.80,                  5481357.90,144238
,ALICON,EQ,       342.35,                   388819.25,1113
,ALKALI,EQ,        59.55,                   976063.55,16466
,ALKEM,EQ,      1807.20,                122202154.70,66962
,ALKYLAMINE,EQ,       322.95,                   919401.15,2822
,ALLCARGO,EQ,       189.95,                  9267733.20,48570
,ALLSEC,EQ,       265.35,                   731216.55,2751
,ALMONDZ,EQ,        12.60,                    73062.45,5875
,ALOKTEXT,EQ,         3.40,                  7062980.10,2058375
,ALPA,BE,        34.80,                   602769.65,17154
,ALPHAGEO,EQ,      1007.30,                369160074.65,365485
,ALPSINDUS,EQ,         6.15,                   330831.00,52293
,AMARAJABAT,EQ,      1010.65,                283229749.45,278934
,AMBIKCO,EQ,       811.75,                  2352986.50,2891
,AMDIND,EQ,        28.25,                   125174.10,4332
,AMRUTANJAN,EQ,       441.80,                  4188571.90,9460
,AMTEKAUTO,EQ,        48.25,                205852825.50,4197546
,AMTL,EQ,        28.80,                  1147330.30,39460
,ANANDAMRUB,EQ,        17.55,                    87750.00,5000
,ANANTRAJ,EQ,        57.95,                 59886001.65,1040142
,ANDHRABANK,EQ,        59.00,                136073596.95,2296965
,ANDHRACEMT,EQ,         8.10,                   565370.20,69595
,ANDHRSUGAR,EQ,       216.55,                 12475546.15,56849
,ANGIND,EQ,        12.05,                   263894.65,21921
,ANIKINDS,BE,        28.00,                   140700.00,5025
,ANKITMETAL,EQ,         1.65,                    89040.65,53738
,ANSALAPI,EQ,        19.10,                  1382445.80,72105
,ANSALHSG,EQ,        24.55,                   257255.95,10358
,ANTGRAPHIC,BE,          .80,                    51929.25,66149
,APARINDS,EQ,       563.25,                  1548569.10,2737
,APCOTEXIND,EQ,       378.95,                  5331492.35,14006
,APLAPOLLO,EQ,       890.80,                  9638890.30,10807
,APLLTD,EQ,       674.80,                 35946806.15,52641
,APOLLOTYRE,EQ,       215.25,                563204355.25,2597505
,APOLSINHOT,EQ,       306.00,                   173700.00,570
,APTECHT,EQ,       164.25,                147234265.95,885243
,ARCHIDPLY,EQ,        53.10,                  2264986.65,41953
,ARCHIES,EQ,        24.35,                  2265301.10,92527
,ARCOTECH,EQ,       357.05,                 40061934.90,111853
,ARIES,EQ,       114.15,                  3971265.70,34679
,ARIHANT,EQ,        43.50,                      304.50,7
,ARMANFIN,EQ,       260.70,                  3297816.55,12420
,AROGRANITE,EQ,        72.25,                  1583422.60,21852
,ARROWGREEN,EQ,       487.70,                  5468371.40,11185
,ARROWTEX,EQ,        36.05,                   746452.40,20562
,ARSHIYA,EQ,        31.05,                  2504435.65,79993
,ARSSINFRA,EQ,        84.60,                 21857453.05,255808
,ARVIND,EQ,       336.35,                534388467.20,1573722
,ARVINFRA,EQ,        82.60,                  4728141.45,56766
,ASAHIINDIA,EQ,       197.10,                  6400004.85,32354
,ASAHISONG,EQ,       228.60,                 20752868.65,88121
,ASAL,EQ,        65.55,                   402737.25,6076
,ASHAPURMIN,EQ,        59.00,                  3914336.50,65997
,ASHIANA,EQ,       150.05,                  8002486.80,52978
,ASHIMASYN,EQ,        15.20,                  1735515.70,112768
,ASHOKA,EQ,       170.50,                 64185265.00,370596
,ASIANHOTNR,EQ,        98.75,                   290927.55,2925
,ASIANTILES,EQ,       277.75,                 36660877.25,130550
,ASPINWALL,BE,       215.05,                  1485153.60,6865
,ASSAMCO,EQ,         5.85,                  3522559.95,596693
,ASTEC,EQ,       408.35,                  8514785.50,20744
,ASTRAL,EQ,       438.95,                 63697244.75,150724
,ASTRAMICRO,EQ,       115.95,                 22136926.10,190363
,ASTRAZEN,EQ,       946.20,                  6925526.95,7298
,ATFL,EQ,       520.75,                  2035079.00,3886
