,29-Sep-2016
The Nifty witnessed an intraday movement of about 242.4 points.The closing index was 1.76 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 45012.36
, Traded Quantity (in Lakhs), 21370.53
, Number of Trades, 11774293
, Total Market Capitalisation (Rs. Crores), 10761365.9

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      8745.15,      8792.70,      8800.65,      8558.25,      8591.25,-153.9
,Nifty IT,     10360.45,     10410.65,     10412.60,     10228.05,     10257.80,-102.65
,Nifty Next 50,     23298.45,     23416.75,     23447.00,     22329.55,     22481.00,-817.45
,Nifty Bank,     19653.55,     19762.30,     19793.20,     19059.05,     19183.65,-469.9
,Nifty MID100 Free,     15694.10,     15785.40,     15817.90,     15020.85,     15098.10,-596
,Nifty 500,      7514.95,      7555.70,      7562.00,      7303.95,      7336.85,-178.1
,Nifty 100,      8983.80,      9032.15,      9040.20,      8762.55,      8799.95,-183.85
,Nifty Midcap 50,      4041.85,      4070.00,      4085.60,      3836.90,      3858.00,-183.85
,Nifty Realty,       209.80,       211.55,       212.45,       194.40,       195.15,-14.65
,Nifty Infra,      2861.45,      2872.50,      2879.25,      2766.90,      2780.50,-80.95
,Nifty Energy,      9822.75,      9871.65,      9946.45,      9609.15,      9631.10,-191.65
,Nifty FMCG,     21917.10,     22024.90,     22067.40,     21445.50,     21661.20,-255.9
,Nifty MNC,     10397.05,     10468.45,     10472.20,     10125.55,     10179.15,-217.9
,Nifty Pharma,     11777.75,     11835.60,     11849.55,     11268.70,     11432.20,-345.55
,Nifty PSE,      3541.05,      3559.90,      3572.65,      3446.25,      3453.65,-87.4
,Nifty PSU Bank,      3187.85,      3206.95,      3229.20,      3032.90,      3067.00,-120.85
,Nifty Serv Sector,     11091.00,     11147.15,     11156.55,     10836.75,     10876.65,-214.35
,India VIX,13.8475,13.8475,19.1250,13.1525,18.4500,4.6025
,Nifty Auto,     10115.95,     10203.20,     10224.25,      9859.45,      9893.85,-222.1
,Nifty Metal,      2579.05,      2594.30,      2598.95,      2476.80,      2488.60,-90.45
,Nifty Media,      3004.10,      3024.70,      3034.15,      2871.50,      2943.45,-60.65
,Nifty SML100 Free,      6365.35,      6409.60,      6430.30,      5957.80,      5995.55,-369.8
,Nifty 200,      4682.15,      4707.95,      4711.85,      4557.00,      4577.10,-105.05
,Nifty Div Opps 50,      2138.10,      2151.30,      2154.70,      2088.65,      2100.10,-38
,Nifty Commodities,      3076.30,      3094.85,      3100.10,      2983.00,      2994.95,-81.35
,Nifty Consumption,      3935.05,      3959.15,      3961.60,      3841.95,      3863.05,-72
,Nifty Fin Service,      8109.00,      8152.65,      8163.85,      7882.05,      7927.35,-181.65
,Nifty50 Div Point,        78.39,        78.39,        78.39,        78.39,        78.39,0
,Nifty100 Liq 15,      3733.45,      3755.35,      3760.00,      3594.65,      3625.90,-107.55
,Nifty CPSE,      2236.55,      2255.75,      2266.15,      2186.55,      2195.85,-40.7
,Nifty GrowSect 15,      5511.60,      5545.20,      5546.85,      5421.55,      5442.85,-68.75
,Nifty50 PR 2x Lev,      3477.45,      3514.65,      3519.95,      3328.90,      3354.45,-123
,Nifty50 PR 1x Inv,       462.60,       460.15,       472.50,       459.80,       470.80,8.2
,Nifty50 TR 2x Lev,      4164.20,      4208.75,      4215.05,      3986.30,      4016.85,-147.35
,Nifty50 TR 1x Inv,       422.75,       420.50,       431.80,       420.20,       430.25,7.5
,Nifty50 Value 20,      3758.50,      3781.70,      3785.80,      3678.60,      3697.00,-61.5
,Nifty Mid Liq 15,      3306.90,      3330.25,      3341.40,      3150.85,      3178.30,-128.6
,Nifty Pvt Bank,     10954.50,     11020.30,     11032.70,     10628.60,     10696.95,-257.55
,Nifty Quality 30,      2232.45,      2243.75,      2244.60,      2183.55,      2195.70,-36.75
,Nifty GS 8 13Yr,      1628.27,      1628.60,      1628.60,      1615.74,      1619.69,-8.58
,Nifty GS 10Yr,      1543.89,      1544.20,      1544.20,      1532.13,      1535.98,-7.91
,Nifty GS 10Yr Cln,       978.58,       978.58,       978.58,       970.81,       973.29,-5.29
,Nifty GS 4 8Yr,      1675.84,      1676.17,      1676.17,      1665.90,      1668.29,-7.55
,Nifty GS 11 15Yr,      1711.35,      1711.69,      1711.69,      1696.20,      1701.22,-10.13
,Nifty GS 15YrPlus,      1831.35,      1831.71,      1831.71,      1812.20,      1814.85,-16.5
,Nifty GS Compsite,      1663.76,      1664.09,      1664.09,      1652.10,      1655.79,-7.97

,ADVANCES,126
,DECLINES,1532
,UNCHANGED,47

,Total securities that have hit their price bands today,181

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,KOTAKBANK,EQ,       782.30,       772.60,-1.24,4308.79
,ICICIPRULI,EQ,       334.00,       297.55,-10.91,2796.63
,ICICIBANK,EQ,       260.75,       250.35,-3.99,1104.63
,YESBANK,EQ,      1271.20,      1230.80,-3.18,1087.54
,AXISBANK,EQ,       549.10,       539.30,-1.78,893.93
,MCX,EQ,      1250.50,      1309.05,4.68,699.52
,SBIN,EQ,       253.75,       247.25,-2.56,694.5
,HDFCBANK,EQ,      1295.25,      1277.50,-1.37,528.96
,RELIANCE,EQ,      1090.65,      1072.45,-1.67,527.3
,PNB,EQ,       146.50,       136.60,-6.76,498.43
,TATASTEEL,EQ,       380.35,       368.80,-3.04,497.85
,TATAMOTORS,EQ,       540.00,       526.30,-2.54,494.36
,HDFC,EQ,      1423.55,      1401.40,-1.56,475.89
,MCDOWELL-N,EQ,      2305.85,      2305.60,-0.01,475.52
,INFY,EQ,      1038.95,      1029.20,-0.94,459.11
,RELCAPITAL,EQ,       565.85,       530.80,-6.19,452.56
,CEATLTD,EQ,      1255.80,      1229.70,-2.08,450.16
,WOCKPHARMA,EQ,       904.60,       863.90,-4.5,439.9
,TCS,EQ,      2423.05,      2437.80,0.61,438.95
,ITC,EQ,       246.95,       245.70,-0.51,426.3
,SUNPHARMA,EQ,       764.80,       735.85,-3.79,395.7
,AUROPHARMA,EQ,       869.35,       825.25,-5.07,383.56
,MRF,EQ,     49753.35,     48605.60,-2.31,382.28
,MARUTI,EQ,      5521.80,      5438.60,-1.51,379.07
,M&M,EQ,      1376.75,      1364.40,-0.9,364.79

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,INFRATEL,EQ,       371.35,       362.80,2.36
,TCS,EQ,      2437.80,      2423.05,.61
,ZEEL,EQ,       549.70,       548.00,.31

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BHEL,EQ,       133.00,       143.90,-7.57
,ADANIPORTS,EQ,       256.80,       271.00,-5.24
,AUROPHARMA,EQ,       825.25,       869.35,-5.07
,HINDALCO,EQ,       150.00,       156.90,-4.4
,ICICIBANK,EQ,       250.35,       260.75,-3.99

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        35.15,                  8539522.55,232740
,3IINFOTECH,EQ,         5.35,                 50182101.55,8784804
,3MINDIA,EQ,     12757.00,                 34978202.15,2706
,8KMILES,EQ,      1903.30,                106127649.45,53497
,A2ZINFRA,EQ,        34.90,                 26994522.55,749504
,AARTIDRUGS,EQ,       595.45,                 93003183.70,146453
,AARTIIND,EQ,       605.85,                 80814037.35,132687
,AARVEEDEN,EQ,        72.20,                   650370.50,8794
,ABAN,EQ,       191.20,                357295939.95,1762911
,ABBOTINDIA,EQ,      4610.95,                 16693516.50,3568
,ABFRL,EQ,       138.05,                187912642.55,1349616
,ABGSHIP,EQ,        29.45,                 41633306.15,1314700
,ABIRLANUVO,EQ,      1326.40,                732863994.35,541851
,ACCELYA,EQ,      1320.30,                  7750144.10,5777
,ACE,EQ,        42.60,                 16950585.90,393617
,ACROPETAL,BZ,         1.85,                     1877.75,1015
,ADANIENT,EQ,        64.90,                338835362.90,5058328
,ADANIPOWER,EQ,        25.05,                245857044.10,9492886
,ADANITRANS,EQ,        37.80,                 59830595.70,1565713
,ADFFOODS,EQ,       124.60,                 19146568.20,152565
,ADHUNIK,EQ,         7.35,                   508660.50,67690
,ADHUNIKIND,EQ,        97.15,                  2710900.05,26831
,ADI,EQ,       408.90,                 27073877.45,62458
,ADLABS,EQ,        97.85,                182231565.05,1756988
,ADORWELD,EQ,       259.95,                  3138133.10,11805
,ADSL,EQ,        29.25,                 11588784.45,376391
,ADVANIHOTR,EQ,        53.95,                   141785.50,2621
,ADVENZYMES,EQ,      1662.60,                324978935.20,192445
,AEGISCHEM,EQ,       150.75,                149474180.25,977047
,AFL,EQ,        56.65,                  1047802.75,17934
,AGARIND,EQ,       229.15,                 10814793.20,47835
,AGCNET,EQ,        77.90,                   664838.30,8413
,AGRITECH,BE,        26.40,                   137228.90,5025
,AHLEAST,EQ,       195.00,                   970354.55,4975
,AHLUCONT,EQ,       298.10,                 12147157.60,40691
,AHLWEST,EQ,       179.85,                   249388.90,1411
,AIAENG,EQ,      1284.75,                111003669.50,86259
,AICHAMP,BE,        28.20,                    61048.20,2151
,AIFL,EQ,       350.90,                 20409950.65,57967
,AJANTPHARM,EQ,      2004.95,                346954196.90,170434
,AJMERA,EQ,       135.35,                  7917713.95,56960
,AKSHOPTFBR,EQ,        18.25,                 98527331.65,5143684
,AKZOINDIA,EQ,      1674.05,                 36516449.45,21583
,ALANKIT,EQ,       142.95,                 38262306.95,261800
,ALBERTDAVD,EQ,       298.50,                  2115123.05,6910
,ALBK,EQ,        75.85,                451954692.15,5730019
,ALCHEM,EQ,        25.60,                  4864071.65,176296
,ALEMBICLTD,EQ,        36.85,                 24643029.35,638188
,ALICON,EQ,       331.15,                  3001899.40,8612
,ALKALI,EQ,        56.35,                   677809.80,11722
,ALKEM,EQ,      1812.45,                 95157658.45,52384
,ALKYLAMINE,EQ,       314.00,                  3514125.30,11121
,ALLCARGO,EQ,       177.50,                 30554799.40,166308
,ALLSEC,EQ,       241.55,                 10595040.45,43446
,ALMONDZ,EQ,        11.45,                   120080.35,9729
,ALOKTEXT,EQ,         3.15,                 20628626.00,6413693
,ALPA,BE,        33.35,                  1165240.50,33768
,ALPHAGEO,EQ,       982.95,                456254606.05,428078
,ALPSINDUS,EQ,         5.50,                   769484.20,132668
,AMARAJABAT,EQ,       998.45,                496669073.75,493089
,AMBIKCO,EQ,       793.30,                 11707702.40,14697
,AMDIND,EQ,        27.20,                   616543.15,22468
,AMRUTANJAN,EQ,       438.10,                 32690277.00,72074
,AMTEKAUTO,EQ,        43.80,                195251658.25,4246125
,AMTL,EQ,        27.55,                   199369.55,6997
,ANANDAMRUB,EQ,        17.05,                     6820.00,400
,ANANTRAJ,EQ,        53.95,                188071399.50,3257937
,ANDHRABANK,EQ,        55.55,                314221866.65,5511119
,ANDHRACEMT,EQ,         7.60,                  4583692.45,588396
,ANDHRSUGAR,EQ,       200.60,                 38386945.55,184739
,ANGIND,EQ,        10.55,                   993803.15,88976
,ANIKINDS,BE,        27.00,                   175670.00,6305
,ANKITMETAL,EQ,         1.60,                   297019.90,174158
,ANSALAPI,EQ,        17.90,                  3044978.00,165046
,ANSALHSG,EQ,        22.60,                  1476580.35,64845
,ANTGRAPHIC,BE,          .80,                    99342.45,125028
,APARINDS,EQ,       527.00,                 19412501.35,36196
,APCOTEXIND,EQ,       371.20,                 18723468.80,49009
,APLAPOLLO,EQ,       834.00,                 15577217.75,18215
,APLLTD,EQ,       650.90,                 60219014.80,91588
,APOLLOTYRE,EQ,       210.50,               1538500503.70,7063592
,APOLSINHOT,EQ,       290.00,                      580.00,2
,APTECHT,EQ,       163.85,                124002331.90,737481
,ARCHIDPLY,EQ,        48.95,                  6071668.10,119079
,ARCHIES,EQ,        24.50,                 15184099.55,582824
,ARCOTECH,EQ,       345.45,                 38487798.00,110600
,ARIES,EQ,       112.45,                 19872740.90,168651
,ARIHANT,EQ,        41.75,                    45603.50,1096
,ARMANFIN,EQ,       244.00,                  5237023.85,21097
,AROGRANITE,EQ,        70.85,                 40506924.50,525771
,ARROWGREEN,EQ,       482.75,                  9469108.85,19484
,ARROWTEX,EQ,        38.60,                 24842029.65,607747
,ARSHIYA,EQ,        28.30,                  4938751.65,167445
,ARSSINFRA,EQ,        81.60,                 50649437.50,611001
,ARVIND,EQ,       333.80,               1018900243.85,3021735
,ARVINFRA,EQ,        79.60,                  7741590.25,95665
,ASAHIINDIA,EQ,       184.95,                 14198157.15,75849
,ASAHISONG,EQ,       209.20,                 17679774.10,81062
,ASAL,EQ,        59.80,                  2347859.95,38638
,ASHAPURMIN,EQ,        57.05,                 10389498.95,175377
,ASHIANA,EQ,       143.95,                  9884690.85,67655
,ASHIMASYN,EQ,        13.80,                  5117531.00,358808
