,30-Sep-2016
The Nifty witnessed an intraday movement of about 81.95 points.The closing index was 0.23 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 22144.94
, Traded Quantity (in Lakhs), 10981.26
, Number of Trades, 8978384
, Total Market Capitalisation (Rs. Crores), 10866063.13

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      8591.25,      8581.50,      8637.15,      8555.20,      8611.15,19.9
,Nifty IT,     10257.80,     10300.35,     10336.80,     10279.85,     10292.30,34.5
,Nifty Next 50,     22481.00,     22453.65,     22956.35,     22387.30,     22908.00,427
,Nifty Bank,     19183.65,     19116.00,     19330.85,     19085.20,     19285.70,102.05
,Nifty MID100 Free,     15098.10,     15082.40,     15437.50,     15058.45,     15413.10,315
,Nifty 500,      7336.85,      7326.60,      7409.15,      7308.85,      7394.85,58
,Nifty 100,      8799.95,      8789.80,      8868.90,      8763.40,      8844.20,44.25
,Nifty Midcap 50,      3858.00,      3853.15,      3965.25,      3851.50,      3959.65,101.65
,Nifty Realty,       195.15,       194.80,       203.55,       194.70,       202.70,7.55
,Nifty Infra,      2780.50,      2779.25,      2798.60,      2756.75,      2793.40,12.9
,Nifty Energy,      9631.10,      9609.55,      9811.15,      9598.50,      9756.20,125.1
,Nifty FMCG,     21661.20,     21668.35,     21730.50,     21465.30,     21542.05,-119.15
,Nifty MNC,     10179.15,     10173.70,     10296.45,     10127.05,     10271.25,92.1
,Nifty Pharma,     11432.20,     11438.50,     11489.00,     11341.05,     11461.00,28.8
,Nifty PSE,      3453.65,      3452.85,      3505.20,      3437.05,      3497.60,43.95
,Nifty PSU Bank,      3067.00,      3060.15,      3144.35,      3050.05,      3129.65,62.65
,Nifty Serv Sector,     10876.65,     10860.40,     10948.40,     10837.15,     10926.15,49.5
,India VIX,18.4500,18.4500,18.8475,16.8275,17.1800,-1.2700
,Nifty Auto,      9893.85,      9901.90,     10051.05,      9842.25,     10029.30,135.45
,Nifty Metal,      2488.60,      2467.00,      2530.65,      2466.85,      2522.05,33.45
,Nifty Media,      2943.45,      2941.30,      2981.25,      2908.00,      2969.80,26.35
,Nifty SML100 Free,      5995.55,      5981.15,      6149.05,      5978.95,      6137.30,141.75
,Nifty 200,      4577.10,      4571.10,      4619.20,      4558.85,      4608.35,31.25
,Nifty Div Opps 50,      2100.10,      2097.40,      2116.15,      2089.90,      2109.95,9.85
,Nifty Commodities,      2994.95,      2983.10,      3041.60,      2982.75,      3029.75,34.8
,Nifty Consumption,      3863.05,      3859.95,      3888.45,      3834.15,      3879.20,16.15
,Nifty Fin Service,      7927.35,      7902.95,      7969.20,      7880.50,      7952.80,25.45
,Nifty50 Div Point,        78.39,        78.39,        78.39,        78.39,        78.39,0
,Nifty100 Liq 15,      3625.90,      3614.45,      3690.40,      3605.60,      3681.35,55.45
,Nifty CPSE,      2195.85,      2196.65,      2232.45,      2188.15,      2228.60,32.75
,Nifty GrowSect 15,      5442.85,      5446.35,      5460.25,      5425.90,      5436.65,-6.2
,Nifty50 PR 2x Lev,      3354.45,      3346.20,      3389.00,      3326.35,      3369.40,14.95
,Nifty50 PR 1x Inv,       470.80,       471.45,       472.85,       468.45,       469.80,-1
,Nifty50 TR 2x Lev,      4016.85,      4007.05,      4058.25,      3983.25,      4034.75,17.9
,Nifty50 TR 1x Inv,       430.25,       430.80,       432.10,       428.05,       429.35,-.9
,Nifty50 Value 20,      3697.00,      3689.60,      3732.45,      3688.80,      3716.70,19.7
,Nifty Mid Liq 15,      3178.30,      3168.35,      3277.25,      3164.85,      3268.35,90.05
,Nifty Pvt Bank,     10696.95,     10652.60,     10769.10,     10635.90,     10742.05,45.1
,Nifty Quality 30,      2195.70,      2196.40,      2205.75,      2187.55,      2199.85,4.15
,Nifty GS 8 13Yr,      1618.71,      1619.04,      1623.83,      1619.04,      1622.86,4.15
,Nifty GS 10Yr,      1534.82,      1535.12,      1540.72,      1535.12,      1539.74,4.92
,Nifty GS 10Yr Cln,       972.54,       972.54,       976.14,       972.54,       975.51,2.97
,Nifty GS 4 8Yr,      1667.51,      1667.85,      1672.52,      1667.85,      1670.87,3.36
,Nifty GS 11 15Yr,      1699.29,      1699.63,      1707.38,      1699.63,      1704.11,4.82
,Nifty GS 15YrPlus,      1817.10,      1817.46,      1824.21,      1817.46,      1821.38,4.28
,Nifty GS Compsite,      1654.53,      1654.86,      1660.53,      1654.86,      1658.53,4

,ADVANCES,1341
,DECLINES,292
,UNCHANGED,48

,Total securities that have hit their price bands today,112

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,YESBANK,EQ,      1230.80,      1254.70,1.94,522.14
,CIPLA,EQ,       602.85,       580.05,-3.78,403.93
,HDFC,EQ,      1401.40,      1393.45,-0.57,377.78
,SBIN,EQ,       247.25,       251.25,1.62,370.48
,ICICIPRULI,EQ,       297.55,       310.25,4.27,367.99
,MARUTI,EQ,      5438.60,      5477.30,0.71,351.26
,ICICIBANK,EQ,       250.35,       252.15,0.72,344.66
,INFY,EQ,      1029.20,      1036.05,0.67,338
,LT,EQ,      1437.60,      1433.15,-0.31,332.32
,MCDOWELL-N,EQ,      2305.60,      2466.45,6.98,325.33
,AXISBANK,EQ,       539.30,       541.35,0.38,312.4
,TATAMOTORS,EQ,       526.30,       534.85,1.62,299.81
,RELIANCE,EQ,      1072.45,      1083.70,1.05,277.21
,CEATLTD,EQ,      1229.70,      1326.40,7.86,273.89
,HINDUNILVR,EQ,       878.30,       867.85,-1.19,269.95
,MCX,EQ,      1309.05,      1351.25,3.22,265.27
,TCS,EQ,      2437.80,      2430.80,-0.29,264.58
,DISHMAN,EQ,       225.10,       259.35,15.22,238.46
,ITC,EQ,       245.70,       241.35,-1.77,231.84
,RELCAPITAL,EQ,       530.80,       546.90,3.03,228.32
,AUROPHARMA,EQ,       825.25,       855.45,3.66,225.42
,PNB,EQ,       136.60,       140.70,3,223.38
,BHARATFIN,EQ,       833.45,       880.65,5.66,221.82
,RCOM,EQ,        42.35,        46.35,9.45,214.49
,ADANIPORTS,EQ,       256.80,       256.75,-0.02,212.51

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,AUROPHARMA,EQ,       855.45,       825.25,3.66
,BANKBARODA,EQ,       167.40,       161.90,3.4
,GAIL,EQ,       374.65,       363.45,3.08
,M&M,EQ,      1405.70,      1364.40,3.03
,GRASIM,EQ,      4836.55,      4707.60,2.74

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,CIPLA,EQ,       580.05,       602.85,-3.78
,ITC,EQ,       241.35,       245.70,-1.77
,TECHM,EQ,       419.85,       427.15,-1.71
,COALINDIA,EQ,       322.30,       327.65,-1.63
,INFRATEL,EQ,       365.30,       371.35,-1.63

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        36.45,                  2466117.75,68543
,3IINFOTECH,EQ,         5.75,                 15373135.00,2703058
,3MINDIA,EQ,     12883.90,                  7616897.00,591
,8KMILES,EQ,      1976.35,                 64015001.45,32789
,A2ZINFRA,EQ,        35.45,                 12237143.75,348481
,AARTIDRUGS,EQ,       620.95,                 32045636.75,52182
,AARTIIND,EQ,       620.65,                 20127837.40,32735
,AARVEEDEN,EQ,        73.75,                   332012.85,4510
,ABAN,EQ,       195.80,                191226629.15,973927
,ABBOTINDIA,EQ,      4744.75,                 13778257.55,2931
,ABFRL,EQ,       137.85,                 34742974.35,252121
,ABGSHIP,EQ,        29.90,                  8746188.50,291919
,ABIRLANUVO,EQ,      1363.35,                432380450.15,318653
,ACCELYA,EQ,      1340.05,                  3018224.40,2262
,ACE,EQ,        43.55,                  5805302.45,134693
,ACROPETAL,BZ,         1.80,                     3299.15,1829
,ADANIENT,EQ,        65.70,                200158302.35,3074896
,ADANIPOWER,EQ,        24.90,                263870380.40,10570312
,ADANITRANS,EQ,        38.15,                 23823279.10,625090
,ADFFOODS,EQ,       125.15,                  9717707.85,77953
,ADHUNIK,EQ,         7.05,                  1359842.60,191342
,ADHUNIKIND,EQ,        95.15,                  3541032.40,36865
,ADI,EQ,       426.75,                  4739871.65,11221
,ADLABS,EQ,        99.25,                132498313.15,1338437
,ADORWELD,EQ,       266.55,                  1019806.20,3867
,ADSL,EQ,        30.05,                  3319791.80,111250
,ADVANIHOTR,EQ,        51.65,                   347034.75,6639
,ADVENZYMES,EQ,      1677.60,                230203505.25,136907
,AEGISCHEM,EQ,       153.60,                 54307979.75,353559
,AFL,EQ,        59.40,                   968021.20,16419
,AGARIND,EQ,       228.00,                  5704999.65,25558
,AGCNET,EQ,        77.60,                   366474.65,4692
,AGRITECH,BE,        27.40,                    33842.20,1277
,AHLEAST,EQ,       194.00,                   215053.15,1108
,AHLUCONT,EQ,       299.80,                  2348120.50,7949
,AHLWEST,EQ,       199.55,                   558493.45,2878
,AIAENG,EQ,      1289.45,                 51683287.40,39981
,AICHAMP,BE,        26.80,                    30984.40,1124
,AIFL,EQ,       352.20,                 18903443.35,53809
,AJANTPHARM,EQ,      2007.10,                146906196.70,72764
,AJMERA,EQ,       137.00,                  4252539.40,31049
,AKSHOPTFBR,EQ,        19.35,                 72469851.15,3815557
,AKZOINDIA,EQ,      1697.70,                 90493535.15,53300
,ALANKIT,EQ,       138.70,                 19710875.45,142846
,ALBERTDAVD,EQ,       307.45,                   308067.10,1011
,ALBK,EQ,        76.85,                500160302.40,6546911
,ALCHEM,EQ,        26.25,                  1021415.20,39489
,ALEMBICLTD,EQ,        38.20,                  7844080.85,207082
,ALICON,EQ,       349.85,                  3791544.30,10901
,ALKALI,EQ,        57.00,                   830821.85,14562
,ALKEM,EQ,      1661.25,                949150339.15,557779
,ALKYLAMINE,EQ,       311.50,                  3369815.75,10760
,ALLCARGO,EQ,       180.60,                 19836822.50,109290
,ALLSEC,EQ,       249.45,                  3395237.90,13601
,ALMONDZ,EQ,        11.75,                    50868.90,4394
,ALOKTEXT,EQ,         3.20,                  6267150.80,1979842
,ALPA,BE,        33.05,                   682018.60,20897
,ALPHAGEO,EQ,      1040.65,                117398670.65,113791
,ALPSINDUS,EQ,         6.00,                   300513.95,50851
,AMARAJABAT,EQ,      1010.80,                297171579.95,295128
,AMBIKCO,EQ,       811.10,                  3490406.40,4349
,AMDIND,EQ,        27.50,                   422664.80,15472
,AMRUTANJAN,EQ,       433.70,                  6916501.40,15921
,AMTEKAUTO,EQ,        43.95,                 82015098.65,1859001
,AMTL,EQ,        28.45,                    46489.00,1638
,ANANTRAJ,EQ,        55.45,                 49830946.25,899873
,ANDHRABANK,EQ,        56.40,                152297158.70,2708262
,ANDHRACEMT,EQ,         7.80,                  1623573.45,208726
,ANDHRSUGAR,EQ,       207.85,                 23649878.45,113574
,ANGIND,EQ,        10.15,                   860583.85,83914
,ANIKINDS,BE,        27.15,                    16808.00,620
,ANKITMETAL,EQ,         1.70,                    52838.50,31794
,ANSALAPI,EQ,        18.65,                  1198409.70,65052
,ANSALHSG,EQ,        23.15,                   431595.75,18872
,ANTGRAPHIC,BE,          .80,                   115930.00,151000
,APARINDS,EQ,       543.05,                  9324244.35,17460
,APCOTEXIND,EQ,       376.85,                  6203372.40,16513
,APLAPOLLO,EQ,       869.10,                 11446219.75,13423
,APLLTD,EQ,       654.80,                 25025806.75,38257
,APOLLOTYRE,EQ,       219.95,                789581522.10,3633516
,APOLSINHOT,EQ,       304.00,                   338818.50,1117
,APTECHT,EQ,       158.20,                215254822.40,1357463
,ARCHIDPLY,EQ,        50.00,                  2772547.20,55750
,ARCHIES,EQ,        24.80,                  3217879.15,129386
,ARCOTECH,EQ,       344.50,                 38063269.70,110628
,ARIES,EQ,       115.30,                  2984730.20,26078
,ARIHANT,EQ,        43.35,                    29883.15,695
,ARMANFIN,EQ,       257.45,                  5800116.65,22589
,AROGRANITE,EQ,        74.00,                  6110265.45,83512
,ARROWGREEN,EQ,       495.50,                  2968829.45,6097
,ARROWTEX,EQ,        40.40,                  5543120.15,138642
,ARSHIYA,EQ,        28.25,                  2514200.50,87508
,ARSSINFRA,EQ,        82.30,                 24822239.65,303122
,ARVIND,EQ,       337.10,                310058924.65,926096
,ARVINFRA,EQ,        80.70,                  2240116.65,27823
,ASAHIINDIA,EQ,       187.20,                  5071027.65,27145
,ASAHISONG,EQ,       221.15,                  8909542.55,41110
,ASAL,EQ,        61.55,                   367706.80,6137
