,25-Oct-2016
The Nifty witnessed an intraday movement of about 59.2 points.The closing index was 0.2 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 20503.19
, Traded Quantity (in Lakhs), 10844.17
, Number of Trades, 7929498
, Total Market Capitalisation (Rs. Crores), 11196977.54

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      8708.95,      8721.70,      8722.65,      8663.45,      8691.30,-17.65
,Nifty IT,     10327.65,     10322.70,     10331.85,     10254.05,     10261.40,-66.25
,Nifty Next 50,     23677.55,     23696.85,     23722.20,     23519.60,     23701.20,23.65
,Nifty Bank,     19807.90,     19907.70,     19922.70,     19711.95,     19834.90,27
,Nifty MID100 Free,     16007.50,     16012.80,     16028.55,     15911.80,     15991.20,-16.3
,Nifty 500,      7551.55,      7561.05,      7561.25,      7512.50,      7541.50,-10.05
,Nifty 100,      8977.10,      8989.25,      8989.60,      8930.05,      8963.45,-13.65
,Nifty Midcap 50,      4144.35,      4139.55,      4153.35,      4107.05,      4150.35,6
,Nifty Realty,       210.80,       211.10,       211.10,       208.15,       209.50,-1.3
,Nifty Infra,      2876.75,      2873.55,      2897.45,      2857.50,      2895.80,19.05
,Nifty Energy,     10201.65,     10199.15,     10201.65,     10098.95,     10181.45,-20.2
,Nifty FMCG,     21569.95,     21632.05,     21632.05,     21356.60,     21387.55,-182.4
,Nifty MNC,     10404.90,     10416.60,     10421.80,     10341.45,     10384.25,-20.65
,Nifty Pharma,     11487.60,     11527.15,     11611.65,     11514.90,     11585.95,98.35
,Nifty PSE,      3746.40,      3749.30,      3750.95,      3711.10,      3740.80,-5.6
,Nifty PSU Bank,      3242.30,      3252.75,      3260.20,      3214.65,      3219.65,-22.65
,Nifty Serv Sector,     11066.00,     11090.35,     11094.30,     11000.90,     11065.30,-.7
,India VIX,14.3325,14.3325,14.8125,12.8400,14.4825,0.1500
,Nifty Auto,     10188.20,     10150.55,     10202.65,     10119.00,     10143.70,-44.5
,Nifty Metal,      2690.80,      2677.05,      2688.00,      2655.15,      2679.50,-11.3
,Nifty Media,      2932.40,      2944.75,      2963.65,      2915.65,      2938.00,5.6
,Nifty SML100 Free,      6515.95,      6528.50,      6530.60,      6471.20,      6495.10,-20.85
,Nifty 200,      4690.00,      4695.75,      4695.90,      4664.60,      4683.65,-6.35
,Nifty Div Opps 50,      2174.75,      2176.70,      2176.70,      2157.45,      2165.00,-9.75
,Nifty Commodities,      3192.20,      3185.80,      3187.90,      3158.70,      3184.95,-7.25
,Nifty Consumption,      3857.30,      3857.40,      3858.60,      3834.80,      3848.55,-8.75
,Nifty Fin Service,      8091.30,      8124.70,      8129.20,      8047.65,      8092.35,1.05
,Nifty50 Div Point,        85.31,        85.31,        85.31,        85.31,        85.31,0
,Nifty100 Liq 15,      3804.10,      3790.50,      3818.50,      3784.45,      3815.55,11.45
,Nifty CPSE,      2420.55,      2429.25,      2429.40,      2396.00,      2402.40,-18.15
,Nifty GrowSect 15,      5430.30,      5439.70,      5439.70,      5406.10,      5413.60,-16.7
,Nifty50 PR 2x Lev,      3428.85,      3438.35,      3438.35,      3392.75,      3414.35,-14.5
,Nifty50 PR 1x Inv,       466.05,       465.45,       468.55,       465.45,       467.05,1
,Nifty50 TR 2x Lev,      4112.55,      4123.90,      4123.90,      4069.25,      4095.20,-17.35
,Nifty50 TR 1x Inv,       425.55,       425.00,       427.80,       425.00,       426.50,.95
,Nifty50 Value 20,      3796.65,      3803.25,      3808.00,      3776.50,      3788.10,-8.55
,Nifty Mid Liq 15,      3433.70,      3422.75,      3434.35,      3408.50,      3429.50,-4.2
,Nifty Pvt Bank,     11082.35,     11143.00,     11152.85,     11049.00,     11134.45,52.1
,Nifty Quality 30,      2220.90,      2220.35,      2224.10,      2211.15,      2214.35,-6.55
,Nifty GS 8 13Yr,      1638.61,      1638.94,      1639.38,      1637.51,      1637.69,-.92
,Nifty GS 10Yr,      1556.58,      1556.88,      1558.93,      1555.70,      1556.12,-.46
,Nifty GS 10Yr Cln,       981.75,       981.75,       983.05,       981.00,       981.26,-.49
,Nifty GS 4 8Yr,      1689.79,      1690.13,      1691.96,      1689.69,      1690.56,.77
,Nifty GS 11 15Yr,      1716.04,      1716.38,      1717.20,      1715.39,      1715.67,-.37
,Nifty GS 15YrPlus,      1831.66,      1832.02,      1832.02,      1832.02,      1832.02,.36
,Nifty GS Compsite,      1674.10,      1674.43,      1675.33,      1673.73,      1673.94,-.16

,ADVANCES,679
,DECLINES,952
,UNCHANGED,73

,Total securities that have hit their price bands today,108

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,ARVIND,EQ,       360.40,       403.45,11.95,1125.4
,ICICIBANK,EQ,       284.55,       289.25,1.65,656.37
,ADANIPORTS,EQ,       285.65,       312.80,9.5,625.5
,INFRATEL,EQ,       369.80,       379.35,2.58,455.27
,AXISBANK,EQ,       521.55,       529.10,1.45,387.69
,TATASTEEL,EQ,       426.05,       415.25,-2.53,361.03
,DRREDDY,EQ,      3089.25,      3200.60,3.6,349.51
,ASIANPAINT,EQ,      1127.50,      1139.75,1.09,341.64
,ZEEL,EQ,       512.05,       513.95,0.37,327.28
,TATAMOTORS,EQ,       559.80,       553.80,-1.07,315.85
,INFY,EQ,      1027.10,      1017.20,-0.96,288.12
,KOTAKBANK,EQ,       787.35,       786.55,-0.1,257.4
,FEDERALBNK,EQ,        75.00,        81.20,8.27,250.53
,SBIN,EQ,       262.95,       261.45,-0.57,237.94
,ONGC,EQ,       292.35,       288.75,-1.23,225.32
,TCS,EQ,      2427.70,      2398.45,-1.2,212.79
,TATACHEM,EQ,       578.25,       566.65,-2.01,208.19
,MARUTI,EQ,      5713.90,      5781.45,1.18,195.63
,VEDL,EQ,       202.35,       203.95,0.79,190.98
,M&M,EQ,      1339.25,      1303.90,-2.64,190.53
,RELIANCE,EQ,      1063.30,      1060.85,-0.23,185.53
,YESBANK,EQ,      1310.80,      1308.45,-0.18,176.25
,HDFCBANK,EQ,      1263.55,      1250.30,-1.05,172.37
,WIPRO,EQ,       483.95,       481.40,-0.53,167.66
,HINDUNILVR,EQ,       848.35,       832.35,-1.89,161.34

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ADANIPORTS,EQ,       312.80,       285.65,9.5
,DRREDDY,EQ,      3200.60,      3089.25,3.6
,INFRATEL,EQ,       379.35,       369.80,2.58
,BHARTIARTL,EQ,       311.80,       306.65,1.68
,ICICIBANK,EQ,       289.25,       284.55,1.65

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,M&M,EQ,      1303.90,      1339.25,-2.64
,TATASTEEL,EQ,       415.25,       426.05,-2.53
,GAIL,EQ,       435.05,       444.05,-2.03
,IDEA,EQ,        75.30,        76.80,-1.95
,HINDUNILVR,EQ,       832.35,       848.35,-1.89

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        39.60,                  5847418.45,147302
,3IINFOTECH,EQ,         6.30,                 31959126.10,5075551
,3MINDIA,EQ,     13047.00,                  4041066.55,310
,8KMILES,EQ,       755.60,                 18569093.50,24413
,A2ZINFRA,EQ,        41.80,                 99287965.05,2428685
,AARTIDRUGS,EQ,       652.75,                 17830944.55,27410
,AARTIIND,EQ,       757.60,                 62525220.60,83071
,AARVEEDEN,EQ,        93.35,                  4145950.95,43891
,ABAN,EQ,       277.40,               1006681539.10,3580543
,ABBOTINDIA,EQ,      4719.55,                  6201051.40,1316
,ABFRL,EQ,       163.30,                322561586.70,1990975
,ABGSHIP,EQ,        36.75,                 26122410.70,705852
,ABIRLANUVO,EQ,      1386.75,                229539062.70,165455
,ABMINTLTD,BE,        95.00,                     8550.00,90
,ACCELYA,EQ,      1379.90,                   849947.50,618
,ACE,EQ,        46.25,                 21272649.75,458046
,ADANIENT,EQ,        67.50,                461145783.70,6806517
,ADANIPOWER,EQ,        25.80,                628321057.25,24281634
,ADANITRANS,EQ,        43.45,                 66706767.00,1555481
,ADFFOODS,EQ,       151.60,                 38156748.85,249422
,ADHUNIK,EQ,         8.35,                  4066113.60,476517
,ADHUNIKIND,EQ,       113.75,                  3282343.95,28982
,ADI,EQ,       503.70,                 21678250.50,44433
,ADLABS,EQ,       110.85,                177330680.30,1610801
,ADORWELD,EQ,       325.20,                147609585.60,456802
,ADSL,EQ,        33.30,                  5161274.10,152880
,ADVANIHOTR,EQ,        58.30,                   179501.70,3088
,ADVENZYMES,EQ,      2352.75,                755852467.65,322167
,AEGISCHEM,EQ,       157.70,                 28278406.60,179814
,AFL,EQ,        60.10,                  2375606.60,39470
,AGARIND,EQ,       297.65,                  4874521.15,16242
,AGCNET,EQ,        84.35,                   658262.70,7752
,AGRITECH,EQ,        41.30,                  1598329.60,37728
,AGRODUTCH,BZ,         2.35,                      117.50,50
,AHLEAST,EQ,       216.40,                    54840.35,259
,AHLUCONT,EQ,       291.25,                  3339941.20,11472
,AHLWEST,EQ,       207.10,                   177355.85,863
,AIAENG,EQ,      1253.50,                 23096231.10,18333
,AICHAMP,BE,        24.65,                      147.95,6
,AIFL,EQ,       432.50,                 26381276.15,60647
,AJANTPHARM,EQ,      1996.50,                202197610.00,101771
,AJMERA,EQ,       159.00,                 97058278.05,608933
,AKSHOPTFBR,EQ,        26.25,                150733636.25,5728929
,AKZOINDIA,EQ,      1645.95,                 14563111.10,8811
,ALANKIT,EQ,        73.40,                 32957811.80,449849
,ALBERTDAVD,EQ,       393.80,                 57991180.25,141873
,ALBK,EQ,        78.15,                206389887.85,2631311
,ALCHEM,EQ,        26.55,                    62843.30,2353
,ALEMBICLTD,EQ,        42.65,                 10206524.65,237143
,ALICON,EQ,       455.90,                  5285567.95,11428
,ALKALI,EQ,        90.55,                  3343614.55,36902
,ALKEM,EQ,      1663.65,                 22018353.70,13193
,ALKYLAMINE,EQ,       380.75,                 17437558.10,45777
,ALLCARGO,EQ,       180.65,                 10274232.65,56925
,ALLSEC,EQ,       305.80,                 42160804.40,140657
,ALMONDZ,EQ,        17.15,                 10454387.70,556943
,ALOKTEXT,EQ,         3.50,                 14521029.25,4125361
,ALPA,BE,        43.70,                   180262.50,4125
,ALPHAGEO,EQ,      1063.45,                 20975782.50,19502
,ALPSINDUS,EQ,         7.55,                  1433919.50,192088
,AMARAJABAT,EQ,      1032.30,                326531952.05,313302
,AMBIKCO,EQ,      1005.65,                 13297268.70,13237
,AMDIND,EQ,        36.95,                  1761851.00,48067
,AMRUTANJAN,EQ,       622.95,                 27154129.90,43305
,AMTEKAUTO,EQ,        44.85,                 41903824.15,930207
,AMTL,EQ,        31.45,                   176306.40,5537
,ANANTRAJ,EQ,        55.95,                 33576691.35,595595
,ANDHRABANK,EQ,        57.30,                 99603620.15,1739102
,ANDHRACEMT,EQ,         8.70,                  1508272.60,170911
,ANDHRSUGAR,EQ,       229.90,                 11112477.65,48114
,ANGIND,EQ,        16.85,                 11910398.55,706523
,ANKITMETAL,EQ,         2.20,                   345015.45,153877
,ANSALAPI,EQ,        19.25,                  1884241.25,97461
,ANSALHSG,EQ,        26.95,                   523672.85,19214
,ANTGRAPHIC,BE,         1.50,                   432873.80,290365
,APARINDS,EQ,       594.20,                  9211966.10,15465
,APCOTEXIND,EQ,       368.85,                  3666028.75,9944
,APLAPOLLO,EQ,       922.10,                  3180769.40,3436
,APLLTD,EQ,       672.40,                263953760.10,393374
,APOLLOTYRE,EQ,       212.05,                444619529.85,2096346
,APOLSINHOT,EQ,       319.50,                    15976.25,50
,APTECHT,EQ,       216.80,                665546486.10,3021428
,ARCHIDPLY,EQ,        71.75,                  6267009.65,86878
,ARCHIES,EQ,        26.55,                  2081579.20,78378
,ARCOTECH,EQ,       368.50,                 38043497.40,104015
,ARIES,EQ,       138.40,                  5738920.60,41222
,ARIHANT,EQ,        70.85,                   121055.40,1693
,ARMANFIN,EQ,       282.10,                  4123474.60,14561
,AROGRANITE,EQ,        76.60,                  7384107.60,95951
,ARROWGREEN,EQ,       457.75,                  1547166.25,3368
,ARROWTEX,EQ,        43.85,                  1125016.40,25625
,ARSHIYA,EQ,        31.80,                  1981617.55,63017
,ARSSINFRA,EQ,        81.20,                 26922140.60,330546
,ARTNIRMAN,SM,        28.75,                  1004100.00,36000
,ARVIND,EQ,       403.45,              11254013260.55,29117833
,ARVINFRA,EQ,        96.15,                 56426582.80,578674
,ASAHIINDIA,EQ,       200.10,                  6677421.05,33200
,ASAHISONG,EQ,       246.70,                  5544027.15,22387
