,02-Nov-2016
The Nifty witnessed an intraday movement of about 44.65 points.The closing index was 1.3 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 18578.25
, Traded Quantity (in Lakhs), 9475.88
, Number of Trades, 8179642
, Total Market Capitalisation (Rs. Crores), 10993729.93

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      8626.25,      8542.80,      8549.50,      8504.85,      8514.00,-112.25
,Nifty IT,      9990.60,      9903.80,      9933.55,      9861.15,      9871.25,-119.35
,Nifty Next 50,     23648.95,     23436.25,     23436.25,     23196.85,     23225.40,-423.55
,Nifty Bank,     19458.60,     19223.50,     19296.55,     19158.75,     19227.90,-230.7
,Nifty MID100 Free,     15933.50,     15787.20,     15787.20,     15578.90,     15598.80,-334.7
,Nifty 500,      7502.20,      7433.55,      7433.55,      7383.30,      7391.40,-110.8
,Nifty 100,      8904.40,      8819.25,      8820.85,      8771.55,      8781.10,-123.3
,Nifty Midcap 50,      4113.30,      4068.30,      4068.30,      4006.10,      4013.95,-99.35
,Nifty Realty,       209.05,       207.40,       207.45,       202.95,       203.40,-5.65
,Nifty Infra,      2867.30,      2841.50,      2851.15,      2828.80,      2834.75,-32.55
,Nifty Energy,     10137.50,     10040.45,     10040.45,      9899.40,      9919.45,-218.05
,Nifty FMCG,     21370.40,     21189.15,     21314.10,     21084.40,     21195.90,-174.5
,Nifty MNC,     10449.20,     10360.90,     10417.50,     10328.10,     10343.50,-105.7
,Nifty Pharma,     11530.15,     11489.15,     11489.55,     11255.20,     11268.90,-261.25
,Nifty PSE,      3769.10,      3731.20,      3731.20,      3695.05,      3701.10,-68
,Nifty PSU Bank,      3177.55,      3121.35,      3136.15,      3062.85,      3067.45,-110.1
,Nifty Serv Sector,     10947.95,     10834.35,     10852.70,     10801.70,     10816.50,-131.45
,India VIX,15.7350,15.7350,17.2625,15.1225,16.7975,1.0625
,Nifty Auto,     10105.55,     10000.30,     10042.10,      9962.15,      9973.80,-131.75
,Nifty Metal,      2781.00,      2738.25,      2771.60,      2726.65,      2756.75,-24.25
,Nifty Media,      2912.05,      2872.40,      2883.75,      2855.15,      2864.50,-47.55
,Nifty SML100 Free,      6501.70,      6444.25,      6444.80,      6367.15,      6376.60,-125.1
,Nifty 200,      4654.20,      4610.10,      4610.10,      4580.50,      4585.65,-68.55
,Nifty Div Opps 50,      2159.85,      2141.20,      2141.25,      2123.65,      2125.40,-34.45
,Nifty Commodities,      3194.30,      3160.00,      3163.70,      3128.55,      3133.80,-60.5
,Nifty Consumption,      3838.50,      3808.50,      3834.10,      3794.05,      3812.15,-26.35
,Nifty Fin Service,      8059.05,      7965.35,      7991.75,      7928.75,      7965.80,-93.25
,Nifty50 Div Point,        87.92,        87.92,        87.92,        87.92,        87.92,0
,Nifty100 Liq 15,      3716.80,      3667.25,      3670.60,      3636.60,      3642.40,-74.4
,Nifty CPSE,      2413.40,      2385.95,      2385.95,      2348.95,      2356.75,-56.65
,Nifty GrowSect 15,      5367.90,      5333.15,      5338.90,      5302.45,      5307.75,-60.15
,Nifty50 PR 2x Lev,      3359.10,      3293.55,      3298.60,      3264.90,      3271.10,-88
,Nifty50 PR 1x Inv,       471.10,       475.75,       477.75,       475.40,       477.30,6.2
,Nifty50 TR 2x Lev,      4031.35,      3952.65,      3958.75,      3918.30,      3925.70,-105.65
,Nifty50 TR 1x Inv,       430.05,       434.30,       436.10,       433.95,       435.70,5.65
,Nifty50 Value 20,      3709.75,      3672.55,      3674.05,      3651.50,      3655.30,-54.45
,Nifty Mid Liq 15,      3390.00,      3353.25,      3353.90,      3300.85,      3308.45,-81.55
,Nifty Pvt Bank,     10874.80,     10749.70,     10816.20,     10723.30,     10788.10,-86.7
,Nifty Quality 30,      2193.65,      2176.35,      2176.85,      2162.50,      2164.05,-29.6
,Nifty GS 8 13Yr,      1635.03,      1635.36,      1636.55,      1633.50,      1636.00,.97
,Nifty GS 10Yr,      1552.41,      1552.70,      1554.15,      1550.01,      1553.08,.67
,Nifty GS 10Yr Cln,       977.78,       977.78,       978.70,       976.06,       978.02,.24
,Nifty GS 4 8Yr,      1688.84,      1689.18,      1690.18,      1687.85,      1689.83,.99
,Nifty GS 11 15Yr,      1711.88,      1712.22,      1714.20,      1710.01,      1713.79,1.91
,Nifty GS 15YrPlus,      1827.34,      1827.70,      1827.70,      1824.76,      1825.03,-2.31
,Nifty GS Compsite,      1671.16,      1671.49,      1672.81,      1669.79,      1672.44,1.28

,ADVANCES,316
,DECLINES,1336
,UNCHANGED,50

,Total securities that have hit their price bands today,103

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,AXISBANK,EQ,       475.80,       476.80,0.21,468.67
,M&M,EQ,      1326.35,      1369.30,3.24,411.62
,VEDL,EQ,       219.80,       218.25,-0.71,404.18
,ICICIBANK,EQ,       275.35,       271.90,-1.25,372.7
,YESBANK,EQ,      1249.45,      1209.65,-3.19,356.64
,SBIN,EQ,       258.95,       251.05,-3.05,345.66
,TATASTEEL,EQ,       417.70,       413.35,-1.04,305.32
,MARUTI,EQ,      5878.10,      5794.60,-1.42,303.99
,ONGC,EQ,       289.15,       277.25,-4.12,275.4
,INDUSINDBK,EQ,      1214.25,      1229.45,1.25,271.87
,TCS,EQ,      2350.00,      2304.05,-1.96,269.13
,INFY,EQ,       989.45,       981.05,-0.85,264.17
,TATAMOTORS,EQ,       530.60,       513.30,-3.26,245.9
,HDFC,EQ,      1417.20,      1404.35,-0.91,240.78
,SUNPHARMA,EQ,       733.75,       714.05,-2.68,236.05
,HDFCBANK,EQ,      1259.80,      1246.15,-1.08,202.49
,CENTURYTEX,EQ,      1023.90,       997.60,-2.57,184.88
,HINDALCO,EQ,       156.95,       156.50,-0.29,176.15
,RELIANCE,EQ,      1051.00,      1023.75,-2.59,165.7
,MOIL,EQ,       360.10,       378.10,5,152.15
,ADANIPORTS,EQ,       305.15,       299.90,-1.72,148.97
,CAIRN,EQ,       242.70,       240.95,-0.72,148.85
,TECHM,EQ,       433.55,       429.80,-0.86,145.87
,LT,EQ,      1463.15,      1448.65,-0.99,143.9
,PNB,EQ,       143.90,       136.70,-5,143.04

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,M&M,EQ,      1369.30,      1326.35,3.24
,INFRATEL,EQ,       366.30,       355.45,3.05
,INDUSINDBK,EQ,      1229.45,      1214.25,1.25
,NTPC,EQ,       156.50,       155.00,.97
,HINDUNILVR,EQ,       841.10,       835.25,.7

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ONGC,EQ,       277.25,       289.15,-4.12
,TATAMTRDVR,EQ,       335.05,       348.55,-3.87
,BANKBARODA,EQ,       150.00,       155.30,-3.41
,TATAMOTORS,EQ,       513.30,       530.60,-3.26
,BHEL,EQ,       137.00,       141.55,-3.21

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        40.00,                  9839859.05,245622
,3IINFOTECH,EQ,         6.45,                 23325955.95,3589860
,3MINDIA,EQ,     13057.15,                  5126880.70,392
,8KMILES,EQ,       768.85,                 18819752.65,24299
,A2ZINFRA,EQ,        47.65,                131268407.20,2719496
,AARTIDRUGS,EQ,       654.75,                 11930986.55,18119
,AARTIIND,EQ,       735.25,                 12225222.95,16573
,AARVEEDEN,EQ,        97.85,                  5252991.80,52699
,ABAN,EQ,       258.15,                342452978.85,1314150
,ABBOTINDIA,EQ,      4790.75,                  9171202.00,1901
,ABFRL,EQ,       159.05,                 55582197.70,350279
,ABGSHIP,EQ,        33.30,                 11742585.75,348078
,ABIRLANUVO,EQ,      1351.10,                409613501.50,301393
,ACCELYA,EQ,      1410.20,                  2665658.85,1891
,ACE,EQ,        55.65,                305270248.80,5307515
,ADANIENT,EQ,        64.75,                197228248.30,3024115
,ADANIPOWER,EQ,        26.55,                132032891.90,4950453
,ADANITRANS,EQ,        45.30,                 40103302.50,878762
,ADFFOODS,EQ,       175.10,                 31398649.25,176350
,ADHUNIK,EQ,         7.95,                   635959.05,78859
,ADHUNIKIND,EQ,       111.50,                  9787932.15,87687
,ADI,EQ,       509.35,                  3477785.75,6939
,ADLABS,EQ,       100.60,                 23645656.10,233967
,ADORWELD,EQ,       307.80,                  1990948.30,6501
,ADSL,EQ,        33.05,                 13317030.60,397721
,ADVANIHOTR,EQ,        58.60,                 13618855.40,222244
,ADVENZYMES,EQ,      2101.05,                591236409.05,277223
,AEGISCHEM,EQ,       154.25,                 42059981.00,272911
,AFL,EQ,        69.60,                  9586717.70,136459
,AGARIND,EQ,       327.00,                  9706410.25,29489
,AGCNET,EQ,        86.75,                  1549509.90,17670
,AGRITECH,EQ,        39.10,                   265105.90,6746
,AGRODUTCH,BZ,         2.15,                     4835.00,2250
,AHLEAST,EQ,       218.55,                    95104.55,436
,AHLUCONT,EQ,       290.75,                  1198700.45,4124
,AHLWEST,EQ,       220.35,                    98918.00,457
,AIAENG,EQ,      1291.65,                 22070209.25,17174
,AIFL,EQ,       429.95,                 15415875.15,35691
,AJANTPHARM,EQ,      1957.85,                294890916.55,150186
,AJMERA,EQ,       153.05,                  4177371.10,27178
,AKSHOPTFBR,EQ,        28.50,                222854024.45,7735234
,AKZOINDIA,EQ,      1663.25,                 35373931.90,21423
,ALANKIT,EQ,        66.55,                 26362949.60,393493
,ALBERTDAVD,EQ,       375.15,                  2020855.20,5381
,ALBK,EQ,        73.50,                197609370.10,2683228
,ALCHEM,EQ,        25.30,                   318452.80,12527
,ALEMBICLTD,EQ,        40.45,                  7378187.50,180316
,ALICON,EQ,       451.40,                  3547940.05,7831
,ALKALI,EQ,        81.00,                  6562596.25,78674
,ALKEM,EQ,      1636.65,                 30632706.80,18644
,ALKYLAMINE,EQ,       333.85,                  5606547.90,16885
,ALLCARGO,EQ,       193.15,                 29804458.25,154072
,ALLSEC,EQ,       317.75,                 33019380.05,105113
,ALMONDZ,EQ,        17.60,                   293531.65,16722
,ALOKTEXT,EQ,         3.40,                  6767241.15,1992245
,ALPA,BE,        39.05,                  1022728.10,26188
,ALPHAGEO,EQ,       998.85,                 23684785.55,23560
,ALPSINDUS,EQ,         7.35,                   339813.10,46413
,AMARAJABAT,EQ,      1030.35,                265962262.00,258259
,AMBIKCO,EQ,      1029.85,                  6778677.25,6533
,AMDIND,EQ,        37.95,                  1930232.05,52439
,AMRUTANJAN,EQ,       579.50,                 19620183.00,33497
,AMTEKAUTO,EQ,        43.45,                 49724961.45,1141168
,AMTL,EQ,        30.70,                   151753.05,4968
,ANANTRAJ,EQ,        54.50,                 55164321.05,1005069
,ANDHRABANK,EQ,        54.50,                117499184.15,2142650
,ANDHRACEMT,EQ,         8.60,                  1955655.25,226073
,ANDHRSUGAR,EQ,       252.85,                 64478602.70,251889
,ANGIND,EQ,        13.85,                   806026.95,57412
,ANKITMETAL,EQ,         2.20,                   258487.55,120649
,ANSALAPI,EQ,        19.40,                  1311021.10,67107
,ANSALHSG,EQ,        27.10,                   628318.30,23213
,ANTGRAPHIC,BE,         1.30,                     1424.80,1096
,APARINDS,EQ,       575.90,                  9089676.60,15715
,APCOTEXIND,EQ,       365.30,                  1056105.75,2888
,APLAPOLLO,EQ,       896.75,                 14922366.00,16695
,APLLTD,EQ,       671.65,                 69135312.50,103059
,APOLLOTYRE,EQ,       199.20,                380519310.90,1886663
,APOLSINHOT,EQ,       336.00,                     1008.00,3
,APTECHT,EQ,       201.85,                215378434.35,1053698
,ARCHIDPLY,EQ,        67.70,                  6522484.15,95583
,ARCHIES,EQ,        25.00,                  2595615.40,103198
,ARCOTECH,EQ,       362.65,                 39248278.35,108359
,ARIES,EQ,       131.55,                  9571313.65,72353
,ARIHANT,EQ,        66.00,                    19257.05,277
,ARMANFIN,EQ,       277.25,                  1667880.70,6001
,AROGRANITE,EQ,        74.70,                  5312822.95,70750
,ARROWGREEN,EQ,       444.40,                  2008579.40,4522
,ARROWTEX,EQ,        43.30,                  2886136.60,66518
,ARSHIYA,EQ,        33.00,                  2061059.75,62012
,ARSSINFRA,EQ,        80.60,                 15028589.15,185153
,ARVIND,EQ,       411.95,                722283366.55,1747825
,ARVINFRA,EQ,        90.75,                  6436105.20,70672
,ASAHIINDIA,EQ,       190.15,                 10932438.00,57600
,ASAHISONG,EQ,       246.80,                  6658885.65,26841
,ASAL,EQ,        65.70,                  6246865.65,94748
,ASHAPURMIN,EQ,        70.35,                 41493298.05,582538
,ASHIANA,EQ,       147.90,                  1680030.95,11388
,ASHIMASYN,EQ,        18.05,                  4966545.30,271262
,ASHOKA,EQ,       160.60,                  5137956.00,31714
,ASIANHOTNR,EQ,       110.00,                   221933.15,2025
,ASIANTILES,EQ,       265.55,                 20692947.25,77063
,ASPINWALL,BE,       214.05,                   259430.00,1220
,ASSAMCO,EQ,         5.50,                  3987033.70,723481
,ASTEC,EQ,       639.55,                778424186.80,1202442
,ASTRAL,EQ,       439.10,                  5960088.75,13545
,ASTRAMICRO,EQ,       116.10,                 17919093.40,154614
,ASTRAZEN,EQ,      1007.30,                  8127774.75,8065
,ATFL,EQ,       473.60,                  2451356.55,5147
,ATLANTA,EQ,        72.25,                 12679826.15,174812
,ATLASCYCLE,EQ,       378.90,                 15288283.75,40003
,ATNINTER,BE,          .40,                      203.60,509
,ATUL,EQ,      2240.65,                 27748949.90,12339
,ATULAUTO,EQ,       495.05,                 26932736.45,54627
,AURDIS,SM,        70.45,                  3871600.00,56000
,AURIONPRO,EQ,       116.65,                  1436855.70,12312
,AUSOMENT,EQ,        23.15,                    20912.50,950
,AUSTRAL,EQ,          .40,                    13616.45,36174
,AUTOAXLES,EQ,       736.85,                 13144738.40,17821
,AUTOIND,EQ,        59.25,                  3385725.30,56656
