,15-Nov-2016
The Nifty witnessed an intraday movement of about 195.35 points.The closing index was 2.26 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 32457.78
, Traded Quantity (in Lakhs), 13657.6
, Number of Trades, 12482466
, Total Market Capitalisation (Rs. Crores), 10260299.26

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      8296.30,      8284.85,      8288.55,      8093.20,      8108.45,-187.85
,Nifty IT,      9434.60,      9478.50,      9565.85,      9295.25,      9487.00,52.4
,Nifty Next 50,     22033.45,     22028.75,     22028.75,     20889.00,     21066.65,-966.8
,Nifty Bank,     19738.80,     19808.35,     19861.75,     19240.45,     19289.75,-449.05
,Nifty MID100 Free,     14854.70,     14879.25,     14879.25,     14172.85,     14303.20,-551.5
,Nifty 500,      7126.50,      7120.90,      7122.20,      6902.90,      6916.45,-210.05
,Nifty 100,      8518.45,      8508.35,      8510.95,      8281.05,      8296.05,-222.4
,Nifty Midcap 50,      3790.55,      3796.20,      3796.20,      3610.10,      3643.40,-147.15
,Nifty Realty,       168.35,       167.20,       168.00,       158.70,       159.70,-8.65
,Nifty Infra,      2741.75,      2737.30,      2744.20,      2680.70,      2700.45,-41.3
,Nifty Energy,      9807.45,      9763.75,      9785.95,      9574.90,      9658.30,-149.15
,Nifty FMCG,     20825.90,     20814.30,     20814.30,     20217.60,     20307.95,-517.95
,Nifty MNC,      9722.35,      9722.25,      9737.80,      9327.60,      9358.20,-364.15
,Nifty Pharma,     10901.25,     10955.75,     10991.60,     10686.25,     10747.90,-153.35
,Nifty PSE,      3673.10,      3660.25,      3685.60,      3563.85,      3604.45,-68.65
,Nifty PSU Bank,      3320.25,      3361.20,      3453.00,      3297.45,      3395.35,75.1
,Nifty Serv Sector,     10566.90,     10591.45,     10601.35,     10339.05,     10378.10,-188.8
,India VIX,17.3650,17.3650,20.8350,16.4550,20.1450,2.7800
,Nifty Auto,      9308.30,      9199.00,      9203.90,      8771.35,      8828.60,-479.7
,Nifty Metal,      2810.65,      2786.55,      2812.90,      2659.25,      2668.10,-142.55
,Nifty Media,      2737.55,      2745.45,      2759.80,      2610.90,      2628.60,-108.95
,Nifty SML100 Free,      5932.00,      5948.85,      5949.75,      5647.85,      5668.05,-263.95
,Nifty 200,      4434.50,      4430.75,      4431.65,      4305.45,      4312.80,-121.7
,Nifty Div Opps 50,      2055.90,      2052.65,      2054.40,      2006.75,      2011.40,-44.5
,Nifty Commodities,      3069.70,      3053.75,      3057.70,      2938.05,      2945.75,-123.95
,Nifty Consumption,      3556.40,      3557.75,      3558.40,      3406.10,      3440.75,-115.65
,Nifty Fin Service,      7861.80,      7867.00,      7874.45,      7617.00,      7664.75,-197.05
,Nifty50 Div Point,        90.12,        90.12,        90.12,        90.12,        90.12,0
,Nifty100 Liq 15,      3618.80,      3599.85,      3603.00,      3475.15,      3484.30,-134.5
,Nifty CPSE,      2344.55,      2336.60,      2362.85,      2267.75,      2283.95,-60.6
,Nifty GrowSect 15,      5026.80,      5033.30,      5041.30,      4919.60,      4946.85,-79.95
,Nifty50 PR 2x Lev,      3097.40,      3087.15,      3087.35,      2944.55,      2955.45,-141.95
,Nifty50 PR 1x Inv,       490.05,       491.00,       502.30,       491.00,       501.40,11.35
,Nifty50 TR 2x Lev,      3719.20,      3706.85,      3707.10,      3535.60,      3548.75,-170.45
,Nifty50 TR 1x Inv,       447.25,       448.10,       458.40,       448.10,       457.60,10.35
,Nifty50 Value 20,      3587.80,      3589.20,      3595.45,      3541.85,      3554.20,-33.6
,Nifty Mid Liq 15,      3126.65,      3131.30,      3131.30,      2977.90,      3033.55,-93.1
,Nifty Pvt Bank,     10936.85,     10957.75,     10968.85,     10546.45,     10574.95,-361.9
,Nifty Quality 30,      2070.05,      2072.70,      2074.80,      2018.50,      2031.90,-38.15
,Nifty GS 8 13Yr,      1647.51,      1647.84,      1663.63,      1647.71,      1663.62,16.11
,Nifty GS 10Yr,      1566.38,      1566.67,      1581.30,      1566.10,      1581.30,14.92
,Nifty GS 10Yr Cln,       984.24,       984.24,       993.55,       983.87,       993.55,9.31
,Nifty GS 4 8Yr,      1703.07,      1703.40,      1718.02,      1703.40,      1718.02,14.95
,Nifty GS 11 15Yr,      1726.69,      1727.04,      1744.39,      1726.94,      1744.39,17.7
,Nifty GS 15YrPlus,      1843.78,      1844.14,      1867.36,      1844.14,      1867.27,23.49
,Nifty GS Compsite,      1684.68,      1685.01,      1700.36,      1684.90,      1700.36,15.68

,ADVANCES,169
,DECLINES,1518
,UNCHANGED,26

,Total securities that have hit their price bands today,152

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,MARUTI,EQ,      5134.25,      4846.60,-5.6,1366.97
,SBIN,EQ,       273.00,       278.20,1.9,1352.59
,ICICIBANK,EQ,       276.40,       269.75,-2.41,940.96
,HDFC,EQ,      1268.35,      1225.75,-3.36,794.33
,BANKBARODA,EQ,       160.50,       174.30,8.6,780.44
,TATAMOTORS,EQ,       507.30,       457.40,-9.84,718.44
,TCS,EQ,      2101.15,      2121.30,0.96,665.83
,HINDPETRO,EQ,       448.80,       444.25,-1.01,616.63
,AXISBANK,EQ,       498.75,       479.30,-3.9,576.79
,YESBANK,EQ,      1214.90,      1157.45,-4.73,547.28
,HINDALCO,EQ,       172.30,       167.75,-2.64,531.27
,ITC,EQ,       242.95,       237.50,-2.24,511.81
,ASIANPAINT,EQ,       962.30,       890.80,-7.43,480.2
,ULTRACEMCO,EQ,      3634.10,      3364.15,-7.43,465.45
,VEDL,EQ,       229.80,       209.55,-8.81,431.29
,INFY,EQ,       921.55,       923.55,0.22,427.02
,BPCL,EQ,       649.60,       643.60,-0.92,422.51
,INDUSINDBK,EQ,      1192.35,      1093.10,-8.32,413.75
,BHARATFIN,EQ,       690.95,       633.30,-8.34,408.77
,SUNPHARMA,EQ,       688.00,       682.45,-0.81,400.39
,HDFCBANK,EQ,      1275.80,      1254.75,-1.65,396.08
,TATASTEEL,EQ,       426.50,       393.05,-7.84,370.8
,LT,EQ,      1388.80,      1370.30,-1.33,364.37
,BAJFINANCE,EQ,       858.10,       815.05,-5.02,349.78
,RELIANCE,EQ,      1001.75,       985.40,-1.63,327.45

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BANKBARODA,EQ,       174.30,       160.50,8.6
,IDEA,EQ,        71.35,        69.95,2
,SBIN,EQ,       278.20,       273.00,1.9
,DRREDDY,EQ,      3310.70,      3256.25,1.67
,WIPRO,EQ,       447.95,       442.35,1.27

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TATAMOTORS,EQ,       457.40,       507.30,-9.84
,TATAMTRDVR,EQ,       297.05,       328.65,-9.62
,GRASIM,EQ,       819.30,       899.00,-8.87
,INDUSINDBK,EQ,      1093.10,      1192.35,-8.32
,TATASTEEL,EQ,       393.05,       426.50,-7.84

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        36.15,                  7746586.35,212023
,3IINFOTECH,EQ,         5.65,                 11828277.15,2079107
,3MINDIA,EQ,     12443.10,                 12741752.20,1029
,8KMILES,EQ,       694.15,                 19464129.05,27593
,A2ZINFRA,EQ,        36.45,                 21444529.70,579958
,AARTIDRUGS,EQ,       591.40,                  6698419.70,11184
,AARTIIND,EQ,       691.45,                 18344148.75,26936
,AARVEEDEN,EQ,        80.35,                  1035525.85,12516
,ABAN,EQ,       209.10,                172242109.65,801038
,ABBOTINDIA,EQ,      4523.05,                 32305339.20,7108
,ABFRL,EQ,       137.15,                 81427023.50,586216
,ABGSHIP,EQ,        29.55,                  9887488.35,331872
,ABIRLANUVO,EQ,      1186.65,                787083248.85,646216
,ACCELYA,EQ,      1398.95,                  3930370.85,2763
,ACE,EQ,        44.50,                 18811821.20,418053
,ACROPETAL,BZ,         1.55,                    35734.90,22958
,ADANIENT,EQ,        61.85,                135365028.40,2180463
,ADANIPOWER,EQ,        24.35,                132728453.35,5384464
,ADANITRANS,EQ,        44.05,                 25173342.85,573219
,ADFFOODS,EQ,       146.90,                 37330687.60,250133
,ADHUNIK,EQ,         7.00,                   746619.60,106306
,ADHUNIKIND,EQ,       109.40,                   375954.60,3177
,ADI,EQ,       473.95,                  5801859.20,12500
,ADLABS,EQ,        86.30,                 16275642.70,188416
,ADORWELD,EQ,       292.10,                  3321611.25,11482
,ADSL,EQ,        26.90,                  5892662.95,213602
,ADVANIHOTR,EQ,        50.00,                  1236710.35,24753
,ADVENZYMES,EQ,      1856.85,                303485976.55,160205
,AEGISCHEM,EQ,       148.10,                 45738797.15,315896
,AFL,EQ,        57.45,                  3792680.05,64490
,AGARIND,EQ,       335.10,                 12539973.50,37506
,AGCNET,EQ,        81.50,                  1231533.70,14750
,AGRITECH,BE,        36.15,                   159926.85,4567
,AHLEAST,EQ,       196.00,                   479625.30,2447
,AHLUCONT,EQ,       250.25,                  3051396.45,12107
,AHLWEST,EQ,       180.10,                   112193.90,613
,AIAENG,EQ,      1235.50,                 73778179.95,60126
,AIFL,EQ,       407.65,                 51621413.40,126415
,AJANTPHARM,EQ,      1702.30,                275596713.35,157996
,AJMERA,EQ,       115.05,                  7398000.35,62292
,AKSHOPTFBR,EQ,        22.35,                203829678.90,8905320
,AKZOINDIA,EQ,      1482.55,                 17473723.95,11835
,ALANKIT,EQ,        51.75,                  1944375.30,37030
,ALBERTDAVD,EQ,       323.60,                  2390728.80,7280
,ALBK,EQ,        72.90,                497282640.55,6730200
,ALCHEM,EQ,        21.25,                   402517.65,18551
,ALEMBICLTD,EQ,        35.10,                  9433407.30,264805
,ALICON,EQ,       402.95,                  3027641.85,7302
,ALKALI,EQ,        65.10,                  3898700.60,59695
,ALKEM,EQ,      1648.65,                198378798.15,117900
,ALKYLAMINE,EQ,       311.45,                  9034410.50,29029
,ALLCARGO,EQ,       175.90,                 49224671.95,274357
,ALLSEC,EQ,       299.15,                 15910690.50,53602
,ALMONDZ,EQ,        12.45,                   183731.35,14835
,ALOKTEXT,EQ,         2.90,                 20973490.60,7198678
,ALPA,BE,        35.25,                    84318.00,2392
,ALPHAGEO,EQ,       888.40,                 36787446.95,41003
,ALPSINDUS,EQ,         6.50,                   582384.35,88268
,AMARAJABAT,EQ,       874.35,                407986487.70,445372
,AMBIKCO,EQ,      1000.60,                 25457427.60,25449
,AMDIND,EQ,        29.00,                   761561.65,25684
,AMRUTANJAN,EQ,       510.45,                 14017732.80,27305
,AMTEKAUTO,EQ,        35.75,                 28504322.55,787334
,AMTL,EQ,        27.50,                   267772.50,9707
,ANANTRAJ,EQ,        38.15,                 36562185.90,941647
,ANDHRABANK,EQ,        54.85,                309541442.00,5586825
,ANDHRACEMT,EQ,         7.30,                  3015777.15,411285
,ANDHRSUGAR,EQ,       204.90,                 27193008.65,130229
,ANGIND,EQ,        11.60,                   723787.70,62085
,ANIKINDS,BE,        23.70,                     5244.00,220
,ANKITMETAL,EQ,         1.90,                   110129.90,55935
,ANSALAPI,EQ,        16.70,                   747609.80,44868
,ANSALHSG,EQ,        18.75,                  7285312.70,375994
,ANTGRAPHIC,BE,          .90,                    10355.40,11506
,APARINDS,EQ,       555.60,                 19322485.40,34023
,APCOTEXIND,EQ,       321.00,                  3961909.80,12382
,APLAPOLLO,EQ,       869.15,                 40189448.10,46699
,APLLTD,EQ,       631.55,                 48949456.15,78118
,APOLLOTYRE,EQ,       186.75,                584398606.70,3119302
,APOLSINHOT,EQ,       370.65,                    50881.70,142
,APTECHT,EQ,       166.60,                127601292.45,747023
,ARCHIDPLY,EQ,        54.35,                  9640928.65,172776
,ARCHIES,EQ,        21.75,                  1463053.05,66881
,ARCOTECH,EQ,       349.00,                 35774364.20,101882
,ARIES,EQ,       110.55,                  8405390.15,75510
,ARIHANT,EQ,        52.30,                    94314.80,1762
,ARMANFIN,EQ,       181.50,                 10627689.10,56391
,AROGRANITE,EQ,        68.15,                  3297578.05,47332
,ARROWGREEN,EQ,       461.90,                 17717343.30,36622
,ARROWTEX,EQ,        36.65,                  1872451.10,50900
,ARSHIYA,EQ,        26.20,                  1406347.55,52670
,ARSSINFRA,EQ,        61.70,                 13315112.95,212478
,ARTNIRMAN,SM,        28.00,                   168000.00,6000
,ARVIND,EQ,       330.20,               1394293602.40,4119746
,ARVINFRA,EQ,        72.80,                  5046080.60,68639
,ASAHIINDIA,EQ,       169.70,                169758623.00,996343
,ASAHISONG,EQ,       211.95,                 11184945.45,51300
,ASAL,EQ,        54.20,                   347092.90,6373
,ASHAPURMIN,EQ,        60.10,                  5944411.90,98116
