,28-Nov-2016
The Nifty witnessed an intraday movement of about 80 points.The closing index was 0.16 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 17895.86
, Traded Quantity (in Lakhs), 8627.53
, Number of Trades, 7938861
, Total Market Capitalisation (Rs. Crores), 10474130.21

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      8114.30,      8080.65,      8146.50,      8066.50,      8126.90,12.6
,Nifty IT,     10114.90,     10126.70,     10171.80,     10001.50,     10106.20,-8.7
,Nifty Next 50,     21747.80,     21736.15,     21948.75,     21687.85,     21907.85,160.05
,Nifty Bank,     18507.30,     18237.20,     18471.65,     18187.40,     18301.45,-205.85
,Nifty MID100 Free,     14529.75,     14518.00,     14694.35,     14497.05,     14623.55,93.8
,Nifty 500,      6960.75,      6940.00,      7000.95,      6929.20,      6983.40,22.65
,Nifty 100,      8344.05,      8314.50,      8383.80,      8299.75,      8365.10,21.05
,Nifty Midcap 50,      3639.05,      3630.85,      3684.95,      3621.80,      3660.85,21.8
,Nifty Realty,       163.45,       163.10,       167.65,       162.55,       166.40,2.95
,Nifty Infra,      2707.05,      2703.45,      2756.80,      2698.85,      2748.00,40.95
,Nifty Energy,      9806.45,      9781.95,      9953.20,      9764.50,      9890.10,83.65
,Nifty FMCG,     20157.15,     20131.30,     20461.25,     20078.70,     20426.05,268.9
,Nifty MNC,      9408.20,      9406.60,      9502.40,      9383.15,      9486.15,77.95
,Nifty Pharma,     11085.00,     11100.90,     11168.60,     11054.15,     11110.25,25.25
,Nifty PSE,      3668.85,      3661.80,      3736.35,      3659.35,      3719.70,50.85
,Nifty PSU Bank,      3208.65,      3115.40,      3176.00,      3066.60,      3126.95,-81.7
,Nifty Serv Sector,     10400.50,     10321.40,     10415.65,     10297.00,     10386.70,-13.8
,India VIX,17.6125,17.6125,18.6075,16.8175,18.0550,0.4425
,Nifty Auto,      8780.40,      8780.95,      8883.20,      8771.60,      8826.65,46.25
,Nifty Metal,      2757.45,      2762.00,      2792.30,      2746.00,      2784.60,27.15
,Nifty Media,      2562.35,      2570.60,      2635.90,      2556.25,      2621.05,58.7
,Nifty SML100 Free,      5694.60,      5690.55,      5771.30,      5670.85,      5746.40,51.8
,Nifty 200,      4340.55,      4325.70,      4363.60,      4318.55,      4352.90,12.35
,Nifty Div Opps 50,      2080.60,      2078.65,      2103.45,      2074.90,      2098.40,17.8
,Nifty Commodities,      3016.25,      3013.55,      3059.85,      3010.15,      3050.50,34.25
,Nifty Consumption,      3458.35,      3458.40,      3505.15,      3454.65,      3497.65,39.3
,Nifty Fin Service,      7507.60,      7432.80,      7505.95,      7413.95,      7462.95,-44.65
,Nifty50 Div Point,        90.21,        90.21,        90.21,        90.21,        90.21,0
,Nifty100 Liq 15,      3477.40,      3444.65,      3493.35,      3432.25,      3473.00,-4.4
,Nifty CPSE,      2300.90,      2298.35,      2332.95,      2295.85,      2323.20,22.3
,Nifty GrowSect 15,      5083.35,      5085.00,      5116.45,      5056.35,      5103.25,19.9
,Nifty50 PR 2x Lev,      2952.25,      2926.40,      2974.25,      2916.25,      2960.05,7.8
,Nifty50 PR 1x Inv,       501.45,       503.75,       504.65,       499.70,       500.90,-.55
,Nifty50 TR 2x Lev,      3545.00,      3513.95,      3571.40,      3501.75,      3554.35,9.35
,Nifty50 TR 1x Inv,       457.65,       459.75,       460.55,       456.05,       457.15,-.5
,Nifty50 Value 20,      3604.15,      3583.00,      3611.95,      3571.90,      3600.45,-3.7
,Nifty Mid Liq 15,      3073.10,      3061.25,      3096.85,      3052.70,      3077.80,4.7
,Nifty Pvt Bank,     10200.95,     10077.05,     10193.25,     10043.75,     10110.80,-90.15
,Nifty Quality 30,      2085.30,      2086.35,      2097.50,      2078.50,      2092.90,7.6
,Nifty GS 8 13Yr,      1713.87,      1714.20,      1714.20,      1700.71,      1702.26,-11.61
,Nifty GS 10Yr,      1624.92,      1625.21,      1625.21,      1610.81,      1614.92,-10
,Nifty GS 10Yr Cln,      1019.06,      1019.06,      1019.06,      1009.90,      1012.51,-6.55
,Nifty GS 4 8Yr,      1751.72,      1752.06,      1752.06,      1741.28,      1742.77,-8.95
,Nifty GS 11 15Yr,      1808.70,      1809.05,      1809.05,      1794.30,      1797.03,-11.67
,Nifty GS 15YrPlus,      1957.03,      1957.40,      1957.40,      1942.46,      1942.46,-14.57
,Nifty GS Compsite,      1746.56,      1746.90,      1746.90,      1734.66,      1736.56,-10

,ADVANCES,1053
,DECLINES,571
,UNCHANGED,68

,Total securities that have hit their price bands today,151

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,ICICIBANK,EQ,       260.10,       255.30,-1.85,763.87
,MARUTI,EQ,      4873.60,      4893.75,0.41,678.19
,SBIN,EQ,       260.95,       253.55,-2.84,568.22
,AXISBANK,EQ,       471.20,       472.90,0.36,388.69
,INFY,EQ,       977.50,       979.75,0.23,360.23
,YESBANK,EQ,      1167.70,      1149.60,-1.55,351.5
,HDFC,EQ,      1244.05,      1246.70,0.21,331.67
,VEDL,EQ,       223.25,       228.60,2.4,323.55
,HINDPETRO,EQ,       462.05,       480.80,4.06,284.11
,BPCL,EQ,       639.40,       651.30,1.86,272.32
,TATAMOTORS,EQ,       452.35,       454.70,0.52,229.26
,HINDALCO,EQ,       180.50,       178.65,-1.02,224.66
,EICHERMOT,EQ,     20222.55,     20213.90,-0.04,221.97
,TCS,EQ,      2300.35,      2282.60,-0.77,219.71
,ITC,EQ,       228.80,       233.70,2.14,211.52
,BANKBARODA,EQ,       167.90,       163.05,-2.89,202.99
,TATASTEEL,EQ,       408.75,       406.60,-0.53,190.52
,RELIANCE,EQ,       993.70,       986.65,-0.71,188.48
,SUNPHARMA,EQ,       714.15,       715.15,0.14,186.75
,KOTAKBANK,EQ,       752.15,       750.15,-0.27,171.78
,LT,EQ,      1370.70,      1356.95,-1,161.26
,BAJFINANCE,EQ,       877.90,       879.25,0.15,160.62
,ADANIPORTS,EQ,       265.05,       272.75,2.91,158.39
,PNB,EQ,       140.30,       137.10,-2.28,155.86
,LIQUIDBEES,EQ,      1000.00,      1000.00,0,150.95

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BHARTIARTL,EQ,       318.80,       301.00,5.91
,ZEEL,EQ,       457.70,       439.50,4.14
,TATAPOWER,EQ,        72.70,        70.05,3.78
,BOSCHLTD,EQ,     19407.55,     18840.90,3.01
,IDEA,EQ,        75.80,        73.65,2.92

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BANKBARODA,EQ,       163.05,       167.90,-2.89
,SBIN,EQ,       253.55,       260.95,-2.84
,INDUSINDBK,EQ,      1050.35,      1073.35,-2.14
,ICICIBANK,EQ,       255.30,       260.10,-1.85
,YESBANK,EQ,      1149.60,      1167.70,-1.55

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        35.75,                  1993630.75,55614
,3IINFOTECH,EQ,         5.50,                  7352711.85,1331586
,3MINDIA,EQ,     11284.10,                  3615787.40,320
,8KMILES,EQ,       715.10,                 48913864.05,69479
,A2ZINFRA,EQ,        41.10,                 50224200.45,1244285
,AARTIDRUGS,EQ,       632.55,                  4722003.80,7562
,AARTIIND,EQ,       722.65,                 27625350.35,38087
,AARVEEDEN,EQ,        83.40,                  1232372.50,14664
,ABAN,EQ,       214.85,                163172576.85,757720
,ABBOTINDIA,EQ,      4939.55,                 50211152.10,10326
,ABFRL,EQ,       139.40,                 83458390.45,596759
,ABGSHIP,EQ,        29.20,                  9409455.40,322083
,ABIRLANUVO,EQ,      1212.25,                317177830.30,260934
,ACCELYA,EQ,      1442.75,                  2786872.95,1935
,ACE,EQ,        48.70,                 12546452.65,254729
,ACROPETAL,BZ,         1.45,                     3723.20,2566
,ADANIENT,EQ,        65.60,                164200255.65,2509327
,ADANIPOWER,EQ,        27.25,                594793255.15,22439112
,ADANITRANS,EQ,        62.05,                229182728.70,3620342
,ADFFOODS,EQ,       153.75,                 17981095.25,115807
,ADHUNIK,EQ,         7.05,                   267703.65,37261
,ADHUNIKIND,EQ,       107.10,                  1258805.05,11964
,ADI,EQ,       463.90,                 14174497.05,30549
,ADLABS,EQ,        82.35,                 13877142.45,166152
,ADORWELD,EQ,       285.10,                  2570252.25,8950
,ADSL,EQ,        31.40,                  5919671.95,191264
,ADVANIHOTR,EQ,        49.55,                   164721.15,3335
,ADVENZYMES,EQ,      2100.10,                755342693.60,365441
,AEGISCHEM,EQ,       144.30,                 20560696.30,142435
,AFL,EQ,        61.45,                  2435902.85,40192
,AGARIND,EQ,       302.10,                 12688845.35,42017
,AGCNET,EQ,        84.70,                   742099.05,8845
,AGRITECH,BE,        33.05,                    11772.80,359
,AGRODUTCH,BZ,         1.90,                     2280.00,1200
,AGROPHOS,SM,        21.15,                   253500.00,12000
,AHLEAST,EQ,       186.00,                   903384.60,4906
,AHLUCONT,EQ,       243.35,                 51272606.90,210111
,AHLWEST,EQ,       200.00,                    32989.00,165
,AIAENG,EQ,      1327.45,                 56956296.55,43483
,AIFL,EQ,       419.85,                 34506595.95,82339
,AJANTPHARM,EQ,      1830.95,                118337925.00,64625
,AJMERA,EQ,       130.65,                  7163829.45,55223
,AKSHOPTFBR,EQ,        24.00,                 67094592.30,2776838
,AKZOINDIA,EQ,      1426.05,                  5717277.80,4000
,ALANKIT,EQ,        53.00,                 27255935.05,515117
,ALBERTDAVD,EQ,       366.30,                  4879341.20,13557
,ALBK,EQ,        67.75,                201274864.50,2963117
,ALCHEM,EQ,        22.80,                    40761.55,1800
,ALEMBICLTD,EQ,        35.60,                  5213775.70,146601
,ALICON,EQ,       372.20,                  1995921.05,5430
,ALKALI,EQ,        68.95,                   964863.15,13976
,ALKEM,EQ,      1692.15,                 24249987.50,14187
,ALKYLAMINE,EQ,       311.80,                  1324355.25,4244
,ALLCARGO,EQ,       172.35,                  6013277.05,34785
,ALLSEC,EQ,       310.50,                  4188337.15,13481
,ALMONDZ,EQ,        13.25,                    70525.30,5371
,ALOKTEXT,EQ,         2.65,                 17377932.75,6776396
,ALPA,BE,        30.15,                   624268.65,20680
,ALPHAGEO,EQ,       927.40,                 20355548.95,22100
,ALPSINDUS,EQ,         6.00,                   315180.00,52600
,AMARAJABAT,EQ,       924.60,                220297444.70,235407
,AMBIKCO,EQ,      1001.25,                  2596325.70,2594
,AMDIND,EQ,        31.00,                  1275033.85,41828
,AMRUTANJAN,EQ,       549.90,                  5407851.35,9803
,AMTEKAUTO,EQ,        40.85,                149090021.35,3637701
,AMTL,EQ,        28.15,                   637408.70,21819
,ANANTRAJ,EQ,        38.10,                 18492244.45,485105
,ANDHRABANK,EQ,        51.45,                 92273443.20,1791702
,ANDHRACEMT,EQ,         7.20,                   582445.85,80622
,ANDHRSUGAR,EQ,       205.50,                 11347489.85,54377
,ANGIND,EQ,        11.65,                   115192.55,9952
,ANIKINDS,BE,        21.55,                      193.95,9
,ANKITMETAL,EQ,         2.10,                    47209.65,22815
,ANSALAPI,EQ,        15.60,                   415614.35,26877
,ANSALHSG,EQ,        18.30,                   207391.05,11590
,ANTGRAPHIC,BE,          .95,                   449834.25,478790
,APARINDS,EQ,       585.40,                  5944660.10,10137
,APCOTEXIND,EQ,       319.20,                  1459569.70,4526
,APLAPOLLO,EQ,       893.40,                  5898640.80,6689
,APLLTD,EQ,       649.90,                 59502648.90,91444
,APOLLOTYRE,EQ,       181.90,                405823916.15,2212790
,APOLSINHOT,EQ,       520.90,                    25972.00,50
,APTECHT,EQ,       160.70,                110555689.35,680002
,ARCHIDPLY,EQ,        56.85,                  7660897.80,131964
,ARCHIES,EQ,        22.35,                   408691.05,18377
,ARCOTECH,EQ,       345.55,                 36669286.70,106617
,ARIES,EQ,       134.90,                 54297392.00,402330
,ARIHANT,EQ,        48.65,                    57723.25,1175
,ARMANFIN,EQ,       206.25,                  1909857.50,9316
,AROGRANITE,EQ,        68.75,                  2932378.75,42733
,ARROWGREEN,EQ,       472.10,                  2737768.60,5810
,ARROWTEX,EQ,        36.25,                   388846.35,10796
,ARSHIYA,EQ,        26.40,                  1131889.60,42397
,ARSSINFRA,EQ,        69.15,                105755663.75,1628498
,ARVIND,EQ,       359.15,                747048011.65,2056491
,ARVINFRA,EQ,        70.45,                  3605791.95,50764
,ASAHIINDIA,EQ,       176.05,                  1306758.95,7369
,ASAHISONG,EQ,       245.30,                 18549871.45,77148
