,08-Dec-2016
The Nifty witnessed an intraday movement of about 104.5 points.The closing index was 1.79 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 16045.64
, Traded Quantity (in Lakhs), 7853.94
, Number of Trades, 7824210
, Total Market Capitalisation (Rs. Crores), 10623207.11

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      8102.05,      8152.10,      8256.25,      8151.75,      8246.85,144.8
,Nifty IT,      9777.90,      9819.90,      9947.40,      9819.65,      9935.90,158
,Nifty Next 50,     21916.15,     22075.55,     22331.15,     22057.25,     22307.40,391.25
,Nifty Bank,     18234.15,     18342.60,     18558.75,     18336.95,     18515.45,281.3
,Nifty MID100 Free,     14621.75,     14729.55,     14860.15,     14725.50,     14848.35,226.6
,Nifty 500,      6971.20,      7015.80,      7094.20,      7014.75,      7089.25,118.05
,Nifty 100,      8344.30,      8397.40,      8501.10,      8395.75,      8493.40,149.1
,Nifty Midcap 50,      3675.00,      3706.80,      3746.80,      3704.75,      3743.10,68.1
,Nifty Realty,       164.20,       165.05,       167.05,       164.80,       166.65,2.45
,Nifty Infra,      2752.40,      2773.80,      2789.65,      2769.60,      2782.90,30.5
,Nifty Energy,      9912.95,      9985.65,     10075.95,      9971.90,     10066.90,153.95
,Nifty FMCG,     20137.35,     20274.35,     20602.55,     20249.95,     20510.25,372.9
,Nifty MNC,      9629.30,      9693.20,      9838.75,      9692.30,      9830.15,200.85
,Nifty Pharma,     10832.65,     10824.30,     10990.55,     10770.25,     10972.65,140
,Nifty PSE,      3709.25,      3743.05,      3762.35,      3735.75,      3759.50,50.25
,Nifty PSU Bank,      3110.35,      3143.40,      3166.10,      3133.60,      3153.35,43
,Nifty Serv Sector,     10300.40,     10359.55,     10481.20,     10357.65,     10469.40,169
,India VIX,16.8450,16.8450,16.8450,14.1625,15.5250,-1.3200
,Nifty Auto,      9053.25,      9135.90,      9305.25,      9133.95,      9299.05,245.8
,Nifty Metal,      2786.65,      2819.55,      2876.70,      2815.75,      2868.80,82.15
,Nifty Media,      2553.55,      2576.25,      2609.70,      2574.35,      2604.00,50.45
,Nifty SML100 Free,      5776.30,      5822.85,      5865.40,      5822.45,      5856.55,80.25
,Nifty 200,      4344.00,      4371.95,      4423.50,      4371.10,      4420.10,76.1
,Nifty Div Opps 50,      2078.95,      2092.65,      2119.30,      2091.75,      2117.90,38.95
,Nifty Commodities,      3074.35,      3100.30,      3136.00,      3097.75,      3132.65,58.3
,Nifty Consumption,      3527.35,      3552.50,      3595.90,      3551.30,      3592.55,65.2
,Nifty Fin Service,      7446.35,      7493.55,      7584.15,      7491.40,      7568.70,122.35
,Nifty50 Div Point,        90.21,        90.21,        90.21,        90.21,        90.21,0
,Nifty100 Liq 15,      3454.40,      3488.25,      3527.25,      3486.65,      3522.30,67.9
,Nifty CPSE,      2358.15,      2377.65,      2401.10,      2374.55,      2396.40,38.25
,Nifty GrowSect 15,      5074.00,      5101.25,      5164.75,      5100.55,      5159.20,85.2
,Nifty50 PR 2x Lev,      2936.50,      2972.30,      3047.25,      2972.30,      3041.00,104.5
,Nifty50 PR 1x Inv,       503.05,       500.00,       500.00,       493.60,       494.15,-8.9
,Nifty50 TR 2x Lev,      3526.10,      3569.10,      3659.05,      3569.10,      3651.55,125.45
,Nifty50 TR 1x Inv,       459.05,       456.30,       456.30,       450.45,       450.95,-8.1
,Nifty50 Value 20,      3587.25,      3608.85,      3651.35,      3607.80,      3648.90,61.65
,Nifty Mid Liq 15,      3080.80,      3110.95,      3141.80,      3106.25,      3138.10,57.3
,Nifty Pvt Bank,     10064.45,     10115.80,     10242.25,     10113.75,     10219.65,155.2
,Nifty Quality 30,      2073.40,      2083.75,      2112.05,      2083.50,      2110.15,36.75
,Nifty GS 8 13Yr,      1689.73,      1690.06,      1690.30,      1681.94,      1687.61,-2.12
,Nifty GS 10Yr,      1607.38,      1607.68,      1611.32,      1602.81,      1609.54,2.16
,Nifty GS 10Yr Cln,      1006.03,      1006.03,      1008.35,      1002.93,      1007.21,1.18
,Nifty GS 4 8Yr,      1731.77,      1732.11,      1734.54,      1725.98,      1733.04,1.27
,Nifty GS 11 15Yr,      1773.39,      1773.74,      1775.64,      1766.85,      1772.70,-.69
,Nifty GS 15YrPlus,      1912.69,      1913.06,      1913.06,      1899.65,      1906.47,-6.22
,Nifty GS Compsite,      1721.59,      1721.93,      1724.13,      1716.25,      1722.34,.75

,ADVANCES,1265
,DECLINES,348
,UNCHANGED,68

,Total securities that have hit their price bands today,110

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SUNPHARMA,EQ,       664.00,       675.70,1.76,459.96
,MARUTI,EQ,      5116.65,      5234.60,2.31,442.88
,VEDL,EQ,       231.45,       242.95,4.97,410.2
,TATASTEEL,EQ,       411.90,       431.30,4.71,404.5
,TATAMOTORS,EQ,       445.35,       461.55,3.64,376.62
,TCS,EQ,      2154.55,      2195.75,1.91,354.05
,HDFC,EQ,      1264.95,      1289.85,1.97,347.52
,AXISBANK,EQ,       447.10,       449.35,0.5,343.75
,CROMPGREAV,EQ,        65.65,        61.90,-5.71,293.79
,INFY,EQ,       966.40,       984.65,1.89,292.1
,ICICIBANK,EQ,       258.70,       262.75,1.57,268.82
,SBIN,EQ,       255.60,       259.90,1.68,234.68
,YESBANK,EQ,      1188.25,      1215.55,2.3,216.82
,BHARATFORG,EQ,       915.25,       963.50,5.27,206.64
,RELIANCE,EQ,       999.15,      1020.05,2.09,203.44
,ITC,EQ,       227.20,       233.30,2.68,171.42
,HINDALCO,EQ,       175.05,       179.20,2.37,169.26
,EICHERMOT,EQ,     23382.00,     23249.85,-0.57,164.25
,SRTRANSFIN,EQ,       898.20,       909.80,1.29,164.23
,DIVISLAB,EQ,      1160.75,      1161.00,0.02,157.81
,ONGC,EQ,       297.10,       303.30,2.09,145.48
,CENTURYTEX,EQ,       784.00,       819.95,4.59,140.9
,BANKBARODA,EQ,       157.50,       158.50,0.63,138.35
,HDFCBANK,EQ,      1181.60,      1199.50,1.51,128.94
,LT,EQ,      1353.80,      1366.95,0.97,126.86

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TATASTEEL,EQ,       431.30,       411.90,4.71
,TATAMTRDVR,EQ,       304.20,       291.15,4.48
,TATAMOTORS,EQ,       461.55,       445.35,3.64
,ADANIPORTS,EQ,       287.10,       277.40,3.5
,BOSCHLTD,EQ,     20922.60,     20253.50,3.3

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,INFRATEL,EQ,       370.25,       378.90,-2.28
,EICHERMOT,EQ,     23249.85,     23382.00,-0.57
,AUROPHARMA,EQ,       720.50,       722.65,-0.3
,NTPC,EQ,       163.05,       163.15,-0.06

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        36.30,                  2297194.80,64108
,3IINFOTECH,EQ,         5.75,                  5060308.65,875187
,3MINDIA,EQ,     10992.85,                 12345395.60,1108
,8KMILES,EQ,       692.20,                  9922781.95,14279
,A2ZINFRA,EQ,        40.35,                 17067262.95,422961
,AARTIDRUGS,EQ,       653.20,                  3113211.95,4776
,AARTIIND,EQ,       713.45,                 10797500.95,15169
,AARVEEDEN,EQ,        85.00,                  1081277.10,12674
,ABAN,EQ,       245.40,                243272822.00,996228
,ABBOTINDIA,EQ,      4724.15,                  7973944.80,1682
,ABFRL,EQ,       140.90,                 74755873.50,530024
,ABGSHIP,EQ,        32.35,                 17323748.60,533853
,ABIRLANUVO,EQ,      1285.35,                246948017.90,193146
,ACCELYA,EQ,      1434.10,                  1168074.15,818
,ACE,EQ,        49.25,                  4770109.55,96344
,ADANIENT,EQ,        70.70,                102159633.30,1446097
,ADANIPOWER,EQ,        31.75,                352126783.15,11056079
,ADANITRANS,EQ,        59.65,                 86165585.40,1441368
,ADFFOODS,EQ,       148.50,                 15615066.20,104936
,ADHUNIK,EQ,         7.20,                   138552.70,19447
,ADHUNIKIND,EQ,       108.90,                  3161543.45,28830
,ADI,EQ,       448.95,                   650067.60,1444
,ADLABS,EQ,        81.35,                 21079652.10,257909
,ADORWELD,EQ,       285.45,                   279458.10,979
,ADSL,EQ,        33.55,                  4049837.65,120777
,ADVANIHOTR,EQ,        49.00,                    56104.25,1141
,ADVENZYMES,EQ,      2058.45,                180622340.95,87883
,AEGISCHEM,EQ,       146.50,                 13604845.95,93576
,AFL,EQ,        59.45,                  1104785.65,18510
,AGARIND,EQ,       372.95,                  7380031.40,19721
,AGCNET,EQ,        97.45,                  1048956.85,10762
,AGRITECH,EQ,        34.00,                    95778.10,2833
,AGROPHOS,SM,        19.90,                   477900.00,24000
,AHLEAST,EQ,       188.65,                  1149118.10,6254
,AHLUCONT,EQ,       253.05,                  2148699.15,8390
,AHLWEST,EQ,       214.00,                    39162.15,183
,AIAENG,EQ,      1269.40,                 97541215.10,76295
,AIFL,EQ,       414.05,                 18518975.65,44523
,AJANTPHARM,EQ,      1905.90,                171602816.70,89830
,AJMERA,EQ,       147.00,                  5739818.90,38910
,AKSHOPTFBR,EQ,        24.80,                 38893116.20,1567457
,AKZOINDIA,EQ,      1419.10,                  2647153.60,1863
,ALANKIT,EQ,        58.30,                 28604797.55,495780
,ALBERTDAVD,EQ,       349.55,                   546774.00,1560
,ALBK,EQ,        67.75,                 97689809.85,1441491
,ALCHEM,EQ,        24.70,                   109463.60,4404
,ALEMBICLTD,EQ,        36.40,                  3350441.90,92223
,ALICON,EQ,       384.30,                   274499.90,708
,ALKALI,EQ,        67.25,                   264594.50,3916
,ALKEM,EQ,      1680.45,                 26917504.35,16014
,ALKYLAMINE,EQ,       316.95,                   603272.15,1901
,ALLCARGO,EQ,       168.30,                  7231798.30,43095
,ALLSEC,EQ,       373.40,                  9231654.15,24659
,ALMONDZ,EQ,        14.00,                     5627.50,411
,ALOKTEXT,EQ,         2.70,                  7571518.95,2769621
,ALPA,BE,        31.75,                   295606.85,9428
,ALPHAGEO,EQ,       960.05,                 13819899.25,14356
,ALPSINDUS,EQ,         8.45,                  1183177.25,141825
,AMARAJABAT,EQ,       930.40,                165933602.60,178092
,AMBIKCO,EQ,      1050.15,                 26893852.30,25617
,AMDIND,EQ,        32.55,                   529399.60,16301
,AMRUTANJAN,EQ,       538.45,                  2550306.10,4712
,AMTEKAUTO,EQ,        37.70,                 40594360.90,1072923
,AMTL,EQ,        30.45,                  1197273.30,39227
,ANANDAMRUB,EQ,        19.20,                      384.00,20
,ANANTRAJ,EQ,        41.05,                 22135363.30,534640
,ANDHRABANK,EQ,        51.15,                 63242104.75,1235337
,ANDHRACEMT,EQ,         7.60,                   324045.75,42348
,ANDHRSUGAR,EQ,       212.35,                  7941267.75,36992
,ANGIND,EQ,        12.60,                   304766.55,24168
,ANIKINDS,BE,        26.55,                     6674.80,252
,ANKITMETAL,EQ,         1.85,                   642993.50,339882
,ANSALAPI,EQ,        15.60,                  1160757.60,73383
,ANSALHSG,EQ,        20.25,                   275527.05,13703
,ANTGRAPHIC,BE,         1.25,                    62061.85,49853
,APARINDS,EQ,       583.25,                  7027656.45,12050
,APCOTEXIND,EQ,       322.25,                   494870.80,1521
,APLAPOLLO,EQ,       863.25,                  7680767.75,8914
,APLLTD,EQ,       640.45,                 21185750.50,33368
,APOLLOTYRE,EQ,       194.50,                525158595.05,2700524
,APOLSINHOT,BE,       660.25,                    95962.80,144
,APTECHT,EQ,       159.25,                 45558360.45,285092
,ARCHIDPLY,EQ,        56.15,                  2039440.45,36091
,ARCHIES,EQ,        28.85,                 62969604.90,2142645
,ARCOTECH,EQ,       408.30,                 51143537.55,124667
,ARIES,EQ,       167.85,                166118758.05,995688
,ARIHANT,EQ,        61.85,                   643260.75,10274
,ARMANFIN,EQ,       207.90,                   687252.35,3280
,AROGRANITE,EQ,        68.55,                  1560722.25,22576
,ARROWGREEN,EQ,       542.60,                116707029.65,217201
,ARROWTEX,EQ,        42.20,                  2387901.85,56137
,ARSHIYA,EQ,        29.25,                  1251861.95,42938
,ARSSINFRA,EQ,        68.30,                 16454526.90,240041
,ARTNIRMAN,SM,        27.50,                   679500.00,24000
,ARVIND,EQ,       348.35,                405892603.90,1165064
,ARVSMART,EQ,        70.90,                  1331117.45,18727
,ASAHIINDIA,EQ,       172.95,                  1936880.00,11165
,ASAHISONG,EQ,       227.05,                  3507564.60,15295
