,15-Dec-2016
The Nifty witnessed an intraday movement of about 103.95 points.The closing index was 0.35 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 17108.61
, Traded Quantity (in Lakhs), 7960.17
, Number of Trades, 7486692
, Total Market Capitalisation (Rs. Crores), 10489815.2

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      8182.45,      8128.40,      8225.90,      8121.95,      8153.60,-28.85
,Nifty IT,     10128.95,     10099.05,     10299.80,     10091.60,     10195.75,66.8
,Nifty Next 50,     21666.65,     21513.25,     21829.40,     21494.15,     21630.55,-36.1
,Nifty Bank,     18341.50,     18143.50,     18532.00,     18122.10,     18401.15,59.65
,Nifty MID100 Free,     14622.90,     14516.10,     14756.00,     14510.45,     14679.55,56.65
,Nifty 500,      7004.65,      6957.45,      7047.35,      6953.10,      6989.25,-15.4
,Nifty 100,      8397.30,      8341.15,      8444.85,      8335.15,      8370.25,-27.05
,Nifty Midcap 50,      3703.50,      3670.60,      3744.90,      3666.35,      3724.60,21.1
,Nifty Realty,       167.45,       165.90,       170.05,       165.35,       167.85,.4
,Nifty Infra,      2757.45,      2742.40,      2772.75,      2737.75,      2748.95,-8.5
,Nifty Energy,     10154.15,     10105.20,     10218.35,     10094.20,     10114.90,-39.25
,Nifty FMCG,     20313.55,     20219.00,     20391.00,     20057.10,     20136.05,-177.5
,Nifty MNC,      9612.70,      9548.90,      9657.85,      9528.25,      9592.70,-20
,Nifty Pharma,     10859.25,     10810.30,     10865.95,     10630.75,     10655.50,-203.75
,Nifty PSE,      3685.55,      3663.40,      3713.10,      3660.15,      3677.70,-7.85
,Nifty PSU Bank,      3158.80,      3123.85,      3209.55,      3114.55,      3182.60,23.8
,Nifty Serv Sector,     10392.80,     10318.90,     10494.45,     10312.95,     10406.95,14.15
,India VIX,16.5925,16.5925,16.5925,15.2550,15.6550,-0.9375
,Nifty Auto,      9146.05,      9071.10,      9214.05,      9042.75,      9118.25,-27.8
,Nifty Metal,      2784.75,      2753.95,      2818.45,      2749.20,      2786.10,1.35
,Nifty Media,      2580.00,      2554.50,      2610.85,      2546.40,      2563.70,-16.3
,Nifty SML100 Free,      5825.00,      5777.05,      5886.35,      5770.75,      5852.80,27.8
,Nifty 200,      4367.90,      4338.15,      4394.25,      4335.25,      4357.35,-10.55
,Nifty Div Opps 50,      2085.95,      2077.80,      2104.60,      2072.60,      2085.90,-.05
,Nifty Commodities,      3062.40,      3040.65,      3081.40,      3038.60,      3049.30,-13.1
,Nifty Consumption,      3521.40,      3502.70,      3534.40,      3488.15,      3508.25,-13.15
,Nifty Fin Service,      7457.45,      7389.95,      7518.25,      7381.80,      7466.40,8.95
,Nifty50 Div Point,        90.21,        90.21,        90.21,        90.21,        90.21,0
,Nifty100 Liq 15,      3504.60,      3468.85,      3533.70,      3467.50,      3508.70,4.1
,Nifty CPSE,      2342.95,      2330.05,      2360.65,      2326.15,      2346.20,3.25
,Nifty GrowSect 15,      5113.90,      5093.85,      5158.95,      5078.90,      5106.25,-7.65
,Nifty50 PR 2x Lev,      2990.25,      2950.20,      3021.30,      2946.45,      2968.65,-21.6
,Nifty50 PR 1x Inv,       498.40,       501.80,       502.10,       495.85,       500.25,1.85
,Nifty50 TR 2x Lev,      3590.60,      3542.55,      3627.90,      3538.05,      3564.70,-25.9
,Nifty50 TR 1x Inv,       454.85,       457.90,       458.20,       452.50,       456.50,1.65
,Nifty50 Value 20,      3657.70,      3636.55,      3690.20,      3634.25,      3663.25,5.55
,Nifty Mid Liq 15,      3091.30,      3053.15,      3121.20,      3050.60,      3102.05,10.75
,Nifty Pvt Bank,     10111.40,     10003.30,     10201.50,      9991.45,     10135.95,24.55
,Nifty Quality 30,      2087.00,      2078.25,      2100.40,      2072.20,      2078.05,-8.95
,Nifty GS 8 13Yr,      1689.36,      1689.68,      1689.68,      1677.56,      1678.93,-10.43
,Nifty GS 10Yr,      1610.63,      1610.92,      1610.92,      1601.42,      1602.64,-7.99
,Nifty GS 10Yr Cln,      1006.36,      1006.36,      1006.36,      1000.32,      1001.09,-5.27
,Nifty GS 4 8Yr,      1735.34,      1735.68,      1735.68,      1727.10,      1727.72,-7.62
,Nifty GS 11 15Yr,      1772.00,      1772.34,      1772.34,      1755.85,      1757.71,-14.29
,Nifty GS 15YrPlus,      1892.36,      1892.72,      1892.72,      1878.91,      1878.91,-13.45
,Nifty GS Compsite,      1724.34,      1724.67,      1724.67,      1712.89,      1714.03,-10.31

,ADVANCES,781
,DECLINES,805
,UNCHANGED,87

,Total securities that have hit their price bands today,85

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,AXISBANK,EQ,       467.20,       478.10,2.33,853.09
,SUNPHARMA,EQ,       678.40,       649.95,-4.19,629.55
,ICICIBANK,EQ,       260.55,       260.30,-0.1,569.05
,TCS,EQ,      2207.60,      2259.30,2.34,484.84
,RELIANCE,EQ,      1059.50,      1052.95,-0.62,468.1
,INFY,EQ,       999.75,       992.35,-0.74,401.43
,YESBANK,EQ,      1196.10,      1185.20,-0.91,342.36
,SBIN,EQ,       262.90,       265.40,0.95,325.25
,TATAMOTORS,EQ,       472.35,       463.20,-1.94,305.27
,HINDPETRO,EQ,       434.00,       427.00,-1.61,236.96
,MARUTI,EQ,      5141.05,      5152.05,0.21,235.76
,HCLTECH,EQ,       820.80,       832.15,1.38,233.45
,HDFC,EQ,      1266.55,      1259.20,-0.58,218.96
,VEDL,EQ,       235.90,       236.10,0.08,214.84
,ONGC,EQ,       305.30,       206.45,-32.38,204.63
,TATASTEEL,EQ,       417.75,       419.30,0.37,187.3
,IGL,EQ,       869.80,       906.30,4.2,186.19
,BHARATFIN,EQ,       653.30,       659.85,1,184.65
,BPCL,EQ,       620.60,       615.65,-0.8,171.5
,IOC,EQ,       299.15,       297.80,-0.45,166.12
,TECHM,EQ,       476.65,       477.45,0.17,157.31
,HDFCBANK,EQ,      1175.70,      1176.60,0.08,145.77
,RELCAPITAL,EQ,       430.80,       444.80,3.25,145.45
,TATAPOWER,EQ,        78.70,        78.15,-0.7,143.71
,INDUSINDBK,EQ,      1071.85,      1081.05,0.86,143.49

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TCS,EQ,      2259.30,      2207.60,2.34
,AXISBANK,EQ,       478.10,       467.20,2.33
,HCLTECH,EQ,       832.15,       820.80,1.38
,M&M,EQ,      1186.55,      1173.95,1.07
,BANKBARODA,EQ,       159.90,       158.35,.98

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ONGC,EQ,       206.45,       305.30,-32.38
,SUNPHARMA,EQ,       649.95,       678.40,-4.19
,TATAMTRDVR,EQ,       296.25,       304.60,-2.74
,GRASIM,EQ,       831.40,       850.90,-2.29
,NTPC,EQ,       160.20,       163.55,-2.05

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        35.00,                  1018900.90,29165
,3IINFOTECH,EQ,         5.75,                  7395687.75,1291097
,3MINDIA,EQ,     10510.40,                 10643252.50,1004
,8KMILES,EQ,       683.80,                 19576348.10,28538
,A2ZINFRA,EQ,        42.10,                 20360315.00,481220
,AARTIDRUGS,EQ,       656.00,                  3077074.00,4702
,AARTIIND,EQ,       708.85,                 43990052.45,61386
,AARVEEDEN,EQ,        80.10,                   282460.75,3506
,ABAN,EQ,       243.45,                311420601.95,1268386
,ABBOTINDIA,EQ,      4692.05,                   995243.65,212
,ABFRL,EQ,       139.45,                 63574316.05,452914
,ABGSHIP,EQ,        32.10,                 12213445.50,378982
,ABIRLANUVO,EQ,      1210.45,                149030321.05,122004
,ACCELYA,EQ,      1447.35,                   646070.05,449
,ACE,EQ,        48.00,                  4000861.90,83005
,ADANIENT,EQ,        72.90,                232531691.05,3208438
,ADANIPOWER,EQ,        32.60,                324374686.45,10015714
,ADANITRANS,EQ,        54.40,                 52891567.60,968256
,ADFFOODS,EQ,       150.70,                 20932501.75,140162
,ADHUNIK,EQ,         7.10,                   170637.55,24225
,ADHUNIKIND,EQ,       111.65,                  3298770.20,29732
,ADI,EQ,       514.50,                  6528699.55,12581
,ADLABS,EQ,        78.15,                 41650639.20,531572
,ADORWELD,EQ,       299.00,                   689556.80,2325
,ADSL,EQ,        43.30,                 45216318.20,1055344
,ADVANIHOTR,EQ,        49.85,                     8917.35,184
,ADVENZYMES,EQ,      2075.65,                295109250.85,141699
,AEGISCHEM,EQ,       141.65,                 31292454.65,220231
,AFL,EQ,        56.65,                  2254759.15,39321
,AGARIND,EQ,       368.10,                  3349964.15,9102
,AGCNET,EQ,        98.70,                   735571.75,7413
,AGRITECH,EQ,        33.40,                    76477.65,2341
,AGROPHOS,SM,        20.55,                   476700.00,24000
,AHLEAST,EQ,       195.10,                    20823.70,106
,AHLUCONT,EQ,       258.70,                  3365420.60,13053
,AHLWEST,EQ,       210.00,                    32976.85,157
,AIAENG,EQ,      1276.90,                461586647.10,357422
,AICHAMP,BE,        33.00,                     4982.10,151
,AIFL,EQ,       406.55,                 15956028.25,39272
,AJANTPHARM,EQ,      1825.35,                260885734.20,141525
,AJMERA,EQ,       141.90,                  2673045.30,18716
,AKSHOPTFBR,EQ,        25.75,                 55102199.90,2147730
,AKZOINDIA,EQ,      1402.05,                 17560317.10,12445
,ALANKIT,EQ,        36.10,                 95599090.95,2690708
,ALBERTDAVD,EQ,       354.75,                  2715539.90,7730
,ALBK,EQ,        68.00,                118538178.75,1741642
,ALCHEM,EQ,        23.30,                    85922.30,3682
,ALEMBICLTD,EQ,        36.55,                  9553747.45,260584
,ALICON,EQ,       364.60,                  1769004.80,4906
,ALKALI,EQ,        65.75,                   163782.30,2464
,ALKEM,EQ,      1632.60,                 14835062.80,9109
,ALKYLAMINE,EQ,       310.60,                   572366.75,1844
,ALLCARGO,EQ,       171.65,                 57903124.50,336542
,ALLSEC,EQ,       380.90,                  4884379.25,12723
,ALMONDZ,EQ,        13.70,                     6713.00,490
,ALOKTEXT,EQ,         2.75,                  6045152.15,2232005
,ALPA,BE,        32.05,                   156387.80,4874
,ALPHAGEO,EQ,       984.10,                 10014836.40,10160
,ALPSINDUS,EQ,         8.25,                   300030.65,36120
,AMARAJABAT,EQ,       909.80,                125712059.50,138219
,AMBIKCO,EQ,      1048.85,                  4707698.05,4496
,AMDIND,EQ,        31.00,                   112905.65,3664
,AMRUTANJAN,EQ,       551.75,                  2317915.00,4198
,AMTEKAUTO,EQ,        36.30,                 36945519.70,1016255
,AMTL,EQ,        29.25,                   177490.30,6062
,ANANTRAJ,EQ,        41.25,                 13928960.25,334677
,ANDHRABANK,EQ,        51.00,                 56238099.00,1103242
,ANDHRACEMT,EQ,         7.35,                   434923.45,59600
,ANDHRSUGAR,EQ,       208.90,                  2857108.45,13619
,ANGIND,EQ,        11.60,                   247908.00,21239
,ANKITMETAL,EQ,         1.80,                    47910.00,26459
,ANSALAPI,EQ,        14.75,                   489666.00,32909
,ANSALHSG,EQ,        19.35,                   360068.20,18729
,ANTGRAPHIC,BE,         1.40,                    69418.30,48238
,APARINDS,EQ,       565.90,                  3224845.00,5668
,APCOTEXIND,EQ,       313.10,                   754285.65,2407
,APLAPOLLO,EQ,       896.40,                  6161162.65,6917
,APLLTD,EQ,       617.55,                 50244730.70,80800
,APOLLOTYRE,EQ,       201.30,                841474619.85,4181174
,APOLSINHOT,BE,       520.00,                   128574.35,249
,APTECHT,EQ,       167.30,                 70453444.30,418695
,ARCHIDPLY,EQ,        55.60,                  1187426.35,21273
,ARCHIES,EQ,        25.70,                  5543610.30,214152
,ARCOTECH,EQ,       431.30,                 57901877.65,140928
,ARIES,EQ,       163.00,                 27232553.25,165384
,ARIHANT,EQ,        74.20,                  1153300.90,15370
,ARMANFIN,EQ,       200.60,                   585844.30,2891
,AROGRANITE,EQ,        73.60,                  6612681.75,90380
,ARROWGREEN,EQ,       499.60,                 12635548.40,25114
,ARROWTEX,EQ,        38.00,                  3201003.30,83605
,ARSHIYA,EQ,        29.25,                   353616.90,12026
,ARSSINFRA,EQ,        65.35,                  6200996.45,94571
,ARTNIRMAN,SM,        27.50,                   333000.00,12000
,ARVIND,EQ,       341.95,                481754833.95,1418745
,ARVSMART,EQ,        69.00,                  2111876.10,30592
,ASAHIINDIA,EQ,       177.55,                  1308095.25,7354
,ASAHISONG,EQ,       224.55,                  3248753.45,14421
,ASAL,EQ,        52.00,                    11484.10,223
,ASHAPURMIN,EQ,        61.40,                  3748509.65,60368
