,29-Dec-2016
The Nifty witnessed an intraday movement of about 90.3 points.The closing index was 0.86 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 19268.58
, Traded Quantity (in Lakhs), 9960.16
, Number of Trades, 7004670
, Total Market Capitalisation (Rs. Crores), 10358948.95

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      8034.85,      8030.60,      8111.10,      8020.80,      8103.60,68.75
,Nifty IT,     10198.60,     10194.15,     10314.35,     10183.40,     10291.85,93.25
,Nifty Next 50,     20902.25,     20906.00,     21199.65,     20892.30,     21151.75,249.5
,Nifty Bank,     17876.70,     17861.45,     18053.30,     17829.40,     18033.15,156.45
,Nifty MID100 Free,     14034.70,     14051.35,     14268.70,     14023.60,     14238.60,203.9
,Nifty 500,      6847.40,      6846.80,      6920.90,      6839.80,      6915.45,68.05
,Nifty 100,      8222.00,      8218.55,      8304.75,      8209.65,      8296.80,74.8
,Nifty Midcap 50,      3576.30,      3582.25,      3648.05,      3572.90,      3642.10,65.8
,Nifty Realty,       161.45,       161.40,       163.95,       160.85,       163.15,1.7
,Nifty Infra,      2675.75,      2670.85,      2692.65,      2668.20,      2688.50,12.75
,Nifty Energy,      9994.80,      9992.95,     10163.65,      9992.95,     10148.90,154.1
,Nifty FMCG,     20279.00,     20270.40,     20452.55,     20120.65,     20400.75,121.75
,Nifty MNC,      9473.40,      9470.05,      9623.40,      9463.60,      9595.85,122.45
,Nifty Pharma,     10149.35,     10162.20,     10196.50,     10100.00,     10132.35,-17
,Nifty PSE,      3611.50,      3609.30,      3674.30,      3609.20,      3666.40,54.9
,Nifty PSU Bank,      2947.50,      2946.75,      2962.05,      2919.85,      2948.40,.9
,Nifty Serv Sector,     10224.15,     10217.95,     10323.90,     10207.90,     10313.15,89
,India VIX,15.5425,15.5425,16.0775,14.6575,15.2825,-0.2600
,Nifty Auto,      8981.15,      8969.15,      9134.40,      8951.60,      9109.05,127.9
,Nifty Metal,      2605.65,      2603.60,      2653.25,      2600.85,      2645.05,39.4
,Nifty Media,      2555.30,      2549.15,      2585.70,      2539.60,      2581.90,26.6
,Nifty SML100 Free,      5653.95,      5665.30,      5727.15,      5657.25,      5722.35,68.4
,Nifty 200,      4273.15,      4272.30,      4319.30,      4267.35,      4315.50,42.35
,Nifty Div Opps 50,      2063.20,      2062.40,      2088.75,      2061.95,      2085.90,22.7
,Nifty Commodities,      2956.10,      2957.50,      3011.25,      2956.75,      3006.65,50.55
,Nifty Consumption,      3449.30,      3450.05,      3491.80,      3438.15,      3483.85,34.55
,Nifty Fin Service,      7279.05,      7275.55,      7360.75,      7264.50,      7352.25,73.2
,Nifty50 Div Point,        90.21,        90.21,        90.21,        90.21,        90.21,0
,Nifty100 Liq 15,      3370.70,      3370.65,      3413.45,      3363.30,      3408.80,38.1
,Nifty CPSE,      2306.95,      2303.60,      2342.45,      2303.60,      2334.70,27.75
,Nifty GrowSect 15,      5102.10,      5103.95,      5148.00,      5095.20,      5139.00,36.9
,Nifty50 PR 2x Lev,      2875.45,      2871.90,      2929.10,      2865.35,      2924.15,48.7
,Nifty50 PR 1x Inv,       508.45,       508.80,       509.40,       503.75,       504.20,-4.25
,Nifty50 TR 2x Lev,      3452.80,      3448.50,      3517.20,      3440.65,      3511.25,58.45
,Nifty50 TR 1x Inv,       464.00,       464.30,       464.85,       459.70,       460.10,-3.9
,Nifty50 Value 20,      3583.70,      3585.95,      3617.60,      3584.30,      3613.50,29.8
,Nifty Mid Liq 15,      2925.80,      2930.75,      2989.50,      2921.25,      2978.45,52.65
,Nifty Pvt Bank,      9869.45,      9864.70,      9969.15,      9841.35,      9958.70,89.25
,Nifty Quality 30,      2058.55,      2058.15,      2078.25,      2056.05,      2075.45,16.9
,Nifty GS 8 13Yr,      1667.31,      1667.63,      1674.73,      1667.63,      1674.36,7.05
,Nifty GS 10Yr,      1595.07,      1595.36,      1600.53,      1595.36,      1599.81,4.74
,Nifty GS 10Yr Cln,       993.83,       993.83,       997.12,       993.83,       996.66,2.83
,Nifty GS 4 8Yr,      1715.35,      1715.69,      1721.39,      1715.69,      1721.39,6.04
,Nifty GS 11 15Yr,      1731.80,      1732.15,      1742.99,      1732.15,      1741.94,10.14
,Nifty GS 15YrPlus,      1841.87,      1842.24,      1847.47,      1842.24,      1847.47,5.6
,Nifty GS Compsite,      1699.22,      1699.56,      1707.54,      1699.56,      1707.04,7.82

,ADVANCES,1080
,DECLINES,510
,UNCHANGED,80

,Total securities that have hit their price bands today,92

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,BHARATFIN,EQ,       573.35,       597.50,4.21,793.5
,IBULHSGFIN,EQ,       645.05,       642.35,-0.42,607.17
,DIVISLAB,EQ,       824.60,       789.25,-4.29,473.38
,MARUTI,EQ,      5231.25,      5314.80,1.6,346.29
,ITC,EQ,       235.45,       236.00,0.23,329.36
,YESBANK,EQ,      1113.05,      1148.30,3.17,319.99
,ENGINERSIN,EQ,       331.85,       336.35,1.36,318.34
,BPCL,EQ,       615.15,       639.65,3.98,315.93
,M&MFIN,EQ,       261.10,       273.45,4.73,313.54
,IDFC,EQ,        52.30,        55.75,6.6,312.91
,INFY,EQ,       998.50,       992.35,-0.62,311.35
,BANKBARODA,EQ,       150.15,       151.50,0.9,295.88
,SUNPHARMA,EQ,       621.35,       614.70,-1.07,295.37
,IOC,EQ,       316.20,       322.95,2.13,285.27
,AXISBANK,EQ,       440.05,       444.25,0.95,269.08
,SBIN,EQ,       247.75,       247.65,-0.04,263.74
,HDFC,EQ,      1237.95,      1257.20,1.55,250.59
,ONGC,EQ,       189.90,       191.60,0.9,250.47
,IFCI,EQ,        24.65,        28.05,13.79,246.93
,HDFCBANK,EQ,      1186.75,      1205.20,1.55,242.65
,TCS,EQ,      2313.40,      2351.70,1.66,230.34
,TATAMOTORS,EQ,       463.35,       470.90,1.63,222.04
,HINDPETRO,EQ,       419.55,       429.50,2.37,214.31
,RELIANCE,EQ,      1049.70,      1065.45,1.5,212.33
,COALINDIA,EQ,       295.20,       298.65,1.17,212.03

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,GRASIM,EQ,       843.50,       811.10,3.99
,BPCL,EQ,       639.65,       615.15,3.98
,YESBANK,EQ,      1148.30,      1113.05,3.17
,EICHERMOT,EQ,     21491.25,     20884.80,2.9
,BOSCHLTD,EQ,     20650.00,     20172.00,2.37

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ADANIPORTS,EQ,       264.65,       268.50,-1.43
,SUNPHARMA,EQ,       614.70,       621.35,-1.07
,LT,EQ,      1339.20,      1349.95,-0.8
,AUROPHARMA,EQ,       647.20,       651.75,-0.7
,INFY,EQ,       992.35,       998.50,-0.62

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        32.30,                   503604.85,15567
,3IINFOTECH,EQ,         5.55,                  2202942.55,396532
,3MINDIA,EQ,     10895.55,                  9742228.00,898
,8KMILES,EQ,       639.55,                 20389663.50,31811
,A2ZINFRA,EQ,        39.95,                 16413685.00,411937
,AARTIDRUGS,EQ,       606.35,                  5474244.00,9099
,AARTIIND,EQ,       679.80,                 81057031.50,119209
,AARVEEDEN,EQ,        78.85,                   683743.90,8604
,ABAN,EQ,       229.35,                151850050.70,662638
,ABBOTINDIA,EQ,      4633.80,                  3970682.45,858
,ABFRL,EQ,       136.25,                 40029488.40,298470
,ABGSHIP,EQ,        29.85,                  3097378.10,104040
,ABIRLANUVO,EQ,      1243.05,                794749048.80,651098
,ACCELYA,EQ,      1440.00,                  3354233.90,2319
,ACE,EQ,        45.45,                  3657614.25,80453
,ADANIENT,EQ,        73.05,                129046667.80,1791048
,ADANIPOWER,EQ,        30.20,                285833176.50,9591318
,ADANITRANS,EQ,        56.10,                 19275673.05,345025
,ADFFOODS,EQ,       139.85,                 11720228.90,83301
,ADHUNIK,EQ,         6.85,                   184826.75,26868
,ADHUNIKIND,EQ,       104.30,                  4526418.60,42410
,ADI,EQ,       507.95,                  1866398.70,3688
,ADLABS,EQ,        70.85,                 28395944.90,393529
,ADORWELD,EQ,       290.05,                   220457.05,759
,ADSL,BE,        33.65,                   924334.30,27010
,ADVANIHOTR,EQ,        51.80,                    22484.20,436
,ADVENZYMES,EQ,      1966.05,                110710726.05,56495
,AEGISCHEM,EQ,       127.85,                 15153684.65,118252
,AFL,EQ,        53.25,                   273099.10,5101
,AGARIND,EQ,       343.70,                  2176200.30,6371
,AGCNET,EQ,        90.00,                    99979.60,1110
,AGRITECH,EQ,        30.75,                   116943.60,3739
,AGROPHOS,SM,        20.95,                   616500.00,30000
,AHLEAST,EQ,       190.00,                    25581.75,135
,AHLUCONT,EQ,       260.85,                  2284080.80,8782
,AHLWEST,EQ,       210.00,                     3780.00,18
,AIAENG,EQ,      1259.00,                 13075836.80,10367
,AIFL,EQ,       415.10,                 23217243.60,55848
,AJANTPHARM,EQ,      1759.20,                245698709.90,139283
,AJMERA,EQ,       131.55,                  3173063.50,24163
,AKSHOPTFBR,EQ,        23.70,                 20521311.15,869739
,AKZOINDIA,EQ,      1434.20,                 75987457.95,53328
,ALANKIT,EQ,        29.90,                 36321115.20,1203039
,ALBERTDAVD,EQ,       332.90,                   528283.15,1581
,ALBK,EQ,        59.35,                 99746213.75,1693989
,ALCHEM,EQ,        22.40,                    56700.35,2525
,ALEMBICLTD,EQ,        36.60,                  2824455.90,77657
,ALICON,EQ,       355.90,                   155127.65,437
,ALKALI,EQ,        68.20,                   401451.15,5880
,ALKEM,EQ,      1627.80,                 11632067.75,7154
,ALKYLAMINE,EQ,       299.45,                   872354.30,2909
,ALLCARGO,EQ,       176.40,                  5248162.25,29937
,ALLSEC,EQ,       344.45,                  4012566.10,11558
,ALMONDZ,EQ,        14.10,                    59806.75,4300
,ALOKTEXT,EQ,         3.45,                  8217044.25,2370973
,ALPA,BE,        30.50,                    80634.85,2637
,ALPHAGEO,EQ,       887.35,                 32195034.70,35803
,ALPSINDUS,EQ,         8.25,                   255009.35,30823
,AMARAJABAT,EQ,       873.75,                150530014.65,172292
,AMBIKCO,EQ,      1020.25,                   995001.35,975
,AMDIND,EQ,        29.30,                   125579.85,4274
,AMRUTANJAN,EQ,       526.80,                  3206892.40,6107
,AMTEKAUTO,EQ,        32.20,                 47590964.95,1483683
,AMTL,EQ,        26.90,                   208598.95,7646
,ANANTRAJ,EQ,        38.10,                  4393677.35,114975
,ANDHRABANK,EQ,        47.00,                108944865.00,2314776
,ANDHRACEMT,EQ,         7.20,                   214540.50,29440
,ANDHRSUGAR,EQ,       203.65,                  5271414.65,25748
,ANGIND,EQ,        11.05,                    82393.65,7443
,ANIKINDS,BE,        25.65,                     8785.00,350
,ANKITMETAL,EQ,         1.90,                   419884.95,214246
,ANSALAPI,EQ,        14.00,                  1407876.90,100200
,ANSALHSG,EQ,        18.45,                   215244.80,11439
,ANTGRAPHIC,BE,          .95,                    48236.00,49461
,APARINDS,EQ,       570.60,                  5724284.55,10034
,APCOTEXIND,EQ,       297.15,                   458738.35,1539
,APLAPOLLO,EQ,       914.00,                 16203346.40,17741
,APLLTD,EQ,       601.60,                 23798069.55,39358
,APOLLOTYRE,EQ,       185.35,                563831264.60,3051743
,APOLSINHOT,BE,       343.00,                   103129.45,295
,APTECHT,EQ,       164.00,                245754450.40,1526949
,ARCHIDPLY,EQ,        53.25,                  1196168.45,22489
,ARCHIES,EQ,        23.25,                  2529358.75,109059
,ARCOTECH,EQ,       437.00,                 54236414.30,122665
,ARIES,EQ,       158.70,                 15831715.20,99564
,ARIHANT,BE,        56.55,                    11205.60,189
,ARMANFIN,EQ,       182.60,                  1961012.05,10777
,AROGRANITE,EQ,        67.85,                   638330.30,9412
,ARROWGREEN,EQ,       495.85,                  3674848.50,7419
,ARROWTEX,EQ,        35.85,                   186563.35,5189
,ARSHIYA,EQ,        29.95,                   778898.90,26130
,ARSSINFRA,EQ,        62.30,                  4110511.65,66002
,ARVIND,EQ,       333.65,                339517599.40,1020219
,ARVSMART,EQ,        68.05,                  2708697.95,39724
,ASAHIINDIA,EQ,       176.90,                  2340096.55,13275
,ASAHISONG,EQ,       216.95,                   991893.85,4549
,ASAL,EQ,        56.40,                   252506.15,4456
,ASHAPURMIN,EQ,        59.80,                  1984140.10,33082
