,06-Jan-2017
The Nifty witnessed an intraday movement of about 73.6 points.The closing index was 0.36 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 18343.04
, Traded Quantity (in Lakhs), 9479.56
, Number of Trades, 7704893
, Total Market Capitalisation (Rs. Crores), 10644895.33

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      8273.80,      8281.85,      8306.85,      8233.25,      8243.80,-30
,Nifty IT,     10400.05,     10352.80,     10372.90,     10063.35,     10110.40,-289.65
,Nifty Next 50,     22074.60,     22141.95,     22227.60,     21977.30,     22024.45,-50.15
,Nifty Bank,     18115.95,     18168.45,     18325.50,     18157.30,     18264.00,148.05
,Nifty MID100 Free,     14876.15,     14931.75,     14995.80,     14833.90,     14854.20,-21.95
,Nifty 500,      7106.90,      7119.05,      7140.25,      7073.50,      7083.10,-23.8
,Nifty 100,      8501.65,      8512.80,      8538.85,      8460.80,      8472.70,-28.95
,Nifty Midcap 50,      3779.10,      3792.70,      3809.55,      3760.90,      3766.70,-12.4
,Nifty Realty,       179.25,       179.15,       180.80,       177.35,       177.75,-1.5
,Nifty Infra,      2807.10,      2810.35,      2827.05,      2792.45,      2796.40,-10.7
,Nifty Energy,     10505.45,     10494.05,     10591.15,     10453.70,     10468.55,-36.9
,Nifty FMCG,     21070.50,     21085.65,     21230.45,     20839.80,     20867.10,-203.4
,Nifty MNC,      9921.80,      9935.75,     10043.20,      9905.85,      9935.05,13.25
,Nifty Pharma,     10457.75,     10503.40,     10559.55,     10455.30,     10472.70,14.95
,Nifty PSE,      3850.25,      3852.85,      3884.85,      3825.90,      3833.15,-17.1
,Nifty PSU Bank,      2953.95,      2961.55,      3006.45,      2957.90,      2969.85,15.9
,Nifty Serv Sector,     10384.35,     10394.30,     10412.55,     10335.15,     10348.65,-35.7
,India VIX,15.0500,15.0500,15.0875,13.9225,14.9125,-0.1375
,Nifty Auto,      9522.30,      9551.65,      9589.80,      9487.20,      9506.65,-15.65
,Nifty Metal,      2798.25,      2809.80,      2827.50,      2786.65,      2797.85,-.4
,Nifty Media,      2714.15,      2728.80,      2731.55,      2679.45,      2683.60,-30.55
,Nifty SML100 Free,      6087.50,      6113.25,      6131.50,      6051.25,      6063.25,-24.25
,Nifty 200,      4426.55,      4433.30,      4447.20,      4405.60,      4411.65,-14.9
,Nifty Div Opps 50,      2148.70,      2149.90,      2159.30,      2127.10,      2130.85,-17.85
,Nifty Commodities,      3143.70,      3147.20,      3163.80,      3125.35,      3131.40,-12.3
,Nifty Consumption,      3618.20,      3624.45,      3643.00,      3598.65,      3603.25,-14.95
,Nifty Fin Service,      7333.55,      7353.50,      7403.90,      7347.65,      7368.35,34.8
,Nifty50 Div Point,        90.21,        90.21,        90.21,        90.21,        90.21,0
,Nifty100 Liq 15,      3547.30,      3556.05,      3577.55,      3536.60,      3545.10,-2.2
,Nifty CPSE,      2446.75,      2450.90,      2476.50,      2441.20,      2444.80,-1.95
,Nifty GrowSect 15,      5261.60,      5257.45,      5277.55,      5194.30,      5203.10,-58.5
,Nifty50 PR 2x Lev,      3044.25,      3049.65,      3067.55,      3014.25,      3021.65,-22.6
,Nifty50 PR 1x Inv,       494.25,       493.85,       496.75,       492.40,       496.15,1.9
,Nifty50 TR 2x Lev,      3655.50,      3661.95,      3683.50,      3619.45,      3628.35,-27.15
,Nifty50 TR 1x Inv,       451.05,       450.70,       453.30,       449.35,       452.75,1.7
,Nifty50 Value 20,      3679.40,      3677.25,      3689.85,      3648.10,      3653.85,-25.55
,Nifty Mid Liq 15,      3120.95,      3139.65,      3158.65,      3112.15,      3118.60,-2.35
,Nifty Pvt Bank,     10057.85,     10090.95,     10176.85,     10080.05,     10148.70,90.85
,Nifty Quality 30,      2132.90,      2133.40,      2140.00,      2108.80,      2112.40,-20.5
,Nifty GS 8 13Yr,      1694.82,      1695.15,      1697.34,      1692.75,      1692.90,-1.92
,Nifty GS 10Yr,      1618.72,      1619.01,      1622.35,      1617.56,      1618.09,-.63
,Nifty GS 10Yr Cln,      1007.57,      1007.57,      1009.70,      1006.65,      1006.99,-.58
,Nifty GS 4 8Yr,      1736.23,      1736.57,      1737.36,      1734.73,      1734.73,-1.5
,Nifty GS 11 15Yr,      1773.22,      1773.57,      1776.56,      1770.61,      1771.30,-1.92
,Nifty GS 15YrPlus,      1893.93,      1894.30,      1894.38,      1894.11,      1894.11,.18
,Nifty GS Compsite,      1727.98,      1728.32,      1730.23,      1725.98,      1726.29,-1.69

,ADVANCES,612
,DECLINES,1011
,UNCHANGED,64

,Total securities that have hit their price bands today,107

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,INFY,EQ,       996.15,       972.25,-2.4,700.74
,YESBANK,EQ,      1210.20,      1246.75,3.02,464.83
,WOCKPHARMA,EQ,       673.45,       710.90,5.56,464.49
,BAJFINANCE,EQ,       899.75,       878.45,-2.37,359.31
,TCS,EQ,      2334.40,      2281.40,-2.27,344.26
,HDFC,EQ,      1217.20,      1222.35,0.42,340.08
,MARUTI,EQ,      5634.95,      5615.55,-0.34,305.91
,SBIN,EQ,       245.35,       245.90,0.22,305.27
,JUSTDIAL,EQ,       394.10,       376.05,-4.58,287.47
,VEDL,EQ,       227.65,       230.60,1.3,276.59
,BHARATFIN,EQ,       637.55,       621.65,-2.49,271.94
,DIVISLAB,EQ,       764.00,       737.40,-3.48,259.44
,KOTAKBANK,EQ,       698.95,       716.85,2.56,258.86
,TATAMOTORS,EQ,       502.15,       497.75,-0.88,246.34
,HCLTECH,EQ,       844.65,       814.40,-3.58,228.36
,ICICIBANK,EQ,       257.25,       258.15,0.35,213.31
,FORTIS,EQ,       185.00,       190.90,3.19,210.68
,AXISBANK,EQ,       458.05,       455.20,-0.62,202.6
,ITC,EQ,       246.75,       242.70,-1.64,197.79
,RELIANCE,EQ,      1077.40,      1074.95,-0.23,193.47
,TATASTEEL,EQ,       419.30,       419.55,0.06,174.05
,ONGC,EQ,       199.65,       202.55,1.45,171.63
,HDFCBANK,EQ,      1186.20,      1193.65,0.63,164.79
,ADANIPORTS,EQ,       287.50,       286.05,-0.5,163.31
,ASIANPAINT,EQ,       916.50,       929.50,1.42,159.04

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,YESBANK,EQ,      1246.75,      1210.20,3.02
,KOTAKBANK,EQ,       716.85,       698.95,2.56
,EICHERMOT,EQ,     22717.75,     22324.35,1.76
,BANKBARODA,EQ,       153.25,       150.95,1.52
,INDUSINDBK,EQ,      1144.05,      1127.55,1.46

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TECHM,EQ,       469.75,       488.10,-3.76
,HCLTECH,EQ,       814.40,       844.65,-3.58
,IDEA,EQ,        72.90,        74.80,-2.54
,INFY,EQ,       972.25,       996.15,-2.4
,TCS,EQ,      2281.40,      2334.40,-2.27

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        34.45,                  1269375.40,36359
,3IINFOTECH,EQ,         5.75,                  7004199.45,1212915
,3MINDIA,EQ,     11305.00,                  9351550.95,830
,8KMILES,EQ,       710.25,                 47519887.25,66926
,A2ZINFRA,EQ,        44.65,                 33788547.40,744919
,AARTIDRUGS,EQ,       625.65,                  2516114.85,4033
,AARTIIND,EQ,       699.75,                  5718363.40,8128
,AARVEEDEN,EQ,        84.55,                  1065822.35,12510
,ABAN,EQ,       246.75,                300191011.30,1209370
,ABBOTINDIA,EQ,      4604.45,                  9206604.10,2001
,ABFRL,EQ,       139.70,                 96395054.30,688534
,ABGSHIP,EQ,        31.10,                  5828498.35,185984
,ABIRLANUVO,EQ,      1271.25,                387518822.35,304121
,ACCELYA,EQ,      1460.10,                   880627.10,607
,ACE,EQ,        49.40,                 22867566.90,460889
,ADANIENT,EQ,        78.65,                 91596172.65,1160629
,ADANIPOWER,EQ,        32.70,                319145733.40,9754559
,ADANITRANS,EQ,        57.15,                 26376882.10,457545
,ADFFOODS,EQ,       156.30,                 78882835.50,500580
,ADHUNIK,EQ,         7.15,                   207662.70,28942
,ADHUNIKIND,EQ,       107.30,                  4000176.35,37377
,ADI,EQ,       542.45,                 11025468.20,20062
,ADLABS,EQ,        73.90,                 16718012.20,223367
,ADORWELD,EQ,       299.00,                    98375.55,328
,ADSL,BE,        37.35,                  2202820.85,59413
,ADVANIHOTR,EQ,        50.90,                    58433.35,1149
,ADVENZYMES,EQ,      1874.50,                189601029.80,100465
,AEGISCHEM,EQ,       130.45,                 33254359.55,254133
,AFL,EQ,        57.15,                  1256169.75,21858
,AGARIND,EQ,       346.95,                  1785756.00,5144
,AGCNET,EQ,        91.50,                   232719.00,2532
,AGRITECH,EQ,        31.25,                    66476.70,2123
,AGROPHOS,SM,        25.00,                  3965400.00,156000
,AHLEAST,EQ,       191.30,                    52770.50,273
,AHLUCONT,EQ,       251.75,                 11855508.80,47349
,AHLWEST,EQ,       215.00,                    74057.50,344
,AIAENG,EQ,      1271.65,                 65750463.45,51327
,AICHAMP,BE,        26.05,                   119905.25,4405
,AIFL,EQ,       410.30,                 22103224.15,54080
,AJANTPHARM,EQ,      1798.80,                127695402.15,70905
,AJMERA,EQ,       143.70,                  4864599.60,33440
,AKSHOPTFBR,EQ,        25.15,                 31691228.35,1245881
,AKZOINDIA,EQ,      1409.05,                  6807437.35,4809
,ALANKIT,EQ,        33.85,                 45459738.65,1348647
,ALBERTDAVD,EQ,       355.20,                  1451923.35,4134
,ALBK,EQ,        63.30,                114320118.25,1794049
,ALCHEM,EQ,        23.95,                    82132.75,3468
,ALEMBICLTD,EQ,        36.60,                  7263036.30,197168
,ALICON,EQ,       377.40,                   304310.95,799
,ALKALI,EQ,        73.35,                   418772.35,5703
,ALKEM,EQ,      1659.90,                 18575020.35,11179
,ALKYLAMINE,EQ,       313.00,                  1695384.40,5355
,ALLCARGO,EQ,       171.45,                 11644281.95,67279
,ALLSEC,EQ,       398.35,                 12238933.55,30550
,ALMONDZ,EQ,        14.30,                    18677.10,1348
,ALOKTEXT,EQ,         3.55,                 11049132.85,3080724
,ALPA,BE,        33.95,                   786544.80,23879
,ALPHAGEO,EQ,       927.05,                 25892924.90,27505
,ALPSINDUS,EQ,         8.65,                   312230.15,35787
,AMARAJABAT,EQ,       930.40,                183012999.05,197453
,AMBIKCO,EQ,      1035.50,                  4583309.00,4422
,AMDIND,EQ,        28.65,                   423588.15,14779
,AMRUTANJAN,EQ,       554.60,                  3572146.60,6465
,AMTEKAUTO,EQ,        34.45,                 59326329.25,1704135
,AMTL,EQ,        28.00,                   960268.05,33532
,ANANTRAJ,EQ,        44.00,                 18962238.50,425059
,ANDHRABANK,EQ,        48.30,                102072791.00,2103936
,ANDHRACEMT,EQ,         7.45,                   948903.00,125891
,ANDHRSUGAR,EQ,       225.15,                 17220061.55,75803
,ANGIND,EQ,        11.10,                   105601.75,9381
,ANIKINDS,BE,        27.00,                     2863.80,106
,ANKITMETAL,EQ,         1.95,                   229111.15,116040
,ANSALAPI,EQ,        15.15,                  1687307.65,110736
,ANSALHSG,EQ,        21.70,                   765265.20,35121
,ANTGRAPHIC,BE,         1.10,                     4465.50,4014
,APARINDS,EQ,       613.10,                 98304623.50,157661
,APCOTEXIND,EQ,       316.75,                  1201513.05,3766
,APLAPOLLO,EQ,       953.10,                  6499760.25,6865
,APLLTD,EQ,       606.60,                 15893131.90,26242
,APOLLOTYRE,EQ,       188.90,                489642630.45,2580440
,APTECHT,EQ,       182.95,                110789797.60,597941
,ARCHIDPLY,EQ,        58.95,                  1606886.75,27138
,ARCHIES,EQ,        23.95,                  3207089.35,132819
,ARCOTECH,EQ,       542.15,                 79294702.10,146857
,ARIES,EQ,       176.35,                 38529526.50,220057
,ARIHANT,BE,        62.80,                    17399.50,290
,ARMANFIN,EQ,       182.75,                  1146419.35,6221
,AROGRANITE,EQ,        69.15,                  2431661.95,35202
,ARROWGREEN,EQ,       503.25,                  5172639.00,10154
,ARROWTEX,EQ,        41.75,                  2430807.55,57715
,ARSHIYA,EQ,        30.35,                   484745.20,15897
,ARSSINFRA,EQ,        70.10,                 10831850.50,152532
,ARVIND,EQ,       360.90,                434989867.45,1195283
,ARVSMART,EQ,        73.75,                   431270.35,5821
,ASAHIINDIA,EQ,       188.45,                 15652169.85,82342
,ASAHISONG,EQ,       236.45,                  4355888.45,18191
,ASAL,EQ,        63.95,                   697195.50,10713
,ASHAPURMIN,EQ,        68.35,                 21024842.70,311068
,ASHIANA,EQ,       141.15,                  2434072.95,17021
