,10-Jan-2017
The Nifty witnessed an intraday movement of about 32.8 points.The closing index was 0.64 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 17867.45
, Traded Quantity (in Lakhs), 9112.65
, Number of Trades, 7465144
, Total Market Capitalisation (Rs. Crores), 10719759.98

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      8236.05,      8262.70,      8293.80,      8261.00,      8288.60,52.55
,Nifty IT,     10198.45,     10232.55,     10255.85,     10184.35,     10221.50,23.05
,Nifty Next 50,     22035.50,     22108.75,     22276.55,     22080.55,     22260.50,225
,Nifty Bank,     18286.65,     18351.45,     18441.15,     18275.75,     18409.60,122.95
,Nifty MID100 Free,     14873.45,     14919.30,     14993.10,     14882.15,     14984.30,110.85
,Nifty 500,      7085.15,      7108.35,      7136.05,      7106.45,      7132.20,47.05
,Nifty 100,      8466.80,      8494.30,      8531.45,      8493.75,      8526.20,59.4
,Nifty Midcap 50,      3780.05,      3796.10,      3800.90,      3773.75,      3793.90,13.85
,Nifty Realty,       179.25,       179.70,       180.70,       178.30,       178.75,-.5
,Nifty Infra,      2781.50,      2788.20,      2804.90,      2785.65,      2801.00,19.5
,Nifty Energy,     10396.15,     10436.05,     10549.60,     10436.05,     10489.55,93.4
,Nifty FMCG,     20987.25,     21019.65,     21207.20,     21010.35,     21157.75,170.5
,Nifty MNC,      9928.10,      9958.60,      9980.90,      9906.55,      9976.50,48.4
,Nifty Pharma,     10323.45,     10355.45,     10380.30,     10321.55,     10366.70,43.25
,Nifty PSE,      3797.90,      3817.25,      3856.45,      3817.15,      3824.80,26.9
,Nifty PSU Bank,      2982.10,      2993.00,      3005.05,      2969.10,      2993.35,11.25
,Nifty Serv Sector,     10367.75,     10400.40,     10429.20,     10380.40,     10414.05,46.3
,India VIX,15.4800,15.4800,15.4800,14.0250,15.1950,-0.2850
,Nifty Auto,      9495.95,      9542.60,      9626.30,      9540.90,      9616.60,120.65
,Nifty Metal,      2793.80,      2799.90,      2838.40,      2797.00,      2833.90,40.1
,Nifty Media,      2697.85,      2696.75,      2713.10,      2693.85,      2707.30,9.45
,Nifty SML100 Free,      6117.05,      6149.90,      6193.15,      6148.45,      6185.35,68.3
,Nifty 200,      4410.50,      4425.05,      4442.85,      4423.20,      4440.25,29.75
,Nifty Div Opps 50,      2129.10,      2137.40,      2147.45,      2137.30,      2144.05,14.95
,Nifty Commodities,      3116.70,      3128.85,      3154.40,      3128.45,      3139.45,22.75
,Nifty Consumption,      3598.25,      3607.00,      3626.60,      3604.35,      3623.05,24.8
,Nifty Fin Service,      7371.75,      7391.85,      7416.60,      7370.70,      7404.40,32.65
,Nifty50 Div Point,        90.21,        90.21,        90.21,        90.21,        90.21,0
,Nifty100 Liq 15,      3547.70,      3565.95,      3591.95,      3543.80,      3585.65,37.95
,Nifty CPSE,      2419.85,      2434.10,      2457.75,      2432.30,      2435.05,15.2
,Nifty GrowSect 15,      5214.35,      5230.85,      5244.60,      5222.30,      5239.25,24.9
,Nifty50 PR 2x Lev,      3014.45,      3033.45,      3055.90,      3033.20,      3052.40,37.95
,Nifty50 PR 1x Inv,       496.85,       495.35,       495.35,       493.50,       493.75,-3.1
,Nifty50 TR 2x Lev,      3619.70,      3642.50,      3669.45,      3642.20,      3665.25,45.55
,Nifty50 TR 1x Inv,       453.40,       452.00,       452.05,       450.35,       450.60,-2.8
,Nifty50 Value 20,      3652.70,      3666.95,      3683.25,      3660.30,      3668.40,15.7
,Nifty Mid Liq 15,      3135.80,      3147.60,      3150.90,      3124.95,      3138.20,2.4
,Nifty Pvt Bank,     10159.50,     10198.35,     10235.00,     10135.75,     10217.10,57.6
,Nifty Quality 30,      2110.15,      2117.00,      2123.35,      2113.85,      2121.60,11.45
,Nifty GS 8 13Yr,      1693.96,      1694.29,      1696.59,      1693.54,      1695.02,1.06
,Nifty GS 10Yr,      1618.75,      1619.04,      1621.63,      1618.66,      1620.26,1.51
,Nifty GS 10Yr Cln,      1006.84,      1006.84,      1008.49,      1006.60,      1007.62,.78
,Nifty GS 4 8Yr,      1735.26,      1735.61,      1736.82,      1735.60,      1736.20,.94
,Nifty GS 11 15Yr,      1771.46,      1771.80,      1775.11,      1770.64,      1772.46,1
,Nifty GS 15YrPlus,      1887.37,      1887.74,      1887.74,      1887.74,      1887.74,.37
,Nifty GS Compsite,      1727.01,      1727.34,      1729.72,      1726.81,      1728.16,1.15

,ADVANCES,976
,DECLINES,636
,UNCHANGED,85

,Total securities that have hit their price bands today,102

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,INFY,EQ,       970.35,       970.55,0.02,581.32
,AXISBANK,EQ,       452.75,       447.35,-1.19,421.68
,TATAMOTORS,EQ,       500.15,       516.25,3.22,409
,PIIND,EQ,       829.70,       814.35,-1.85,357.3
,ICICIBANK,EQ,       258.70,       260.20,0.58,349.68
,HDFC,EQ,      1223.55,      1217.25,-0.51,325.6
,INDUSINDBK,EQ,      1159.25,      1160.70,0.13,321.71
,BEML,EQ,      1150.75,      1170.75,1.74,316.04
,ITC,EQ,       245.85,       248.95,1.26,297.1
,RELIANCE,EQ,      1077.70,      1089.85,1.13,282.75
,HINDALCO,EQ,       158.00,       164.40,4.05,258.52
,VEDL,EQ,       232.55,       232.60,0.02,236.15
,MARUTI,EQ,      5658.50,      5674.85,0.29,232.61
,SBIN,EQ,       247.05,       248.30,0.51,231.59
,TATASTEEL,EQ,       422.00,       431.90,2.35,219.66
,DIVISLAB,EQ,       734.15,       739.35,0.71,219.07
,BEL,EQ,      1454.20,      1511.70,3.95,207.28
,YESBANK,EQ,      1256.20,      1264.60,0.67,192.22
,TCS,EQ,      2303.70,      2315.35,0.51,177.41
,BHARATFIN,EQ,       619.80,       631.85,1.94,173.37
,IOC,EQ,       342.80,       346.70,1.14,173.33
,ENGINERSIN,EQ,       152.55,       157.00,2.92,168.37
,ADANIPORTS,EQ,       284.70,       293.90,3.23,168.02
,HDFCBANK,EQ,      1195.20,      1214.35,1.6,167.55
,SUNPHARMA,EQ,       632.05,       638.55,1.03,162.28

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HINDALCO,EQ,       164.40,       158.00,4.05
,ADANIPORTS,EQ,       293.90,       284.70,3.23
,TATAMOTORS,EQ,       516.25,       500.15,3.22
,TATAMTRDVR,EQ,       326.30,       317.70,2.71
,TATASTEEL,EQ,       431.90,       422.00,2.35

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,GRASIM,EQ,       848.25,       858.60,-1.21
,AXISBANK,EQ,       447.35,       452.75,-1.19
,ACC,EQ,      1319.60,      1327.85,-0.62
,AMBUJACEM,EQ,       209.40,       210.70,-0.62
,DRREDDY,EQ,      3041.85,      3060.20,-0.6

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        34.30,                  1111919.35,32638
,3IINFOTECH,EQ,         6.05,                 17293356.70,2839018
,3MINDIA,EQ,     11678.35,                 11305568.25,970
,8KMILES,EQ,       681.85,                 52164931.55,75695
,A2ZINFRA,EQ,        44.85,                 19613555.85,431979
,AARTIDRUGS,EQ,       620.05,                  1133732.35,1835
,AARTIIND,EQ,       697.85,                  7155634.50,10210
,AARVEEDEN,EQ,        86.75,                  1566165.50,17933
,ABAN,EQ,       244.30,                279706062.40,1145960
,ABBOTINDIA,EQ,      4519.90,                 11381050.35,2504
,ABFRL,EQ,       139.05,                 36367744.85,260406
,ABGSHIP,EQ,        31.15,                  4997881.60,160436
,ABIRLANUVO,EQ,      1265.30,                191445844.85,150785
,ACCELYA,EQ,      1454.00,                  1366976.50,941
,ACE,EQ,        48.85,                  6186374.05,125294
,ADANIENT,EQ,        80.20,                256199426.15,3196502
,ADANIPOWER,EQ,        33.50,                249752372.55,7483093
,ADANITRANS,EQ,        59.15,                 37668020.95,634993
,ADFFOODS,EQ,       152.30,                  7137540.25,46646
,ADHUNIK,EQ,         7.15,                   227074.50,31597
,ADHUNIKIND,EQ,       105.05,                  4689639.15,44545
,ADI,EQ,       546.20,                  5926520.05,10778
,ADLABS,EQ,        75.80,                 45366647.20,598693
,ADORWELD,EQ,       297.00,                   926391.05,3110
,ADSL,BE,        36.05,                  1251742.85,34664
,ADVANIHOTR,EQ,        53.00,                    59605.90,1130
,ADVENZYMES,EQ,      1873.15,                102812896.90,54609
,AEGISCHEM,EQ,       135.70,                 68986410.70,511003
,AFL,EQ,        57.35,                  2779793.05,48360
,AGARIND,EQ,       358.00,                   692311.25,1931
,AGCNET,EQ,        89.60,                    99089.65,1106
,AGRITECH,EQ,        32.35,                   289151.40,9100
,AGROPHOS,SM,        25.70,                  1692900.00,66000
,AHLEAST,EQ,       189.75,                   144434.95,757
,AHLUCONT,EQ,       260.10,                  1455025.85,5627
,AHLWEST,EQ,       218.45,                   290106.60,1321
,AIAENG,EQ,      1291.80,                 47255115.65,36718
,AICHAMP,BE,        24.65,                      202.60,8
,AIFL,EQ,       405.20,                 23638517.15,57950
,AJANTPHARM,EQ,      1803.45,                238365232.55,132447
,AJMERA,EQ,       144.45,                  1968731.05,13576
,AKSHOPTFBR,EQ,        25.10,                 23498313.05,936081
,AKZOINDIA,EQ,      1394.75,                 60716714.50,43286
,ALANKIT,EQ,        35.45,                 61805224.05,1789396
,ALBERTDAVD,EQ,       358.60,                  2554422.50,7127
,ALBK,EQ,        64.10,                 95270113.20,1495444
,ALCHEM,EQ,        24.25,                   161728.50,6711
,ALEMBICLTD,EQ,        36.90,                  3897026.05,105877
,ALICON,EQ,       374.30,                   821209.50,2197
,ALKALI,EQ,        70.25,                   742942.55,10439
,ALKEM,EQ,      1683.75,                 36428854.30,21579
,ALKYLAMINE,EQ,       315.60,                  1122215.00,3581
,ALLCARGO,EQ,       173.30,                  6868936.20,39754
,ALLSEC,EQ,       398.00,                 12343366.85,31328
,ALMONDZ,EQ,        14.20,                    82192.05,5668
,ALOKTEXT,EQ,         3.50,                  5608391.45,1599460
,ALPA,BE,        37.35,                   744057.55,19996
,ALPHAGEO,EQ,       924.85,                 12718232.95,13736
,ALPSINDUS,EQ,         8.45,                   422404.50,49404
,AMARAJABAT,EQ,       902.00,                177162265.15,195785
,AMBIKCO,EQ,      1038.10,                  6875991.30,6625
,AMDIND,EQ,        29.50,                   266127.55,9024
,AMRUTANJAN,EQ,       616.05,                192613460.05,312930
,AMTEKAUTO,EQ,        34.05,                 32068996.80,940432
,AMTL,EQ,        29.50,                   289346.80,9795
,ANANTRAJ,EQ,        44.10,                 11169908.95,253700
,ANDHRABANK,EQ,        48.65,                 49150199.95,1012446
,ANDHRACEMT,EQ,         7.40,                   482740.05,64816
,ANDHRSUGAR,EQ,       236.30,                 69738176.75,296321
,ANGIND,EQ,        10.80,                   315747.30,28940
,ANIKINDS,BE,        28.65,                      312.45,11
,ANKITMETAL,EQ,         1.90,                   168738.15,86862
,ANSALAPI,EQ,        15.50,                  1865795.95,120825
,ANSALHSG,EQ,        22.90,                   895559.00,39248
,ANTGRAPHIC,BE,         1.15,                     9561.60,8406
,APARINDS,EQ,       619.40,                 17585597.80,28237
,APCOTEXIND,EQ,       310.75,                  1213781.05,3882
,APLAPOLLO,EQ,       951.00,                 12590732.05,13207
,APLLTD,EQ,       605.10,                  9121101.10,15065
,APOLLOTYRE,EQ,       194.45,                477158811.50,2495539
,APTECHT,EQ,       188.35,                 99293646.35,527300
,ARCHIDPLY,EQ,        59.90,                  3427106.70,56903
,ARCHIES,EQ,        23.90,                  1409147.35,59027
,ARCOTECH,EQ,       571.35,                 56403519.90,99903
,ARIES,EQ,       173.80,                 12950055.75,73963
,ARIHANT,BE,        60.60,                     6637.85,110
,ARMANFIN,EQ,       176.55,                   392381.85,2217
,AROGRANITE,EQ,        71.45,                  4362999.25,60862
,ARROWGREEN,EQ,       499.90,                  3466634.70,6904
,ARROWTEX,EQ,        44.20,                  4610939.70,103621
,ARSHIYA,EQ,        31.25,                  4014624.35,128092
,ARSSINFRA,EQ,        72.45,                 27914953.10,387003
,ARVIND,EQ,       362.00,               1405113239.25,3834851
,ARVSMART,EQ,        73.15,                  2088327.95,28331
,ASAHIINDIA,EQ,       190.55,                  7257106.20,37903
,ASAHISONG,EQ,       234.75,                  1209780.50,5147
,ASAL,EQ,        63.05,                   156996.70,2457
