,24-Jan-2017
The Nifty witnessed an intraday movement of about 82.8 points.The closing index was 1 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 19591.3
, Traded Quantity (in Lakhs), 9308.07
, Number of Trades, 7981603
, Total Market Capitalisation (Rs. Crores), 11000929.2

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      8391.50,      8407.05,      8480.95,      8398.15,      8475.80,84.3
,Nifty IT,     10219.40,     10186.50,     10213.70,     10133.15,     10201.60,-17.8
,Nifty Next 50,     22843.30,     22927.75,     23111.80,     22881.60,     23087.35,244.05
,Nifty Bank,     18842.70,     18931.00,     19054.30,     18906.95,     19023.50,180.8
,Nifty MID100 Free,     15188.75,     15247.05,     15359.10,     15201.60,     15339.25,150.5
,Nifty 500,      7242.55,      7259.80,      7319.70,      7254.60,      7315.25,72.7
,Nifty 100,      8651.60,      8670.30,      8745.00,      8661.95,      8739.45,87.85
,Nifty Midcap 50,      3829.35,      3841.60,      3879.15,      3830.20,      3872.40,43.05
,Nifty Realty,       178.60,       178.95,       179.80,       178.20,       179.20,.6
,Nifty Infra,      2828.80,      2836.20,      2873.30,      2835.30,      2870.05,41.25
,Nifty Energy,     10449.35,     10470.25,     10593.55,     10468.45,     10584.95,135.6
,Nifty FMCG,     21873.80,     21871.30,     21934.90,     21716.50,     21908.40,34.6
,Nifty MNC,     10250.55,     10254.00,     10354.20,     10226.75,     10345.35,94.8
,Nifty Pharma,     10214.15,     10229.05,     10359.90,     10227.95,     10339.45,125.3
,Nifty PSE,      3954.95,      3966.60,      4011.55,      3961.25,      4008.60,53.65
,Nifty PSU Bank,      3073.30,      3085.85,      3106.55,      3077.30,      3090.80,17.5
,Nifty Serv Sector,     10607.70,     10629.50,     10692.15,     10612.50,     10684.15,76.45
,India VIX,15.9050,15.9050,15.9600,14.3875,15.2850,-0.6200
,Nifty Auto,      9665.00,      9688.35,      9837.25,      9674.10,      9828.20,163.2
,Nifty Metal,      3013.50,      3023.55,      3066.20,      3019.30,      3062.30,48.8
,Nifty Media,      2760.10,      2761.15,      2781.75,      2735.40,      2755.30,-4.8
,Nifty SML100 Free,      6249.60,      6271.05,      6279.65,      6255.35,      6272.40,22.8
,Nifty 200,      4506.90,      4517.70,      4556.05,      4514.10,      4553.10,46.2
,Nifty Div Opps 50,      2190.05,      2191.45,      2208.00,      2187.65,      2206.15,16.1
,Nifty Commodities,      3242.70,      3253.65,      3301.95,      3251.10,      3300.15,57.45
,Nifty Consumption,      3679.90,      3684.85,      3715.15,      3671.55,      3711.25,31.35
,Nifty Fin Service,      7538.80,      7569.45,      7637.85,      7559.25,      7627.95,89.15
,Nifty50 Div Point,        91.15,        91.15,        91.15,        91.15,        91.15,0
,Nifty100 Liq 15,      3686.00,      3694.80,      3723.50,      3691.70,      3718.50,32.5
,Nifty CPSE,      2482.60,      2491.60,      2519.35,      2483.55,      2516.50,33.9
,Nifty GrowSect 15,      5278.85,      5271.85,      5307.60,      5259.05,      5303.15,24.3
,Nifty50 PR 2x Lev,      3120.90,      3131.95,      3186.70,      3126.80,      3183.10,62.2
,Nifty50 PR 1x Inv,       488.65,       487.85,       488.25,       483.55,       483.85,-4.8
,Nifty50 TR 2x Lev,      3748.40,      3761.65,      3827.40,      3755.45,      3823.10,74.7
,Nifty50 TR 1x Inv,       445.90,       445.15,       445.50,       441.20,       441.45,-4.45
,Nifty50 Value 20,      3662.90,      3665.60,      3678.40,      3657.80,      3676.30,13.4
,Nifty Mid Liq 15,      3199.10,      3209.35,      3239.70,      3182.10,      3231.55,32.45
,Nifty Pvt Bank,     10454.25,     10503.50,     10562.80,     10485.40,     10544.70,90.45
,Nifty Quality 30,      2140.00,      2139.90,      2154.70,      2136.25,      2152.85,12.85
,Nifty GS 8 13Yr,      1690.50,      1690.83,      1692.73,      1690.83,      1691.63,1.13
,Nifty GS 10Yr,      1616.56,      1616.86,      1619.02,      1616.86,      1618.00,1.44
,Nifty GS 10Yr Cln,      1002.83,      1002.83,      1004.21,      1002.83,      1003.56,.73
,Nifty GS 4 8Yr,      1736.35,      1736.70,      1737.80,      1736.70,      1736.98,.63
,Nifty GS 11 15Yr,      1767.70,      1768.04,      1771.18,      1768.04,      1769.20,1.5
,Nifty GS 15YrPlus,      1877.83,      1878.20,      1878.20,      1877.47,      1877.53,-.3
,Nifty GS Compsite,      1725.34,      1725.68,      1727.72,      1725.68,      1726.61,1.27

,ADVANCES,1002
,DECLINES,614
,UNCHANGED,88

,Total securities that have hit their price bands today,110

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,YESBANK,EQ,      1382.95,      1358.90,-1.74,843.85
,AJANTPHARM,EQ,      1786.70,      1753.00,-1.89,741.91
,ICICIBANK,EQ,       257.55,       257.15,-0.16,620.96
,SBIN,EQ,       254.15,       254.90,0.3,346
,HDFCBANK,EQ,      1244.65,      1267.55,1.84,323.15
,INFY,EQ,       952.70,       945.55,-0.75,322.2
,AXISBANK,EQ,       445.00,       451.25,1.4,318.96
,HINDALCO,EQ,       181.70,       187.15,3,316.05
,HCLTECH,EQ,       857.30,       848.80,-0.99,312.21
,TATAMOTORS,EQ,       532.70,       541.55,1.66,280.03
,TCS,EQ,      2306.70,      2318.35,0.51,263.67
,VEDL,EQ,       245.25,       252.45,2.94,258.85
,INDUSINDBK,EQ,      1231.25,      1251.55,1.65,247.64
,HDFC,EQ,      1259.75,      1280.75,1.67,247.24
,TVSMOTOR,EQ,       381.00,       400.40,5.09,243.61
,TATACOMM,EQ,       672.95,       708.90,5.34,225.1
,ZEEL,EQ,       482.95,       479.40,-0.74,221.66
,RELIANCE,EQ,      1015.90,      1027.30,1.12,220.5
,HEROMOTOCO,EQ,      3096.80,      3134.30,1.21,220.01
,ITC,EQ,       259.65,       259.85,0.08,208.35
,BEML,EQ,      1231.90,      1233.10,0.1,200.86
,M&MFIN,EQ,       274.50,       277.70,1.17,196.53
,DIVISLAB,EQ,       687.05,       683.05,-0.58,194.23
,LT,EQ,      1393.55,      1419.80,1.88,177.47
,MCDOWELL-N,EQ,      2203.85,      2208.60,0.22,175.67

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ULTRACEMCO,EQ,      3656.85,      3527.80,3.66
,IDEA,EQ,        75.90,        73.35,3.48
,BAJAJ-AUTO,EQ,      2798.95,      2706.50,3.42
,GRASIM,EQ,       911.35,       883.70,3.13
,TATAPOWER,EQ,        79.90,        77.55,3.03

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,YESBANK,EQ,      1358.90,      1382.95,-1.74
,HCLTECH,EQ,       848.80,       857.30,-0.99
,BHARTIARTL,EQ,       316.50,       319.65,-0.99
,INFY,EQ,       945.55,       952.70,-0.75
,ZEEL,EQ,       479.40,       482.95,-0.74

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        41.05,                  3881057.00,94420
,3IINFOTECH,EQ,         6.10,                 40780820.40,6449325
,3MINDIA,EQ,     12393.15,                  6713266.95,545
,63MOONS,EQ,        81.20,                  6056511.10,74413
,8KMILES,EQ,       612.15,                 42508190.85,69451
,A2ZINFRA,EQ,        42.95,                 12219173.10,282871
,AARTIDRUGS,EQ,       620.05,                  2122542.55,3428
,AARTIIND,EQ,       694.25,                 14034295.20,20061
,AARVEEDEN,EQ,        91.30,                  1298556.65,14090
,ABAN,EQ,       253.60,                218458240.20,864249
,ABBOTINDIA,EQ,      4410.75,                  8775667.65,1993
,ABFRL,EQ,       148.50,                 87834301.05,598100
,ABGSHIP,BZ,        29.50,                  3582315.00,121288
,ABIRLANUVO,EQ,      1339.90,                466292910.15,352144
,ACCELYA,EQ,      1506.15,                  4769078.85,3176
,ACE,EQ,        46.40,                 16922137.95,359474
,ADANIENT,EQ,        79.65,                121054241.15,1527674
,ADANIPOWER,EQ,        35.20,                389865278.50,11106566
,ADANITRANS,EQ,        63.45,                 23617011.00,372526
,ADFFOODS,EQ,       150.10,                 10293157.50,68507
,ADHUNIK,EQ,         7.40,                   528421.45,71713
,ADHUNIKIND,EQ,       106.55,                  3781348.65,35581
,ADLABS,EQ,        75.30,                 14215193.45,187514
,ADORWELD,EQ,       310.10,                   934359.15,3002
,ADSL,BE,        35.60,                   790133.55,22091
,ADVANIHOTR,EQ,        55.95,                   204790.30,3675
,ADVENZYMES,EQ,      1845.20,                154130055.85,83178
,AEGISCHEM,EQ,       131.75,                 25896066.45,196431
,AFL,EQ,        60.15,                   226959.90,3756
,AGARIND,EQ,       338.85,                  3218926.95,9474
,AGCNET,EQ,        89.20,                   239182.50,2664
,AGRITECH,EQ,        32.85,                   379083.15,11455
,AGROPHOS,SM,        23.60,                   420600.00,18000
,AHLEAST,EQ,       203.50,                   258133.00,1269
,AHLUCONT,EQ,       266.10,                  3014094.70,11247
,AHLWEST,EQ,       215.00,                   159923.15,743
,AIAENG,EQ,      1373.00,                 61932193.35,45495
,AICHAMP,BE,        24.40,                     2440.00,100
,AIFL,EQ,       435.70,                 21977733.55,50058
,AJANTPHARM,EQ,      1753.00,               7419076549.45,4404447
,AJMERA,EQ,       153.80,                 10213341.00,65822
,AKSHOPTFBR,EQ,        24.45,                 29016377.35,1184687
,AKZOINDIA,EQ,      1433.55,                 36707801.30,25735
,ALANKIT,EQ,        33.90,                 63918169.35,1915894
,ALBERTDAVD,EQ,       371.30,                   279588.65,755
,ALBK,EQ,        64.65,                104761287.60,1630870
,ALCHEM,EQ,        22.25,                   106454.45,4754
,ALEMBICLTD,EQ,        35.95,                  8068389.00,222738
,ALICON,EQ,       384.95,                   151401.00,392
,ALKALI,EQ,        78.85,                   666528.10,8397
,ALKEM,EQ,      1651.85,                 44967586.35,27253
,ALKYLAMINE,EQ,       314.85,                  1118658.90,3556
,ALLCARGO,EQ,       170.90,                  6640360.65,38845
,ALLSEC,EQ,       416.40,                 12377565.70,29702
,ALMONDZ,EQ,        15.25,                   214897.65,14145
,ALOKTEXT,EQ,         3.30,                 11079324.65,3319252
,ALPA,BE,        36.95,                   938319.55,25699
,ALPHAGEO,EQ,       865.55,                 27986360.40,32051
,ALPSINDUS,EQ,         8.75,                   708618.45,79680
,AMARAJABAT,EQ,       858.10,                510134139.20,591694
,AMBIKCO,EQ,      1181.60,                 70339118.60,59024
,AMDIND,EQ,        30.20,                   489715.85,16171
,AMRUTANJAN,EQ,       611.70,                  9172561.80,14939
,AMTEKAUTO,EQ,        33.80,                 22583891.45,667086
,AMTL,EQ,        28.55,                    82489.45,2870
,ANANTRAJ,EQ,        42.60,                 10241224.60,239242
,ANDHRABANK,EQ,        49.25,                 35598416.75,723759
,ANDHRACEMT,EQ,         9.20,                  2709869.25,294118
,ANDHRSUGAR,EQ,       225.60,                 12170556.75,54068
,ANGIND,EQ,        10.95,                   112070.05,10180
,ANIKINDS,BE,        26.90,                    18775.00,700
,ANKITMETAL,EQ,         1.90,                   169473.80,87994
,ANSALAPI,EQ,        15.05,                  2002344.75,132859
,ANSALHSG,EQ,        23.10,                   366530.35,15781
,ANTGRAPHIC,BE,         1.20,                   186047.75,156519
,APARINDS,EQ,       638.60,                 10525650.75,16441
,APCOTEXIND,EQ,       324.50,                   336138.80,1037
,APLAPOLLO,EQ,      1044.80,                  5685171.85,5436
,APLLTD,EQ,       584.85,                 23955081.50,40629
,APOLLOTYRE,EQ,       185.05,                450404464.15,2431531
,APOLSINHOT,BE,       330.30,                    21799.55,66
,APTECHT,EQ,       196.80,                226364442.45,1153289
,ARCHIDPLY,EQ,        66.90,                  2022259.40,30279
,ARCHIES,EQ,        24.60,                  3395580.00,137496
,ARCOTECH,EQ,       593.45,                 68320688.30,115983
,ARIES,EQ,       171.05,                 29383643.15,171259
,ARIHANT,BE,        58.00,                    12921.00,227
,ARMANFIN,EQ,       182.30,                  4753010.70,26546
,AROGRANITE,EQ,        68.95,                  1445811.20,20935
,ARROWGREEN,EQ,       517.10,                 14713261.30,28469
,ARROWTEX,EQ,        42.30,                   899652.00,21091
,ARSHIYA,EQ,        41.15,                 50247976.50,1222948
,ARSSINFRA,EQ,        72.10,                  8961316.15,123012
,ARVIND,EQ,       366.15,                378063725.15,1038257
,ARVSMART,EQ,        72.90,                  1968284.50,27045
,ASAHIINDIA,EQ,       198.75,                  3659722.60,18399
,ASAHISONG,EQ,       264.00,                 31175913.80,117248
,ASAL,EQ,        64.00,                    93554.90,1459
