,31-Jan-2017
The Nifty witnessed an intraday movement of about 79.35 points.The closing index was 0.83 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 27936.57
, Traded Quantity (in Lakhs), 19317.19
, Number of Trades, 9423671
, Total Market Capitalisation (Rs. Crores), 11047314.94

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      8632.75,      8629.45,      8631.75,      8552.40,      8561.30,-71.45
,Nifty IT,     10170.65,     10158.20,     10158.20,      9620.45,      9848.50,-322.15
,Nifty Next 50,     23651.35,     23704.10,     23709.60,     23240.05,     23279.30,-372.05
,Nifty Bank,     19585.25,     19533.20,     19624.10,     19435.45,     19515.15,-70.1
,Nifty MID100 Free,     15638.65,     15657.20,     15658.40,     15398.75,     15413.70,-224.95
,Nifty 500,      7452.15,      7453.80,      7455.20,      7372.55,      7379.30,-72.85
,Nifty 100,      8910.00,      8910.50,      8912.70,      8816.40,      8825.00,-85
,Nifty Midcap 50,      3940.75,      3938.10,      3938.40,      3860.60,      3866.50,-74.25
,Nifty Realty,       180.70,       181.10,       181.20,       178.75,       179.55,-1.15
,Nifty Infra,      2957.70,      2965.50,      2969.15,      2932.90,      2939.60,-18.1
,Nifty Energy,     10765.30,     10821.45,     10831.55,     10650.80,     10674.15,-91.15
,Nifty FMCG,     21786.30,     21812.45,     21949.65,     21725.95,     21832.65,46.35
,Nifty MNC,     10498.40,     10510.10,     10515.35,     10405.50,     10424.80,-73.6
,Nifty Pharma,     10412.15,     10439.20,     10446.20,     10218.05,     10236.35,-175.8
,Nifty PSE,      4084.75,      4104.10,      4112.35,      4010.90,      4021.50,-63.25
,Nifty PSU Bank,      3223.10,      3200.50,      3223.90,      3164.65,      3174.35,-48.75
,Nifty Serv Sector,     11011.90,     10994.65,     10996.10,     10857.20,     10893.15,-118.75
,India VIX,16.6700,16.6700,17.0900,15.7125,16.8250,0.1550
,Nifty Auto,      9928.65,      9907.30,      9922.50,      9822.00,      9837.75,-90.9
,Nifty Metal,      3104.60,      3102.90,      3121.05,      3063.45,      3072.10,-32.5
,Nifty Media,      2809.30,      2806.70,      2806.70,      2766.10,      2771.40,-37.9
,Nifty SML100 Free,      6391.95,      6400.55,      6404.05,      6296.70,      6302.20,-89.75
,Nifty 200,      4640.40,      4640.95,      4641.90,      4589.75,      4594.10,-46.3
,Nifty Div Opps 50,      2225.05,      2229.20,      2230.20,      2187.70,      2192.95,-32.1
,Nifty Commodities,      3364.90,      3376.95,      3380.05,      3317.45,      3323.35,-41.55
,Nifty Consumption,      3785.45,      3790.05,      3808.40,      3771.85,      3784.15,-1.3
,Nifty Fin Service,      7957.75,      7943.80,      7978.35,      7894.60,      7917.45,-40.3
,Nifty50 Div Point,        91.15,        91.15,        91.15,        91.15,        91.15,0
,Nifty100 Liq 15,      3792.25,      3787.45,      3789.15,      3742.20,      3747.80,-44.45
,Nifty CPSE,      2557.35,      2576.70,      2585.65,      2497.30,      2508.50,-48.85
,Nifty GrowSect 15,      5309.25,      5300.50,      5302.40,      5212.00,      5241.55,-67.7
,Nifty50 PR 2x Lev,      3297.95,      3294.85,      3294.85,      3236.60,      3242.80,-55.15
,Nifty50 PR 1x Inv,       475.40,       475.65,       479.85,       475.65,       479.45,4.05
,Nifty50 TR 2x Lev,      3961.00,      3957.30,      3957.30,      3887.35,      3894.75,-66.25
,Nifty50 TR 1x Inv,       433.80,       434.00,       437.85,       434.00,       437.45,3.65
,Nifty50 Value 20,      3750.20,      3745.00,      3746.35,      3682.15,      3701.00,-49.2
,Nifty Mid Liq 15,      3289.00,      3285.90,      3286.85,      3214.90,      3221.15,-67.85
,Nifty Pvt Bank,     10841.60,     10823.70,     10878.00,     10762.65,     10817.80,-23.8
,Nifty Quality 30,      2163.55,      2162.10,      2162.70,      2123.15,      2132.40,-31.15
,Nifty GS 8 13Yr,      1695.77,      1696.10,      1697.47,      1695.24,      1695.58,-.19
,Nifty GS 10Yr,      1623.35,      1623.64,      1625.46,      1622.50,      1623.18,-.17
,Nifty GS 10Yr Cln,      1006.02,      1006.02,      1007.18,      1005.30,      1005.73,-.29
,Nifty GS 4 8Yr,      1740.87,      1741.22,      1741.79,      1740.09,      1740.35,-.52
,Nifty GS 11 15Yr,      1773.94,      1774.28,      1775.31,      1772.52,      1773.18,-.76
,Nifty GS 15YrPlus,      1874.75,      1875.12,      1876.94,      1875.12,      1875.12,.37
,Nifty GS Compsite,      1731.20,      1731.53,      1732.63,      1730.33,      1730.75,-.45

,ADVANCES,396
,DECLINES,1245
,UNCHANGED,74

,Total securities that have hit their price bands today,110

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,IDEA,EQ,        97.70,       110.10,12.69,3118.73
,CPSEETF,EQ,        27.53,        26.94,-2.14,1153.96
,INFY,EQ,       949.35,       928.60,-2.19,1113.26
,IOC,EQ,       377.80,       366.40,-3.02,853.4
,ONGC,EQ,       201.85,       202.55,0.35,813.54
,COALINDIA,EQ,       314.70,       309.20,-1.75,529.91
,TCS,EQ,      2332.90,      2229.80,-4.42,523.03
,ICICIBANK,EQ,       270.80,       268.95,-0.68,503.21
,INFRATEL,EQ,       328.70,       293.80,-10.62,503.12
,AXISBANK,EQ,       471.90,       466.00,-1.25,496.1
,HCLTECH,EQ,       840.25,       811.15,-3.46,390.54
,BHARTIARTL,EQ,       345.65,       348.20,0.74,368.73
,GAIL,EQ,       483.85,       468.15,-3.24,364.86
,RELIANCE,EQ,      1044.80,      1045.20,0.04,361.7
,HDFC,EQ,      1371.90,      1365.85,-0.44,354.44
,TECHM,EQ,       471.60,       452.20,-4.11,353.64
,GRASIM,EQ,       969.55,       910.55,-6.09,339.98
,YESBANK,EQ,      1389.00,      1396.00,0.5,322.29
,TATAMOTORS,EQ,       532.30,       523.55,-1.64,317.05
,ITC,EQ,       256.10,       258.10,0.78,257.93
,BAJAJ-AUTO,EQ,      2825.05,      2833.45,0.3,257.78
,BHARATFIN,EQ,       738.50,       735.85,-0.36,253.72
,BAJFINANCE,EQ,      1054.80,      1036.90,-1.7,242.9
,SBIN,EQ,       263.95,       260.35,-1.36,232.59
,VEDL,EQ,       260.70,       253.10,-2.92,226.62

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,IDEA,EQ,       110.10,        97.70,12.69
,INDUSINDBK,EQ,      1252.05,      1239.70,1
,ITC,EQ,       258.10,       256.10,.78
,BHARTIARTL,EQ,       348.20,       345.65,.74
,POWERGRID,EQ,       207.20,       205.70,.73

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,INFRATEL,EQ,       293.80,       328.70,-10.62
,GRASIM,EQ,       910.55,       969.55,-6.09
,TCS,EQ,      2229.80,      2332.90,-4.42
,TECHM,EQ,       452.20,       471.60,-4.11
,HCLTECH,EQ,       811.15,       840.25,-3.46

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        38.75,                  2613650.15,67161
,3IINFOTECH,EQ,         5.60,                 15814238.10,2791739
,3MINDIA,EQ,     11957.50,                  6615309.60,551
,63MOONS,EQ,        80.40,                  6632619.75,82223
,8KMILES,EQ,       610.00,                 21458442.25,35021
,A2ZINFRA,EQ,        41.55,                 20403434.10,485558
,AARTIDRUGS,EQ,       619.45,                  5231269.55,8450
,AARTIIND,EQ,       718.30,                 19018468.50,26477
,AARVEEDEN,EQ,        85.90,                  1818357.25,20997
,ABAN,EQ,       243.40,                354767689.70,1423755
,ABBOTINDIA,EQ,      4401.70,                 14725811.85,3351
,ABFRL,EQ,       150.05,                 74212219.75,495073
,ABGSHIP,BZ,        28.25,                  1050647.65,37171
,ABIRLANUVO,EQ,      1355.20,               1216208968.70,880056
,ABMINTLTD,BE,       102.00,                    10200.00,100
,ACCELYA,EQ,      1627.95,                 16054047.90,9891
,ACE,EQ,        46.85,                  4994241.90,106666
,ADANIENT,EQ,        87.15,                936970740.60,10535197
,ADANIPOWER,EQ,        36.25,                493694334.65,13522484
,ADANITRANS,EQ,        63.25,                 64229470.95,988858
,ADFFOODS,EQ,       150.45,                 10712498.20,70590
,ADHUNIK,EQ,         7.40,                   705693.00,93907
,ADHUNIKIND,EQ,       104.95,                  3401225.50,32140
,ADLABS,EQ,        74.10,                 14109763.25,188610
,ADORWELD,EQ,       300.60,                  1459704.20,4845
,ADSL,BE,        34.60,                   414644.95,11889
,ADVANIHOTR,EQ,        56.15,                  1099326.50,19218
,ADVENZYMES,EQ,      1810.30,                203215413.05,112017
,AEGISCHEM,EQ,       129.25,                 42242257.10,325647
,AFL,EQ,        59.15,                   348892.90,5861
,AGARIND,EQ,       354.25,                  6674513.05,18848
,AGCNET,EQ,        86.55,                   730476.60,8482
,AGRITECH,EQ,        33.80,                   161459.50,4838
,AGROPHOS,SM,        23.35,                  1830900.00,78000
,AHLEAST,EQ,       204.15,                   467663.05,2311
,AHLUCONT,EQ,       274.40,                  2750454.70,10067
,AHLWEST,EQ,       215.00,                   462898.85,2165
,AIAENG,EQ,      1354.35,                 24382773.90,17975
,AICHAMP,BE,        24.30,                     5126.85,209
,AIFL,EQ,       422.85,                 28103680.45,65305
,AJANTPHARM,EQ,      1704.25,                250173971.90,146204
,AJMERA,EQ,       157.30,                 17412622.30,109741
,AKSHOPTFBR,EQ,        24.70,                 39643166.75,1596262
,AKZOINDIA,EQ,      1437.00,                 41641916.40,28916
,ALANKIT,EQ,        36.35,                 81156836.00,2195382
,ALBERTDAVD,EQ,       373.40,                  1138490.00,3042
,ALBK,EQ,        66.70,                121692131.05,1816392
,ALCHEM,EQ,        21.95,                   258592.60,11683
,ALEMBICLTD,EQ,        35.65,                  6465239.10,180417
,ALICON,EQ,       384.55,                  3602888.50,9486
,ALKALI,EQ,        76.40,                  1973937.75,25814
,ALKEM,EQ,      1668.35,                 42101442.35,25421
,ALKYLAMINE,EQ,       316.15,                   715531.30,2241
,ALLCARGO,EQ,       175.30,                  8278347.00,47321
,ALLSEC,EQ,       404.50,                 15815137.70,39160
,ALMONDZ,EQ,        14.90,                    64852.00,4274
,ALOKTEXT,EQ,         3.30,                 11779649.20,3569593
,ALPA,BE,        35.15,                   755218.95,20957
,ALPHAGEO,EQ,       884.90,                 14283791.25,16048
,ALPSINDUS,EQ,         8.50,                   570025.00,65305
,AMARAJABAT,EQ,       897.95,                155897030.60,172868
,AMBIKCO,EQ,      1122.55,                  8843164.25,7879
,AMDIND,EQ,        29.95,                   635924.50,21251
,AMRUTANJAN,EQ,       597.90,                  4948721.60,8266
,AMTEKAUTO,EQ,        33.70,                 30999948.60,920950
,AMTL,EQ,        29.40,                   112803.15,3834
,ANANTRAJ,EQ,        43.05,                 20456680.10,473601
,ANDHRABANK,EQ,        50.65,                 94939610.95,1866034
,ANDHRACEMT,EQ,         8.65,                  1958247.55,222442
,ANDHRSUGAR,EQ,       228.85,                 23253534.95,101319
,ANGIND,EQ,        10.65,                   256294.85,23967
,ANIKINDS,BE,        27.00,                    17227.50,645
,ANKITMETAL,EQ,         1.95,                   138771.75,69701
,ANSALAPI,EQ,        15.05,                  2613743.35,173823
,ANSALHSG,EQ,        24.25,                   982807.00,40162
,ANTGRAPHIC,BE,         1.35,                    26526.75,20205
,APARINDS,EQ,       622.50,                  8195557.70,13128
,APCOTEXIND,EQ,       313.15,                   712082.85,2272
,APLAPOLLO,EQ,      1046.45,                 16937980.30,16157
,APLLTD,EQ,       560.25,                 23219289.20,41408
,APOLLOTYRE,EQ,       180.40,                366807250.85,2025683
,APOLSINHOT,BE,       400.50,                    18178.00,46
,APTECHT,EQ,       183.80,                 59262001.10,316625
,ARCHIDPLY,EQ,        60.90,                  4165153.15,67378
,ARCHIES,EQ,        24.10,                  2345682.60,96951
,ARCOTECH,EQ,       574.80,                 58403728.20,101155
,ARIES,EQ,       166.20,                 12655090.70,74944
,ARIHANT,BE,        59.45,                     2675.25,45
,ARMANFIN,EQ,       186.70,                  3190059.10,16901
,AROGRANITE,EQ,        74.75,                  2777762.05,36908
,ARROWGREEN,EQ,       519.10,                 13911127.30,26609
,ARROWTEX,EQ,        40.65,                   884823.95,21735
,ARSHIYA,EQ,        38.45,                  3224150.55,83259
,ARSSINFRA,EQ,        70.05,                  6488389.65,91724
,ARVIND,EQ,       368.20,                658952332.55,1773838
,ARVSMART,EQ,        72.25,                  1305476.30,17952
,ASAHIINDIA,EQ,       198.05,                  1309810.95,6614
,ASAHISONG,EQ,       251.50,                 12926674.45,50364
,ASAL,EQ,        66.75,                  1685580.85,25253
