,21-Feb-2017
The Nifty witnessed an intraday movement of about 59.85 points.The closing index was 0.32 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 22346.46
, Traded Quantity (in Lakhs), 11294.54
, Number of Trades, 7868945
, Total Market Capitalisation (Rs. Crores), 11569763.56

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      8879.20,      8890.75,      8920.80,      8860.95,      8907.85,28.65
,Nifty IT,     10671.20,     10716.70,     10801.60,     10643.90,     10680.75,9.55
,Nifty Next 50,     24405.35,     24452.70,     24641.50,     24424.05,     24614.05,208.7
,Nifty Bank,     20677.10,     20695.90,     20903.35,     20619.25,     20860.95,183.85
,Nifty MID100 Free,     16349.95,     16389.30,     16479.40,     16384.90,     16452.50,102.55
,Nifty 500,      7691.85,      7704.40,      7735.35,      7690.25,      7725.25,33.4
,Nifty 100,      9169.40,      9182.30,      9220.05,      9162.35,      9207.25,37.85
,Nifty Midcap 50,      4145.70,      4155.80,      4182.75,      4150.90,      4176.45,30.75
,Nifty Realty,       191.95,       192.90,       193.20,       191.55,       192.80,.85
,Nifty Infra,      3042.20,      3038.55,      3046.05,      3026.30,      3031.65,-10.55
,Nifty Energy,     10947.15,     10967.80,     11035.10,     10950.20,     11024.45,77.3
,Nifty FMCG,     22439.65,     22443.05,     22487.50,     22232.60,     22450.55,10.9
,Nifty MNC,     10789.25,     10794.25,     10824.25,     10760.20,     10808.90,19.65
,Nifty Pharma,     10641.60,     10645.85,     10684.85,     10607.20,     10644.60,3
,Nifty PSE,      4106.30,      4120.15,      4138.35,      4114.05,      4133.40,27.1
,Nifty PSU Bank,      3292.95,      3303.10,      3317.50,      3285.95,      3310.80,17.85
,Nifty Serv Sector,     11534.55,     11556.05,     11614.00,     11515.40,     11593.85,59.3
,India VIX,13.6100,13.6100,14.2825,11.8925,13.5250,-0.0850
,Nifty Auto,      9743.95,      9757.65,      9777.75,      9722.35,      9758.90,14.95
,Nifty Metal,      3116.75,      3128.35,      3158.70,      3122.30,      3127.00,10.25
,Nifty Media,      3019.95,      3013.75,      3025.10,      2998.30,      3019.70,-.25
,Nifty SML100 Free,      6629.15,      6648.00,      6681.00,      6631.85,      6668.55,39.4
,Nifty 200,      4786.70,      4794.10,      4813.70,      4784.50,      4807.20,20.5
,Nifty Div Opps 50,      2294.10,      2302.10,      2305.95,      2294.25,      2302.45,8.35
,Nifty Commodities,      3412.20,      3421.10,      3435.75,      3414.75,      3429.95,17.75
,Nifty Consumption,      3919.95,      3918.25,      3935.95,      3905.10,      3929.05,9.1
,Nifty Fin Service,      8313.75,      8318.30,      8413.40,      8288.35,      8399.55,85.8
,Nifty50 Div Point,        97.88,        97.88,        97.88,        97.88,        97.88,0
,Nifty100 Liq 15,      3752.55,      3759.50,      3803.95,      3755.30,      3793.85,41.3
,Nifty CPSE,      2578.85,      2587.60,      2600.95,      2581.50,      2598.75,19.9
,Nifty GrowSect 15,      5450.05,      5463.95,      5470.20,      5425.45,      5449.15,-.9
,Nifty50 PR 2x Lev,      3474.40,      3482.90,      3505.55,      3459.65,      3496.25,21.85
,Nifty50 PR 1x Inv,       463.60,       463.05,       464.60,       461.55,       462.15,-1.45
,Nifty50 TR 2x Lev,      4179.40,      4189.55,      4216.85,      4161.60,      4205.65,26.25
,Nifty50 TR 1x Inv,       422.65,       422.20,       423.60,       420.80,       421.40,-1.25
,Nifty50 Value 20,      3866.55,      3878.15,      3895.30,      3863.65,      3888.25,21.7
,Nifty Mid Liq 15,      3453.35,      3463.40,      3501.55,      3459.85,      3495.40,42.05
,Nifty Pvt Bank,     11443.65,     11458.20,     11586.95,     11418.85,     11559.40,115.75
,Nifty Quality 30,      2224.95,      2230.40,      2232.05,      2219.70,      2227.35,2.4
,Nifty GS 8 13Yr,      1646.38,      1646.71,      1646.71,      1646.71,      1646.71,.33
,Nifty GS 10Yr,      1576.16,      1576.45,      1576.45,      1576.45,      1576.45,.29
,Nifty GS 10Yr Cln,       971.88,       971.88,       971.88,       971.88,       971.88,0
,Nifty GS 4 8Yr,      1712.84,      1713.19,      1713.19,      1713.19,      1713.19,.35
,Nifty GS 11 15Yr,      1701.54,      1701.88,      1701.88,      1701.88,      1701.88,.34
,Nifty GS 15YrPlus,      1800.27,      1800.64,      1800.64,      1800.64,      1800.64,.37
,Nifty GS Compsite,      1682.04,      1682.37,      1682.37,      1682.37,      1682.37,.33

,ADVANCES,923
,DECLINES,700
,UNCHANGED,84

,Total securities that have hit their price bands today,97

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,MFSL,EQ,       594.75,       564.85,-5.03,1225.62
,AXISBANK,EQ,       481.05,       504.35,4.84,810.72
,TCS,EQ,      2502.20,      2465.35,-1.47,684.98
,JINDALSTEL,EQ,       100.15,       109.40,9.24,631.41
,DRREDDY,EQ,      2898.75,      2894.05,-0.16,442.27
,TATASTEEL,EQ,       487.05,       490.95,0.8,396.18
,INFY,EQ,      1010.25,      1013.60,0.33,386.2
,RELIANCE,EQ,      1075.40,      1088.20,1.19,351.79
,VEDL,EQ,       270.40,       268.85,-0.57,317.65
,AUROPHARMA,EQ,       669.40,       686.05,2.49,316.33
,TATAMOTORS,EQ,       455.45,       458.65,0.7,315.71
,JUSTDIAL,EQ,       484.50,       506.80,4.6,307.77
,JETAIRWAYS,EQ,       382.15,       410.90,7.52,306.66
,ICICIBANK,EQ,       282.35,       284.80,0.87,290.17
,ITC,EQ,       266.05,       263.15,-1.09,259.18
,HINDALCO,EQ,       183.30,       182.45,-0.46,244.42
,RAYMOND,EQ,       504.15,       572.30,13.52,243.09
,BHARTIARTL,EQ,       375.35,       362.85,-3.33,232.42
,INDUSINDBK,EQ,      1336.45,      1331.20,-0.39,222.31
,INDIACEM,EQ,       162.85,       172.25,5.77,222.2
,HDFCBANK,EQ,      1409.10,      1415.55,0.46,220.31
,IDEA,EQ,       108.45,       108.35,-0.09,219.23
,SBIN,EQ,       269.65,       270.70,0.39,209.47
,SUNPHARMA,EQ,       679.65,       673.20,-0.95,200.93
,YESBANK,EQ,      1429.25,      1449.75,1.43,193.66

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,AXISBANK,EQ,       504.35,       481.05,4.84
,AUROPHARMA,EQ,       686.05,       669.40,2.49
,ASIANPAINT,EQ,       991.50,       975.75,1.61
,TECHM,EQ,       507.90,       499.95,1.59
,YESBANK,EQ,      1449.75,      1429.25,1.43

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,INFRATEL,EQ,       295.60,       308.75,-4.26
,BHARTIARTL,EQ,       362.85,       375.35,-3.33
,TCS,EQ,      2465.35,      2502.20,-1.47
,TATAPOWER,EQ,        84.25,        85.35,-1.29
,ITC,EQ,       263.15,       266.05,-1.09

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        36.65,                  1848288.70,50146
,3IINFOTECH,EQ,         5.40,                 17182295.75,3089823
,3MINDIA,EQ,     11189.35,                  7204391.65,645
,63MOONS,EQ,        81.55,                  6703880.85,81785
,8KMILES,EQ,       593.15,                 13949155.30,23380
,A2ZINFRA,EQ,        41.20,                 10443514.85,252323
,AARTIDRUGS,EQ,       615.00,                  4178322.35,6819
,AARTIIND,EQ,       788.35,                  5184958.15,6560
,AARVEEDEN,EQ,        75.25,                   514034.10,6868
,ABAN,EQ,       237.25,                162122796.85,681443
,ABBOTINDIA,EQ,      4506.20,                  8974355.05,1996
,ABFRL,EQ,       157.45,                 69964881.10,439982
,ABGSHIP,BZ,        27.00,                   488493.15,18021
,ABIRLANUVO,EQ,      1544.10,                408814986.50,264909
,ABMINTLTD,BE,       139.55,                     4606.40,33
,ACCELYA,EQ,      1530.80,                  2396792.40,1558
,ACE,EQ,        50.50,                 72402080.50,1390509
,ADANIENT,EQ,        97.45,                355109207.85,3633716
,ADANIPOWER,EQ,        35.75,                199874841.80,5616746
,ADANITRANS,EQ,        63.60,                 16619987.95,259439
,ADFFOODS,EQ,       150.35,                  3286985.95,21741
,ADHUNIK,EQ,         7.90,                  1909613.75,240874
,ADHUNIKIND,EQ,       101.15,                  3282368.75,31839
,ADLABS,EQ,        77.55,                 45030145.75,582219
,ADORWELD,EQ,       291.40,                  1377807.75,4711
,ADSL,BE,        31.90,                   502347.25,15524
,ADVANIHOTR,EQ,        53.75,                    88098.55,1642
,ADVENZYMES,EQ,      1639.90,                226542504.55,136897
,AEGISCHEM,EQ,       203.80,                 58401768.30,283474
,AFL,EQ,        67.60,                  1936530.50,29052
,AGARIND,EQ,       409.35,                  2705698.85,6596
,AGCNET,EQ,        91.80,                   783478.10,8627
,AGRITECH,EQ,        32.50,                   175596.75,5481
,AGROPHOS,SM,        22.00,                   264300.00,12000
,AHLEAST,EQ,       221.45,                   129448.00,580
,AHLUCONT,EQ,       301.70,                  4322649.65,14320
,AHLWEST,EQ,       215.95,                   349677.35,1636
,AIAENG,EQ,      1480.60,                304750124.95,206734
,AICHAMP,BE,        23.05,                       23.05,1
,AIFL,EQ,       430.25,                 63187745.80,146086
,AJANTPHARM,EQ,      1728.65,                149247227.25,86035
,AJMERA,EQ,       177.90,                 12209816.35,68282
,AKSHOPTFBR,EQ,        23.45,                 30266362.85,1290132
,AKZOINDIA,EQ,      1473.70,                 11333143.75,7678
,ALANKIT,EQ,        29.00,                 75286303.40,2599954
,ALBERTDAVD,EQ,       342.15,                   606405.45,1768
,ALBK,EQ,        71.65,                220453785.15,3082030
,ALCHEM,EQ,        21.80,                    83329.80,3805
,ALEMBICLTD,EQ,        39.10,                 14711478.25,374331
,ALICON,EQ,       372.00,                   713616.05,1904
,ALKALI,EQ,        77.85,                   555789.95,7116
,ALKEM,EQ,      2000.05,                698793845.25,346789
,ALKYLAMINE,EQ,       364.10,                  2636961.85,7206
,ALLCARGO,EQ,       166.75,                  3998740.40,23872
,ALLSEC,EQ,       441.60,                  7026186.15,15708
,ALMONDZ,EQ,        15.15,                   203240.60,13254
,ALOKTEXT,EQ,         3.40,                  6620049.10,1931266
,ALPA,BE,        42.60,                   632657.30,14917
,ALPHAGEO,EQ,       949.40,                  6875790.55,7204
,ALPSINDUS,EQ,         7.60,                   706710.35,92047
,AMARAJABAT,EQ,       859.00,                326761842.00,379032
,AMBIKCO,EQ,      1207.75,                 16712363.30,13936
,AMDIND,EQ,        28.25,                   185098.30,6594
,AMRUTANJAN,EQ,       573.45,                  9069654.00,15837
,AMTEKAUTO,EQ,        35.60,                 57543709.65,1626882
,AMTL,EQ,        23.80,                   125419.40,5347
,ANANDAMRUB,EQ,        17.60,                     7040.00,400
,ANANTRAJ,EQ,        46.85,                 43144943.90,925934
,ANDHRABANK,EQ,        54.90,                157337204.25,2867889
,ANDHRACEMT,BE,        11.25,                  1658716.50,149142
,ANDHRSUGAR,EQ,       269.60,                  9583940.40,35401
,ANGIND,EQ,        10.65,                   308584.95,28757
,ANKITMETAL,EQ,         1.95,                   447805.00,236189
,ANSALAPI,EQ,        15.35,                  1368337.05,89679
,ANSALHSG,EQ,        23.50,                   344760.30,14690
,ANTGRAPHIC,BE,         1.45,                    30985.00,21300
,APARINDS,EQ,       739.80,                  3591502.20,4840
,APCOTEXIND,EQ,       336.95,                  4196674.15,12369
,APLAPOLLO,EQ,      1086.50,                 10986329.10,10156
,APLLTD,EQ,       591.45,                 43076264.00,73385
,APOLLOTYRE,EQ,       180.00,                387393979.15,2152875
,APOLSINHOT,BE,       689.00,                    23403.20,34
,APTECHT,EQ,       240.80,                160283125.75,662852
,ARCHIDPLY,EQ,        69.25,                 29931631.15,426946
,ARCHIES,EQ,        24.40,                  1700446.50,70229
,ARCOTECH,EQ,       629.35,                133126419.90,210855
,ARIES,EQ,       169.20,                 14233704.30,83267
,ARMANFIN,EQ,       226.05,                  1638603.05,7228
,AROGRANITE,EQ,        76.85,                 17134705.45,223333
,ARROWGREEN,EQ,       478.95,                  1814458.75,3768
,ARROWTEX,EQ,        45.25,                  1706280.15,37626
,ARSHIYA,EQ,        56.00,                 13175629.50,238903
,ARSSINFRA,EQ,        66.35,                 16112983.30,241766
,ARVIND,EQ,       382.75,                699493995.50,1825980
,ARVSMART,EQ,        68.70,                  3222378.00,47037
,ASAHIINDIA,EQ,       214.00,                 40486568.30,189205
,ASAHISONG,EQ,       249.00,                  4717745.10,19053
,ASAL,EQ,        67.70,                  2634256.40,38427
