,16-Mar-2017
The Nifty witnessed an intraday movement of about 29.9 points.The closing index was 0.76 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 24578.69
, Traded Quantity (in Lakhs), 13559.34
, Number of Trades, 9194777
, Total Market Capitalisation (Rs. Crores), 11823832.12

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      9084.80,      9129.65,      9158.45,      9128.55,      9153.70,68.9
,Nifty IT,     10696.55,     10765.65,     10838.15,     10752.20,     10822.10,125.55
,Nifty Next 50,     24581.95,     24702.80,     24938.65,     24694.70,     24924.90,342.95
,Nifty Bank,     21157.90,     21237.50,     21289.80,     21194.25,     21249.90,92
,Nifty MID100 Free,     16663.80,     16746.25,     16903.25,     16741.20,     16893.30,229.5
,Nifty 500,      7854.75,      7893.50,      7931.65,      7892.65,      7928.55,73.8
,Nifty 100,      9356.85,      9403.05,      9441.95,      9401.85,      9437.90,81.05
,Nifty Midcap 50,      4256.10,      4281.30,      4330.90,      4280.15,      4327.30,71.2
,Nifty Realty,       203.90,       205.70,       206.75,       205.00,       206.45,2.55
,Nifty Infra,      3061.70,      3078.60,      3105.90,      3077.05,      3103.90,42.2
,Nifty Energy,     11469.50,     11537.15,     11541.15,     11476.80,     11524.80,55.3
,Nifty FMCG,     22793.15,     22930.85,     22986.05,     22806.75,     22905.45,112.3
,Nifty MNC,     10875.60,     10939.50,     10979.45,     10931.90,     10968.95,93.35
,Nifty Pharma,     10671.05,     10724.25,     10775.20,     10698.45,     10731.20,60.15
,Nifty PSE,      3944.25,      3969.70,      3991.95,      3963.35,      3989.75,45.5
,Nifty PSU Bank,      3351.35,      3365.80,      3398.10,      3346.20,      3388.20,36.85
,Nifty Serv Sector,     11683.70,     11730.70,     11798.95,     11728.40,     11790.70,107
,India VIX,12.4225,12.4225,12.4225,11.3425,11.9100,-0.5125
,Nifty Auto,      9987.65,     10032.65,     10064.25,     10025.30,     10056.50,68.85
,Nifty Metal,      3046.50,      3077.70,      3142.85,      3069.10,      3135.55,89.05
,Nifty Media,      3102.55,      3116.40,      3120.00,      3101.55,      3113.80,11.25
,Nifty SML100 Free,      6727.00,      6763.15,      6810.65,      6762.90,      6801.75,74.75
,Nifty 200,      4883.50,      4907.85,      4931.05,      4907.25,      4929.05,45.55
,Nifty Div Opps 50,      2291.10,      2302.60,      2320.00,      2302.10,      2318.35,27.25
,Nifty Commodities,      3405.75,      3429.35,      3454.10,      3425.40,      3451.20,45.45
,Nifty Consumption,      4014.00,      4027.60,      4036.55,      4021.30,      4035.00,21
,Nifty Fin Service,      8544.55,      8573.95,      8610.00,      8568.40,      8601.15,56.6
,Nifty50 Div Point,       108.55,       110.85,       110.85,       110.85,       110.85,2.3
,Nifty100 Liq 15,      3841.25,      3863.90,      3901.65,      3862.20,      3898.30,57.05
,Nifty CPSE,      2504.40,      2527.30,      2532.30,      2516.30,      2529.95,25.55
,Nifty GrowSect 15,      5525.90,      5552.10,      5579.80,      5548.65,      5573.35,47.45
,Nifty50 PR 2x Lev,      3621.85,      3657.05,      3679.75,      3656.85,      3676.20,54.35
,Nifty50 PR 1x Inv,       454.60,       452.40,       452.40,       451.00,       451.20,-3.4
,Nifty50 TR 2x Lev,      4367.00,      4411.60,      4438.95,      4411.35,      4434.70,67.7
,Nifty50 TR 1x Inv,       413.95,       411.90,       411.90,       410.60,       410.80,-3.15
,Nifty50 Value 20,      3990.80,      4008.85,      4019.90,      4000.40,      4014.05,23.25
,Nifty Mid Liq 15,      3547.65,      3566.20,      3598.80,      3562.15,      3596.25,48.6
,Nifty Pvt Bank,     11738.00,     11788.55,     11818.60,     11769.80,     11786.70,48.7
,Nifty Quality 30,      2245.70,      2255.90,      2265.05,      2254.75,      2263.65,17.95
,Nifty GS 8 13Yr,      1656.55,      1656.90,      1664.30,      1655.50,      1656.20,-.35
,Nifty GS 10Yr,      1591.05,      1591.35,      1597.75,      1589.15,      1590.55,-.5
,Nifty GS 10Yr Cln,       976.90,       976.90,       980.85,       975.55,       976.40,-.5
,Nifty GS 4 8Yr,      1711.55,      1711.90,      1715.60,      1711.90,      1712.20,.65
,Nifty GS 11 15Yr,      1710.70,      1711.05,      1721.35,      1711.05,      1712.05,1.35
,Nifty GS 15YrPlus,      1791.90,      1792.30,      1797.55,      1792.30,      1796.55,4.65
,Nifty GS Compsite,      1689.90,      1690.25,      1697.20,      1689.90,      1690.40,.5

,ADVANCES,1157
,DECLINES,501
,UNCHANGED,87

,Total securities that have hit their price bands today,118

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELCAPITAL,EQ,       556.75,       604.10,8.5,614.34
,TATASTEEL,EQ,       479.05,       499.65,4.3,513.62
,SBIN,EQ,       277.35,       279.30,0.7,501.22
,HDFC,EQ,      1426.10,      1450.25,1.69,491.99
,RELIANCE,EQ,      1304.95,      1297.65,-0.56,473.28
,IDEA,EQ,       113.10,       112.95,-0.13,417.61
,VEDL,EQ,       256.10,       264.55,3.3,363.71
,BHARATFIN,EQ,       801.90,       805.10,0.4,346.18
,HINDALCO,EQ,       190.85,       198.75,4.14,345.95
,INFY,EQ,      1011.95,      1028.85,1.67,343.49
,YESBANK,EQ,      1529.05,      1527.95,-0.07,313.02
,TATAMOTORS,EQ,       473.45,       480.95,1.58,300.6
,JINDALSTEL,EQ,       122.95,       128.35,4.39,279.94
,ICICIBANK,EQ,       285.15,       284.50,-0.23,277.3
,AXISBANK,EQ,       511.70,       513.65,0.38,275.57
,JUSTDIAL,EQ,       590.95,       614.95,4.06,274.41
,COALINDIA,EQ,       292.70,       291.95,-0.26,251.7
,HEROMOTOCO,EQ,      3401.10,      3348.00,-1.56,251.2
,LT,EQ,      1548.90,      1571.05,1.43,250.51
,IBULHSGFIN,EQ,       912.60,       947.00,3.77,249.28
,SUZLON,EQ,        17.00,        18.35,7.94,240.71
,ITC,EQ,       268.20,       268.45,0.09,233.33
,ADANIPORTS,EQ,       310.30,       325.70,4.96,227.13
,SUNPHARMA,EQ,       705.85,       710.80,0.7,220.11
,RELINFRA,EQ,       576.05,       594.65,3.23,218.99

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ADANIPORTS,EQ,       325.70,       310.30,4.96
,TATASTEEL,EQ,       499.65,       479.05,4.3
,HINDALCO,EQ,       198.75,       190.85,4.14
,TATAMTRDVR,EQ,       292.85,       286.45,2.23
,ASIANPAINT,EQ,      1087.55,      1064.05,2.21

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HEROMOTOCO,EQ,      3348.00,      3401.10,-1.56
,BHARTIARTL,EQ,       360.65,       363.20,-0.7
,RELIANCE,EQ,      1297.65,      1304.95,-0.56
,COALINDIA,EQ,       291.95,       292.70,-0.26
,ICICIBANK,EQ,       284.50,       285.15,-0.23

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        35.90,                  2346045.85,65785
,3IINFOTECH,EQ,         5.00,                  8922847.30,1785615
,3MINDIA,EQ,     11187.65,                 22310332.85,1995
,63MOONS,EQ,        78.10,                  4708038.85,60288
,8KMILES,EQ,       624.10,                 13531773.45,21613
,A2ZINFRA,EQ,        42.60,                 39044585.40,919435
,AARTIDRUGS,EQ,       583.40,                  7899123.85,13473
,AARTIIND,EQ,       796.70,                 45218206.55,56635
,AARVEEDEN,EQ,        74.40,                   265915.05,3568
,ABAN,EQ,       225.20,                140020602.25,620289
,ABBOTINDIA,EQ,      4587.55,                 16101395.25,3520
,ABFRL,EQ,       152.75,                167739673.65,1115460
,ABGSHIP,BZ,        21.05,                   983354.50,47160
,ABIRLANUVO,EQ,      1526.55,                320893668.00,210477
,ABMINTLTD,BE,        37.35,                     7470.00,200
,ACCELYA,EQ,      1397.45,                  8685421.20,6165
,ACE,EQ,        54.20,                  6784622.25,124605
,ADANIENT,EQ,       102.75,                733210514.80,7119866
,ADANIPOWER,EQ,        39.90,                391752159.70,9915635
,ADANITRANS,EQ,        65.40,                 49465948.50,750502
,ADFFOODS,EQ,       165.75,                 11401661.70,68243
,ADHUNIK,EQ,         7.20,                   553637.80,76158
,ADHUNIKIND,EQ,       103.05,                  2712105.95,26257
,ADLABS,EQ,        84.95,                 62296487.35,738521
,ADORWELD,EQ,       302.35,                   346352.40,1152
,ADSL,BE,        29.70,                   718927.60,24753
,ADVANIHOTR,EQ,        55.65,                   618780.30,10908
,ADVENZYMES,EQ,      1734.95,                393661843.30,223988
,AEGISCHEM,EQ,       208.60,                 52649006.55,253642
,AFL,EQ,        71.85,                  7597290.10,106615
,AGARIND,EQ,       551.40,                 35569711.95,64012
,AGCNET,EQ,        85.55,                   556137.10,6524
,AGRITECH,EQ,        40.00,                  1712658.30,43582
,AGROPHOS,SM,        21.50,                  5091600.00,240000
,AHLEAST,EQ,       220.40,                   223638.50,1022
,AHLUCONT,EQ,       311.20,                  2223533.40,7156
,AHLWEST,EQ,       220.00,                   957955.05,4341
,AIAENG,EQ,      1495.10,                 98547368.60,65512
,AIFL,EQ,       382.15,                 19060224.15,49564
,AJANTPHARM,EQ,      1763.80,                145849307.55,82809
,AJMERA,EQ,       190.55,                 14658154.60,76608
,AKASH,SM,       128.00,                 31197900.00,243000
,AKSHOPTFBR,EQ,        23.80,                 85745671.05,3690452
,AKZOINDIA,EQ,      1604.50,                  8446716.00,5255
,ALANKIT,EQ,        23.55,                 48456675.70,2024427
,ALBERTDAVD,EQ,       332.60,                   501502.55,1507
,ALBK,EQ,        71.85,                173047690.05,2426017
,ALCHEM,EQ,        24.50,                   812757.50,33015
,ALEMBICLTD,EQ,        36.95,                 38165967.95,1041226
,ALICON,EQ,       418.85,                  3041924.35,7359
,ALKALI,EQ,        78.50,                  1814239.75,23186
,ALKEM,EQ,      1953.50,                 50442325.50,25813
,ALKYLAMINE,EQ,       373.45,                   983090.45,2629
,ALLCARGO,EQ,       169.55,                 56267359.65,328271
,ALLSEC,EQ,       388.95,                  3734177.55,9533
,ALMONDZ,EQ,        14.65,                    21142.00,1485
,ALOKTEXT,EQ,         3.10,                  5037363.15,1633431
,ALPA,BE,        42.20,                   803590.15,19327
,ALPHAGEO,EQ,       939.20,                  6413965.90,6828
,ALPSINDUS,EQ,         6.90,                   945153.55,136155
,AMARAJABAT,EQ,       884.90,                939732952.30,1061256
,AMBIKCO,EQ,      1288.10,                  5752217.65,4480
,AMDIND,EQ,        27.90,                   309070.80,11053
,AMRUTANJAN,EQ,       537.25,                  6372626.70,11797
,AMTEKAUTO,EQ,        36.20,                 45964715.05,1268901
,AMTL,EQ,        24.20,                   842321.45,34797
,ANANDAMRUB,EQ,        15.50,                     2309.50,149
,ANANTRAJ,EQ,        50.50,                 72630589.65,1443919
,ANDHRABANK,EQ,        55.90,                129536098.85,2329205
,ANDHRACEMT,BE,         9.90,                  1377752.25,138915
,ANDHRSUGAR,EQ,       277.15,                 11325219.10,41046
,ANGIND,EQ,        10.25,                   478700.45,47171
,ANIKINDS,BE,        25.65,                    17930.00,700
,ANKITMETAL,EQ,         1.85,                   538165.70,306007
,ANSALAPI,EQ,        15.50,                  4673747.80,300843
,ANSALHSG,EQ,        23.10,                  1442701.00,62757
,ANTGRAPHIC,BE,         1.20,                    69076.75,57301
,APARINDS,EQ,       768.10,                 37503474.40,48925
,APCOTEXIND,EQ,       310.75,                  3163691.90,10114
,APLAPOLLO,EQ,      1143.50,                 43401452.50,38353
,APLLTD,EQ,       604.45,                 20219509.80,33144
,APOLLOTYRE,EQ,       196.25,                750338785.25,3822845
,APOLSINHOT,BE,       524.00,                     5240.00,10
,APTECHT,EQ,       241.00,                395432571.20,1657727
,ARCHIDPLY,EQ,        70.40,                  2072153.40,29330
,ARCHIES,EQ,        23.10,                  1577810.80,68273
,ARCOTECH,EQ,       678.30,                  8040138.40,11854
,ARIES,EQ,       157.05,                 16864177.25,107156
,ARIHANT,BE,        50.00,                     5240.00,110
,ARMANFIN,EQ,       214.10,                  1775700.05,8310
,AROGRANITE,EQ,        73.00,                   674240.50,9285
,ARROWGREEN,EQ,       436.85,                  3940465.60,9086
,ARROWTEX,EQ,        44.30,                  1189077.85,26882
,ARSHIYA,BE,        53.40,                  2535426.95,47850
,ARSSINFRA,EQ,        66.10,                 13114674.60,199482
,ARVIND,EQ,       408.40,                648223147.70,1590657
,ARVSMART,EQ,        82.40,                 13033300.15,158849
