,23-Mar-2017
The Nifty witnessed an intraday movement of about 50.45 points.The closing index was 0.62 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 24331.15
, Traded Quantity (in Lakhs), 11536.72
, Number of Trades, 8369919
, Total Market Capitalisation (Rs. Crores), 11820480.93

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      9030.45,      9048.75,      9099.05,      9048.60,      9086.30,55.85
,Nifty IT,     10783.30,     10794.25,     10863.85,     10785.70,     10850.80,67.5
,Nifty Next 50,     24550.15,     24702.55,     24820.85,     24696.10,     24795.85,245.7
,Nifty Bank,     20781.35,     20848.75,     20934.75,     20775.35,     20895.50,114.15
,Nifty MID100 Free,     16721.80,     16786.95,     16906.65,     16785.10,     16893.05,171.25
,Nifty 500,      7830.10,      7852.05,      7895.70,      7852.05,      7885.70,55.6
,Nifty 100,      9308.30,      9333.75,      9384.40,      9333.75,      9371.90,63.6
,Nifty Midcap 50,      4267.45,      4281.40,      4313.45,      4276.85,      4310.30,42.85
,Nifty Realty,       211.80,       212.30,       215.25,       211.65,       212.25,.45
,Nifty Infra,      3014.05,      3027.85,      3045.15,      3017.30,      3039.10,25.05
,Nifty Energy,     11321.65,     11394.15,     11478.40,     11368.20,     11456.65,135
,Nifty FMCG,     23390.75,     23288.30,     23554.70,     23212.30,     23335.30,-55.45
,Nifty MNC,     10842.20,     10873.80,     10913.10,     10859.50,     10875.75,33.55
,Nifty Pharma,     10510.55,     10541.55,     10586.05,     10499.75,     10575.20,64.65
,Nifty PSE,      3953.65,      3983.05,      4005.30,      3979.15,      4001.20,47.55
,Nifty PSU Bank,      3241.00,      3256.55,      3259.95,      3232.20,      3252.10,11.1
,Nifty Serv Sector,     11596.75,     11625.85,     11696.65,     11618.75,     11682.50,85.75
,India VIX,12.2700,12.2700,12.2700,11.2375,11.8350,-0.4350
,Nifty Auto,      9803.95,      9830.00,      9915.00,      9818.15,      9897.95,94
,Nifty Metal,      3079.15,      3096.25,      3120.80,      3093.80,      3113.20,34.05
,Nifty Media,      3076.80,      3084.40,      3104.05,      3080.80,      3099.65,22.85
,Nifty SML100 Free,      6774.25,      6803.15,      6848.00,      6802.00,      6839.45,65.2
,Nifty 200,      4865.55,      4879.00,      4906.55,      4879.00,      4900.20,34.65
,Nifty Div Opps 50,      2307.60,      2314.20,      2328.15,      2314.10,      2325.60,18
,Nifty Commodities,      3413.15,      3434.35,      3452.20,      3431.60,      3447.50,34.35
,Nifty Consumption,      3966.95,      3971.35,      3987.50,      3971.10,      3980.85,13.9
,Nifty Fin Service,      8472.60,      8501.45,      8531.90,      8466.40,      8520.90,48.3
,Nifty50 Div Point,       110.85,       110.85,       110.85,       110.85,       110.85,0
,Nifty100 Liq 15,      3774.35,      3789.15,      3829.85,      3785.15,      3824.95,50.6
,Nifty CPSE,      2516.95,      2533.75,      2546.55,      2531.50,      2542.25,25.3
,Nifty GrowSect 15,      5562.75,      5562.65,      5589.15,      5561.70,      5574.75,12
,Nifty50 PR 2x Lev,      3573.80,      3587.70,      3627.40,      3587.60,      3617.45,43.65
,Nifty50 PR 1x Inv,       457.80,       456.95,       456.95,       454.40,       455.00,-2.8
,Nifty50 TR 2x Lev,      4311.20,      4327.95,      4375.85,      4327.85,      4363.85,52.65
,Nifty50 TR 1x Inv,       416.80,       416.00,       416.00,       413.70,       414.25,-2.55
,Nifty50 Value 20,      3914.50,      3925.75,      3952.70,      3924.45,      3947.70,33.2
,Nifty Mid Liq 15,      3567.45,      3581.60,      3601.90,      3572.90,      3596.85,29.4
,Nifty Pvt Bank,     11517.45,     11553.35,     11619.20,     11523.60,     11596.10,78.65
,Nifty Quality 30,      2252.75,      2255.65,      2264.25,      2254.95,      2261.70,8.95
,Nifty GS 8 13Yr,      1665.75,      1666.05,      1671.95,      1663.85,      1667.90,2.15
,Nifty GS 10Yr,      1594.70,      1595.00,      1600.60,      1592.85,      1596.35,1.65
,Nifty GS 10Yr Cln,       977.85,       977.85,       981.30,       976.50,       978.70,.85
,Nifty GS 4 8Yr,      1723.85,      1724.20,      1729.15,      1723.75,      1725.55,1.7
,Nifty GS 11 15Yr,      1726.35,      1726.70,      1734.15,      1722.95,      1728.90,2.55
,Nifty GS 15YrPlus,      1807.80,      1808.15,      1812.05,      1807.95,      1809.50,1.7
,Nifty GS Compsite,      1701.15,      1701.50,      1707.65,      1699.60,      1703.40,2.25

,ADVANCES,1087
,DECLINES,567
,UNCHANGED,80

,Total securities that have hit their price bands today,122

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,BHARATFIN,EQ,       805.85,       841.65,4.44,722.05
,YESBANK,EQ,      1470.85,      1518.60,3.25,621.65
,HINDZINC,EQ,       311.85,       319.55,2.47,571.89
,RELCAPITAL,EQ,       589.00,       612.10,3.92,558.07
,ITC,EQ,       279.85,       277.60,-0.8,469.23
,TATAMOTORS,EQ,       459.90,       472.90,2.83,407.48
,CAIRN,EQ,       291.90,       299.80,2.71,375.14
,VEDL,EQ,       261.10,       265.70,1.76,370.18
,RELIANCE,EQ,      1259.70,      1273.30,1.08,342.62
,HDFC,EQ,      1442.30,      1456.65,0.99,339.08
,AXISBANK,EQ,       485.45,       488.25,0.58,338.18
,COALINDIA,EQ,       292.15,       295.90,1.28,331.35
,HINDPETRO,EQ,       510.95,       521.75,2.11,328.38
,DIVISLAB,EQ,       627.00,       622.55,-0.71,326.51
,TCS,EQ,      2478.95,      2460.35,-0.75,322.34
,ICICIBANK,EQ,       265.00,       266.95,0.74,320.13
,DMART,EQ,       638.55,       634.85,-0.58,299.81
,IDEA,EQ,        91.30,        91.60,0.33,276.76
,MARUTI,EQ,      6005.80,      6034.80,0.48,270.3
,LT,EQ,      1529.85,      1543.90,0.92,259.03
,IOC,EQ,       372.75,       376.80,1.09,252.44
,BPCL,EQ,       645.00,       655.05,1.56,250.67
,INFY,EQ,      1027.70,      1040.45,1.24,233.76
,MRF,EQ,     57849.20,     59507.10,2.87,216.44
,SBIN,EQ,       267.50,       268.50,0.37,214.46

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,YESBANK,EQ,      1518.60,      1470.85,3.25
,TATAMOTORS,EQ,       472.90,       459.90,2.83
,NTPC,EQ,       164.40,       160.75,2.27
,GAIL,EQ,       376.90,       369.00,2.14
,WIPRO,EQ,       510.00,       500.55,1.89

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ITC,EQ,       277.60,       279.85,-0.8
,TCS,EQ,      2460.35,      2478.95,-0.75
,EICHERMOT,EQ,     24373.55,     24541.00,-0.68
,HINDUNILVR,EQ,       902.00,       904.95,-0.33
,AMBUJACEM,EQ,       232.65,       233.00,-0.15

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        34.40,                   986906.65,28657
,3IINFOTECH,EQ,         4.70,                  8377305.20,1755016
,3MINDIA,EQ,     11019.45,                 23753209.10,2154
,63MOONS,EQ,        77.15,                  3543375.05,45892
,8KMILES,EQ,       593.90,                 18018572.90,30227
,A2ZINFRA,EQ,        45.10,                 38651128.75,860177
,AARTIDRUGS,EQ,       570.80,                  1834562.00,3207
,AARTIIND,EQ,       783.30,                513661194.70,656403
,AARVEEDEN,EQ,        73.90,                   426874.35,5764
,ABAN,EQ,       223.20,                246534924.25,1103946
,ABBOTINDIA,EQ,      4812.65,                 68560261.90,14606
,ABFRL,EQ,       154.10,                 42165304.60,274501
,ABGSHIP,BZ,        22.00,                  6683204.45,303326
,ABIRLANUVO,EQ,      1573.85,                632912691.25,403456
,ABMINTLTD,BE,        45.35,                       45.35,1
,ACCELYA,EQ,      1425.40,                 17048036.80,12110
,ACE,EQ,        53.35,                  8296372.60,155974
,ADANIENT,EQ,       104.55,                452155700.00,4346658
,ADANIPOWER,EQ,        39.95,                244590658.00,6163182
,ADANITRANS,EQ,        63.00,                 21682080.70,343539
,ADFFOODS,EQ,       165.60,                 12949440.45,77459
,ADHUNIK,EQ,         7.25,                   344507.55,47184
,ADHUNIKIND,EQ,       106.25,                  2791983.00,26642
,ADLABS,EQ,        83.45,                 14316024.50,170694
,ADORWELD,EQ,       300.80,                   526618.65,1751
,ADSL,BE,        29.65,                   412322.20,13902
,ADVANIHOTR,EQ,        56.35,                   116038.55,2058
,ADVENZYMES,EQ,      2127.70,               1029595055.25,477727
,AEGISCHEM,EQ,       203.10,                 44086300.10,215879
,AFL,EQ,        67.55,                  1893297.55,27948
,AGARIND,BE,       578.95,                  3313985.85,5767
,AGCNET,EQ,        84.80,                   185627.85,2185
,AGRITECH,EQ,        39.20,                   766394.90,19561
,AGROPHOS,SM,        21.95,                   131700.00,6000
,AHLEAST,EQ,       223.95,                   129213.15,590
,AHLUCONT,EQ,       315.90,                  2824484.05,8908
,AHLWEST,EQ,       215.60,                   127468.90,583
,AIAENG,EQ,      1501.40,                 26374876.35,17386
,AICHAMP,BE,        31.50,                       31.50,1
,AIFL,EQ,       382.15,                 31185837.20,81199
,AJANTPHARM,EQ,      1840.20,                113204833.35,61535
,AJMERA,EQ,       206.95,                 45086552.90,216974
,AKASH,SM,       127.80,                  7670600.00,60000
,AKSHOPTFBR,EQ,        22.25,                 26691824.95,1194510
,AKZOINDIA,EQ,      1723.55,                265014158.25,149676
,ALANKIT,EQ,        17.95,                 18136022.45,995465
,ALBERTDAVD,EQ,       322.85,                  1557622.55,4826
,ALBK,EQ,        69.55,                157738673.75,2271954
,ALCHEM,EQ,        26.65,                  2045215.95,75810
,ALEMBICLTD,EQ,        36.35,                 25139613.35,691461
,ALICON,EQ,       407.10,                  1032850.30,2537
,ALKALI,EQ,        78.70,                   560499.05,7176
,ALKEM,EQ,      2185.00,                 77755910.05,35429
,ALKYLAMINE,EQ,       391.30,                 13572509.20,35034
,ALLCARGO,EQ,       165.05,                 32709016.90,197658
,ALLSEC,EQ,       388.75,                  6094379.85,15737
,ALMONDZ,EQ,        13.70,                    20221.80,1482
,ALOKTEXT,EQ,         3.00,                  5811953.35,1935714
,ALPA,BE,        40.20,                   719766.80,17673
,ALPHAGEO,EQ,       900.40,                 24170812.35,26791
,ALPSINDUS,EQ,         6.70,                   220732.20,32788
,AMARAJABAT,EQ,       881.05,                431033680.25,490898
,AMBIKCO,EQ,      1293.20,                  4822572.70,3716
,AMDIND,EQ,        28.20,                   377957.45,13455
,AMRUTANJAN,EQ,       559.15,                  6714204.65,12032
,AMTEKAUTO,EQ,        35.10,                 24570706.85,700030
,AMTL,EQ,        24.40,                   115029.50,4720
,ANANTRAJ,EQ,        48.10,                 17915800.75,371175
,ANDHRABANK,EQ,        55.20,                 89004756.95,1613198
,ANDHRACEMT,BE,         8.80,                  2058301.30,229886
,ANDHRSUGAR,EQ,       287.15,                 13200074.35,46014
,ANGIND,EQ,         9.80,                   192108.65,19580
,ANIKINDS,BE,        25.25,                    35810.00,1420
,ANKITMETAL,EQ,         1.80,                   204244.30,113145
,ANSALAPI,EQ,        15.20,                  2904770.00,189831
,ANSALHSG,EQ,        22.75,                   214869.40,9385
,ANTGRAPHIC,BE,         1.30,                   457632.75,354129
,APARINDS,EQ,       708.25,                 37806639.65,53195
,APCOTEXIND,EQ,       315.70,                  2651419.30,8469
,APLAPOLLO,EQ,      1118.25,                 14057330.55,12686
,APLLTD,EQ,       599.70,                 70013770.55,115453
,APOLLOTYRE,EQ,       206.50,                922823133.00,4474217
,APOLSINHOT,BE,       605.00,                     2426.00,4
,APTECHT,EQ,       230.20,                 66629775.50,288867
,ARCHIDPLY,EQ,        70.20,                  7504032.65,106331
,ARCHIES,EQ,        24.05,                  2968518.15,124354
,ARCOTECH,EQ,       503.20,                 89740730.80,177055
,ARIES,EQ,       150.70,                  5571485.25,37116
,ARIHANT,BE,        47.00,                    18347.50,390
,ARMANFIN,EQ,       199.85,                  2808392.75,14093
,AROGRANITE,EQ,        71.85,                   682664.75,9483
,ARROWGREEN,EQ,       439.65,                  5209496.95,11980
,ARROWTEX,EQ,        44.10,                  1183237.80,26900
,ARSHIYA,BE,        59.85,                  4835824.70,81375
,ARSSINFRA,EQ,        67.25,                 17404435.80,258199
,ARVIND,EQ,       389.55,                654778325.35,1692679
,ARVSMART,EQ,        85.65,                 24685705.60,292122
