,02-Jun-2017
The Nifty witnessed an intraday movement of about 36.05 points.The closing index was 0.39 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 22302.61
, Traded Quantity (in Lakhs), 14524.93
, Number of Trades, 8414510
, Total Market Capitalisation (Rs. Crores), 12507949.7

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      9616.10,      9657.15,      9673.50,      9637.45,      9653.50,37.4
,Nifty IT,     10574.70,     10598.50,     10647.00,     10564.10,     10608.95,34.25
,Nifty Next 50,     26095.75,     26203.80,     26276.45,     26141.50,     26254.90,159.15
,Nifty Bank,     23310.15,     23435.20,     23453.30,     23308.40,     23375.90,65.75
,Nifty MID100 Free,     17618.05,     17707.70,     17788.15,     17669.05,     17769.65,151.6
,Nifty 500,      8367.15,      8403.95,      8416.85,      8385.10,      8406.55,39.4
,Nifty 100,      9909.10,      9951.20,      9967.65,      9930.55,      9951.00,41.9
,Nifty Midcap 50,      4535.10,      4562.85,      4575.15,      4540.95,      4568.20,33.1
,Nifty Realty,       250.70,       251.70,       255.10,       249.70,       254.00,3.3
,Nifty Infra,      3240.00,      3255.20,      3262.30,      3245.35,      3253.95,13.95
,Nifty Energy,     11796.70,     11845.20,     11863.90,     11727.75,     11757.55,-39.15
,Nifty FMCG,     26165.75,     26306.65,     26429.20,     26105.00,     26401.70,235.95
,Nifty MNC,     11937.35,     11990.70,     12016.25,     11867.65,     11906.65,-30.7
,Nifty Pharma,      9104.95,      9182.40,      9292.75,      9169.65,      9254.70,149.75
,Nifty PSE,      4019.35,      4035.55,      4041.20,      4007.10,      4012.85,-6.5
,Nifty PSU Bank,      3518.75,      3547.95,      3552.80,      3507.50,      3527.30,8.55
,Nifty Serv Sector,     12501.55,     12549.25,     12572.70,     12521.60,     12551.05,49.5
,India VIX,11.3075,11.3075,11.3075,10.3125,10.8100,-0.4975
,Nifty Auto,     10891.55,     10935.65,     10992.70,     10922.95,     10942.20,50.65
,Nifty Metal,      2926.95,      2942.15,      2956.30,      2907.60,      2923.35,-3.6
,Nifty Media,      3085.85,      3107.30,      3118.00,      3093.90,      3109.00,23.15
,Nifty SML100 Free,      7268.10,      7306.10,      7332.05,      7281.00,      7316.95,48.85
,Nifty 200,      5180.20,      5202.70,      5210.90,      5191.55,      5203.75,23.55
,Nifty Div Opps 50,      2427.75,      2436.70,      2441.85,      2428.95,      2435.45,7.7
,Nifty Commodities,      3484.90,      3499.55,      3507.10,      3479.00,      3484.50,-.4
,Nifty Consumption,      4329.95,      4350.70,      4361.05,      4327.90,      4353.60,23.65
,Nifty Fin Service,      9474.60,      9508.75,      9534.05,      9478.60,      9514.00,39.4
,Nifty50 Div Point,        14.53,        14.53,        14.53,        14.53,        14.53,0
,Nifty100 Liq 15,      4050.50,      4077.00,      4080.45,      4038.10,      4047.50,-3
,Nifty CPSE,      2541.15,      2554.00,      2559.90,      2533.05,      2538.30,-2.85
,Nifty GrowSect 15,      6022.85,      6050.35,      6065.80,      6012.95,      6060.10,37.25
,Nifty50 PR 2x Lev,      3999.95,      4033.40,      4046.30,      4017.20,      4030.35,30.4
,Nifty50 PR 1x Inv,       434.30,       432.55,       433.40,       431.85,       432.70,-1.6
,Nifty50 TR 2x Lev,      4842.20,      4882.70,      4898.35,      4863.05,      4879.00,36.8
,Nifty50 TR 1x Inv,       394.75,       393.10,       393.90,       392.50,       393.25,-1.5
,Nifty50 Value 20,      4113.80,      4131.25,      4136.65,      4107.75,      4116.90,3.1
,Nifty Mid Liq 15,      3963.00,      3992.35,      4002.75,      3967.15,      3983.10,20.1
,Nifty Pvt Bank,     12964.90,     13033.05,     13044.35,     12951.70,     13004.10,39.2
,Nifty Quality 30,      2317.70,      2326.30,      2330.70,      2319.90,      2329.10,11.4
,Nifty GS 8 13Yr,      1706.87,      1707.20,      1707.49,      1705.01,      1706.65,-.22
,Nifty GS 10Yr,      1623.25,      1623.55,      1625.15,      1622.44,      1624.36,1.11
,Nifty GS 10Yr Cln,       982.46,       982.46,       983.43,       981.78,       982.95,.49
,Nifty GS 4 8Yr,      1758.40,      1758.75,      1759.68,      1757.47,      1758.80,.4
,Nifty GS 11 15Yr,      1780.83,      1781.18,      1781.37,      1778.01,      1780.19,-.64
,Nifty GS 15YrPlus,      1879.14,      1879.52,      1882.06,      1879.43,      1879.43,.29
,Nifty GS Compsite,      1739.57,      1739.91,      1740.22,      1738.20,      1739.61,.04

,ADVANCES,997
,DECLINES,689
,UNCHANGED,77

,Total securities that have hit their price bands today,149

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,GMRINFRA,EQ,        14.95,        16.90,13.04,555.24
,HDFC,EQ,      1583.75,      1604.65,1.32,549.22
,SUNPHARMA,EQ,       507.45,       514.85,1.46,396.42
,ICICIBANK,EQ,       320.10,       318.15,-0.61,389.84
,YESBANK,EQ,      1444.60,      1481.75,2.57,382.65
,CEATLTD,EQ,      1790.80,      1851.50,3.39,374.78
,ITC,EQ,       314.20,       319.20,1.59,351.99
,VEDL,EQ,       231.25,       228.85,-1.04,348.84
,RELIANCE,EQ,      1328.25,      1324.75,-0.26,348.49
,SBIN,EQ,       287.45,       287.05,-0.14,345.65
,AUROPHARMA,EQ,       579.65,       593.40,2.37,345.61
,TVSMOTOR,EQ,       533.75,       540.30,1.23,331.59
,RECLTD,EQ,       189.40,       189.95,0.29,327.06
,TATASTEEL,EQ,       497.15,       491.95,-1.05,279.95
,M&MFIN,EQ,       362.50,       388.45,7.16,260.01
,HINDUNILVR,EQ,      1095.35,      1086.40,-0.82,240.04
,AXISBANK,EQ,       509.30,       508.05,-0.25,227.94
,MARUTI,EQ,      7146.60,      7114.70,-0.45,221.38
,HEROMOTOCO,EQ,      3733.35,      3849.75,3.12,218.33
,TATAMOTORS,EQ,       476.65,       478.75,0.44,208.16
,M&M,EQ,      1425.25,      1418.50,-0.47,205.62
,RELCAPITAL,EQ,       551.05,       551.40,0.06,198.12
,BHARTIARTL,EQ,       366.90,       373.25,1.73,194.45
,CADILAHC,EQ,       470.95,       494.20,4.94,191.34
,RCOM,EQ,        20.75,        20.65,-0.48,190.27

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HEROMOTOCO,EQ,      3849.75,      3733.35,3.12
,CIPLA,EQ,       530.05,       515.55,2.81
,YESBANK,EQ,      1481.75,      1444.60,2.57
,ADANIPORTS,EQ,       357.90,       349.20,2.49
,AUROPHARMA,EQ,       593.40,       579.65,2.37

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,GAIL,EQ,       402.35,       410.35,-1.95
,BPCL,EQ,       724.80,       739.00,-1.92
,IBULHSGFIN,EQ,      1131.85,      1145.05,-1.15
,TATASTEEL,EQ,       491.95,       497.15,-1.05
,VEDL,EQ,       228.85,       231.25,-1.04

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        38.40,                   939806.40,24553
,3IINFOTECH,EQ,         4.70,                  4395769.80,931296
,3MINDIA,EQ,     13711.70,                 16103798.60,1171
,63MOONS,EQ,        68.75,                  2236170.60,32288
,8KMILES,EQ,       587.40,                 28501115.60,48214
,A2ZINFRA,EQ,        41.75,                 50365434.30,1213937
,AARTIDRUGS,EQ,       489.50,                  3254862.85,6649
,AARTIIND,EQ,       900.00,                140002958.90,158456
,AARVEEDEN,EQ,        63.30,                   804586.50,12646
,ABAN,EQ,       180.45,                 70230260.30,388708
,ABBOTINDIA,EQ,      4173.30,                 14380125.30,3461
,ABFRL,EQ,       170.95,                 32951645.75,190456
,ABGSHIP,BZ,        12.15,                   496011.60,40824
,ABIRLANUVO,EQ,      1724.00,                469729396.05,272953
,ABMINTLTD,BE,        85.85,                    54085.50,630
,ACCELYA,EQ,      1338.55,                  2173433.65,1617
,ACE,EQ,        66.55,                 13206876.25,198774
,ADANIENT,EQ,       117.50,                496877286.60,4227409
,ADANIPOWER,EQ,        27.20,                202835652.10,7471650
,ADANITRANS,EQ,       133.40,                320846221.25,2416004
,ADFFOODS,EQ,       302.80,                351645702.55,1188854
,ADHUNIK,EQ,         5.95,                   576358.40,98829
,ADHUNIKIND,EQ,       103.00,                  3812726.85,36879
,ADLABS,EQ,        74.95,                 18057313.25,239279
,ADORWELD,EQ,       322.00,                   251400.10,789
,ADSL,BE,        26.15,                   482641.45,18684
,ADVANIHOTR,EQ,        54.50,                    48707.35,885
,ADVENZYMES,EQ,       362.40,                 75250469.00,206950
,AEGISCHEM,EQ,       213.00,                 63998449.95,299756
,AFL,BE,        56.10,                   146458.90,2684
,AGARIND,BE,       717.70,                  1702070.75,2391
,AGCNET,BE,       111.95,                   751182.85,6971
,AGRITECH,EQ,        50.70,                   550287.25,10921
,AHLEAST,EQ,       290.00,                  1150728.55,3968
,AHLUCONT,EQ,       346.95,                  8859488.10,25994
,AHLWEST,EQ,       182.25,                    22394.15,123
,AIAENG,EQ,      1480.90,                 24003358.05,16331
,AIFL,EQ,       400.35,                 11365915.10,28329
,AIRAN,SM,       124.40,                  5998650.00,48000
,AJANTPHARM,EQ,      1607.55,                129310711.25,80491
,AJMERA,EQ,       242.40,                 13296309.60,54393
,AKSHARCHEM,EQ,       758.25,                  6069271.05,8007
,AKSHOPTFBR,EQ,        19.10,                  7308813.55,381691
,AKZOINDIA,EQ,      1777.90,                 39835605.85,22301
,ALANKIT,EQ,        31.25,                326063901.55,11036990
,ALBERTDAVD,EQ,       331.85,                  7418672.10,22782
,ALBK,EQ,        71.60,                284120718.85,3969829
,ALCHEM,EQ,        16.95,                   203937.25,11948
,ALEMBICLTD,EQ,        43.00,                 19940267.40,465378
,ALICON,EQ,       508.85,                  2274598.10,4500
,ALKALI,EQ,        66.80,                   315551.25,4699
,ALKEM,EQ,      1981.85,                 69495230.80,35338
,ALKYLAMINE,EQ,       388.40,                  3230653.95,8362
,ALLCARGO,EQ,       173.95,                 31074633.20,178137
,ALLSEC,EQ,       334.10,                 28036621.65,85226
,ALMONDZ,EQ,        16.60,                    66111.30,3907
,ALOKTEXT,EQ,         3.20,                  7927440.60,2489278
,ALPA,BE,        35.60,                   381792.75,10754
,ALPHAGEO,EQ,       965.45,                 36572810.40,37856
,ALPSINDUS,EQ,         6.70,                   121001.30,17911
,AMARAJABAT,EQ,       873.65,                154472519.35,177113
,AMBIKCO,EQ,      1283.30,                  2957469.90,2291
,AMDIND,EQ,        30.25,                  1038466.15,34463
,AMRUTANJAN,EQ,       678.70,                  7029213.35,10239
,AMTEKAUTO,EQ,        34.95,                 36597080.15,1045949
,ANANDAMRUB,EQ,        20.20,                     2626.00,130
,ANANTRAJ,EQ,        62.50,                 43601199.60,700759
,ANDHRABANK,EQ,        59.55,                281495028.55,4750714
,ANDHRACEMT,EQ,         9.30,                  1453549.05,159142
,ANDHRSUGAR,EQ,       316.75,                 21977727.15,68746
,ANGIND,EQ,         8.85,                   190809.85,21805
,ANIKINDS,BE,        28.65,                    17904.80,628
,ANKITMETAL,EQ,         1.60,                   104938.00,65570
,ANSALAPI,EQ,        24.45,                  3992296.55,163505
,ANSALHSG,EQ,        27.45,                  1085262.15,39326
,ANTGRAPHIC,BE,         1.70,                   492559.90,298429
,APARINDS,EQ,       830.70,                 94643777.65,113420
,APCL,EQ,       221.85,                  2558379.95,11617
,APCOTEXIND,EQ,       369.10,                  2859680.90,7731
,APLAPOLLO,EQ,      1466.40,                  5724018.45,3928
,APLLTD,EQ,       536.90,                 43674408.45,81113
,APOLLOHOSP,EQ,      1264.05,                395053188.50,314510
,APOLLOTYRE,EQ,       247.15,               1357802275.70,5512657
,APOLSINHOT,EQ,       700.05,                    65804.70,94
,APTECHT,EQ,       195.05,                 50756262.60,259457
,ARCHIDPLY,EQ,        79.10,                  6935900.30,87940
,ARCHIES,EQ,        29.45,                 10793896.70,356075
,ARCOTECH,EQ,       338.75,                  4343975.95,12781
,ARIES,EQ,       149.30,                  7539985.45,50270
,ARIHANT,BE,        59.95,                    23159.15,401
,ARIHANTSUP,EQ,       189.35,                133629011.30,700527
,ARMANFIN,EQ,       189.95,                  3819389.65,20170
,AROGRANITE,EQ,        72.25,                   921580.55,12725
,ARROWGREEN,EQ,       474.20,                 21322150.25,45030
,ARROWTEX,EQ,        47.25,                  1265991.20,26913
,ARSHIYA,EQ,        65.75,                  8216173.80,126176
,ARSSINFRA,EQ,        68.55,                 17988069.70,263793
,ARVIND,EQ,       379.05,                303700472.85,800313
