,06-Jun-2017
The Nifty witnessed an intraday movement of about 79.1 points.The closing index was 0.39 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 22177.61
, Traded Quantity (in Lakhs), 9973.34
, Number of Trades, 8252499
, Total Market Capitalisation (Rs. Crores), 12502871.37

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      9675.10,      9704.25,      9709.30,      9630.20,      9637.15,-37.95
,Nifty IT,     10660.10,     10749.40,     11016.10,     10733.65,     10907.25,247.15
,Nifty Next 50,     26457.20,     26479.95,     26505.05,     26178.70,     26264.45,-192.75
,Nifty Bank,     23459.65,     23523.05,     23536.10,     23381.70,     23416.30,-43.35
,Nifty MID100 Free,     17828.00,     17878.45,     17891.85,     17636.85,     17733.65,-94.35
,Nifty 500,      8435.75,      8457.45,      8460.50,      8383.75,      8397.20,-38.55
,Nifty 100,      9981.70,     10008.40,     10013.05,      9929.95,      9937.30,-44.4
,Nifty Midcap 50,      4582.95,      4591.40,      4595.00,      4509.00,      4549.60,-33.35
,Nifty Realty,       255.95,       257.10,       257.25,       250.10,       252.45,-3.5
,Nifty Infra,      3271.65,      3273.50,      3273.60,      3224.70,      3228.00,-43.65
,Nifty Energy,     11806.40,     11839.20,     11839.20,     11656.20,     11677.20,-129.2
,Nifty FMCG,     26430.65,     26436.00,     26514.55,     25968.50,     26058.90,-371.75
,Nifty MNC,     11971.50,     11969.45,     11977.55,     11858.20,     11892.75,-78.75
,Nifty Pharma,      9229.75,      9280.00,      9280.20,      9149.90,      9174.60,-55.15
,Nifty PSE,      4012.95,      4020.85,      4020.85,      3979.45,      3985.00,-27.95
,Nifty PSU Bank,      3530.85,      3570.40,      3580.35,      3497.20,      3505.20,-25.65
,Nifty Serv Sector,     12584.80,     12629.70,     12662.95,     12608.30,     12615.95,31.15
,India VIX,11.0150,11.0150,11.3200,9.4900,11.1325,0.1175
,Nifty Auto,     10967.95,     10986.40,     11000.65,     10792.70,     10849.20,-118.75
,Nifty Metal,      2905.95,      2910.40,      2919.15,      2887.70,      2896.40,-9.55
,Nifty Media,      3116.40,      3119.40,      3124.40,      3067.70,      3079.00,-37.4
,Nifty SML100 Free,      7345.60,      7362.85,      7379.20,      7261.30,      7292.55,-53.05
,Nifty 200,      5220.80,      5234.80,      5236.90,      5190.00,      5197.10,-23.7
,Nifty Div Opps 50,      2444.30,      2451.95,      2455.45,      2438.65,      2440.55,-3.75
,Nifty Commodities,      3490.55,      3498.90,      3498.95,      3450.70,      3454.70,-35.85
,Nifty Consumption,      4389.30,      4389.20,      4391.70,      4339.50,      4349.75,-39.55
,Nifty Fin Service,      9532.50,      9557.00,      9561.65,      9504.15,      9519.25,-13.25
,Nifty50 Div Point,        25.26,        25.26,        25.26,        25.26,        25.26,0
,Nifty100 Liq 15,      4077.85,      4095.60,      4097.55,      4051.80,      4059.10,-18.75
,Nifty CPSE,      2538.40,      2545.20,      2545.20,      2516.40,      2524.50,-13.9
,Nifty GrowSect 15,      6071.40,      6076.80,      6082.55,      6010.15,      6022.50,-48.9
,Nifty50 PR 2x Lev,      4046.40,      4070.10,      4071.85,      4008.40,      4014.00,-32.4
,Nifty50 PR 1x Inv,       431.95,       430.70,       434.00,       430.60,       433.70,1.75
,Nifty50 TR 2x Lev,      4909.30,      4938.05,      4940.15,      4863.20,      4869.95,-39.35
,Nifty50 TR 1x Inv,       392.15,       391.05,       394.00,       390.95,       393.75,1.6
,Nifty50 Value 20,      4131.65,      4150.75,      4158.10,      4133.50,      4136.60,4.95
,Nifty Mid Liq 15,      3972.05,      3970.45,      3974.10,      3892.15,      3917.55,-54.5
,Nifty Pvt Bank,     13060.80,     13081.60,     13086.70,     13000.10,     13032.75,-28.05
,Nifty Quality 30,      2337.60,      2345.65,      2348.40,      2336.50,      2342.20,4.6
,Nifty GS 8 13Yr,      1703.19,      1703.52,      1704.75,      1703.08,      1704.11,.92
,Nifty GS 10Yr,      1621.74,      1622.04,      1622.72,      1620.76,      1622.60,.86
,Nifty GS 10Yr Cln,       980.81,       980.81,       981.22,       980.03,       981.15,.34
,Nifty GS 4 8Yr,      1757.02,      1757.37,      1758.25,      1756.52,      1757.64,.62
,Nifty GS 11 15Yr,      1775.78,      1776.13,      1777.86,      1775.85,      1777.24,1.46
,Nifty GS 15YrPlus,      1880.40,      1880.78,      1886.48,      1880.78,      1885.79,5.39
,Nifty GS Compsite,      1736.84,      1737.19,      1738.12,      1736.86,      1737.78,.94

,ADVANCES,501
,DECLINES,1161
,UNCHANGED,78

,Total securities that have hit their price bands today,129

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,TCS,EQ,      2603.95,      2696.00,3.54,800.78
,HCLTECH,EQ,       858.70,       889.45,3.58,591.44
,TITAN,EQ,       551.85,       527.15,-4.48,523.17
,ADANIENT,EQ,       117.50,       128.05,8.98,473.06
,TATAELXSI,EQ,      1492.20,      1541.15,3.28,456.49
,TATAMOTORS,EQ,       478.15,       461.00,-3.59,374.53
,SBIN,EQ,       287.25,       287.30,0.02,357.45
,HDFC,EQ,      1606.15,      1605.75,-0.02,349.92
,INFY,EQ,       958.75,       979.35,2.15,343.45
,ICICIBANK,EQ,       319.75,       318.95,-0.25,311.64
,ITC,EQ,       317.45,       311.05,-2.02,306.34
,RELIANCE,EQ,      1329.35,      1312.80,-1.24,289.43
,ESCORTS,EQ,       745.25,       751.50,0.84,269.85
,CEATLTD,EQ,      1871.90,      1892.45,1.1,260.48
,YESBANK,EQ,      1523.55,      1506.15,-1.14,254.38
,SUNPHARMA,EQ,       512.80,       504.30,-1.66,244.38
,MCDOWELL-N,EQ,      2484.95,      2430.70,-2.18,237.16
,MARUTI,EQ,      7125.70,      7112.10,-0.19,230.78
,RELCAPITAL,EQ,       557.95,       562.40,0.8,221.83
,INDIGRID,IV,       100.00,        98.64,-1.36,221.29
,IBULHSGFIN,EQ,      1170.15,      1138.45,-2.71,208.64
,RUPA,EQ,       478.70,       530.00,10.72,205.46
,HDFCBANK,EQ,      1635.55,      1638.95,0.21,204.92
,TATASTEEL,EQ,       491.30,       490.30,-0.2,202.97
,HDIL,EQ,        93.80,        93.25,-0.59,201.44

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HCLTECH,EQ,       889.45,       858.70,3.58
,TCS,EQ,      2696.00,      2603.95,3.54
,INFY,EQ,       979.35,       958.75,2.15
,TECHM,EQ,       408.65,       402.75,1.46
,WIPRO,EQ,       560.55,       555.55,.9

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TATAMOTORS,EQ,       461.00,       478.15,-3.59
,NTPC,EQ,       158.10,       162.60,-2.77
,IBULHSGFIN,EQ,      1138.45,      1170.15,-2.71
,TATAMTRDVR,EQ,       280.70,       288.25,-2.62
,ONGC,EQ,       171.45,       175.75,-2.45

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        38.40,                   844957.25,21767
,3IINFOTECH,EQ,         4.60,                  4453981.45,956438
,3MINDIA,EQ,     13786.90,                  9310569.75,674
,63MOONS,EQ,        68.75,                  4943850.55,71925
,8KMILES,EQ,       567.20,                 27963251.50,48713
,A2ZINFRA,EQ,        41.35,                 14015666.60,335679
,AARTIDRUGS,EQ,       483.95,                  3097290.40,6413
,AARTIIND,EQ,       888.25,                 17615703.05,19893
,AARVEEDEN,EQ,        62.65,                   622518.10,9738
,ABAN,EQ,       183.40,                122554997.40,675287
,ABBOTINDIA,EQ,      4204.25,                  6897231.00,1647
,ABFRL,EQ,       180.75,                211110980.70,1160379
,ABGSHIP,BZ,        11.00,                   144661.00,13151
,ABIRLANUVO,EQ,      1689.45,                385590589.80,225884
,ABMINTLTD,BE,        81.60,                    23581.50,280
,ACCELYA,EQ,      1341.80,                  1113422.65,830
,ACE,EQ,        64.55,                 11967661.00,183699
,ADANIENT,EQ,       128.05,               4730643284.00,37683895
,ADANIPOWER,EQ,        27.25,                298186872.45,11028116
,ADANITRANS,EQ,       126.10,                165243580.95,1270752
,ADFFOODS,EQ,       305.35,                 96666816.80,313059
,ADHUNIK,EQ,         6.00,                  1129851.70,181231
,ADHUNIKIND,EQ,       100.70,                  4165792.65,40507
,ADLABS,EQ,        78.00,                 64278208.50,801490
,ADORWELD,EQ,       323.50,                   870423.50,2699
,ADSL,BE,        27.10,                   598881.25,22448
,ADVANIHOTR,EQ,        58.95,                   390662.45,6610
,ADVENZYMES,EQ,       363.35,                 38646641.80,106405
,AEGISCHEM,EQ,       210.10,                 55573968.65,267857
,AFL,BE,        54.50,                  1811421.35,33515
,AGARIND,BE,       702.45,                   933805.35,1327
,AGCNET,BE,       117.00,                   272245.00,2328
,AGRITECH,EQ,        51.75,                   849741.90,16359
,AGROPHOS,SM,        20.30,                  1763400.00,90000
,AHLEAST,EQ,       290.00,                   961369.50,3315
,AHLUCONT,EQ,       333.60,                  5546031.60,16792
,AHLWEST,EQ,       181.00,                    29184.80,161
,AIAENG,EQ,      1432.35,                 30475565.35,21211
,AICHAMP,BE,        26.70,                      133.50,5
,AIFL,EQ,       400.15,                 18113870.40,45319
,AIRAN,SM,       136.85,                  4089900.00,30000
,AJANTPHARM,EQ,      1580.85,                138546819.65,87333
,AJMERA,EQ,       230.90,                 80797087.80,351135
,AKASH,SM,       111.95,                   558350.00,5000
,AKSHARCHEM,EQ,       745.60,                  7623600.55,10115
,AKSHOPTFBR,EQ,        18.80,                  5766347.45,305901
,AKZOINDIA,EQ,      1771.20,                  4433934.50,2491
,ALANKIT,EQ,        34.25,                173940996.50,5049285
,ALBERTDAVD,EQ,       331.10,                  2880189.10,8652
,ALBK,EQ,        70.60,                257084515.65,3620321
,ALCHEM,EQ,        16.60,                   202966.05,12156
,ALEMBICLTD,EQ,        42.05,                  5823917.60,137201
,ALICON,EQ,       498.60,                   991812.85,1974
,ALKALI,EQ,        67.65,                   179060.30,2662
,ALKEM,EQ,      1932.00,                 32880978.25,17006
,ALKYLAMINE,EQ,       405.60,                  2461049.70,6047
,ALLCARGO,EQ,       172.40,                 22651861.10,130924
,ALLSEC,EQ,       332.40,                  4155555.65,12478
,ALMONDZ,EQ,        16.50,                    51297.25,3085
,ALOKTEXT,EQ,         3.10,                  4076129.30,1327372
,ALPA,BE,        34.00,                   176702.50,5260
,ALPHAGEO,EQ,       940.55,                 24187557.20,25442
,ALPSINDUS,EQ,         6.45,                   433996.70,66498
,AMARAJABAT,EQ,       877.90,                204272103.35,232079
,AMBIKCO,EQ,      1287.30,                  1070508.15,827
,AMDIND,EQ,        30.00,                   206903.85,6845
,AMRUTANJAN,EQ,       680.45,                  4370523.50,6431
,AMTEKAUTO,EQ,        34.30,                 30838628.75,897677
,ANANTRAJ,EQ,        64.20,                105971094.70,1634639
,ANDHRABANK,EQ,        58.65,                193046224.55,3268638
,ANDHRACEMT,EQ,         9.05,                  1133252.70,123729
,ANDHRSUGAR,EQ,       315.50,                 12623105.80,39527
,ANGIND,EQ,         8.80,                   117793.20,13483
,ANIKINDS,BE,        26.10,                    31342.10,1142
,ANKITMETAL,EQ,         1.55,                    10010.25,6455
,ANSALAPI,EQ,        23.50,                 11228577.95,483018
,ANSALHSG,EQ,        28.20,                  2159731.40,75902
,ANTGRAPHIC,BE,         1.80,                   370344.90,212115
,APARINDS,EQ,       849.50,                 26036739.55,30443
,APCL,EQ,       220.10,                   490022.70,2208
,APCOTEXIND,EQ,       374.25,                  1293360.45,3446
,APLAPOLLO,EQ,      1484.70,                 12100520.50,8190
,APLLTD,EQ,       548.20,                 12253462.55,22290
,APOLLOHOSP,EQ,      1306.65,                788927919.30,614066
,APOLLOTYRE,EQ,       259.35,               1620195792.85,6377588
,APOLSINHOT,EQ,       737.70,                   948490.55,1294
,APTECHT,EQ,       192.70,                 41456136.80,213620
,ARCHIDPLY,EQ,        77.95,                  1929001.65,24661
,ARCHIES,EQ,        28.75,                  1224037.45,42277
,ARCOTECH,EQ,       344.85,                 13849643.90,40670
,ARIES,EQ,       146.75,                  2029337.20,13876
,ARIHANTSUP,EQ,       189.75,                125134744.75,655474
,ARMANFIN,EQ,       186.85,                  1462845.95,7740
,AROGRANITE,EQ,        72.20,                   728694.50,10051
,ARROWGREEN,EQ,       458.55,                  1535791.15,3342
,ARROWTEX,EQ,        48.75,                  4976930.50,102393
,ARSHIYA,EQ,        62.05,                  3936275.55,62319
,ARSSINFRA,EQ,        66.55,                  6512151.40,97057
,ARVIND,EQ,       384.65,                518402731.85,1332957
,ARVSMART,EQ,       137.35,                150959556.25,1060014
