,14-Jun-2017
The Nifty witnessed an intraday movement of about 46.95 points.The closing index was 0.12 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 24369.73
, Traded Quantity (in Lakhs), 11874.87
, Number of Trades, 8967081
, Total Market Capitalisation (Rs. Crores), 12536290.81

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      9606.90,      9621.55,      9627.40,      9580.45,      9618.15,11.25
,Nifty IT,     10339.00,     10370.25,     10375.60,     10291.50,     10366.10,27.1
,Nifty Next 50,     26584.70,     26635.95,     26650.60,     26389.80,     26507.40,-77.3
,Nifty Bank,     23477.85,     23555.30,     23562.80,     23399.40,     23498.70,20.85
,Nifty MID100 Free,     17881.50,     17892.95,     17958.60,     17764.60,     17931.60,50.1
,Nifty 500,      8408.00,      8421.05,      8424.95,      8381.10,      8420.80,12.8
,Nifty 100,      9929.70,      9945.45,      9950.95,      9895.60,      9934.95,5.25
,Nifty Midcap 50,      4578.75,      4580.20,      4603.25,      4539.65,      4595.85,17.1
,Nifty Realty,       260.95,       262.35,       265.80,       260.15,       264.50,3.55
,Nifty Infra,      3218.35,      3222.25,      3237.00,      3207.00,      3233.85,15.5
,Nifty Energy,     11629.45,     11630.05,     11807.90,     11626.85,     11797.35,167.9
,Nifty FMCG,     25942.25,     25963.75,     26007.00,     25672.05,     25744.60,-197.65
,Nifty MNC,     12093.75,     12112.70,     12129.55,     12027.25,     12113.85,20.1
,Nifty Pharma,      9592.15,      9639.70,      9658.65,      9540.85,      9576.00,-16.15
,Nifty PSE,      3964.30,      3963.95,      3968.40,      3947.35,      3957.15,-7.15
,Nifty PSU Bank,      3446.40,      3472.05,      3494.90,      3433.15,      3478.20,31.8
,Nifty Serv Sector,     12557.60,     12582.60,     12587.55,     12501.35,     12549.65,-7.95
,India VIX,11.3400,11.3400,11.5275,10.4400,11.1800,-0.1600
,Nifty Auto,     10910.20,     10917.80,     10934.95,     10877.20,     10905.25,-4.95
,Nifty Metal,      2963.85,      2965.25,      2965.65,      2924.10,      2943.70,-20.15
,Nifty Media,      3077.65,      3084.95,      3099.95,      3065.45,      3094.15,16.5
,Nifty SML100 Free,      7339.45,      7351.10,      7401.45,      7327.10,      7398.40,58.95
,Nifty 200,      5196.55,      5204.40,      5207.00,      5178.35,      5202.35,5.8
,Nifty Div Opps 50,      2412.60,      2413.30,      2415.30,      2401.80,      2413.10,.5
,Nifty Commodities,      3458.75,      3459.90,      3465.20,      3440.95,      3462.65,3.9
,Nifty Consumption,      4352.75,      4357.65,      4361.60,      4329.60,      4350.10,-2.65
,Nifty Fin Service,      9636.75,      9652.25,      9662.25,      9584.95,      9617.25,-19.5
,Nifty50 Div Point,        29.59,        29.59,        29.59,        29.59,        29.59,0
,Nifty100 Liq 15,      4090.50,      4097.95,      4099.15,      4065.15,      4078.65,-11.85
,Nifty CPSE,      2488.60,      2487.55,      2492.10,      2477.05,      2483.60,-5
,Nifty GrowSect 15,      6058.35,      6071.45,      6078.00,      6040.85,      6052.90,-5.45
,Nifty50 PR 2x Lev,      3984.20,      3995.65,      3998.25,      3961.70,      3992.85,8.65
,Nifty50 PR 1x Inv,       435.55,       434.95,       436.80,       434.80,       435.10,-.45
,Nifty50 TR 2x Lev,      4838.20,      4852.10,      4855.25,      4810.90,      4848.65,10.45
,Nifty50 TR 1x Inv,       395.25,       394.70,       396.40,       394.55,       394.85,-.4
,Nifty50 Value 20,      4054.05,      4068.15,      4086.35,      4057.95,      4082.80,28.75
,Nifty Mid Liq 15,      3925.45,      3924.40,      3928.70,      3887.75,      3922.00,-3.45
,Nifty Pvt Bank,     13055.30,     13100.35,     13107.95,     13005.40,     13067.60,12.3
,Nifty Quality 30,      2315.15,      2319.35,      2320.10,      2304.40,      2314.35,-.8
,Nifty GS 8 13Yr,      1724.86,      1725.19,      1727.64,      1724.04,      1725.33,.47
,Nifty GS 10Yr,      1641.99,      1642.29,      1643.96,      1640.45,      1642.28,.29
,Nifty GS 10Yr Cln,       991.64,       991.64,       992.65,       990.52,       991.64,0
,Nifty GS 4 8Yr,      1777.76,      1778.11,      1779.51,      1778.06,      1778.36,.6
,Nifty GS 11 15Yr,      1803.71,      1804.05,      1807.25,      1802.98,      1804.41,.7
,Nifty GS 15YrPlus,      1934.59,      1934.96,      1936.75,      1934.41,      1934.75,.16
,Nifty GS Compsite,      1757.86,      1758.20,      1760.29,      1757.39,      1758.47,.61

,ADVANCES,783
,DECLINES,885
,UNCHANGED,82

,Total securities that have hit their price bands today,99

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      1314.35,      1357.50,3.28,1631.3
,HDFC,EQ,      1667.65,      1651.10,-0.99,1076.86
,ICICIBANK,EQ,       314.85,       319.05,1.33,644.23
,YESBANK,EQ,      1493.85,      1449.00,-3,517.25
,ITC,EQ,       305.25,       299.85,-1.77,438.34
,INFY,EQ,       957.80,       958.60,0.08,355.92
,BHARATFIN,EQ,       677.60,       694.30,2.46,342.52
,SBIN,EQ,       283.85,       284.20,0.12,329.17
,VEDL,EQ,       238.50,       235.95,-1.07,292.35
,RELCAPITAL,EQ,       587.25,       597.35,1.72,269.57
,CEATLTD,EQ,      1867.05,      1858.40,-0.46,266.45
,LT,EQ,      1739.00,      1764.45,1.46,243.44
,TATASTEEL,EQ,       508.60,       502.65,-1.17,236.95
,AXISBANK,EQ,       506.45,       509.50,0.6,235.88
,ADANIPORTS,EQ,       359.40,       359.50,0.03,215.42
,BANKBARODA,EQ,       169.75,       172.80,1.8,207.52
,MARUTI,EQ,      7348.95,      7351.05,0.03,204.21
,GMRINFRA,EQ,        18.85,        19.30,2.39,202.32
,DRREDDY,EQ,      2626.70,      2669.30,1.62,200.12
,IBREALEST,EQ,       181.95,       185.85,2.14,199.36
,GRASIM,EQ,      1121.90,      1116.70,-0.46,196.69
,TCS,EQ,      2451.55,      2470.20,0.76,183.87
,IOC,EQ,       419.75,       420.70,0.23,182.06
,ULTRACEMCO,EQ,      4061.80,      4052.85,-0.22,178.4
,HINDALCO,EQ,       200.60,       200.15,-0.22,177.74

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,RELIANCE,EQ,      1357.50,      1314.35,3.28
,BANKBARODA,EQ,       172.80,       169.75,1.8
,DRREDDY,EQ,      2669.30,      2626.70,1.62
,LT,EQ,      1764.45,      1739.00,1.46
,ICICIBANK,EQ,       319.05,       314.85,1.33

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,YESBANK,EQ,      1449.00,      1493.85,-3
,CIPLA,EQ,       539.90,       551.55,-2.11
,ITC,EQ,       299.85,       305.25,-1.77
,TATASTEEL,EQ,       502.65,       508.60,-1.17
,WIPRO,EQ,       256.10,       259.00,-1.12

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        39.75,                   848388.20,21319
,3IINFOTECH,EQ,         4.45,                  1605584.95,358857
,3MINDIA,EQ,     13927.85,                 14328274.30,1023
,63MOONS,EQ,        67.25,                  1490281.70,22149
,8KMILES,EQ,       552.05,                 26879437.20,48865
,A2ZINFRA,EQ,        41.40,                  6995899.70,168364
,AARTIDRUGS,EQ,       501.45,                  3100443.45,6192
,AARTIIND,EQ,       876.45,                 18177558.45,20660
,AARVEEDEN,EQ,        61.90,                   194419.00,3161
,ABAN,EQ,       173.05,                123684161.25,703874
,ABBOTINDIA,EQ,      4293.30,                  3173339.30,736
,ABFRL,EQ,       183.05,                 54185261.20,296450
,ABGSHIP,BZ,        10.10,                   449057.00,44619
,ABIRLANUVO,EQ,      1665.00,                285748340.65,171455
,ABMINTLTD,BE,        80.50,                   264238.00,3286
,ACCELYA,EQ,      1449.45,                 21719609.20,15039
,ACE,EQ,        64.35,                 13009738.15,202976
,ADANIENT,EQ,       131.25,                554978974.55,4219965
,ADANIPOWER,EQ,        27.70,                229773826.45,8415127
,ADANITRANS,EQ,       113.00,                331184936.05,2949024
,ADFFOODS,EQ,       273.60,                562062529.65,2010385
,ADHUNIK,EQ,         5.75,                   542780.45,96189
,ADHUNIKIND,EQ,        99.85,                  3405933.20,34013
,ADLABS,EQ,        76.70,                  9761752.30,126915
,ADORWELD,EQ,       376.95,                 45010467.85,117287
,ADSL,BE,        24.90,                   401987.50,16234
,ADVANIHOTR,EQ,        57.00,                   282836.80,4902
,ADVENZYMES,EQ,       338.75,                 61807341.25,181667
,AEGISCHEM,EQ,       202.05,                 42083059.15,210226
,AFL,BE,        52.55,                   117719.00,2222
,AGARIND,BE,       704.95,                  1558056.05,2219
,AGCNET,BE,       130.10,                    72794.00,558
,AGRITECH,EQ,        64.10,                  6436647.15,98240
,AGROPHOS,SM,        21.30,                  1019400.00,48000
,AHLEAST,EQ,       290.00,                    78620.50,271
,AHLUCONT,EQ,       329.75,                  3338215.20,10109
,AHLWEST,EQ,       156.10,                   424643.95,2673
,AIAENG,EQ,      1355.55,                 81698608.90,60283
,AICHAMP,BE,        24.05,                    15175.00,630
,AIFL,EQ,       402.10,                 24043094.95,60021
,AIRAN,SM,       154.75,                  4643250.00,30000
,AJANTPHARM,EQ,      1585.85,                274943554.85,177659
,AJMERA,EQ,       229.25,                  9525738.65,41517
,AKASH,SM,        98.10,                 11773900.00,120000
,AKSHARCHEM,EQ,       761.95,                  3506523.80,4573
,AKSHOPTFBR,EQ,        18.40,                 13157128.50,707653
,AKZOINDIA,EQ,      1889.75,                 10145425.90,5386
,ALANKIT,BE,        36.45,                 17125348.35,470426
,ALBERTDAVD,EQ,       323.85,                   922355.55,2857
,ALBK,EQ,        72.20,                902558001.30,12764813
,ALCHEM,EQ,        15.40,                   532930.60,34263
,ALEMBICLTD,EQ,        40.50,                  9001633.40,220775
,ALICON,EQ,       519.50,                  7132276.65,13708
,ALKALI,EQ,        66.35,                   547875.20,8228
,ALKEM,EQ,      1865.75,                 60590170.80,32238
,ALKYLAMINE,EQ,       399.65,                  1070822.40,2677
,ALLCARGO,EQ,       174.40,                101332179.80,582053
,ALLSEC,EQ,       342.35,                  2133741.65,6178
,ALMONDZ,EQ,        17.30,                   135433.35,7883
,ALOKTEXT,EQ,         2.80,                 52237421.80,19030384
,ALPA,BE,        33.20,                   179802.95,5506
,ALPHAGEO,EQ,       927.25,                 17264396.75,18534
,ALPSINDUS,EQ,         6.10,                   122105.55,19912
,AMARAJABAT,EQ,       844.10,                147832928.20,175870
,AMBIKCO,EQ,      1290.40,                  2861132.75,2229
,AMDIND,EQ,        28.00,                   438383.05,15574
,AMRUTANJAN,EQ,       694.55,                  2391201.45,3441
,AMTEKAUTO,EQ,        33.60,                 51939092.00,1545810
,ANANDAMRUB,BE,        26.95,                    30318.75,1125
,ANANTRAJ,EQ,        61.85,                 52911346.20,852196
,ANDHRABANK,EQ,        60.80,                374357631.90,6302123
,ANDHRACEMT,EQ,         8.75,                  1464436.15,166850
,ANDHRSUGAR,EQ,       327.15,                 27730893.45,85529
,ANGIND,EQ,         8.20,                   429068.00,51396
,ANIKINDS,BE,        27.45,                     1262.70,46
,ANKITMETAL,EQ,         1.55,                    46853.95,30480
,ANSALAPI,EQ,        31.30,                  7680550.50,245385
,ANSALHSG,EQ,        29.85,                  1472379.45,49006
,ANTGRAPHIC,BE,         1.90,                    53342.05,28233
,APARINDS,EQ,       823.90,                 15016030.40,18253
,APCL,EQ,       228.95,                   210185.45,922
,APCOTEXIND,EQ,       377.15,                  7641673.55,20152
,APLAPOLLO,EQ,      1625.70,                 16177356.00,9889
,APLLTD,EQ,       537.65,                 17945173.10,33211
,APOLLOHOSP,EQ,      1326.05,                430827298.60,323787
,APOLLOTYRE,EQ,       258.15,               1549180500.40,6064458
,APOLSINHOT,EQ,       855.50,                  1136444.50,1350
,APTECHT,EQ,       214.60,                 62427426.75,290690
,ARCHIDPLY,EQ,        78.60,                  3630370.25,46499
,ARCHIES,EQ,        32.95,                 11166768.20,339302
,ARCOTECH,EQ,       409.75,                 53516099.55,130941
,ARIES,EQ,       162.75,                 12729409.50,77830
,ARIHANT,BE,        53.55,                    33093.75,621
,ARIHANTSUP,EQ,       192.60,                169655997.65,879152
,ARMANFIN,EQ,       182.20,                  2727290.10,15192
,AROGRANITE,EQ,        77.20,                 11817521.75,154290
,ARROWGREEN,EQ,       483.85,                 19241537.20,39737
,ARROWTEX,EQ,        46.95,                   640097.80,13638
